molecule_chembl_id	standard_type	standard_value	standard_units	assay_description
CHEMBL4103975	IC50	NA	NA	Inhibition of recombinant mouse NAMPT expressed in bacterial expression system using nicotinamide as substrate after 1 hr by fluorescence based NMNAT-3 enzyme coupled assay
CHEMBL4093808	IC50	NA	NA	Inhibition of recombinant mouse NAMPT expressed in bacterial expression system using nicotinamide as substrate after 1 hr by fluorescence based NMNAT-3 enzyme coupled assay
CHEMBL4066091	IC50	8.1	nM	Inhibition of recombinant mouse NAMPT expressed in bacterial expression system using nicotinamide as substrate after 1 hr by fluorescence based NMNAT-3 enzyme coupled assay
CHEMBL4101530	IC50	NA	NA	Inhibition of recombinant mouse NAMPT expressed in bacterial expression system using nicotinamide as substrate after 1 hr by fluorescence based NMNAT-3 enzyme coupled assay
CHEMBL4074848	IC50	3.8	nM	Inhibition of recombinant mouse NAMPT expressed in bacterial expression system using nicotinamide as substrate after 1 hr by fluorescence based NMNAT-3 enzyme coupled assay
CHEMBL4101611	IC50	31.3	nM	Inhibition of recombinant mouse NAMPT expressed in bacterial expression system using nicotinamide as substrate after 1 hr by fluorescence based NMNAT-3 enzyme coupled assay
CHEMBL4083606	IC50	25.4	nM	Inhibition of recombinant mouse NAMPT expressed in bacterial expression system using nicotinamide as substrate after 1 hr by fluorescence based NMNAT-3 enzyme coupled assay
CHEMBL4089512	IC50	NA	NA	Inhibition of recombinant mouse NAMPT expressed in bacterial expression system using nicotinamide as substrate after 1 hr by fluorescence based NMNAT-3 enzyme coupled assay
CHEMBL4068350	IC50	NA	NA	Inhibition of recombinant mouse NAMPT expressed in bacterial expression system using nicotinamide as substrate after 1 hr by fluorescence based NMNAT-3 enzyme coupled assay
CHEMBL4097217	IC50	NA	NA	Inhibition of recombinant mouse NAMPT expressed in bacterial expression system using nicotinamide as substrate after 1 hr by fluorescence based NMNAT-3 enzyme coupled assay
CHEMBL4079201	IC50	NA	NA	Inhibition of recombinant mouse NAMPT expressed in bacterial expression system using nicotinamide as substrate after 1 hr by fluorescence based NMNAT-3 enzyme coupled assay
CHEMBL4104924	IC50	NA	NA	Inhibition of recombinant mouse NAMPT expressed in bacterial expression system using nicotinamide as substrate after 1 hr by fluorescence based NMNAT-3 enzyme coupled assay
CHEMBL4087071	IC50	269.0	nM	Inhibition of recombinant mouse NAMPT expressed in bacterial expression system using nicotinamide as substrate after 1 hr by fluorescence based NMNAT-3 enzyme coupled assay
CHEMBL4067311	IC50	NA	NA	Inhibition of recombinant mouse NAMPT expressed in bacterial expression system using nicotinamide as substrate after 1 hr by fluorescence based NMNAT-3 enzyme coupled assay
CHEMBL4094769	IC50	49.9	nM	Inhibition of recombinant mouse NAMPT expressed in bacterial expression system using nicotinamide as substrate after 1 hr by fluorescence based NMNAT-3 enzyme coupled assay
CHEMBL566757	IC50	4.9	nM	Inhibition of recombinant mouse NAMPT expressed in bacterial expression system using nicotinamide as substrate after 1 hr by fluorescence based NMNAT-3 enzyme coupled assay
CHEMBL4569066	IC50	49.6	nM	Inhibition of recombinant mouse wild-type NAMPT expressed in bacterial expression system using PRPP as substrate in presence of mouse NMNAT-3 measured for 1 hr by fluorescence assay
CHEMBL4464821	IC50	20.6	nM	Inhibition of recombinant mouse wild-type NAMPT expressed in bacterial expression system using PRPP as substrate in presence of mouse NMNAT-3 measured for 1 hr by fluorescence assay
CHEMBL4446772	IC50	24.7	nM	Inhibition of recombinant mouse wild-type NAMPT expressed in bacterial expression system using PRPP as substrate in presence of mouse NMNAT-3 measured for 1 hr by fluorescence assay
CHEMBL4535593	IC50	13.6	nM	Inhibition of recombinant mouse wild-type NAMPT expressed in bacterial expression system using PRPP as substrate in presence of mouse NMNAT-3 measured for 1 hr by fluorescence assay
CHEMBL4469394	IC50	25.4	nM	Inhibition of recombinant mouse wild-type NAMPT expressed in bacterial expression system using PRPP as substrate in presence of mouse NMNAT-3 measured for 1 hr by fluorescence assay
CHEMBL4470375	IC50	17.1	nM	Inhibition of recombinant mouse wild-type NAMPT expressed in bacterial expression system using PRPP as substrate in presence of mouse NMNAT-3 measured for 1 hr by fluorescence assay
CHEMBL4440197	IC50	42.4	nM	Inhibition of recombinant mouse wild-type NAMPT expressed in bacterial expression system using PRPP as substrate in presence of mouse NMNAT-3 measured for 1 hr by fluorescence assay
CHEMBL4577703	IC50	41.8	nM	Inhibition of recombinant mouse wild-type NAMPT expressed in bacterial expression system using PRPP as substrate in presence of mouse NMNAT-3 measured for 1 hr by fluorescence assay
CHEMBL4567518	IC50	73.8	nM	Inhibition of recombinant mouse wild-type NAMPT expressed in bacterial expression system using PRPP as substrate in presence of mouse NMNAT-3 measured for 1 hr by fluorescence assay
CHEMBL4444551	IC50	42.5	nM	Inhibition of recombinant mouse wild-type NAMPT expressed in bacterial expression system using PRPP as substrate in presence of mouse NMNAT-3 measured for 1 hr by fluorescence assay
CHEMBL4458472	IC50	3.4	nM	Inhibition of recombinant mouse wild-type NAMPT expressed in bacterial expression system using PRPP as substrate in presence of mouse NMNAT-3 measured for 1 hr by fluorescence assay
CHEMBL4555764	IC50	28.5	nM	Inhibition of recombinant mouse wild-type NAMPT expressed in bacterial expression system using PRPP as substrate in presence of mouse NMNAT-3 measured for 1 hr by fluorescence assay
CHEMBL4555772	IC50	500.0	nM	Inhibition of recombinant mouse wild-type NAMPT expressed in bacterial expression system using PRPP as substrate in presence of mouse NMNAT-3 measured for 1 hr by fluorescence assay
CHEMBL4561248	IC50	500.0	nM	Inhibition of recombinant mouse wild-type NAMPT expressed in bacterial expression system using PRPP as substrate in presence of mouse NMNAT-3 measured for 1 hr by fluorescence assay
CHEMBL4462010	IC50	87.9	nM	Inhibition of recombinant mouse wild-type NAMPT expressed in bacterial expression system using PRPP as substrate in presence of mouse NMNAT-3 measured for 1 hr by fluorescence assay
CHEMBL4590810	IC50	38.5	nM	Inhibition of recombinant mouse wild-type NAMPT expressed in bacterial expression system using PRPP as substrate in presence of mouse NMNAT-3 measured for 1 hr by fluorescence assay
CHEMBL4070645	IC50	500.0	nM	Inhibition of recombinant mouse wild-type NAMPT expressed in bacterial expression system using PRPP as substrate in presence of mouse NMNAT-3 measured for 1 hr by fluorescence assay
CHEMBL566757	IC50	2.7	nM	Inhibition of recombinant mouse wild-type NAMPT expressed in bacterial expression system using PRPP as substrate in presence of mouse NMNAT-3 measured for 1 hr by fluorescence assay
CHEMBL5429026	Activity	NA	NA	Binding affinity to NAMPT in mouse B16 cells assessed as increase in thermal stabilization incubated for 3 hrs followed by heating at 46 to 71 degreeC for 3 mins by CETSA assay
CHEMBL5568427	Activity	NA	NA	Induction of NAMPT degradation in mouse CT26 cells at 0.1 to 5 uM incubated for 24 hrs by Western blot analysis
CHEMBL566757	Activity	NA	NA	Induction of NAMPT degradation in mouse CT26 cells assessed as decrease in extracellular NAMPT level incubated for 24 hrs by immunoblot analysis
CHEMBL5572201	IC50	1490.0	nM	Inhibition of N-terminal His-tagged mouse NAMPT transformed in Escherichia coli Rosetta cells
CHEMBL5571277	EC50	1490.0	nM	Activation of N-terminal 6His-tagged mouse NAMPT measured for 20 mins by fluorescence based spectrometer analysis
CHEMBL5571277	Emax	247.0	%	Activation of N-terminal 6His-tagged mouse NAMPT assessed as increase in intracellular NAD+ level measured for 20 mins by fluorescence based spectrometer analysis relative to control
