gene	call	passed_gates	gate_count	failed_gates	substring_closed_in_original_logic	wave55_score	genetic_diseases	ms_genetic_association	ms_wm_delta_log2	ms_wm_p	strict_residual_disease_count	max_clinical_score	max_literature_score	foundation_recommendation	wave34_call	primary_blocker	corrected_wave122_call
PUS10	NO_REOPEN_GENETICS_FIRST_ROUTE	6	11	local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;wave34_not_no_go	False	23.0	AS;Celiac;Crohn;MS;Psoriasis;RA;UC	0.5871795903065286	-0.1800350557802215	0.5667268975128495	0	0.0	0.0720229125503767		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		NO_GO_FRESH_SCAN
SPRED2	NO_REOPEN_GENETICS_FIRST_ROUTE	6	11	local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;wave34_not_no_go	False	23.0	Celiac;Crohn;MS;Psoriasis;RA;SLE	0.6798598760820634	-0.2835103518497526	0.2238020768563351	0	0.0	0.1814504561204685		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		NO_GO_FRESH_SCAN
TAGAP	NO_REOPEN_GENETICS_FIRST_ROUTE	6	11	local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;wave34_not_no_go	False	23.0	AITD;AS;Celiac;Crohn;MS;Psoriasis;RA;T1D;UC	0.7690720106401111	0.4550322625700271	0.2565170635340987	0	0.0	0.220203906268048		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		NO_GO_FRESH_SCAN
IL12B	NO_REOPEN_GENETICS_FIRST_ROUTE	6	11	local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;not_prior_art_crowded;wave34_not_no_go	False	22.5	AITD;AS;Celiac;Crohn;MS;PBC;Psoriasis;RA;SLE;T1D;UC	0.6698761173306804	0.2347246460272134	0.8363232772483672	0	0.994782493894136	0.68368012743092		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		NO_GO_FRESH_SCAN
ANKRD55	NO_REOPEN_GENETICS_FIRST_ROUTE	6	11	local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;wave34_not_no_go	False	22.0	AITD;AS;Celiac;Crohn;MS;Psoriasis;RA;SLE;T1D;UC	0.710779114428204	-0.248205733458104	0.8213839388878235	0	0.0	0.2234774046211542		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		NO_GO_FRESH_SCAN
ELMO1	NO_REOPEN_GENETICS_FIRST_ROUTE	6	11	local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;wave34_not_no_go	False	22.0	AITD;Celiac;Crohn;MS;PBC;Psoriasis;RA	0.5108727446557169	-0.2660429536334607	0.115590147912949	0	0.0	0.6875666661084168		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		NO_GO_FRESH_SCAN
JAZF1	NO_REOPEN_GENETICS_FIRST_ROUTE	6	11	local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;wave34_not_no_go	False	22.0	AS;Crohn;MS;Psoriasis;RA;SLE;T1D;UC	0.4558970423902871	-0.5307690698614227	0.0395106029515515	0	0.0	0.3084369641719846		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		NO_GO_FRESH_SCAN
IL12A	NO_REOPEN_GENETICS_FIRST_ROUTE	6	11	local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;not_prior_art_crowded;wave34_not_no_go	False	21.5	Celiac;MS;PBC;SLE;Sjogren	0.7515116724599907	-0.9142671409053884	0.4432527767673943	0	0.9864871266463598	0.4358403862962234		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		NO_GO_FRESH_SCAN
CARMIL1	NO_REOPEN_GENETICS_FIRST_ROUTE	6	11	ms_genetic_anchor;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;coloc_or_mr_grade	False	21.0	Celiac;Psoriasis;RA;SLE;T1D;UC	0.0	0.0	1.0	0	0.0	0.0		PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE		NO_GO_FRESH_SCAN
DAP	NO_REOPEN_GENETICS_FIRST_ROUTE	6	11	ms_genetic_anchor;residual_support_ge2;perturbation_or_model_support;druggability_or_modality;coloc_or_mr_grade	False	20.0	AS;Crohn;Psoriasis;RA;UC	0.0	0.3933456450044126	0.0080691967127082	0	0.0	0.1322249484805276	do_not_promote	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	no_target_resolved_coloc_or_mr	TESTABLE_FRESH_ROUTE
ADCY3	NO_REOPEN_GENETICS_FIRST_ROUTE	6	11	ms_genetic_anchor;local_cellstate_ge3_no_negative;residual_support_ge2;druggability_or_modality;coloc_or_mr_grade	False	15.0	AS;Crohn;Psoriasis;RA;UC	0.0	0.94176061116719	0.005839364997926	0	0.0	0.1490696976643495		PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE		NO_GO_FRESH_SCAN
CCDC88B	NO_REOPEN_GENETICS_FIRST_ROUTE	6	11	ms_genetic_anchor;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;coloc_or_mr_grade	False	13.0	Crohn;PBC;Psoriasis;RA	0.0	-0.4485293766780085	0.0137066414280347	0	0.0	0.0711785642203606		PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE		NO_GO_FRESH_SCAN
BANK1	NO_REOPEN_GENETICS_FIRST_ROUTE	5	11	ms_genetic_anchor;local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;wave34_not_no_go	False	22.0	AS;Crohn;Psoriasis;RA;SLE;UC	0.0	-1.3276943484174517	0.2391155920390936	0	0.0	0.7954020374096181		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		NO_GO_FRESH_SCAN
CDKAL1	NO_REOPEN_GENETICS_FIRST_ROUTE	5	11	ms_genetic_anchor;local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;wave34_not_no_go	False	22.0	AS;Crohn;Psoriasis;RA;T1D;UC	0.0	-0.6895238072804037	0.4020741645624514	0	0.0	0.1307596127494817		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		NO_GO_FRESH_SCAN
IRF4	NO_REOPEN_GENETICS_FIRST_ROUTE	5	11	ms_genetic_anchor;local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;wave34_not_no_go	False	22.0	AITD;Celiac;Crohn;Psoriasis;RA;SLE;T1D	0.0	0.0444471151552097	0.910671703211036	0	0.0	0.8518865684738582		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		NO_GO_FRESH_SCAN
TNFSF15	NO_REOPEN_GENETICS_FIRST_ROUTE	5	11	ms_genetic_anchor;local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;wave34_not_no_go	False	22.0	AITD;AS;Celiac;Crohn;PBC;Psoriasis;RA;SLE;T1D;UC	0.0	0.3944092138441286	0.7556576392930524	0	0.0	0.4793535029518927		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		NO_GO_FRESH_SCAN
HHEX	NO_REOPEN_GENETICS_FIRST_ROUTE	5	11	local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;coloc_or_mr_grade;wave34_not_no_go	False	21.0	AS;Crohn;MS;Psoriasis;T1D;UC	0.681010607837959	0.0042664676508863	0.9916450827045664	0	0.0	0.2133887760516591		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		NO_GO_FRESH_SCAN
PRKCB	NO_REOPEN_GENETICS_FIRST_ROUTE	5	11	ms_genetic_anchor;local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;coloc_or_mr_grade;wave34_not_no_go	False	21.0	AS;Crohn;PBC;Psoriasis;RA;SLE;UC	0.0	0.2060386471848883	0.4904213807858716	0	0.4255515583281347	0.3988642844149048		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		NO_GO_FRESH_SCAN
RGS1	NO_REOPEN_GENETICS_FIRST_ROUTE	5	11	local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;coloc_or_mr_grade;wave34_not_no_go	False	21.0	Celiac;MS;Psoriasis;SLE;T1D	0.7617823162144582	-0.0425294777030735	0.8978310658595267	0	0.0	0.3112487475005298		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		NO_GO_FRESH_SCAN
GATA3	NO_REOPEN_GENETICS_FIRST_ROUTE	5	11	local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;coloc_or_mr_grade;wave34_not_no_go	False	20.0	AITD;Crohn;MS;Psoriasis;RA;T1D	0.6790135416440723	-0.6132936980304162	0.6068498814068135	0	0.0	0.4757334921965453		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		NO_GO_FRESH_SCAN
STAT3	NO_REOPEN_GENETICS_FIRST_ROUTE	5	11	local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;coloc_or_mr_grade;wave34_not_no_go	False	20.0	AS;Crohn;MS;Psoriasis;UC	0.6380651275555957	-0.0052452399033047	0.9827297093959808	0	0.0	0.8430116569041388		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		NO_GO_FRESH_SCAN
ZFP36L1	NO_REOPEN_GENETICS_FIRST_ROUTE	5	11	local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;coloc_or_mr_grade;wave34_not_no_go	False	20.0	Crohn;MS;RA;T1D;UC	0.6968469784779934	-0.0670408425299662	0.8367440032626986	0	0.0	0.0182379239283486		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		NO_GO_FRESH_SCAN
RAD51B	NO_REOPEN_GENETICS_FIRST_ROUTE	5	11	ms_genetic_anchor;local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;coloc_or_mr_grade	False	19.0	AITD;PBC;Psoriasis;RA;SLE	0.0	0.5328164940259636	0.0994867490177902	0	0.0	0.355470646936795		PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE		NO_GO_FRESH_SCAN
TCF7	NO_REOPEN_GENETICS_FIRST_ROUTE	5	11	local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;coloc_or_mr_grade;wave34_not_no_go	False	19.0	AITD;MS;RA;SLE	0.5270494672877762	-0.9928803627695596	0.3670052559778786	0	0.0	0.387214285501541		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		NO_GO_FRESH_SCAN
FCRL3	NO_REOPEN_GENETICS_FIRST_ROUTE	5	11	local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;coloc_or_mr_grade;wave34_not_no_go	False	18.0	AITD;MS;RA;SLE	0.5517145730297216	0.0	1.0	0	0.0	0.8112280516662363		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		NO_GO_FRESH_SCAN
MAF	NO_REOPEN_GENETICS_FIRST_ROUTE	5	11	local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;coloc_or_mr_grade;wave34_not_no_go	False	16.0	AITD;MS;RA;SLE;T1D	0.6421331592244435	-0.1853968291999237	0.2802397575923724	0	0.0	0.2325247438857955		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		NO_GO_FRESH_SCAN
MYC	NO_REOPEN_GENETICS_FIRST_ROUTE	5	11	local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;coloc_or_mr_grade;wave34_not_no_go	False	16.0	AITD;MS;RA;SLE	0.5656569040590824	0.1796494504019694	0.5466328849061214	0	0.0	0.3998884762146096		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		NO_GO_FRESH_SCAN
RBM17	NO_REOPEN_GENETICS_FIRST_ROUTE	5	11	local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;coloc_or_mr_grade;wave34_not_no_go	False	16.0	AITD;Crohn;MS;T1D	0.5551013179269065	-0.2093395955573118	0.0855461740295809	0	0.0	0.0334361938686391		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		NO_GO_FRESH_SCAN
SOX4	NO_REOPEN_GENETICS_FIRST_ROUTE	5	11	ms_genetic_anchor;local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;coloc_or_mr_grade	False	16.0	AITD;AS;Crohn;Psoriasis;RA;T1D;UC	0.0	0.5311751608170248	0.2211898641027095	0	0.0	0.5327406310857624				NO_GO_FRESH_SCAN
TIMMDC1	NO_REOPEN_GENETICS_FIRST_ROUTE	5	11	local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;coloc_or_mr_grade;wave34_not_no_go	False	16.0	AITD;MS;PBC;SLE	0.5557308596507488	-0.0586969543615243	0.7391838005033734	0	0.0	0.057753425773104		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		NO_GO_FRESH_SCAN
MMEL1	NO_REOPEN_GENETICS_FIRST_ROUTE	5	11	local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;coloc_or_mr_grade;wave34_not_no_go	False	15.0	AITD;Celiac;MS;RA	0.639398357329936	0.0	1.0	0	0.0	0.1697984491662458		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		NO_GO_FRESH_SCAN
RGS14	NO_REOPEN_GENETICS_FIRST_ROUTE	5	11	local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;coloc_or_mr_grade;wave34_not_no_go	False	15.0	Crohn;MS;Psoriasis;UC	0.6128154878511243	-0.5035394425450566	0.0463387063426136	0	0.0	0.1611016613670796		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		NO_GO_FRESH_SCAN
C7orf33	NO_REOPEN_GENETICS_FIRST_ROUTE	5	11	ms_genetic_anchor;local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;coloc_or_mr_grade	False	14.0	AS;Crohn;Psoriasis;RA;UC	0.0	0.0	1.0	0	0.0	0.0				NO_GO_FRESH_SCAN
NRSN1	NO_REOPEN_GENETICS_FIRST_ROUTE	5	11	ms_genetic_anchor;local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;coloc_or_mr_grade	False	14.0	AS;Celiac;Psoriasis;RA	0.0	0.0	1.0	0	0.0	0.0607930797611621				NO_GO_FRESH_SCAN
PTPRC	NO_REOPEN_GENETICS_FIRST_ROUTE	5	11	genetic_breadth_ge4;ms_genetic_anchor;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;coloc_or_mr_grade	False	13.0	Crohn;RA;SLE	0.0	-0.113124324622241	0.4867941866985115	0	0.0	0.7355462060546292		PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE		NO_GO_FRESH_SCAN
FLT3	NO_REOPEN_GENETICS_FIRST_ROUTE	5	11	ms_genetic_anchor;local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;coloc_or_mr_grade;wave34_not_no_go	False	12.0	AITD;Celiac;RA;SLE	0.0	-0.6902849264744133	0.4934309667954975	0	0.3343619386863916	0.7886793483369935		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		NO_GO_FRESH_SCAN
ETV7	NO_REOPEN_GENETICS_FIRST_ROUTE	5	11	genetic_breadth_ge4;ms_genetic_anchor;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;coloc_or_mr_grade	False	11.0	RA;UC	0.0	1.2818765454897223	0.1865737416259766	0	0.0	0.1823792392834863		PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE		NO_GO_FRESH_SCAN
LITAF	NO_REOPEN_GENETICS_FIRST_ROUTE	5	11	genetic_breadth_ge4;ms_genetic_anchor;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;coloc_or_mr_grade	False	11.0	Crohn;UC	0.0	0.3084198322537244	0.1715754140954014	0	0.0	0.1762999313073701		PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE		NO_GO_FRESH_SCAN
TRIB2	NO_REOPEN_GENETICS_FIRST_ROUTE	5	11	ms_genetic_anchor;local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;coloc_or_mr_grade	False	11.0	AITD;SLE;T1D;UC	0.0	0.380847939905391	0.496861804102527	0	0.0	0.0334361938686391		PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE		NO_GO_FRESH_SCAN
DENND1B	NO_REOPEN_GENETICS_FIRST_ROUTE	4	11	ms_genetic_anchor;local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;coloc_or_mr_grade;wave34_not_no_go	False	21.0	AS;Crohn;PBC;Psoriasis;RA;UC	0.0	-0.0366817446865681	0.9374309900610388	0	0.0	0.0699120417253364		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		NO_GO_FRESH_SCAN
IFIH1	NO_REOPEN_GENETICS_FIRST_ROUTE	4	11	ms_genetic_anchor;local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;not_prior_art_crowded;coloc_or_mr_grade;wave34_not_no_go	False	21.0	AITD;AS;Crohn;Psoriasis;RA;SLE;T1D;UC	0.0	0.0762356111761359	0.838617040488483	0	0.0	0.902000684562585		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		NO_GO_FRESH_SCAN
RUNX3	NO_REOPEN_GENETICS_FIRST_ROUTE	4	11	ms_genetic_anchor;local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;coloc_or_mr_grade;wave34_not_no_go	False	21.0	AITD;AS;Crohn;Psoriasis;RA;UC	0.0	0.5788760327332341	0.1142154937199303	0	0.0	0.6639929918878944		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		NO_GO_FRESH_SCAN
SKAP2	NO_REOPEN_GENETICS_FIRST_ROUTE	4	11	ms_genetic_anchor;local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;coloc_or_mr_grade;wave34_not_no_go	False	21.0	AITD;AS;Crohn;Psoriasis;RA;T1D;UC	0.0	-0.0913662658111622	0.6379850360845152	0	0.0	0.4071887658286861		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		NO_GO_FRESH_SCAN
SMAD3	NO_REOPEN_GENETICS_FIRST_ROUTE	4	11	ms_genetic_anchor;local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;coloc_or_mr_grade;wave34_not_no_go	False	21.0	AITD;AS;Celiac;Crohn;Psoriasis;RA;SLE;T1D;UC	0.0	0.1727800690299723	0.3984778468953826	0	0.0	0.5418034426066807		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		NO_GO_FRESH_SCAN
TNRC18	NO_REOPEN_GENETICS_FIRST_ROUTE	4	11	ms_genetic_anchor;local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;coloc_or_mr_grade;wave34_not_no_go	False	21.0	AITD;AS;Crohn;Psoriasis;RA;T1D;UC	0.0	-0.1615953838999999	0.2659382247571401	0	0.0	0.0927094466357722		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		NO_GO_FRESH_SCAN
CD226	NO_REOPEN_GENETICS_FIRST_ROUTE	4	11	ms_genetic_anchor;local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;coloc_or_mr_grade;wave34_not_no_go	False	20.0	AITD;Crohn;PBC;RA;SLE;T1D	0.0	-0.3352692888469644	0.3764303817680995	0	0.0	0.8509358068936137		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		NO_GO_FRESH_SCAN
ERAP1	NO_REOPEN_GENETICS_FIRST_ROUTE	4	11	ms_genetic_anchor;local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;coloc_or_mr_grade;wave34_not_no_go	False	20.0	AS;Crohn;Psoriasis;RA;UC	0.0	-0.4495294754619259	0.0342136449797786	0	0.0	0.6266314062729791		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		NO_GO_FRESH_SCAN
ETS1	NO_REOPEN_GENETICS_FIRST_ROUTE	4	11	ms_genetic_anchor;local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;coloc_or_mr_grade;wave34_not_no_go	False	20.0	Celiac;PBC;Psoriasis;RA;SLE	0.0	0.0153749961763871	0.9662802005584104	0	0.0	0.8256964630655488		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		NO_GO_FRESH_SCAN
HDAC7	NO_REOPEN_GENETICS_FIRST_ROUTE	4	11	ms_genetic_anchor;local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;coloc_or_mr_grade;wave34_not_no_go	False	20.0	AS;Crohn;Psoriasis;RA;UC	0.0	-0.3727799124769984	0.1076347161400334	0	0.0455948098208715	0.1823792392834863		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		NO_GO_FRESH_SCAN
IKZF1	NO_REOPEN_GENETICS_FIRST_ROUTE	4	11	ms_genetic_anchor;local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;coloc_or_mr_grade;wave34_not_no_go	False	20.0	AS;Crohn;Psoriasis;RA;SLE;T1D;UC	0.0	-0.0258804352952601	0.876413603145739	0	0.0	0.7915647496059419		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		NO_GO_FRESH_SCAN
IL12RB2	NO_REOPEN_GENETICS_FIRST_ROUTE	4	11	ms_genetic_anchor;local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;coloc_or_mr_grade;wave34_not_no_go	False	20.0	Crohn;PBC;Psoriasis;RA;SLE;UC	0.0	0.139245532409824	0.895779015745345	0	0.0	0.3647779647558382		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		NO_GO_FRESH_SCAN
IL18R1	NO_REOPEN_GENETICS_FIRST_ROUTE	4	11	ms_genetic_anchor;local_cellstate_ge3_no_negative;strict_ms_local_nominal;residual_support_ge2;druggability_or_modality;coloc_or_mr_grade;wave34_not_no_go	False	20.0	AS;Celiac;Crohn;Psoriasis;RA;UC	0.0	-1.6031582751287292	0.1617058219734904	0	0.0	0.4266351157466937		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY		NO_GO_FRESH_SCAN
