gene	europepmc_query	europepmc_hit_count	europepmc_examples_json	europepmc_url
MMP7	"""MMP7"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	1804	"[{""doi"": ""10.1016/j.cca.2026.121069"", ""id"": ""42107815"", ""source"": ""MED"", ""title"": ""Emerging biomarkers in IgA nephropathy, membranous nephropathy, and lupus nephritis."", ""year"": ""2026""}, {""doi"": ""10.1371/journal.pone.0330332"", ""id"": ""40892863"", ""source"": ""MED"", ""title"": ""Transcriptional profiling identification of inflammatory signaling pathways in ulcerative colitis."", ""year"": ""2025""}, {""doi"": ""10.1111/1440-1681.70073"", ""id"": ""40968516"", ""source"": ""MED"", ""title"": ""Overexpression of miR-718 in Keratinocytes Affects the Psoriatic Inflammation via Targeting STAT1: In\u00a0Vitro and In\u00a0Vivo Evidence."", ""year"": ""2025""}]"	https://europepmc.org/search?query=%22MMP7%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
CCL20	"""CCL20"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	8790	"[{""doi"": ""10.1097/md.0000000000044022"", ""id"": ""40859509"", ""source"": ""MED"", ""title"": ""Chemotaxis-related molecular markers underlying the immune disorder of psoriasis and ulcerative colitis: Preliminary analysis and verification."", ""year"": ""2025""}, {""doi"": ""10.1097/md.0000000000045735"", ""id"": ""41239614"", ""source"": ""MED"", ""title"": ""Causality relationship between 91 inflammatory factors and 5 intestinal diseases: A two-sample bidirectional Mendelian randomized study."", ""year"": ""2025""}, {""doi"": ""10.3390/biomedicines13102472"", ""id"": ""41153754"", ""source"": ""MED"", ""title"": ""Interferons in Autoimmunity: From Loss of Tolerance to Chronic Inflammation."", ""year"": ""2025""}]"	https://europepmc.org/search?query=%22CCL20%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
HLA-DRB1	"""HLA-DRB1"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	16705	"[{""doi"": ""10.14218/jcth.2025.00153"", ""id"": ""41089714"", ""source"": ""MED"", ""title"": ""Autoimmune Hepatitis Associated with Other Autoimmune Diseases: A Critical Review."", ""year"": ""2025""}, {""doi"": ""10.1111/tan.70759"", ""id"": ""42174329"", ""source"": ""MED"", ""title"": ""An Accurate Genetic Colocalisation Method for the HLA Locus."", ""year"": ""2026""}, {""doi"": ""10.1167/tvst.15.2.15"", ""id"": ""41677390"", ""source"": ""MED"", ""title"": ""Exploring the Genetic Association and Genetic Architecture of Iridocyclitis and Extraocular Autoimmune Diseases."", ""year"": ""2026""}]"	https://europepmc.org/search?query=%22HLA-DRB1%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
IL23A	"""IL23A"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	3115	"[{""doi"": ""10.1097/md.0000000000046924"", ""id"": ""41496107"", ""source"": ""MED"", ""title"": ""New-onset ulcerative colitis temporally associated with with ixekizumab in a psoriasis patient successfully treated with guselkunmab: A case report."", ""year"": ""2026""}, {""doi"": ""10.1038/s43856-026-01487-9"", ""id"": ""41794919"", ""source"": ""MED"", ""title"": ""Identifying genetic and cellular connections and distinctions among 15 autoimmune diseases using an in-silico approach."", ""year"": ""2026""}, {""doi"": ""10.1002/mco2.70310"", ""id"": ""40757098"", ""source"": ""MED"", ""title"": ""T Cell-Specific Deficiency of Src Homology 2-Containing Protein Tyrosine Phosphatase 2 Ameliorates Psoriasis and Colitis by Promoting Treg Differentiation."", ""year"": ""2025""}]"	https://europepmc.org/search?query=%22IL23A%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
DBI	"""DBI"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	882	"[{""doi"": ""10.1038/s41598-025-94053-7"", ""id"": ""40148470"", ""source"": ""MED"", ""title"": ""Exploring new drug treatment targets for immune related bone diseases using a multi omics joint analysis strategy."", ""year"": ""2025""}, {""doi"": ""10.21873/invivo.13799"", ""id"": ""39477420"", ""source"": ""MED"", ""title"": ""Molecular Hydrogen Therapy in Aneurysmal SAH With RA and Newly-diagnosed SLE, Complicated With Acute Ischemic Infarction: A Case Report of Improved Immune Markers Including Tr1 Cells, Breg Cells and TIM3 Expression on Tc Cells."", ""year"": ""2024""}, {""doi"": ""10.1007/s10616-026-00969-x"", ""id"": ""42117030"", ""source"": ""MED"", ""title"": ""Puerarin attenuates keratinocyte proliferation and inflammatory responses in psoriasis via downregulating TIMP2 and alleviating endoplasmic reticulum stress."", ""year"": ""2026""}]"	https://europepmc.org/search?query=%22DBI%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
PSMA3	"""PSMA3"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	343	"[{""doi"": ""10.1097/bor.0000000000001072"", ""id"": ""39660463"", ""source"": ""MED"", ""title"": ""Genetic and epigenetic factors shape phenotypes and outcomes in systemic lupus erythematosus - focus on juvenile-onset systemic lupus erythematosus."", ""year"": ""2025""}, {""doi"": ""10.1002/cam4.71371"", ""id"": ""41316520"", ""source"": ""MED"", ""title"": ""METTL14 Regulates the Expression of Genes Related to Interferon, Interleukin and MHC Class I in Nasopharyngeal Carcinoma Cells."", ""year"": ""2025""}, {""doi"": ""10.3389/fimmu.2022.948885"", ""id"": ""35812380"", ""source"": ""MED"", ""title"": ""Editorial: Advances in Using Big Data and Artificial Intelligence to Understand Heterogeneity in Inflammatory Responses."", ""year"": ""2022""}]"	https://europepmc.org/search?query=%22PSMA3%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
FXYD5	"""FXYD5"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	104	"[{""doi"": ""10.1016/j.gendis.2025.101847"", ""id"": ""41630949"", ""source"": ""MED"", ""title"": ""The functions of FXYD family members in human health and disease."", ""year"": ""2026""}, {""doi"": ""10.1186/s12935-025-04080-7"", ""id"": ""41526926"", ""source"": ""MED"", ""title"": ""Development and validation of a diagnostic machine learning model for gastric cancer risk based on double-negative T cell-related features."", ""year"": ""2026""}, {""doi"": ""10.1002/hsr2.71659"", ""id"": ""41542331"", ""source"": ""MED"", ""title"": ""Integrated Single Cell Spatial Analysis Reveals Dysregulated Basal Progenitor Cells in Ulcerative Colitis Pathogenesis: A Multi Omics Study."", ""year"": ""2026""}]"	https://europepmc.org/search?query=%22FXYD5%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
SCD	"""SCD"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	7514	"[{""doi"": ""10.3389/fimmu.2026.1726566"", ""id"": ""41983129"", ""source"": ""MED"", ""title"": ""Ferroptosis: unveiling a transformative perspective in the landscape of autoimmune diseases."", ""year"": ""2026""}, {""doi"": ""10.1155/grp/4038190"", ""id"": ""41953070"", ""source"": ""MED"", ""title"": ""Identification of Symptom Clusters and Core Symptoms in Inflammatory Bowel Disease: A Network Analysis in Chinese Cohorts."", ""year"": ""2026""}, {""doi"": ""10.3389/fimmu.2025.1713148"", ""id"": ""41280910"", ""source"": ""MED"", ""title"": ""Immunocyte lipid metabolic reprogramming: a novel pathway for targeted intervention in autoimmune diseases."", ""year"": ""2025""}]"	https://europepmc.org/search?query=%22SCD%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
CD74	"""CD74"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	4629	"[{""doi"": ""10.3390/ijms27062829"", ""id"": ""41898690"", ""source"": ""MED"", ""title"": ""Bridging Inflammation and Oncology: The Role and Therapeutic Potential of Macrophage Migration Inhibitory Factor in Lung Cancer."", ""year"": ""2026""}, {""doi"": ""10.1007/s00210-026-05175-2"", ""id"": ""41814035"", ""source"": ""MED"", ""title"": ""Constructing a protein-protein interaction network for autoimmune liver diseases by integrating pQTL, rQTL, and mediation analyses."", ""year"": ""2026""}, {""doi"": ""10.1021/acs.jproteome.6c00089"", ""id"": ""42059822"", ""source"": ""MED"", ""title"": ""Proteomic Biomarker Discovery in Cerebrospinal Fluid Identifies CD74 and CD14 for Differentiating Multiple Sclerosis from Neuromyelitis Optica."", ""year"": ""2026""}]"	https://europepmc.org/search?query=%22CD74%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
TIMP1	"""TIMP1"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	5545	"[{""doi"": ""10.1186/s12863-026-01414-w"", ""id"": ""41851628"", ""source"": ""MED"", ""title"": ""A curated list of immune system associated genes related to cancer."", ""year"": ""2026""}, {""doi"": ""10.1093/ibd/izaf325"", ""id"": ""41544041"", ""source"": ""MED"", ""title"": ""Plasma Proteomics for Risk Prediction and Therapeutic Target Discovery in Crohn's Disease and Ulcerative Colitis."", ""year"": ""2026""}, {""doi"": ""10.1016/j.prp.2025.156334"", ""id"": ""41406923"", ""source"": ""MED"", ""title"": ""Harnessing the therapeutic potential of TIMP-1 in autoimmune inflammation: A prospective insight."", ""year"": ""2026""}]"	https://europepmc.org/search?query=%22TIMP1%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
CFB	"""CFB"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	2318	"[{""doi"": ""10.1167/tvst.15.2.15"", ""id"": ""41677390"", ""source"": ""MED"", ""title"": ""Exploring the Genetic Association and Genetic Architecture of Iridocyclitis and Extraocular Autoimmune Diseases."", ""year"": ""2026""}, {""doi"": ""10.1371/journal.pone.0339397"", ""id"": ""41481752"", ""source"": ""MED"", ""title"": ""Analysis of common differential gene expression between rheumatoid arthritis and ulcerative colitis."", ""year"": ""2026""}, {""doi"": ""10.1111/ijd.70160"", ""id"": ""41258759"", ""source"": ""MED"", ""title"": ""Exonic Variation in HLA-C, CFB, and TAP2 Associated With Increased Risk for Comorbid Crohn's Disease and Psoriasis."", ""year"": ""2026""}]"	https://europepmc.org/search?query=%22CFB%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
PTPRE	"""PTPRE"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	144	"[{""doi"": ""10.1002/kjm2.70064"", ""id"": ""40586619"", ""source"": ""MED"", ""title"": ""Astragaloside IV Alleviates Ulcerative Colitis Progression by Inhibiting WDR5-Mediated ENO1\u00a0H3K4me3 Modification."", ""year"": ""2025""}, {""doi"": ""10.1002/hsr2.71659"", ""id"": ""41542331"", ""source"": ""MED"", ""title"": ""Integrated Single Cell Spatial Analysis Reveals Dysregulated Basal Progenitor Cells in Ulcerative Colitis Pathogenesis: A Multi Omics Study."", ""year"": ""2026""}, {""doi"": ""10.3389/fimmu.2026.1753808"", ""id"": ""41798917"", ""source"": ""MED"", ""title"": ""Blood-based epigenetic biomarkers in rheumatoid arthritis: current knowledge and future perspectives."", ""year"": ""2026""}]"	https://europepmc.org/search?query=%22PTPRE%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
CASP4	"""CASP4"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	670	"[{""doi"": ""10.7717/peerj.20345"", ""id"": ""41368500"", ""source"": ""MED"", ""title"": ""Biomarkers of mitochondrial permeability transition-driven necrosis in the regulation of ulcerative colitis."", ""year"": ""2025""}, {""doi"": ""10.1038/s41598-025-27363-5"", ""id"": ""41422315"", ""source"": ""MED"", ""title"": ""Autophagy related biomarkers in ulcerative colitis revealed by bioinformatics analysis and immune correlation."", ""year"": ""2025""}, {""doi"": ""10.3390/medsci13040310"", ""id"": ""41440542"", ""source"": ""MED"", ""title"": ""Emerging Insights into the Interplay Between PANoptosis and Autophagy in Immune Regulation and Immune-Mediated Inflammatory Diseases."", ""year"": ""2025""}]"	https://europepmc.org/search?query=%22CASP4%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
AGRN	"""AGRN"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	527	"[{""doi"": ""10.1016/j.jtauto.2025.100333"", ""id"": ""41323472"", ""source"": ""MED"", ""title"": ""Mendelian randomization study of the causal relationship between autoimmune diseases and anemia using proteomic and genetic data."", ""year"": ""2025""}, {""doi"": ""10.1097/md.0000000000048610"", ""id"": ""42065213"", ""source"": ""MED"", ""title"": ""Identification of COL5A1 and TGFBI as key basement membrane genes and their molecular mechanisms in gestational diabetes mellitus."", ""year"": ""2026""}, {""doi"": ""10.1007/s10067-025-07528-3"", ""id"": ""40500568"", ""source"": ""MED"", ""title"": ""Luminex-based pilot study identifies novel serum autoantibodies associated with disease activity in patients with lupus nephritis."", ""year"": ""2025""}]"	https://europepmc.org/search?query=%22AGRN%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
PI3	"""PI3"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	5943	"[{""doi"": ""10.1126/sciadv.adz7117"", ""id"": ""42160433"", ""source"": ""MED"", ""title"": ""The immunoproteome and multimorbidity: A Mendelian randomization study."", ""year"": ""2026""}, {""doi"": null, ""id"": ""IND609261857"", ""source"": ""AGR"", ""title"": ""Stromal-derived factor-1: The glycoprotein fueling autoimmune storms via CXCR4 and CXCR7"", ""year"": ""2025""}, {""doi"": ""10.1016/j.ijbiomac.2025.146374"", ""id"": ""40738440"", ""source"": ""MED"", ""title"": ""Stromal-derived factor-1: The glycoprotein fueling autoimmune storms via CXCR4 and CXCR7."", ""year"": ""2025""}]"	https://europepmc.org/search?query=%22PI3%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
CD24	"""CD24"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	6126	"[{""doi"": ""10.1155/mi/7430042"", ""id"": ""41532007"", ""source"": ""MED"", ""title"": ""Decoy Receptors in Autoimmunity: Molecular Guardians and Pathogenic Players in Immune Dysregulation."", ""year"": ""2026""}, {""doi"": ""10.2147/jir.s582297"", ""id"": ""41978837"", ""source"": ""MED"", ""title"": ""Impaired Macrophage Efferocytosis: Shared Mechanisms and Therapeutic Implications in Immune-Mediated Inflammatory Diseases."", ""year"": ""2026""}, {""doi"": ""10.1002/iid3.70413"", ""id"": ""41910015"", ""source"": ""MED"", ""title"": ""The Level and Clinical Significance of B Lymphocytes and Immune Molecules (IL-4, IL-10, BAFF, and IgD) in Psoriasis."", ""year"": ""2026""}]"	https://europepmc.org/search?query=%22CD24%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
MTHFD2	"""MTHFD2"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	385	"[{""doi"": ""10.1186/s12950-025-00469-3"", ""id"": ""41088269"", ""source"": ""MED"", ""title"": ""The critical role of methylenetetrahydrofolate dehydrogenases in immune regulation and auto-immunity."", ""year"": ""2025""}, {""doi"": ""10.1186/s12967-026-07764-4"", ""id"": ""42057184"", ""source"": ""MED"", ""title"": ""MTHFD2: a promising metabolic checkpoint for diseases."", ""year"": ""2026""}, {""doi"": ""10.3389/fimmu.2025.1637436"", ""id"": ""40918103"", ""source"": ""MED"", ""title"": ""Metabolites as regulators of autoimmune diseases."", ""year"": ""2025""}]"	https://europepmc.org/search?query=%22MTHFD2%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
