gene	tested_compartment_count	positive_compartment_count	negative_compartment_count	positive_fdr10_compartment_count	negative_fdr10_compartment_count	positive_disease_count	negative_disease_count	positive_diseases	negative_diseases	best_positive_p	best_positive_fdr	max_positive_delta_log2_cpm	median_positive_hedges_g	best_negative_p	min_negative_delta_log2_cpm	top_positive_compartments	in_lipid_lysosomal_myeloid_neighborhood	ms_wm_delta_log2	ms_wm_hedges_g	ms_wm_p	ms_wm_fdr	opentargets_disease_count	opentargets_diseases	opentargets_max_overall	opentargets_max_genetic_association	opentargets_max_known_drug_or_clinical	opentargets_channels_present	existing_priority_score	existing_weighted_evidence_score	existing_ms_anchor_score	existing_positive_disease_count	existing_negative_disease_count	existing_positive_diseases	existing_negative_diseases	existing_prior_flag	ms_positive_nominal	ms_positive_trend	genetic_or_target_db_breadth	discovery_priority_score	has_ms_anchor	broad_pool_reason
CARD16	16	6	0	1	0	5	0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.000980632648568	0.0976804601671022	2.1589492804314174	1.921646184326698			ibd_uc_myeloid:1.31,p=0.00098;ibd_crohn_myeloid:1.34,p=0.0012;sjogren_gland_apc:0.729,p=0.0075;ibd_crohn_epithelial:0.544,p=0.026;psoriasis_keratinocyte:0.658,p=0.031;t1d_endothelial_cell:2.16,p=0.032	False	0.427054014710313	0.2844455379670491	0.494819097605486	0.9274484982877348															False	False	0.0	23.0	False	positive_disease_count>=4
LRRC59	17	7	0	0	0	5	0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0017941372028439	0.1120274702894039	1.0999230849160515	1.1958555055172058			ibd_crohn_epithelial:0.87,p=0.0018;ibd_crohn_stromal:1.1,p=0.002;t1d_stellate_cell:0.365,p=0.014;t1d_endothelial_cell:0.649,p=0.018;psoriasis_skin_stromal:0.77,p=0.035;sjogren_gland_stromal:0.484,p=0.046;ibd_uc_stromal:0.676,p=0.049	False	0.0422703381969409	0.0849415488423975	0.8419061527165945	0.9761732664217524							1.8911529578967183	0.1955764789483592	1.6955764789483592	1.0	0.0	MS			False	False	0.0	22.094557647894835	False	positive_disease_count>=4
FAM136A	17	7	0	0	0	5	0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0017416842042863	0.2240536434437663	1.1063340467484233	1.4844478645916026			psoriasis_keratinocyte:0.631,p=0.0017;ibd_uc_stromal:0.681,p=0.012;ibd_crohn_stromal:0.469,p=0.017;ibd_uc_epithelial:0.551,p=0.026;sjogren_gland_stromal:0.276,p=0.027;ibd_crohn_epithelial:0.457,p=0.034;t1d_endothelial_cell:1.11,p=0.05	False	-0.3296785879844943	-0.4148211854848093	0.3541914497691751	0.9141270983319502															False	False	0.0	22.0	False	positive_disease_count>=4
NLRC5	17	7	0	0	0	5	0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0175079951356219	0.2895486001666585	2.2015875975547057	1.4381302297400378			t1d_stellate_cell:1.26,p=0.018;ibd_crohn_myeloid:2.2,p=0.02;psoriasis_skin_apc:1.72,p=0.021;psoriasis_skin_stromal:1.34,p=0.024;ibd_uc_myeloid:1.9,p=0.035;sjogren_gland_epithelial:0.859,p=0.036;ibd_crohn_stromal:1.18,p=0.044	False	-0.1754720644354748	-0.2938979363454603	0.4867392295596717	0.926038761164836															False	False	0.0	22.0	False	positive_disease_count>=4
PPIA	17	6	0	0	0	5	0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0059984809470958	0.1779473752415412	0.6032286382537198	1.3237794114884152			ibd_uc_stromal:0.365,p=0.006;sjogren_gland_epithelial:0.298,p=0.016;t1d_acinar_cell:0.603,p=0.025;ibd_crohn_epithelial:0.327,p=0.035;psoriasis_skin_apc:0.603,p=0.039;sjogren_gland_apc:0.282,p=0.044	False	0.0798111319015699	0.227219782558099	0.5869705544995741	0.9464449594593544							0.4892503554771201	-1.01074964452288	1.5	0.0	0.0				False	False	0.0	21.024462517773856	False	positive_disease_count>=4
JAK3	17	6	1	0	1	5	1	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	type 1 diabetes mellitus	0.0035351117672525	0.2422075770030539	2.4342049339385885	1.7827621433056815	0.0005170796143433	-0.5459554814273716	psoriasis_skin_stromal:1.06,p=0.0035;psoriasis_skin_apc:2.21,p=0.0073;ibd_uc_myeloid:2.43,p=0.012;ibd_crohn_myeloid:2.34,p=0.012;sjogren_gland_apc:1.93,p=0.021;t1d_stellate_cell:1.22,p=0.037	False	-1.2743341179086656	-1.1157412146530312	0.0149902470163362	0.8372898579012464															False	False	0.0	17.0	False	positive_disease_count>=4
CBX3	17	10	0	2	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.001213209873737	0.0947343849407491	0.8123403245221184	1.7084156224901317			ibd_crohn_epithelial:0.379,p=0.0012;ibd_uc_stromal:0.706,p=0.0014;psoriasis_skin_stromal:0.495,p=0.0031;t1d_stellate_cell:0.392,p=0.0038;t1d_acinar_cell:0.707,p=0.0083;psoriasis_keratinocyte:0.812,p=0.012;ibd_uc_myeloid:0.378,p=0.026;t1d_ductal_cell:0.376,p=0.027	False	0.3505111291715241	1.1456836022078896	0.0165873089490037	0.8372898579012464															True	True	0.0	33.0	True	positive_disease_count>=4
MMP7	15	7	0	3	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		3.734151797283838e-05	0.0162103214185722	5.172586331893583	1.8069713499380848			ibd_uc_epithelial:5.17,p=3.7e-05;t1d_endothelial_cell:4.48,p=4.3e-05;t1d_stellate_cell:4.73,p=0.00023;t1d_acinar_cell:2.39,p=0.0017;t1d_ductal_cell:0.53,p=0.029;ibd_crohn_epithelial:1.8,p=0.037;psoriasis_keratinocyte:1.55,p=0.038	False	1.836134503047833	0.5794242319458226	0.1901690746366625	0.8993702893651148															False	False	0.0	25.0	True	positive_disease_count>=4
FMNL2	17	5	0	0	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0028762020248056	0.1170473939296968	1.458620390779716	1.728910431209957			ibd_uc_epithelial:1.27,p=0.0029;ibd_crohn_epithelial:0.603,p=0.01;psoriasis_keratinocyte:1.46,p=0.015;t1d_endothelial_cell:1.33,p=0.019;t1d_ductal_cell:0.885,p=0.035	False	0.4116873433440275	1.0373027404352155	0.0323812070948891	0.8506970233122761							2.173760330676849	0.3368801653384247	1.8368801653384248	1.0	0.0	MS			True	True	0.0	24.108688016533844	True	positive_disease_count>=4
TNFAIP8L1	17	4	0	0	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0243964644096606	0.2900620625148351	1.4268643464216266	1.3831822236030145			ibd_crohn_stromal:1.43,p=0.024;ibd_uc_epithelial:1.28,p=0.031;t1d_beta_cell:0.593,p=0.034;psoriasis_skin_stromal:0.466,p=0.043	False	0.4563149724166724	1.2714440874720627	0.0085624242089706	0.8349413280632139															True	True	0.0	23.0	True	positive_disease_count>=4
CCL20	16	8	0	0	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0016712706999653	0.1217290766431793	6.085702345455086	2.0089339263285684			ibd_uc_myeloid:6.09,p=0.0017;ibd_crohn_epithelial:1.79,p=0.0035;ibd_crohn_myeloid:5.13,p=0.0043;ibd_uc_epithelial:2.07,p=0.0099;t1d_ductal_cell:3.36,p=0.012;t1d_acinar_cell:3.14,p=0.021;t1d_endothelial_cell:3.8,p=0.023;psoriasis_skin_stromal:1.64,p=0.046	False	1.1469018183892334	0.8573650161165193	0.0611072952242856	0.8989378106274888															False	True	0.0	22.0	True	positive_disease_count>=4
EPSTI1	17	7	0	1	0	4	0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus		0.0005236682204869	0.0884956058149345	2.1667289733960633	1.1986981897854516			t1d_endothelial_cell:2.17,p=0.00052;t1d_stellate_cell:1.51,p=0.0089;t1d_ductal_cell:1.67,p=0.01;t1d_acinar_cell:1.77,p=0.017;ibd_crohn_myeloid:1.27,p=0.045;sjogren_gland_apc:0.745,p=0.046;psoriasis_skin_apc:1.09,p=0.049	False	0.4425534478541948	0.630274383980438	0.1545660129526676	0.8989378106274888															False	False	0.0	21.0	True	positive_disease_count>=4
HLA-DRB1	14	5	0	0	0	4	0	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis		0.0023655595695249	0.1570585765123967	3.795903637057884	1.295860028935407			t1d_stellate_cell:1.72,p=0.0024;sjogren_gland_epithelial:1.69,p=0.0052;ibd_uc_epithelial:3.8,p=0.0057;t1d_endothelial_cell:1.53,p=0.013;ibd_crohn_epithelial:3.01,p=0.017	False	0.5468677387854282	0.8375223417578668	0.057765674762618	0.8989378106274888															False	True	0.0	19.0	True	positive_disease_count>=4
IL23A	17	5	0	0	0	4	0	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis		0.0028018239259509	0.1486198821535683	3.996665621118753	1.9159170263642973			ibd_uc_myeloid:4,p=0.0028;ibd_uc_epithelial:2.74,p=0.011;sjogren_gland_apc:2.22,p=0.015;ibd_crohn_myeloid:2.98,p=0.018;t1d_stellate_cell:1.94,p=0.018	False	0.6573316951945598	0.7609809443861563	0.0916123649390088	0.8989378106274888															False	True	0.0	19.0	True	positive_disease_count>=4
DBI	17	4	0	1	0	4	0	Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0015254431431092	0.0985134948346233	1.1581961765095308	2.0889135402286136			ibd_uc_stromal:0.728,p=0.0015;psoriasis_keratinocyte:1.16,p=0.022;t1d_acinar_cell:1.09,p=0.043;sjogren_gland_stromal:0.793,p=0.044	False	0.3206064424724584	0.5755919213859353	0.1791727003295389	0.8993702893651148							1.7175873846618392	0.1087936923309195	1.6087936923309196	1.0	1.0	MS	MS		False	False	0.0	18.08587936923309	True	positive_disease_count>=4
PSMA3	17	4	0	0	0	4	0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus		0.0239270693088532	0.2603522824758812	0.8216471507961352	1.4171603777227746			psoriasis_keratinocyte:0.822,p=0.024;sjogren_gland_stromal:0.276,p=0.028;t1d_acinar_cell:0.729,p=0.031;ibd_crohn_epithelial:0.388,p=0.037	False	0.4666329191743639	0.6670840580636408	0.1222932329497812	0.8989378106274888							1.6231625349815912	0.0615812674907957	1.5615812674907956	0.0	0.0				False	True	0.0	18.08115812674908	True	positive_disease_count>=4
FXYD5	17	6	1	1	1	4	1	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	Crohn disease	0.000881266463104	0.0954955339699752	2.3162634762897056	1.3325326560636377	0.0002136897147864	-0.978558928416258	t1d_endothelial_cell:0.89,p=0.00088;t1d_stellate_cell:0.783,p=0.031;ibd_uc_epithelial:2.32,p=0.032;t1d_acinar_cell:1.25,p=0.04;ibd_crohn_epithelial:0.831,p=0.043;psoriasis_keratinocyte:1.4,p=0.045	False	0.3524746864413863	0.8521804117551859	0.0587113391653537	0.8989378106274888															False	True	0.0	18.0	True	positive_disease_count>=4
MTF1	17	4	0	0	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0013138586858016	0.112070540554931	1.3956040836375267	2.19606333724862			ibd_crohn_myeloid:1.4,p=0.0013;psoriasis_skin_stromal:0.337,p=0.0024;ibd_uc_myeloid:1.33,p=0.0043;t1d_endothelial_cell:1.13,p=0.022	False	0.2966006148315276	0.6346624411128451	0.1717854355945038	0.8993702893651148															False	False	0.0	16.0	True	positive_disease_count>=4
SCD	17	5	1	1	0	4	1	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	ulcerative colitis	0.0001951488150924	0.0498889491681599	3.5155494075923612	2.245733053435906	0.0160363963283292	-2.8386545581094484	psoriasis_keratinocyte:3.52,p=0.0002;ibd_uc_epithelial:2.82,p=0.00053;ibd_crohn_epithelial:2.55,p=0.0018;ibd_uc_stromal:1.46,p=0.041;t1d_endothelial_cell:2.71,p=0.041	False	0.3699574700771606	0.6257125213812322	0.1572805657312676	0.8989378106274888															False	False	0.0	15.0	True	positive_disease_count>=4
CD74	17	6	1	0	0	4	1	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	ulcerative colitis	0.0001493188557005	0.1521083558094026	3.4924642000814563	1.6610284278730123	0.0286731100130888	-0.8457538295667728	sjogren_gland_epithelial:1.5,p=0.00015;t1d_ductal_cell:0.993,p=0.00077;t1d_stellate_cell:2.15,p=0.0027;ibd_uc_epithelial:3.49,p=0.0052;ibd_crohn_epithelial:3.09,p=0.0091;t1d_acinar_cell:1.63,p=0.015	False	0.2553907019006836	0.5415320486815584	0.2187160729350419	0.8993702893651148	1.0	AS	0.0209243668686555			datatype_literature									False	False	1.0	14.5	True	positive_disease_count>=4
STARD13	17	5	2	0	0	4	2	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	Sjogren syndrome;ulcerative colitis	0.0004800756557482	0.1908486458332628	1.2760765185536984	1.7614491171651228	0.003074182663127	-2.65831941319947	ibd_crohn_stromal:1.27,p=0.00048;ibd_uc_stromal:0.952,p=0.008;t1d_endothelial_cell:1.28,p=0.012;ibd_crohn_epithelial:0.659,p=0.016;psoriasis_skin_stromal:0.582,p=0.046	False	0.3565650837355996	0.6444944076045287	0.1344546517603877	0.8989378106274888							5.4855529655478215	1.992776482773911	3.4927764827739107	1.0	0.0	MS			False	True	0.0	11.27427764827739	True	positive_disease_count>=4
TIMP1	17	8	0	4	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		3.321107997568569e-05	0.0184281138026181	3.594293625718059	3.3707610803242862			ibd_uc_stromal:2.09,p=3.3e-05;ibd_uc_myeloid:3.59,p=5e-05;ibd_uc_epithelial:3.44,p=9.4e-05;ibd_crohn_myeloid:2.37,p=0.0004;t1d_acinar_cell:1.65,p=0.001;psoriasis_keratinocyte:1.49,p=0.0078;ibd_crohn_stromal:1.18,p=0.028;t1d_ductal_cell:0.431,p=0.03	False	-0.5836919250703687	-0.3612520416741595	0.415232450290228	0.9185195974256102															False	False	0.0	28.0	False	positive_disease_count>=4
CFB	16	9	0	2	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		1.5481139262681817e-08	0.0001390406989287	3.630397085248868	1.634231803786843			t1d_stellate_cell:3.63,p=1.5e-08;ibd_crohn_epithelial:2.3,p=0.00029;psoriasis_keratinocyte:2.4,p=0.004;t1d_ductal_cell:2.28,p=0.011;ibd_crohn_stromal:1.93,p=0.016;psoriasis_skin_stromal:0.917,p=0.026;ibd_uc_epithelial:2.62,p=0.026;t1d_acinar_cell:3.54,p=0.027	False	-0.9822682065524936	-0.4902731400669143	0.2868607768107353	0.9055783835864206							0.0919539526362505	-1.4080460473637495	1.5	0.0	1.0		MS		False	False	0.0	25.004597697631812	False	positive_disease_count>=4
MPHOSPH6	17	9	0	2	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		2.856794085122812e-06	0.0097502382125241	1.492887931532782	1.27959043775588			ibd_uc_myeloid:1.49,p=2.9e-06;t1d_beta_cell:1.39,p=1.9e-05;t1d_acinar_cell:1.24,p=0.0043;psoriasis_keratinocyte:1.4,p=0.0059;t1d_stellate_cell:1.42,p=0.018;ibd_uc_stromal:0.832,p=0.019;t1d_ductal_cell:0.959,p=0.019;t1d_endothelial_cell:1.44,p=0.043	False	-0.5952492354373149	-0.6289133242544074	0.1685973390358947	0.8989378106274888															False	False	0.0	25.0	False	positive_disease_count>=4
PTPRE	17	6	0	3	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0005462253501529	0.0846171573370176	1.863229429299393	2.59263420784311			ibd_crohn_myeloid:0.745,p=0.00055;ibd_uc_myeloid:0.803,p=0.00089;ibd_uc_stromal:1.86,p=0.0015;t1d_acinar_cell:1.28,p=0.032;ibd_crohn_stromal:1.06,p=0.032;psoriasis_keratinocyte:1.11,p=0.047	False	-0.2158191727655953	-0.2693364660712024	0.5499680359747707	0.9390010612097776							-1.4203410724794785	-2.9203410724794785	1.5	0.0	1.0		MS		False	False	0.0	23.928982946376028	False	positive_disease_count>=4
TMSB10	17	9	0	1	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0002358500049377	0.0643491468829228	1.731667124423069	1.3919162621604195			t1d_endothelial_cell:0.435,p=0.00024;ibd_crohn_myeloid:0.633,p=0.0018;t1d_beta_cell:0.523,p=0.0026;ibd_uc_myeloid:0.509,p=0.0081;psoriasis_keratinocyte:1.73,p=0.015;ibd_uc_stromal:0.535,p=0.031;t1d_ductal_cell:0.214,p=0.036;psoriasis_skin_apc:0.89,p=0.039	False	0.1355995347879997	0.4473531914622168	0.2921719507155929	0.9055783835864206							1.9856530107857215	0.2428265053928607	1.7428265053928609	0.0	0.0				False	False	0.0	23.099282650539287	False	positive_disease_count>=4
CASP4	17	7	0	2	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		8.269289671881575e-05	0.0328227639625369	1.398421123265413	1.7598501493950005			ibd_uc_myeloid:1.4,p=8.3e-05;ibd_crohn_myeloid:1.21,p=0.0009;t1d_acinar_cell:0.784,p=0.00097;t1d_stellate_cell:0.877,p=0.0034;psoriasis_skin_apc:0.618,p=0.011;ibd_uc_epithelial:1.02,p=0.014;t1d_ductal_cell:0.819,p=0.017	False	0.2066862758954002	0.3001486595291572	0.4927047679399916	0.9271619615463814															False	False	0.0	23.0	False	positive_disease_count>=4
AGRN	17	4	0	3	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0001964329476325	0.045241467788302	1.4364621425982889	2.584825174089094			t1d_beta_cell:1.44,p=0.0002;ibd_uc_epithelial:1.19,p=0.001;ibd_crohn_epithelial:0.924,p=0.001;psoriasis_skin_stromal:1.19,p=0.025	False	-0.1994784498572919	-0.2733984445517583	0.5354048479004957	0.9369525137394764							3.4774248916181216	0.9887124458090608	2.488712445809061	0.0	0.0				False	False	0.0	22.173871244580905	False	positive_disease_count>=4
PI3	16	8	0	1	0	4	0	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis		1.602160067805477e-05	0.0102150028630813	7.583056062396253	2.7639343685828752			ibd_uc_epithelial:4.4,p=1.6e-05;psoriasis_keratinocyte:7.58,p=0.00096;ibd_uc_myeloid:4.31,p=0.0077;psoriasis_skin_apc:3.77,p=0.013;psoriasis_skin_stromal:3.21,p=0.034;sjogren_gland_epithelial:1.52,p=0.036;ibd_crohn_myeloid:4.7,p=0.04;ibd_crohn_epithelial:1.95,p=0.048	False																			False	False	0.0	22.0	False	positive_disease_count>=4
CD24	17	6	0	2	0	4	0	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis		0.0004386490397471	0.0849484757898006	3.0633418648110293	1.318664081263189			t1d_endothelial_cell:3.04,p=0.00044;ibd_uc_stromal:1.9,p=0.001;t1d_stellate_cell:3.06,p=0.0012;t1d_ductal_cell:0.285,p=0.014;ibd_crohn_epithelial:0.563,p=0.03;sjogren_gland_stromal:1.07,p=0.046	False	-0.3131457372415891	-0.1112269109762726	0.79096128985077	0.9747766810218778															False	False	0.0	22.0	False	positive_disease_count>=4
MTHFD2	17	8	0	1	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0009513198522795	0.0999672650786359	1.658403383426843	2.163146731150202			ibd_crohn_myeloid:1.04,p=0.00095;t1d_stellate_cell:1.66,p=0.0024;ibd_crohn_epithelial:1.08,p=0.0025;ibd_uc_myeloid:0.788,p=0.0055;ibd_crohn_stromal:1.32,p=0.0066;ibd_uc_stromal:1.3,p=0.0094;psoriasis_keratinocyte:1.26,p=0.02;psoriasis_skin_apc:0.668,p=0.021	False	0.0461599204982174	0.0986393692526818	0.8145219094018459	0.9761732664217524															False	False	0.0	22.0	False	positive_disease_count>=4
