	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11
ABCD1P3	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ABCD1P4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
ABCD1P5	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
ABCD2	0.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	8.0	1.0	0.0
ABCD3	96.0	89.0	97.0	95.0	29.0	56.0	22.0	30.0	27.0	38.0	2.0
ABCD4	180.0	134.0	219.0	177.0	74.0	140.0	36.0	50.0	56.0	104.0	18.0
ABCE1	355.0	215.0	390.0	357.0	182.0	304.0	84.0	132.0	78.0	206.0	34.0
ABCF1	397.0	271.0	452.0	351.0	244.0	544.0	136.0	179.0	175.0	468.0	65.0
ABCF2	164.0	94.0	194.0	165.0	61.0	119.0	20.0	43.0	44.0	62.0	6.0
ABCF2P1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
ABCF2P2	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCF3	178.0	137.0	170.0	212.0	80.0	152.0	46.0	57.0	61.0	136.0	20.0
ABCG1	3.0	5.0	6.0	6.0	2.0	11.0	1.0	5.0	18.0	13.0	1.0
ABCG2	16.0	2.0	9.0	3.0	5.0	18.0	3.0	3.0	7.0	2.0	3.0
ABCG4	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	5.0	1.0	0.0
ABCG5	3.0	0.0	0.0	2.0	2.0	1.0	2.0	2.0	3.0	1.0	0.0
ABCG8	34.0	32.0	22.0	28.0	27.0	36.0	11.0	25.0	64.0	31.0	3.0
ABHD1	16.0	20.0	22.0	4.0	5.0	14.0	8.0	8.0	41.0	22.0	0.0
ABHD10	23.0	15.0	49.0	76.0	5.0	3.0	3.0	4.0	10.0	8.0	0.0
ABHD11	85.0	55.0	106.0	85.0	23.0	44.0	10.0	37.0	51.0	46.0	3.0
ABHD11-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABHD12	367.0	428.0	346.0	340.0	96.0	151.0	49.0	69.0	60.0	118.0	25.0
ABHD12B	12.0	16.0	13.0	22.0	12.0	24.0	4.0	14.0	29.0	20.0	2.0
ABHD13	103.0	73.0	119.0	81.0	82.0	113.0	26.0	73.0	53.0	115.0	9.0
ABHD14A	16.0	20.0	18.0	22.0	6.0	8.0	5.0	4.0	17.0	3.0	2.0
ABHD14A-ACY1	4.0	1.0	3.0	4.0	3.0	3.0	0.0	0.0	0.0	8.0	3.0
ABHD14B	80.0	70.0	131.0	87.0	31.0	81.0	10.0	32.0	15.0	55.0	4.0
ABHD15	13.0	19.0	6.0	5.0	3.0	4.0	2.0	3.0	5.0	8.0	1.0
ABHD16A	529.0	443.0	608.0	523.0	247.0	479.0	135.0	152.0	137.0	397.0	60.0
ABHD16B	13.0	11.0	27.0	7.0	2.0	11.0	1.0	2.0	0.0	8.0	1.0
ABHD17A	9.0	13.0	5.0	2.0	4.0	11.0	1.0	1.0	0.0	4.0	0.0
ABHD17AP1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABHD17AP3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0
ABHD17AP4	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABHD17AP5	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABHD17AP6	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABHD17AP7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABHD17AP8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABHD17AP9	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
ABHD17B	11.0	5.0	7.0	3.0	7.0	6.0	0.0	0.0	9.0	12.0	1.0
ABHD17C	3.0	3.0	2.0	3.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
ABHD18	70.0	78.0	102.0	82.0	26.0	76.0	31.0	34.0	43.0	55.0	13.0
ABHD2	1239.0	785.0	1448.0	837.0	212.0	469.0	116.0	195.0	179.0	331.0	50.0
ABHD3	427.0	240.0	487.0	417.0	93.0	316.0	81.0	128.0	93.0	226.0	46.0
ABHD4	195.0	128.0	184.0	145.0	150.0	238.0	42.0	70.0	82.0	163.0	18.0
ABHD5	132.0	75.0	134.0	120.0	48.0	129.0	52.0	71.0	68.0	119.0	32.0
ABHD6	26.0	19.0	47.0	16.0	1.0	2.0	1.0	3.0	7.0	3.0	0.0
ABHD8	0.0	1.0	5.0	1.0	1.0	0.0	1.0	1.0	0.0	4.0	0.0
ABI1	816.0	589.0	954.0	823.0	966.0	2320.0	628.0	1076.0	1123.0	2862.0	538.0
ABI1P1	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
ABI2	54.0	53.0	85.0	62.0	38.0	72.0	15.0	31.0	81.0	76.0	10.0
ABI3	345.0	268.0	518.0	507.0	63.0	128.0	49.0	50.0	42.0	136.0	27.0
ABI3BP	9.0	19.0	13.0	11.0	13.0	15.0	3.0	5.0	48.0	15.0	1.0
ABITRAM	69.0	52.0	76.0	49.0	18.0	52.0	13.0	36.0	37.0	45.0	5.0
ABITRAMP1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0
ABL1	66.0	39.0	45.0	55.0	20.0	35.0	15.0	5.0	9.0	20.0	0.0
ABL2	333.0	141.0	291.0	131.0	283.0	512.0	137.0	371.0	274.0	625.0	80.0
ABLIM1	13.0	9.0	22.0	6.0	6.0	13.0	0.0	12.0	13.0	12.0	0.0
ABLIM2	0.0	1.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0
ABLIM3	4.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	6.0	4.0	0.0
ABO	10.0	7.0	8.0	4.0	6.0	7.0	4.0	3.0	19.0	6.0	0.0
ABR	371.0	270.0	587.0	428.0	143.0	376.0	132.0	137.0	146.0	382.0	76.0
ABRA	7.0	2.0	0.0	1.0	5.0	0.0	1.0	0.0	0.0	6.0	0.0
ABRACL	131.0	89.0	172.0	206.0	75.0	127.0	40.0	59.0	56.0	129.0	32.0
ABRAXAS1	46.0	34.0	33.0	32.0	20.0	36.0	4.0	26.0	44.0	34.0	9.0
ABRAXAS2	142.0	123.0	176.0	136.0	62.0	108.0	39.0	47.0	57.0	101.0	26.0
ABT1	138.0	123.0	178.0	160.0	94.0	150.0	57.0	63.0	91.0	139.0	18.0
ABT1P1	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
ABTB1	88.0	57.0	152.0	111.0	63.0	168.0	41.0	82.0	50.0	267.0	17.0
ABTB2	8.0	0.0	0.0	1.0	9.0	63.0	6.0	16.0	50.0	156.0	17.0
AC000041.1	0.0	0.0	5.0	0.0	1.0	5.0	1.0	0.0	0.0	0.0	0.0
AC000077.1	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
AC000078.1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
AC000081.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
AC000089.1	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC000093.1	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC000095.1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
AC000095.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC000095.3	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
AC000111.1	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC000111.2	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC000120.2	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC000120.3	0.0	15.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0
AC000362.1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC000367.1	5.0	5.0	4.0	8.0	6.0	8.0	1.0	1.0	15.0	4.0	1.0
AC000374.1	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	2.0	1.0	0.0
AC001226.2	13.0	18.0	23.0	11.0	17.0	21.0	6.0	22.0	8.0	19.0	2.0
AC002056.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002056.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002059.3	2.0	0.0	1.0	4.0	3.0	3.0	0.0	0.0	0.0	1.0	1.0
AC002069.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002069.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
AC002075.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002075.2	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
AC002076.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
AC002094.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002127.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002310.3	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002310.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002366.1	5.0	0.0	0.0	2.0	1.0	0.0	0.0	1.0	3.0	0.0	0.0
AC002367.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
AC002381.1	1.0	0.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
AC002400.1	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	1.0	0.0
AC002429.1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
AC002456.2	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0
AC002472.2	1.0	1.0	1.0	3.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0
AC002472.3	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002472.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002486.1	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002486.2	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
AC002487.1	0.0	4.0	1.0	0.0	2.0	1.0	0.0	0.0	1.0	4.0	0.0
AC002504.1	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
AC002511.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002519.2	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
AC002524.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002542.1	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002543.1	4.0	4.0	5.0	8.0	2.0	4.0	0.0	0.0	1.0	6.0	0.0
AC002545.1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
AC002558.1	1.0	1.0	2.0	14.0	3.0	9.0	1.0	0.0	4.0	5.0	0.0
AC002984.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002985.1	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0
AC002996.1	5.0	0.0	0.0	0.0	7.0	18.0	1.0	3.0	0.0	15.0	0.0
AC003001.2	0.0	2.0	0.0	1.0	1.0	2.0	0.0	0.0	3.0	0.0	0.0
AC003002.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC003002.2	8.0	7.0	6.0	5.0	0.0	6.0	3.0	2.0	8.0	4.0	1.0
AC003002.3	2.0	2.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0
AC003005.1	3.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	5.0	0.0
AC003006.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC003042.2	1.0	4.0	3.0	1.0	4.0	5.0	1.0	1.0	1.0	5.0	1.0
AC003045.1	1.0	0.0	0.0	1.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0
AC003070.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC003070.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC003070.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC003071.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
AC003071.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC003072.1	6.0	1.0	1.0	0.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0
AC003080.1	7.0	5.0	9.0	11.0	5.0	18.0	7.0	11.0	5.0	22.0	3.0
AC003112.1	4.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	4.0	0.0	0.0
AC003665.1	5.0	2.0	3.0	2.0	2.0	3.0	6.0	3.0	4.0	1.0	0.0
AC003669.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
AC003685.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC003686.1	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0	0.0
AC003958.3	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
AC003958.4	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC003976.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC003989.1	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC003989.2	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004004.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004006.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004022.1	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0
AC004022.2	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
AC004024.1	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
AC004057.1	421.0	362.0	522.0	428.0	171.0	368.0	153.0	126.0	164.0	348.0	62.0
AC004062.1	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
AC004066.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004069.2	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	3.0	1.0
AC004074.1	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004076.1	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004080.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004086.1	1188.0	1033.0	1603.0	1272.0	541.0	1167.0	317.0	393.0	454.0	982.0	145.0
AC004099.1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004129.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004129.2	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
AC004134.1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0
AC004151.1	137.0	115.0	213.0	61.0	35.0	124.0	10.0	38.0	47.0	115.0	4.0
AC004156.1	19.0	11.0	14.0	5.0	2.0	14.0	0.0	6.0	3.0	11.0	1.0
AC004217.2	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0
AC004223.1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004223.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004224.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
AC004381.2	0.0	2.0	4.0	1.0	1.0	2.0	0.0	0.0	6.0	2.0	0.0
AC004381.3	0.0	0.0	1.0	0.0	1.0	2.0	0.0	4.0	2.0	0.0	0.0
AC004383.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004386.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
AC004453.1	6.0	0.0	14.0	6.0	0.0	2.0	0.0	0.0	3.0	5.0	0.0
AC004461.1	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
AC004467.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004475.1	66.0	76.0	81.0	82.0	28.0	64.0	10.0	34.0	39.0	61.0	13.0
AC004486.1	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
AC004522.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004551.1	580.0	512.0	648.0	853.0	280.0	875.0	529.0	501.0	485.0	1843.0	483.0
AC004552.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004554.1	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
AC004584.2	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
AC004593.3	0.0	4.0	5.0	11.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0
AC004674.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004675.2	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004678.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
AC004687.2	0.0	2.0	2.0	2.0	5.0	1.0	0.0	0.0	0.0	1.0	0.0
AC004690.1	0.0	2.0	0.0	1.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0
AC004691.2	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
AC004692.1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
