gene	target_chembl_id	molecule_chembl_id	standard_type	standard_relation	standard_value_nM	pchembl_value	assay_chembl_id	document_chembl_id	bao_endpoint	source
CTSH	CHEMBL2225	CHEMBL184329	IC50	>	2000.0		CHEMBL828234	CHEMBL1137872	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL187687	IC50	>	2000.0		CHEMBL828234	CHEMBL1137872	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL185097	IC50	>	500.0		CHEMBL828234	CHEMBL1137872	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL186650	IC50	>	5000.0		CHEMBL828234	CHEMBL1137872	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL190121	Ki	=	1.4	8.85	CHEMBL876371	CHEMBL1139621	BAO_0000192	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL189149	Ki	>	13000.0		CHEMBL830240	CHEMBL1139621	BAO_0000192	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL371420	Ki	=	0.46	9.34	CHEMBL830240	CHEMBL1139621	BAO_0000192	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL371749	IC50	>	13000.0		CHEMBL831430	CHEMBL1143550	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL195301	IC50	>	13000.0		CHEMBL831430	CHEMBL1143550	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL196240	IC50	>	13000.0		CHEMBL831430	CHEMBL1143550	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL195963	IC50	>	2000.0		CHEMBL831430	CHEMBL1143550	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL196298	IC50	>	13000.0		CHEMBL831430	CHEMBL1143550	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL193582	IC50	>	13000.0		CHEMBL831430	CHEMBL1143550	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL197509	IC50	>	5000.0		CHEMBL831430	CHEMBL1143550	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL196896	IC50	>	500.0		CHEMBL831430	CHEMBL1143550	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL194068	IC50	>	13000.0		CHEMBL831430	CHEMBL1143550	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL96875	IC50	>	13000.0		CHEMBL868301	CHEMBL1138109	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL426308	IC50	>	13000.0		CHEMBL868301	CHEMBL1138109	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL203663	IC50	=	190.0	6.72	CHEMBL868301	CHEMBL1138109	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL204605	IC50	=	230.0	6.64	CHEMBL868301	CHEMBL1138109	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL381715	IC50	>	13000.0		CHEMBL868301	CHEMBL1138109	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL205173	IC50	>	13000.0		CHEMBL868301	CHEMBL1138109	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL117658	IC50	>	13000.0		CHEMBL868301	CHEMBL1138109	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL113948	IC50	=	18.0	7.75	CHEMBL868301	CHEMBL1138109	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL114161	IC50	=	40.0	7.40	CHEMBL868301	CHEMBL1138109	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL212521	IC50	>	10000.0		CHEMBL864713	CHEMBL1138912	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL212604	Ki	>	30000.0		CHEMBL912120	CHEMBL1149524	BAO_0000192	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL230473	IC50	>	30000.0		CHEMBL907575	CHEMBL1144593	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL397972	IC50	>	100000.0		CHEMBL907575	CHEMBL1144593	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL230478	IC50	>	10000.0		CHEMBL907575	CHEMBL1144593	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL390475	IC50	>	10000.0		CHEMBL907575	CHEMBL1144593	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL230474	IC50	=	6591.0	5.18	CHEMBL907575	CHEMBL1144593	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL390643	IC50	>	100000.0		CHEMBL907575	CHEMBL1144593	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL390474	IC50	=	2653.0	5.58	CHEMBL907575	CHEMBL1144593	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL230479	IC50	>	100000.0		CHEMBL907575	CHEMBL1144593	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL397973	IC50	>	100000.0		CHEMBL907575	CHEMBL1144593	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL441907	IC50	>	100000.0		CHEMBL907575	CHEMBL1144593	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL481611	IC50	>	10.0		CHEMBL945086	CHEMBL1141480	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL448143	IC50	=	29000.0	4.54	CHEMBL1004872	CHEMBL1156470	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL478737	IC50	>	50000.0		CHEMBL1004872	CHEMBL1156470	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL516292	IC50	>	50000.0		CHEMBL1004872	CHEMBL1156470	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL374508	IC50	=	190.0	6.72	CHEMBL1004872	CHEMBL1156470	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL450997	IC50	=	9800.0	5.01	CHEMBL1004872	CHEMBL1156470	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL400387	IC50	>	50000.0		CHEMBL1004872	CHEMBL1156470	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL515494	IC50	>	50000.0		CHEMBL1004872	CHEMBL1156470	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL461619	Ki	>	10000.0		CHEMBL967042	CHEMBL1140079	BAO_0000192	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL514348	Ki	=	137.0	6.86	CHEMBL959581	CHEMBL1140981	BAO_0000192	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL486232	Ki	=	1400.0	5.85	CHEMBL959581	CHEMBL1140981	BAO_0000192	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL212521	Ki	=	3700.0	5.43	CHEMBL959581	CHEMBL1140981	BAO_0000192	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL492175	IC50	=	145.0	6.84	CHEMBL1021960	CHEMBL1138527	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL521636	IC50	>	100000.0		CHEMBL1021960	CHEMBL1138527	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL521771	IC50	>	100000.0		CHEMBL1021960	CHEMBL1138527	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL491348	IC50	=	32570.0	4.49	CHEMBL1021960	CHEMBL1138527	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL470707	IC50	=	91760.0	4.04	CHEMBL1021960	CHEMBL1138527	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL513042	IC50	>	100000.0		CHEMBL1021960	CHEMBL1138527	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL471915	IC50	>	100000.0		CHEMBL1021960	CHEMBL1138527	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL523822	IC50	=	66520.0	4.18	CHEMBL1021960	CHEMBL1138527	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL423112	IC50	>	100000.0		CHEMBL1021960	CHEMBL1138527	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL490920	IC50	>	100000.0		CHEMBL1021960	CHEMBL1138527	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL2368566	IC50	>	100000.0		CHEMBL1021960	CHEMBL1138527	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL296588	IC50	>	100000.0		CHEMBL1021960	CHEMBL1138527	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL567785	IC50	=	14454.4	4.84	CHEMBL1040863	CHEMBL1156759	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL568171	IC50	=	16218.1	4.79	CHEMBL1040863	CHEMBL1156759	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL567341	IC50	=	125.89	6.90	CHEMBL1040863	CHEMBL1156759	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL567134	IC50	=	645.65	6.19	CHEMBL1040863	CHEMBL1156759	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL567893	IC50	=	10000.0	5.00	CHEMBL1039246	CHEMBL1156023	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL1078411	IC50	>	50000.0		CHEMBL1113179	CHEMBL1154218	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL570897	Ki	=	251000.0		CHEMBL2321251	CHEMBL2311469	BAO_0000192	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL2312203	Ki	=	354000.0		CHEMBL2321251	CHEMBL2311469	BAO_0000192	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL2312204	Ki	=	221000.0		CHEMBL2321252	CHEMBL2311469	BAO_0000192	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL2312216	Ki	=	129000.0		CHEMBL2321252	CHEMBL2311469	BAO_0000192	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL2312204	Ki	=	221000.0		CHEMBL2321253	CHEMBL2311469	BAO_0000192	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL2312216	Ki	=	129000.0		CHEMBL2321253	CHEMBL2311469	BAO_0000192	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL541700	IC50	>	30000.0		CHEMBL3108099	CHEMBL3102856	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL541700	IC50	>	30000.0		CHEMBL3108100	CHEMBL3102856	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL191881	Ki	=	9200.0	5.04	CHEMBL3240892	CHEMBL3232985	BAO_0000192	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL191881	Ki	=	9200.0	5.04	CHEMBL3367293	CHEMBL3352119	BAO_0000192	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL3900409	IC50	>	20000.0		CHEMBL3859660	CHEMBL3856275	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL4228576	Ki	=	329000.0		CHEMBL4221696	CHEMBL4219118	BAO_0000192	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL4228576	Ki	=	329000.0		CHEMBL4221694	CHEMBL4219118	BAO_0000192	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL4228921	Ki	=	108000.0		CHEMBL4221697	CHEMBL4219118	BAO_0000192	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL4229176	Ki	=	89000.0	4.05	CHEMBL4221694	CHEMBL4219118	BAO_0000192	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL4229176	Ki	=	89000.0	4.05	CHEMBL4221696	CHEMBL4219118	BAO_0000192	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL4228126	Ki	=	462000.0		CHEMBL4221693	CHEMBL4219118	BAO_0000192	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL4292287	Ki	=	7000.0	5.16	CHEMBL4253884	CHEMBL4251609	BAO_0000192	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL4287663	Ki	=	1300.0	5.89	CHEMBL4253884	CHEMBL4251609	BAO_0000192	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL5095230	IC50	=	560.0	6.25	CHEMBL5735503	CHEMBL5727839	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL5870472	IC50	=	1550.0	5.81	CHEMBL5735503	CHEMBL5727839	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL5848986	IC50	=	110.0	6.96	CHEMBL5735503	CHEMBL5727839	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL5848986	IC50	=	110.0	6.96	CHEMBL5735503	CHEMBL5727839	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL5095230	IC50	=	560.0	6.25	CHEMBL5735503	CHEMBL5727839	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL5870472	IC50	=	1550.0	5.81	CHEMBL5735503	CHEMBL5727839	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL6007410	IC50	>	10000.0		CHEMBL5735503	CHEMBL5727839	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL5751174	IC50	>	10000.0		CHEMBL5735503	CHEMBL5727839	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL5986403	IC50	>	10000.0		CHEMBL5735503	CHEMBL5727839	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL5764494	IC50	>	10000.0		CHEMBL5735503	CHEMBL5727839	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL5817878	IC50	>	10000.0		CHEMBL5735503	CHEMBL5727839	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL5783659	IC50	=	560.0	6.25	CHEMBL5738065	CHEMBL5729097	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL5870472	IC50	=	1550.0	5.81	CHEMBL5738065	CHEMBL5729097	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL5848986	IC50	=	110.0	6.96	CHEMBL5738065	CHEMBL5729097	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL5848986	IC50	=	110.0	6.96	CHEMBL5738065	CHEMBL5729097	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL5095230	IC50	=	560.0	6.25	CHEMBL5738065	CHEMBL5729097	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL5870472	IC50	=	1550.0	5.81	CHEMBL5738065	CHEMBL5729097	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL6007410	IC50	>	10000.0		CHEMBL5738065	CHEMBL5729097	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL5751174	IC50	>	10000.0		CHEMBL5738065	CHEMBL5729097	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL5986403	IC50	>	10000.0		CHEMBL5738065	CHEMBL5729097	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL5764494	IC50	>	10000.0		CHEMBL5738065	CHEMBL5729097	BAO_0000190	ChEMBL activity API
CTSH	CHEMBL2225	CHEMBL5817878	IC50	>	10000.0		CHEMBL5738065	CHEMBL5729097	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL347745	IC50	=	51.0	7.29	CHEMBL658343	CHEMBL1135569	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL435440	IC50	=	9.0	8.05	CHEMBL658343	CHEMBL1135569	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL151641	IC50	=	11000.0	4.96	CHEMBL658343	CHEMBL1135569	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL153678	IC50	=	47.0	7.33	CHEMBL658343	CHEMBL1135569	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL153319	IC50	=	56.0	7.25	CHEMBL658343	CHEMBL1135569	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL153783	IC50	=	8.0	8.10	CHEMBL658343	CHEMBL1135569	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL150253	IC50	=	8.0	8.10	CHEMBL658343	CHEMBL1135569	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL153370	IC50	=	124.0	6.91	CHEMBL658343	CHEMBL1135569	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL150358	IC50	=	17.0	7.77	CHEMBL658343	CHEMBL1135569	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL358704	IC50	=	76000.0	4.12	CHEMBL658343	CHEMBL1135569	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL153813	IC50	=	19.0	7.72	CHEMBL658343	CHEMBL1135569	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL435245	IC50	=	56.0	7.25	CHEMBL658343	CHEMBL1135569	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL151642	IC50	=	27.0	7.57	CHEMBL658343	CHEMBL1135569	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL357117	IC50	=	107000.0		CHEMBL658343	CHEMBL1135569	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL153239	IC50	=	5.0	8.30	CHEMBL658343	CHEMBL1135569	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL347111	IC50	=	6.0	8.22	CHEMBL658343	CHEMBL1135569	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL358829	IC50	=	387.0	6.41	CHEMBL658343	CHEMBL1135569	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL424441	IC50	>	2500.0		CHEMBL659925	CHEMBL1134985	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL356588	IC50	=	134000.0		CHEMBL658343	CHEMBL1135569	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL419772	IC50	=	260.0	6.58	CHEMBL659925	CHEMBL1134985	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL356155	IC50	=	6.0	8.22	CHEMBL658343	CHEMBL1135569	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL345267	IC50	=	114.0	6.94	CHEMBL658343	CHEMBL1135569	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL346448	IC50	=	19.0	7.72	CHEMBL658343	CHEMBL1135569	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL152940	IC50	=	12.0	7.92	CHEMBL658343	CHEMBL1135569	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL149523	IC50	=	9.0	8.05	CHEMBL658343	CHEMBL1135569	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL356669	IC50	=	173.0	6.76	CHEMBL658343	CHEMBL1135569	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL153018	IC50	=	21.0	7.68	CHEMBL658343	CHEMBL1135569	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL357816	IC50	=	6000.0	5.22	CHEMBL658343	CHEMBL1135569	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL113761	IC50	=	430.0	6.37	CHEMBL659925	CHEMBL1134985	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL348679	IC50	=	23.0	7.64	CHEMBL658343	CHEMBL1135569	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL115734	IC50	=	77.0	7.11	CHEMBL659925	CHEMBL1134985	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL3142832	Ki	=	5.9	8.23	CHEMBL658353	CHEMBL1128689	BAO_0000192	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL3142835	Ki	=	11.0	7.96	CHEMBL658353	CHEMBL1128689	BAO_0000192	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL3142836	Ki	=	1.8	8.74	CHEMBL658353	CHEMBL1128689	BAO_0000192	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL149687	IC50	=	1400.0	5.85	CHEMBL658343	CHEMBL1135569	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL434893	IC50	>	28000.0		CHEMBL658343	CHEMBL1135569	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL154808	IC50	=	130.0	6.89	CHEMBL658343	CHEMBL1135569	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL155560	IC50	=	5.0	8.30	CHEMBL658343	CHEMBL1135569	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL153166	IC50	=	82.0	7.09	CHEMBL658343	CHEMBL1135569	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL153248	IC50	=	9.0	8.05	CHEMBL658343	CHEMBL1135569	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL356167	IC50	=	9.0	8.05	CHEMBL658343	CHEMBL1135569	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL356442	IC50	=	7.0	8.15	CHEMBL658343	CHEMBL1135569	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL150574	IC50	=	41.0	7.39	CHEMBL658343	CHEMBL1135569	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL149736	IC50	=	142.0	6.85	CHEMBL658343	CHEMBL1135569	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL155102	IC50	=	97000.0	4.01	CHEMBL658343	CHEMBL1135569	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL358695	IC50	>	13000.0		CHEMBL658343	CHEMBL1135569	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL345502	IC50	=	84.0	7.08	CHEMBL658343	CHEMBL1135569	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL347747	IC50	>	339000.0		CHEMBL658343	CHEMBL1135569	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL555920	Ki	=	4000.0	5.40	CHEMBL656655	CHEMBL1126429	BAO_0000192	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL77665	IC50	=	9500.0	5.02	CHEMBL658340	CHEMBL1135429	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL80508	IC50	=	190.0	6.72	CHEMBL658340	CHEMBL1135429	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL77471	IC50	=	1200.0	5.92	CHEMBL658340	CHEMBL1135429	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL77354	IC50	=	7200.0	5.14	CHEMBL658340	CHEMBL1135429	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL74142	IC50	=	1900.0	5.72	CHEMBL658340	CHEMBL1135429	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL306503	IC50	=	5700.0	5.24	CHEMBL658340	CHEMBL1135429	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL300241	IC50	>	10000.0		CHEMBL658351	CHEMBL1134488	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL51776	IC50	>	10000.0		CHEMBL658351	CHEMBL1134488	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL50627	IC50	=	400.0	6.40	CHEMBL658351	CHEMBL1134488	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL50347	IC50	>	10000.0		CHEMBL658351	CHEMBL1134488	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL51314	IC50	=	400.0	6.40	CHEMBL658351	CHEMBL1134488	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL417727	IC50	=	6000.0	5.22	CHEMBL658351	CHEMBL1134488	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL50878	IC50	=	9000.0	5.05	CHEMBL658351	CHEMBL1134488	BAO_0000190	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL98540	Ki	=	180.0	6.75	CHEMBL658346	CHEMBL1135207	BAO_0000192	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL99561	Ki	=	811.0	6.09	CHEMBL658346	CHEMBL1135207	BAO_0000192	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL100428	Ki	=	451.0	6.35	CHEMBL658346	CHEMBL1135207	BAO_0000192	ChEMBL activity API
CTSS	CHEMBL2954	CHEMBL285585	IC50	=	20.0	7.70	CHEMBL658339	CHEMBL1136415	BAO_0000190	ChEMBL activity API
