gene	chembl_status	chembl_target_chembl_id	chembl_target_pref_name	chembl_target_type	chembl_target_organism	chembl_target_accessions	chembl_search_hit_count	chembl_url	chembl_activity_count	chembl_activity_values_nM_count	chembl_unique_molecules_returned	chembl_best_standard_value_nM_returned	chembl_median_standard_value_nM_returned
KCNJ2	found	CHEMBL1914276	Inward rectifier potassium channel 2	SINGLE PROTEIN	Homo sapiens	P63252	2	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=KCNJ2	23	23	22.0	10000.0	30000.0
P4HB	found	CHEMBL5422	Protein disulfide-isomerase	SINGLE PROTEIN	Homo sapiens	P07237	4	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=P4HB	702	100	97.0	3.0	10255.0
SLC25A22	not_found_exact						0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=SLC25A22	0	0			
MOB3B	not_found_exact						0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=MOB3B	0	0			
LRG1	not_found_exact						0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=LRG1	0	0			
AP2B1	found	CHEMBL6067269	AP-2 complex subunit beta	SINGLE PROTEIN	Homo sapiens	P63010	1	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=AP2B1	4	4	2.0	331.31	6139.865
DDX39A	found	CHEMBL4105795	ATP-dependent RNA helicase DDX39A	SINGLE PROTEIN	Homo sapiens	O00148	1	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=DDX39A	3	3	3.0	750.0	100000.0
APOL1	found	CHEMBL4680021	Apolipoprotein L1	SINGLE PROTEIN	Homo sapiens	O14791	1	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=APOL1	593	100	95.0	250.0	250.0
PDPN	not_found_exact						0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=PDPN	0	0			
CASP8	found	CHEMBL3776	Caspase-8	SINGLE PROTEIN	Homo sapiens	Q14790	4	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CASP8	645	96	94.0	7.0	5115.0
DYNLT1	found	CHEMBL4742281	Protein cereblon/Dynein light chain Tctex-type 1	PROTEIN-PROTEIN INTERACTION	Homo sapiens	P63172;Q96SW2	1	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=DYNLT1	0	0	0.0		
ITGB4	found	CHEMBL6066233	Integrin beta-4	SINGLE PROTEIN	Homo sapiens	P16144	1	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=ITGB4	4	4	2.0	3506.82	414078.93
PSMB8	found	CHEMBL5620	Proteasome subunit beta type-8	SINGLE PROTEIN	Homo sapiens	P28062	4	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=PSMB8	689	100	87.0	1.2	391.0
COX7A2	not_found_exact						0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=COX7A2	0	0			
SQLE	found	CHEMBL3592	Squalene monooxygenase	SINGLE PROTEIN	Homo sapiens	Q14534	3	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=SQLE	99	88	90.0	20.0	980.0
SAA2	not_found_exact						0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=SAA2	0	0			
PTPN2	found	CHEMBL3807	Tyrosine-protein phosphatase non-receptor type 2	SINGLE PROTEIN	Homo sapiens	P17706	3	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=PTPN2	1279	100	91.0	3.0	3400.0
C1QTNF1	not_found_exact						0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=C1QTNF1	0	0			
TNFRSF11B	not_found_exact						0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=TNFRSF11B	0	0			
CASP10	found	CHEMBL5037	Caspase-10	SINGLE PROTEIN	Homo sapiens	Q92851	3	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CASP10	16	16	14.0	12.0	1295.0
COL4A1	found	CHEMBL2364188	Collagen	PROTEIN COMPLEX GROUP	Homo sapiens	A6NMZ7;A8TX70;P02452;P02458;P02461;P02462;P05997;P08123;P08572;P12107;P12109;P12110;P12111;P13942;P20908;P25940;P29400;P39059;P39060;P53420;Q01955;Q14031;Q17RW2;Q2UY09;Q8IZC6	1	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=COL4A1	0	0	0.0		
SH3GLB1	not_found_exact						0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=SH3GLB1	0	0			
LTF	found	CHEMBL4523161	Lactotransferrin	SINGLE PROTEIN	Homo sapiens	P02788	2	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=LTF	0	0	0.0		
SAA1	not_found_exact						0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=SAA1	0	0			
METAP1	found	CHEMBL2474	Methionine aminopeptidase 1	SINGLE PROTEIN	Homo sapiens	P53582	2	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=METAP1	392	71	100.0	370.0	45000.0
KYNU	found	CHEMBL5100	Kynureninase	SINGLE PROTEIN	Homo sapiens	Q16719	2	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=KYNU	20	20	9.0	70.0	26950.0
CD274	found	CHEMBL3580522	Programmed cell death 1 ligand 1	SINGLE PROTEIN	Homo sapiens	Q9NZQ7	8	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CD274	1882	100	86.0	0.019	100.0
CFP	not_found_exact						0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CFP	0	0			
SMCO4	not_found_exact						0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=SMCO4	0	0			
NMI	not_found_exact						0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=NMI	0	0			
EPS8L1	not_found_exact						0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=EPS8L1	0	0			
SPNS1	not_found_exact						0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=SPNS1	0	0			
ANGPTL4	not_found_exact						0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=ANGPTL4	0	0			
ARHGEF28	not_found_exact						0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=ARHGEF28	0	0			
RAB3D	not_found_exact						0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=RAB3D	0	0			
MMP15	found	CHEMBL2963	Matrix metalloproteinase-15	SINGLE PROTEIN	Homo sapiens	P51511	1	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=MMP15	42	42	36.0	4.0	2000.0
DDAH1	found	CHEMBL6036	N(G),N(G)-dimethylarginine dimethylaminohydrolase 1	SINGLE PROTEIN	Homo sapiens	O94760	4	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=DDAH1	148	100	60.0	780.0	20600.0
LYPLA1	found	CHEMBL1681631	Acyl-protein thioesterase 1	SINGLE PROTEIN	Homo sapiens	O75608	6	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=LYPLA1	22	22	15.0	0.466	22.0
RABGGTB	found	CHEMBL4523994	Geranylgeranyl transferase type-2	PROTEIN COMPLEX	Homo sapiens	P53611;Q92696	2	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=RABGGTB	11	11	9.0	1360.0	3600.0
FKBP1A	found	CHEMBL1902	Peptidyl-prolyl cis-trans isomerase FKBP1A	SINGLE PROTEIN	Homo sapiens	P62942	8	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=FKBP1A	1023	96	100.0	0.2	190.0
GYS1	found	CHEMBL4000	Glycogen [starch] synthase, muscle	SINGLE PROTEIN	Homo sapiens	P13807	2	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=GYS1	137	100	97.0	10.0	265.0
ITGA2	found	CHEMBL4998	Integrin alpha-2	SINGLE PROTEIN	Homo sapiens	P17301	3	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=ITGA2	3	3	3.0	2380.0	50000.0
HLA-DMA	not_found_exact						20	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=HLA-DMA	0	0			
GOLT1B	found	CHEMBL6066348	Vesicle transport protein GOT1B	SINGLE PROTEIN	Homo sapiens	Q9Y3E0	1	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=GOLT1B	2	2	1.0	96.96	96.96
PI15	not_found_exact						0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=PI15	0	0			
LAMB3	found	CHEMBL2364187	Laminin	PROTEIN COMPLEX GROUP	Homo sapiens	A4D0S4;O15230;P07942;P11047;P24043;P25391;P55268;Q13751;Q13753;Q16363;Q16787;Q9Y6N6	1	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=LAMB3	0	0	0.0		
TMEM165	found	CHEMBL6067325	Putative divalent cation/proton antiporter TMEM165	SINGLE PROTEIN	Homo sapiens	Q9HC07	1	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=TMEM165	4	4	2.0	17.11	4424.38
HLA-DMB	not_found_exact						20	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=HLA-DMB	0	0			
CCL19	not_found_exact						0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CCL19	0	0			
CSTA	not_found_exact						0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CSTA	0	0			
CHD1L	found	CHEMBL5724766	Chromodomain-helicase-DNA-binding protein 1-like	SINGLE PROTEIN	Homo sapiens	Q86WJ1	1	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CHD1L	4	4	1.0	3000.0	4909.975
SHISA5	not_found_exact						0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=SHISA5	0	0			
RAB11A	found	CHEMBL5291509	Ras-related protein Rab-11A	SINGLE PROTEIN	Homo sapiens	P62491	1	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=RAB11A	0	0	0.0		
SLC10A7	not_found_exact						0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=SLC10A7	0	0			
PIK3R2	found	CHEMBL4437	Phosphatidylinositol 3-kinase regulatory subunit beta	SINGLE PROTEIN	Homo sapiens	O00459	4	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=PIK3R2	1781	100	99.0	100.0	10000.0
CTSC	found	CHEMBL2252	Dipeptidyl peptidase 1	SINGLE PROTEIN	Homo sapiens	P53634	5	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CTSC	2383	100	88.0	0.0	472.5
