gene	clinicaltrials_query	clinicaltrials_hit_count	clinicaltrials_examples_json	clinicaltrials_url
CFB	CFB autoimmune	5	"[{""conditions"": [""Myasthenia Gravis, Generalized""], ""nct_id"": ""NCT03304054"", ""status"": ""COMPLETED"", ""title"": ""Study to Evaluate Amifampridine Phosphate in Patients With MuSK-MG""}, {""conditions"": [""Rheumatoid Arthritis""], ""nct_id"": ""NCT03938636"", ""status"": ""COMPLETED"", ""title"": ""Evaluation of the Precision and Sensitivity of Tilmanocept Uptake Value (TUV) on Tc 99m Tilmanocept Planar Imaging""}, {""conditions"": [""Rheumatoid Arthritis""], ""nct_id"": ""NCT06115967"", ""status"": ""COMPLETED"", ""title"": ""A Study to Assess the Safety, Tolerability, Pharmacokinetics, Pharmacodynamics of Subcutaneous AZD6912 in Healthy Participants""}, {""conditions"": [""Rheumatoid Arthritis""], ""nct_id"": ""NCT02699892"", ""status"": ""COMPLETED"", ""title"": ""Study to Examine Efficacy and Safety of Rituximab in Participants With Rheumatoid Arthritis""}, {""conditions"": [""Rheumatoid Arthritis""], ""nct_id"": ""NCT01641952"", ""status"": ""COMPLETED"", ""title"": ""An Observational Study of MabThera/Rituxan (Rituximab) in Patients With Rheumatoid Arthritis and an Inadequate Response or Intolerance to One Anti-Tumor Necrosis Factor (Anti-TNF) Agent""}]"	https://clinicaltrials.gov/search?term=CFB+autoimmune
PTPRE	PTPRE autoimmune	0	[]	https://clinicaltrials.gov/search?term=PTPRE+autoimmune
CASP4	CASP4 autoimmune	0	[]	https://clinicaltrials.gov/search?term=CASP4+autoimmune
AGRN	AGRN autoimmune	0	[]	https://clinicaltrials.gov/search?term=AGRN+autoimmune
PI3	PI3 autoimmune	1	"[{""conditions"": [""Diabetic Nephropathies""], ""nct_id"": ""NCT04929379"", ""status"": ""ACTIVE_NOT_RECRUITING"", ""title"": ""A Pilot Study of Fenofibrate to Prevent Kidney Function Loss in Type 1 Diabetes""}]"	https://clinicaltrials.gov/search?term=PI3+autoimmune
CD24	CD24 autoimmune	5	"[{""conditions"": [""Chronic Myelomonocytic Leukemia""], ""nct_id"": ""NCT03280888"", ""status"": ""UNKNOWN"", ""title"": ""Relevance of Peripheral Cells in the Pathophysiology of Chronic Myelomonocytic Leukemia (CMML)""}, {""conditions"": [""Polymyalgia Rheumatica""], ""nct_id"": ""NCT04727879"", ""status"": ""COMPLETED"", ""title"": ""Immunopathology of Polymyalgia Rheumatica on Shoulder Bursae's Biopsies""}, {""conditions"": [""Advanced Malignant Solid Neoplasm""], ""nct_id"": ""NCT04552704"", ""status"": ""TERMINATED"", ""title"": ""CD24Fc for the Treatment of Immune Related Adverse Events in Patients With Advanced Solid Tumors, TIRAEC Study""}, {""conditions"": [""Autoimmune Diseases""], ""nct_id"": ""NCT03793270"", ""status"": ""UNKNOWN"", ""title"": ""Characterization of the Phenotypic Markers of B Cell Lymphocytes in Rheumatoid Arthritis""}, {""conditions"": [""Type 1 Diabetes""], ""nct_id"": ""NCT05139784"", ""status"": ""RECRUITING"", ""title"": ""BeAT1D: Benign Autoimmunity and Type 1 Diabetes""}]"	https://clinicaltrials.gov/search?term=CD24+autoimmune
MTHFD2	MTHFD2 autoimmune	0	[]	https://clinicaltrials.gov/search?term=MTHFD2+autoimmune
PKM	PKM autoimmune	0	[]	https://clinicaltrials.gov/search?term=PKM+autoimmune
KCNJ2	KCNJ2 autoimmune	0	[]	https://clinicaltrials.gov/search?term=KCNJ2+autoimmune
P4HB	P4HB autoimmune	0	[]	https://clinicaltrials.gov/search?term=P4HB+autoimmune
SLC25A22	SLC25A22 autoimmune	0	[]	https://clinicaltrials.gov/search?term=SLC25A22+autoimmune
LRG1	LRG1 autoimmune	0	[]	https://clinicaltrials.gov/search?term=LRG1+autoimmune
AP2B1	AP2B1 autoimmune	0	[]	https://clinicaltrials.gov/search?term=AP2B1+autoimmune
DDX39A	DDX39A autoimmune	0	[]	https://clinicaltrials.gov/search?term=DDX39A+autoimmune
APOL1	APOL1 autoimmune	0	[]	https://clinicaltrials.gov/search?term=APOL1+autoimmune
PDPN	PDPN autoimmune	1	"[{""conditions"": [""Painful Diabetic Peripheral Neuropathy (PDPN)""], ""nct_id"": ""NCT06715462"", ""status"": ""WITHDRAWN"", ""title"": ""Efficacy and Safety of the N0750 Compared to Monotherapies in the Treatment of Painful Diabetic Peripheral Neuropathy""}]"	https://clinicaltrials.gov/search?term=PDPN+autoimmune
CASP8	CASP8 autoimmune	0	[]	https://clinicaltrials.gov/search?term=CASP8+autoimmune
DYNLT1	DYNLT1 autoimmune	0	[]	https://clinicaltrials.gov/search?term=DYNLT1+autoimmune
ITGB4	ITGB4 autoimmune	0	[]	https://clinicaltrials.gov/search?term=ITGB4+autoimmune
PSMB8	PSMB8 autoimmune	0	[]	https://clinicaltrials.gov/search?term=PSMB8+autoimmune
COX7A2	COX7A2 autoimmune	0	[]	https://clinicaltrials.gov/search?term=COX7A2+autoimmune
SQLE	SQLE autoimmune	0	[]	https://clinicaltrials.gov/search?term=SQLE+autoimmune
SAA2	SAA2 autoimmune	0	[]	https://clinicaltrials.gov/search?term=SAA2+autoimmune
