gene	screen_call	median_efficient_minus_noneater_lfc	n_sgrna	efficient_fdr	contrast_fdr	reopener_score	reopener_call	positive_disease_count	negative_disease_count	positive_diseases	ms_wm_delta_log2	ms_wm_p	ms_wm_fdr	opentargets_max_genetic_association	opentargets_disease_count	residual_retained_disease_count	strict_core_covariate_surviving_disease_count	top_retained_tests	wave34_call	gwas_catalog_trait_count	chembl_target_id	chembl_best_nM	druggable_activity_count	efferocytosis_screen_call	efferocytosis_median_efficient_minus_noneater_lfc	efferocytosis_contrast_fdr	geneformer_model_support_pass	wave57_call
IL12RB1	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.7130900092706136	3	0.8221627590893646	0.920009505703422	1.7130900092706136	NO_GO_EFFEROCYTOSIS_ONLY	0.0	0.0		-0.2815930933581256	0.2204069956157945	0.8993702893651148	0.0	0.0	0.0	0.0		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	1.0			0.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.7130900092706136	0.920009505703422	False	
TBX6	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.7058020963375626	4	0.8221627590893646	0.920009505703422	1.7058020963375626	NO_GO_EFFEROCYTOSIS_ONLY	1.0	1.0	type 1 diabetes mellitus	-1.999815513448889	0.0158114790875102	0.8372898579012464	0.0	0.0	0.0	0.0		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.0			0.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.7058020963375626	0.920009505703422	False	
PLSCR4	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.6893870135379143	3	0.9600924529799222	0.9971256078463696	1.6893870135379143	NO_GO_EFFEROCYTOSIS_ONLY	0.0	1.0		-1.1416657903505385	0.404356273022419	0.9164625391803616	0.0	0.0	0.0	0.0		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	1.0			0.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.6893870135379143	0.9971256078463696	False	
SENP6	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.5932302432320785	4	0.9052095024317248	0.9965506589785832	1.5932302432320786	NO_GO_EFFEROCYTOSIS_ONLY	0.0	0.0		-0.0426120410630677	0.7073759413755539	0.9667153243403996	0.0	0.0	0.0	0.0		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	1.0			0.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.5932302432320785	0.9965506589785832	False	
PBXIP1	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.58356295785237	4	0.8221627590893646	0.9965506589785832	1.58356295785237	NO_GO_EFFEROCYTOSIS_ONLY	1.0	1.0	type 1 diabetes mellitus	-0.0837548476513738	0.6165409165902055	0.9485264259377106	0.0	0.0	0.0	0.0		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	1.0			0.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.58356295785237	0.9965506589785832	False	
SEC24A	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.5695177486902621	4	0.8221627590893646	0.920009505703422	1.569517748690262	NO_GO_EFFEROCYTOSIS_ONLY	2.0	0.0	Crohn disease;ulcerative colitis	0.431586029821231	0.1685837048117001	0.8989378106274888	0.0	0.0	0.0	0.0		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	1.0			0.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.5695177486902621	0.920009505703422	False	
TCERG1L	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.5591105830809453	3	0.9600924529799222	0.9971256078463696	1.5591105830809453	NO_GO_EFFEROCYTOSIS_ONLY	1.0	0.0	psoriasis	0.0	1.0	1.0	0.0	0.0	0.0	0.0		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	1.0			0.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.5591105830809453	0.9971256078463696	False	
MIS18BP1	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.5376484922984652	4	1.0	0.9971256078463696	1.5376484922984652	NO_GO_EFFEROCYTOSIS_ONLY	2.0	1.0	Crohn disease;psoriasis	0.1183109711440835	0.5971418393131409	0.9466965949245808	0.0	0.0	0.0	0.0		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	1.0			0.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.5376484922984652	0.9971256078463696	False	
LY6G6D	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.53496709143551	4	0.9600924529799222	0.920009505703422	1.53496709143551	NO_GO_EFFEROCYTOSIS_ONLY	0.0	0.0		0.0	1.0	1.0	0.0	0.0	0.0	0.0		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.0			0.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.53496709143551	0.920009505703422	False	
ILDR1	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.5186894387470492	4	1.0	0.9965506589785832	1.518689438747049	NO_GO_EFFEROCYTOSIS_ONLY	0.0	0.0		0.8287277888631279	0.4587975739989457	0.9239963547089984	0.0	0.0	0.0	0.0		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.0			0.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.5186894387470492	0.9965506589785832	False	
LRRC63	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.5001544054904983	3	0.9600924529799222	1.0	1.5001544054904983	NO_GO_EFFEROCYTOSIS_ONLY	0.0	1.0		0.0	1.0	1.0	0.0	0.0	0.0	0.0		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	1.0			0.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.5001544054904983	1.0	False	
