accession	sample_id	description	donor_id	group	disease_state	marker_compartment	compartment_source	module	n_cells	mean_score	high_fraction
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_plasmablast_like	marker_derived_from_GEO_counts	slc15a4_tasl_branch	40	0.10727406242676985	0.3
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_t_cell_like	marker_derived_from_GEO_counts	complement_phagocytosis	2501	0.01833059516643372	0.018392642942822873
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_t_cell_like	marker_derived_from_GEO_counts	hla_ii_cd74	2501	0.04295796517000735	0.27508996401439423
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_t_cell_like	marker_derived_from_GEO_counts	ifng_hlaii_cd74	2501	0.09138794788435142	0.35745701719312273
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_t_cell_like	marker_derived_from_GEO_counts	lipid_loader_repair	2501	0.02575452790702339	0.305077968812475
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_t_cell_like	marker_derived_from_GEO_counts	lysosomal_apc	2501	0.21699930171557688	0.4530187924830068
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_t_cell_like	marker_derived_from_GEO_counts	mixscale_validated_ifng_readout	2501	0.17756475791146611	0.4150339864054378
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_t_cell_like	marker_derived_from_GEO_counts	slc15a4_tasl_branch	2501	0.03125274805295931	0.22910835665733706
GSE227835	GSM7266237	A10	AChR_MG_10	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	complement_phagocytosis	1797	0.007606462236131694	0.06176961602671119
GSE227835	GSM7266237	A10	AChR_MG_10	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	hla_ii_cd74	1797	-0.17648604826184022	0.13299944351697274
GSE227835	GSM7266237	A10	AChR_MG_10	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	ifng_hlaii_cd74	1797	-0.028003111601347767	0.224819143016138
GSE227835	GSM7266237	A10	AChR_MG_10	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	lipid_loader_repair	1797	0.009317072417728122	0.28213689482470783
GSE227835	GSM7266237	A10	AChR_MG_10	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	lysosomal_apc	1797	0.12075445894308513	0.37061769616026713
GSE227835	GSM7266237	A10	AChR_MG_10	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	mixscale_validated_ifng_readout	1797	0.15171904681943923	0.3989983305509182
GSE227835	GSM7266237	A10	AChR_MG_10	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	slc15a4_tasl_branch	1797	0.04541397564264756	0.3071786310517529
GSE227835	GSM7266237	A10	AChR_MG_10	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	complement_phagocytosis	2396	-0.07450764441010586	0.2036727879799666
GSE227835	GSM7266237	A10	AChR_MG_10	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	hla_ii_cd74	2396	-0.17779225383203504	0.19323873121869783
GSE227835	GSM7266237	A10	AChR_MG_10	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	ifng_hlaii_cd74	2396	-0.015351622700766883	0.25626043405676124
GSE227835	GSM7266237	A10	AChR_MG_10	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	lipid_loader_repair	2396	-0.019174340417363617	0.25292153589315525
GSE227835	GSM7266237	A10	AChR_MG_10	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	lysosomal_apc	2396	-0.13391618480229542	0.14774624373956594
GSE227835	GSM7266237	A10	AChR_MG_10	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	mixscale_validated_ifng_readout	2396	-0.03628606034607511	0.2337228714524207
GSE227835	GSM7266237	A10	AChR_MG_10	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	slc15a4_tasl_branch	2396	-0.05969095176570313	0.20951585976627712
GSE227835	GSM7266237	A10	AChR_MG_10	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	complement_phagocytosis	3045	-0.009465394272162125	0.01839080459770115
GSE227835	GSM7266237	A10	AChR_MG_10	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	hla_ii_cd74	3045	-0.09398243413548095	0.1605911330049261
GSE227835	GSM7266237	A10	AChR_MG_10	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	ifng_hlaii_cd74	3045	-0.015766293568471753	0.21412151067323482
GSE227835	GSM7266237	A10	AChR_MG_10	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	lipid_loader_repair	3045	0.0023783337401126377	0.24105090311986863
GSE227835	GSM7266237	A10	AChR_MG_10	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	lysosomal_apc	3045	0.0273951320120594	0.2817733990147783
GSE227835	GSM7266237	A10	AChR_MG_10	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	mixscale_validated_ifng_readout	3045	0.00028201206973387346	0.24893267651888343
GSE227835	GSM7266237	A10	AChR_MG_10	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	slc15a4_tasl_branch	3045	-0.003063312498851891	0.2334975369458128
GSE227835	GSM7266237	A10	AChR_MG_10	achr_positive_mg	AChR-positive MG	marker_plasmablast_like	marker_derived_from_GEO_counts	complement_phagocytosis	111	-0.025033763955571848	0.14414414414414414
GSE227835	GSM7266237	A10	AChR_MG_10	achr_positive_mg	AChR-positive MG	marker_plasmablast_like	marker_derived_from_GEO_counts	hla_ii_cd74	111	-0.15881160432298536	0.1891891891891892
GSE227835	GSM7266237	A10	AChR_MG_10	achr_positive_mg	AChR-positive MG	marker_plasmablast_like	marker_derived_from_GEO_counts	ifng_hlaii_cd74	111	-0.014117629262665016	0.24324324324324326
GSE227835	GSM7266237	A10	AChR_MG_10	achr_positive_mg	AChR-positive MG	marker_plasmablast_like	marker_derived_from_GEO_counts	lipid_loader_repair	111	0.02346572118345037	0.2702702702702703
GSE227835	GSM7266237	A10	AChR_MG_10	achr_positive_mg	AChR-positive MG	marker_plasmablast_like	marker_derived_from_GEO_counts	lysosomal_apc	111	-0.03694961307615509	0.1891891891891892
GSE227835	GSM7266237	A10	AChR_MG_10	achr_positive_mg	AChR-positive MG	marker_plasmablast_like	marker_derived_from_GEO_counts	mixscale_validated_ifng_readout	111	-0.06762179730344817	0.2072072072072072
GSE227835	GSM7266237	A10	AChR_MG_10	achr_positive_mg	AChR-positive MG	marker_plasmablast_like	marker_derived_from_GEO_counts	slc15a4_tasl_branch	111	-0.155950798568301	0.0990990990990991
GSE227835	GSM7266237	A10	AChR_MG_10	achr_positive_mg	AChR-positive MG	marker_t_cell_like	marker_derived_from_GEO_counts	complement_phagocytosis	5426	-0.004151790056545744	0.014928123848138592
GSE227835	GSM7266237	A10	AChR_MG_10	achr_positive_mg	AChR-positive MG	marker_t_cell_like	marker_derived_from_GEO_counts	hla_ii_cd74	5426	0.14858153036917313	0.3496129745669001
GSE227835	GSM7266237	A10	AChR_MG_10	achr_positive_mg	AChR-positive MG	marker_t_cell_like	marker_derived_from_GEO_counts	ifng_hlaii_cd74	5426	0.16208642253689978	0.4375230372281607
GSE227835	GSM7266237	A10	AChR_MG_10	achr_positive_mg	AChR-positive MG	marker_t_cell_like	marker_derived_from_GEO_counts	lipid_loader_repair	5426	0.01994494747584796	0.2978252856616292
GSE227835	GSM7266237	A10	AChR_MG_10	achr_positive_mg	AChR-positive MG	marker_t_cell_like	marker_derived_from_GEO_counts	lysosomal_apc	5426	0.04266678916535749	0.2900847769996314
GSE227835	GSM7266237	A10	AChR_MG_10	achr_positive_mg	AChR-positive MG	marker_t_cell_like	marker_derived_from_GEO_counts	mixscale_validated_ifng_readout	5426	0.157070082870022	0.3868411352746038
GSE227835	GSM7266237	A10	AChR_MG_10	achr_positive_mg	AChR-positive MG	marker_t_cell_like	marker_derived_from_GEO_counts	slc15a4_tasl_branch	5426	0.013003047338246077	0.25340950976778476
GSE227835	GSM7266238	A2	AChR_MG_2	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	complement_phagocytosis	1295	-0.031936242202791634	0.033204633204633204
GSE227835	GSM7266238	A2	AChR_MG_2	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	hla_ii_cd74	1295	0.16144137936667433	0.36293436293436293
GSE227835	GSM7266238	A2	AChR_MG_2	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	ifng_hlaii_cd74	1295	0.13332734593547868	0.4254826254826255
GSE227835	GSM7266238	A2	AChR_MG_2	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	lipid_loader_repair	1295	0.0017913937027220343	0.2810810810810811
GSE227835	GSM7266238	A2	AChR_MG_2	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	lysosomal_apc	1295	0.08477461308676193	0.3312741312741313
GSE227835	GSM7266238	A2	AChR_MG_2	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	mixscale_validated_ifng_readout	1295	0.10617805512399602	0.34517374517374516
GSE227835	GSM7266238	A2	AChR_MG_2	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	slc15a4_tasl_branch	1295	0.0580362893459708	0.32972972972972975
GSE227835	GSM7266238	A2	AChR_MG_2	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	complement_phagocytosis	2457	-0.05500121786387275	0.19658119658119658
GSE227835	GSM7266238	A2	AChR_MG_2	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	hla_ii_cd74	2457	0.07931956498498406	0.2999592999593
GSE227835	GSM7266238	A2	AChR_MG_2	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	ifng_hlaii_cd74	2457	0.1488553989280596	0.4122914122914123
GSE227835	GSM7266238	A2	AChR_MG_2	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	lipid_loader_repair	2457	-1.2915273992036329e-05	0.24867724867724866
GSE227835	GSM7266238	A2	AChR_MG_2	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	lysosomal_apc	2457	0.09216662422044634	0.33374033374033374
GSE227835	GSM7266238	A2	AChR_MG_2	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	mixscale_validated_ifng_readout	2457	0.06242020276904181	0.35653235653235654
GSE227835	GSM7266238	A2	AChR_MG_2	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	slc15a4_tasl_branch	2457	0.09914832202301281	0.33943833943833945
GSE227835	GSM7266238	A2	AChR_MG_2	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	complement_phagocytosis	745	-0.013261493674909723	0.026845637583892617
GSE227835	GSM7266238	A2	AChR_MG_2	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	hla_ii_cd74	745	-0.07659313841683131	0.19328859060402684
GSE227835	GSM7266238	A2	AChR_MG_2	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	ifng_hlaii_cd74	745	0.033243941184260856	0.26308724832214764
GSE227835	GSM7266238	A2	AChR_MG_2	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	lipid_loader_repair	745	0.024708827380080477	0.2684563758389262
GSE227835	GSM7266238	A2	AChR_MG_2	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	lysosomal_apc	745	0.14291706034312326	0.37718120805369126
GSE227835	GSM7266238	A2	AChR_MG_2	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	mixscale_validated_ifng_readout	745	0.11887183239738115	0.37986577181208053
GSE227835	GSM7266238	A2	AChR_MG_2	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	slc15a4_tasl_branch	745	0.09131962980418472	0.3718120805369127
GSE227835	GSM7266238	A2	AChR_MG_2	achr_positive_mg	AChR-positive MG	marker_plasmablast_like	marker_derived_from_GEO_counts	complement_phagocytosis	117	-0.03204800464421719	0.24786324786324787
GSE227835	GSM7266238	A2	AChR_MG_2	achr_positive_mg	AChR-positive MG	marker_plasmablast_like	marker_derived_from_GEO_counts	hla_ii_cd74	117	0.017726702058286654	0.2564102564102564
GSE227835	GSM7266238	A2	AChR_MG_2	achr_positive_mg	AChR-positive MG	marker_plasmablast_like	marker_derived_from_GEO_counts	ifng_hlaii_cd74	117	0.05232098415015363	0.3076923076923077
GSE227835	GSM7266238	A2	AChR_MG_2	achr_positive_mg	AChR-positive MG	marker_plasmablast_like	marker_derived_from_GEO_counts	lipid_loader_repair	117	-0.012786986050184445	0.27350427350427353
GSE227835	GSM7266238	A2	AChR_MG_2	achr_positive_mg	AChR-positive MG	marker_plasmablast_like	marker_derived_from_GEO_counts	lysosomal_apc	117	0.08142269683478051	0.28205128205128205
GSE227835	GSM7266238	A2	AChR_MG_2	achr_positive_mg	AChR-positive MG	marker_plasmablast_like	marker_derived_from_GEO_counts	mixscale_validated_ifng_readout	117	0.06431317486597511	0.3333333333333333
GSE227835	GSM7266238	A2	AChR_MG_2	achr_positive_mg	AChR-positive MG	marker_plasmablast_like	marker_derived_from_GEO_counts	slc15a4_tasl_branch	117	0.15117875841499667	0.3247863247863248
GSE227835	GSM7266238	A2	AChR_MG_2	achr_positive_mg	AChR-positive MG	marker_t_cell_like	marker_derived_from_GEO_counts	complement_phagocytosis	2802	-0.0010421201962437297	0.014989293361884369
GSE227835	GSM7266238	A2	AChR_MG_2	achr_positive_mg	AChR-positive MG	marker_t_cell_like	marker_derived_from_GEO_counts	hla_ii_cd74	2802	0.04984025581920182	0.3222698072805139
GSE227835	GSM7266238	A2	AChR_MG_2	achr_positive_mg	AChR-positive MG	marker_t_cell_like	marker_derived_from_GEO_counts	ifng_hlaii_cd74	2802	0.08204541204274833	0.3618843683083512
GSE227835	GSM7266238	A2	AChR_MG_2	achr_positive_mg	AChR-positive MG	marker_t_cell_like	marker_derived_from_GEO_counts	lipid_loader_repair	2802	0.006907120039559781	0.26017130620985013
GSE227835	GSM7266238	A2	AChR_MG_2	achr_positive_mg	AChR-positive MG	marker_t_cell_like	marker_derived_from_GEO_counts	lysosomal_apc	2802	0.18222484096932728	0.4025695931477516
GSE227835	GSM7266238	A2	AChR_MG_2	achr_positive_mg	AChR-positive MG	marker_t_cell_like	marker_derived_from_GEO_counts	mixscale_validated_ifng_readout	2802	0.14622250944693094	0.39257673090649536
GSE227835	GSM7266238	A2	AChR_MG_2	achr_positive_mg	AChR-positive MG	marker_t_cell_like	marker_derived_from_GEO_counts	slc15a4_tasl_branch	2802	0.046587240935223734	0.27944325481798715
GSE227835	GSM7266239	A3	AChR_MG_3	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	complement_phagocytosis	1654	-0.011989094213977342	0.04534461910519952
GSE227835	GSM7266239	A3	AChR_MG_3	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	hla_ii_cd74	1654	0.12999224875252346	0.42986698911729143
GSE227835	GSM7266239	A3	AChR_MG_3	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	ifng_hlaii_cd74	1654	0.06621423040614784	0.36577992744860943
GSE227835	GSM7266239	A3	AChR_MG_3	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	lipid_loader_repair	1654	-0.004533819494195645	0.2623941958887545
GSE227835	GSM7266239	A3	AChR_MG_3	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	lysosomal_apc	1654	0.09623539066232072	0.3385731559854897
GSE227835	GSM7266239	A3	AChR_MG_3	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	mixscale_validated_ifng_readout	1654	0.08839328667579859	0.3216444981862152
GSE227835	GSM7266239	A3	AChR_MG_3	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	slc15a4_tasl_branch	1654	0.03556366586967711	0.30652962515114873
GSE227835	GSM7266239	A3	AChR_MG_3	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	complement_phagocytosis	1540	0.012577877278518201	0.33636363636363636
GSE227835	GSM7266239	A3	AChR_MG_3	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	hla_ii_cd74	1540	0.007428379271398082	0.2876623376623377
GSE227835	GSM7266239	A3	AChR_MG_3	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	ifng_hlaii_cd74	1540	0.016047473856049085	0.32662337662337665
GSE227835	GSM7266239	A3	AChR_MG_3	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	lipid_loader_repair	1540	0.014356702783024217	0.2649350649350649
GSE227835	GSM7266239	A3	AChR_MG_3	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	lysosomal_apc	1540	-0.03283792514222698	0.2811688311688312
GSE227835	GSM7266239	A3	AChR_MG_3	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	mixscale_validated_ifng_readout	1540	0.0488470272861891	0.34545454545454546
GSE227835	GSM7266239	A3	AChR_MG_3	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	slc15a4_tasl_branch	1540	-0.032384782033662955	0.23246753246753246
GSE227835	GSM7266239	A3	AChR_MG_3	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	complement_phagocytosis	1611	0.014580518502650335	0.03600248292985723
GSE227835	GSM7266239	A3	AChR_MG_3	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	hla_ii_cd74	1611	0.07679219266297065	0.3153320918684047
GSE227835	GSM7266239	A3	AChR_MG_3	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	ifng_hlaii_cd74	1611	0.02434366000950887	0.28677839851024206
GSE227835	GSM7266239	A3	AChR_MG_3	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	lipid_loader_repair	1611	0.03796519270027305	0.2849162011173184
GSE227835	GSM7266239	A3	AChR_MG_3	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	lysosomal_apc	1611	0.08641576456919971	0.3407821229050279
GSE227835	GSM7266239	A3	AChR_MG_3	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	mixscale_validated_ifng_readout	1611	0.08324472989661895	0.33891992551210426
GSE227835	GSM7266239	A3	AChR_MG_3	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	slc15a4_tasl_branch	1611	-0.02334579814703867	0.250155183116077
GSE227835	GSM7266239	A3	AChR_MG_3	achr_positive_mg	AChR-positive MG	marker_plasmablast_like	marker_derived_from_GEO_counts	complement_phagocytosis	75	0.0019072709128216576	0.26666666666666666
GSE227835	GSM7266239	A3	AChR_MG_3	achr_positive_mg	AChR-positive MG	marker_plasmablast_like	marker_derived_from_GEO_counts	hla_ii_cd74	75	-0.16038084558195262	0.17333333333333334
GSE227835	GSM7266239	A3	AChR_MG_3	achr_positive_mg	AChR-positive MG	marker_plasmablast_like	marker_derived_from_GEO_counts	ifng_hlaii_cd74	75	-0.1040340553728267	0.2
GSE227835	GSM7266239	A3	AChR_MG_3	achr_positive_mg	AChR-positive MG	marker_plasmablast_like	marker_derived_from_GEO_counts	lipid_loader_repair	75	-0.022640341782933206	0.25333333333333335
GSE227835	GSM7266239	A3	AChR_MG_3	achr_positive_mg	AChR-positive MG	marker_plasmablast_like	marker_derived_from_GEO_counts	lysosomal_apc	75	-0.06092764504161779	0.18666666666666668
GSE227835	GSM7266239	A3	AChR_MG_3	achr_positive_mg	AChR-positive MG	marker_plasmablast_like	marker_derived_from_GEO_counts	mixscale_validated_ifng_readout	75	-0.07492353457372032	0.14666666666666667
GSE227835	GSM7266239	A3	AChR_MG_3	achr_positive_mg	AChR-positive MG	marker_plasmablast_like	marker_derived_from_GEO_counts	slc15a4_tasl_branch	75	-0.10980147990928815	0.17333333333333334
GSE227835	GSM7266239	A3	AChR_MG_3	achr_positive_mg	AChR-positive MG	marker_t_cell_like	marker_derived_from_GEO_counts	complement_phagocytosis	3210	0.018374188986698715	0.022741433021806853
GSE227835	GSM7266239	A3	AChR_MG_3	achr_positive_mg	AChR-positive MG	marker_t_cell_like	marker_derived_from_GEO_counts	hla_ii_cd74	3210	0.08679356303406008	0.3074766355140187
GSE227835	GSM7266239	A3	AChR_MG_3	achr_positive_mg	AChR-positive MG	marker_t_cell_like	marker_derived_from_GEO_counts	ifng_hlaii_cd74	3210	0.04949820602059619	0.28909657320872273
GSE227835	GSM7266239	A3	AChR_MG_3	achr_positive_mg	AChR-positive MG	marker_t_cell_like	marker_derived_from_GEO_counts	lipid_loader_repair	3210	0.003691098469095504	0.2691588785046729
