accession	contrast	interpretation_scope	marker_compartment	module	metric	n_case_donors	n_control_donors	mean_case	mean_control	delta_case_minus_control	hedges_g	welch_t	p	fdr
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_myeloid_apc_like	slc15a4_tasl_branch	high_fraction	20	10	0.27982701392470083	0.23934212757562107	0.04048488634907976	0.5298213389762217	1.197368180679194	0.25347077489562253	0.4408187389489088
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_nk_like	complement_phagocytosis	mean_score	20	10	0.0005245939600813501	-0.002750915852934406	0.003275509813015756	0.20291491223609479	0.5036196637662919	0.6217078608740056	0.7736808935320959
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_nk_like	complement_phagocytosis	high_fraction	20	10	0.022892831345735932	0.022462707627858073	0.00043012371787785886	0.05296002088344452	0.12435949243278782	0.9028668652183904	0.9491811557613128
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_nk_like	hla_ii_cd74	mean_score	20	10	-0.02451962406752808	-0.00043382481738431233	-0.02408579925014377	-0.13791528192234362	-0.3786697284711198	0.708957605485836	0.8396967862576282
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_nk_like	hla_ii_cd74	high_fraction	20	10	0.23577452508860106	0.2488160681174147	-0.013041543028813635	-0.10803706661902858	-0.2896568922190574	0.7752821581898436	0.882434976801448
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_nk_like	ifng_hlaii_cd74	mean_score	20	10	-0.007237779006775466	-0.0020183095863973975	-0.005219469420378068	-0.05402573531696184	-0.1532523035260129	0.8796200130126666	0.9364775803937134
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_nk_like	ifng_hlaii_cd74	high_fraction	20	10	0.2480780661363197	0.24665539968885702	0.0014226664474626671	0.01329251937595376	0.036142080675584165	0.9715400013817662	0.975022223608941
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_nk_like	lipid_loader_repair	mean_score	20	10	0.012995893385890096	0.0030774232211175636	0.009918470164772531	0.6526251638850927	1.7293438416438314	0.10082495219747194	0.26633006240841645
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_nk_like	lipid_loader_repair	high_fraction	20	10	0.27636736594461037	0.25794484772013015	0.01842251822448021	0.5633341962339963	1.4440378802696754	0.16738726937748846	0.35660485397894154
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_nk_like	lysosomal_apc	mean_score	20	10	0.040927927430612	0.013875842317781262	0.027052085112830738	0.40253666261872545	1.0948193783943792	0.28705064392011526	0.470024446184984
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_nk_like	lysosomal_apc	high_fraction	20	10	0.28833609073299477	0.26072936942163294	0.027606721311361826	0.44206894504821903	1.1993431102670955	0.24498581884936219	0.4306945530314299
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_nk_like	mixscale_validated_ifng_readout	mean_score	20	10	0.002159863459269175	0.0073702095926256525	-0.005210346133356478	-0.04648064646675709	-0.13411578009773184	0.8944974951777875	0.9451294288670963
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_nk_like	mixscale_validated_ifng_readout	high_fraction	20	10	0.264732297589594	0.2588969823173175	0.005835315272276487	0.05761488586437637	0.1648335747526656	0.8705720034224815	0.9339469768517044
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_nk_like	slc15a4_tasl_branch	mean_score	20	10	0.003209165357183681	-0.0022214540926342777	0.005430619449817958	0.08590294900655093	0.2723093389552397	0.7874274615263192	0.8854605993067043
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_nk_like	slc15a4_tasl_branch	high_fraction	20	10	0.27332648447704033	0.2500118698710702	0.02331461460597012	0.27222958225685373	0.9343554671421357	0.3583890533416447	0.5606085750595561
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_plasmablast_like	complement_phagocytosis	mean_score	20	10	-0.032253567404353777	0.006055458166452714	-0.03830902557080649	-1.3204378909081136	-3.687718597025352	0.0013887885360987207	0.024515016059368847
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_plasmablast_like	complement_phagocytosis	high_fraction	20	10	0.19135404062778794	0.2602266018352907	-0.06887256120750279	-0.7462524350744854	-2.0599866166263228	0.05257522050686257	0.1863425536952091
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_plasmablast_like	hla_ii_cd74	mean_score	20	10	-0.14432935184285278	0.007185483747140403	-0.15151483558999318	-0.7148734879397772	-1.8390040846988884	0.08375934936609457	0.23452617822506477
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_plasmablast_like	hla_ii_cd74	high_fraction	20	10	0.1641345801598763	0.24885243324809475	-0.08471785308821844	-0.8367051758157463	-2.1097558241526317	0.051098337119591136	0.1863425536952091
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_plasmablast_like	ifng_hlaii_cd74	mean_score	20	10	-0.07133890310930156	0.0060845638428027446	-0.07742346695210431	-0.6732498490514445	-1.7001282005608778	0.10852473493276536	0.27500316534099023
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_plasmablast_like	ifng_hlaii_cd74	high_fraction	20	10	0.16422601509199988	0.25563028961086987	-0.09140427451886998	-0.9205400404602341	-2.5187521273872986	0.020570396635048095	0.11754512362884627
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_plasmablast_like	lipid_loader_repair	mean_score	20	10	-0.0192082946511326	0.004164281340100345	-0.023372575991232946	-0.6163724783130573	-1.5036999561265068	0.15386804944632665	0.3341654843707332
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_plasmablast_like	lipid_loader_repair	high_fraction	20	10	0.2135620361532562	0.2607515441542672	-0.047189508001011016	-0.6328276674191964	-1.7875172424331667	0.08803342275306471	0.24166037618488354
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_plasmablast_like	lysosomal_apc	mean_score	20	10	-0.07020783924258997	0.011515022486577644	-0.08172286172916761	-0.7241650911290537	-1.7564212186508315	0.10013281232953017	0.26633006240841645
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_plasmablast_like	lysosomal_apc	high_fraction	20	10	0.1805915487434942	0.2585868046680086	-0.0779952559245144	-0.7433757472579876	-1.889666317389562	0.07682292578647343	0.22883424702353788
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_plasmablast_like	mixscale_validated_ifng_readout	mean_score	20	10	-0.08279688136967514	0.011941120726849622	-0.09473800209652476	-0.6941218649382637	-1.674242933000994	0.11580718689390415	0.28339567034001556
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_plasmablast_like	mixscale_validated_ifng_readout	high_fraction	20	10	0.1943126589463223	0.2599580679317036	-0.06564540898538132	-0.6101300620900934	-1.521657826114937	0.1482742515298935	0.32841667939753133
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_plasmablast_like	slc15a4_tasl_branch	mean_score	20	10	-0.05835177248819536	0.011376765851010221	-0.06972853833920559	-0.5383822069059406	-1.4199774210590654	0.17287650922330977	0.3582365047336048
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_plasmablast_like	slc15a4_tasl_branch	high_fraction	20	10	0.17965385217393862	0.26079008618897614	-0.08113623401503753	-0.8387850114137417	-2.198967450822181	0.04155879162157101	0.16375912456258307
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_t_cell_like	complement_phagocytosis	mean_score	20	10	0.0026722779524400316	0.0009752144482694059	0.0016970635041706258	0.13645317375268318	0.35255293743629706	0.7287844864579104	0.8467205651793149
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_t_cell_like	complement_phagocytosis	high_fraction	20	10	0.015881804792009294	0.016413635346964592	-0.0005318305549552975	-0.08966299327915359	-0.22205032746993497	0.8272291162095071	0.9097983834784155
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_t_cell_like	hla_ii_cd74	mean_score	20	10	0.03241457756578455	0.0052067209451252495	0.0272078566206593	0.29741791645030485	0.8639573056356448	0.39653054948577493	0.5937355821177379
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_t_cell_like	hla_ii_cd74	high_fraction	20	10	0.2736554839291853	0.2538282434077643	0.01982724052142104	0.2961295472353172	0.865462260677518	0.39558747298934194	0.5937355821177379
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_t_cell_like	ifng_hlaii_cd74	mean_score	20	10	0.04003059747124581	0.005079203873781461	0.034951393597464346	0.5019835486345423	1.490554405404664	0.14896042244102314	0.32841667939753133
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_t_cell_like	ifng_hlaii_cd74	high_fraction	20	10	0.29775896638766514	0.2552137489566353	0.04254521743102985	0.5672912700173376	1.6682439724920324	0.10841832705630529	0.27500316534099023
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_t_cell_like	lipid_loader_repair	mean_score	20	10	0.013230948575336568	0.001612221912353567	0.011618726662983001	0.7053478564209703	2.1203919390921575	0.044087072067633605	0.16681594836401906
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_t_cell_like	lipid_loader_repair	high_fraction	20	10	0.27473420213183386	0.2544759888086578	0.020258213323176066	0.6848599290865789	1.8602766280591312	0.07818444634667432	0.23043836817967167
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_t_cell_like	lysosomal_apc	mean_score	20	10	0.023605233815936523	0.006773211259840888	0.016832022556095637	0.22367468568371096	0.6562156225673971	0.5180382688032643	0.6763618438356326
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_t_cell_like	lysosomal_apc	high_fraction	20	10	0.2738273619684377	0.2558298934258353	0.017997468542602424	0.261940593887826	0.768075964638567	0.4500758068765508	0.6364708380072435
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_t_cell_like	mixscale_validated_ifng_readout	mean_score	20	10	0.03798001955987125	0.011538086472373098	0.026441933087498152	0.2734083551334786	0.8277390570209141	0.41554446595714745	0.6123813182526383
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_t_cell_like	mixscale_validated_ifng_readout	high_fraction	20	10	0.28852149566293905	0.25988141324288183	0.028640082420057222	0.35227815737016227	1.0512092154394392	0.3033996825523786	0.49390645996898835
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_t_cell_like	slc15a4_tasl_branch	mean_score	20	10	0.023845116564383127	0.002876533861581552	0.020968582702801573	0.3039443214691156	1.028135202424371	0.3128161047737966	0.5005057676380746
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_t_cell_like	slc15a4_tasl_branch	high_fraction	20	10	0.2933692319890352	0.2508858498392135	0.04248338214982167	0.25661454353981233	0.8890629101415948	0.3819472417477132	0.5812578157112012
GSE227835	achr_positive_mg_vs_healthy_control	subtype disease-control: AChR-positive MG vs healthy controls	marker_b_cell_apc_like	complement_phagocytosis	mean_score	10	10	0.002372538082273036	-0.0005224358859604887	0.002894973968233525	0.11846885620120644	0.27659137519795146	0.7853769191705662	0.8854605993067043
GSE227835	achr_positive_mg_vs_healthy_control	subtype disease-control: AChR-positive MG vs healthy controls	marker_b_cell_apc_like	complement_phagocytosis	high_fraction	10	10	0.05303784894430345	0.053543536313014686	-0.0005056873687112329	-0.028445628747080967	-0.0664125224621303	0.9478249417302407	0.96202930203712
GSE227835	achr_positive_mg_vs_healthy_control	subtype disease-control: AChR-positive MG vs healthy controls	marker_b_cell_apc_like	hla_ii_cd74	mean_score	10	10	0.0005538247591317261	0.006670118804296181	-0.006116294045164455	-0.043442811815682394	-0.1014267162515497	0.9203347484763311	0.9542089894192206
GSE227835	achr_positive_mg_vs_healthy_control	subtype disease-control: AChR-positive MG vs healthy controls	marker_b_cell_apc_like	hla_ii_cd74	high_fraction	10	10	0.25856513130521874	0.256241773493475	0.0023233578117437537	0.022790338061048434	0.05320901330241262	0.9581634849119232	0.9650567473933038
GSE227835	achr_positive_mg_vs_healthy_control	subtype disease-control: AChR-positive MG vs healthy controls	marker_b_cell_apc_like	ifng_hlaii_cd74	mean_score	10	10	0.03547486600383549	0.007318258498971268	0.02815660750486422	0.34224111738885105	0.799036509199469	0.43470534402804883	0.6306606027349931
GSE227835	achr_positive_mg_vs_healthy_control	subtype disease-control: AChR-positive MG vs healthy controls	marker_b_cell_apc_like	ifng_hlaii_cd74	high_fraction	10	10	0.30076883293211465	0.258846782973266	0.04192204995884863	0.4339466210192089	1.013143002464347	0.3250161012151782	0.5170710701150563
GSE227835	achr_positive_mg_vs_healthy_control	subtype disease-control: AChR-positive MG vs healthy controls	marker_b_cell_apc_like	lipid_loader_repair	mean_score	10	10	0.005630174373616005	0.002373574402947047	0.003256599970668958	0.16799753689111976	0.3922268792708256	0.6995781915012671	0.8371021094886957
GSE227835	achr_positive_mg_vs_healthy_control	subtype disease-control: AChR-positive MG vs healthy controls	marker_b_cell_apc_like	lipid_loader_repair	high_fraction	10	10	0.2788073565713127	0.2586745551949901	0.020132801376322618	0.604202683777296	1.4106429028100422	0.1758611812353833	0.3582365047336048
GSE227835	achr_positive_mg_vs_healthy_control	subtype disease-control: AChR-positive MG vs healthy controls	marker_b_cell_apc_like	lysosomal_apc	mean_score	10	10	0.0956850584674463	0.009164206484923169	0.08652085198252313	2.2518720120336972	5.25748619975142	8.182951181158033e-05	0.011056159226215861
GSE227835	achr_positive_mg_vs_healthy_control	subtype disease-control: AChR-positive MG vs healthy controls	marker_b_cell_apc_like	lysosomal_apc	high_fraction	10	10	0.3396245944150263	0.2573285922428451	0.08229600217218119	2.4165784740726837	5.6420293472093475	6.643314995978346e-05	0.011056159226215861
GSE227835	achr_positive_mg_vs_healthy_control	subtype disease-control: AChR-positive MG vs healthy controls	marker_b_cell_apc_like	mixscale_validated_ifng_readout	mean_score	10	10	0.12204092353535863	0.02102232717932923	0.1010185963560294	1.1934874359223342	2.7864566415884218	0.013765176308639835	0.09175189205520791
GSE227835	achr_positive_mg_vs_healthy_control	subtype disease-control: AChR-positive MG vs healthy controls	marker_b_cell_apc_like	mixscale_validated_ifng_readout	high_fraction	10	10	0.3642525198788347	0.2702734249265578	0.09397909495227691	1.189812038910309	2.7778756258974466	0.014090469137049786	0.09175189205520791
GSE227835	achr_positive_mg_vs_healthy_control	subtype disease-control: AChR-positive MG vs healthy controls	marker_b_cell_apc_like	slc15a4_tasl_branch	mean_score	10	10	0.06821282306087219	0.014077589428328974	0.05413523363254322	1.066505005287892	2.4899884706160647	0.022789758797483836	0.12081340918496203
GSE227835	achr_positive_mg_vs_healthy_control	subtype disease-control: AChR-positive MG vs healthy controls	marker_b_cell_apc_like	slc15a4_tasl_branch	high_fraction	10	10	0.3308745194790607	0.2638175921191656	0.0670569273598951	1.29511495613847	3.023728245922966	0.007556972526719835	0.06612350960879855
GSE227835	achr_positive_mg_vs_healthy_control	subtype disease-control: AChR-positive MG vs healthy controls	marker_myeloid_apc_like	complement_phagocytosis	mean_score	10	10	-0.0165586434828442	0.002037426760764309	-0.018596070243608508	-0.3367934086963491	-0.7863176454638569	0.4426587360044486	0.6364708380072435
GSE227835	achr_positive_mg_vs_healthy_control	subtype disease-control: AChR-positive MG vs healthy controls	marker_myeloid_apc_like	complement_phagocytosis	high_fraction	10	10	0.23961964946516812	0.2536570310687208	-0.014037381603552668	-0.28596244024207484	-0.6676416666603391	0.5128464647119477	0.6763618438356326
GSE227835	achr_positive_mg_vs_healthy_control	subtype disease-control: AChR-positive MG vs healthy controls	marker_myeloid_apc_like	hla_ii_cd74	mean_score	10	10	0.0068166009918658715	-0.02765834352230001	0.034474944514165884	0.17389812823904768	0.406003096309949	0.6900369297168725	0.8328031910376047
GSE227835	achr_positive_mg_vs_healthy_control	subtype disease-control: AChR-positive MG vs healthy controls	marker_myeloid_apc_like	hla_ii_cd74	high_fraction	10	10	0.2602168557070975	0.23935757046988476	0.020859285237212755	0.27545100974910897	0.6431004403112869	0.5287266839086069	0.6790984930936235
GSE227835	achr_positive_mg_vs_healthy_control	subtype disease-control: AChR-positive MG vs healthy controls	marker_myeloid_apc_like	ifng_hlaii_cd74	mean_score	10	10	0.04940623345180946	-0.018499831942128973	0.06790606539393843	0.5016137535928085	1.1711266772830409	0.25812185005930527	0.4461365309667004
