context	gene	ensembl_id	token_id	n_disease_cells	n_control_cells	n_disease_cells_with_token	mean_shift_to_control_cosine	mean_projection_to_control	mean_embedding_delta_norm	random_mean_shift_to_control_cosine	random_sd_shift_to_control_cosine	random_mean_projection_to_control	interpretation	cosine_shift_z_vs_random	projection_minus_random	candidate_support_flag
IBD_epithelial	CTSD	ENSG00000117984	4727	24	24	8	0.000207595527172	-0.0131834540516138	0.4538637995719909	-4.0733979807959666e-05	0.0007827144598691	0.0245326358320501	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.31726704911199666	-0.0377160898836639	False
IBD_epithelial	FABP5	ENSG00000164687	11227	24	24	3	-0.0001843174250097	0.0463601909577846	0.4767389297485351	-4.0733979807959666e-05	0.0007827144598691	0.0245326358320501	positive_shift_means_deleted_embedding_moved_toward_control_centroid	-0.1834429444752471	0.021827555125734498	False
IBD_epithelial	MSR1	ENSG00000038945	554	24	24	0				-4.0733979807959666e-05	0.0007827144598691	0.0245326358320501	token_not_detected_in_selected_disease_cells			False
IBD_epithelial	SCARB2	ENSG00000138760	7621	24	24	3	-0.0001407663075951	0.0031950522679835	0.275276631116867	-4.0733979807959666e-05	0.0007827144598691	0.0245326358320501	positive_shift_means_deleted_embedding_moved_toward_control_centroid	-0.12780181396402157	-0.0213375835640666	False
IBD_epithelial	GPNMB	ENSG00000136235	7137	24	24	0				-4.0733979807959666e-05	0.0007827144598691	0.0245326358320501	token_not_detected_in_selected_disease_cells			False
IBD_epithelial	SPP1	ENSG00000118785	4804	24	24	0				-4.0733979807959666e-05	0.0007827144598691	0.0245326358320501	token_not_detected_in_selected_disease_cells			False
IBD_stromal	LGALS3	ENSG00000131981	6432	24	24	5	0.0001447677641408	-9.725326526677236e-05	0.6462150812149048	-9.00882813665602e-05	0.0004669666545899	0.0105030066301373	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.5029396493280998	-0.010600259895404073	False
IBD_stromal	LGALS1	ENSG00000100097	2170	24	24	14	-0.0008738509495742	-0.1235097125172615	1.1696981191635132	-9.00882813665602e-05	0.0004669666545899	0.0105030066301373	positive_shift_means_deleted_embedding_moved_toward_control_centroid	-1.6784124958471751	-0.13401271914739882	False
IBD_stromal	LGALS9	ENSG00000168961	12261	24	24	0				-9.00882813665602e-05	0.0004669666545899	0.0105030066301373	token_not_detected_in_selected_disease_cells			False
IBD_stromal	LGALS3BP	ENSG00000108679	3539	24	24	7	-4.44906108896248e-05	-0.0187748987227678	0.4569799602031708	-9.00882813665602e-05	0.0004669666545899	0.0105030066301373	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.09764652364092302	-0.0292779053529051	False
IBD_stromal	CD44	ENSG00000026508	457	24	24	2	-0.0001167654991149	0.0286875329911708	0.6142624616622925	-9.00882813665602e-05	0.0004669666545899	0.0105030066301373	positive_shift_means_deleted_embedding_moved_toward_control_centroid	-0.057128742461853725	0.0181845263610335	False
IBD_stromal	TYROBP	ENSG00000011600	309	24	24	0				-9.00882813665602e-05	0.0004669666545899	0.0105030066301373	token_not_detected_in_selected_disease_cells			False
IBD_stromal	CTSB	ENSG00000164733	11238	24	24	3	0.0003965894284192	0.0143345100805163	0.4204311370849609	-9.00882813665602e-05	0.0004669666545899	0.0105030066301373	positive_shift_means_deleted_embedding_moved_toward_control_centroid	1.0422108409714412	0.0038315034503789997	True
IBD_stromal	CTSL	ENSG00000135047	6899	24	24	5	4.786252975463867e-05	-0.0043978407047688	0.3486959934234619	-9.00882813665602e-05	0.0004669666545899	0.0105030066301373	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.29541897641995485	-0.014900847334906101	False
IBD_stromal	CTSD	ENSG00000117984	4727	24	24	1	-0.0004173517227172	0.0153994727879762	0.4878761768341064	-9.00882813665602e-05	0.0004669666545899	0.0105030066301373	positive_shift_means_deleted_embedding_moved_toward_control_centroid	-0.7008282885595963	0.0048964661578389	False
IBD_stromal	FABP5	ENSG00000164687	11227	24	24	11	-0.0003021738666575	-0.0833587571978569	0.7434114217758179	-9.00882813665602e-05	0.0004669666545899	0.0105030066301373	positive_shift_means_deleted_embedding_moved_toward_control_centroid	-0.45417715206495385	-0.0938617638279942	False
IBD_stromal	MSR1	ENSG00000038945	554	24	24	0				-9.00882813665602e-05	0.0004669666545899	0.0105030066301373	token_not_detected_in_selected_disease_cells			False
IBD_stromal	SCARB2	ENSG00000138760	7621	24	24	7	5.624123878078535e-05	0.00877739302814	0.3120366930961609	-9.00882813665602e-05	0.0004669666545899	0.0105030066301373	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.3133618186845809	-0.0017256136019973	False
IBD_stromal	GPNMB	ENSG00000136235	7137	24	24	0				-9.00882813665602e-05	0.0004669666545899	0.0105030066301373	token_not_detected_in_selected_disease_cells			False
IBD_stromal	SPP1	ENSG00000118785	4804	24	24	1	-0.0004987120628356	-0.0134046748280525	0.4885719716548919	-9.00882813665602e-05	0.0004669666545899	0.0105030066301373	positive_shift_means_deleted_embedding_moved_toward_control_centroid	-0.8750598730179179	-0.0239076814581898	False
psoriasis_keratinocyte	LGALS3	ENSG00000131981	6432	24	24	2	-0.0010145902633666	-0.1327352821826934	1.1253818273544312	-0.0001388978626992	0.0006742620306581	-0.0069192228741788	positive_shift_means_deleted_embedding_moved_toward_control_centroid	-1.2987419739662605	-0.1258160593085146	False
psoriasis_keratinocyte	LGALS1	ENSG00000100097	2170	24	24	0				-0.0001388978626992	0.0006742620306581	-0.0069192228741788	token_not_detected_in_selected_disease_cells			False
psoriasis_keratinocyte	LGALS9	ENSG00000168961	12261	24	24	0				-0.0001388978626992	0.0006742620306581	-0.0069192228741788	token_not_detected_in_selected_disease_cells			False
psoriasis_keratinocyte	LGALS3BP	ENSG00000108679	3539	24	24	0				-0.0001388978626992	0.0006742620306581	-0.0069192228741788	token_not_detected_in_selected_disease_cells			False
psoriasis_keratinocyte	CD44	ENSG00000026508	457	24	24	14	-0.0001777623401721	0.0151847461238503	0.5817102789878845	-0.0001388978626992	0.0006742620306581	-0.0069192228741788	positive_shift_means_deleted_embedding_moved_toward_control_centroid	-0.05764002080165645	0.0221039689980291	False
psoriasis_keratinocyte	TYROBP	ENSG00000011600	309	24	24	0				-0.0001388978626992	0.0006742620306581	-0.0069192228741788	token_not_detected_in_selected_disease_cells			False
psoriasis_keratinocyte	CTSB	ENSG00000164733	11238	24	24	0				-0.0001388978626992	0.0006742620306581	-0.0069192228741788	token_not_detected_in_selected_disease_cells			False
psoriasis_keratinocyte	CTSL	ENSG00000135047	6899	24	24	0				-0.0001388978626992	0.0006742620306581	-0.0069192228741788	token_not_detected_in_selected_disease_cells			False
psoriasis_keratinocyte	CTSD	ENSG00000117984	4727	24	24	1	0.0004411935806274	0.0221359319984912	0.4673349261283874	-0.0001388978626992	0.0006742620306581	-0.0069192228741788	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.8603353250670415	0.02905515487267	False
psoriasis_keratinocyte	FABP5	ENSG00000164687	11227	24	24	0				-0.0001388978626992	0.0006742620306581	-0.0069192228741788	token_not_detected_in_selected_disease_cells			False
psoriasis_keratinocyte	MSR1	ENSG00000038945	554	24	24	0				-0.0001388978626992	0.0006742620306581	-0.0069192228741788	token_not_detected_in_selected_disease_cells			False
