gene	chembl_status	chembl_target_id	chembl_pref_name	chembl_target_type	chembl_activity_count_nM	chembl_query_url	gtex_gene_status	gtex_gencode_id	gtex_eqtl_tissue_count	gtex_eqtl_tissues	gtex_lookup_url	europepmc_query	europepmc_hit_count	europepmc_examples	europepmc_url	clinicaltrials_count	clinicaltrials_url	chembl_activity_url
CTLA4	ok	CHEMBL2364164	Cytotoxic T-lymphocyte protein 4	SINGLE PROTEIN	0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=CTLA4	ok	ENSG00000163599.14	2	Whole_Blood;Skin_Sun_Exposed_Lower_leg	https://gtexportal.org/api/v2/reference/gene?geneId=CTLA4&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3	"(CTLA4) AND (""autoimmune"" OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	32746	PPR1176377:InsulatorLeak, a mechanism-first pipeline for variant prioritization by predicted CTCF ins | 41317333:Type 1 Diabetes and Other Autoimmune Diseases-Epidemiology, Pathophysiology and Screening. | PPR1150985:Vestibular Involvement in Systemic Autoimmune and Rheumatologic Diseases: A Systematic Rev	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28CTLA4%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite	73	https://clinicaltrials.gov/api/v2/studies?query.term=CTLA4&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL2364164&standard_units=nM&limit=1
STAT4	ok	CHEMBL4523296	Signal transducer and activator of transcription 4	SINGLE PROTEIN	0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=STAT4	ok	ENSG00000138378.17	3	Cells_EBV-transformed_lymphocytes;Colon_Transverse;Skin_Sun_Exposed_Lower_leg	https://gtexportal.org/api/v2/reference/gene?geneId=STAT4&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3	"(STAT4) AND (""autoimmune"" OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	7092	42163726:Multilevel Exploration of Shared Genetic Architecture Between Primary Biliary Cholangitis  | 39607709:Autoimmune Disease is Increased in Women With Primary Ovarian Insufficiency. | 42051522:Divergent roles of IL-35 and IL-39 in rheumatoid arthritis: restoring cytokine balance wit	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28STAT4%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite	5	https://clinicaltrials.gov/api/v2/studies?query.term=STAT4&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL4523296&standard_units=nM&limit=1
TYK2	ok	CHEMBL3553	Non-receptor tyrosine-protein kinase TYK2	SINGLE PROTEIN	17132	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=TYK2	ok	ENSG00000105397.13	3	Whole_Blood;Spleen;Skin_Sun_Exposed_Lower_leg	https://gtexportal.org/api/v2/reference/gene?geneId=TYK2&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3	"(TYK2) AND (""autoimmune"" OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	6839	PPR1176377:InsulatorLeak, a mechanism-first pipeline for variant prioritization by predicted CTCF ins | 42163726:Multilevel Exploration of Shared Genetic Architecture Between Primary Biliary Cholangitis  | 41317333:Type 1 Diabetes and Other Autoimmune Diseases-Epidemiology, Pathophysiology and Screening.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TYK2%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite	17	https://clinicaltrials.gov/api/v2/studies?query.term=TYK2&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL3553&standard_units=nM&limit=1
PTPN2	ok	CHEMBL3807	Tyrosine-protein phosphatase non-receptor type 2	SINGLE PROTEIN	1279	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=PTPN2	ok	ENSG00000175354.18	1	Spleen	https://gtexportal.org/api/v2/reference/gene?geneId=PTPN2&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3	"(PTPN2) AND (""autoimmune"" OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	1441	40839671:Integrative molecular network analysis of genetic risk factors to infer biomarkers and the | 41799158:X chromosome-encoded microRNAs in immune regulation: sex differences and clinical implicat | 39944077:Protein phosphatases in systemic autoimmunity.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28PTPN2%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite	1	https://clinicaltrials.gov/api/v2/studies?query.term=PTPN2&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL3807&standard_units=nM&limit=1
TNFAIP3	ok	CHEMBL4523200	Tumor necrosis factor alpha-induced protein 3	SINGLE PROTEIN	0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=TNFAIP3	ok	ENSG00000118503.14	0		https://gtexportal.org/api/v2/reference/gene?geneId=TNFAIP3&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3	"(TNFAIP3) AND (""autoimmune"" OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	4850	PPR1176377:InsulatorLeak, a mechanism-first pipeline for variant prioritization by predicted CTCF ins | 42163726:Multilevel Exploration of Shared Genetic Architecture Between Primary Biliary Cholangitis  | 42128528:Clinical phenotype and laboratory markers in patients affected by haploinsufficiency of A2	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TNFAIP3%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite	0	https://clinicaltrials.gov/api/v2/studies?query.term=TNFAIP3&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL4523200&standard_units=nM&limit=1
SH2B3	ok				0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=SH2B3	ok	ENSG00000111252.10	3	Whole_Blood;Cells_EBV-transformed_lymphocytes;Spleen	https://gtexportal.org/api/v2/reference/gene?geneId=SH2B3&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3	"(SH2B3) AND (""autoimmune"" OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	1173	41516417:Identifying a Common Autoimmune Gene Core as a Tool for Verifying Biological Significance  | 40864326:The shared genetic etiology of autoimmune disorders and interstitial lung disease: insight | PPR1085741:The Genetic Immune Basis of Gout: Identification, Functional Characterization, and Therape	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28SH2B3%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite	0	https://clinicaltrials.gov/api/v2/studies?query.term=SH2B3&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true	
GPR65	ok	CHEMBL3714081	Psychosine receptor	SINGLE PROTEIN	99	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=GPR65	ok	ENSG00000140030.5	3	Whole_Blood;Cells_EBV-transformed_lymphocytes;Skin_Sun_Exposed_Lower_leg	https://gtexportal.org/api/v2/reference/gene?geneId=GPR65&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3	"(GPR65) AND (""autoimmune"" OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	432	41775781:Integrative mendelian randomization approaches for therapeutic target prioritisation in im | PPR1217343:CREB/CRTC2-Induced GPR65 Orchestrates Th17 Metabolic Fitness and Pathogenic Effector Funct | 41851628:A curated list of immune system associated genes related to cancer.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28GPR65%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite	0	https://clinicaltrials.gov/api/v2/studies?query.term=GPR65&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL3714081&standard_units=nM&limit=1
IL6R	ok	CHEMBL2364155	Interleukin-6 receptor subunit alpha	SINGLE PROTEIN	0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=IL6R	ok	ENSG00000160712.12	5	Whole_Blood;Cells_EBV-transformed_lymphocytes;Colon_Transverse;Skin_Sun_Exposed_Lower_leg;Brain_Frontal_Cortex_BA9	https://gtexportal.org/api/v2/reference/gene?geneId=IL6R&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3	"(IL6R) AND (""autoimmune"" OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	3549	41775781:Integrative mendelian randomization approaches for therapeutic target prioritisation in im | 41323472:Mendelian randomization study of the causal relationship between autoimmune diseases and a | PMC12979485:Mendelian randomization studies in atopic dermatitis: causal insights across omics layers	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28IL6R%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite	65	https://clinicaltrials.gov/api/v2/studies?query.term=IL6R&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL2364155&standard_units=nM&limit=1
CARD9	ok				0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=CARD9	ok	ENSG00000187796.13	3	Whole_Blood;Colon_Transverse;Skin_Sun_Exposed_Lower_leg	https://gtexportal.org/api/v2/reference/gene?geneId=CARD9&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3	"(CARD9) AND (""autoimmune"" OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	1918	41909698:Tyrosine kinase signaling pathways as therapeutic targets in autoimmune subepidermal blist | 41155288:Chronic Stress and Autoimmunity: The Role of HPA Axis and Cortisol Dysregulation. | 40771819:Targeting Th9 cells in autoimmune diseases: a narrative review.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28CARD9%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite	2	https://clinicaltrials.gov/api/v2/studies?query.term=CARD9&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true	
IRF5	ok				0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=IRF5	ok	ENSG00000128604.19	4	Whole_Blood;Spleen;Colon_Transverse;Skin_Sun_Exposed_Lower_leg	https://gtexportal.org/api/v2/reference/gene?geneId=IRF5&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3	"(IRF5) AND (""autoimmune"" OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	4201	42163726:Multilevel Exploration of Shared Genetic Architecture Between Primary Biliary Cholangitis  | 41516417:Identifying a Common Autoimmune Gene Core as a Tool for Verifying Biological Significance  | 41237580:Exploring the role of genetic variants in susceptibility to autoimmune Diseases: A molecul	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28IRF5%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite	1	https://clinicaltrials.gov/api/v2/studies?query.term=IRF5&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true	
