artifact	status	latest_source_mtime	oldest_output_mtime	missing_sources	missing_outputs	sources	outputs	refresh_command
cross_route_readiness_linter	FRESH	1781297863.632723	1781297870.5033576			analysis/v45_external_blocker_board/external_blocker_board.tsv;analysis/v45_route_arrival_packets/route_arrival_packet_index.tsv;analysis/v45_validation_command_runner/gafson_primary_plan/command_plan_summary.json;analysis/v45_validation_command_runner/karolinska_primary_plan/command_plan_summary.json;analysis/v45_validation_command_runner/gse228330_pharmacodynamic_plan/command_plan_summary.json;analysis/v45_author_run_return_gate_runner/synthetic_check_summary.json;scripts/v45_cross_route_readiness_linter.py	analysis/v45_cross_route_readiness_linter/live/cross_route_readiness_lint_summary.json;analysis/v45_cross_route_readiness_linter/live/cross_route_readiness_lint.tsv;analysis/v45_cross_route_readiness_linter/live/cross_route_readiness_issues.tsv	.venv/bin/python scripts/v45_cross_route_readiness_linter.py --outdir analysis/v45_cross_route_readiness_linter/live --expect-status PASS
state_machine_transition_validator	FRESH	1781301565.7543569	1781301577.9407487			analysis/v45_received_data_triage/received_data_triage_status.tsv;analysis/v45_external_blocker_board/external_blocker_board.tsv;analysis/v45_followup_due_board/live_template/followup_due_board.tsv;analysis/v45_readiness_status_dashboard/readiness_status_dashboard_summary.json;scripts/v45_state_machine_validator.py	analysis/v45_state_machine_validator/live/state_machine_validator_summary.json;analysis/v45_state_machine_validator/live/route_state_validation.tsv	.venv/bin/python scripts/v45_state_machine_validator.py --outdir analysis/v45_state_machine_validator/live --expect-status PASS
received_package_decision_tree	FRESH	1781350111.0909307	1781350129.4098456			analysis/v45_current_action_card/current_action_card.tsv;analysis/v45_state_machine_validator/live/route_state_validation.tsv;analysis/v45_state_machine_validator/live/state_machine_validator_summary.json;scripts/v45_received_package_decision_tree.py	analysis/v45_received_package_decision_tree/live/received_package_decision_tree_summary.json;analysis/v45_received_package_decision_tree/live/received_package_decision_tree.tsv;analysis/v45_received_package_decision_tree/live/received_package_decision_tree_issues.tsv	.venv/bin/python scripts/v45_received_package_decision_tree.py --outdir analysis/v45_received_package_decision_tree/live --expect-status PASS
current_action_card	FRESH	1781350111.020695	1781350111.0909307			analysis/v45_external_blocker_board/external_blocker_board.tsv;analysis/v45_followup_due_board/live_template/followup_due_board.tsv;analysis/v45_readiness_status_dashboard/readiness_status_dashboard_summary.json;analysis/v45_state_machine_validator/live/state_machine_validator_summary.json;analysis/v45_route_packet_integrity_manifest/live/route_packet_integrity_summary.json;analysis/v45_precommit_readiness/precommit_readiness_summary.json;analysis/v46_returned_package_regression_suite/returned_package_regression_summary.json;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_summary.json;scripts/v45_current_action_card.py	analysis/v45_current_action_card/current_action_card_summary.json;analysis/v45_current_action_card/current_action_card.tsv;analysis/v45_current_action_card/CURRENT_ACTION_CARD.md	.venv/bin/python scripts/v45_current_action_card.py --outdir analysis/v45_current_action_card
cold_start_operator_sequence	FRESH	1781350129.4098456	1781350142.3033392			analysis/v45_current_action_card/current_action_card.tsv;analysis/v45_received_package_decision_tree/live/received_package_decision_tree.tsv;analysis/v45_route_arrival_packets/route_arrival_packet_index.tsv;analysis/v45_validation_command_runner/gafson_primary_plan/command_plan.md;analysis/v45_validation_command_runner/karolinska_primary_plan/command_plan.md;analysis/v45_validation_command_runner/gse228330_pharmacodynamic_plan/command_plan.md;analysis/v46_returned_package_regression_suite/returned_package_regression_summary.json;scripts/v45_cold_start_operator_sequence.py	analysis/v45_cold_start_operator_sequence/cold_start_operator_sequence_summary.json;analysis/v45_cold_start_operator_sequence/cold_start_operator_sequence.tsv;analysis/v45_cold_start_operator_sequence/COLD_START_OPERATOR_SEQUENCE.md	.venv/bin/python scripts/v45_cold_start_operator_sequence.py --outdir analysis/v45_cold_start_operator_sequence
author_run_bundle_dryrun_manifest	FRESH	1781350111.0909307	1781350129.4665956			analysis/v45_author_run_packet_bundle/author_run_packet_bundle_index.tsv;analysis/v45_author_run_packet_checksums/write/author_run_packet_sha256_manifest.tsv;analysis/v45_author_run_packet_checksums/verify/author_run_packet_checksum_verify.tsv;analysis/v45_command_plan_consistency/command_plan_consistency_summary.json;analysis/v45_current_action_card/current_action_card.tsv;scripts/v45_author_run_bundle_dryrun_manifest.py	analysis/v45_author_run_bundle_dryrun_manifest/live/author_run_bundle_dryrun_summary.json;analysis/v45_author_run_bundle_dryrun_manifest/live/author_run_bundle_dryrun_manifest.tsv	.venv/bin/python scripts/v45_author_run_bundle_dryrun_manifest.py --outdir analysis/v45_author_run_bundle_dryrun_manifest/live --expect-status PASS
generated_checker_registry	FRESH	1781348308.070605	1781350268.3540602			scripts/v45_generated_checker_registry.py;docs/validation/GENERATED_CHECKER_REGISTRY_V45.md	analysis/v45_generated_checker_registry/generated_checker_registry_summary.json;analysis/v45_generated_checker_registry/generated_checker_registry.tsv	.venv/bin/python scripts/v45_generated_checker_registry.py --outdir analysis/v45_generated_checker_registry
operational_handoff_index	FRESH	1781300595.2500167	1781346371.919453			docs/validation/input_schemas/V45_operational_handoff_index.tsv	docs/validation/V45_OPERATIONAL_HANDOFF_INDEX.md	update docs/validation/V45_OPERATIONAL_HANDOFF_INDEX.md to match docs/validation/input_schemas/V45_operational_handoff_index.tsv
readiness_status_dashboard	FRESH	1781301546.0753	1781301565.753411			analysis/v45_outbound_data_requests/request_tracker.tsv;analysis/v45_received_data_triage/received_data_triage_status.tsv;analysis/v45_precommit_readiness/precommit_readiness_summary.json;analysis/v45_collaborator_path_resolver/live_sources/collaborator_package_path_resolution_summary.json;analysis/v45_followup_due_board/live_template/followup_due_board_summary.json;analysis/v45_external_blocker_board/external_blocker_board_summary.json;analysis/v45_handoff_completeness/handoff_completeness_summary.json;analysis/v45_handoff_completeness_scored_missing/handoff_completeness_summary.json;scripts/v45_readiness_status_dashboard.py	analysis/v45_readiness_status_dashboard/readiness_status_dashboard_summary.json;analysis/v45_readiness_status_dashboard/readiness_status_dashboard.tsv	.venv/bin/python scripts/v45_readiness_status_dashboard.py --outdir analysis/v45_readiness_status_dashboard
generated_doc_freshness_linter	STALE_OR_MISSING	1781350557.9627876	1781350269.0067143			analysis/v45_artifact_index/summary.json;analysis/v45_compute_storage_summary/summary.json;analysis/v45_synthetic_artifact_index/summary.json;analysis/v45_precommit_readiness/precommit_readiness_summary.json;analysis/v45_regression_aggregator/regression_aggregator_summary.json;docs/validation/V45_GOVERNANCE_REFRESH.md;docs/validation/V45_ARTIFACT_INDEX.md;docs/validation/V45_COMPUTE_STORAGE_SUMMARY.md;docs/validation/PRECOMMIT_READINESS_CHECKLIST_V45.md;docs/validation/V45_READINESS_CHANGELOG.md;docs/validation/SYNTHETIC_ARTIFACT_RETENTION_INDEX_V45.md;docs/validation/SYNTHETIC_OUTPUT_RETENTION_POLICY_V45.md;docs/validation/V45_REGRESSION_AGGREGATOR.md;docs/validation/READINESS_STALE_OUTPUT_DETECTOR_V45.md;scripts/v45_generated_doc_freshness_linter.py;scripts/v45_readiness_stale_output_detector.py	analysis/v45_generated_doc_freshness_linter/generated_doc_freshness_summary.json;analysis/v45_generated_doc_freshness_linter/generated_doc_freshness_lint.tsv	.venv/bin/python scripts/v45_generated_doc_freshness_linter.py --outdir analysis/v45_generated_doc_freshness_linter
no_score_before_gates_linter	FRESH	1781345351.4540637	1781345529.6435645			docs/validation/FIRST_24H_RECEIVED_DATA_OPERATOR_CHECKLIST_V45.md;docs/validation/HARNESS_READY_DECISION_TEMPLATE_V45.md;docs/validation/VALIDATION_COMMAND_RUNNER_V45.md;docs/validation/COLLABORATOR_VALIDATION_PACKAGE_README_V45.md;docs/validation/EXTERNAL_BLOCKER_BOARD_V45.md;analysis/v45_route_arrival_packets/gafson_dmf_2018_arrival_packet.md;analysis/v45_route_arrival_packets/karolinska_dmf_ros_2019_arrival_packet.md;analysis/v45_route_arrival_packets/gse228330_ocrelizumab_pbmc_arrival_packet.md;analysis/v45_route_arrival_packets/any_author_run_fallback_arrival_packet.md;scripts/v45_no_score_before_gates_linter.py	analysis/v45_no_score_before_gates_linter/live/no_score_before_gates_summary.json;analysis/v45_no_score_before_gates_linter/live/no_score_before_gates_lint.tsv;analysis/v45_no_score_before_gates_linter/synthetic_bad/no_score_before_gates_summary.json;analysis/v45_no_score_before_gates_linter/synthetic_bad/no_score_before_gates_lint.tsv	.venv/bin/python scripts/v45_no_score_before_gates_linter.py --outdir analysis/v45_no_score_before_gates_linter/live --expect-status PASS && .venv/bin/python scripts/v45_no_score_before_gates_linter.py --outdir analysis/v45_no_score_before_gates_linter/synthetic_bad --synthetic-case bad --expect-status FAIL
synthetic_received_package_dryrun	FRESH	1781300832.9391947	1781300968.3349748			docs/validation/input_schemas/V45_first_24h_operator_status_template.tsv;scripts/v45_synthetic_received_package_dryrun.py;scripts/v45_received_status_updater.py;scripts/v45_state_machine_validator.py;scripts/v45_received_package_decision_tree.py	analysis/v45_synthetic_received_package_dryrun/synthetic_received_package_dryrun_summary.json;analysis/v45_synthetic_received_package_dryrun/received_status_updater/received_data_triage_status.proposed.tsv;analysis/v45_synthetic_received_package_dryrun/state_machine_validator/route_state_validation.tsv;analysis/v45_synthetic_received_package_dryrun/received_package_decision_tree/received_package_decision_tree.tsv	.venv/bin/python scripts/v45_synthetic_received_package_dryrun.py --outdir analysis/v45_synthetic_received_package_dryrun
v46_terms_governance_matrix	FRESH	1781344992.5493271	1781345475.0005388			docs/validation/input_schemas/V45_data_use_terms_capture_template.tsv;docs/validation/TERMS_GOVERNANCE_MATRIX_V46.md;scripts/v46_terms_governance_matrix.py	analysis/v46_terms_governance_matrix/terms_governance_synthetic_summary.json;analysis/v46_terms_governance_matrix/terms_governance_synthetic_cases.tsv	.venv/bin/python scripts/v46_terms_governance_matrix.py synthetic-check --outdir analysis/v46_terms_governance_matrix
v46_metric_format_adapter	FRESH	1781344589.605407	1781345475.7281845			analysis/v45_author_run_output_check/synthetic_complete_author_run_package/validation_summary.json;docs/validation/AUTHOR_RUN_METRIC_FORMAT_ADAPTER_V46.md;scripts/v46_author_run_metric_format_adapter.py	analysis/v46_author_run_metric_format_adapter/metric_format_adapter_synthetic_summary.json;analysis/v46_author_run_metric_format_adapter/metric_format_adapter_synthetic_checks.tsv	.venv/bin/python scripts/v46_author_run_metric_format_adapter.py synthetic-check --outdir analysis/v46_author_run_metric_format_adapter
v46_partial_label_return_classifier	FRESH	1781344808.5977	1781345474.5906885			analysis/v45_route_analyzable_pair_calculator/route_analyzable_pair_synthetic_summary.json;docs/validation/PARTIAL_LABEL_RETURN_CLASSIFIER_V46.md;scripts/v46_partial_label_return_classifier.py	analysis/v46_partial_label_return_classifier/partial_label_synthetic_summary.json;analysis/v46_partial_label_return_classifier/partial_label_synthetic_cases.tsv	.venv/bin/python scripts/v46_partial_label_return_classifier.py synthetic-check --outdir analysis/v46_partial_label_return_classifier
v46_safe_interpretation_classifier	FRESH	1781347069.6030736	1781347235.40123			analysis/v45_author_run_return_gate_runner/synthetic_check_summary.json;analysis/v45_author_run_schema_validator/synthetic_author_run_schema_summary.json;analysis/v45_route_analyzable_pair_calculator/route_analyzable_pair_synthetic_summary.json;docs/validation/RETURNED_PACKAGE_SAFE_INTERPRETATION_V46.md;scripts/v46_returned_package_safe_interpretation.py	analysis/v46_returned_package_safe_interpretation/safe_interpretation_synthetic_summary.json;analysis/v46_returned_package_safe_interpretation/safe_interpretation_synthetic_cases.tsv	.venv/bin/python scripts/v46_returned_package_safe_interpretation.py synthetic-check --outdir analysis/v46_returned_package_safe_interpretation
v46_returned_package_command_order_planner	FRESH	1781348182.0998144	1781348409.100279			docs/validation/RETURNED_PACKAGE_COMMAND_ORDER_PLANNER_V46.md;docs/validation/AUTHOR_RUN_RETURN_OPERATOR_CHECKLIST_V45.md;scripts/v46_returned_package_command_order_planner.py	analysis/v46_returned_package_command_order_planner/returned_package_command_order_synthetic_summary.json;analysis/v46_returned_package_command_order_planner/returned_package_command_order_synthetic_cases.tsv	.venv/bin/python scripts/v46_returned_package_command_order_planner.py synthetic-check --outdir analysis/v46_returned_package_command_order_planner
v46_returned_package_route_state_matrix	FRESH	1781347467.6116228	1781347568.1700509			docs/validation/RETURNED_PACKAGE_ROUTE_STATE_MATRIX_V46.md;scripts/v46_returned_package_route_state_matrix.py;scripts/v46_returned_package_command_order_planner.py	analysis/v46_returned_package_route_state_matrix/returned_package_route_state_matrix_summary.json;analysis/v46_returned_package_route_state_matrix/returned_package_route_state_matrix.tsv;analysis/v46_returned_package_route_state_matrix/returned_package_route_state_checks.tsv	.venv/bin/python scripts/v46_returned_package_route_state_matrix.py --outdir analysis/v46_returned_package_route_state_matrix --fail-on-error
v46_aggregate_only_returned_package_composition_dryrun	FRESH	1781348182.0998144	1781348413.1664927			docs/validation/AGGREGATE_ONLY_RETURNED_PACKAGE_COMPOSITION_DRYRUN_V46.md;docs/validation/AUTHOR_RUN_RETURN_OPERATOR_CHECKLIST_V45.md;scripts/v46_aggregate_only_returned_package_composition_dryrun.py;scripts/v46_returned_package_command_order_planner.py;scripts/v46_returned_package_route_state_matrix.py;scripts/v46_author_run_metric_format_adapter.py;scripts/v46_partial_label_return_classifier.py;scripts/v46_returned_package_safe_interpretation.py	analysis/v46_aggregate_only_returned_package_composition_dryrun/aggregate_only_composition_summary.json;analysis/v46_aggregate_only_returned_package_composition_dryrun/aggregate_only_composition_checks.tsv;analysis/v46_aggregate_only_returned_package_composition_dryrun/aggregate_only_composition_steps.tsv	.venv/bin/python scripts/v46_aggregate_only_returned_package_composition_dryrun.py --outdir analysis/v46_aggregate_only_returned_package_composition_dryrun --fail-on-error
v46_unscoreable_return_composition_dryrun	FRESH	1781348182.0998144	1781348411.0220628			docs/validation/UNSCOREABLE_RETURN_COMPOSITION_DRYRUN_V46.md;docs/validation/AUTHOR_RUN_RETURN_OPERATOR_CHECKLIST_V45.md;scripts/v46_unscoreable_return_composition_dryrun.py;scripts/v46_returned_package_command_order_planner.py;scripts/v46_returned_package_route_state_matrix.py;scripts/v45_author_run_return_gate_runner.py;scripts/v45_author_run_output_check.py	analysis/v46_unscoreable_return_composition_dryrun/unscoreable_composition_summary.json;analysis/v46_unscoreable_return_composition_dryrun/unscoreable_composition_steps.tsv;analysis/v46_unscoreable_return_composition_dryrun/unscoreable_composition_checks.tsv	.venv/bin/python scripts/v46_unscoreable_return_composition_dryrun.py --outdir analysis/v46_unscoreable_return_composition_dryrun --fail-on-error
v46_returned_package_regression_suite	STALE_OR_MISSING	1781350530.8258033	1781350101.817268			docs/validation/RETURNED_PACKAGE_REGRESSION_SUITE_V46.md;scripts/v46_returned_package_regression_suite.py;scripts/v46_terms_governance_matrix.py;scripts/v46_author_run_metric_format_adapter.py;scripts/v46_partial_label_return_classifier.py;scripts/v46_returned_package_command_order_planner.py;scripts/v46_returned_package_route_state_matrix.py;scripts/v46_aggregate_only_returned_package_composition_dryrun.py;scripts/v46_unscoreable_return_composition_dryrun.py;scripts/v46_returned_package_safe_interpretation.py;scripts/v46_safe_wording_fixture_linter.py;scripts/v46_result_report_safe_class_linter.py;docs/validation/ANALYZABLE_PAIR_CONFIDENCE_ENVELOPE_V46.md;scripts/v46_analyzable_pair_confidence_envelope.py;docs/validation/RETURN_REPAIR_REQUEST_TEMPLATES_V46.md;scripts/v46_return_repair_request_templates.py;docs/validation/FIRST30_RETURNED_PACKAGE_DECISION_TABLE_V46.md;scripts/v46_first30_returned_package_decision_table.py;docs/validation/RETURNED_PACKAGE_STATE_TRANSITION_VALIDATOR_V46.md;scripts/v46_returned_package_state_transition_validator.py	analysis/v46_returned_package_regression_suite/returned_package_regression_summary.json;analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv	.venv/bin/python scripts/v46_returned_package_regression_suite.py --outdir analysis/v46_returned_package_regression_suite --fail-on-error
v46_safe_wording_fixture_linter	FRESH	1781347235.40123	1781347248.2615082			analysis/v46_returned_package_safe_interpretation/safe_interpretation_synthetic_cases.tsv;docs/validation/SAFE_WORDING_FIXTURE_LINTER_V46.md;scripts/v46_safe_wording_fixture_linter.py	analysis/v46_safe_wording_fixture_linter/safe_wording_fixture_summary.json;analysis/v46_safe_wording_fixture_linter/safe_wording_fixture_index.tsv;analysis/v46_safe_wording_fixture_linter/safe_wording_fixture_lint.tsv	.venv/bin/python scripts/v46_safe_wording_fixture_linter.py --outdir analysis/v46_safe_wording_fixture_linter --fail-on-error
v46_result_report_safe_class_linter	FRESH	1781348182.0998144	1781348318.3614347			docs/validation/RESULT_REPORT_SAFE_CLASS_LINTER_V46.md;docs/validation/AUTHOR_RUN_RETURN_OPERATOR_CHECKLIST_V45.md;scripts/v46_result_report_safe_class_linter.py	analysis/v46_result_report_safe_class_linter/result_report_safe_class_synthetic_summary.json;analysis/v46_result_report_safe_class_linter/result_report_safe_class_synthetic_cases.tsv	.venv/bin/python scripts/v46_result_report_safe_class_linter.py synthetic-check --outdir analysis/v46_result_report_safe_class_linter --fail-on-error
v46_small_n_conclusion_language	FRESH	1781348919.0458007	1781348968.7146173			docs/validation/SMALL_N_CONCLUSION_LANGUAGE_V46.md;docs/validation/PREREGISTRATION_V42.md;docs/validation/OUTCOME_INTERPRETATION_GRID_V42.md;docs/validation/VALIDATION_POWER_DECISION_TABLE_V45.md;docs/validation/RETURNED_PACKAGE_SAFE_INTERPRETATION_V46.md;analysis/v45_route_analyzable_pair_calculator/route_analyzable_pair_synthetic_cases.tsv;analysis/v45_power_decision_table/stakeholder_power_decision_table.tsv;analysis/v45_power_decision_table/selected_scenarios_by_n.tsv;scripts/v46_small_n_conclusion_language_table.py	analysis/v46_small_n_conclusion_language/small_n_conclusion_language_summary.json;analysis/v46_small_n_conclusion_language/small_n_conclusion_language.tsv;analysis/v46_small_n_conclusion_language/route_example_language.tsv;analysis/v46_small_n_conclusion_language/SMALL_N_CONCLUSION_LANGUAGE.md	.venv/bin/python scripts/v46_small_n_conclusion_language_table.py --outdir analysis/v46_small_n_conclusion_language
v46_analyzable_pair_confidence_envelope	FRESH	1781350510.7668273	1781350578.1912436			docs/validation/ANALYZABLE_PAIR_CONFIDENCE_ENVELOPE_V46.md;docs/validation/POWER_MAP_V43.md;docs/validation/VALIDATION_POWER_DECISION_TABLE_V45.md;docs/validation/ROUTE_ANALYZABLE_PAIR_CALCULATOR_V45.md;analysis/v43_method_validation/power_map_summary.tsv;analysis/v45_route_analyzable_pair_calculator/route_analyzable_pair_synthetic_cases.tsv;scripts/v46_analyzable_pair_confidence_envelope.py	analysis/v46_analyzable_pair_confidence_envelope/analyzable_pair_confidence_envelope_summary.json;analysis/v46_analyzable_pair_confidence_envelope/analyzable_pair_confidence_envelope.tsv;analysis/v46_analyzable_pair_confidence_envelope/representative_power_cells.tsv;analysis/v46_analyzable_pair_confidence_envelope/partial_label_example_envelopes.tsv;analysis/v46_analyzable_pair_confidence_envelope/analyzable_pair_confidence_envelope_lint.tsv;analysis/v46_analyzable_pair_confidence_envelope/ANALYZABLE_PAIR_CONFIDENCE_ENVELOPE.md	.venv/bin/python scripts/v46_analyzable_pair_confidence_envelope.py --outdir analysis/v46_analyzable_pair_confidence_envelope --fail-on-error
v46_return_repair_request_templates	FRESH	1781349262.2652411	1781349356.9013584			docs/validation/RETURN_REPAIR_REQUEST_TEMPLATES_V46.md;docs/validation/input_schemas/V45_preflight_failure_taxonomy.tsv;docs/validation/input_schemas/V45_author_run_minimum_output_spec.tsv;docs/validation/AUTHOR_RUN_RETURN_OPERATOR_CHECKLIST_V45.md;docs/validation/RETURNED_PACKAGE_SAFE_INTERPRETATION_V46.md;analysis/v46_small_n_conclusion_language/small_n_conclusion_language.tsv;scripts/v46_return_repair_request_templates.py	analysis/v46_return_repair_request_templates/return_repair_request_templates_summary.json;analysis/v46_return_repair_request_templates/repair_request_template_index.tsv;analysis/v46_return_repair_request_templates/repair_request_template_lint.tsv;analysis/v46_return_repair_request_templates/RETURN_REPAIR_REQUEST_TEMPLATES.md	.venv/bin/python scripts/v46_return_repair_request_templates.py --outdir analysis/v46_return_repair_request_templates --fail-on-error
v46_first30_returned_package_decision_table	FRESH	1781349517.5208254	1781349597.8166218			docs/validation/FIRST30_RETURNED_PACKAGE_DECISION_TABLE_V46.md;docs/validation/FIRST_24H_RECEIVED_DATA_OPERATOR_CHECKLIST_V45.md;docs/validation/RETURNED_PACKAGE_COMMAND_ORDER_PLANNER_V46.md;analysis/v46_returned_package_route_state_matrix/returned_package_route_state_matrix.tsv;scripts/v46_first30_returned_package_decision_table.py	analysis/v46_first30_returned_package_decision_table/first30_returned_package_decision_summary.json;analysis/v46_first30_returned_package_decision_table/first30_returned_package_decision_table.tsv;analysis/v46_first30_returned_package_decision_table/first30_returned_package_decision_lint.tsv;analysis/v46_first30_returned_package_decision_table/FIRST30_RETURNED_PACKAGE_DECISION_TABLE.md	.venv/bin/python scripts/v46_first30_returned_package_decision_table.py --outdir analysis/v46_first30_returned_package_decision_table --fail-on-error
v46_returned_package_state_transition_validator	FRESH	1781349982.2966745	1781350091.926038			docs/validation/RETURNED_PACKAGE_STATE_TRANSITION_VALIDATOR_V46.md;docs/validation/RETURNED_PACKAGE_COMMAND_ORDER_PLANNER_V46.md;docs/validation/RETURNED_PACKAGE_ROUTE_STATE_MATRIX_V46.md;docs/validation/RETURNED_PACKAGE_SAFE_INTERPRETATION_V46.md;docs/validation/RESULT_REPORT_SAFE_CLASS_LINTER_V46.md;scripts/v46_returned_package_state_transition_validator.py	analysis/v46_returned_package_state_transition_validator/returned_package_state_transition_summary.json;analysis/v46_returned_package_state_transition_validator/returned_package_states.tsv;analysis/v46_returned_package_state_transition_validator/returned_package_allowed_transitions.tsv;analysis/v46_returned_package_state_transition_validator/returned_package_state_transition_scenarios.tsv;analysis/v46_returned_package_state_transition_validator/returned_package_state_transition_lint.tsv;analysis/v46_returned_package_state_transition_validator/RETURNED_PACKAGE_STATE_TRANSITION_VALIDATOR.md	.venv/bin/python scripts/v46_returned_package_state_transition_validator.py --outdir analysis/v46_returned_package_state_transition_validator --fail-on-error
