n_requested	event_rate_target	odds_ratio_per_latent_sd	missing_rate	molecular_repeats	measurement_reliability_per_repeat	label_noise	alpha	n_simulated_cohorts	n_valid_fits	valid_fit_rate	median_usable_n_across_seeds	median_events_across_seeds	conclusive_probability	conclusive_probability_ci_low	conclusive_probability_ci_high	minimum_seed_probability	maximum_seed_probability	unconditional_false_pass_rate	conditional_on_valid_fit_false_pass_rate
60	0.15	1.0	0.2	1	0.7	0.0	0.05	1500	1294	0.8626666666666667	48.0	7.0	0.0306666666666666	0.0230694738882114	0.0406616184144655	0.028	0.032	0.0306666666666666	0.035548686244203945
60	0.15	1.0	0.2	2	0.7	0.0	0.05	1500	1323	0.882	48.0	7.0	0.0346666666666666	0.0265334907872422	0.0451771660696733	0.026	0.04	0.0346666666666666	0.03930461073318209
60	0.3	1.0	0.0	1	0.7	0.0	0.05	1500	1500	1.0	60.0	18.0	0.0413333333333333	0.0323762067224107	0.0526337243915691	0.03	0.058	0.0413333333333333	0.0413333333333333
60	0.3	1.0	0.0	2	0.7	0.0	0.05	1500	1500	1.0	60.0	18.0	0.0366666666666666	0.028277917491892	0.0474225216421428	0.032	0.046	0.0366666666666666	0.0366666666666666
60	0.3	1.0	0.2	1	0.7	0.0	0.05	1500	1499	0.9993333333333332	48.0	14.0	0.0466666666666666	0.0371015801662185	0.0585477703534126	0.036	0.054	0.0466666666666666	0.04669779853235484
60	0.3	1.0	0.2	2	0.7	0.0	0.05	1500	1500	1.0	48.0	14.0	0.042	0.0329645968914412	0.053375261648245	0.03	0.05	0.042	0.042
80	0.15	1.0	0.0	1	0.7	0.0	0.05	1500	1487	0.9913333333333332	80.0	12.0	0.0466666666666666	0.0371015801662185	0.0585477703534126	0.036	0.062	0.0466666666666666	0.04707464694014788
80	0.15	1.0	0.0	2	0.7	0.0	0.05	1500	1492	0.9946666666666668	80.0	12.0	0.038	0.0294450293082071	0.0489152646772405	0.036	0.04	0.038	0.03820375335120643
80	0.15	1.0	0.2	1	0.7	0.0	0.05	1500	1456	0.9706666666666668	64.0	9.0	0.0406666666666666	0.0317885125366015	0.0518914911516718	0.038	0.044	0.0406666666666666	0.04189560439560433
80	0.15	1.0	0.2	2	0.7	0.0	0.05	1500	1437	0.958	64.0	10.0	0.0406666666666666	0.0317885125366015	0.0518914911516718	0.036	0.046	0.0406666666666666	0.04244954766875428
80	0.3	1.0	0.0	1	0.7	0.0	0.05	1500	1500	1.0	80.0	24.0	0.0433333333333333	0.0341434035677698	0.0548563098233292	0.032	0.058	0.0433333333333333	0.04333333333333329
80	0.3	1.0	0.0	2	0.7	0.0	0.05	1500	1500	1.0	80.0	24.0	0.0353333333333333	0.0271141048965456	0.0459264793860763	0.032	0.04	0.0353333333333333	0.0353333333333333
80	0.3	1.0	0.2	1	0.7	0.0	0.05	1500	1500	1.0	64.0	19.0	0.046	0.0365087224569012	0.0578107006370235	0.044	0.05	0.046	0.046
80	0.3	1.0	0.2	2	0.7	0.0	0.05	1500	1500	1.0	64.0	19.0	0.0386666666666666	0.030029770987519	0.049660450423635	0.036	0.042	0.0386666666666666	0.0386666666666666
120	0.15	1.0	0.0	1	0.7	0.0	0.05	1500	1500	1.0	120.0	18.0	0.0533333333333333	0.0430606275315808	0.0658879972451146	0.052	0.056	0.0533333333333333	0.0533333333333333
120	0.15	1.0	0.0	2	0.7	0.0	0.05	1500	1500	1.0	120.0	18.0	0.05	0.040074440990789	0.0622245466573742	0.046	0.056	0.05	0.05
120	0.15	1.0	0.2	1	0.7	0.0	0.05	1500	1499	0.9993333333333332	96.0	14.0	0.0533333333333333	0.0430606275315808	0.0658879972451146	0.046	0.058	0.0533333333333333	0.05336891260840557
120	0.15	1.0	0.2	2	0.7	0.0	0.05	1500	1499	0.9993333333333332	96.0	14.0	0.0473333333333333	0.0376950244185929	0.0592842535267447	0.042	0.054	0.0473333333333333	0.04736490993995993
120	0.3	1.0	0.0	1	0.7	0.0	0.05	1500	1500	1.0	120.0	36.0	0.042	0.0329645968914412	0.053375261648245	0.036	0.052	0.042	0.042
120	0.3	1.0	0.0	2	0.7	0.0	0.05	1500	1500	1.0	120.0	36.0	0.0446666666666666	0.0353248150778835	0.0563347531646283	0.03	0.062	0.0446666666666666	0.0446666666666666
120	0.3	1.0	0.2	1	0.7	0.0	0.05	1500	1500	1.0	96.0	29.0	0.0433333333333333	0.0341434035677698	0.0548563098233292	0.034	0.052	0.0433333333333333	0.04333333333333329
120	0.3	1.0	0.2	2	0.7	0.0	0.05	1500	1500	1.0	96.0	29.0	0.0346666666666666	0.0265334907872422	0.0451771660696733	0.026	0.046	0.0346666666666666	0.0346666666666666
160	0.15	1.0	0.0	1	0.7	0.0	0.05	1500	1500	1.0	160.0	24.0	0.0486666666666666	0.0388836266159145	0.0607555061808359	0.048	0.05	0.0486666666666666	0.0486666666666666
160	0.15	1.0	0.0	2	0.7	0.0	0.05	1500	1500	1.0	160.0	24.0	0.038	0.0294450293082071	0.0489152646772405	0.032	0.048	0.038	0.038
160	0.15	1.0	0.2	1	0.7	0.0	0.05	1500	1500	1.0	128.0	19.0	0.048	0.0382890436317582	0.0600201617392858	0.038	0.06	0.048	0.048
160	0.15	1.0	0.2	2	0.7	0.0	0.05	1500	1500	1.0	128.0	19.0	0.0526666666666666	0.0424623821086239	0.065156315242365	0.038	0.068	0.0526666666666666	0.0526666666666666
160	0.3	1.0	0.0	1	0.7	0.0	0.05	1500	1500	1.0	160.0	48.0	0.0426666666666666	0.0335536674928401	0.0541161184725525	0.036	0.048	0.0426666666666666	0.0426666666666666
160	0.3	1.0	0.0	2	0.7	0.0	0.05	1500	1500	1.0	160.0	48.0	0.0486666666666666	0.0388836266159145	0.0607555061808359	0.038	0.06	0.0486666666666666	0.0486666666666666
160	0.3	1.0	0.2	1	0.7	0.0	0.05	1500	1500	1.0	128.0	38.0	0.0373333333333333	0.0288610715093911	0.0481692950503501	0.034	0.04	0.0373333333333333	0.0373333333333333
160	0.3	1.0	0.2	2	0.7	0.0	0.05	1500	1500	1.0	128.0	38.0	0.0493333333333333	0.0394787625552873	0.0614902976671695	0.044	0.056	0.0493333333333333	0.0493333333333333
240	0.15	1.0	0.0	1	0.7	0.0	0.05	1500	1500	1.0	240.0	35.0	0.044	0.0347337907182165	0.0555958500985889	0.036	0.048	0.044	0.044
240	0.15	1.0	0.0	2	0.7	0.0	0.05	1500	1500	1.0	240.0	36.0	0.0533333333333333	0.0430606275315808	0.0658879972451146	0.046	0.06	0.0533333333333333	0.0533333333333333
240	0.15	1.0	0.2	1	0.7	0.0	0.05	1500	1500	1.0	192.0	28.5	0.0466666666666666	0.0371015801662185	0.0585477703534126	0.042	0.054	0.0466666666666666	0.0466666666666666
240	0.15	1.0	0.2	2	0.7	0.0	0.05	1500	1500	1.0	192.0	29.0	0.04	0.0312015305103439	0.051148545752223	0.028	0.046	0.04	0.04
240	0.3	1.0	0.0	1	0.7	0.0	0.05	1500	1500	1.0	240.0	72.0	0.05	0.040074440990789	0.0622245466573742	0.046	0.054	0.05	0.05
240	0.3	1.0	0.0	2	0.7	0.0	0.05	1500	1500	1.0	240.0	72.0	0.06	0.0490685293610026	0.073179369672757	0.056	0.064	0.06	0.06
240	0.3	1.0	0.2	1	0.7	0.0	0.05	1500	1500	1.0	193.0	58.0	0.0553333333333333	0.0448582488547266	0.068080158199088	0.038	0.066	0.0553333333333333	0.0553333333333333
240	0.3	1.0	0.2	2	0.7	0.0	0.05	1500	1500	1.0	192.0	57.0	0.0473333333333333	0.0376950244185929	0.0592842535267447	0.038	0.058	0.0473333333333333	0.0473333333333333
