pert_id	compound	target_gene	moa	opposite_queries	best_opposite_rank	min_opposite_qval	max_opposite_abs_score	recurrence_strength	l1000_selectivity_call	review_not_toxic_or_generic	target_state_recurrence	c15_trend_positive_disease_count	c15_strict_positive_context_count	positive_c15_contexts	ms_anchor	ms_delta_log2	ms_p	ms_max_l2g_score	ms_max_qtl_h4	genetics_annotation	chembl_target_id	druggable_activity_count	target_quality_proxy	prior_blocked_annotation	delivery_annotation	repurposing_pivot_score	promote	blockers	strict_reason	prior_annotation	gene	target_chembl_id	pref_name	target_type	target_quality_call	activity_records_downloaded_for_target	unique_molecules_downloaded	n_nm_values	best_nm	median_nm	activity_type_counts	external_target_quality_supported	target_quality_proxy_corrected	corrected_blockers	corrected_promote
BRD-K30867024	SB-216641	HTR1B	Serotonin receptor antagonist	ifn_lysosomal_apc_state	29.0	5.87567820342275e-05	11.690597573938415	3.777836711027624		True	False	0.0	0.0		False	0.8307689938624501	0.4620503384916795	0.0	0.0	False		0.0	False	False	True	9.036168328635352	False	no_target_cellstate_recurrence;no_ms_target_anchor;weak_target_quality_proxy	non-obvious target requires prior-art and safety review	     												False	False	no_target_cellstate_recurrence;no_ms_target_anchor;;weak_target_quality_proxy	False
BRD-K34092021	arvanil	CNR1	TRPV agonist	ifn_lysosomal_apc_state	4.0	4.70712929556801e-06	15.376579635335606	4.146859741791891	generic_ifn_reversal_at_least_as_strong	True	False	0.0	0.0		False	-0.8114835176787984	0.4817991726250947	0.0	0.0	False		0.0	False	False	True	8.918517807815434	False	generic_ifn_reversal_not_selective;no_target_cellstate_recurrence;no_ms_target_anchor;weak_target_quality_proxy	non-obvious target requires prior-art and safety review	     												False	False	generic_ifn_reversal_not_selective;no_target_cellstate_recurrence;no_ms_target_anchor;;weak_target_quality_proxy	False
BRD-K42500029	CGP-57380	MKNK1	MAP kinase inhibitor	ifn_lysosomal_apc_state	13.0	5.87567820342275e-05	10.98277098445736	3.910711927676272	target_opposite_hit_absent_from_generic_top50	True	False	0.0	0.0		False	-0.5002753928544781	0.0431690837454023	0.0	0.0	False		0.0	False	False	True	8.821647826479143	False	no_target_cellstate_recurrence;no_ms_target_anchor;weak_target_quality_proxy	non-obvious target requires prior-art and safety review	     												False	False	no_target_cellstate_recurrence;no_ms_target_anchor;;weak_target_quality_proxy	False
BRD-K08316444	rotenone	ND1	Mitochondrial complex I inhibitor	mif_cd74_receptor_state	44.0	0.0002426697405796	10.113180817307558	3.564887772222033		True	False	0.0	0.0		False	0.0	1.0	0.0	0.0	False		0.0	False	False	True	8.430835229113153	False	no_target_cellstate_recurrence;no_ms_target_anchor;weak_target_quality_proxy	non-obvious target requires prior-art and safety review													False	False	no_target_cellstate_recurrence;no_ms_target_anchor;;weak_target_quality_proxy	False
BRD-K73290745	ICI-199441	OPRK1	Opioid receptor agonist	mif_cd74_receptor_state	46.0	0.0002426697405796	10.12646901358551	3.545458038130324		True	False	0.0	0.0		False	0.0	1.0	0.0	0.0	False		0.0	False	False	True	8.430628664287509	False	no_target_cellstate_recurrence;no_ms_target_anchor;weak_target_quality_proxy	non-obvious target requires prior-art and safety review	     												False	False	no_target_cellstate_recurrence;no_ms_target_anchor;;weak_target_quality_proxy	False
BRD-K37865504	LY-2183240	FAAH	FAAH inhibitor	mif_cd74_receptor_state	45.0	0.0002426697405796	9.832139601459511	3.542648036244662	target_opposite_hit_absent_from_generic_top50	True	False	0.0	0.0		False	-1.3360783341429352	0.1728786876743701	0.0	0.0	False		0.0	False	False	True	8.326910869571995	False	no_target_cellstate_recurrence;no_ms_target_anchor;weak_target_quality_proxy	non-obvious target requires prior-art and safety review	     												False	False	no_target_cellstate_recurrence;no_ms_target_anchor;;weak_target_quality_proxy	False
BRD-K11742128	triprolidine	HRH1	Histamine receptor antagonist	gse111972_ms_wm_full_top150	4.0	0.805603902146875	5.276130949829359	3.6823155658892146		True	True	1.0	1.0	t1d_endothelial_cell	False	-0.1826052602028616	0.7992101087104158	0.0	0.0	False		0.0	False	False	True	8.26722472391258	False	weak_l1000_reversal;no_ms_target_anchor;weak_target_quality_proxy	non-obvious target requires prior-art and safety review	     												False	False	weak_l1000_reversal;no_ms_target_anchor;;weak_target_quality_proxy	False
BRD-K60230970	MG-132	PSMB1	Proteasome inhibitor	gse111972_ms_wm_full_top150	16.0	0.843182058232008	5.206287510626712	3.5565281477975867		True	True	1.0	1.0	ibd_uc_myeloid	False	0.144328508408515	0.3356367031413141	0.0	0.0	False		0.0	False	False	True	8.211332665668746	False	weak_l1000_reversal;no_ms_target_anchor;weak_target_quality_proxy	non-obvious target requires prior-art and safety review	     												False	False	weak_l1000_reversal;no_ms_target_anchor;;weak_target_quality_proxy	False
BRD-A20968261	WAY-213613	SLC1A2	Glutamate inhibitor	ifn_lysosomal_apc_state	16.0	6.03624873173514e-05	10.610461329784936	3.865734266900805		True	True	2.0	2.0	ibd_crohn_myeloid;ibd_uc_myeloid	False	-1.1913084785643138	0.2684378548676412	0.0	0.0	False		0.0	False	True	True	8.180095032149929	False	no_ms_target_anchor;weak_target_quality_proxy;prior_or_safety_blocked	non-obvious target requires prior-art and safety review	no_go_wave62_target_resolution |   no_go_wave62_target_resolution   insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker	SLC1A2	CHEMBL4973	Excitatory amino acid transporter 2	SINGLE PROTEIN	CHEMBL_TARGET_EXISTS_ACTIVITY_LIMITED_OR_NOT_DOWNLOADED	0.0	0.0	0.0				False	False	no_ms_target_anchor;prior_or_safety_blocked;weak_target_quality_proxy	False
BRD-K99621550	tubocurarine	CHRNA2	Acetylcholine receptor antagonist	gse111972_ms_wm_full_top150	34.0	1.0	4.533147125528841	3.3163998145293316		True	False	0.0	0.0		True	1.5877250962911518	0.1671031923865224	0.0	0.0	False		0.0	False	False	True	7.915701447567427	False	weak_l1000_reversal;no_target_cellstate_recurrence;weak_target_quality_proxy	non-obvious target requires prior-art and safety review	     												False	False	weak_l1000_reversal;no_target_cellstate_recurrence;;weak_target_quality_proxy	False
BRD-A41451487	PK-11195	TSPO	Benzodiazepine receptor antagonist	gse111972_ms_wm_full_top150	20.0	1.0	3.809436687677312	3.38086076005344		True	True	1.0	1.0	ibd_crohn_myeloid	False	-0.2391314299510138	0.2593651508945864	0.0	0.0	False		0.0	False	False	True	7.678518030700419	False	weak_l1000_reversal;no_ms_target_anchor;weak_target_quality_proxy	non-obvious target requires prior-art and safety review	     												False	False	weak_l1000_reversal;no_ms_target_anchor;;weak_target_quality_proxy	False
BRD-A79803969	memantine	GRIN1	Glutamate receptor antagonist	gse111972_ms_wm_full_top150	3.0	0.566910809286373	7.187086554972128	3.826552875150392		True	False	0.0	0.0		False	0.0	1.0	0.0	0.0	False		0.0	False	False	True	7.472118513027843	False	weak_l1000_reversal;no_target_cellstate_recurrence;no_ms_target_anchor;weak_target_quality_proxy	non-obvious target requires prior-art and safety review	     												False	False	weak_l1000_reversal;no_target_cellstate_recurrence;no_ms_target_anchor;;weak_target_quality_proxy	False
BRD-K54256913	MK-1775	WEE1	WEE1 kinase inhibitor	gse111972_ms_wm_full_top150	50.0	1.0	3.20450167134544	3.0057605024315266		True	False	0.0	0.0		True	0.5857938736124151	0.0891851996059938	0.0	0.0	False		0.0	False	False	True	7.373015710578786	False	weak_l1000_reversal;no_target_cellstate_recurrence;weak_target_quality_proxy	non-obvious target requires prior-art and safety review	     												False	False	weak_l1000_reversal;no_target_cellstate_recurrence;;weak_target_quality_proxy	False
BRD-K49865102	PD-0325901	MAP2K1	MEK inhibitor	gse111972_ms_wm_full_top150	45.0	1.0	3.014990717673959	3.02928597940513		True	True	1.0	2.0	t1d_stellate_cell;t1d_endothelial_cell	False	0.0943736157519641	0.6015578023313096	0.0	0.0	False		0.0	False	False	True	7.312568246037168	False	weak_l1000_reversal;no_ms_target_anchor;weak_target_quality_proxy	non-obvious target requires prior-art and safety review	     												False	False	weak_l1000_reversal;no_ms_target_anchor;;weak_target_quality_proxy	False
BRD-K08502430	angiogenesis-inhibitor	EGFR	Angiogenesis inhibitor	ifn_lysosomal_apc_state	21.0	6.03624873173514e-05	11.586956961065882	3.8539693938115462		True	False	0.0	0.0		False	-1.8466475199598256	0.158792811980234	0.0652055740356445	0.0	False		0.0	False	True	True	7.018927284825946	False	no_target_cellstate_recurrence;no_ms_target_anchor;weak_target_quality_proxy;prior_or_safety_blocked	non-obvious target requires prior-art and safety review	no_go_wave62_target_resolution |   no_go_wave62_target_resolution   insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker												False	False	no_target_cellstate_recurrence;no_ms_target_anchor;prior_or_safety_blocked;weak_target_quality_proxy	False
BRD-K87947369	tozasertib	FLT3	JAK inhibitor	ifn_lysosomal_apc_state	35.0	6.09760480042738e-05	11.201360157681972	3.699270761340723		True	False	0.0	0.0		False	-0.6902849264744133	0.4934309667954975	0.0	0.0	False		0.0	False	True	True	6.845293745523872	False	no_target_cellstate_recurrence;no_ms_target_anchor;weak_target_quality_proxy;prior_or_safety_blocked	non-obvious target requires prior-art and safety review	no_go_wave62_target_resolution |   no_go_wave62_target_resolution   insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker												False	False	no_target_cellstate_recurrence;no_ms_target_anchor;prior_or_safety_blocked;weak_target_quality_proxy	False
BRD-A77216878	manumycin-a	FNTA	NFKB pathway inhibitor	gse111972_ms_wm_full_top150	25.0	0.909831846556634	4.887911434391583	3.4391233281871396		True	False	0.0	0.0		False	0.1204495995751155	0.5919433405207714	0.0	0.0	False		0.0	False	False	True	6.570549834083839	False	weak_l1000_reversal;no_target_cellstate_recurrence;no_ms_target_anchor;weak_target_quality_proxy	non-obvious target requires prior-art and safety review	     												False	False	weak_l1000_reversal;no_target_cellstate_recurrence;no_ms_target_anchor;;weak_target_quality_proxy	False
BRD-K44779798	miglitol	GAA	Glucosidase inhibitor	gse111972_ms_wm_full_top150	10.0	0.885415802724685	4.595228987965119	3.5623071578835654		True	False	0.0	0.0		False	0.0731313519578922	0.6196391916792721	0.0	0.0	False		0.0	False	False	True	6.498906935258683	False	weak_l1000_reversal;no_target_cellstate_recurrence;no_ms_target_anchor;weak_target_quality_proxy	non-obvious target requires prior-art and safety review	     												False	False	weak_l1000_reversal;no_target_cellstate_recurrence;no_ms_target_anchor;;weak_target_quality_proxy	False
BRD-K71430621	clobenpropit	HRH3	Histamine receptor antagonist	ifn_lysosomal_apc_state	42.0	0.0005871982494016	8.601527641099688	3.5145755892879915	generic_ifn_reversal_at_least_as_strong	True	False	0.0	0.0		False	0.0	1.0	0.0	0.0	False		0.0	False	False	True	6.389178571706888	False	generic_ifn_reversal_not_selective;no_target_cellstate_recurrence;no_ms_target_anchor;weak_target_quality_proxy	non-obvious target requires prior-art and safety review	     												False	False	generic_ifn_reversal_not_selective;no_target_cellstate_recurrence;no_ms_target_anchor;;weak_target_quality_proxy	False
BRD-K32398298	alprazolam	GABRA1	Benzodiazepine receptor agonist	gse111972_ms_wm_full_top150	21.0	1.0	4.049253381662196	3.3973749535564335		True	False	0.0	0.0		False	0.0	1.0	0.0	0.0	False		0.0	False	False	True	6.2665824219708774	False	weak_l1000_reversal;no_target_cellstate_recurrence;no_ms_target_anchor;weak_target_quality_proxy	non-obvious target requires prior-art and safety review													False	False	weak_l1000_reversal;no_target_cellstate_recurrence;no_ms_target_anchor;;weak_target_quality_proxy	False
BRD-A18917088	estradiol	ESR1	Estrogen receptor agonist	gse111972_ms_wm_full_top150	28.0	1.0	3.606388785355509	3.277072543859748		True	False	0.0	0.0		False	-0.2853984789626418	0.4241532841667188	0.0	0.0	False		0.0	False	False	True	6.081504210839365	False	weak_l1000_reversal;no_target_cellstate_recurrence;no_ms_target_anchor;weak_target_quality_proxy	non-obvious target requires prior-art and safety review	     												False	False	weak_l1000_reversal;no_target_cellstate_recurrence;no_ms_target_anchor;;weak_target_quality_proxy	False
BRD-A09828896	SKF-81297	DRD1	Dopamine receptor agonist	gse111972_ms_wm_full_top150	40.0	1.0	3.290981219039527	3.1173254038711673		True	False	0.0	0.0		False	-0.1987868131401455	0.8644622684972323	0.0	0.0	False		0.0	False	False	True	5.931174777631626	False	weak_l1000_reversal;no_target_cellstate_recurrence;no_ms_target_anchor;weak_target_quality_proxy	non-obvious target requires prior-art and safety review	     												False	False	weak_l1000_reversal;no_target_cellstate_recurrence;no_ms_target_anchor;;weak_target_quality_proxy	False
BRD-K85402309	dovitinib	EGFR	EGFR inhibitor	gse111972_ms_wm_full_top150	43.0	1.0	2.9961115236899127	3.046557974989275		True	False	0.0	0.0		False	-1.8466475199598256	0.158792811980234	0.0652055740356445	0.0	False		0.0	False	True	True	3.810278527038788	False	weak_l1000_reversal;no_target_cellstate_recurrence;no_ms_target_anchor;weak_target_quality_proxy;prior_or_safety_blocked	non-obvious target requires prior-art and safety review	no_go_wave62_target_resolution |   no_go_wave62_target_resolution   insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker												False	False	weak_l1000_reversal;no_target_cellstate_recurrence;no_ms_target_anchor;prior_or_safety_blocked;weak_target_quality_proxy	False
