gene	europepmc_query	europepmc_hit_count	clinicaltrials_query	clinicaltrials_total_count	chembl_source	chembl_target_chembl_id	chembl_error	europepmc_error	clinicaltrials_error
PTGER4	"(""PTGER4"" OR ""EP4 receptor"") AND (""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR ""ulcerative colitis"" OR psoriasis OR Sjogren OR ""type 1 diabetes"" OR celiac OR ""autoimmune thyroid"" OR ""primary biliary cholangitis"" OR autoimmune)"	2140	"term=(PTGER4 OR ""EP4 receptor""); condition=(autoimmune OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	1	chembl_api	CHEMBL1836			
ALOX5	"(""ALOX5"" OR ""5-lipoxygenase"") AND (""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR ""ulcerative colitis"" OR psoriasis OR Sjogren OR ""type 1 diabetes"" OR celiac OR ""autoimmune thyroid"" OR ""primary biliary cholangitis"" OR autoimmune)"	5367	"term=(ALOX5 OR 5-lipoxygenase); condition=(autoimmune OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	0	chembl_api	CHEMBL215			
GPR65	"(""GPR65"" OR ""TDAG8"") AND (""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR ""ulcerative colitis"" OR psoriasis OR Sjogren OR ""type 1 diabetes"" OR celiac OR ""autoimmune thyroid"" OR ""primary biliary cholangitis"" OR autoimmune)"	549	"term=(GPR65 OR TDAG8); condition=(autoimmune OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	0	chembl_api	CHEMBL3714081			
PTPN2	"(""PTPN2"" OR ""TCPTP"") AND (""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR ""ulcerative colitis"" OR psoriasis OR Sjogren OR ""type 1 diabetes"" OR celiac OR ""autoimmune thyroid"" OR ""primary biliary cholangitis"" OR autoimmune)"	1748	"term=(PTPN2 OR TCPTP); condition=(autoimmune OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	1	chembl_api	CHEMBL3807			
TNFAIP3	"(""TNFAIP3"" OR ""A20"") AND (""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR ""ulcerative colitis"" OR psoriasis OR Sjogren OR ""type 1 diabetes"" OR celiac OR ""autoimmune thyroid"" OR ""primary biliary cholangitis"" OR autoimmune)"	11306	"term=(TNFAIP3 OR A20); condition=(autoimmune OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	393	chembl_api	CHEMBL4523200			
SH2B3	"(""SH2B3"" OR ""LNK"") AND (""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR ""ulcerative colitis"" OR psoriasis OR Sjogren OR ""type 1 diabetes"" OR celiac OR ""autoimmune thyroid"" OR ""primary biliary cholangitis"" OR autoimmune)"	1858	"term=(SH2B3 OR LNK); condition=(autoimmune OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	162	chembl_api_search_no_target				
IRF5	"(""IRF5"") AND (""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR ""ulcerative colitis"" OR psoriasis OR Sjogren OR ""type 1 diabetes"" OR celiac OR ""autoimmune thyroid"" OR ""primary biliary cholangitis"" OR autoimmune)"	4372	"term=(IRF5); condition=(autoimmune OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	1	chembl_api_search_no_target				
TYK2	"(""TYK2"") AND (""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR ""ulcerative colitis"" OR psoriasis OR Sjogren OR ""type 1 diabetes"" OR celiac OR ""autoimmune thyroid"" OR ""primary biliary cholangitis"" OR autoimmune)"	7067	"term=(TYK2); condition=(autoimmune OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	17	chembl_api	CHEMBL3553			
IL6R	"(""IL6R"" OR ""tocilizumab"") AND (""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR ""ulcerative colitis"" OR psoriasis OR Sjogren OR ""type 1 diabetes"" OR celiac OR ""autoimmune thyroid"" OR ""primary biliary cholangitis"" OR autoimmune)"	50099	"term=(IL6R OR tocilizumab); condition=(autoimmune OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	348	chembl_api	CHEMBL2364155			
CTSS	"(""CTSS"" OR ""cathepsin S"") AND (""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR ""ulcerative colitis"" OR psoriasis OR Sjogren OR ""type 1 diabetes"" OR celiac OR ""autoimmune thyroid"" OR ""primary biliary cholangitis"" OR autoimmune)"	2929	"term=(CTSS OR ""cathepsin S""); condition=(autoimmune OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	2	local_v3_druggability_table	CHEMBL2954			
IFI30	"(""IFI30"" OR ""GILT"") AND (""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR ""ulcerative colitis"" OR psoriasis OR Sjogren OR ""type 1 diabetes"" OR celiac OR ""autoimmune thyroid"" OR ""primary biliary cholangitis"" OR autoimmune)"	1584	"term=(IFI30 OR GILT); condition=(autoimmune OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	1	chembl_api_search_no_target				
GSK3B	"(""GSK3B"" OR ""GSK-3 beta"") AND (""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR ""ulcerative colitis"" OR psoriasis OR Sjogren OR ""type 1 diabetes"" OR celiac OR ""autoimmune thyroid"" OR ""primary biliary cholangitis"" OR autoimmune)"	2201	"term=(GSK3B OR ""GSK-3 beta""); condition=(autoimmune OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	0	chembl_api	CHEMBL6067425			
SQLE	"(""SQLE"" OR ""squalene monooxygenase"") AND (""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR ""ulcerative colitis"" OR psoriasis OR Sjogren OR ""type 1 diabetes"" OR celiac OR ""autoimmune thyroid"" OR ""primary biliary cholangitis"" OR autoimmune)"	655	"term=(SQLE OR ""squalene monooxygenase""); condition=(autoimmune OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	0	chembl_api	CHEMBL3592			
OSMR	"(""OSMR"" OR ""oncostatin M receptor"") AND (""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR ""ulcerative colitis"" OR psoriasis OR Sjogren OR ""type 1 diabetes"" OR celiac OR ""autoimmune thyroid"" OR ""primary biliary cholangitis"" OR autoimmune)"	1121	"term=(OSMR OR ""oncostatin M receptor""); condition=(autoimmune OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	1	chembl_api	CHEMBL4630885			
