specification	specification_type	raw_auc	adjusted_auc	ci_low	ci_high	permutation_p	confounder_only_loocv_auc	locked_plus_confounder_loocv_auc	auc_attenuation	v32_verdict	family	incremental_loocv_auc	direction_positive	practical_discrimination	permutation_supported	incremental_cv_positive
delta_stat1_axis	single_confounder	0.8111111111111111	0.8555555555555555	0.6110119047619048	1.0	0.0059970014992503	0.5222222222222223	0.7333333333333333	-0.0444444444444444	survives	inflammatory_ifn	0.21111111111111103	True	True	True	True
baseline_stat1_axis	single_confounder	0.8111111111111111	0.8666666666666667	0.6590909090909091	1.0	0.0039980009995002	0.1	0.8	-0.0555555555555555	survives	inflammatory_ifn	0.7000000000000001	True	True	True	True
baseline_monocyte_myeloid_composition	single_confounder	0.8111111111111111	0.8888888888888888	0.6785714285714286	1.0	0.0029985007496251	0.4555555555555555	0.7777777777777778	-0.0777777777777777	survives	composition	0.3222222222222223	True	True	True	True
baseline_oxphos	single_confounder	0.8111111111111111	0.8888888888888888	0.6888888888888889	1.0	0.0024987506246876	0.0	0.8	-0.0777777777777777	survives	metabolic	0.8	True	True	True	True
delta_general_inflammatory_tone	single_confounder	0.8111111111111111	0.8888888888888888	0.6856547619047619	1.0	0.0019990004997501	0.0	0.7777777777777778	-0.0777777777777777	survives	inflammatory_ifn	0.7777777777777778	True	True	True	True
delta_glucocorticoid_response	single_confounder	0.8111111111111111	0.9	0.6931599650349651	1.0	0.0019990004997501	0.0	0.8222222222222222	-0.0888888888888889	survives	glucocorticoid	0.8222222222222222	True	True	True	True
delta_glycolysis	single_confounder	0.8111111111111111	0.9	0.7142857142857143	1.0	0.000999500249875	0.1555555555555555	0.7666666666666667	-0.0888888888888889	survives	metabolic	0.6111111111111112	True	True	True	True
baseline_general_inflammatory_tone	single_confounder	0.8111111111111111	0.9111111111111112	0.717948717948718	1.0	0.0024987506246876	0.3444444444444444	0.7888888888888889	-0.0999999999999999	survives	inflammatory_ifn	0.4444444444444445	True	True	True	True
delta_monocyte_myeloid_composition	single_confounder	0.8111111111111111	0.9222222222222224	0.7333333333333333	1.0	0.0019990004997501	0.0	0.7777777777777778	-0.1111111111111111	survives	composition	0.7777777777777778	True	True	True	True
delta_immunometabolism_hif_nampt	single_confounder	0.8111111111111111	0.9333333333333332	0.7857142857142857	1.0	0.0019990004997501	0.0	0.7666666666666667	-0.1222222222222222	survives	metabolic	0.7666666666666667	True	True	True	True
joint:baseline_and_steroid	joint_risk_set	0.8111111111111111	0.9333333333333332	0.7954545454545454	1.0	0.0019990004997501	0.1555555555555555	0.7888888888888889	-0.1222222222222222	survives	joint:baseline_and_steroid	0.6333333333333333	True	True	True	True
baseline_glycolysis	single_confounder	0.8111111111111111	0.9444444444444444	0.8214285714285714	1.0	0.000999500249875	0.0	0.8	-0.1333333333333333	survives	metabolic	0.8	True	True	True	True
delta_proliferation	single_confounder	0.8111111111111111	0.9555555555555556	0.8461538461538461	1.0	0.000999500249875	0.1555555555555555	0.7666666666666667	-0.1444444444444445	survives	proliferation	0.6111111111111112	True	True	True	True
baseline_immunometabolism_hif_nampt	single_confounder	0.8111111111111111	0.9777777777777776	0.9047619047619048	1.0	0.0004997501249375	0.4	0.9222222222222224	-0.1666666666666666	survives	metabolic	0.5222222222222224	True	True	True	True
