candidate_node	query	source	status	mode	hit_count	top_titles	url
CD80	"""CD80"" autoimmune therapeutic target OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid"	EuropePMC	200	cache	15783	Targeting the pMHC-TCR Interaction: Molecular Strategies and Therapeutic Potential in Autoimmunity. || Targeted-Immunomodulatory Nanomedicines for the Treatment of Autoimmune Diseases via Multiple Administration Routes. || Exploring the role of gelsolin and high-density lipoproteins in autoimmune diseases: spotlight on rheumatoid arthritis and systemic lupus erythematosus.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22CD80%22+autoimmune+therapeutic+target+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&format=json&pageSize=3
CD80	CD80 autoimmune OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid	ClinicalTrials.gov	200	cache	5	A Study of Ocrelizumab in Participants With Moderate to Severe Rheumatoid Arthritis (RA) || A Study to Evaluate the Safety and Efficacy of CLS006 Versus Vehicle in Subjects 2 Years of Age or Older With Cutaneous Common Warts || A Long Term Extension Trial of BI 655066/ABBV-066 (Risankizumab), in Patients With Moderately to Severely Active Crohn's Disease	https://clinicaltrials.gov/api/v2/studies?query.term=CD80+autoimmune+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&pageSize=5&format=json
SYK	"""SYK"" autoimmune therapeutic target OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid"	EuropePMC	200	cache	4655	Identifying genetic and cellular connections and distinctions among 15 autoimmune diseases using an in-silico approach. || Chronic Eosinophilic Leukemia Presenting as Treatment-Refractory Nodular Scleritis: A Paraneoplastic Autoimmune Syndrome With Multisystem Inflammatory Manifestations. || B cell receptor signaling in autoimmune rheumatic diseases: regulatory mechanisms and therapeutic targeting.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22SYK%22+autoimmune+therapeutic+target+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&format=json&pageSize=3
SYK	SYK autoimmune OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid	ClinicalTrials.gov	200	cache	5	A Study of Ocrelizumab in Participants With Moderate to Severe Rheumatoid Arthritis (RA) || A Study to Evaluate the Safety and Efficacy of CLS006 Versus Vehicle in Subjects 2 Years of Age or Older With Cutaneous Common Warts || A Long Term Extension Trial of BI 655066/ABBV-066 (Risankizumab), in Patients With Moderately to Severely Active Crohn's Disease	https://clinicaltrials.gov/api/v2/studies?query.term=SYK+autoimmune+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&pageSize=5&format=json
CD274	"""CD274"" autoimmune therapeutic target OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid"	EuropePMC	200	cache	3625	Integrative mendelian randomization approaches for therapeutic target prioritisation in immune-mediated diseases. || Integrative molecular network analysis of genetic risk factors to infer biomarkers and therapeutic targets for rheumatoid arthritis. || Single-cell RNA sequencing identifies PD-L1 + mesenchymal stem cells with enhanced immunomodulatory capacity and alleviated the degree of ectopic new bone formation in ankylosing s	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22CD274%22+autoimmune+therapeutic+target+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&format=json&pageSize=3
CD274	CD274 autoimmune OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid	ClinicalTrials.gov	200	cache	5	A Study of Ocrelizumab in Participants With Moderate to Severe Rheumatoid Arthritis (RA) || A Study to Evaluate the Safety and Efficacy of CLS006 Versus Vehicle in Subjects 2 Years of Age or Older With Cutaneous Common Warts || A Long Term Extension Trial of BI 655066/ABBV-066 (Risankizumab), in Patients With Moderately to Severely Active Crohn's Disease	https://clinicaltrials.gov/api/v2/studies?query.term=CD274+autoimmune+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&pageSize=5&format=json
MAPK14	"""MAPK14"" autoimmune therapeutic target OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid"	EuropePMC	200	cache	811	UPLC-Q-TOF-MS/MS and Network Pharmacology Approaches to Explore the Active Compounds and Mechanisms of Kadsura coccinea for Treating Rheumatoid Arthritis || Dihydroartemisinin attenuates pemphigus vulgaris by regulating Dsg3 and the TLR9/NF-κB pathway. || Aberrant lncRNA and mRNA expression in patients with anti-&lt;i&gt;N&lt;/i&gt;-methyl-d-aspartate receptor encephalitis.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22MAPK14%22+autoimmune+therapeutic+target+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&format=json&pageSize=3
MAPK14	MAPK14 autoimmune OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid	ClinicalTrials.gov	200	cache	5	A Study of Ocrelizumab in Participants With Moderate to Severe Rheumatoid Arthritis (RA) || A Study to Evaluate the Safety and Efficacy of CLS006 Versus Vehicle in Subjects 2 Years of Age or Older With Cutaneous Common Warts || A Long Term Extension Trial of BI 655066/ABBV-066 (Risankizumab), in Patients With Moderately to Severely Active Crohn's Disease	https://clinicaltrials.gov/api/v2/studies?query.term=MAPK14+autoimmune+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&pageSize=5&format=json
INSR	"""INSR"" autoimmune therapeutic target OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid"	EuropePMC	200	cache	2744	P300 in Inflammation: An Updated Perspective on Its Molecular Mechanisms and Therapeutic Potential. || Rheumatoid Factor Beyond Rheumatoid Arthritis: A Potential Marker of Cardiometabolic and Hepatic Risk. || Interleukin-17 family in health and immune diseases: From origin to clinical implications.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22INSR%22+autoimmune+therapeutic+target+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&format=json&pageSize=3
INSR	INSR autoimmune OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid	ClinicalTrials.gov	200	cache	5	A Study of Ocrelizumab in Participants With Moderate to Severe Rheumatoid Arthritis (RA) || A Study to Evaluate the Safety and Efficacy of CLS006 Versus Vehicle in Subjects 2 Years of Age or Older With Cutaneous Common Warts || A Long Term Extension Trial of BI 655066/ABBV-066 (Risankizumab), in Patients With Moderately to Severely Active Crohn's Disease	https://clinicaltrials.gov/api/v2/studies?query.term=INSR+autoimmune+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&pageSize=5&format=json
PRKDC	"""PRKDC"" autoimmune therapeutic target OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid"	EuropePMC	200	cache	676	Dimethyl fumarate as a versatile therapeutic agent: molecular mechanisms and potential clinical applications. || Anti-Ku Antibodies: Clinical Associations, Organ Damage, and Prognostic Implications in Connective Tissue Diseases. || How (Ultra-)Rare Gene Variants Improve Our Understanding of More Common Autoimmune and Inflammatory Diseases.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22PRKDC%22+autoimmune+therapeutic+target+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&format=json&pageSize=3
PRKDC	PRKDC autoimmune OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid	ClinicalTrials.gov	200	cache	5	A Study of Ocrelizumab in Participants With Moderate to Severe Rheumatoid Arthritis (RA) || A Study to Evaluate the Safety and Efficacy of CLS006 Versus Vehicle in Subjects 2 Years of Age or Older With Cutaneous Common Warts || A Long Term Extension Trial of BI 655066/ABBV-066 (Risankizumab), in Patients With Moderately to Severely Active Crohn's Disease	https://clinicaltrials.gov/api/v2/studies?query.term=PRKDC+autoimmune+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&pageSize=5&format=json
GSK3A	"""GSK3A"" autoimmune therapeutic target OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid"	EuropePMC	200	cache	202	Elevated IGF1R and abnormal methylated IGF1R in immune thrombocytopenia. || Recent insights into the roles and therapeutic potentials of GLS1 in inflammatory diseases. || Distinct Interferon and Intracellular Signaling Signatures in Systemic Lupus Erythematosus and Dermatomyositis by Integrative Transcriptomic and Proteomic Analysis	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22GSK3A%22+autoimmune+therapeutic+target+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&format=json&pageSize=3
GSK3A	GSK3A autoimmune OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid	ClinicalTrials.gov	200	cache	5	A Study of Ocrelizumab in Participants With Moderate to Severe Rheumatoid Arthritis (RA) || A Study to Evaluate the Safety and Efficacy of CLS006 Versus Vehicle in Subjects 2 Years of Age or Older With Cutaneous Common Warts || A Long Term Extension Trial of BI 655066/ABBV-066 (Risankizumab), in Patients With Moderately to Severely Active Crohn's Disease	https://clinicaltrials.gov/api/v2/studies?query.term=GSK3A+autoimmune+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&pageSize=5&format=json
BLK	"""BLK"" autoimmune therapeutic target OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid"	EuropePMC	200	cache	0		https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22BLK%22+autoimmune+therapeutic+target+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&format=json&pageSize=3
BLK	BLK autoimmune OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid	ClinicalTrials.gov	200	cache	5	A Study of Ocrelizumab in Participants With Moderate to Severe Rheumatoid Arthritis (RA) || A Study to Evaluate the Safety and Efficacy of CLS006 Versus Vehicle in Subjects 2 Years of Age or Older With Cutaneous Common Warts || A Long Term Extension Trial of BI 655066/ABBV-066 (Risankizumab), in Patients With Moderately to Severely Active Crohn's Disease	https://clinicaltrials.gov/api/v2/studies?query.term=BLK+autoimmune+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&pageSize=5&format=json
LYN	"""LYN"" autoimmune therapeutic target OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid"	EuropePMC	200	cache	0		https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22LYN%22+autoimmune+therapeutic+target+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&format=json&pageSize=3
LYN	LYN autoimmune OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid	ClinicalTrials.gov	200	cache	5	A Study of Ocrelizumab in Participants With Moderate to Severe Rheumatoid Arthritis (RA) || A Study to Evaluate the Safety and Efficacy of CLS006 Versus Vehicle in Subjects 2 Years of Age or Older With Cutaneous Common Warts || A Long Term Extension Trial of BI 655066/ABBV-066 (Risankizumab), in Patients With Moderately to Severely Active Crohn's Disease	https://clinicaltrials.gov/api/v2/studies?query.term=LYN+autoimmune+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&pageSize=5&format=json
NFKB1	"""NFKB1"" autoimmune therapeutic target OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid"	EuropePMC	200	cache	0		https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22NFKB1%22+autoimmune+therapeutic+target+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&format=json&pageSize=3
NFKB1	NFKB1 autoimmune OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid	ClinicalTrials.gov	200	cache	5	A Study of Ocrelizumab in Participants With Moderate to Severe Rheumatoid Arthritis (RA) || A Study to Evaluate the Safety and Efficacy of CLS006 Versus Vehicle in Subjects 2 Years of Age or Older With Cutaneous Common Warts || A Long Term Extension Trial of BI 655066/ABBV-066 (Risankizumab), in Patients With Moderately to Severely Active Crohn's Disease	https://clinicaltrials.gov/api/v2/studies?query.term=NFKB1+autoimmune+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&pageSize=5&format=json
STAT4	"""STAT4"" autoimmune therapeutic target OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid"	EuropePMC	200	cache	4014	"Multilevel Exploration of Shared Genetic Architecture Between Primary Biliary Cholangitis and Four Autoimmune Diseases. || Divergent roles of IL-35 and IL-39 in rheumatoid arthritis: restoring cytokine balance within the IL-12 family. || From immunosuppression to immune reprogramming: is triptolide a potential ""immune reset"" agent in autoimmune diseases?"	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22STAT4%22+autoimmune+therapeutic+target+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&format=json&pageSize=3
STAT4	STAT4 autoimmune OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid	ClinicalTrials.gov	200	cache	5	A Study of Ocrelizumab in Participants With Moderate to Severe Rheumatoid Arthritis (RA) || A Study to Evaluate the Safety and Efficacy of CLS006 Versus Vehicle in Subjects 2 Years of Age or Older With Cutaneous Common Warts || A Long Term Extension Trial of BI 655066/ABBV-066 (Risankizumab), in Patients With Moderately to Severely Active Crohn's Disease	https://clinicaltrials.gov/api/v2/studies?query.term=STAT4+autoimmune+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&pageSize=5&format=json
IL7R	"""IL7R"" autoimmune therapeutic target OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid"	EuropePMC	200	cache	2197	Integrative mendelian randomization approaches for therapeutic target prioritisation in immune-mediated diseases. || Insights into the pathogenesis of rheumatic and immune diseases from single-cell omics. || Analysis of common differential gene expression between rheumatoid arthritis and ulcerative colitis.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22IL7R%22+autoimmune+therapeutic+target+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&format=json&pageSize=3
IL7R	IL7R autoimmune OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid	ClinicalTrials.gov	200	cache	5	A Study of Ocrelizumab in Participants With Moderate to Severe Rheumatoid Arthritis (RA) || A Study to Evaluate the Safety and Efficacy of CLS006 Versus Vehicle in Subjects 2 Years of Age or Older With Cutaneous Common Warts || A Long Term Extension Trial of BI 655066/ABBV-066 (Risankizumab), in Patients With Moderately to Severely Active Crohn's Disease	https://clinicaltrials.gov/api/v2/studies?query.term=IL7R+autoimmune+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&pageSize=5&format=json
LPP	"""LPP"" autoimmune therapeutic target OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid"	EuropePMC	200	cache	574	Psoriasis and Alopecia: Unveiling the Links. || JAK-Inhibitors Beyond the Label: Emerging Applications in Dermatology. || Mechanisms Underlying Lichen Planus in Association with Biologic Therapy.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22LPP%22+autoimmune+therapeutic+target+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&format=json&pageSize=3
LPP	LPP autoimmune OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid	ClinicalTrials.gov	200	cache	5	A Study of Ocrelizumab in Participants With Moderate to Severe Rheumatoid Arthritis (RA) || A Study to Evaluate the Safety and Efficacy of CLS006 Versus Vehicle in Subjects 2 Years of Age or Older With Cutaneous Common Warts || A Long Term Extension Trial of BI 655066/ABBV-066 (Risankizumab), in Patients With Moderately to Severely Active Crohn's Disease	https://clinicaltrials.gov/api/v2/studies?query.term=LPP+autoimmune+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&pageSize=5&format=json
RGS14	"""RGS14"" autoimmune therapeutic target OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid"	EuropePMC	200	cache	70	Immune cell-based transcriptomic Mendelian randomization and colocalization study on type 1 diabetes. || Mendelian randomization studies in atopic dermatitis: causal insights across omics layers || Identification of Novel Kv1.3 Channel-Interacting Proteins Using Proximity Labelling in T-Cells.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22RGS14%22+autoimmune+therapeutic+target+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&format=json&pageSize=3
RGS14	RGS14 autoimmune OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid	ClinicalTrials.gov	200	cache	5	A Study of Ocrelizumab in Participants With Moderate to Severe Rheumatoid Arthritis (RA) || A Study to Evaluate the Safety and Efficacy of CLS006 Versus Vehicle in Subjects 2 Years of Age or Older With Cutaneous Common Warts || A Long Term Extension Trial of BI 655066/ABBV-066 (Risankizumab), in Patients With Moderately to Severely Active Crohn's Disease	https://clinicaltrials.gov/api/v2/studies?query.term=RGS14+autoimmune+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&pageSize=5&format=json
ARHGAP31	"""ARHGAP31"" autoimmune therapeutic target OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid"	EuropePMC	200	cache	30	Genetic syndromes in paediatric alopecia areata: a systematic review. || Genetic susceptibility and causal pathway analysis of eye disorders coexisting in multiple sclerosis. || Pathogenesis of systemic sclerosis: an integrative review of recent advances.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22ARHGAP31%22+autoimmune+therapeutic+target+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&format=json&pageSize=3
ARHGAP31	ARHGAP31 autoimmune OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid	ClinicalTrials.gov	200	cache	5	A Study of Ocrelizumab in Participants With Moderate to Severe Rheumatoid Arthritis (RA) || A Study to Evaluate the Safety and Efficacy of CLS006 Versus Vehicle in Subjects 2 Years of Age or Older With Cutaneous Common Warts || A Long Term Extension Trial of BI 655066/ABBV-066 (Risankizumab), in Patients With Moderately to Severely Active Crohn's Disease	https://clinicaltrials.gov/api/v2/studies?query.term=ARHGAP31+autoimmune+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&pageSize=5&format=json
FCGR2A	"""FCGR2A"" autoimmune therapeutic target OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid"	EuropePMC	200	cache	731	The Prevalence of Various Autoimmune Comorbidities in Patients with Inflammatory Bowel Disease. || Integrating human plasma proteomes with genome-wide association data implicates novel proteins and drug targets for rheumatoid arthritis. || Investigation of Novel Therapeutic Targets for Rheumatoid Arthritis Through Human Plasma Proteome.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22FCGR2A%22+autoimmune+therapeutic+target+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&format=json&pageSize=3
