candidate_node	connected_anchor_count	connected_anchors	connection_roles	connection_weight_sum	connection_weight_max	source_database_count	top_source_databases	best_enrichr_tf_library	best_enrichr_tf_term	best_enrichr_tf_adjusted_p	best_enrichr_tf_overlap
ARHGAP31	1	ARHGAP31	self_anchor	5.8147993044257245	5.8147993044257245	1	wave68_self_anchor				
CDC42	1	ARHGAP31	outgoing_from_anchor	5.8147993044257245	5.8147993044257245	2	HINT;SIGNOR				
RAC1	1	ARHGAP31	outgoing_from_anchor	5.8147993044257245	5.8147993044257245	4	HINT;SIGNOR;SPIKE;SPIKE_LC				
RHOA	1	ARHGAP31	outgoing_from_anchor	5.8147993044257245	5.8147993044257245	1	SIGNOR				
RPS6KA1	1	ARHGAP31	incoming_to_anchor	5.8147993044257245	5.8147993044257245	4	PhosphoSite;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper				
ACP1	1	FCGR2A	incoming_to_anchor	5.448518847279617	5.448518847279617	1	DEPOD				
BTNL8	1	FCGR2A	outgoing_from_anchor	5.448518847279617	5.448518847279617	2	Cellinker;Wojtowicz2020				
CD72	1	FCGR2A	outgoing_from_anchor	5.448518847279617	5.448518847279617	2	Cellinker;Wojtowicz2020				
CXCL9	1	FCGR2A	incoming_to_anchor	5.448518847279617	5.448518847279617	2	CellTalkDB;HuRI				
EGFR	1	FCGR2A	incoming_to_anchor	5.448518847279617	5.448518847279617	2	KEA;NetworKIN_KEA				
FCER1G	1	FCGR2A	manual_seed_controller	5.448518847279617	5.448518847279617	1	manual_seed_from_immediate_known_biology				
FCGR2A	1	FCGR2A	self_anchor	5.448518847279617	5.448518847279617	1	wave68_self_anchor				
ILDR1	1	FCGR2A	outgoing_from_anchor	5.448518847279617	5.448518847279617	2	Cellinker;Wojtowicz2020				
LCN2	1	FCGR2A	incoming_to_anchor	5.448518847279617	5.448518847279617	2	Cellinker;Wojtowicz2020				
MOG	1	FCGR2A	outgoing_from_anchor	5.448518847279617	5.448518847279617	2	Cellinker;Wojtowicz2020				
MPZ	1	FCGR2A	outgoing_from_anchor	5.448518847279617	5.448518847279617	2	Cellinker;Wojtowicz2020				
PDGFRB	1	FCGR2A	outgoing_from_anchor	5.448518847279617	5.448518847279617	2	Cellinker;Wojtowicz2020				
SEMA3G	1	FCGR2A	incoming_to_anchor	5.448518847279617	5.448518847279617	2	Cellinker;Wojtowicz2020				
TARM1	1	FCGR2A	outgoing_from_anchor	5.448518847279617	5.448518847279617	2	Cellinker;Wojtowicz2020				
TIGIT	1	FCGR2A	outgoing_from_anchor	5.448518847279617	5.448518847279617	2	Cellinker;Wojtowicz2020				
CD59	1	TNFSF15	incoming_to_anchor	5.202509759088988	5.202509759088988	1	Cellinker				
TNFSF15	1	TNFSF15	self_anchor	5.202509759088988	5.202509759088988	1	wave68_self_anchor				
AKT1	1	NCF1	incoming_to_anchor	5.137519710197456	5.137519710197456	11	HPRD;InnateDB;MIMP;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;SIGNOR;SIGNOR_ProtMapper;iPTMnet;phosphoELM_MIMP				
CDK2	1	NCF1	incoming_to_anchor	5.137519710197456	5.137519710197456	2	KEA;NetworKIN_KEA				
CSNK2A1	1	NCF1	incoming_to_anchor	5.137519710197456	5.137519710197456	11	HPRD;KEA;MIMP;PhosphoSite;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;iPTMnet;phosphoELM_MIMP				
CSNK2A2	1	NCF1	incoming_to_anchor	5.137519710197456	5.137519710197456	7	HPRD;KEA;MIMP;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP;phosphoELM_MIMP				
CSNK2B	1	NCF1	incoming_to_anchor	5.137519710197456	5.137519710197456	3	HPRD;KEA;PhosphoSite_KEA				
CYBA	1	NCF1	outgoing_from_anchor	5.137519710197456	5.137519710197456	7	HINT;HPRD;IntAct;Lit-BM-17;SIGNOR;SPIKE_LC;Wang				
CYBB	1	NCF1	manual_seed_controller	5.137519710197456	5.137519710197456	1	manual_seed_from_immediate_known_biology				
IRAK4	1	NCF1	incoming_to_anchor	5.137519710197456	5.137519710197456	11	InnateDB;MIMP;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;SIGNOR;SIGNOR_ProtMapper;Wang;iPTMnet;phosphoELM_MIMP				
MAPK1	1	NCF1	incoming_to_anchor	5.137519710197456	5.137519710197456	10	KEA;MIMP;NetworKIN_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;SIGNOR;SIGNOR_ProtMapper;iPTMnet;phosphoELM_MIMP				
MAPK3	1	NCF1	incoming_to_anchor	5.137519710197456	5.137519710197456	14	KEA;MIMP;PhosphoNetworks;PhosphoSite;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;SIGNOR;SIGNOR_ProtMapper;iPTMnet;phosphoELM				
