analysis	disease_name	compartment	gene	n_feature_columns
ibd_crohn_myeloid	Crohn disease	colon myeloid	CTNNB1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CTSB	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CTSC	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CTSL	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CTSS	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CXCL1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CXCL2	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CXCL3	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CXCL8	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CXCL9	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CYTOR	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	DAP	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	DBI	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	DDAH1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	DDIT4	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	DDX39A	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	DENND2D	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	DNAJB11	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	DUSP6	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	DYNLT1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	EEF1E1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	ENO1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	EPS8L1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	EPSTI1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	ESCO2	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	FABP5	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	FAM136A	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	FBXO6	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	FCGR2B	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	FKBP1A	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	FMNL2	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	FXYD5	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	GABARAPL2	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	GALE	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	GBP1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	GBP4	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	GK	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	GOLT1B	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	GPNMB	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	GPX2	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	GSTO1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	GYS1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	HAPLN3	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	HIF1A	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	HLA-B	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	HLA-DMA	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	HLA-DMB	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	HLA-DRB1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	HSP90B1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	HSPG2	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	IDO1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	IFI16	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	IFI30	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	IFITM2	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	IFITM3	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	IFT43	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	IGHG1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	IL15	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	IL23A	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	IL2RG	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	IL7R	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	IRF1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	ITGA2	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	ITGA5	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	ITGB4	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	JAK1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	JAK2	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	JAK3	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	KCNJ2	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	KRT7	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	KRTCAP3	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	KYNU	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	LAMB3	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	LAMP3	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	LCN2	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	LDLRAD3	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	LIMS1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	LIPA	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	LRG1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	LRRC59	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	LRRC61	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	LTA4H	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	LTF	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	LYPLA1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	LYZ	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	MAGIX	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	MAGOHB	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	MARCO	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	MERTK	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	METAP1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	MIF	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	MMP15	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	MMP7	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	MOB3B	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	MPHOSPH6	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	MRRF	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	MSR1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	MSRB1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	MTF1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	MTHFD2	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	MYD88	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	NAMPT	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	NCK1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	NDUFA11	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	NLRC5	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	NLRP3	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	NME1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	NMI	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	NOP14	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	NPTX2	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	NR1H3	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	NUP205	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	OLFM4	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	OSM	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	OSMR	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	P4HB	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	PDE4B	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	PDE4D	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	PDIA4	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	PDLIM7	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	PDPN	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	PGGHG	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	PI15	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	PI3	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	PIK3R2	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	PIKFYVE	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	PKM	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	PLEK2	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	POMP	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	PPARG	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	PPIA	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	PPIB	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	PPIF	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	PPIL3	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	PPP3CA	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	PRSS22	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	PSMA1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	PSMA3	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	PSMA4	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	PSMA5	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	PSMB8	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	PSME1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	PSME2	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	PTGS2	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	PTPN2	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	PTPRE	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	RAB10	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	RAB11A	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	RAB11FIP4	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	RAB24	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	RAB3D	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	RABGGTB	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	REG1A	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	REG3A	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	ROMO1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	RPL17	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	RPP40	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	RREB1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	S100A11	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	S100A8	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	S100A9	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	S100P	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	SAA1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	SAA2	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	SBNO2	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	SCD	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	SDC4	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	SEC14L2	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	SEC61A1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	SEC61B	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	SEL1L3	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	SERPINA1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	SERPINB1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	SH3GLB1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	SHISA5	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	SIGLEC10	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	SLC10A7	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	SLC25A22	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	SLPI	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	SMCO4	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	SNRPG	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	SNX10	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	SP140	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	SPNS1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	SPP1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	SQLE	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	SSR3	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	STAB1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	STAT1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	SUB1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	TBXAS1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	TFE3	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	TFEB	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	TGM2	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	TIMM17A	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	TIMP1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	TMEM165	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	TMEM167A	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	TMSB10	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	TNFAIP6	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	TNFAIP8	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	TNFAIP8L1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	TNFRSF11B	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	TNIP3	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	TPM4	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	TREM2	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	TTYH3	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	TYK2	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	TYROBP	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	ZWILCH	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	ABHD2	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	ACSL1	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	ACSL3	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	ACSL4	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	AGRN	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	ANGPTL4	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	ANKRD22	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	AP2B1	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	APOC1	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	APOL1	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	APOL2	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	AQR	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	ARHGEF28	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	ARPC5	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	ASL	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	ASPM	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	ATOX1	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	AXL	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	BATF2	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	BCL2L14	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	BICD1	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	BTF3	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	C15ORF48	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	C1QTNF1	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	C4ORF46	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CALR	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CAPZA1	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CARD10	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CARD16	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CASP10	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CASP4	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CASP8	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CBX3	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CCL19	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CCL20	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CD200R1	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CD24	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CD274	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CD300A	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CD300E	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CD300LF	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CD36	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CD44	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CD74	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CD82	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CDC42EP1	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CDC42SE1	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CDV3	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CFB	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CFP	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CHD1L	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CHI3L1	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CKLF	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CNN2	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CNN3	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	COL4A1	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	COX7A2	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	COX7B	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CSGALNACT1	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CSTA	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CTNNB1	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CTSB	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CTSC	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CTSL	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CTSS	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CXCL1	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CXCL2	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CXCL3	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CXCL8	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CXCL9	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	CYTOR	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	DAP	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	DBI	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	DDAH1	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	DDIT4	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	DDX39A	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	DENND2D	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	DNAJB11	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	DUSP6	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	DYNLT1	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	EEF1E1	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	ENO1	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	EPS8L1	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	EPSTI1	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	ESCO2	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	FABP5	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	FAM136A	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	FBXO6	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	FCGR2B	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	FKBP1A	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	FMNL2	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	FXYD5	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	GABARAPL2	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	GALE	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	GBP1	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	GBP4	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	GK	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	GOLT1B	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	GPNMB	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	GPX2	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	GSTO1	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	GYS1	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	HAPLN3	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	HIF1A	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	HLA-B	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	HLA-DMA	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	HLA-DMB	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	HLA-DRB1	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	HSP90B1	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	HSPG2	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	IDO1	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	IFI16	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	IFI30	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	IFITM2	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	IFITM3	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	IFT43	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	IGHG1	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	IL15	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	IL23A	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	IL2RG	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	IL7R	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	IRF1	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	ITGA2	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	ITGA5	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	ITGB4	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	JAK1	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	JAK2	1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	JAK3	1
