left_out_donor	module	status	foamy_adjusted_beta
MS26	stress_cytotoxicity	estimated	0.07611677171691121
MS26	mocci_inflammatory_switch	estimated	0.3091698284785886
MS27	oxphos	estimated	-0.5611575376698602
MS27	resolution_efferocytosis_proxy	estimated	0.10805128445075163
MS27	nrf2_antioxidant_response	estimated	0.1432455247076787
MS27	stress_cytotoxicity	estimated	0.11828432843876978
MS27	mocci_inflammatory_switch	estimated	0.17143519978539257
MS28	oxphos	estimated	-0.6760284015239487
MS28	resolution_efferocytosis_proxy	estimated	0.059063170997163766
MS28	nrf2_antioxidant_response	estimated	-0.06558559204250751
MS28	stress_cytotoxicity	estimated	0.004391385937671867
MS28	mocci_inflammatory_switch	estimated	0.28440332594463313
