gene	wave34_call	wave34_score	gate	passed
CEP43	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	17.0	gate_genetic_breadth	True
GRB7	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	17.0	gate_genetic_breadth	True
IL18RAP	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	17.0	gate_genetic_breadth	True
MGAT3	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	17.0	gate_genetic_breadth	True
MYRF	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	17.0	gate_genetic_breadth	True
NDFIP1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	17.0	gate_genetic_breadth	True
RAB5B	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	17.0	gate_genetic_breadth	True
GALC	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	17.0	gate_genetic_breadth	True
LITAF	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	17.0	gate_genetic_breadth	True
TMEM258	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	17.0	gate_genetic_breadth	True
TYK2	PARK_GENETIC_DRUGGABLE_NEEDS_CELL_STATE	16.5	gate_genetic_breadth	True
C2	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	16.5	gate_genetic_breadth	True
STAT1	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	16.5	gate_genetic_breadth	True
TAGAP	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.2	gate_genetic_breadth	True
FCGR2A	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.2	gate_genetic_breadth	True
INAVA	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.2	gate_genetic_breadth	True
TTC33	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.2	gate_genetic_breadth	True
PUS10	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.2	gate_genetic_breadth	True
FAM76B	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.2	gate_genetic_breadth	True
NFKBIL1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.2	gate_genetic_breadth	True
BLK	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.2	gate_genetic_breadth	True
NOD2	PARK_GENETIC_DRUGGABLE_NEEDS_CELL_STATE	16.2	gate_genetic_breadth	True
RPS6KA4	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.2	gate_genetic_breadth	True
DENND1B	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.2	gate_genetic_breadth	True
FLI1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.2	gate_genetic_breadth	True
SPRED2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.2	gate_genetic_breadth	True
CCHCR1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.2	gate_genetic_breadth	True
FOXP1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.2	gate_genetic_breadth	True
MST1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.2	gate_genetic_breadth	True
PDGFB	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.2	gate_genetic_breadth	True
PRKCB	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.2	gate_genetic_breadth	True
MTCO3P1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
IL12B-AS1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
LINC02571	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
AP4B1-AS1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
RSBN1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
ANKRD55	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
LINC03004	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
LINC02929	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
TAGAP-AS1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
TSBP1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
RMI2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
BTNL2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
IL12RB2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
LINC01082	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
LINC02132	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
HCP5	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
ICOS	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
LINC02940	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
ALDH7A1P4	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
CXCR5	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
LINC00824	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
REL-DT	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
RPL32P23	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
CCR6	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
IL21	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
MICA	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
RNU1-150P	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
RPL23AP12	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
CARINH	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
ELMO1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
MICB	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
MUC22	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
ZPBP2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
LINC02694	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
LINC02757	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
LPP	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
MICA-AS1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
SPMIP7	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
DDX6	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
LINC01149	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
PVT1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
RDUR	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
RPLP0P3	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
CYCSP42	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
IL18R1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
LINC02341	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
LINC02357	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
LINC02498	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
LNCRNA-IUR	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
MIR4425	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
NFKB1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
RNU6-1133P	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
SLC25A38P1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
TRAF3IP2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
AFF3	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
C6ORF10	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
DELEC1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
JAZF1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
LINC02865	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
LINC02920	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
LTA	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
RASGRP1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
RNASET2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
RNU6-793P	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
SNAPC4	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
ATP6V1G3	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
BSN	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
CCR3	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
CEBPA	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
FCRL3	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
FGFR3P1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
H3P5	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
HNRNPA1P41	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
IFNG-AS1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
KRT18P39	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
LINC00243	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
LINC01475	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
LINC02934	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
MICB-DT	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
NCR3	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
POU5F1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
PRKCQ	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
PSORS1C3	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
RGS2-AS1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
RN7SL51P	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
RNU6-481P	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
RPS26	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
SLC7A10	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
TH2LCRR	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
UQCRHP1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
ZNF365	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
ADO	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
AIMP1P2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
BTF3L4P3	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
CD6	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
CMAHP	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
COX7CP3	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
CSF2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
DNMT3A	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
DRAIC	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
GTF2I-AS1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
HORMAD2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
ICAM3	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
IL12A-AS1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
IL13	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
IL21-AS1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
IRGM	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
LINC01016	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
LINC01882	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
LINC01967	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
LINC01980	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
MIR3939	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
MIR4435-2HG	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
MROH3P	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
NCOA5	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
RERE	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
RN7SKP211	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
RN7SL18P	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
RNU6-283P	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
RPL13P2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
RPL6P17	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
SATB1-AS1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
SLC9A4	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
SPEF2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
THEMIS	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
TRIM31-AS1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
U3	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
AHR	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
ANXA6	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
DUSP22	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
PRRC2A	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
PTPRK	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
SNX20	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0	gate_genetic_breadth	True
HINT1	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	16.0	gate_genetic_breadth	True
NUPR1	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	15.6	gate_genetic_breadth	True
RBFOX1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	15.6	gate_genetic_breadth	True
STAT4	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	15.5	gate_genetic_breadth	True
IRF1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	15.5	gate_genetic_breadth	True
