dataset	pathway	perturbation	cell_type	gene	log2fc	p	fdr
GSE281048_Mixscale	IFNB	ADAR	BXPC3	KLF6	0.904356932445063	2.43504545650957e-26	5.727650399876859e-25
GSE281048_Mixscale	IFNB	ADAR	BXPC3	DDIT3	1.14418132388303	7.2807510117862e-25	1.5874604724942405e-23
GSE281048_Mixscale	IFNB	ADAR	BXPC3	FOS	1.03736427152034	6.6441467292837005e-18	1.0343837066309302e-16
GSE281048_Mixscale	IFNB	ADAR	BXPC3	IRF1	-0.103809528558493	0.0004960056498044	0.0014412302466286964
GSE281048_Mixscale	IFNB	ADAR	BXPC3	GBP1	-0.279868117415058	7.87113222593443e-13	8.130372380392414e-12
GSE281048_Mixscale	IFNB	ADAR	BXPC3	IFIT1	-0.0244689737920984	0.0002711349776285	0.0008364021262837832
GSE281048_Mixscale	IFNB	ADAR	BXPC3	CASP3	0.0604691000943434	0.609190327536929	0.688400975869407
GSE281048_Mixscale	IFNB	ADAR	BXPC3	DNAJB1	-0.13865594288018	0.461229907443581	0.5515134796009997
GSE281048_Mixscale	IFNB	ADAR	BXPC3	CTSS	-0.359462751485467	6.30251790661488e-07	3.13985617133461e-06
GSE281048_Mixscale	IFNB	ADAR	BXPC3	ATF4	0.229028855786769	0.11912377974683	0.17686714193628825
GSE281048_Mixscale	IFNB	ADAR	BXPC3	HSPA1A	0.0269258983605627	0.388732138845165	0.47843955550174155
GSE281048_Mixscale	IFNB	ADAR	BXPC3	ISG15	0.0338883444276605	0.0813191461897472	0.12810360472234733
GSE281048_Mixscale	IFNB	ADAR	BXPC3	RFX5		0.115088659208601	0.17194651274841719
GSE281048_Mixscale	IFNB	ADAR	HAP1	GADD45A		0.142930970818336	0.24277513800578948
GSE281048_Mixscale	IFNB	ADAR	HAP1	HSP90AA1	-0.606123078911709	1.70023767812638e-102	1.4717257341861944e-98
GSE281048_Mixscale	IFNB	ADAR	HAP1	JUN	2.28420051730237	4.4111951279385205e-61	3.471209547948712e-58
GSE281048_Mixscale	IFNB	ADAR	HAP1	STAT1	0.310467881645057	4.221097449769559e-28	4.567227440650663e-26
GSE281048_Mixscale	IFNB	ADAR	HAP1	KLF6	0.670156982288648	3.2428002965042298e-18	1.4248568206365795e-16
GSE281048_Mixscale	IFNB	ADAR	HAP1	DDIT3		0.0014692717963035	0.005348198767368838
GSE281048_Mixscale	IFNB	ADAR	HAP1	FOS		0.148561076593484	0.2499376582252544
GSE281048_Mixscale	IFNB	ADAR	HAP1	IRF1		0.726166707186115	0.8149095992826909
GSE281048_Mixscale	IFNB	ADAR	HAP1	GBP1		0.389204496490366	0.5217522257426991
GSE281048_Mixscale	IFNB	ADAR	HAP1	IFIT1	-0.430485450904864	5.52339699181456e-10	7.99507096340248e-09
GSE281048_Mixscale	IFNB	ADAR	HAP1	CASP3		0.111480057948284	0.19962171733561154
GSE281048_Mixscale	IFNB	ADAR	HAP1	DNAJB1	-0.538176246423209	4.61918221877539e-07	3.9745170264134964e-06
GSE281048_Mixscale	IFNB	ADAR	HAP1	CTSS		0.686447559090518	0.7847998960931857
GSE281048_Mixscale	IFNB	ADAR	HAP1	ATF4	-0.200715528216937	0.0002553356296778	0.0011762560992501527
GSE281048_Mixscale	IFNB	ADAR	HAP1	HSPA1A	-0.780392811557832	0.0003528690887188	0.0015567965504331971
GSE281048_Mixscale	IFNB	ADAR	HAP1	ISG15	-0.44758057255876	0.0460987199730442	0.09809009834972236
GSE281048_Mixscale	IFNB	ADAR	HAP1	RFX5		0.0953466805601786	0.1759370852545099
GSE281048_Mixscale	IFNB	ADAR	HT29	GADD45A		0.692465130783765	0.9124377690019013
GSE281048_Mixscale	IFNB	ADAR	HT29	HSP90AA1	-0.0783852035372099	0.0008997109354206	0.0234575236656648
GSE281048_Mixscale	IFNB	ADAR	HT29	JUN	0.0580074144929145	0.164566484000662	0.5833282086444432
GSE281048_Mixscale	IFNB	ADAR	HT29	STAT1	0.0791563945621738	0.0002957163627285	0.009515690839323033
GSE281048_Mixscale	IFNB	ADAR	HT29	KLF6	-0.0912221861588715	0.44744795131325	0.7986971363953278
GSE281048_Mixscale	IFNB	ADAR	HT29	DDIT3		1.9608513527143e-05	0.001047724031425616
GSE281048_Mixscale	IFNB	ADAR	HT29	FOS	0.0851119358449212	0.150218191039762	0.5647697359439363
GSE281048_Mixscale	IFNB	ADAR	HT29	IRF1	0.156657411427861	0.236148201632084	0.6522331950629607
GSE281048_Mixscale	IFNB	ADAR	HT29	GBP1	-0.285642867353279	0.674776569634679	0.9057300119442666
GSE281048_Mixscale	IFNB	ADAR	HT29	IFIT1	0.0542324041020271	0.107022817690433	0.4945913036296957
GSE281048_Mixscale	IFNB	ADAR	HT29	CASP3		1.76170877026686e-09	2.9900688461627333e-07
GSE281048_Mixscale	IFNB	ADAR	HT29	DNAJB1	-0.277733713710319	0.215232537960858	0.6384742029420039
GSE281048_Mixscale	IFNB	ADAR	HT29	CTSS		0.178222673174016	0.6013554509825944
GSE281048_Mixscale	IFNB	ADAR	HT29	ATF4	-0.0159988043923622	0.786588399948074	0.9445636436114478
GSE281048_Mixscale	IFNB	ADAR	HT29	HSPA1A		0.877905461392623	0.9783417778778369
GSE281048_Mixscale	IFNB	ADAR	HT29	ISG15	-0.0004310989494928	0.567996917935112	0.8611701945144667
GSE281048_Mixscale	IFNB	ADAR	HT29	RFX5		0.766681202651821	0.9402346543832405
GSE281048_Mixscale	IFNB	ADAR	K562	GADD45A	0.406044797758831	0.518609590571376	0.7732894772101316
GSE281048_Mixscale	IFNB	ADAR	K562	HSP90AA1	-0.277035062360598	3.4084235552197797e-16	1.1347428574608622e-13
GSE281048_Mixscale	IFNB	ADAR	K562	JUN	0.444804670858536	3.27672720717029e-06	0.0001454530805398258
GSE281048_Mixscale	IFNB	ADAR	K562	STAT1	0.111964272150538	0.236948120683781	0.5344222074067799
GSE281048_Mixscale	IFNB	ADAR	K562	KLF6	0.585686435606881	2.4393391993374e-09	2.3259040191646346e-07
GSE281048_Mixscale	IFNB	ADAR	K562	DDIT3	0.725874435495441	0.0001955786374993	0.004554033159442464
GSE281048_Mixscale	IFNB	ADAR	K562	FOS		0.701075271239544	0.8765719410442717
GSE281048_Mixscale	IFNB	ADAR	K562	IRF1	0.0323173199639557	0.475682583820698	0.7445765724325429
GSE281048_Mixscale	IFNB	ADAR	K562	GBP1		0.919057257866742	0.9803521041879587
GSE281048_Mixscale	IFNB	ADAR	K562	IFIT1	0.299651945500315	0.605691218867906	0.8219042682925467
GSE281048_Mixscale	IFNB	ADAR	K562	CASP3	0.0990086732336053	0.602029538499375	0.8203979353354204
GSE281048_Mixscale	IFNB	ADAR	K562	DNAJB1	-0.264122215448479	0.0043006917387294	0.0475437901538208
GSE281048_Mixscale	IFNB	ADAR	K562	CTSS	0.031270840504054	0.724310465386833	0.8852910743276513
GSE281048_Mixscale	IFNB	ADAR	K562	ATF4	-0.0887525733876586	0.711938395282762	0.8809919584799982
GSE281048_Mixscale	IFNB	ADAR	K562	HSPA1A		0.0051713098687019	0.0540614229752218
GSE281048_Mixscale	IFNB	ADAR	K562	ISG15	0.337689002598368	0.417299812855405	0.6989448877856783
GSE281048_Mixscale	IFNB	ADAR	K562	RFX5		0.511459324098164	0.7696787046929255
GSE281048_Mixscale	IFNB	ADAR	MCF7	GADD45A		0.212077159400886	0.5756475044760331
GSE281048_Mixscale	IFNB	ADAR	MCF7	HSP90AA1	0.215241660612627	1.04442260499309e-08	1.0157889964966501e-06
GSE281048_Mixscale	IFNB	ADAR	MCF7	JUN	0.25532325415491	2.36680628517639e-06	0.00013049092486934287
GSE281048_Mixscale	IFNB	ADAR	MCF7	STAT1	0.16259492179218	0.534056016401893	0.8161703527497858
GSE281048_Mixscale	IFNB	ADAR	MCF7	KLF6	0.446369366154181	5.65375571249123e-07	3.598449224067947e-05
GSE281048_Mixscale	IFNB	ADAR	MCF7	DDIT3	-0.178665059798671	0.713485349396195	0.9068653018382908
GSE281048_Mixscale	IFNB	ADAR	MCF7	FOS	0.190673140126667	0.254824559308271	0.6169335105468261
GSE281048_Mixscale	IFNB	ADAR	MCF7	IRF1	0.274319407084397	1.4614588374298e-17	4.362202654066327e-15
GSE281048_Mixscale	IFNB	ADAR	MCF7	GBP1	0.131900087973414	0.0832988734096637	0.38279790196098773
GSE281048_Mixscale	IFNB	ADAR	MCF7	IFIT1	0.0979417317086517	0.71975378666091	0.9100744526412514
GSE281048_Mixscale	IFNB	ADAR	MCF7	CASP3	0.0466609869275829	0.333649804911209	0.6858453826286953
GSE281048_Mixscale	IFNB	ADAR	MCF7	DNAJB1	0.212353340214414	0.0898343281392577	0.39788525717614326
GSE281048_Mixscale	IFNB	ADAR	MCF7	CTSS		0.110961558110735	0.439159813895792
GSE281048_Mixscale	IFNB	ADAR	MCF7	ATF4	0.215531456715674	0.600573362134105	0.8499939539949006
GSE281048_Mixscale	IFNB	ADAR	MCF7	HSPA1A	0.126672816994513	0.289964472829063	0.6497055251719255
GSE281048_Mixscale	IFNB	ADAR	MCF7	ISG15	0.102541670617545	0.0832755042888293	0.38279790196098773
GSE281048_Mixscale	IFNB	ADAR	MCF7	RFX5	0.082647852701115	0.242265562162346	0.60527627044551
GSE281048_Mixscale	IFNB	AKT1	A549	HSP90AA1	0.242278095880662	4.68266296811122e-07	0.003791552205279655
GSE281048_Mixscale	IFNB	AKT1	A549	CTSS	0.122082367930647	0.645087032414148	0.9653058032632335
GSE281048_Mixscale	IFNB	AKT1	A549	IFIT1	0.106040255355621	0.461062426067321	0.9191012526106437
GSE281048_Mixscale	IFNB	AKT1	A549	DNAJB1	-0.138645075164785	0.166539756183711	0.7488737233618222
GSE281048_Mixscale	IFNB	AKT1	A549	GBP1	0.242259583165277	0.0375469065401843	0.5362978010339162
GSE281048_Mixscale	IFNB	AKT1	A549	RFX5	0.490241576138175	0.0397005000144976	0.5457276093211816
GSE281048_Mixscale	IFNB	AKT1	A549	STAT1	0.0674185843970507	0.768452141503484	0.9794432782274421
GSE281048_Mixscale	IFNB	AKT1	A549	HSPA1A		0.984528741680352	0.9993221734618606
GSE281048_Mixscale	IFNB	AKT1	A549	FOS	-0.0606622105132049	0.700854783384908	0.9744666525492539
GSE281048_Mixscale	IFNB	AKT1	A549	JUN	0.0545920945820102	0.211452091803305	0.7853796272162205
GSE281048_Mixscale	IFNB	AKT1	A549	KLF6	-0.0151952780016927	0.639303665833082	0.9634102838888297
GSE281048_Mixscale	IFNB	AKT1	A549	IRF1	0.0547971654540906	0.718902979011919	0.9781648005861359
GSE281048_Mixscale	IFNB	AKT1	A549	ISG15	0.0146804460835899	0.707992253796181	0.9766627895253909
GSE281048_Mixscale	IFNB	AKT1	A549	CASP3		0.345637617552356	0.8694683939888809
GSE281048_Mixscale	IFNB	AKT1	BXPC3	HSP90AA1	0.0454812691554856	0.306867978490614	0.6971689174631037
GSE281048_Mixscale	IFNB	AKT1	BXPC3	CTSS	-0.231171237948349	2.55041897529689e-05	0.0038242115635146144
GSE281048_Mixscale	IFNB	AKT1	BXPC3	IFIT1	-0.0240573786183578	0.0102258798073801	0.16140145964981806
GSE281048_Mixscale	IFNB	AKT1	BXPC3	DNAJB1	-0.0183656682666125	0.784687446299812	0.9344711365210939
GSE281048_Mixscale	IFNB	AKT1	BXPC3	GBP1	0.0383670183935789	0.597462149558889	0.8625625277339295
GSE281048_Mixscale	IFNB	AKT1	BXPC3	RFX5		0.0442498029082849	0.3266955139195159
GSE281048_Mixscale	IFNB	AKT1	BXPC3	STAT1	-0.0296653848993582	0.0403579770057806	0.3143044082055365
GSE281048_Mixscale	IFNB	AKT1	BXPC3	HSPA1A	-0.0053854523558052	0.0496456893798736	0.34165228906799777
GSE281048_Mixscale	IFNB	AKT1	BXPC3	FOS	0.101748381209546	0.353607000219833	0.7327675714017965
GSE281048_Mixscale	IFNB	AKT1	BXPC3	JUN	-0.0389814363605685	0.161696999954922	0.5660626208180773
GSE281048_Mixscale	IFNB	AKT1	BXPC3	KLF6	0.0215311442028472	0.914252279704371	0.9787147671588919
GSE281048_Mixscale	IFNB	AKT1	BXPC3	IRF1	0.0784142882978029	0.102292295563249	0.4645320903957527
GSE281048_Mixscale	IFNB	AKT1	BXPC3	ISG15	-0.104230317623741	0.172674337534451	0.5753924772138007
GSE281048_Mixscale	IFNB	AKT1	BXPC3	CASP3	-0.0158823265708201	0.523351502208409	0.8291091984702578
GSE281048_Mixscale	IFNB	AKT1	HAP1	HSP90AA1	-0.0469636566769602	0.123362220647537	0.8677503977321398
GSE281048_Mixscale	IFNB	AKT1	HAP1	CTSS		0.774927667013781	0.9754930258360296
GSE281048_Mixscale	IFNB	AKT1	HAP1	IFIT1	0.0428685673815332	0.162427185742498	0.8918611790306714
GSE281048_Mixscale	IFNB	AKT1	HAP1	DNAJB1	-0.032726843580712	0.845174514369833	0.987502674073448
GSE281048_Mixscale	IFNB	AKT1	HAP1	GBP1		0.705335414142826	0.9679772004833775
GSE281048_Mixscale	IFNB	AKT1	HAP1	RFX5	0.0944340311489547	0.845609025028194	0.987502674073448
GSE281048_Mixscale	IFNB	AKT1	HAP1	STAT1	0.031019552631403	0.0994069707612481	0.8394496300662666
GSE281048_Mixscale	IFNB	AKT1	HAP1	HSPA1A	-0.0584691326870899	0.948551328864491	0.9981740204251087
GSE281048_Mixscale	IFNB	AKT1	HAP1	FOS		0.0644386678006102	0.8057288464003616
GSE281048_Mixscale	IFNB	AKT1	HAP1	JUN		0.88144999646471	0.9930923052406047
GSE281048_Mixscale	IFNB	AKT1	HAP1	KLF6	-0.0564909055913267	0.248919118045581	0.9042433875596061
GSE281048_Mixscale	IFNB	AKT1	HAP1	IRF1		0.964203531603986	0.9981740204251087
GSE281048_Mixscale	IFNB	AKT1	HAP1	ISG15	-0.0080570606825685	0.650702925744374	0.9630295214801889
GSE281048_Mixscale	IFNB	AKT1	HAP1	CASP3	0.133150167729557	0.405680948590008	0.9424598001163776
GSE281048_Mixscale	IFNB	AKT1	HT29	HSP90AA1	0.119613818975575	0.190143076770949	0.8498001743426696
GSE281048_Mixscale	IFNB	AKT1	HT29	CTSS	0.241648161673305	0.662531966131685	0.9716592300529383
GSE281048_Mixscale	IFNB	AKT1	HT29	IFIT1	-0.0635822375435071	0.0273635339984173	0.6136704021990639
GSE281048_Mixscale	IFNB	AKT1	HT29	DNAJB1	0.167971537831442	0.622800976495924	0.9658525688155439
GSE281048_Mixscale	IFNB	AKT1	HT29	GBP1	0.143157211860099	0.102159351062757	0.7953694861107149
GSE281048_Mixscale	IFNB	AKT1	HT29	RFX5		0.309322961225631	0.900985939896501
GSE281048_Mixscale	IFNB	AKT1	HT29	STAT1	0.0904165025461685	0.186054193582152	0.8498001743426696
GSE281048_Mixscale	IFNB	AKT1	HT29	HSPA1A		0.0789887456689271	0.7693227853095361
GSE281048_Mixscale	IFNB	AKT1	HT29	FOS	0.0657827204441339	0.617291399010169	0.9657909978010274
GSE281048_Mixscale	IFNB	AKT1	HT29	JUN	0.0702808839236084	0.093989618086187	0.787819811225524
GSE281048_Mixscale	IFNB	AKT1	HT29	KLF6	0.142225654001457	0.795471035324168	0.9874071852857355
GSE281048_Mixscale	IFNB	AKT1	HT29	IRF1	0.112771209005345	0.303755422940443	0.8982453360625411
GSE281048_Mixscale	IFNB	AKT1	HT29	ISG15	0.0455207309287413	0.575542649544993	0.9625063493496572
GSE281048_Mixscale	IFNB	AKT1	HT29	CASP3		0.436236612501627	0.9448929130100837
GSE281048_Mixscale	IFNB	AKT1	K562	HSP90AA1	0.0087744830153042	0.764983719277996	0.9975166648290911
GSE281048_Mixscale	IFNB	AKT1	K562	CTSS	0.270948225794249	0.2660795289118	0.9649378252432042
GSE281048_Mixscale	IFNB	AKT1	K562	IFIT1	0.284971079452565	0.357508728316495	0.9707026644171857
GSE281048_Mixscale	IFNB	AKT1	K562	DNAJB1	0.119463770129292	0.970739887432846	0.99999793886012
GSE281048_Mixscale	IFNB	AKT1	K562	GBP1		0.618262750783979	0.9913554160796485
GSE281048_Mixscale	IFNB	AKT1	K562	RFX5		0.561219846070643	0.9913554160796485
GSE281048_Mixscale	IFNB	AKT1	K562	STAT1	0.21386975636697	0.249271090975776	0.9649378252432042
GSE281048_Mixscale	IFNB	AKT1	K562	HSPA1A		0.141163706699551	0.9649378252432042
GSE281048_Mixscale	IFNB	AKT1	K562	FOS		0.88752791265108	0.99999793886012
GSE281048_Mixscale	IFNB	AKT1	K562	JUN	-0.0834175596430349	0.391889500550694	0.9817850513486911
GSE281048_Mixscale	IFNB	AKT1	K562	KLF6	0.387870055057803	0.0964540129580058	0.9336734084276022
GSE281048_Mixscale	IFNB	AKT1	K562	IRF1	-0.0087074459880067	0.72906635581412	0.9973237387891049
GSE281048_Mixscale	IFNB	AKT1	K562	ISG15	0.0500793165391236	0.132570152922149	0.9649378252432042
GSE281048_Mixscale	IFNB	AKT1	K562	CASP3	0.497618608589353	0.478394920664076	0.9913554160796485
GSE281048_Mixscale	IFNB	AKT1	MCF7	HSP90AA1	0.226091207449212	0.610698153309725	0.9595266016225283
GSE281048_Mixscale	IFNB	AKT1	MCF7	CTSS		0.764062599068782	0.9772606009579259
GSE281048_Mixscale	IFNB	AKT1	MCF7	IFIT1	0.200230436716356	0.0670780036927466	0.7504796136685372
GSE281048_Mixscale	IFNB	AKT1	MCF7	DNAJB1	0.218477049829255	0.0152941794505703	0.522378782129769
GSE281048_Mixscale	IFNB	AKT1	MCF7	GBP1	0.0242000958510877	0.157446587168258	0.8409350730503468
GSE281048_Mixscale	IFNB	AKT1	MCF7	RFX5	0.32567595336032	0.963781193265258	0.9996342276102975
GSE281048_Mixscale	IFNB	AKT1	MCF7	STAT1	0.28411461910686	0.640335472936753	0.9661544354016668
GSE281048_Mixscale	IFNB	AKT1	MCF7	HSPA1A	0.181311848654804	0.0542644868238919	0.7274495857831998
GSE281048_Mixscale	IFNB	AKT1	MCF7	FOS	0.429209615336554	0.789397811297231	0.9847101220262596
GSE281048_Mixscale	IFNB	AKT1	MCF7	JUN	0.263758409195794	0.870165737539595	0.996349895368009
GSE281048_Mixscale	IFNB	AKT1	MCF7	KLF6	0.121229155042941	0.913105592603792	0.996425624127885
GSE281048_Mixscale	IFNB	AKT1	MCF7	IRF1	-0.005321289180266	0.933704074162681	0.9988217091721622
GSE281048_Mixscale	IFNB	AKT1	MCF7	ISG15	0.187708496666351	0.642559886510716	0.9661934657877171
GSE281048_Mixscale	IFNB	AKT1	MCF7	CASP3	-0.109466970397886	0.68441370915048	0.968855830787027
GSE281048_Mixscale	IFNB	BATF2	A549	KLF6	0.127196350313506	0.0774501774937155	0.5007218519248385
GSE281048_Mixscale	IFNB	BATF2	A549	IFIT1	0.141079074707927	3.91974331522894e-05	0.008708865596527888
GSE281048_Mixscale	IFNB	BATF2	A549	GBP1	0.339264297643665	0.0019148272245952	0.10117059695803299
GSE281048_Mixscale	IFNB	BATF2	A549	JUN	0.2906423977599	0.0045332431010006	0.1504744988177825
GSE281048_Mixscale	IFNB	BATF2	A549	CTSS	0.386960197817677	0.0204590179047972	0.29399235513278227
GSE281048_Mixscale	IFNB	BATF2	A549	HSPA1A		0.659218219454288	0.9162851166825291
GSE281048_Mixscale	IFNB	BATF2	A549	DNAJB1	-0.164581076697062	0.300004485375996	0.7504442453184196
GSE281048_Mixscale	IFNB	BATF2	A549	HSPA1B		0.375051229452995	0.802184025165033
GSE281048_Mixscale	IFNB	BATF2	A549	STAT1	0.186962984830931	0.0592190242064532	0.4545020768369503
GSE281048_Mixscale	IFNB	BATF2	A549	HSP90AA1	0.152949666704643	0.0939289907262493	0.5331715478642393
GSE281048_Mixscale	IFNB	BATF2	A549	FOS	0.0919341908251138	0.0640624588143348	0.469219368565116
GSE281048_Mixscale	IFNB	BATF2	A549	IRF1	0.212575568082973	0.0675232748239711	0.47789149951803567
GSE281048_Mixscale	IFNB	BATF2	A549	RFX5	0.383743226197211	0.154866537679864	0.6158727858752482
GSE281048_Mixscale	IFNB	BATF2	A549	ATF4	0.0020161743174367	0.601425187518896	0.8987326523144653
GSE281048_Mixscale	IFNB	BATF2	A549	ISG15	0.0735813200346032	0.779444546519769	0.947348020974795
GSE281048_Mixscale	IFNB	BATF2	BXPC3	KLF6	0.296828578651865	0.0004460512392827	0.05559096792649429
GSE281048_Mixscale	IFNB	BATF2	BXPC3	IFIT1	0.190126871514473	0.132949092019894	0.6768530448603887
GSE281048_Mixscale	IFNB	BATF2	BXPC3	GBP1	0.28077471867096	0.0069179608478467	0.2426887884477395
GSE281048_Mixscale	IFNB	BATF2	BXPC3	JUN	0.193999961447531	0.345665702331612	0.8329040267819277
GSE281048_Mixscale	IFNB	BATF2	BXPC3	CTSS	0.214923853625594	0.366126394916869	0.8418891114001288
GSE281048_Mixscale	IFNB	BATF2	BXPC3	HSPA1A	0.195801008263654	0.832197771381832	0.9836380463630343
GSE281048_Mixscale	IFNB	BATF2	BXPC3	DNAJB1	0.135738955049114	0.816067264436701	0.9808673486081285
GSE281048_Mixscale	IFNB	BATF2	BXPC3	HSPA1B	0.36535779858748	0.711374702594756	0.9556684958114048
GSE281048_Mixscale	IFNB	BATF2	BXPC3	STAT1	0.128930959382285	0.624941797493134	0.939684193927184
GSE281048_Mixscale	IFNB	BATF2	BXPC3	HSP90AA1	0.145675416333186	0.335340093078687	0.8308061062235609
GSE281048_Mixscale	IFNB	BATF2	BXPC3	FOS	0.0651746572717746	0.446675972327778	0.8746098000813867
GSE281048_Mixscale	IFNB	BATF2	BXPC3	IRF1	0.216665051184184	0.12326963823272	0.6693131285602556
GSE281048_Mixscale	IFNB	BATF2	BXPC3	RFX5		0.310227855482173	0.8177011874393642
GSE281048_Mixscale	IFNB	BATF2	BXPC3	ATF4	0.172394583026872	0.381132954579296	0.8502577461895413
GSE281048_Mixscale	IFNB	BATF2	BXPC3	ISG15	0.208465170472385	0.550384465631046	0.9141424946699279
GSE281048_Mixscale	IFNB	BATF2	HAP1	KLF6	-0.0713329567380068	0.0068016548577391	0.3709548124564218
GSE281048_Mixscale	IFNB	BATF2	HAP1	IFIT1	0.153474418787628	0.287066837585924	0.8965276667405224
GSE281048_Mixscale	IFNB	BATF2	HAP1	GBP1		0.977526424595838	0.9979322658518892
GSE281048_Mixscale	IFNB	BATF2	HAP1	JUN		0.511067390147255	0.9699070203061584
GSE281048_Mixscale	IFNB	BATF2	HAP1	CTSS		0.757445303955422	0.9839947335647526
GSE281048_Mixscale	IFNB	BATF2	HAP1	HSPA1A	0.0512039451148119	0.433945868382781	0.9500812564431267
GSE281048_Mixscale	IFNB	BATF2	HAP1	DNAJB1	0.135719905280912	0.836995347483933	0.9839947335647526
GSE281048_Mixscale	IFNB	BATF2	HAP1	HSPA1B		0.24565178703517	0.8790714144537675
GSE281048_Mixscale	IFNB	BATF2	HAP1	STAT1	0.119540862968322	0.436416653061621	0.950377054229441
GSE281048_Mixscale	IFNB	BATF2	HAP1	HSP90AA1	0.105669519004019	0.689677995246623	0.9821024678165149
GSE281048_Mixscale	IFNB	BATF2	HAP1	FOS		0.792991800400993	0.9839947335647526
GSE281048_Mixscale	IFNB	BATF2	HAP1	IRF1		0.558714471309488	0.9710427643458686
GSE281048_Mixscale	IFNB	BATF2	HAP1	RFX5	0.0344467136544395	0.421884049861584	0.9476708745276723
GSE281048_Mixscale	IFNB	BATF2	HAP1	ATF4	0.140451023865682	0.295412832998932	0.8995966389482526
GSE281048_Mixscale	IFNB	BATF2	HAP1	ISG15	-0.0037998907821281	0.306499258776483	0.9033388018021173
GSE281048_Mixscale	IFNB	BATF2	HT29	KLF6	0.0917580344418933	0.0291018807361598	0.8160770115819569
GSE281048_Mixscale	IFNB	BATF2	HT29	IFIT1	0.172538547035245	0.857742238358996	0.9972129775882395
GSE281048_Mixscale	IFNB	BATF2	HT29	GBP1	-0.0410445609267487	0.58631249521019	0.9757548422023226
GSE281048_Mixscale	IFNB	BATF2	HT29	JUN	0.103024580167485	0.780802466940177	0.9911522360997258
GSE281048_Mixscale	IFNB	BATF2	HT29	CTSS		0.115461126056724	0.8722957477190805
GSE281048_Mixscale	IFNB	BATF2	HT29	HSPA1A		0.0255078393426979	0.7865673590906666
GSE281048_Mixscale	IFNB	BATF2	HT29	DNAJB1	0.0420956769136489	0.046077561847198	0.8215269000122853
GSE281048_Mixscale	IFNB	BATF2	HT29	HSPA1B		0.809861796062209	0.9931280214546443
GSE281048_Mixscale	IFNB	BATF2	HT29	STAT1	0.132721373146576	0.823793355486957	0.9943862711358187
GSE281048_Mixscale	IFNB	BATF2	HT29	HSP90AA1	0.165602787172295	0.0611557049518767	0.8480378566013325
GSE281048_Mixscale	IFNB	BATF2	HT29	FOS	0.0560648925898622	0.513835751915858	0.9728657357408478
GSE281048_Mixscale	IFNB	BATF2	HT29	IRF1	0.131542779589147	0.803532021662967	0.9930321619031567
GSE281048_Mixscale	IFNB	BATF2	HT29	RFX5		0.914267068028841	0.9973506241378111
GSE281048_Mixscale	IFNB	BATF2	HT29	ATF4	0.291856097413114	0.783285015382304	0.9911522360997258
GSE281048_Mixscale	IFNB	BATF2	HT29	ISG15	-0.0479035498468328	0.893575945591492	0.9972129775882395
GSE281048_Mixscale	IFNB	BATF2	K562	KLF6	0.29986992378503	0.301716828402801	0.8913264553272633
