dataset	pathway	perturbation	cell_type	target_module_effect	target_module_median_effect	target_n_genes	target_genes_present	target_negative_fraction	target_sig_negative_fdr10	generic_ifn_effect	generic_ifn_median_effect	generic_ifn_n_genes	generic_ifn_genes_present	generic_ifn_negative_fraction	generic_ifn_sig_negative_fdr10	stress_module_effect	stress_module_median_effect	stress_n_genes	stress_genes_present	stress_positive_fraction	stress_sig_positive_fdr10	target_suppression	generic_ifn_suppression	target_vs_ifn_margin	target_over_ifn_ratio	stress_induction	stress_abs_effect	selectivity_score
GSE281048_Mixscale	TNFA	RELB	BXPC3	0.025731673908584	0.025731673908584	1	CTSS	0.0	0	0.1674372706572155	0.134337910291573	3	GBP1,IRF1,STAT1	0.0	0	0.0941400194710408	0.1123303268064715	6	ATF4,CASP3,DNAJB1,HSP90AA1,JUN,KLF6	0.8333333333333334	0	0.0	0.0	0.0	0.0	0.0941400194710408	0.0941400194710408	-0.04236300876196836
GSE281048_Mixscale	TNFA	RELB	HAP1			0			0	0.0501975102616674	0.0501975102616674	1	STAT1	0.0	0	0.133478892776903	0.112796412919642	3	ATF4,HSP90AA1,KLF6	1.0	0	0.0	0.0	0.0	0.0	0.133478892776903	0.133478892776903	-0.06006550174960635
GSE281048_Mixscale	TNFA	RELB	HT29	-0.174846399114157	-0.174846399114157	1	CTSS	1.0	0	-0.1193664342663011	-0.146230128822202	4	GBP1,IFIT1,IRF1,STAT1	0.75	1	-0.05111755698613463	-0.045356449606260854	6	ATF4,CASP3,DNAJB1,HSP90AA1,JUN,KLF6	0.16666666666666666	0	0.174846399114157	0.1193664342663011	0.0554799648478559	1.4647869829476736	0.0	0.05111755698613463	0.05036820914924244
GSE281048_Mixscale	TNFA	RELB	K562			0			0	-0.22103780349436197	-0.22103780349436197	2	IRF1,STAT1	1.0	0	0.032661239679244114	0.0278592788776383	6	ATF4,CASP3,DNAJB1,HSP90AA1,JUN,KLF6	0.8333333333333334	0	0.0	0.22103780349436197	-0.22103780349436197	0.0	0.032661239679244114	0.032661239679244114	-0.23573536135002182
GSE281048_Mixscale	TNFA	RELB	MCF7	-0.0285981007192078	-0.0285981007192078	1	RFX5	1.0	0	-0.1342566544881	-0.1342566544881	2	IRF1,STAT1	1.0	0	-0.03556569735736538	-0.0068799406599946	5	ATF4,DNAJB1,HSP90AA1,JUN,KLF6	0.4	0	0.0285981007192078	0.1342566544881	-0.10565855376889222	0.21301067591955097	0.0	0.03556569735736538	-0.10921512350462875
GSE281048_Mixscale	TNFA	REPIN1	A549	0.013258423122465501	0.013258423122465501	2	CTSS,RFX5	0.5	0	0.004687478863165002	0.0283659124521	3	GBP1,IFIT1,IRF1	0.3333333333333333	0	-0.10523941130234744	-0.09098896128962555	6	ATF4,DNAJB1,FOS,HSP90AA1,JUN,KLF6	0.16666666666666666	0	0.0	0.0	0.0	0.0	0.0	0.10523941130234744	-0.010523941130234745
GSE281048_Mixscale	TNFA	REPIN1	BXPC3	0.0129928672776736	0.0129928672776736	1	CTSS	0.0	0	-0.06807222446670826	-0.06807222446670826	2	GBP1,IRF1	1.0	0	0.13132070746841693	0.1270442828927555	6	ATF4,CASP3,DNAJB1,HSP90AA1,JUN,KLF6	1.0	0	0.0	0.06807222446670826	-0.06807222446670826	0.0	0.13132070746841693	0.13132070746841693	-0.12716654282749587
GSE281048_Mixscale	TNFA	REPIN1	HAP1			0			0			0			0	0.07903511051551894	0.0836646254069913	3	ATF4,HSP90AA1,KLF6	1.0	0	0.0	0.0	0.0	0.0	0.07903511051551894	0.07903511051551894	-0.035565799731983525
GSE281048_Mixscale	TNFA	REPIN1	HT29	-0.0354102815266686	-0.0354102815266686	1	CTSS	1.0	0	0.020927689625249834	0.0202144025202176	3	GBP1,IFIT1,IRF1	0.3333333333333333	0	0.10857887388780806	0.0744021331213863	7	ATF4,CASP3,DNAJB1,FOS,HSP90AA1,JUN,KLF6	1.0	0	0.0354102815266686	0.0	0.0354102815266686	0.35410281526668597	0.10857887388780806	0.10857887388780806	-0.013450211722845027
GSE281048_Mixscale	TNFA	REPIN1	K562			0			0	-0.10519869992615	-0.10519869992615	1	IRF1	1.0	0	0.04349863750297452	0.07334861975999671	6	ATF4,CASP3,DNAJB1,HSP90AA1,JUN,KLF6	0.6666666666666666	0	0.0	0.10519869992615	-0.10519869992615	0.0	0.04349863750297452	0.04349863750297452	-0.12477308680248854
