candidate	n_evidence_records	sources	best_direct_selectivity_score	best_direct_target_suppression	best_direct_target_vs_ifn_margin	direct_evidence_calls	gse162463_mhcii_low_gate_rank_if_available	nomination_strength	nomination_priority
Gsk3b_KO_unstimulated	1	mouse_macrophage_RNAseq	-0.2072887748916699	0.2667613312426131	-0.2046337781984121	target_suppression_not_selective		not_nominated	6
IFNG_positive_control	1	mouse_macrophage_RNAseq	-0.2096578136440336	0.0	0.0	null_or_wrong_direction		not_nominated	6
IKBKB	1	Mixscale_CRISPRi	-0.22439076640065025	0.17037445943240903	-0.16774519898359075	null_or_wrong_direction		not_nominated	6
Gsk3b	1	mouse_macrophage_CRISPR_screen					39.0	not_nominated_no_direct_transcript_effect	7
Med16	1	mouse_macrophage_CRISPR_screen					42.0	not_nominated_no_direct_transcript_effect	7
Ifngr1	1	mouse_macrophage_CRISPR_screen					8.0	not_nominated_no_direct_transcript_effect	7
Ifngr2	1	mouse_macrophage_CRISPR_screen					1.0	not_nominated_no_direct_transcript_effect	7
Jak1	1	mouse_macrophage_CRISPR_screen					37.0	not_nominated_no_direct_transcript_effect	7
Jak2	1	mouse_macrophage_CRISPR_screen					583.0	not_nominated_no_direct_transcript_effect	7
Stat1	1	mouse_macrophage_CRISPR_screen					44.0	not_nominated_no_direct_transcript_effect	7
Ciita	1	mouse_macrophage_CRISPR_screen					53.0	not_nominated_no_direct_transcript_effect	7
Rfx5	1	mouse_macrophage_CRISPR_screen					153.0	not_nominated_no_direct_transcript_effect	7
