gene	n_sgrna	MHCII_median_low_vs_high_log2	MHCII_mean_low_vs_high_log2	MHCII_positive_sgrna_fraction	MHCII_p	MHCII_t	CD40_median_low_vs_high_log2	CD40_mean_low_vs_high_log2	CD40_positive_sgrna_fraction	CD40_p	CD40_t	PDL1_median_low_vs_high_log2	PDL1_mean_low_vs_high_log2	PDL1_positive_sgrna_fraction	PDL1_p	PDL1_t	MHCII_fdr	MHCII_rank_required_low_vs_high	CD40_fdr	CD40_rank_required_low_vs_high	PDL1_fdr	PDL1_rank_required_low_vs_high
Arpc5	4	-0.8418626642083831	-0.882086973341951	0.25	0.41464725729906243	-0.9443775057724355	0.012503417415599394	0.25467419669036895	0.5	0.4770923409595551	0.8102732678452335	0.015107258773260591	-0.11277447498377088	0.5	0.6330559903348605	-0.5296362152185675	0.9291302535167016	10321.0	0.9102685614081316	5312.0	0.9135253945262387	4954.0
Atp5j2	4	-0.8421796198217738	-0.4308013390760232	0.25	0.6680692939892557	-0.47367485918275803	-0.17586903382016245	-0.006620165793166571	0.5	0.9929173351983988	-0.009635098452478142	1.6924024974915746	1.7820354059362433	1.0	0.004825316550536785	7.545982353049223	0.9587118528122807	10322.0	0.9988976791585885	6599.0	0.8688130809597039	149.0
Polr2j	4	-0.8438668317993969	-1.2202998144482036	0.5	0.4563173255971696	-0.8530681760909685	-2.919048319143978	-2.872201931142637	0.0	0.05119778415568287	-3.1517078842796558	-0.2531164520046073	-0.585413778674534	0.25	0.4667249090726239	-0.8314231219777538	0.9329864020481538	10323.0	0.889841996245348	11626.0	0.8730371921909581	7176.0
Nfe2l2	4	-0.8440558779356897	-0.81859548529408	0.25	0.15621308824661723	-1.8831163125089951	0.23520737713364773	0.3108460227324258	0.75	0.4979298973831151	0.7689207972801495	-0.060663988087789444	0.03583397444638825	0.25	0.9412834051566907	0.07998860310023663	0.9248624482023996	10324.0	0.9119232633087854	3792.0	0.9882623998395327	5806.0
Efl1	4	-0.8442530918695008	-1.1059591832048936	0.25	0.2849485555208519	-1.2984020754141519	0.27122922552748724	0.18107749112387153	0.75	0.6387265460416717	0.5204394851732008	-1.0645398594994342	-1.0745760780748572	0.0	0.09483751875388036	-2.4121075482108627	0.9291302535167016	10325.0	0.9345652437710612	3558.0	0.8688130809597039	10613.0
Fabp3	4	-0.8444620716106379	-1.6855045316950232	0.0	0.20407952751823183	-1.6180602390579912	0.5916679219505678	0.041325134020702925	0.5	0.981594195945905	0.02504181578690448	-0.6517026653155826	-0.7958420630418752	0.0	0.03108429622598491	-3.8431061858990505	0.9248624482023996	10326.0	0.9982429408975039	1827.0	0.8688130809597039	9352.0
Rnf114	4	-0.844530281471175	-0.6427849204695311	0.25	0.18148111689516758	-1.7331887903603969	1.2897891839402518	1.0198556531959286	0.75	0.21439448426114924	1.570193162781294	0.7979001268067654	0.7238063945647347	0.75	0.07540966015768867	2.6743634201871656	0.9248624482023996	10327.0	0.889841996245348	273.0	0.8688130809597039	1099.0
Drc3	4	-0.8450128210515452	-0.6163077788791389	0.25	0.37658631200769077	-1.0354893426286784	0.4676820784771555	-0.09160985472682803	0.75	0.9065057800420689	-0.1276447342145599	-1.2518425412096905	-1.1941434856750774	0.5	0.26127722359440847	-1.380617163680489	0.9291302535167016	10328.0	0.9837700125529194	2462.0	0.8688130809597039	10909.0
Prkrip1	4	-0.845035055974428	-1.5392018213617857	0.25	0.22495641731941296	-1.5237643858443992	0.0893267857229616	1.0271361520246436	0.75	0.4258157044062533	0.9191191901049078	0.12429290520066821	0.6926291305495424	0.5	0.37363276035010906	1.042920578159636	0.9248624482023996	10329.0	0.9063156717736436	4792.0	0.8688130809597039	4174.0
Apol7a	4	-0.8452154575714756	-0.7958778104661677	0.25	0.4574109104609744	-0.8507736532808672	0.23169216638764595	-0.21760404064426664	0.75	0.7907414080179749	-0.28994865494254074	0.06110834477487338	0.26200538048980093	0.75	0.6602560774572845	0.48599768057107506	0.9329864020481538	10330.0	0.9594711483442571	3812.0	0.9180734440123893	4609.0
Arsk	4	-0.8464811133974838	-1.7895126855453916	0.0	0.24984380558300445	-1.4232213492229755	0.3516314537446583	0.3282922993454433	0.5	0.3774681776221501	1.0332813929800826	-0.9664291086250567	-1.1333000039586831	0.25	0.1547660892229807	-1.8925394855882602	0.9276934958852244	10331.0	0.9045660221286685	3102.0	0.8688130809597039	10382.0
