truth	scenario	severity	replicate	seed	feature	metadata_auc	spearman_with_locked	residualized_auc	auc_attenuation	response_p	corr_p	existing_effect_flag	response_q	corr_q	calibrated_q10_flag	calibrated_q20_flag
synthetic_null	normalization_plus_depth	0.75	39	47724	steroid_exposure	0.5711111111111111	-0.1368157821617116	0.5166666666666667	-0.0022222222222222365	0.3548387096774194	0.3225806451612903	False	0.44354838709677424	0.44354838709677424	False	False
synthetic_null	normalization_plus_depth	1.0	0	47765	batch	0.5333333333333333	0.14853760599442167	0.6311111111111111	0.0022222222222222365	0.8387096774193549	0.3870967741935484	False	0.9318996415770608	0.4838709677419355	False	False
synthetic_null	normalization_plus_depth	1.0	0	47765	lane	0.5	0.21991281926446843	0.6577777777777778	-0.02444444444444449	1.0	0.0967741935483871	False	1.0	0.16129032258064516	False	False
synthetic_null	normalization_plus_depth	1.0	0	47765	sequencing_depth	0.7966666666666666	0.6719088635732149	0.5755555555555556	0.057777777777777706	0.03225806451612903	0.03225806451612903	True	0.06451612903225806	0.06451612903225806	True	True
synthetic_null	normalization_plus_depth	1.0	0	47765	rin	0.6177777777777778	-0.4345651569880523	0.5711111111111111	0.06222222222222218	0.16129032258064516	0.03225806451612903	True	0.23041474654377878	0.06451612903225806	True	True
synthetic_null	normalization_plus_depth	1.0	0	47765	steroid_exposure	0.6422222222222222	0.3477632675743263	0.7011111111111111	-0.06777777777777783	0.03225806451612903	0.03225806451612903	True	0.06451612903225806	0.06451612903225806	True	True
synthetic_null	normalization_plus_depth	1.0	1	47766	batch	0.55	0.340636439361532	0.72	0.014444444444444482	0.45161290322580644	0.03225806451612903	False	0.4838709677419355	0.10752688172043011	False	False
synthetic_null	normalization_plus_depth	1.0	1	47766	lane	0.5666666666666667	-0.3068531982251266	0.7122222222222222	0.022222222222222254	0.4838709677419355	0.06451612903225806	False	0.4838709677419355	0.16129032258064516	False	False
synthetic_null	normalization_plus_depth	1.0	1	47766	sequencing_depth	0.7211111111111111	0.8000555709919424	0.5877777777777777	0.14666666666666672	0.03225806451612903	0.03225806451612903	True	0.10752688172043011	0.10752688172043011	False	True
synthetic_null	normalization_plus_depth	1.0	1	47766	rin	0.6066666666666667	-0.09308141150319535	0.7133333333333334	0.02111111111111108	0.1935483870967742	0.4838709677419355	True	0.3225806451612903	0.4838709677419355	False	False
synthetic_null	normalization_plus_depth	1.0	1	47766	steroid_exposure	0.6288888888888888	0.09658238399555434	0.7466666666666667	-0.012222222222222245	0.0967741935483871	0.45161290322580644	True	0.1935483870967742	0.4838709677419355	False	True
synthetic_null	normalization_plus_depth	1.0	2	47767	batch	0.5	0.19097692199282787	0.8277777777777777	-0.004444444444444362	1.0	0.25806451612903225	False	1.0	0.43010752688172044	False	False
synthetic_null	normalization_plus_depth	1.0	2	47767	lane	0.5666666666666667	-0.054379047786731284	0.8144444444444444	0.008888888888888946	0.5483870967741935	0.6774193548387096	False	0.7834101382488479	0.7885304659498209	False	False
synthetic_null	normalization_plus_depth	1.0	2	47767	sequencing_depth	0.8211111111111111	0.6974159488746875	0.6433333333333333	0.18000000000000005	0.03225806451612903	0.03225806451612903	True	0.10752688172043011	0.10752688172043011	False	True
synthetic_null	normalization_plus_depth	1.0	2	47767	rin	0.65	-0.4899138649624896	0.7722222222222223	0.05111111111111111	0.06451612903225806	0.03225806451612903	True	0.16129032258064516	0.10752688172043011	False	True
synthetic_null	normalization_plus_depth	1.0	2	47767	steroid_exposure	0.5277777777777778	0.1761044734648514	0.8255555555555556	-0.0022222222222222365	0.7096774193548387	0.12903225806451613	False	0.7885304659498209	0.25806451612903225	False	False
synthetic_null	normalization_plus_depth	1.0	3	47768	batch	0.5166666666666666	0.2566973740747361	0.7122222222222222	-0.018888888888888844	1.0	0.06451612903225806	False	1.0	0.16129032258064516	False	False
synthetic_null	normalization_plus_depth	1.0	3	47768	lane	0.5333333333333333	0.19771142012480633	0.6877777777777778	0.005555555555555536	0.9032258064516129	0.16129032258064516	False	1.0	0.26881720430107525	False	False
synthetic_null	normalization_plus_depth	1.0	3	47768	sequencing_depth	0.75	0.6812447902195056	0.5266666666666666	0.16666666666666674	0.03225806451612903	0.03225806451612903	True	0.10752688172043011	0.10752688172043011	False	True
synthetic_null	normalization_plus_depth	1.0	3	47768	rin	0.6088888888888888	-0.4527924423450959	0.6522222222222223	0.0411111111111111	0.22580645161290322	0.03225806451612903	True	0.3225806451612903	0.10752688172043011	False	True
synthetic_null	normalization_plus_depth	1.0	3	47768	steroid_exposure	0.5211111111111111	0.2321200333425952	0.7055555555555556	-0.012222222222222245	0.7419354838709677	0.12903225806451613	False	0.9274193548387097	0.25806451612903225	False	False
synthetic_null	normalization_plus_depth	1.0	4	47769	batch	0.6	0.05049483008767905	0.7466666666666667	-0.01777777777777778	0.3225806451612903	0.6774193548387096	True	0.5376344086021505	0.846774193548387	False	False
synthetic_null	normalization_plus_depth	1.0	4	47769	lane	0.5	0.04272639468957458	0.7244444444444444	0.004444444444444473	1.0	0.8387096774193549	False	1.0	0.9318996415770608	False	False
synthetic_null	normalization_plus_depth	1.0	4	47769	sequencing_depth	0.7855555555555556	0.5527646568491248	0.58	0.14888888888888896	0.03225806451612903	0.03225806451612903	True	0.08064516129032258	0.08064516129032258	True	True
synthetic_null	normalization_plus_depth	1.0	4	47769	rin	0.7088888888888889	-0.47885523756599063	0.6344444444444445	0.09444444444444444	0.03225806451612903	0.03225806451612903	True	0.08064516129032258	0.08064516129032258	True	True
synthetic_null	normalization_plus_depth	1.0	4	47769	steroid_exposure	0.5533333333333333	-0.15698805223673248	0.7266666666666667	0.0022222222222222365	0.6129032258064516	0.25806451612903225	False	0.846774193548387	0.5161290322580645	False	False
synthetic_null	normalization_plus_depth	1.0	5	47770	batch	0.6	0.16204102472118725	0.7144444444444444	0.02777777777777779	0.16129032258064516	0.25806451612903225	True	0.3686635944700461	0.3686635944700461	False	False
synthetic_null	normalization_plus_depth	1.0	5	47770	lane	0.5333333333333333	0.046610612388626814	0.7466666666666667	-0.004444444444444473	0.7741935483870968	0.6774193548387096	False	0.7741935483870968	0.7526881720430106	False	False
synthetic_null	normalization_plus_depth	1.0	5	47770	sequencing_depth	0.7866666666666666	0.7342595165323702	0.5344444444444445	0.20777777777777773	0.03225806451612903	0.03225806451612903	True	0.10752688172043011	0.10752688172043011	False	True
synthetic_null	normalization_plus_depth	1.0	5	47770	rin	0.6288888888888888	-0.4933592664629064	0.72	0.022222222222222254	0.1935483870967742	0.03225806451612903	True	0.3686635944700461	0.10752688172043011	False	True
synthetic_null	normalization_plus_depth	1.0	5	47770	steroid_exposure	0.5488888888888889	0.2085579327590998	0.7411111111111112	0.0011111111111110628	0.5483870967741935	0.22580645161290322	False	0.6854838709677419	0.3686635944700461	False	False
synthetic_null	normalization_plus_depth	1.0	6	47771	batch	0.5166666666666666	0.09188708140208161	0.6788888888888889	-0.004444444444444473	1.0	0.41935483870967744	False	1.0	0.5990783410138248	False	False
synthetic_null	normalization_plus_depth	1.0	6	47771	lane	0.5666666666666667	0.14275042654009354	0.6777777777777778	-0.0033333333333334103	0.4838709677419355	0.41935483870967744	False	0.6048387096774194	0.5990783410138248	False	False
synthetic_null	normalization_plus_depth	1.0	6	47771	sequencing_depth	0.6933333333333334	0.6856904695748821	0.5355555555555556	0.13888888888888884	0.03225806451612903	0.03225806451612903	True	0.08064516129032258	0.08064516129032258	True	True
synthetic_null	normalization_plus_depth	1.0	6	47771	rin	0.7011111111111111	-0.5136426785218118	0.57	0.10444444444444445	0.03225806451612903	0.03225806451612903	True	0.08064516129032258	0.08064516129032258	True	True
synthetic_null	normalization_plus_depth	1.0	6	47771	steroid_exposure	0.5311111111111111	0.1796054459572104	0.6788888888888889	-0.004444444444444473	0.8064516129032258	0.1935483870967742	False	0.8960573476702509	0.3870967741935484	False	False
synthetic_null	normalization_plus_depth	1.0	7	47772	batch	0.5	0.10487387787441034	0.7244444444444444	-0.0033333333333332993	1.0	0.3548387096774194	False	1.0	0.5069124423963134	False	False
synthetic_null	normalization_plus_depth	1.0	7	47772	lane	0.55	0.25709943339574426	0.7455555555555555	-0.02444444444444438	0.4838709677419355	0.03225806451612903	False	0.6048387096774194	0.06451612903225806	False	False
synthetic_null	normalization_plus_depth	1.0	7	47772	sequencing_depth	0.7222222222222222	0.7086968602389554	0.6055555555555555	0.11555555555555563	0.03225806451612903	0.03225806451612903	True	0.06451612903225806	0.06451612903225806	True	True
synthetic_null	normalization_plus_depth	1.0	7	47772	rin	0.6588888888888889	-0.49063628785773833	0.6555555555555556	0.06555555555555559	0.03225806451612903	0.03225806451612903	True	0.06451612903225806	0.06451612903225806	True	True
synthetic_null	normalization_plus_depth	1.0	7	47772	steroid_exposure	0.5111111111111111	0.3068074465129203	0.7222222222222222	-0.0011111111111110628	0.9354838709677419	0.06451612903225806	False	1.0	0.10752688172043011	False	False
synthetic_null	normalization_plus_depth	1.0	8	47773	batch	0.5166666666666666	0.11510065986155486	0.7511111111111111	0.004444444444444473	1.0	0.5161290322580645	False	1.0	0.7373271889400922	False	False
synthetic_null	normalization_plus_depth	1.0	8	47773	lane	0.5166666666666666	0.12090405447642318	0.7633333333333333	-0.007777777777777772	1.0	0.2903225806451613	False	1.0	0.4838709677419355	False	False
synthetic_null	normalization_plus_depth	1.0	8	47773	sequencing_depth	0.8155555555555556	0.7696026674076133	0.5311111111111111	0.22444444444444445	0.03225806451612903	0.03225806451612903	True	0.08064516129032258	0.08064516129032258	True	True
synthetic_null	normalization_plus_depth	1.0	8	47773	rin	0.6777777777777778	-0.4433453737149209	0.6944444444444444	0.061111111111111116	0.06451612903225806	0.03225806451612903	True	0.12903225806451613	0.08064516129032258	True	True
synthetic_null	normalization_plus_depth	1.0	8	47773	steroid_exposure	0.5422222222222222	0.39883300916921377	0.77	-0.014444444444444482	0.7419354838709677	0.03225806451612903	True	0.9274193548387097	0.08064516129032258	True	True
synthetic_null	normalization_plus_depth	1.0	9	47774	batch	0.5166666666666666	-0.03385313525339849	0.7711111111111111	-0.0011111111111110628	1.0	0.8387096774193549	False	1.0	0.9318996415770608	False	False
synthetic_null	normalization_plus_depth	1.0	9	47774	lane	0.5833333333333333	-0.10155940576019547	0.76	0.010000000000000009	0.41935483870967744	0.3548387096774194	False	0.5241935483870968	0.5069124423963134	False	False
synthetic_null	normalization_plus_depth	1.0	9	47774	sequencing_depth	0.8377777777777777	0.678632953598222	0.5444444444444444	0.22555555555555562	0.03225806451612903	0.03225806451612903	True	0.08064516129032258	0.08064516129032258	True	True
synthetic_null	normalization_plus_depth	1.0	9	47774	rin	0.6977777777777778	-0.6378994165045847	0.6955555555555556	0.07444444444444442	0.03225806451612903	0.03225806451612903	True	0.08064516129032258	0.08064516129032258	True	True
synthetic_null	normalization_plus_depth	1.0	9	47774	steroid_exposure	0.56	0.24284523478744102	0.7855555555555556	-0.015555555555555545	0.3548387096774194	0.0967741935483871	False	0.5069124423963134	0.1935483870967742	False	False
synthetic_null	normalization_plus_depth	1.0	10	47775	batch	0.5833333333333333	-0.1688541662164614	0.7733333333333333	0.022222222222222254	0.2903225806451613	0.16129032258064516	False	0.3629032258064516	0.23041474654377878	False	False
synthetic_null	normalization_plus_depth	1.0	10	47775	lane	0.6	0.2306923269383971	0.7777777777777778	0.01777777777777778	0.12903225806451613	0.03225806451612903	True	0.21505376344086022	0.06451612903225806	False	False
synthetic_null	normalization_plus_depth	1.0	10	47775	sequencing_depth	0.8	0.7978327313142541	0.6022222222222222	0.19333333333333336	0.03225806451612903	0.03225806451612903	True	0.06451612903225806	0.06451612903225806	True	True
synthetic_null	normalization_plus_depth	1.0	10	47775	rin	0.7	-0.6010002778549599	0.7355555555555555	0.06000000000000005	0.03225806451612903	0.03225806451612903	True	0.06451612903225806	0.06451612903225806	True	True
synthetic_null	normalization_plus_depth	1.0	10	47775	steroid_exposure	0.5055555555555555	0.06779661016949153	0.7944444444444444	0.0011111111111111738	0.9354838709677419	0.8387096774193549	False	0.9354838709677418	0.9318996415770608	False	False
synthetic_null	normalization_plus_depth	1.0	11	47776	batch	0.5666666666666667	-0.057871794543281174	0.7155555555555555	0.0011111111111111738	0.5806451612903226	0.7096774193548387	False	0.7096774193548387	0.7096774193548387	False	False
synthetic_null	normalization_plus_depth	1.0	11	47776	lane	0.5666666666666667	0.07523333290626551	0.7122222222222222	0.004444444444444473	0.45161290322580644	0.6774193548387096	False	0.6451612903225806	0.7096774193548387	False	False
synthetic_null	normalization_plus_depth	1.0	11	47776	sequencing_depth	0.7777777777777778	0.5763267574326203	0.5711111111111111	0.14555555555555555	0.03225806451612903	0.03225806451612903	True	0.08064516129032258	0.08064516129032258	True	True
synthetic_null	normalization_plus_depth	1.0	11	47776	rin	0.6188888888888888	-0.4209502639622118	0.6833333333333333	0.033333333333333326	0.1935483870967742	0.03225806451612903	True	0.3870967741935484	0.08064516129032258	True	True
