pert_id	chembl_id	target_pref_name	target_chembl_id	target_organism	n_activity_rows	n_active_comments	best_pchembl	best_standard_nM	assay_types	activity_comments	example_assay
BRD-A72180425	CHEMBL1472126	HepG2	CHEMBL395	Homo sapiens	1	1		15848.9	F	active	PUBCHEM_BIOASSAY: qHTS for Inhibitors of TGF-b: Cytotox Counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588855, AID588860]
BRD-A72180425	CHEMBL1472126	Ataxin-2	CHEMBL1795085	Homo sapiens	1	1		12589.3	F	active	PubChem BioAssay. qHTS for Inhibitors of ATXN expression. (Class of assay: confirmatory) 
BRD-A72180425	CHEMBL1472126	Isocitrate dehydrogenase [NADP] cytoplasmic	CHEMBL2007625	Homo sapiens	1	1		2059.6	F	active	PubChem BioAssay. qHTS for induction of synthetic lethality in tumor cells producing 2HG: qHTS for the HT-1080-NT fibrosarcoma cell line. (Class of assay: confirmatory) 
BRD-A72180425	CHEMBL1472126	NON-PROTEIN TARGET	CHEMBL3879801		1	0	6.66	220.0	F		Cytotoxicity against human BJeLR cells expressing HRAS G12V mutant after 48 hrs by alamar blue assay
BRD-A72180425	CHEMBL1472126	Ras-related protein Rab-9A	CHEMBL1293294	Homo sapiens	1	0	6.05	891.3	F	Not Active	PUBCHEM_BIOASSAY: qHTS Assay for Rab9 Promoter Activators. (Class of assay: confirmatory) 
BRD-A72180425	CHEMBL1472126	ADMET	CHEMBL612558		2	0	5.77	1700.0	A		Cytotoxicity against human BJeH-LT cells after 48 hrs by alamar blue assay
BRD-A72180425	CHEMBL1472126	NPC intracellular cholesterol transporter 1	CHEMBL1293277	Homo sapiens	1	0	5.45	3548.1	F	Not Active	PUBCHEM_BIOASSAY: qHTS Assay for NPC1 Promoter Activators. (Class of assay: confirmatory) 
BRD-A72180425	CHEMBL1472126	Neuropeptide S receptor	CHEMBL5162	Homo sapiens	1	0	4.9	12589.3	F	Inconclusive	PUBCHEM_BIOASSAY: qHTS Assay for Antagonists of the Neuropeptide S Receptor: cAMP Signal Transduction. (Class of assay: confirmatory) 
BRD-A72180425	CHEMBL1472126	microRNA 21	CHEMBL1615322	Homo sapiens	2	0	4.78	16481.6	F	Inconclusive	PUBCHEM_BIOASSAY: qHTS Assay for Modulators of miRNAs and/or Activators of miR-21. (Class of assay: confirmatory) 
BRD-A72180425	CHEMBL1472126	Prelamin-A/C	CHEMBL1293235	Homo sapiens	1	0	4.45	35481.3	F	Inconclusive	PUBCHEM_BIOASSAY: qHTS Assay for Modulators of Lamin A Splicing. (Class of assay: confirmatory) 
BRD-A72180425	CHEMBL1472126	ATPase family AAA domain-containing protein 5	CHEMBL1741209	Homo sapiens	1	0		25929.0	F	inconclusive	PUBCHEM_BIOASSAY: qHTS screen for small molecules that inhibit ELG1-dependent DNA repair in human embryonic kidney (HEK293T) cells expressing luciferase-tagged ELG1. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID493107, AID493125]
BRD-A72180425	CHEMBL1472126	Vitamin D3 receptor	CHEMBL1977	Homo sapiens	1	0		70794.6	F	inconclusive	PUBCHEM_BIOASSAY: Inhibitors of the vitamin D receptor (VDR): qHTS. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID504855]
BRD-A72180425	CHEMBL1472126	DNA polymerase iota	CHEMBL5391	Homo sapiens	1	0		79432.8	F	inconclusive	PUBCHEM_BIOASSAY: qHTS for Inhibitors of Polymerase Iota. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588623]
BRD-A72180425	CHEMBL1472126	DNA polymerase eta	CHEMBL5542	Homo sapiens	1	0		31622.8	F	inconclusive	PUBCHEM_BIOASSAY: qHTS for Inhibitors of Polymerase Eta. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588636]
BRD-A72180425	CHEMBL1472126	Mothers against decapentaplegic homolog 3	CHEMBL1293258	Homo sapiens	1	0		25118.9	F	inconclusive	PUBCHEM_BIOASSAY: qHTS for Inhibitors of TGF-b. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID588856, AID588860]
BRD-A72180425	CHEMBL1472126	HEK293	CHEMBL614818	Homo sapiens	1	0		11582.1	F	inconclusive	PUBCHEM_BIOASSAY: qHTS for Inhibitors of binding or entry into cells for Lassa Virus. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463114, AID540249]
BRD-A72180425	CHEMBL1472126	DNA dC->dU-editing enzyme APOBEC-3F	CHEMBL2007626	Homo sapiens	1	0		10000.0	F	inconclusive	PUBCHEM_BIOASSAY: qHTS for Inhibitors of Vif-A3F Interactions: qHTS. (Class of assay: confirmatory) 
BRD-A72180425	CHEMBL1472126	Glucagon-like peptide 1 receptor	CHEMBL1784	Homo sapiens	1	0		10000.0	F	inconclusive	PubChem BioAssay. qHTS of GLP-1 Receptor Inverse Agonists (Inhibition Mode). (Class of assay: confirmatory) 
BRD-A72180425	CHEMBL1472126	Glycoprotein hormones alpha chain	CHEMBL2146305	Homo sapiens	1	0		354.8	F	inactive	PubChem BioAssay. qHTS for Activators of Integrin-Mediated Alleviation for Muscular Dystrophy. (Class of assay: confirmatory) 
BRD-A72180425	CHEMBL1472126	Nuclear factor erythroid 2-related factor 2	CHEMBL1075094	Homo sapiens	1	0		3162.3	F	inconclusive	PubChem BioAssay. qHTS of Nrf2 Activators. (Class of assay: confirmatory) 
BRD-A72180425	CHEMBL1472126	Parathyroid hormone/parathyroid hormone-related peptide receptor	CHEMBL1793	Homo sapiens	1	0		50118.7	F	inactive	PubChem BioAssay. qHTS of PTHR Inhibitors: Primary Screen.   (Class of assay: confirmatory) 
