gene	source	query	hit_count	error	url
CTSB	ClinicalTrials.gov	"CTSB OR ""cathepsin B"""	10.0		https://clinicaltrials.gov/search?term=CTSB+OR+%22cathepsin+B%22
CTSB	Google Patents URL	"CTSB ""cathepsin B"" autoimmune antigen presentation"			https://patents.google.com/?q=CTSB+%22cathepsin+B%22+autoimmune+antigen+presentation
CTSB	Espacenet URL	"CTSB ""cathepsin B"" autoimmune antigen presentation"			https://worldwide.espacenet.com/patent/search?q=CTSB+%22cathepsin+B%22+autoimmune+antigen+presentation
CTSL	EuropePMC	"(CTSL OR ""cathepsin L"") AND (""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR ""ulcerative colitis"" OR psoriasis OR ""type 1 diabetes"" OR Sjogren OR ""ankylosing spondylitis"" OR celiac OR ""autoimmune thyroid"" OR ""primary biliary cholangitis"" OR autoimmune)"	3145.0		https://europepmc.org/search?query=%28CTSL+OR+%22cathepsin+L%22%29+AND+%28%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+%22type+1+diabetes%22+OR+Sjogren+OR+%22ankylosing+spondylitis%22+OR+celiac+OR+%22autoimmune+thyroid%22+OR+%22primary+biliary+cholangitis%22+OR+autoimmune%29
CTSL	EuropePMC	"(CTSL OR ""cathepsin L"") AND (""MHC class II"" OR HLA OR CD74 OR CIITA OR ""antigen presentation"")"	2628.0		https://europepmc.org/search?query=%28CTSL+OR+%22cathepsin+L%22%29+AND+%28%22MHC+class+II%22+OR+HLA+OR+CD74+OR+CIITA+OR+%22antigen+presentation%22%29
CTSL	EuropePMC	"(CTSL OR ""cathepsin L"") AND (inhibitor OR antagonist OR antibody OR trial OR therapeutic)"	13433.0		https://europepmc.org/search?query=%28CTSL+OR+%22cathepsin+L%22%29+AND+%28inhibitor+OR+antagonist+OR+antibody+OR+trial+OR+therapeutic%29
CTSL	ClinicalTrials.gov	"CTSL OR ""cathepsin L"""	8.0		https://clinicaltrials.gov/search?term=CTSL+OR+%22cathepsin+L%22
CTSL	Google Patents URL	"CTSL ""cathepsin L"" autoimmune antigen presentation"			https://patents.google.com/?q=CTSL+%22cathepsin+L%22+autoimmune+antigen+presentation
CTSL	Espacenet URL	"CTSL ""cathepsin L"" autoimmune antigen presentation"			https://worldwide.espacenet.com/patent/search?q=CTSL+%22cathepsin+L%22+autoimmune+antigen+presentation
CTSD	EuropePMC	"(CTSD OR ""cathepsin D"") AND (""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR ""ulcerative colitis"" OR psoriasis OR ""type 1 diabetes"" OR Sjogren OR ""ankylosing spondylitis"" OR celiac OR ""autoimmune thyroid"" OR ""primary biliary cholangitis"" OR autoimmune)"	3815.0		https://europepmc.org/search?query=%28CTSD+OR+%22cathepsin+D%22%29+AND+%28%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+%22type+1+diabetes%22+OR+Sjogren+OR+%22ankylosing+spondylitis%22+OR+celiac+OR+%22autoimmune+thyroid%22+OR+%22primary+biliary+cholangitis%22+OR+autoimmune%29
CTSD	EuropePMC	"(CTSD OR ""cathepsin D"") AND (""MHC class II"" OR HLA OR CD74 OR CIITA OR ""antigen presentation"")"	3149.0		https://europepmc.org/search?query=%28CTSD+OR+%22cathepsin+D%22%29+AND+%28%22MHC+class+II%22+OR+HLA+OR+CD74+OR+CIITA+OR+%22antigen+presentation%22%29
CTSD	EuropePMC	"(CTSD OR ""cathepsin D"") AND (inhibitor OR antagonist OR antibody OR trial OR therapeutic)"	17639.0		https://europepmc.org/search?query=%28CTSD+OR+%22cathepsin+D%22%29+AND+%28inhibitor+OR+antagonist+OR+antibody+OR+trial+OR+therapeutic%29
CTSD	ClinicalTrials.gov	"CTSD OR ""cathepsin D"""	10.0		https://clinicaltrials.gov/search?term=CTSD+OR+%22cathepsin+D%22
CTSD	Google Patents URL	"CTSD ""cathepsin D"" autoimmune antigen presentation"			https://patents.google.com/?q=CTSD+%22cathepsin+D%22+autoimmune+antigen+presentation
CTSD	Espacenet URL	"CTSD ""cathepsin D"" autoimmune antigen presentation"			https://worldwide.espacenet.com/patent/search?q=CTSD+%22cathepsin+D%22+autoimmune+antigen+presentation
IFI30	EuropePMC	"(IFI30 OR GILT OR ""gamma-interferon-inducible lysosomal thiol reductase"") AND (""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR ""ulcerative colitis"" OR psoriasis OR ""type 1 diabetes"" OR Sjogren OR ""ankylosing spondylitis"" OR celiac OR ""autoimmune thyroid"" OR ""primary biliary cholangitis"" OR autoimmune)"	1613.0		https://europepmc.org/search?query=%28IFI30+OR+GILT+OR+%22gamma-interferon-inducible+lysosomal+thiol+reductase%22%29+AND+%28%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+%22type+1+diabetes%22+OR+Sjogren+OR+%22ankylosing+spondylitis%22+OR+celiac+OR+%22autoimmune+thyroid%22+OR+%22primary+biliary+cholangitis%22+OR+autoimmune%29
IFI30	EuropePMC	"(IFI30 OR GILT OR ""gamma-interferon-inducible lysosomal thiol reductase"") AND (""MHC class II"" OR HLA OR CD74 OR CIITA OR ""antigen presentation"")"	1524.0		https://europepmc.org/search?query=%28IFI30+OR+GILT+OR+%22gamma-interferon-inducible+lysosomal+thiol+reductase%22%29+AND+%28%22MHC+class+II%22+OR+HLA+OR+CD74+OR+CIITA+OR+%22antigen+presentation%22%29
IFI30	EuropePMC	"(IFI30 OR GILT OR ""gamma-interferon-inducible lysosomal thiol reductase"") AND (inhibitor OR antagonist OR antibody OR trial OR therapeutic)"	5270.0		https://europepmc.org/search?query=%28IFI30+OR+GILT+OR+%22gamma-interferon-inducible+lysosomal+thiol+reductase%22%29+AND+%28inhibitor+OR+antagonist+OR+antibody+OR+trial+OR+therapeutic%29
IFI30	ClinicalTrials.gov	"IFI30 OR GILT OR ""gamma-interferon-inducible lysosomal thiol reductase"""	8.0		https://clinicaltrials.gov/search?term=IFI30+OR+GILT+OR+%22gamma-interferon-inducible+lysosomal+thiol+reductase%22
IFI30	Google Patents URL	IFI30 GILT autoimmune antigen presentation			https://patents.google.com/?q=IFI30+GILT+autoimmune+antigen+presentation
IFI30	Espacenet URL	IFI30 GILT autoimmune antigen presentation			https://worldwide.espacenet.com/patent/search?q=IFI30+GILT+autoimmune+antigen+presentation
HLA-DMA	EuropePMC	"(""HLA-DMA"" OR ""HLA-DM"") AND (""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR ""ulcerative colitis"" OR psoriasis OR ""type 1 diabetes"" OR Sjogren OR ""ankylosing spondylitis"" OR celiac OR ""autoimmune thyroid"" OR ""primary biliary cholangitis"" OR autoimmune)"	1326.0		https://europepmc.org/search?query=%28%22HLA-DMA%22+OR+%22HLA-DM%22%29+AND+%28%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+%22type+1+diabetes%22+OR+Sjogren+OR+%22ankylosing+spondylitis%22+OR+celiac+OR+%22autoimmune+thyroid%22+OR+%22primary+biliary+cholangitis%22+OR+autoimmune%29
HLA-DMA	EuropePMC	"(""HLA-DMA"" OR ""HLA-DM"") AND (""MHC class II"" OR HLA OR CD74 OR CIITA OR ""antigen presentation"")"	3387.0		https://europepmc.org/search?query=%28%22HLA-DMA%22+OR+%22HLA-DM%22%29+AND+%28%22MHC+class+II%22+OR+HLA+OR+CD74+OR+CIITA+OR+%22antigen+presentation%22%29
HLA-DMA	EuropePMC	"(""HLA-DMA"" OR ""HLA-DM"") AND (inhibitor OR antagonist OR antibody OR trial OR therapeutic)"	2623.0		https://europepmc.org/search?query=%28%22HLA-DMA%22+OR+%22HLA-DM%22%29+AND+%28inhibitor+OR+antagonist+OR+antibody+OR+trial+OR+therapeutic%29
HLA-DMA	ClinicalTrials.gov	"""HLA-DMA"" OR ""HLA-DM"""	1.0		https://clinicaltrials.gov/search?term=%22HLA-DMA%22+OR+%22HLA-DM%22
HLA-DMA	Google Patents URL	"""HLA-DMA"" ""HLA-DM"" autoimmune antigen presentation"			https://patents.google.com/?q=%22HLA-DMA%22+%22HLA-DM%22+autoimmune+antigen+presentation
HLA-DMA	Espacenet URL	"""HLA-DMA"" ""HLA-DM"" autoimmune antigen presentation"			https://worldwide.espacenet.com/patent/search?q=%22HLA-DMA%22+%22HLA-DM%22+autoimmune+antigen+presentation
HLA-DMB	EuropePMC	"(""HLA-DMB"" OR ""HLA-DM"") AND (""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR ""ulcerative colitis"" OR psoriasis OR ""type 1 diabetes"" OR Sjogren OR ""ankylosing spondylitis"" OR celiac OR ""autoimmune thyroid"" OR ""primary biliary cholangitis"" OR autoimmune)"	1286.0		https://europepmc.org/search?query=%28%22HLA-DMB%22+OR+%22HLA-DM%22%29+AND+%28%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+%22type+1+diabetes%22+OR+Sjogren+OR+%22ankylosing+spondylitis%22+OR+celiac+OR+%22autoimmune+thyroid%22+OR+%22primary+biliary+cholangitis%22+OR+autoimmune%29
HLA-DMB	EuropePMC	"(""HLA-DMB"" OR ""HLA-DM"") AND (""MHC class II"" OR HLA OR CD74 OR CIITA OR ""antigen presentation"")"	3309.0		https://europepmc.org/search?query=%28%22HLA-DMB%22+OR+%22HLA-DM%22%29+AND+%28%22MHC+class+II%22+OR+HLA+OR+CD74+OR+CIITA+OR+%22antigen+presentation%22%29
HLA-DMB	EuropePMC	"(""HLA-DMB"" OR ""HLA-DM"") AND (inhibitor OR antagonist OR antibody OR trial OR therapeutic)"	2541.0		https://europepmc.org/search?query=%28%22HLA-DMB%22+OR+%22HLA-DM%22%29+AND+%28inhibitor+OR+antagonist+OR+antibody+OR+trial+OR+therapeutic%29
HLA-DMB	ClinicalTrials.gov	"""HLA-DMB"" OR ""HLA-DM"""	1.0		https://clinicaltrials.gov/search?term=%22HLA-DMB%22+OR+%22HLA-DM%22
HLA-DMB	Google Patents URL	"""HLA-DMB"" ""HLA-DM"" autoimmune antigen presentation"			https://patents.google.com/?q=%22HLA-DMB%22+%22HLA-DM%22+autoimmune+antigen+presentation
HLA-DMB	Espacenet URL	"""HLA-DMB"" ""HLA-DM"" autoimmune antigen presentation"			https://worldwide.espacenet.com/patent/search?q=%22HLA-DMB%22+%22HLA-DM%22+autoimmune+antigen+presentation
LIPA	EuropePMC	"(LIPA OR ""lysosomal acid lipase"") AND (""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR ""ulcerative colitis"" OR psoriasis OR ""type 1 diabetes"" OR Sjogren OR ""ankylosing spondylitis"" OR celiac OR ""autoimmune thyroid"" OR ""primary biliary cholangitis"" OR autoimmune)"	1749.0		https://europepmc.org/search?query=%28LIPA+OR+%22lysosomal+acid+lipase%22%29+AND+%28%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+%22type+1+diabetes%22+OR+Sjogren+OR+%22ankylosing+spondylitis%22+OR+celiac+OR+%22autoimmune+thyroid%22+OR+%22primary+biliary+cholangitis%22+OR+autoimmune%29
LIPA	EuropePMC	"(LIPA OR ""lysosomal acid lipase"") AND (""MHC class II"" OR HLA OR CD74 OR CIITA OR ""antigen presentation"")"	1294.0		https://europepmc.org/search?query=%28LIPA+OR+%22lysosomal+acid+lipase%22%29+AND+%28%22MHC+class+II%22+OR+HLA+OR+CD74+OR+CIITA+OR+%22antigen+presentation%22%29
LIPA	EuropePMC	"(LIPA OR ""lysosomal acid lipase"") AND (inhibitor OR antagonist OR antibody OR trial OR therapeutic)"	6882.0		https://europepmc.org/search?query=%28LIPA+OR+%22lysosomal+acid+lipase%22%29+AND+%28inhibitor+OR+antagonist+OR+antibody+OR+trial+OR+therapeutic%29
LIPA	ClinicalTrials.gov	"LIPA OR ""lysosomal acid lipase"""	10.0		https://clinicaltrials.gov/search?term=LIPA+OR+%22lysosomal+acid+lipase%22
LIPA	Google Patents URL	"LIPA ""lysosomal acid lipase"" autoimmune antigen presentation"			https://patents.google.com/?q=LIPA+%22lysosomal+acid+lipase%22+autoimmune+antigen+presentation
LIPA	Espacenet URL	"LIPA ""lysosomal acid lipase"" autoimmune antigen presentation"			https://worldwide.espacenet.com/patent/search?q=LIPA+%22lysosomal+acid+lipase%22+autoimmune+antigen+presentation
LAPTM5	EuropePMC	"(LAPTM5) AND (""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR ""ulcerative colitis"" OR psoriasis OR ""type 1 diabetes"" OR Sjogren OR ""ankylosing spondylitis"" OR celiac OR ""autoimmune thyroid"" OR ""primary biliary cholangitis"" OR autoimmune)"	325.0		https://europepmc.org/search?query=%28LAPTM5%29+AND+%28%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+%22type+1+diabetes%22+OR+Sjogren+OR+%22ankylosing+spondylitis%22+OR+celiac+OR+%22autoimmune+thyroid%22+OR+%22primary+biliary+cholangitis%22+OR+autoimmune%29
LAPTM5	EuropePMC	"(LAPTM5) AND (""MHC class II"" OR HLA OR CD74 OR CIITA OR ""antigen presentation"")"	507.0		https://europepmc.org/search?query=%28LAPTM5%29+AND+%28%22MHC+class+II%22+OR+HLA+OR+CD74+OR+CIITA+OR+%22antigen+presentation%22%29
LAPTM5	EuropePMC	(LAPTM5) AND (inhibitor OR antagonist OR antibody OR trial OR therapeutic)	1119.0		https://europepmc.org/search?query=%28LAPTM5%29+AND+%28inhibitor+OR+antagonist+OR+antibody+OR+trial+OR+therapeutic%29
LAPTM5	ClinicalTrials.gov	LAPTM5	0.0		https://clinicaltrials.gov/search?term=LAPTM5
LAPTM5	Google Patents URL	LAPTM5 autoimmune antigen presentation			https://patents.google.com/?q=LAPTM5+autoimmune+antigen+presentation
LAPTM5	Espacenet URL	LAPTM5 autoimmune antigen presentation			https://worldwide.espacenet.com/patent/search?q=LAPTM5+autoimmune+antigen+presentation
LGALS3	EuropePMC	"(LGALS3 OR galectin-3) AND (""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR ""ulcerative colitis"" OR psoriasis OR ""type 1 diabetes"" OR Sjogren OR ""ankylosing spondylitis"" OR celiac OR ""autoimmune thyroid"" OR ""primary biliary cholangitis"" OR autoimmune)"	11842.0		https://europepmc.org/search?query=%28LGALS3+OR+galectin-3%29+AND+%28%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+%22type+1+diabetes%22+OR+Sjogren+OR+%22ankylosing+spondylitis%22+OR+celiac+OR+%22autoimmune+thyroid%22+OR+%22primary+biliary+cholangitis%22+OR+autoimmune%29
LGALS3	EuropePMC	"(LGALS3 OR galectin-3) AND (""MHC class II"" OR HLA OR CD74 OR CIITA OR ""antigen presentation"")"	9993.0		https://europepmc.org/search?query=%28LGALS3+OR+galectin-3%29+AND+%28%22MHC+class+II%22+OR+HLA+OR+CD74+OR+CIITA+OR+%22antigen+presentation%22%29
LGALS3	EuropePMC	(LGALS3 OR galectin-3) AND (inhibitor OR antagonist OR antibody OR trial OR therapeutic)	36673.0		https://europepmc.org/search?query=%28LGALS3+OR+galectin-3%29+AND+%28inhibitor+OR+antagonist+OR+antibody+OR+trial+OR+therapeutic%29
LGALS3	ClinicalTrials.gov	LGALS3 OR galectin-3	10.0		https://clinicaltrials.gov/search?term=LGALS3+OR+galectin-3
LGALS3	Google Patents URL	LGALS3 galectin-3 autoimmune antigen presentation			https://patents.google.com/?q=LGALS3+galectin-3+autoimmune+antigen+presentation
LGALS3	Espacenet URL	LGALS3 galectin-3 autoimmune antigen presentation			https://worldwide.espacenet.com/patent/search?q=LGALS3+galectin-3+autoimmune+antigen+presentation
LGALS9	EuropePMC	"(LGALS9 OR galectin-9) AND (""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR ""ulcerative colitis"" OR psoriasis OR ""type 1 diabetes"" OR Sjogren OR ""ankylosing spondylitis"" OR celiac OR ""autoimmune thyroid"" OR ""primary biliary cholangitis"" OR autoimmune)"	10645.0		https://europepmc.org/search?query=%28LGALS9+OR+galectin-9%29+AND+%28%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+%22type+1+diabetes%22+OR+Sjogren+OR+%22ankylosing+spondylitis%22+OR+celiac+OR+%22autoimmune+thyroid%22+OR+%22primary+biliary+cholangitis%22+OR+autoimmune%29
LGALS9	EuropePMC	"(LGALS9 OR galectin-9) AND (""MHC class II"" OR HLA OR CD74 OR CIITA OR ""antigen presentation"")"	9380.0		https://europepmc.org/search?query=%28LGALS9+OR+galectin-9%29+AND+%28%22MHC+class+II%22+OR+HLA+OR+CD74+OR+CIITA+OR+%22antigen+presentation%22%29
LGALS9	EuropePMC	(LGALS9 OR galectin-9) AND (inhibitor OR antagonist OR antibody OR trial OR therapeutic)	31357.0		https://europepmc.org/search?query=%28LGALS9+OR+galectin-9%29+AND+%28inhibitor+OR+antagonist+OR+antibody+OR+trial+OR+therapeutic%29
LGALS9	ClinicalTrials.gov	LGALS9 OR galectin-9	10.0		https://clinicaltrials.gov/search?term=LGALS9+OR+galectin-9
LGALS9	Google Patents URL	LGALS9 galectin-9 autoimmune antigen presentation			https://patents.google.com/?q=LGALS9+galectin-9+autoimmune+antigen+presentation
LGALS9	Espacenet URL	LGALS9 galectin-9 autoimmune antigen presentation			https://worldwide.espacenet.com/patent/search?q=LGALS9+galectin-9+autoimmune+antigen+presentation
CD44	EuropePMC	"(CD44) AND (""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR ""ulcerative colitis"" OR psoriasis OR ""type 1 diabetes"" OR Sjogren OR ""ankylosing spondylitis"" OR celiac OR ""autoimmune thyroid"" OR ""primary biliary cholangitis"" OR autoimmune)"	28750.0		https://europepmc.org/search?query=%28CD44%29+AND+%28%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+%22type+1+diabetes%22+OR+Sjogren+OR+%22ankylosing+spondylitis%22+OR+celiac+OR+%22autoimmune+thyroid%22+OR+%22primary+biliary+cholangitis%22+OR+autoimmune%29
CD44	EuropePMC	"(CD44) AND (""MHC class II"" OR HLA OR CD74 OR CIITA OR ""antigen presentation"")"	29595.0		https://europepmc.org/search?query=%28CD44%29+AND+%28%22MHC+class+II%22+OR+HLA+OR+CD74+OR+CIITA+OR+%22antigen+presentation%22%29
CD44	EuropePMC	(CD44) AND (inhibitor OR antagonist OR antibody OR trial OR therapeutic)	110318.0		https://europepmc.org/search?query=%28CD44%29+AND+%28inhibitor+OR+antagonist+OR+antibody+OR+trial+OR+therapeutic%29
CD44	ClinicalTrials.gov	CD44	10.0		https://clinicaltrials.gov/search?term=CD44
CD44	Google Patents URL	CD44 autoimmune antigen presentation			https://patents.google.com/?q=CD44+autoimmune+antigen+presentation
CD44	Espacenet URL	CD44 autoimmune antigen presentation			https://worldwide.espacenet.com/patent/search?q=CD44+autoimmune+antigen+presentation
SNX10	EuropePMC	"(SNX10) AND (""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR ""ulcerative colitis"" OR psoriasis OR ""type 1 diabetes"" OR Sjogren OR ""ankylosing spondylitis"" OR celiac OR ""autoimmune thyroid"" OR ""primary biliary cholangitis"" OR autoimmune)"	188.0		https://europepmc.org/search?query=%28SNX10%29+AND+%28%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+%22type+1+diabetes%22+OR+Sjogren+OR+%22ankylosing+spondylitis%22+OR+celiac+OR+%22autoimmune+thyroid%22+OR+%22primary+biliary+cholangitis%22+OR+autoimmune%29
SNX10	EuropePMC	"(SNX10) AND (""MHC class II"" OR HLA OR CD74 OR CIITA OR ""antigen presentation"")"	185.0		https://europepmc.org/search?query=%28SNX10%29+AND+%28%22MHC+class+II%22+OR+HLA+OR+CD74+OR+CIITA+OR+%22antigen+presentation%22%29
SNX10	EuropePMC	(SNX10) AND (inhibitor OR antagonist OR antibody OR trial OR therapeutic)	577.0		https://europepmc.org/search?query=%28SNX10%29+AND+%28inhibitor+OR+antagonist+OR+antibody+OR+trial+OR+therapeutic%29
SNX10	ClinicalTrials.gov	SNX10	0.0		https://clinicaltrials.gov/search?term=SNX10
SNX10	Google Patents URL	SNX10 autoimmune antigen presentation			https://patents.google.com/?q=SNX10+autoimmune+antigen+presentation
SNX10	Espacenet URL	SNX10 autoimmune antigen presentation			https://worldwide.espacenet.com/patent/search?q=SNX10+autoimmune+antigen+presentation
RAB5A	EuropePMC	"(RAB5A) AND (""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR ""ulcerative colitis"" OR psoriasis OR ""type 1 diabetes"" OR Sjogren OR ""ankylosing spondylitis"" OR celiac OR ""autoimmune thyroid"" OR ""primary biliary cholangitis"" OR autoimmune)"	478.0		https://europepmc.org/search?query=%28RAB5A%29+AND+%28%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+%22type+1+diabetes%22+OR+Sjogren+OR+%22ankylosing+spondylitis%22+OR+celiac+OR+%22autoimmune+thyroid%22+OR+%22primary+biliary+cholangitis%22+OR+autoimmune%29
RAB5A	EuropePMC	"(RAB5A) AND (""MHC class II"" OR HLA OR CD74 OR CIITA OR ""antigen presentation"")"	482.0		https://europepmc.org/search?query=%28RAB5A%29+AND+%28%22MHC+class+II%22+OR+HLA+OR+CD74+OR+CIITA+OR+%22antigen+presentation%22%29
