visual	scenario	check	status	detail
RESEARCH_EVOLUTION_V55.svg	print_portrait_model	label_delivery	PASS	effective min font=6.16px; mode=TEXT_EQUIVALENT_REQUIRED
RESEARCH_EVOLUTION_V55.svg	print_portrait_model	browser_fit	PASS	ready=True; frame=672.0; image=672.0; scroll=704.0; requested_viewport=704; actual_viewport=704.0; stderr_present=True
RESEARCH_MAP_V55.svg	all	source_exists	PASS	/Users/soeren.leibach/Projects/ms-auto-research/docs/onboarding/visuals/RESEARCH_MAP_V55.svg
RESEARCH_MAP_V55.svg	all	full_text_equivalent	PASS	nearby visible text equivalent
RESEARCH_MAP_V55.svg	all	canvas_and_font_parse	PASS	1200x900; native min font=11.0px
RESEARCH_MAP_V55.svg	mobile	label_delivery	PASS	effective min font=3.01px; mode=TEXT_EQUIVALENT_REQUIRED
RESEARCH_MAP_V55.svg	mobile	browser_fit	PASS	ready=True; frame=328.0; image=328.0; scroll=500.0; requested_viewport=360; actual_viewport=500.0; stderr_present=False
RESEARCH_MAP_V55.svg	tablet	label_delivery	PASS	effective min font=6.45px; mode=TEXT_EQUIVALENT_REQUIRED
RESEARCH_MAP_V55.svg	tablet	browser_fit	PASS	ready=True; frame=704.0; image=704.0; scroll=768.0; requested_viewport=768; actual_viewport=768.0; stderr_present=True
RESEARCH_MAP_V55.svg	print_portrait_model	label_delivery	PASS	effective min font=6.16px; mode=TEXT_EQUIVALENT_REQUIRED
RESEARCH_MAP_V55.svg	print_portrait_model	browser_fit	PASS	ready=True; frame=672.0; image=672.0; scroll=704.0; requested_viewport=704; actual_viewport=704.0; stderr_present=True
__suite__	all	no_heavy_render_artifacts	PASS	none
