pathway	perturbation	gene	n_cell_types	mean_log2fc	median_log2fc	negative_fraction	sig_negative_fdr05	sig_positive_fdr05
IFNB	TYK2	CD44	5	0.2453318945039896	0.183071846342528	0.0	0	2
IFNB	TYK2	CTSS	3	-0.8693037611763684	-0.980534180190726	1.0	2	0
IFNB	TYK2	GBP1	4	-1.3373987940013985	-1.301861437219105	1.0	4	0
IFNB	TYK2	IRF1	5	-0.7861801949704907	-0.734330452268773	1.0	5	0
IFNB	TYK2	NLRC5	5	-1.2898046345649112	-1.2358768238697	1.0	5	0
IFNB	TYK2	STAT1	6	-0.8265968322043116	-0.869698517525131	1.0	6	0
IFNB	TYK2	TAP1	6	-1.3202876558889425	-1.45536738496748	1.0	6	0
IFNB	TYK2	TAP2	6	-0.6940112497295231	-0.5874423907004129	1.0	6	0
IFNG	IFNGR1	CD44	4	0.2168174715310525	0.2724064404785845	0.25	0	3
IFNG	IFNGR1	CTSS	3	-1.44174682728014	-1.46950979089488	1.0	3	0
IFNG	IFNGR1	GBP1	5	-1.6575858488139	-1.63590857179456	1.0	5	0
IFNG	IFNGR1	GBP2	5	-1.525723907112648	-1.54596563084059	1.0	5	0
IFNG	IFNGR1	IRF1	6	-1.5207456076961716	-1.471370136516005	1.0	6	0
IFNG	IFNGR1	NLRC5	6	-1.42504347741619	-1.50056415028086	1.0	6	0
IFNG	IFNGR1	STAT1	6	-1.2600000512727367	-1.26658679446692	1.0	6	0
IFNG	IFNGR1	TAP1	6	-1.590215937723885	-1.56589137123455	1.0	6	0
IFNG	IFNGR1	TAP2	6	-1.3968881390998484	-1.32517659718608	1.0	6	0
IFNG	IFNGR2	CD44	4	0.0942103405651907	0.0771002143128177	0.0	0	2
IFNG	IFNGR2	CTSS	3	-1.47354277692381	-1.57273394150872	1.0	3	0
IFNG	IFNGR2	GBP1	5	-1.6070186235819102	-1.68568834244923	1.0	5	0
IFNG	IFNGR2	GBP2	5	-1.5517055873589958	-1.55085230052783	1.0	5	0
IFNG	IFNGR2	IRF1	6	-1.4624274501593515	-1.594314913585535	1.0	6	0
IFNG	IFNGR2	NLRC5	6	-1.4525188859778635	-1.4412790266572602	1.0	6	0
IFNG	IFNGR2	STAT1	6	-1.2159159503332024	-1.30723942961182	1.0	6	0
IFNG	IFNGR2	TAP1	6	-1.6162842757165732	-1.69599683290026	1.0	6	0
IFNG	IFNGR2	TAP2	6	-1.318417465166837	-1.3688895592031098	1.0	6	0
IFNG	IRF1	CD44	4	0.0840910597372877	0.0490565449332927	0.5	0	0
IFNG	IRF1	CTSS	3	-0.0853126500133161	-0.142987387415394	0.6666666666666666	2	0
IFNG	IRF1	GBP1	5	-0.3537965885363205	-0.0977303502319342	1.0	5	0
IFNG	IRF1	GBP2	5	-0.3250346844414866	-0.0195448889652021	0.8	2	0
IFNG	IRF1	IRF1	6	-0.4512145789172441	-0.2644989735977285	1.0	5	0
IFNG	IRF1	NLRC5	6	-0.0569198337257719	-0.0609165750604897	0.8333333333333334	2	0
IFNG	IRF1	STAT1	6	-0.0604373804512672	-0.0447260573721439	0.6666666666666666	4	0
IFNG	IRF1	TAP1	6	-0.0539836287117687	-0.0003919721480422	0.5	2	0
IFNG	IRF1	TAP2	6	-0.1914868005135156	-0.1072464364557992	1.0	5	0
IFNG	JAK1	CD44	4	0.1078805729482414	0.1090262675634311	0.0	0	3
IFNG	JAK1	CTSS	3	-1.0080193274010216	-0.92830740041449	1.0	3	0
IFNG	JAK1	GBP1	5	-1.035698382426809	-1.11306868174785	1.0	5	0
IFNG	JAK1	GBP2	5	-1.1090464193701242	-1.19891662048821	1.0	5	0
IFNG	JAK1	IRF1	6	-0.8125635700285003	-0.755438559251887	1.0	6	0
IFNG	JAK1	NLRC5	6	-0.6918604146393137	-0.4477835302202965	1.0	6	0
IFNG	JAK1	STAT1	6	-0.6614511925910929	-0.517312918439789	1.0	6	0
IFNG	JAK1	TAP1	6	-0.9076323748142032	-0.8201006063275456	1.0	6	0
IFNG	JAK1	TAP2	6	-0.7423052777739069	-0.663493026137525	1.0	6	0
IFNG	JAK2	CD44	4	0.1404743954043533	0.172960532771516	0.25	0	2
IFNG	JAK2	CTSS	3	-1.15322747881956	-1.16518488463565	1.0	3	0
IFNG	JAK2	GBP1	5	-1.2432341982295407	-1.16928450359024	1.0	5	0
IFNG	JAK2	GBP2	5	-1.2749589967003057	-1.30857691621032	1.0	5	0
IFNG	JAK2	IRF1	6	-1.1754376730787557	-1.290125100240545	1.0	6	0
IFNG	JAK2	NLRC5	6	-1.0356504682586465	-0.992216115811695	1.0	6	0
IFNG	JAK2	STAT1	6	-0.9635698059160308	-0.9172307391872324	1.0	6	0
IFNG	JAK2	TAP1	6	-1.3142236667987002	-1.4013203303885549	1.0	6	0
IFNG	JAK2	TAP2	6	-1.000091365253186	-1.019586414492533	1.0	6	0
IFNG	NFKB1	CD44	4	0.1944401343592701	0.19518357879667	0.0	0	0
IFNG	NFKB1	CTSS	3	0.2924934342113813	0.172786843438644	0.0	0	0
IFNG	NFKB1	GBP1	5	0.2874601380494221	0.333683399809571	0.2	0	0
IFNG	NFKB1	GBP2	5	0.0900742995833087	0.0607914563665108	0.2	0	0
IFNG	NFKB1	IRF1	6	0.0577286827915129	0.0517220921505509	0.3333333333333333	0	0
IFNG	NFKB1	NLRC5	6	0.0825787613138801	0.1098336960312431	0.3333333333333333	0	0
IFNG	NFKB1	STAT1	6	0.1388665264892361	0.1574001904481255	0.1666666666666666	0	0
IFNG	NFKB1	TAP1	6	0.1388915105716951	0.1245766907605895	0.1666666666666666	0	0
IFNG	NFKB1	TAP2	6	0.1419243847723833	0.0881202301759006	0.1666666666666666	0	0
IFNG	STAT1	CD44	4	0.1508376994426229	0.144588837389013	0.0	0	2
IFNG	STAT1	CTSS	3	-1.2208215413715835	-1.23081196209044	1.0	3	0
IFNG	STAT1	GBP1	5	-1.2349119748758348	-1.1897361796144	1.0	5	0
IFNG	STAT1	GBP2	5	-1.3754277816192186	-1.20206324939215	1.0	5	0
IFNG	STAT1	IRF1	6	-1.2169563934629954	-1.24523520961941	1.0	6	0
IFNG	STAT1	NLRC5	6	-1.213611621114134	-1.3411548370627249	1.0	6	0
IFNG	STAT1	STAT1	6	-1.6570882521318924	-1.78690879992915	1.0	6	0
IFNG	STAT1	TAP1	6	-1.2276361134182243	-1.29987396219755	1.0	6	0
IFNG	STAT1	TAP2	6	-1.0162544479922506	-0.9895975957126156	1.0	6	0
TNFA	CHUK	CD44	5	-0.0658204453018501	-0.0421263746622791	0.6	1	0
TNFA	CHUK	CTSS	3	-0.7592919841571973	-0.434811533967564	1.0	3	0
TNFA	CHUK	GBP1	3	-0.3720797647410493	-0.052526697958178	0.6666666666666666	2	0
TNFA	CHUK	IRF1	5	-0.4748560351958237	-0.398930545805796	1.0	2	0
TNFA	CHUK	NLRC5	3	-0.6295879147120259	-0.784757690299075	1.0	3	0
TNFA	CHUK	STAT1	6	-0.1722005048734608	-0.1020428848226729	0.8333333333333334	1	0
TNFA	CHUK	TAP1	3	-0.5518264321687295	-0.293033604807241	1.0	2	0
TNFA	CHUK	TAP2	6	-0.3564212330612576	-0.375232269667655	1.0	2	0
TNFA	IKBKB	CD44	5	-0.1905863142489815	-0.104025270424023	0.8	1	0
TNFA	IKBKB	CTSS	4	-0.1645339180173016	-0.1903577495474197	0.5	1	0
TNFA	IKBKB	GBP1	3	-1.6329396291822704	-0.791642151135972	1.0	1	0
TNFA	IKBKB	IRF1	5	-0.5376948971282675	-0.400529684400261	1.0	1	0
TNFA	IKBKB	NLRC5	3	-0.2789782044671386	-0.247962511818114	1.0	0	0
TNFA	IKBKB	STAT1	6	0.0103278254964809	-0.013647454371837	0.5	0	0
TNFA	IKBKB	TAP1	3	-0.3131848626522695	-0.350762707853668	1.0	1	0
TNFA	IKBKB	TAP2	6	-0.180550044269415	-0.270294224710485	0.8333333333333334	0	0
TNFA	IKBKG	CTSS	3	-0.3167388655068759	-0.367008918638322	1.0	1	0
TNFA	IKBKG	GBP1	3	-0.0631002811797609	0.0048081748941358	0.3333333333333333	1	0
TNFA	IKBKG	IRF1	5	-0.244613315161494	-0.273087911749544	0.8	1	0
TNFA	IKBKG	NLRC5	3	-0.196038572042322	-0.250889722781927	1.0	1	0
TNFA	IKBKG	STAT1	6	-0.0448017291651812	-0.0037582363004962	0.5	1	0
TNFA	IKBKG	TAP1	3	-0.0746150737279006	0.0240735100108682	0.3333333333333333	1	0
TNFA	IKBKG	TAP2	6	-0.0487846695794731	-0.0647314062149703	0.6666666666666666	1	0
TNFA	IRF1	CD44	5	0.0358505806452815	0.0214176886131296	0.4	1	0
TNFA	IRF1	CTSS	3	-0.2502636134269707	-0.0538089584016623	1.0	3	0
TNFA	IRF1	GBP1	3	-0.302047923010966	-0.176653445844167	1.0	3	0
TNFA	IRF1	IRF1	5	-0.7232856437628643	-0.458805318758288	1.0	5	0
TNFA	IRF1	NLRC5	3	-0.1120363631971947	-0.0810399166847354	1.0	2	0
TNFA	IRF1	STAT1	6	0.0165321022232712	0.0218224844860309	0.5	0	0
TNFA	IRF1	TAP1	3	-0.1776264676238974	-0.157766135692046	1.0	3	0
TNFA	IRF1	TAP2	6	-0.2978772284872927	-0.2771930983937085	0.8333333333333334	4	0
TNFA	MAP3K7	CD44	5	-0.0644072853925426	-0.111370383332799	0.8	1	0
TNFA	MAP3K7	CTSS	3	-0.3261862876205734	-0.188291458693276	1.0	2	0
TNFA	MAP3K7	GBP1	3	-0.3777244734559427	-0.323034501499789	1.0	1	0
TNFA	MAP3K7	IRF1	5	-0.3072772425153292	-0.205998752861085	1.0	2	0
TNFA	MAP3K7	NLRC5	3	-0.2636498630861829	-0.368016874489131	1.0	1	0
TNFA	MAP3K7	STAT1	6	-0.0738579458999259	-0.0757691332921392	0.8333333333333334	3	0
TNFA	MAP3K7	TAP1	3	-0.1605197917616669	-0.149075896652782	1.0	2	0
TNFA	MAP3K7	TAP2	6	-0.096062019663501	-0.0464770363013055	0.6666666666666666	1	0
TNFA	NFKB1	CD44	5	-0.0139535766540858	0.0239971499570488	0.4	1	1
TNFA	NFKB1	CTSS	3	0.031144899532832	0.0579872007342113	0.3333333333333333	0	0
TNFA	NFKB1	GBP1	3	0.5804456108085186	0.55430802826727	0.0	0	3
TNFA	NFKB1	GBP2	4	0.5636266406979312	0.4859415370770185	0.0	0	3
TNFA	NFKB1	IRF1	5	-0.0450686395917714	-0.0113723797206141	0.6	1	0
TNFA	NFKB1	STAT1	6	0.0955604310722266	0.0849875865701775	0.3333333333333333	0	0
TNFA	NFKB1	TAP1	4	0.107884470754541	0.0545164117720417	0.25	1	0
TNFA	NFKB1	TAP2	6	-0.029772356697231	0.0763536497192456	0.3333333333333333	1	0
