domain	review_class	record_id	record_type	source_url	access_tier	path
dailymed.nlm.nih.gov	public_us_government_drug_label	claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	external_claim	https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6c42107a-2a42-4263-97b6-ae0d7675c92a		knowledge_external/records/dmt_dimethyl_fumarate_mechanism_label_context.json
dailymed.nlm.nih.gov	public_us_government_drug_label	claim.dailymed.natalizumab_mechanism_context.2026-06-13	external_claim	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c5fdde91-1989-4dd2-9129-4f3323ea2962		knowledge_external/records/dmt_natalizumab_mechanism_label_context.json
dailymed.nlm.nih.gov	public_us_government_drug_label	claim.dailymed.ocrelizumab_mechanism_context.2026-06-13	external_claim	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9da42362-3bb5-4b83-b4bb-b59fd4e55f0d		knowledge_external/records/dmt_ocrelizumab_mechanism_label_context.json
pubmed.ncbi.nlm.nih.gov	public_biomedical_database	claim.science.ebv_ms_longitudinal_risk_context.2026-06-14	external_claim	https://pubmed.ncbi.nlm.nih.gov/35025605/		knowledge_external/records/ebv_ms_longitudinal_risk_context.json
pmc.ncbi.nlm.nih.gov	public_biomedical_database	claim.nature.ms_ibd_gpr25_context.2026-06-14	external_claim	https://pmc.ncbi.nlm.nih.gov/articles/PMC8463615/		knowledge_external/records/gpr25_ms_ibd_shared_genetics_context.json
pmc.ncbi.nlm.nih.gov	public_biomedical_database	claim.frontiers.uc_tofacitinib_mhc_stat1_context.2026-06-14	external_claim	https://pmc.ncbi.nlm.nih.gov/articles/PMC9152176/		knowledge_external/records/ibd_tofacitinib_mhc_stat1_context.json
pubmed.ncbi.nlm.nih.gov	public_biomedical_database	claim.probast_tripod.prediction_model_validation_context.2026-06-14	external_claim	https://pubmed.ncbi.nlm.nih.gov/30596875/		knowledge_external/records/method_prediction_model_validation_context.json
annualreviews.org	manual_review_domain	claim.open_targets.direction_tractability_context.2026-06-14	external_claim	https://www.annualreviews.org/content/journals/10.1146/annurev-biodatasci-102523-103838		knowledge_external/records/method_target_direction_tractability_context.json
pmc.ncbi.nlm.nih.gov	public_biomedical_database	claim.plos.ms_mhc_independent_effects_context.2026-06-14	external_claim	https://pmc.ncbi.nlm.nih.gov/articles/PMC3836799/		knowledge_external/records/mhc_ms_finemapping_independent_effects_context.json
pmc.ncbi.nlm.nih.gov	public_biomedical_database	claim.cshperspect.ms_biomarker_heterogeneity_context.2026-06-14	external_claim	https://pmc.ncbi.nlm.nih.gov/articles/PMC6396336/		knowledge_external/records/ms_biomarker_heterogeneity_context.json
mssociety.org.uk	public_patient_professional_reference	claim.ms_society_uk.ppms_course_context.2026-06-13	external_claim	https://www.mssociety.org.uk/about-ms/types-of-ms		knowledge_external/records/ms_disease_course_ppms_context.json
nationalmssociety.org	public_patient_professional_reference	claim.national_ms_society.rrms_course_context.2026-06-13	external_claim	https://www.nationalmssociety.org/understanding-ms/what-is-ms/types-of-ms		knowledge_external/records/ms_disease_course_rrms_context.json
nationalmssociety.org	public_patient_professional_reference	claim.national_ms_society.spms_course_context.2026-06-13	external_claim	https://www.nationalmssociety.org/understanding-ms/what-is-ms/types-of-ms/secondary-progressive-ms		knowledge_external/records/ms_disease_course_spms_context.json
nature.com	publisher_literature	claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	external_claim	https://www.nature.com/articles/s41467-021-25768-0		knowledge_external/records/ms_ibd_treatment_transfer_caution_context.json
nature.com	publisher_literature	claim.nature.ms_uc_greater_genetic_correlation_context.2026-06-14	external_claim	https://www.nature.com/articles/s41467-021-25768-0		knowledge_external/records/ms_uc_greater_genetic_correlation_context.json
pubmed.ncbi.nlm.nih.gov	public_biomedical_database	claim.ard.ra_sle_pregnancy_transcriptome_context.2026-06-14	external_claim	https://pubmed.ncbi.nlm.nih.gov/38049980/		knowledge_external/records/ra_sle_pregnancy_transcriptome_context.json
