gene	n_contexts_compared	c15_trend_contexts_tested	c15_trend_positive_context_count	c15_trend_positive_disease_count	c15_trend_negative_context_count	c15_strict_positive_context_count	c15_strict_positive_disease_count	c15_myeloid_positive_context_count	c15_state_pearson_r	c15_state_pearson_p	c15_state_spearman_r	c15_state_spearman_p	best_c15_context_delta	best_c15_context	positive_c15_contexts	negative_c15_contexts	contrast_state_score
AL391244.3	5	1	0	0	0	0	0	0	0.7428276405676562	0.15037081643581773	0.7999999999999999	0.10408803866182788					1.4856552811353123
ANKRD65	15	7	0	0	1	0	0	0	0.06028638468737471	0.8309955519742105	0.06071428571428571	0.8298120954425187				sjogren_gland_apc	-1.3794272306252506
VWA1	16	6	0	0	0	0	0	0	-0.42304923251030946	0.10254001323094526	-0.4647058823529412	0.06974367557375588					-0.8460984650206189
ATAD3C	17	7	2	1	0	1	1	0	0.37119598639817275	0.1423985519036925	0.46813725490196084	0.058071924895836145	0.989779036142379	t1d_ductal_cell	t1d_ductal_cell;t1d_stellate_cell		4.242391972796345
ATAD3B	17	7	1	1	0	1	1	0	-0.19132986443181274	0.461960215065992	-0.286764705882353	0.2644463470710112	1.1275246881268677	t1d_endothelial_cell	t1d_endothelial_cell		2.1173402711363747
ATAD3A	17	7	0	0	1	0	0	0	-0.2660715222236807	0.30196044135646116	-0.34313725490196084	0.17753073968099276				t1d_ductal_cell	-2.0321430444473614
SSU72	17	7	1	1	1	0	0	1	-0.6233089777466443	0.007512015776122803	-0.6053921568627452	0.010017774633180295	0.5197459842331842	sjogren_gland_apc	sjogren_gland_apc	ibd_uc_myeloid	-0.7466179554932886
AL645728.1	9	2	0	0	0	0	0	0	-0.032907119801783194	0.9330226314084515	-0.016666666666666666	0.9660548039946862					-0.06581423960356639
FNDC10	17	7	0	0	0	0	0	0	-0.5223896222763162	0.03145794940139245	-0.6102941176470589	0.00927433765845062					-1.0447792445526325
AL691432.2	9	2	0	0	2	0	0	0	-0.5837390818637415	0.09889387205370564	-0.4666666666666666	0.2053863511058121				ibd_crohn_myeloid;ibd_uc_myeloid	-4.167478163727483
MIB2	17	7	0	0	0	0	0	0	-0.20672912920881387	0.42597512668583387	-0.2377450980392157	0.35817139991630287					-0.41345825841762773
MMP23B	17	7	2	1	0	1	1	0	0.11112945452876537	0.6711158493547906	0.12500000000000003	0.6326406085600336	1.7512523991909648	t1d_ductal_cell	t1d_ductal_cell;t1d_endothelial_cell		3.7222589090575307
CDK11B	17	7	1	1	1	0	0	0	-0.34734339827278154	0.1719283815066112	-0.27450980392156865	0.286298378658792	0.5261283779171935	t1d_acinar_cell	t1d_acinar_cell	ibd_crohn_myeloid	-1.1946867965455632
FO704657.1	8	2	0	0	2	0	0	0	-0.9363613782147344	0.0006139596646662908	-0.880952380952381	0.0038503204637324023				ibd_crohn_myeloid;ibd_uc_myeloid	-4.872722756429469
SLC35E2B	17	7	2	1	0	1	1	0	0.3191174316135227	0.2118498812146572	0.28921568627450983	0.2602032490665048	1.8294908243509171	t1d_endothelial_cell	t1d_ductal_cell;t1d_endothelial_cell		4.138234863227045
CDK11A	17	7	0	0	2	0	0	0	-0.15484352221424397	0.552910813248282	-0.13480392156862747	0.6059663630124607				ibd_crohn_myeloid;sjogren_gland_apc	-3.309687044428488
SLC35E2A	17	7	3	1	0	1	1	0	0.3511935293544104	0.16690516550179718	0.34068627450980393	0.18085079957050132	2.3154269725108403	t1d_endothelial_cell	t1d_ductal_cell;t1d_acinar_cell;t1d_endothelial_cell		5.202387058708821
NADK	17	7	0	0	0	0	0	0	0.09184358538247016	0.7259042104161423	0.012254901960784315	0.9627675753886974					0.18368717076494032
GNB1	17	7	0	0	1	0	0	0	0.5328816073165167	0.027632725857181042	0.465686274509804	0.05957824210811781				t1d_ductal_cell	-0.43423678536696664
GABRD	14	6	0	0	0	0	0	0	-0.1609823386819825	0.5824636311471981	-0.05054945054945055	0.8637420361792153					-0.321964677363965
PRKCZ	17	7	0	0	0	0	0	0	0.1927365777134999	0.45861140741686374	0.03186274509803922	0.9033768447188891					0.3854731554269998
AL590822.2	9	2	0	0	0	0	0	0	0.2803277499019074	0.46500887008934966	0.3	0.43284532670948234					0.5606554998038148
FAAP20	17	7	1	1	0	1	1	1	-0.17246360605134664	0.5080287439371945	-0.36274509803921573	0.15242989215413402	1.5574329673613088	ibd_crohn_myeloid	ibd_crohn_myeloid		3.1550727878973066
SKI	17	7	0	0	1	0	0	0	-0.2288564851385229	0.3769468661111448	-0.03431372549019608	0.8959808104551742				t1d_endothelial_cell	-1.9577129702770457
MORN1	17	7	1	1	0	0	0	0	0.16856210925349674	0.5178166450094644	0.2034313725490196	0.4335552308263205	0.5532765497390855	t1d_ductal_cell	t1d_ductal_cell		1.3371242185069936
RER1	17	7	1	1	0	1	1	1	-0.12417886124255698	0.6348948830302951	-0.24264705882352944	0.3480470322955878	0.9134009680162514	ibd_crohn_myeloid	ibd_crohn_myeloid		3.251642277514886
PEX10	17	7	0	0	1	0	0	0	-0.6924861152058442	0.0020633948324607944	-0.7034313725490197	0.0016294297517689058				ibd_uc_myeloid	-2.8849722304116883
PANK4	14	7	3	1	0	2	1	0	0.6063437651633247	0.02151865455202809	0.6439560439560439	0.01294215255932295	2.651172888796082	t1d_stellate_cell	t1d_ductal_cell;t1d_stellate_cell;t1d_endothelial_cell		5.712687530326649
AL139246.5	9	2	1	1	0	1	1	1	0.26563684079288535	0.4896681929677757	0.18333333333333335	0.6368198117628943	2.4944126880526616	ibd_crohn_myeloid	ibd_crohn_myeloid		4.031273681585771
TNFRSF14-AS1	14	7	1	1	1	0	0	0	-0.5426402659788221	0.044966521530717805	-0.4593406593406593	0.09846837616829024	1.1934310633664185	t1d_ductal_cell	t1d_ductal_cell	ibd_uc_myeloid	-1.5852805319576442
TNFRSF14	14	7	2	1	0	0	0	0	0.00693200165693747	0.9812363576611174	0.07252747252747253	0.8053763135410923	1.2602069634976938	t1d_ductal_cell	t1d_ductal_cell;t1d_acinar_cell		2.013864003313875
AL139246.3	7	2	0	0	0	0	0	0	0.42819541534391514	0.33783926281527943	0.5	0.25316999510032256					0.8563908306878303
FAM213B	6	2	0	0	0	0	0	0	-0.36717705241521914	0.4739856406559071	-0.5428571428571429	0.26570262390670546					-0.7343541048304383
MMEL1	16	7	1	1	1	1	1	0	0.023610683228553503	0.9308360389224106	-0.049999999999999996	0.8540995521297438	2.3224305922350323	t1d_endothelial_cell	t1d_endothelial_cell	t1d_stellate_cell	1.0472213664571068
PRDM16	15	6	2	2	0	1	1	1	0.442932718214711	0.09822988649293243	0.3607142857142856	0.1865543741541635	0.6956961903537784	t1d_ductal_cell	ibd_crohn_myeloid;t1d_ductal_cell		5.385865436429422
MEGF6	16	7	0	0	0	0	0	0	0.02059251587096296	0.9396612183948228	0.02058823529411765	0.9396737397890448					0.04118503174192592
TPRG1L	17	7	0	0	1	0	0	0	-0.0046386226188736	0.985903166248685	-0.08088235294117649	0.7576329086921563				t1d_acinar_cell	-1.5092772452377472
WRAP73	17	7	1	1	0	0	0	0	-0.13705078028304352	0.5999173727451197	0.056372549019607844	0.8298485835353617	0.4953972426493482	t1d_acinar_cell	t1d_acinar_cell		0.725898439433913
SMIM1	17	7	1	1	0	0	0	0	0.012424450489283895	0.9622528010016632	0.12745098039215688	0.6259301508467394	0.8463579823717295	t1d_ductal_cell	t1d_ductal_cell		1.0248489009785677
LRRC47	17	7	0	0	2	0	0	0	-0.6420792358168411	0.005452992042175239	-0.5833333333333334	0.013970829934522295				ibd_crohn_myeloid;ibd_uc_myeloid	-4.284158471633682
CEP104	17	7	1	1	1	1	1	0	-0.49611001253654274	0.04282209794648134	-0.47058823529411764	0.05659410879699636	1.1003799978632869	t1d_stellate_cell	t1d_stellate_cell	ibd_uc_myeloid	0.007779974926914512
DFFB	17	7	0	0	0	0	0	0	-0.27270371173120567	0.28960846316506733	-0.31617647058823534	0.21632697166875522					-0.5454074234624113
C1ORF174	17	7	2	1	0	2	1	0	0.11257265929582388	0.6670743639157857	-0.06862745098039216	0.7935424429160596	1.4623031197804923	t1d_endothelial_cell	t1d_stellate_cell;t1d_endothelial_cell		3.7251453185916477
AL805961.2	6	1	1	1	0	1	1	1	0.7321951907409264	0.09797572155084691	0.14285714285714288	0.7871720116618076	0.8716146348907848	ibd_crohn_myeloid	ibd_crohn_myeloid		4.964390381481853
NPHP4	17	7	0	0	0	0	0	0	0.2921616913855622	0.25515935629788294	0.25980392156862747	0.31391716151942506					0.5843233827711244
KCNAB2	17	7	0	0	0	0	0	0	-0.12763282698350106	0.6254333753299571	-0.25490196078431376	0.3234600340651103					-0.2552656539670021
RPL22	14	6	0	0	0	0	0	0	0.5667499364572219	0.03457722745255662	0.3098901098901099	0.2809332808692584					1.1334998729144439
RNF207	17	7	4	1	0	2	1	0	0.40890116152196054	0.10316557607017428	0.34558823529411764	0.17425156925857005	2.4057898156776076	t1d_endothelial_cell	t1d_ductal_cell;t1d_acinar_cell;t1d_stellate_cell;t1d_endothelial_cell		6.317802323043921
ICMT	17	7	0	0	2	0	0	0	-0.6912373528655249	0.002118406808201	-0.6862745098039217	0.002349040919826813				t1d_ductal_cell;t1d_acinar_cell	-4.38247470573105
GPR153	16	6	1	1	1	1	1	1	0.1912285977948788	0.4780417562572085	-0.008823529411764706	0.9741279946623942	1.7423323693339672	ibd_crohn_myeloid	ibd_crohn_myeloid	t1d_stellate_cell	2.3824571955897578
ACOT7	17	7	2	1	1	2	1	0	-0.00022794724366256847	0.9993072331795793	0.03186274509803922	0.9033768447188891	2.180435732438057	t1d_endothelial_cell	t1d_stellate_cell;t1d_endothelial_cell	ibd_crohn_myeloid	1.9995441055126748
HES2	14	5	0	0	0	0	0	0	-0.08522735267574533	0.7720557253916387	-0.15164835164835166	0.6047905984521367					-0.17045470535149065
TNFRSF25	17	7	0	0	0	0	0	0	0.060409255701266124	0.8178498582198042	0.009803921568627453	0.9702105713958576					0.12081851140253225
PLEKHG5	17	7	0	0	2	0	0	0	-0.2036755831851803	0.4329915147368055	-0.03431372549019608	0.8959808104551742				ibd_crohn_myeloid;ibd_uc_myeloid	-3.4073511663703604
NOL9	17	7	0	0	0	0	0	0	-0.45290740408359165	0.06790558212462308	-0.4852941176470589	0.048308194284258345					-0.9058148081671833
ZBTB48	17	7	3	1	0	2	1	0	0.14036322089585324	0.5910446334406518	0.10784313725490197	0.6803504180481621	2.024891240273071	t1d_stellate_cell	t1d_ductal_cell;t1d_stellate_cell;t1d_endothelial_cell		4.780726441791707
KLHL21	17	7	0	0	0	0	0	0	0.45207923375834597	0.06847331756084495	0.26470588235294124	0.3045422200057607					0.9041584675166919
PHF13	17	7	1	1	1	0	0	1	0.2749417569643859	0.2855101306573328	0.25490196078431376	0.3234600340651103	1.6627196546999108	sjogren_gland_apc	sjogren_gland_apc	t1d_acinar_cell	1.0498835139287719
THAP3	17	7	0	0	0	0	0	0	-0.5755917265462509	0.015617937063663706	-0.678921568627451	0.0027281406346349388					-1.1511834530925018
DNAJC11	17	7	3	1	0	2	1	0	-0.31719480010816103	0.2147699007596707	-0.32598039215686275	0.20163694355296405	1.330786796229157	t1d_endothelial_cell	t1d_ductal_cell;t1d_stellate_cell;t1d_endothelial_cell		3.865610399783678
AL591163.1	4	2	0	0	0	0	0	0	-0.8393501876054363	0.16064981239456366	-0.7999999999999999	0.2000000000000001					-1.6787003752108727
CAMTA1	17	7	2	1	0	0	0	0	0.42108158178817384	0.09232820896195199	0.5000000000000001	0.04096895595583607	0.6562898164126576	t1d_acinar_cell	t1d_ductal_cell;t1d_acinar_cell		2.842163163576348
VAMP3	17	7	0	0	0	0	0	0	0.14449252937773543	0.5800603088776709	0.11519607843137256	0.659750043107423					0.28898505875547087
PER3	17	7	0	0	4	0	0	0	-0.40736579490001673	0.1045931712425744	-0.4264705882352942	0.08780457420797681				ibd_crohn_myeloid;ibd_uc_myeloid;t1d_ductal_cell;t1d_acinar_cell	-6.814731589800034
Z98884.1	8	2	0	0	0	0	0	0	0.09517059926324684	0.8226297013986086	0.19047619047619052	0.6514014957024813					0.19034119852649367
UTS2	10	4	0	0	2	0	0	0	-0.308226373826049	0.3862417443140748	0.01818181818181818	0.9602404181286242				ibd_crohn_myeloid;t1d_stellate_cell	-3.6164527476520982
TNFRSF9	16	7	1	1	1	0	0	1	-0.2169428649409088	0.41963178044495963	-0.28529411764705886	0.2841387401595629	1.3717083120037703	sjogren_gland_apc	sjogren_gland_apc	ibd_crohn_myeloid	0.06611427011818227
PARK7	17	7	2	2	0	1	1	2	-0.6429019015659039	0.005374447584583181	-0.6691176470588236	0.0033098132428843446	0.3349583333306523	ibd_uc_myeloid	ibd_uc_myeloid;sjogren_gland_apc		4.214196196868192
ERRFI1	17	7	1	1	0	1	1	0	0.247296986495017	0.33859566791046614	0.2058823529411765	0.42791485314270766	1.1918328302277272	t1d_stellate_cell	t1d_stellate_cell		2.994593972990034
SLC45A1	14	6	1	1	1	1	1	0	0.05718541029646144	0.8460377229143479	-0.18681318681318684	0.5225040123791592	1.0299117135375877	t1d_stellate_cell	t1d_stellate_cell	t1d_acinar_cell	1.114370820592923
RERE	17	7	0	0	1	0	0	0	-0.4740723091311756	0.054541830248881595	-0.6642156862745099	0.0036363489577398347				t1d_acinar_cell	-2.448144618262351
ENO1	17	7	2	2	0	2	2	1	-0.3490983431536868	0.1696263227085404	-0.3382352941176471	0.18421188285210155	0.6057772366302387	ibd_crohn_myeloid	ibd_crohn_myeloid;t1d_endothelial_cell		5.301803313692626
ENO1-AS1	16	6	1	1	0	1	1	0	0.04124123924292418	0.8794656003837551	-0.14705882352941177	0.5867933937012054	1.3747510465433257	t1d_stellate_cell	t1d_stellate_cell		2.5824824784858484
SLC2A5	14	5	0	0	0	0	0	0	0.4344495876078709	0.12059418170382345	0.46373626373626364	0.0948763315088997					0.8688991752157418
GPR157	17	7	3	3	0	2	2	2	0.36558348025029463	0.14900851856179745	0.16176470588235298	0.5350755062766513	1.7561365779941172	ibd_crohn_myeloid	ibd_crohn_myeloid;ibd_uc_myeloid;t1d_ductal_cell		8.73116696050059
H6PD	17	7	0	0	0	0	0	0	0.029900330281730503	0.9093040407190697	0.02450980392156863	0.9256077760199252					0.059800660563461006
SPSB1	17	7	1	1	0	1	1	1	0.5803058982210175	0.014597770984655966	0.5318627450980392	0.027987612204855013	1.098442418021085	ibd_crohn_myeloid	ibd_crohn_myeloid		4.660611796442035
SLC25A33	17	7	0	0	1	0	0	0	-0.42890194923798924	0.08581692434272117	-0.3823529411764707	0.1298634258225738				ibd_uc_myeloid	-2.3578038984759786
TMEM201	17	7	2	2	0	2	2	1	0.46539828744778494	0.05975711803686894	0.3823529411764707	0.1298634258225738	1.7583642673919848	t1d_endothelial_cell	ibd_crohn_myeloid;t1d_endothelial_cell		6.93079657489557
PIK3CD	17	7	1	1	1	1	1	0	0.14619341958501253	0.5755608862868402	-0.06862745098039216	0.7935424429160596	1.538155136538364	t1d_endothelial_cell	t1d_endothelial_cell	t1d_acinar_cell	1.292386839170025
PIK3CD-AS1	2	2	1	1	0	1	1	1					0.4959200459817439	ibd_crohn_myeloid	ibd_crohn_myeloid		3.5
PIK3CD-AS2	17	7	0	0	2	0	0	0	-0.5088454700298389	0.03698173882164352	-0.5098039215686275	0.036568145531216366				ibd_crohn_myeloid;ibd_uc_myeloid	-4.017690940059678
CLSTN1	17	7	0	0	0	0	0	0	-0.45176403205582105	0.06869031236231558	-0.5269607843137256	0.02974441940918233					-0.9035280641116421
CTNNBIP1	17	7	0	0	0	0	0	0	-0.11524469336229139	0.6596145880568715	-0.02696078431372549	0.9181909009189737					-0.23048938672458277
LZIC	17	7	1	1	0	0	0	1	0.01742410093976822	0.9470802806484493	-0.12990196078431374	0.6192473366524132	0.5507700156564583	sjogren_gland_apc	sjogren_gland_apc		2.0348482018795364
NMNAT1	17	7	4	1	0	2	1	0	0.07506274445257509	0.7746319397875913	0.23529411764705882	0.363295114375383	1.617559645504278	t1d_endothelial_cell	t1d_ductal_cell;t1d_acinar_cell;t1d_stellate_cell;t1d_endothelial_cell		5.65012548890515
RBP7	17	7	1	1	1	1	1	1	0.6095105325137475	0.009390125783241358	0.4730392156862746	0.055144481799935384	1.9922685857092437	ibd_uc_myeloid	ibd_uc_myeloid	t1d_ductal_cell	3.219021065027495
UBE4B	17	7	1	1	0	1	1	0	0.14422268533757737	0.5807754915019048	0.08088235294117649	0.7576329086921563	1.031201804896027	t1d_stellate_cell	t1d_stellate_cell		2.788445370675155
KIF1B	17	7	0	0	0	0	0	0	-0.5181358015239912	0.03311961540302177	-0.5955882352941178	0.01164673138054415					-1.0362716030479824
AL139424.3	9	2	0	0	0	0	0	0	-0.09621248542401928	0.8055032128328903	-0.21666666666666667	0.5755148957119259					-0.19242497084803856
AL139424.2	9	2	0	0	0	0	0	0	-0.7239217171511345	0.027444186224362392	-0.6	0.08762282904140249					-1.447843434302269
PGD	17	7	1	1	0	1	1	0	-0.1978263643012141	0.4465973138899556	-0.13235294117647062	0.6125925983674195	1.1353822400099114	t1d_endothelial_cell	t1d_endothelial_cell		2.1043472713975717
CENPS-CORT	10	6	0	0	0	0	0	0	-0.14280901872255047	0.6938987970878698	-0.10303030303030303	0.7769984634438898					-0.28561803744510095
CENPS	17	7	0	0	0	0	0	0	-0.34694576758457685	0.17245286960368317	-0.482843137254902	0.04962158964225814					-0.6938915351691537
DFFA	17	7	0	0	1	0	0	0	-0.26960475468193135	0.2953415467688743	-0.11029411764705883	0.6734589975422938				ibd_crohn_myeloid	-2.0392095093638627
PEX14	17	7	2	1	0	1	1	0	-0.16136831118636907	0.536089915379971	-0.10294117647058824	0.6942047830993175	0.6236324191218499	t1d_acinar_cell	t1d_acinar_cell;t1d_endothelial_cell		3.177263377627262
CASZ1	17	7	1	1	2	1	1	1	0.20782546921230446	0.4234705632452745	0.03431372549019608	0.8959808104551742	1.2684728710061854	ibd_crohn_myeloid	ibd_crohn_myeloid	sjogren_gland_apc;t1d_ductal_cell	0.915650938424609
C1ORF127	12	6	0	0	2	0	0	0	0.14609276097670257	0.6505114793358492	-0.11188811188811189	0.729194990751066				t1d_acinar_cell;t1d_endothelial_cell	-2.7078144780465947
TARDBP	17	7	4	1	0	2	1	0	0.05076505709755144	0.8465749624018396	0.11029411764705883	0.6734589975422938	0.5840240124343925	t1d_stellate_cell	t1d_ductal_cell;t1d_acinar_cell;t1d_stellate_cell;t1d_endothelial_cell		5.601530114195103
SRM	17	7	0	0	0	0	0	0	-0.6367312874336135	0.005986452580166585	-0.6911764705882353	0.0021211192581910517					-1.273462574867227
EXOSC10	17	7	1	1	1	1	1	0	-0.29731683800275865	0.24648070415701404	-0.43627450980392163	0.07998887245986519	0.9821644555867276	t1d_endothelial_cell	t1d_endothelial_cell	t1d_stellate_cell	0.4053663239944827
AL109811.2	8	1	1	1	0	1	1	1	0.7821165330805238	0.02181751096267857	0.6190476190476191	0.1017330374542648	0.8799212670470385	ibd_crohn_myeloid	ibd_crohn_myeloid		5.064233066161048
MTOR	17	7	0	0	0	0	0	0	-0.3376572117472199	0.18501061285099096	-0.37009803921568635	0.14367547273095146					-0.6753144234944398
UBIAD1	17	7	0	0	2	0	0	0	-0.2871580343555928	0.26376256316450397	-0.06617647058823531	0.800774094340852				ibd_crohn_myeloid;ibd_uc_myeloid	-3.5743160687111857
FBXO2	16	6	0	0	0	0	0	0	0.25739649731434744	0.3358394888091438	0.25588235294117645	0.3387899080712459					0.5147929946286949
FBXO44	17	7	0	0	0	0	0	0	-0.41463648736470315	0.09795545215958065	-0.5122549019607844	0.035526524116891015					-0.8292729747294063
FBXO6	17	7	3	3	0	2	2	2	0.4959462600584952	0.04290147409568611	0.303921568627451	0.23563584127730533	1.7399251289550004	ibd_uc_myeloid	ibd_crohn_myeloid;ibd_uc_myeloid;t1d_ductal_cell		8.991892520116991
MAD2L2	17	7	4	4	0	3	3	3	0.26198873747511303	0.30971794563845223	0.17647058823529413	0.49806765732373415	0.966215952313501	t1d_endothelial_cell	ibd_crohn_myeloid;ibd_uc_myeloid;sjogren_gland_apc;t1d_endothelial_cell		12.023977474950225
AGTRAP	17	7	2	2	0	2	2	1	0.07656299065789202	0.7702401346826994	-0.04901960784313726	0.8517943990009383	1.951801007509528	ibd_uc_myeloid	ibd_uc_myeloid;t1d_endothelial_cell		6.153125981315784
MTHFR	17	7	3	3	0	3	3	2	0.42214456161872194	0.09142294036445127	0.32107843137254904	0.20889818325093903	1.8809913148223285	t1d_endothelial_cell	ibd_crohn_myeloid;ibd_uc_myeloid;t1d_endothelial_cell		10.344289123237443
CLCN6	17	7	0	0	0	0	0	0	-0.1700706649067018	0.5140217159478339	-0.1985294117647059	0.44495054367880854					-0.3401413298134036
KIAA2013	17	7	0	0	3	0	0	0	-0.6801954585294291	0.0026591125441841994	-0.5931372549019609	0.012085076209286389				ibd_crohn_myeloid;t1d_ductal_cell;t1d_acinar_cell	-5.860390917058858
PLOD1	17	7	1	1	0	0	0	0	-0.5279290690490386	0.029390850721840996	-0.5392156862745099	0.025503680315881874	0.7855455495297137	t1d_ductal_cell	t1d_ductal_cell		-0.05585813809807716
MFN2	17	7	0	0	0	0	0	0	0.004044105830819725	0.9877097729529055	-0.11519607843137256	0.659750043107423					0.00808821166163945
MIIP	17	7	1	1	0	1	1	0	0.016302856498383728	0.9504816195440923	-0.12009803921568628	0.6461426985863068	1.2195550930472745	t1d_endothelial_cell	t1d_endothelial_cell		2.5326057129967676
TNFRSF8	7	3	1	1	0	1	1	1	0.7128377737163749	0.07218883207677025	0.8571428571428573	0.013697326615325611	1.4589015500300857	ibd_uc_myeloid	ibd_uc_myeloid		4.92567554743275
TNFRSF1B	17	7	1	1	0	1	1	1	0.3227784392294926	0.20636103106677706	0.25000000000000006	0.3331701359154762	1.09456775924175	ibd_uc_myeloid	ibd_uc_myeloid		4.145556878458986
VPS13D	17	7	0	0	0	0	0	0	-0.17804091301637692	0.49418951470564565	-0.2058823529411765	0.42791485314270766					-0.35608182603275385
DHRS3	17	7	0	0	2	0	0	0	0.08599324756830563	0.7427898802718873	0.1519607843137255	0.5604155062809044				ibd_crohn_myeloid;ibd_uc_myeloid	-2.8280135048633888
PDPN	16	7	4	2	0	2	2	1	0.45537212460067994	0.07631591543387851	0.4441176470588235	0.08482274417741573	2.255233695038537	ibd_uc_myeloid	ibd_uc_myeloid;t1d_ductal_cell;t1d_acinar_cell;t1d_endothelial_cell		8.91074424920136
PRDM2	17	7	0	0	0	0	0	0	0.2704521238631916	0.2937671962326166	-0.01715686274509804	0.9478908818232219					0.5409042477263832
KAZN	17	7	0	0	1	0	0	0	-0.39036647029165483	0.12134759948443481	-0.3504901960784314	0.16781533363739962				t1d_stellate_cell	-2.2807329405833094
TMEM51-AS1	17	7	0	0	0	0	0	0	-0.09425522005470528	0.7189776871017682	-0.18872549019607845	0.4681922842798525					-0.18851044010941057
