gene	donor_case_contexts_tested	donor_case_positive_context_count	donor_case_positive_disease_count	donor_case_median_spearman	donor_all_positive_context_count	donor_all_positive_disease_count	donor_all_median_spearman	best_donor_context	best_donor_spearman
FADS2	7	1	1	0.19999999999999998	4	1	0.406725829536031	ibd_uc_myeloid	0.7999999999999999
FAP	7	2	2	0.6	4	2	0.44917425706803543	ibd_crohn_myeloid	0.7589709258986453
FAS	7	1	1	0.2571428571428572	2	2	0.16713620248922142	t1d_stellate_cell	0.7999999999999999
FCGR2A	7	2	2	0.3272727272727273	3	3	0.2745708602040924	ibd_uc_myeloid	0.8285714285714287
FCGR2B	7	0	0	0.3142857142857143	1	1	0.19000971268850053	ibd_crohn_myeloid	0.6
FCN1	7	1	1	-0.28839429695329716	2	2	0.00309112000692925	ibd_uc_myeloid	0.8857142857142858
FKBP11	7	2	2	0.3714285714285715	4	2	0.4877130945762025	t1d_stellate_cell	0.9999999999999999
FKBP1A	7	5	2	0.7	6	3	0.5863121317468426	t1d_acinar_cell	0.9999999999999999
FLOT1	7	3	2	0.49999999999999994	6	3	0.49654294596781257	t1d_acinar_cell	0.9999999999999999
FNDC3B	7	5	3	0.7	5	4	0.5461529459217778	t1d_endothelial_cell	0.8999999999999998
FOSL2	7	2	1	0.48571428571428577	1	1	0.21172839266067292	t1d_ductal_cell	0.8999999999999998
FOXP1	7	1	1	-0.3714285714285715	1	1	-0.2447552447552448	t1d_stellate_cell	0.8999999999999998
FPR1	7	2	2	0.2787917333462193	2	2	0.18464224195372309	ibd_crohn_myeloid	0.8857142857142858
FPR2	7	4	3	0.6571428571428573	4	3	0.33460108466586824	ibd_crohn_myeloid	0.7071067811865475
G0S2	7	4	2	0.7	7	4	0.6643478260869564	ibd_crohn_myeloid	0.8999999999999998
GABARAP	7	2	2	0.6	6	3	0.4504347826086956	t1d_ductal_cell	0.7999999999999999
GBP1	7	4	3	0.6	5	3	0.45577450215027215	t1d_ductal_cell	0.9999999999999999
GBP4	7	2	2	0.48571428571428577	5	3	0.3921434769106842	sjogren_gland_apc	0.7999999999999999
GCA	7	3	3	0.49999999999999994	5	3	0.578514772585323	ibd_crohn_myeloid	0.942857142857143
GCH1	7	1	1	-0.028571428571428574	3	3	0.1734495452208868	t1d_acinar_cell	0.8285714285714287
GCLC	7	0	0	-0.6	0	0	-0.2238827115571799	t1d_ductal_cell	0.24545454545454545
GCLM	7	2	2	0.39999999999999997	1	1	0.14685314685314685	sjogren_gland_apc	0.7142857142857143
GK	7	6	4	0.8999999999999998	6	3	0.7417391304347827	ibd_crohn_myeloid	0.942857142857143
GLIPR2	7	6	4	0.7	6	3	0.5083713971014951	t1d_endothelial_cell	0.9999999999999999
GNG5	7	3	2	0.6	5	4	0.3047471425743577	t1d_endothelial_cell	0.9999999999999999
GPR27	7	1	1	0.028988551782622423	5	4	0.3952857492393759	ibd_uc_myeloid	0.7247137945655605
GPR35	7	0	0	-0.06850660165927172	1	1	0.13219028723129692	t1d_endothelial_cell	0.19069251784911848
GPX4	7	3	1	0.6	3	1	0.27462678545945024	t1d_acinar_cell	0.9999999999999999
GSAP	7	2	2	0.39999999999999997	4	3	0.41958041958041964	ibd_uc_myeloid	0.7
GSEC	7	1	1	0.10259783520851541	3	2	0.29029468253832535	t1d_endothelial_cell	0.8999999999999998
GSTO1	7	3	1	0.5428571428571429	5	2	0.4031996341442251	t1d_ductal_cell	0.7999999999999999
GYS1	7	3	1	0.2571428571428572	6	4	0.42993721245338473	t1d_ductal_cell	0.7999999999999999
GZMB	7	2	2	0.051298917604257706	2	2	0.21050772794236877	ibd_crohn_myeloid	0.6571428571428573
HAPLN3	7	3	2	0.6	4	3	0.3020894640053953	t1d_stellate_cell	0.8999999999999998
HAS1	7	1	1	0.14285714285714288	2	2	0.24464503831147794	sjogren_gland_apc	0.6185901254591024
HCAR3	7	1	1	0.3714285714285715	2	2	0.49435823972750725	ibd_crohn_myeloid	0.7142857142857143
HDDC3	7	4	2	0.5785892004243207	7	4	0.4755244755244756	t1d_ductal_cell	0.8999999999999998
HIF1A	7	4	3	0.7	6	3	0.6478260869565217	ibd_crohn_myeloid	0.8999999999999998
HK2	7	0	0	0.09999999999999999	3	3	0.24982178548246764	ibd_uc_myeloid	0.6
HMOX1	7	2	1	0.3	2	1	0.09067590025514233	t1d_ductal_cell	0.9999999999999999
HS3ST3B1	7	1	1	0.3	4	3	0.3868092691622103	sjogren_gland_apc	0.6
HSPG2	7	3	2	0.39999999999999997	3	2	0.29227571732725494	sjogren_gland_apc	0.7
IDO1	7	3	1	0.3354101966249684	6	4	0.48255849410080115	t1d_ductal_cell	0.8720815992723809
IER3-AS1	7	2	2	0.5642880936468347	3	1	0.2746546979295595	ibd_crohn_myeloid	0.7142857142857143
IFI30	7	1	1	0.09999999999999999	4	3	0.42954125574622437	ibd_crohn_myeloid	0.6571428571428573
IFIH1	7	1	1	0.39999999999999997	4	4	0.3722585609849942	sjogren_gland_apc	0.5421426366180643
IFITM1	7	1	1	-0.3	2	2	0.17742880772594	t1d_endothelial_cell	0.7714285714285715
IFITM2	7	3	2	0.3142857142857143	5	3	0.4860869565217391	ibd_crohn_myeloid	1.0
IFITM3	7	1	1	0.028571428571428574	4	3	0.5069565217391303	t1d_acinar_cell	0.8999999999999998
IGF2BP2	7	1	1	0.14285714285714288	3	3	0.29807980943187756	sjogren_gland_apc	0.6
IKBKE	7	2	1	0.3623157839133251	4	2	0.3542211959471562	t1d_ductal_cell	0.8999999999999998
IL10	7	1	1	-0.028571428571428574	4	2	0.33539446259439226	t1d_endothelial_cell	0.4236913042477308
IL15	7	2	1	0.48571428571428577	6	3	0.6083916083916086	t1d_ductal_cell	0.7
IL18R1	7	0	0	0.09999999999999999	0	0	-0.08529016340903972	ibd_uc_myeloid	0.35909242322980395
IL18RAP	7	1	1	0.35747111947589405	4	4	0.30897748113342205	ibd_uc_myeloid	0.8451542547285166
IL19	7	1	1	0.32890446114776983	3	2	0.2299781801670864	sjogren_gland_apc	0.6708203932499368
IL1RN	7	3	3	0.19999999999999998	5	4	0.6149829031112439	ibd_crohn_myeloid	0.8857142857142858
IL23A	7	1	1	0.08571428571428573	2	2	0.16092650539483844	ibd_crohn_myeloid	0.8285714285714287
IL27	7	1	1	0.028571428571428574	2	2	0.07672057186049769	ibd_uc_myeloid	0.8285714285714287
IL2RG	7	2	2	0.2571428571428572	4	4	0.3876490958060792	sjogren_gland_apc	0.7826237921249264
IL32	7	2	1	0.49999999999999994	4	1	0.5599999999999999	t1d_ductal_cell	0.8999999999999998
IL3RA	7	1	1	-0.051298917604257706	3	3	0.2927781373255048	t1d_endothelial_cell	0.9999999999999999
IL6R	7	1	1	-0.10000000000000002	1	1	-0.08434782608695651	t1d_acinar_cell	0.7142857142857143
IL7R	7	1	1	0.35355339059327373	6	4	0.45525961581795377	ibd_crohn_myeloid	1.0
INAVA	7	0	0	-0.30425553170226594	1	1	-0.17057883949446692	t1d_acinar_cell	0.49999999999999994
INPP5B	7	1	1	0.19090909090909092	0	0	0.1895506403086939	t1d_stellate_cell	0.8999999999999998
IRF1	7	4	3	0.7	6	4	0.41826086956521735	sjogren_gland_apc	0.8285714285714287
IRF7	7	6	3	0.7999999999999999	5	3	0.36517513419113906	sjogren_gland_apc	0.8999999999999998
ITGA4	7	1	1	0.3	3	3	0.18251163942222462	t1d_ductal_cell	0.7071067811865475
ITGB8	7	1	1	0.3142857142857143	3	3	0.13268515056645191	t1d_endothelial_cell	0.7999999999999999
IVNS1ABP	7	4	2	0.6571428571428573	5	3	0.477391304347826	t1d_stellate_cell	0.9999999999999999
JAK3	7	1	1	0.3714285714285715	5	4	0.399517639223765	t1d_stellate_cell	0.7999999999999999
KAZN	7	2	2	0.5369908768068932	1	1	0.05855020253914043	sjogren_gland_apc	0.7999999999999999
KCNJ15	7	1	1	0.6	3	3	0.29537143395255155	t1d_acinar_cell	0.8720815992723809
KCNJ2	7	2	2	0.20519567041703082	4	3	0.38711079622519945	ibd_crohn_myeloid	0.942857142857143
KEAP1	7	5	2	0.7	4	1	0.3672025889449746	t1d_acinar_cell	0.8999999999999998
KRT23	7	4	2	0.6	5	3	0.5201866923723888	t1d_ductal_cell	0.8999999999999998
KRTCAP3	7	2	1	0.09999999999999999	6	3	0.5445852688863904	t1d_acinar_cell	0.8999999999999998
KYNU	7	3	2	0.5428571428571429	4	3	0.43720717884714094	ibd_uc_myeloid	0.942857142857143
LAD1	7	3	2	0.49999999999999994	5	2	0.4990073197336157	t1d_stellate_cell	0.8999999999999998
LAMB3	7	3	2	0.6	5	3	0.6373913043478261	ibd_uc_myeloid	0.8999999999999998
LAPTM5	7	0	0	-0.028571428571428574	3	2	0.1565799859480192	t1d_acinar_cell	0.6
LBH	7	1	1	-0.09999999999999999	1	1	0.009744821419528881	ibd_crohn_myeloid	0.7999999999999999
LDHA	7	4	2	0.7999999999999999	5	3	0.4408695652173913	t1d_ductal_cell	0.8999999999999998
LDLRAD3	7	2	2	0.6	3	3	0.15560956783479235	t1d_acinar_cell	0.8857142857142858
LGALS2	7	2	1	0.19999999999999998	3	2	0.29056730789575863	t1d_stellate_cell	0.8999999999999998
LILRB2	7	1	1	0.2616883116883117	4	4	0.3481335791483712	ibd_uc_myeloid	0.7142857142857143
LILRB4	7	2	2	0.0	3	2	0.3146807715860583	sjogren_gland_apc	0.7181818181818183
LIMD2	7	4	1	0.7	5	3	0.44055944055944063	t1d_stellate_cell	0.9999999999999999
LIMK2	7	5	3	0.6571428571428573	5	4	0.4178440940088319	sjogren_gland_apc	0.7
LIPA	7	1	1	0.49999999999999994	3	1	0.2982608695652174	t1d_stellate_cell	0.8999999999999998
LIPN	3	2	2	0.7714285714285715	2	2	0.9353967811175282	ibd_crohn_myeloid	0.8285714285714287
LITAF	7	5	3	0.8999999999999998	4	3	0.4321739130434783	ibd_crohn_myeloid	1.0
LNX2	7	2	1	0.6	3	3	0.20706204064997527	t1d_stellate_cell	0.7999999999999999
LONRF1	7	1	1	0.19999999999999998	3	3	0.20778730395863845	t1d_ductal_cell	0.7999999999999999
LRG1	7	0	0	0.28603877677367767	6	4	0.5472272288065386	t1d_ductal_cell	0.49999999999999994
LRRC61	7	1	1	0.20291986247835697	7	4	0.508695652173913	t1d_acinar_cell	0.9999999999999999
LTA4H	7	4	2	0.6571428571428573	4	3	0.3375251782582276	ibd_uc_myeloid	0.7
LZTFL1	7	2	1	0.6	3	1	0.15979876941528323	t1d_endothelial_cell	0.7999999999999999
MAD2L2	7	3	2	0.39999999999999997	5	4	0.5034965034965035	sjogren_gland_apc	0.8999999999999998
MAGI3	7	1	1	0.0	0	0	-0.03152369107522558	sjogren_gland_apc	0.6
MAGIX	7	0	0	0.11896358330318636	5	3	0.4906397964342649	ibd_crohn_myeloid	0.3
MARCKSL1	7	0	0	0.2571428571428572	5	4	0.4017524103414861	t1d_acinar_cell	0.49999999999999994
MARCO	7	1	1	0.35355339059327373	2	2	0.228721261549448	ibd_uc_myeloid	0.8285714285714287
MCEMP1	7	2	2	0.2571428571428572	4	3	0.3529146305582894	ibd_uc_myeloid	0.942857142857143
MFSD6	7	2	2	0.3	3	3	0.1576184553761279	ibd_crohn_myeloid	0.8999999999999998
MGAT2	7	1	1	-0.08571428571428573	3	2	0.1188811188811189	t1d_stellate_cell	0.8999999999999998
MGAT5	7	2	2	0.3	1	1	-0.04195804195804196	t1d_endothelial_cell	0.8999999999999998
MGST1	7	5	3	0.7714285714285715	6	3	0.3956521739130434	t1d_acinar_cell	0.9999999999999999
MMEL1	7	1	1	0.30000000000000004	1	1	-0.036788607949442435	t1d_acinar_cell	0.7999999999999999
MMP7	7	0	0	0.09999999999999999	6	3	0.44434782608695644	t1d_endothelial_cell	0.39999999999999997
MOB1A	7	2	1	0.39999999999999997	5	3	0.33739130434782605	t1d_stellate_cell	0.9999999999999999
MPHOSPH6	7	2	2	0.6	5	3	0.4588924995741782	ibd_uc_myeloid	0.8285714285714287
MSC	7	3	3	0.6	5	3	0.37043478260869556	ibd_crohn_myeloid	0.8999999999999998
MSC-AS1	7	4	1	0.75	5	3	0.4160459499865047	t1d_ductal_cell	0.9999999999999999
MSRB1	7	3	1	0.6	6	3	0.5650981669307947	t1d_stellate_cell	0.8999999999999998
MST1	7	1	1	0.19999999999999998	2	1	0.015370832655674252	t1d_ductal_cell	0.8999999999999998
MT2A	7	3	3	0.3	4	4	0.3769955830460758	ibd_uc_myeloid	0.942857142857143
MTF1	7	3	2	0.48571428571428577	4	3	0.4618676177052325	t1d_stellate_cell	0.9999999999999999
MTHFD2	7	1	1	0.0	4	3	0.3182608695652174	ibd_uc_myeloid	0.7142857142857143
MTHFR	7	1	1	0.4285714285714286	4	3	0.3224696761057204	sjogren_gland_apc	0.6818181818181819
MTMR11	7	4	2	0.7	7	4	0.5098051314682777	ibd_uc_myeloid	0.942857142857143
MTOR	7	2	2	0.39999999999999997	2	2	0.05565217391304347	t1d_endothelial_cell	0.7999999999999999
MX1	7	1	1	0.3142857142857143	3	3	0.23691335740072203	sjogren_gland_apc	0.6742614304157438
MYD88	7	6	3	0.7714285714285715	6	4	0.5736717401088927	sjogren_gland_apc	0.8999999999999998
NAB1	7	1	1	0.49999999999999994	4	2	0.32695652173913037	t1d_stellate_cell	0.8999999999999998
NABP1	7	4	3	0.7	4	3	0.40956521739130425	t1d_endothelial_cell	0.8999999999999998
NAMPT	7	5	3	0.7	5	3	0.6930434782608694	t1d_ductal_cell	0.8999999999999998
NBPF9	7	1	1	0.19999999999999998	2	2	0.27067025046576304	t1d_endothelial_cell	0.7142857142857143
NCF2	7	6	3	0.7826237921249264	6	3	0.5478260869565217	ibd_crohn_myeloid	0.942857142857143
NDUFA4	7	0	0	-0.3	1	1	0.09391304347826085	ibd_crohn_myeloid	0.49999999999999994
NEMP2	7	0	0	0.26518799996356424	1	1	0.05167621896514134	t1d_endothelial_cell	0.6
NFE2L2	7	2	2	0.3	5	3	0.33304347826086955	ibd_crohn_myeloid	0.8857142857142858
NFIA	7	0	0	0.09999999999999999	2	1	0.1591304347826087	ibd_crohn_myeloid	0.6
NINJ1	7	3	3	0.6	2	2	0.018603749982736954	t1d_endothelial_cell	0.8999999999999998
NMI	7	5	3	0.7	6	4	0.41913043478260864	sjogren_gland_apc	0.7999999999999999
NR1H2	7	5	2	0.7818181818181819	3	1	0.24033515310343553	sjogren_gland_apc	0.8999999999999998
NR1H3	7	1	1	-0.19999999999999998	1	1	0.19417946071692038	ibd_uc_myeloid	0.7
NR5A2	7	1	1	0.49999999999999994	2	1	0.2626077841519814	ibd_crohn_myeloid	0.8999999999999998
NRG1	7	2	2	0.3354101966249684	5	3	0.5028278483555125	ibd_crohn_myeloid	0.7714285714285715
OSCAR	7	2	2	-0.09999999999999999	4	3	0.3934206220311471	ibd_uc_myeloid	0.8857142857142858
P2RX4	7	4	3	0.5727272727272729	5	3	0.5128089687586622	sjogren_gland_apc	0.7999999999999999
PAPLN	7	0	0	0.35909242322980395	2	2	0.19049790575278297	t1d_ductal_cell	0.49999999999999994
PARK7	7	3	1	0.6	1	1	0.16783216783216784	t1d_stellate_cell	0.9999999999999999
PATL2	7	1	1	0.09999999999999999	4	3	0.3260085711260571	ibd_crohn_myeloid	0.7142857142857143
PCBP1	7	3	2	0.39999999999999997	4	3	0.5539130434782608	t1d_endothelial_cell	0.8999999999999998
PDCD1	7	0	0	0.0	1	1	0.2799248061229956	t1d_ductal_cell	0.6708203932499368
PDLIM7	7	5	4	0.7999999999999999	7	4	0.65466849448056	ibd_uc_myeloid	0.8999999999999998
PDPN	7	2	2	0.08696565534786728	3	3	0.2547745023233498	ibd_uc_myeloid	0.7
PEA15	7	1	1	0.018181818181818184	3	3	0.2998747318645933	t1d_endothelial_cell	0.7999999999999999
PFKFB3	7	4	2	0.7999999999999999	5	3	0.5295501550239793	t1d_ductal_cell	0.9999999999999999
PHTF1	7	3	3	-0.3	2	2	0.0854886606349579	sjogren_gland_apc	0.8999999999999998
PICALM	7	1	1	0.3	4	3	0.33353866040478397	ibd_crohn_myeloid	0.8285714285714287
PID1	7	0	0	-0.09999999999999999	3	3	0.15371296652558677	sjogren_gland_apc	0.6
PIK3AP1	7	3	2	0.49999999999999994	5	3	0.531405104919655	ibd_uc_myeloid	0.7714285714285715
PIK3R2	7	3	2	0.39999999999999997	5	3	0.34615455538303774	t1d_acinar_cell	0.8999999999999998
PILRA	7	2	2	0.48571428571428577	3	3	0.14999436545648998	sjogren_gland_apc	0.7714285714285715
PITPNM1	7	3	2	0.48625899626414265	4	3	0.4043982024405946	t1d_acinar_cell	0.9999999999999999
PLA2G7	7	0	0	-0.35355339059327373	3	3	0.27871532601849375	ibd_crohn_myeloid	0.2961283309258334
PLB1	7	0	0	-0.25512594664379495	1	1	0.0665500144921429	t1d_stellate_cell	0.39999999999999997
PLCL2	7	0	0	-0.39999999999999997	1	1	0.044517314984902835	ibd_crohn_myeloid	-0.3486385256233475
PLEK2	7	2	1	0.14285714285714288	6	3	0.4060637189347409	t1d_ductal_cell	0.9999999999999999
PLSCR1	7	5	3	0.8857142857142858	6	3	0.6546748208210766	ibd_crohn_myeloid	0.8999999999999998
PPA1	7	1	1	0.3	4	4	0.41623389883250406	t1d_ductal_cell	0.8999999999999998
PPARG	7	1	1	0.39999999999999997	3	3	0.08458800253851441	sjogren_gland_apc	0.49999999999999994
PPARGC1A	7	1	1	0.28214404682341737	2	1	0.34662449344502383	t1d_ductal_cell	0.8999999999999998
