gene	tested_compartment_count	positive_compartment_count	negative_compartment_count	positive_fdr10_compartment_count	negative_fdr10_compartment_count	positive_disease_count	negative_disease_count	positive_diseases	negative_diseases	best_positive_p	best_positive_fdr	max_positive_delta_log2_cpm	median_positive_hedges_g	best_negative_p	min_negative_delta_log2_cpm	top_positive_compartments	in_lipid_lysosomal_myeloid_neighborhood	ms_wm_delta_log2	ms_wm_hedges_g	ms_wm_p	ms_wm_fdr	opentargets_disease_count	opentargets_diseases	opentargets_max_overall	opentargets_max_genetic_association	opentargets_max_known_drug_or_clinical	opentargets_channels_present	existing_priority_score	existing_weighted_evidence_score	existing_ms_anchor_score	existing_positive_disease_count	existing_negative_disease_count	existing_positive_diseases	existing_negative_diseases	existing_prior_flag	ms_positive_nominal	ms_positive_trend_x	genetic_or_target_db_breadth	discovery_priority_score	has_ms_anchor	broad_pool_reason	uniprot_status	uniprot_accession	protein_name	sequence_length	uniprot_locations	uniprot_keywords	uniprot_accessible	uniprot_enzymatic_or_catalytic	uniprot_transmembrane_feature_count	uniprot_active_or_binding_features	function_excerpt	family	n_delta_fdr10_positive_diseases	n_delta_trend_or_better_diseases	n_delta_negative_trend_diseases	n_state_resid_non_ifn_r_ge_0_35_diseases	n_confounder_dominant_diseases	rank_score	go_no_go	demotion_or_support_reason	chembl_status	chembl_target_chembl_id	chembl_target_pref_name	chembl_target_type	chembl_target_organism	chembl_target_accessions	chembl_search_hit_count	chembl_url	chembl_activity_count	chembl_activity_values_nM_count	chembl_unique_molecules_returned	chembl_best_standard_value_nM_returned	chembl_median_standard_value_nM_returned	europepmc_query	europepmc_hit_count	europepmc_examples_json	europepmc_url	clinicaltrials_query	clinicaltrials_hit_count	clinicaltrials_examples_json	clinicaltrials_url	prior_flags	google_patents_url	wave39_call	wave39_reason	wave39_score	broad_tested_contexts	broad_positive_contexts	broad_negative_contexts	broad_positive_disease_count	broad_negative_disease_count	myeloid_positive_contexts	myeloid_positive_disease_count	tissue_resident_positive_contexts	positive_diseases_broad	negative_diseases_broad	best_positive_context	best_negative_context	ms_delta_log2_direct	ms_hedges_g_direct	ms_p_direct	ms_fdr_direct	ms_positive_anchor	ms_positive_trend_y	genetic_disease_count_max	genetic_disease_text	target_resolution_sources	chembl_or_druggable_activity_count_max	foundation_files	foundation_rows	foundation_supportive_text_hits	foundation_do_not_promote_text_hits	response_systems_tested	response_nonresponse_high_systems_p20	response_responder_high_systems_p20	response_direction_conflict	response_best_min_p	response_summary	ms_positive_trend	known_closed_or_saturated	generic_immune_marker_symbol	prior_saturation_penalty	targetability_score	biology_score	support_score	wave94_score	wave94_failures	wave94_call
RYR2	15.0	3.0	0.0	0.0	0.0	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		0.0119478045744934	0.2269938222609267	2.454313699192237	1.379969256845273			ibd_uc_stromal:2.45,p=0.012;t1d_stellate_cell:0.775,p=0.028;ibd_crohn_stromal:1.82,p=0.049	False	1.7419257483873338	0.64587516052174	0.137559744547624	0.8989378106274888							1.7838603728217448	0.1419301864108723	1.6419301864108724	0.0	0.0				False	True	0.0	14.089193018641089	True	positive_disease_count>=3_with_MS_anchor	found	Q92736	Ryanodine receptor 2	4967.0	Sarcoplasmic reticulum membrane	3D-structure;Alternative splicing;Calcium;Calcium channel;Calcium transport;Calmodulin-binding;Cardiomyopathy;Coiled coil;Developmental protein;Disease variant;Ion channel;Ion transport;Ligand-gated ion channel;Membrane;Phosphoprotein;Proteomics identification;Receptor;Reference proteome;Repeat;Sarcoplasmic reticulum;Transmembrane;Transmembrane helix;Transport	True	False	6.0		Cytosolic calcium-activated calcium channel that mediates the release of Ca(2+) from the sarcoplasmic reticulum into the cytosol and thereby plays a key role in triggering cardiac muscle contraction. Aberrant channel activation can lead to cardiac arrhythmia. In cardiac myocytes, calcium release is triggered by increased Ca(2+) cytosolic levels due to activation of the L-type calcium channel CACNA1C. The calcium channel activity is modulated by formation of heterotetramers with RYR3. Required for cellular calcium ion homeostasis. Required for embryonic heart development																																https://patents.google.com/?q=RYR2+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; reachable protein class by UniProt location/features	10.0	15	3	0	3	0	0	0	3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		ibd_uc_stromal|ulcerative colitis|colon stromal|role=tissue_resident|delta=2.45|p=0.0119		1.7419257483873338	0.64587516052174	0.137559744547624	0.8989378106274888	False	True	1.0	MS	wave55	0.0		0.0	0.0	0.0	3	1	0	False	0.007305993832994389	IBD_external_antitnf:g=-0.0715,p=0.312,nonctx=2,respctx=2; RA_GSE198520_baseline_synovium:g=-0.792,p=0.00731,nonctx=1,respctx=0; psoriasis_GSE85034_baseline_skin:g=-0.375,p=0.558,nonctx=1,respctx=0	False	False	False	0.0	1.75	4.741925748387334	1.5	7.991925748387334	weak_ms_anchor;limited_cross_disease_breadth;weak_genetic_target_resolution	PARK_ACCESSIBLE_MARKER_OR_WEAK_ROUTE
RHOF	17.0	3.0	0.0	0.0	0.0	3.0	0.0	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus		0.0131153672458357	0.2491755809733345	1.1926780429927222	0.920996608548408			ibd_crohn_myeloid:1.13,p=0.013;sjogren_gland_stromal:0.876,p=0.027;t1d_stellate_cell:1.19,p=0.032	False	0.958311358264864	0.5565395633110964	0.1915339443614679	0.8993702893651148															False	False	0.0	12.0	True	positive_disease_count>=3_with_MS_anchor	found	Q9HBH0	Rho-related GTP-binding protein RhoF	211.0	Cell membrane;Cytoplasm, cytoskeleton	Acetylation;Alternative splicing;Cell membrane;Cytoplasm;Cytoskeleton;GTP-binding;Lipoprotein;Membrane;Methylation;Nucleotide-binding;Prenylation;Proteomics identification;Reference proteome	True	False	0.0	Binding site;Binding site;Binding site	Plasma membrane-associated small GTPase which cycles between an active GTP-bound and an inactive GDP-bound state. Causes the formation of thin, actin-rich surface projections called filopodia. Functions cooperatively with CDC42 and Rac to generate additional structures, increasing the diversity of actin-based morphology																																https://patents.google.com/?q=RHOF+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; reachable protein class by UniProt location/features	10.0	17	5	0	4	0	1	1	4	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus		t1d_stellate_cell|type 1 diabetes mellitus|pancreatic stellate cell|role=tissue_resident|delta=1.19|p=0.0316		0.958311358264864	0.5565395633110964	0.1915339443614679	0.8993702893651148	False	True	0.0			0.0		0.0	0.0	0.0	3	1	0	False	0.03673307519822117	IBD_external_antitnf:g=-0.311,p=0.211,nonctx=3,respctx=1; RA_GSE198520_baseline_synovium:g=-0.764,p=0.0367,nonctx=1,respctx=0; psoriasis_GSE85034_baseline_skin:g=-0.108,p=0.872,nonctx=1,respctx=0	False	False	False	0.0	1.0	5.708311358264864	1.0	7.708311358264864	weak_ms_anchor;weak_genetic_target_resolution	PARK_ACCESSIBLE_MARKER_OR_WEAK_ROUTE
LRIG3	15.0	3.0	0.0	0.0	0.0	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		0.0089079030761151	0.1603146482324397	1.0204627721777868	1.2062222985715227			ibd_crohn_epithelial:0.675,p=0.0089;t1d_stellate_cell:1.02,p=0.036;ibd_uc_epithelial:0.502,p=0.048	False	1.4284885080798049	0.8508598309758607	0.0537582280326119	0.8904676266102052															False	True	0.0	14.0	True	positive_disease_count>=3_with_MS_anchor	found	Q6UXM1	Leucine-rich repeats and immunoglobulin-like domains protein 3	1119.0	Cell membrane;Cytoplasmic vesicle membrane	Alternative splicing;Cell membrane;Cytoplasmic vesicle;Developmental protein;Disulfide bond;Glycoprotein;Immunoglobulin domain;Leucine-rich repeat;Membrane;Proteomics identification;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	True	False	1.0		May play a role in craniofacial and inner ear morphogenesis during embryonic development. May act within the otic vesicle epithelium to control formation of the lateral semicircular canal in the inner ear, possibly by restricting the expression of NTN1 (By similarity)																																https://patents.google.com/?q=LRIG3+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; reachable protein class by UniProt location/features	10.0	15	3	1	3	1	0	0	3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	Sjogren syndrome	t1d_stellate_cell|type 1 diabetes mellitus|pancreatic stellate cell|role=tissue_resident|delta=1.02|p=0.0356	sjogren_gland_apc|Sjogren syndrome|salivary gland APC|role=myeloid_apc|delta=-1.46|p=0.0993	1.4284885080798049	0.8508598309758607	0.0537582280326119	0.8904676266102052	True	True	1.0	Celiac	wave55;wave62	0.0		0.0	0.0	0.0	3	0	1	False	0.03244324909139202	IBD_external_antitnf:g=0.646,p=0.0324,nonctx=0,respctx=4; RA_GSE198520_baseline_synovium:g=-0.195,p=0.49,nonctx=1,respctx=0; psoriasis_GSE85034_baseline_skin:g=0.0979,p=0.828,nonctx=0,respctx=1	False	False	False	0.0	1.75	5.928488508079805	-0.25	7.428488508079805	limited_cross_disease_breadth;directional_negative_context;weak_genetic_target_resolution	PARK_ACCESSIBLE_MARKER_OR_WEAK_ROUTE
BTN3A1	17.0	4.0	0.0	0.0	0.0	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		0.0070705127839726	0.1516184326881906	1.747964187869783	1.323701601461098			ibd_crohn_epithelial:1.15,p=0.0071;ibd_uc_epithelial:1.16,p=0.029;t1d_ductal_cell:1.75,p=0.032;t1d_stellate_cell:1.25,p=0.049	False	0.332851918626238	0.5824156142884032	0.180138895914588	0.8993702893651148															False	False	0.0	13.0	True	positive_disease_count>=3_with_MS_anchor	found	O00481	Butyrophilin subfamily 3 member A1	513.0	Cell membrane	3D-structure;Adaptive immunity;Alternative splicing;Cell membrane;Disulfide bond;Glycoprotein;Immunity;Immunoglobulin domain;Membrane;Proteomics identification;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	True	False	1.0		Plays a role in T-cell activation and in the adaptive immune response. Regulates the proliferation of activated T-cells. Regulates the release of cytokines and IFNG by activated T-cells. Mediates the response of T-cells toward infected and transformed cells that are characterized by high levels of phosphorylated metabolites, such as isopentenyl pyrophosphate																																https://patents.google.com/?q=BTN3A1+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; reachable protein class by UniProt location/features	10.0	17	4	0	3	0	0	0	4	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		t1d_ductal_cell|type 1 diabetes mellitus|pancreatic ductal cell|role=tissue_resident|delta=1.75|p=0.0318		0.332851918626238	0.5824156142884032	0.180138895914588	0.8993702893651148	False	True	0.0			0.0		0.0	0.0	0.0	3	2	0	False	0.018256682443637227	IBD_external_antitnf:g=-0.43,p=0.0183,nonctx=4,respctx=0; RA_GSE198520_baseline_synovium:g=-0.569,p=0.0863,nonctx=1,respctx=0; psoriasis_GSE85034_baseline_skin:g=0.583,p=0.214,nonctx=0,respctx=1	False	False	False	0.0	1.75	3.332851918626238	2.0	7.082851918626238	weak_ms_anchor;limited_cross_disease_breadth;weak_genetic_target_resolution	PARK_ACCESSIBLE_MARKER_OR_WEAK_ROUTE
ABHD13	17.0	3.0	1.0	0.0	0.0	3.0	1.0	Crohn disease;psoriasis;ulcerative colitis	type 1 diabetes mellitus	0.0164921394636003	0.2424874251669218	0.947309447277212	1.5348108953104085	0.0407966899954278	-0.6217224402171997	ibd_uc_myeloid:0.947,p=0.016;psoriasis_skin_stromal:0.458,p=0.019;ibd_crohn_epithelial:0.543,p=0.031	False	0.2523206566289371	0.8151546140958147	0.0675857913143448	0.8989378106274888															False	True	0.0	10.0	True	positive_disease_count>=3_with_MS_anchor	found	Q7L211	Protein ABHD13	337.0	Membrane	Glycoprotein;Hydrolase;Membrane;Proteomics identification;Reference proteome;Signal-anchor;Transmembrane;Transmembrane helix	True	True	1.0	Active site:Charge relay system;Active site:Charge relay system;Active site:Charge relay system																																	https://patents.google.com/?q=ABHD13+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; directional_negative_disease_signal; reachable protein class by UniProt location/features	10.0	17	4	1	3	1	2	2	2	Crohn disease;psoriasis;ulcerative colitis	type 1 diabetes mellitus	psoriasis_skin_apc|psoriasis|skin APC|role=myeloid_apc|delta=1.22|p=0.0525	t1d_endothelial_cell|type 1 diabetes mellitus|pancreatic endothelial cell|role=tissue_resident|delta=-0.622|p=0.0408	0.2523206566289371	0.8151546140958147	0.0675857913143448	0.8989378106274888	True	True	0.0			0.0		0.0	0.0	0.0	3	0	0	False	0.13164147790889633	IBD_external_antitnf:g=0.00495,p=0.132,nonctx=2,respctx=2; RA_GSE198520_baseline_synovium:g=-0.297,p=0.387,nonctx=1,respctx=0; psoriasis_GSE85034_baseline_skin:g=0.327,p=0.527,nonctx=0,respctx=1	False	False	False	1.0	1.75	6.252320656628937	0.0	7.002320656628937	limited_cross_disease_breadth;directional_negative_context;weak_genetic_target_resolution;no_response_or_perturbation_support	PARK_ACCESSIBLE_MARKER_OR_WEAK_ROUTE
TTYH3	17.0	5.0	0.0	2.0	0.0	3.0	0.0	Crohn disease;psoriasis;ulcerative colitis		5.721484198175509e-05	0.0185970673633638	2.068088033664196	2.4026347479358625			ibd_uc_epithelial:2.07,p=5.7e-05;ibd_crohn_epithelial:1.52,p=0.001;ibd_uc_stromal:1.76,p=0.0025;psoriasis_skin_stromal:0.797,p=0.033;ibd_crohn_stromal:1.35,p=0.043	False	0.3792362363776007	0.5887946841863607	0.1845335127721597	0.8993702893651148							4.232849587204522	1.366424793602261	2.866424793602261	0.0	0.0				False	False	0.0	18.211642479360226	True	positive_disease_count>=3_with_MS_anchor	found	Q9C0H2	Protein tweety homolog 3	523.0	Cell membrane	3D-structure;Alternative splicing;Calcium;Cell membrane;Chloride;Chloride channel;Disulfide bond;Glycoprotein;Ion channel;Ion transport;Membrane;Metal-binding;Phosphoprotein;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix;Transport;Ubl conjugation	True	False	5.0	Binding site;Binding site	Calcium-independent, swelling-dependent volume-regulated anion channel (VRAC-swell) which plays a pivotal role in the process of regulatory volume decrease (RVD) in the brain through the efflux of anions like chloride and organic osmolytes like glutamate (By similarity). Probable large-conductance Ca(2+)-activated chloride channel (PubMed:15010458)																															Wave34 genetics/druggability: NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY; no_target_resolved_coloc_or_mr	https://patents.google.com/?q=TTYH3+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; prior_demoted_or_class_blocked; reachable protein class by UniProt location/features	7.0	17	8	0	4	0	0	0	8	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		ibd_uc_epithelial|ulcerative colitis|colon epithelial|role=tissue_resident|delta=2.07|p=5.72e-05		0.3792362363776007	0.5887946841863607	0.1845335127721597	0.8993702893651148	False	True	0.0			0.0		0.0	0.0	0.0	3	1	0	False	0.11917218033597907	IBD_external_antitnf:g=-0.093,p=0.322,nonctx=3,respctx=1; RA_GSE198520_baseline_synovium:g=0.286,p=0.396,nonctx=0,respctx=1; psoriasis_GSE85034_baseline_skin:g=-1.29,p=0.119,nonctx=1,respctx=0	False	False	False	1.0	1.75	4.379236236377601	1.0	6.129236236377601	weak_ms_anchor;weak_genetic_target_resolution	PARK_ACCESSIBLE_MARKER_OR_WEAK_ROUTE
LITAF	17.0	3.0	0.0	0.0	0.0	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		0.0198794358380266	0.289181658767819	1.1553043961161509	1.4968667215380047			ibd_uc_myeloid:1.14,p=0.02;ibd_crohn_myeloid:1.16,p=0.021;t1d_acinar_cell:0.662,p=0.032	False	0.3084198322537244	0.5968595911362213	0.1715754140954014	0.8993702893651148															False	False	0.0	12.0	True	positive_disease_count>=3_with_MS_anchor	found	Q99732	Lipopolysaccharide-induced tumor necrosis factor-alpha factor	161.0	Cell membrane;Cytoplasm;Early endosome membrane;Endosome membrane;Golgi apparatus membrane;Late endosome membrane;Lysosome membrane;Nucleus	Alternative splicing;Cell membrane;Charcot-Marie-Tooth disease;Cytoplasm;DNA-binding;Disease variant;Endosome;Golgi apparatus;Lysosome;Membrane;Metal-binding;Neurodegeneration;Neuropathy;Nucleus;Phosphoprotein;Proteomics identification;Reference proteome;Transcription;Transcription regulation;Zinc	True	False	0.0	Binding site;Binding site;Binding site;Binding site	Plays a role in endosomal protein trafficking and in targeting proteins for lysosomal degradation (PubMed:23166352). Plays a role in targeting endocytosed EGFR and ERGG3 for lysosomal degradation, and thereby helps down-regulate downstream signaling cascades (PubMed:23166352). Helps recruit the ESCRT complex components TSG101, HGS and STAM to cytoplasmic membranes (PubMed:23166352). Probably plays a role in regulating protein degradation via its interaction with NEDD4 (PubMed:15776429). May also contribute to the regulation of gene expression in the nucleus (PubMed:10200294, PubMed:15793005). Binds DNA (in vitro) and may play a synergistic role with STAT6 in the nucleus in regulating the exp																																https://patents.google.com/?q=LITAF+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; reachable protein class by UniProt location/features	10.0	17	4	0	3	0	2	2	2	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		ibd_crohn_myeloid|Crohn disease|colon myeloid|role=myeloid_apc|delta=1.16|p=0.0209		0.3084198322537244	0.5968595911362213	0.1715754140954014	0.8993702893651148	False	True	2.0	Crohn;UC	wave55	0.0		0.0	0.0	0.0	3	2	1	True	0.011569856227383764	IBD_external_antitnf:g=-0.694,p=0.0116,nonctx=3,respctx=1; RA_GSE198520_baseline_synovium:g=0.729,p=0.04,nonctx=0,respctx=1; psoriasis_GSE85034_baseline_skin:g=-1.02,p=0.0287,nonctx=1,respctx=0	False	False	False	0.0	1.0	4.808419832253724	0.25	6.058419832253724	weak_ms_anchor;limited_cross_disease_breadth;response_direction_conflict	PARK_ACCESSIBLE_MARKER_OR_WEAK_ROUTE
FNDC3B	17.0	5.0	0.0	0.0	0.0	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		0.0030451275443327	0.1400993454134808	1.3516873106494058	1.6374769743393196			ibd_crohn_myeloid:1.35,p=0.003;ibd_crohn_epithelial:0.526,p=0.0051;ibd_uc_myeloid:1.35,p=0.016;ibd_uc_epithelial:0.658,p=0.017;t1d_ductal_cell:0.594,p=0.034	False	0.2759492293845866	0.6583267675602672	0.1275202300872474	0.8989378106274888															False	True	0.0	16.0	True	positive_disease_count>=3_with_MS_anchor	found	Q53EP0	Fibronectin type III domain-containing protein 3B	1204.0	Membrane	Alternative splicing;Membrane;Phosphoprotein;Proteomics identification;Reference proteome;Repeat;Transmembrane;Transmembrane helix	True	False	1.0		May be a positive regulator of adipogenesis																																https://patents.google.com/?q=FNDC3B+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; reachable protein class by UniProt location/features	10.0	17	6	0	3	0	2	2	4	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		ibd_crohn_myeloid|Crohn disease|colon myeloid|role=myeloid_apc|delta=1.35|p=0.00305		0.2759492293845866	0.6583267675602672	0.1275202300872474	0.8989378106274888	False	True	0.0			0.0		0.0	0.0	0.0	3	2	1	True	0.0035781468348588725	IBD_external_antitnf:g=-0.341,p=0.167,nonctx=4,respctx=0; RA_GSE198520_baseline_synovium:g=0.983,p=0.00358,nonctx=0,respctx=1; psoriasis_GSE85034_baseline_skin:g=-0.765,p=0.196,nonctx=1,respctx=0	False	False	False	0.0	1.75	4.775949229384587	-0.75	5.775949229384587	weak_ms_anchor;limited_cross_disease_breadth;weak_genetic_target_resolution;response_direction_conflict	PARK_ACCESSIBLE_MARKER_OR_WEAK_ROUTE
SRPRB	17.0	3.0	0.0	1.0	0.0	3.0	0.0	Crohn disease;psoriasis;ulcerative colitis		0.0009782529960792	0.0887611741911268	0.9544847491241376	2.191613716085276			ibd_crohn_epithelial:0.883,p=0.00098;ibd_uc_epithelial:0.954,p=0.0035;psoriasis_keratinocyte:0.61,p=0.039	False	0.3675286242333886	0.5375269196499866	0.2065821317720323	0.8993702893651148															False	False	0.0	14.0	True	positive_disease_count>=3_with_MS_anchor	found	Q9Y5M8	Signal recognition particle receptor subunit beta	271.0	Endoplasmic reticulum membrane	3D-structure;Endoplasmic reticulum;GTP-binding;Membrane;Nucleotide-binding;Phosphoprotein;Proteomics identification;Receptor;Reference proteome;Transmembrane;Transmembrane helix	True	False	1.0	Binding site;Binding site;Binding site;Binding site	Component of the signal recognition particle (SRP) complex receptor (SR) (By similarity). Ensures, in conjunction with the SRP complex, the correct targeting of the nascent secretory proteins to the endoplasmic reticulum membrane system (By similarity). May mediate the membrane association of SR (By similarity)																																https://patents.google.com/?q=SRPRB+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; reachable protein class by UniProt location/features	10.0	17	6	1	4	1	0	0	6	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	Crohn disease	ibd_uc_epithelial|ulcerative colitis|colon epithelial|role=tissue_resident|delta=0.954|p=0.00349	ibd_crohn_myeloid|Crohn disease|colon myeloid|role=myeloid_apc|delta=-0.629|p=0.0875	0.3675286242333886	0.5375269196499866	0.2065821317720323	0.8993702893651148	False	False	0.0			0.0		0.0	0.0	0.0	3	1	0	False	0.05130288369366676	IBD_external_antitnf:g=-0.338,p=0.0513,nonctx=3,respctx=1; RA_GSE198520_baseline_synovium:g=0.256,p=0.483,nonctx=0,respctx=1; psoriasis_GSE85034_baseline_skin:g=-0.145,p=0.743,nonctx=1,respctx=0	False	False	False	0.0	1.75	2.8675286242333886	1.0	5.617528624233389	weak_ms_anchor;directional_negative_context;weak_genetic_target_resolution	PARK_ACCESSIBLE_MARKER_OR_WEAK_ROUTE
LY6E	17.0	3.0	0.0	0.0	0.0	3.0	0.0	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus		0.0180415140842396	0.3460182842246059	1.477329536705387	1.318541406038544			t1d_acinar_cell:1.23,p=0.018;ibd_crohn_myeloid:1.11,p=0.033;sjogren_gland_apc:1.48,p=0.045	False	0.3272828033253923	0.517960505549519	0.2373098656275115	0.9004758652001262															False	False	0.0	12.0	True	positive_disease_count>=3_with_MS_anchor	found	Q16553	Lymphocyte antigen 6E	131.0	Cell membrane	Cell membrane;Disulfide bond;GPI-anchor;Glycoprotein;Host-virus interaction;Lipoprotein;Membrane;Proteomics identification;Reference proteome;Signal	True	False	0.0		GPI-anchored cell surface protein that regulates T-lymphocytes proliferation, differentiation, and activation. Regulates the T-cell receptor (TCR) signaling by interacting with component CD3Z/CD247 at the plasma membrane, leading to CD3Z/CD247 phosphorylation modulation (By similarity). Restricts the entry of human coronaviruses, including SARS-CoV, MERS-CoV and SARS-CoV-2, by interfering with spike protein-mediated membrane fusion (PubMed:32641482). Also plays an essential role in placenta formation by acting as the main receptor for syncytin-A (SynA). Therefore, participates in the normal fusion of syncytiotrophoblast layer I (SynT-I) and in the proper morphogenesis of both fetal and mater																																https://patents.google.com/?q=LY6E+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; reachable protein class by UniProt location/features	10.0	17	4	0	4	0	3	3	1	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus		sjogren_gland_apc|Sjogren syndrome|salivary gland APC|role=myeloid_apc|delta=1.48|p=0.0451		0.3272828033253923	0.517960505549519	0.2373098656275115	0.9004758652001262	False	False	0.0			0.0		0.0	0.0	0.0	3	1	2	True	0.02015196330753024	IBD_external_antitnf:g=-0.846,p=0.0202,nonctx=4,respctx=0; RA_GSE198520_baseline_synovium:g=0.412,p=0.0843,nonctx=0,respctx=1; psoriasis_GSE85034_baseline_skin:g=0.871,p=0.0741,nonctx=0,respctx=1	False	False	False	0.0	1.0	6.577282803325392	-2.5	5.077282803325392	weak_ms_anchor;weak_genetic_target_resolution;response_direction_conflict	PARK_ACCESSIBLE_MARKER_OR_WEAK_ROUTE
CXCL9	15.0	3.0	0.0	0.0	0.0	3.0	0.0	Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis		0.01456742588285	0.311062312037304	3.28140207009713	1.335876151471146			t1d_stellate_cell:1.47,p=0.015;sjogren_gland_apc:2.6,p=0.025;ibd_uc_myeloid:3.28,p=0.041	False	2.5544176187121583	0.9836621598115608	0.0309913568123503	0.8506970233122761															True	True	0.0	19.0	True	positive_disease_count>=3_with_MS_anchor	found	Q07325	C-X-C motif chemokine 9	125.0	Secreted	Cytokine;Direct protein sequencing;Disulfide bond;Inflammatory response;Proteomics identification;Reference proteome;Secreted;Signal	True	False	0.0		Cytokine that affects the growth, movement, or activation state of cells that participate in immune and inflammatory response. Chemotactic for activated T-cells. Binds to CXCR3																																https://patents.google.com/?q=CXCL9+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; generic_ifn_cytokine_or_chemokine_axis; reachable protein class by UniProt location/features	10.0	15	5	0	5	0	4	4	1	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis		psoriasis_skin_apc|psoriasis|skin APC|role=myeloid_apc|delta=4.37|p=0.059		2.5544176187121583	0.9836621598115608	0.0309913568123503	0.8506970233122761	True	True	0.0		wave55	0.0		0.0	0.0	0.0	3	1	0	False	0.007590786663719715	IBD_external_antitnf:g=-0.589,p=0.00759,nonctx=4,respctx=0; RA_GSE198520_baseline_synovium:g=0.18,p=0.51,nonctx=0,respctx=1; psoriasis_GSE85034_baseline_skin:g=0.207,p=0.656,nonctx=0,respctx=1	False	False	True	9.0	1.0	12.25	1.0	5.25	prior_or_class_saturated;generic_immune_marker;weak_genetic_target_resolution	NO_GO_ACCESSIBLE_STATE_RERANK
