gene	tested_compartment_count	positive_compartment_count	negative_compartment_count	positive_fdr10_compartment_count	negative_fdr10_compartment_count	positive_disease_count	negative_disease_count	positive_diseases	negative_diseases	best_positive_p	best_positive_fdr	max_positive_delta_log2_cpm	median_positive_hedges_g	best_negative_p	min_negative_delta_log2_cpm	top_positive_compartments	in_lipid_lysosomal_myeloid_neighborhood	ms_wm_delta_log2	ms_wm_hedges_g	ms_wm_p	ms_wm_fdr	opentargets_disease_count	opentargets_diseases	opentargets_max_overall	opentargets_max_genetic_association	opentargets_max_known_drug_or_clinical	opentargets_channels_present	existing_priority_score	existing_weighted_evidence_score	existing_ms_anchor_score	existing_positive_disease_count	existing_negative_disease_count	existing_positive_diseases	existing_negative_diseases	existing_prior_flag	ms_positive_nominal	ms_positive_trend	genetic_or_target_db_breadth	discovery_priority_score	has_ms_anchor	broad_pool_reason	uniprot_status	uniprot_accession	protein_name	sequence_length	uniprot_locations	uniprot_keywords	uniprot_accessible	uniprot_enzymatic_or_catalytic	uniprot_transmembrane_feature_count	uniprot_active_or_binding_features	function_excerpt	family	n_delta_fdr10_positive_diseases	n_delta_trend_or_better_diseases	n_delta_negative_trend_diseases	n_state_resid_non_ifn_r_ge_0_35_diseases	n_confounder_dominant_diseases	rank_score	go_no_go	demotion_or_support_reason	chembl_status	chembl_target_chembl_id	chembl_target_pref_name	chembl_target_type	chembl_target_organism	chembl_target_accessions	chembl_search_hit_count	chembl_url	chembl_activity_count	chembl_activity_values_nM_count	chembl_unique_molecules_returned	chembl_best_standard_value_nM_returned	chembl_median_standard_value_nM_returned	europepmc_query	europepmc_hit_count	europepmc_examples_json	europepmc_url	clinicaltrials_query	clinicaltrials_hit_count	clinicaltrials_examples_json	clinicaltrials_url	prior_flags	google_patents_url	wave39_call	wave39_reason	wave39_score
CD82	17.0	6.0	0.0	0.0	0.0	5.0	0.0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0022868359631754	0.1044115756286818	1.5051228695127117	1.546146889675453			ibd_uc_epithelial:1.24,p=0.0023;sjogren_gland_stromal:0.693,p=0.01;ibd_uc_stromal:1.51,p=0.014;t1d_ductal_cell:0.526,p=0.025;ibd_crohn_epithelial:0.726,p=0.025;psoriasis_keratinocyte:0.372,p=0.037	False	0.5036946542270737	0.6132148315417044	0.1728910748647989	0.8993702893651148															False	False	0.0	21.0	True	positive_disease_count>=4	found	P27701	CD82 antigen	267.0	Cell membrane;Cytoplasmic vesicle, phagosome	Alternative splicing;Cell membrane;Cytoplasmic vesicle;Glycoprotein;Lipoprotein;Membrane;Palmitate;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix	True	True	4.0		Structural component of specialized membrane microdomains known as tetraspanin-enriched microdomains (TERMs), which act as platforms for receptor clustering and signaling (PubMed:19497983). Participates thereby in diverse biological functions such as cell signal transduction, adhesion, migration and protein trafficking. Acts as a attenuator of EGF signaling, facilitating ligand-induced endocytosis of the receptor and its subsequent desensitization (PubMed:10985391, PubMed:35538033). Mechanistically, modulates ligand-induced ubiquitination and trafficking of EGFR via E3 ligase CBL phosphorylation by PKC (PubMed:23897813). Increases cell-matrix adhesion by regulating the membrane organization 										not_found_exact						0.0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CD82	0.0	0.0				"""CD82"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	941.0	"[{""doi"": ""10.1016/j.xcrm.2026.102703"", ""id"": ""41895287"", ""source"": ""MED"", ""title"": ""Multi-omics reveal vitamin D regulation of immune-gut microbiome interactions and tolerogenic pathways in inflammatory bowel disease."", ""year"": ""2026""}, {""doi"": ""10.3390/ijms26199365"", ""id"": ""41096634"", ""source"": ""MED"", ""title"": ""Special Issue: Autoimmune Diseases: A Swing Dance of Immune Cells."", ""year"": ""2025""}, {""doi"": ""10.1016/j.stemcr.2026.102868"", ""id"": ""41932339"", ""source"": ""MED"", ""title"": ""Discovery of kidney disease targets using multimodal human podocyte injury models."", ""year"": ""2026""}]"	https://europepmc.org/search?query=%22CD82%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29	CD82 autoimmune	0.0	[]	https://clinicaltrials.gov/search?term=CD82+autoimmune	prior Wave21 demotion: broad raw state marker, no strict residual or direction | Wave21 prior-art review: Do not follow up. | Wave25 causal proxy: MODULE_MARKER_NOT_GENETICALLY_ANCHORED	https://patents.google.com/?q=CD82+autoimmune+antibody+inhibitor+agonist	PARK_REVIEW	prior_demoted_or_class_blocked; reachable protein class by UniProt location/features	11.0
CHI3L1	16.0	4.0	0.0	1.0	0.0	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		0.0005617189029733	0.0626560483677375	5.935692735666803	1.7017607091962836			ibd_uc_stromal:5.94,p=0.00056;ibd_crohn_stromal:4.7,p=0.011;t1d_endothelial_cell:2.71,p=0.038;t1d_stellate_cell:1.53,p=0.043	True	2.006853151074319	1.3467454734949036	0.0046126032857275	0.8344760564031432							4.938511651385653	1.7192558256928263	3.2192558256928265	1.0	0.0	MS			True	True	0.0	23.246925582569283	True	positive_disease_count>=3_with_MS_anchor	found	P36222	Chitinase-3-like protein 1	383.0	Cytoplasm;Cytoplasm, perinuclear region;Endoplasmic reticulum;Secreted, extracellular space	3D-structure;Antimicrobial;Apoptosis;Asthma;Cytoplasm;Direct protein sequencing;Disulfide bond;Endoplasmic reticulum;Glycoprotein;Inflammatory response;Lectin;Proteomics identification;Reference proteome;Schizophrenia;Secreted;Signal	True	False	0.0	Binding site;Binding site;Binding site;Binding site;Binding site;Binding site	Carbohydrate-binding lectin with a preference for chitin. Has no chitinase activity. May play a role in tissue remodeling and in the capacity of cells to respond to and cope with changes in their environment. Plays a role in T-helper cell type 2 (Th2) inflammatory response and IL-13-induced inflammation, regulating allergen sensitization, inflammatory cell apoptosis, dendritic cell accumulation and M2 macrophage differentiation. Facilitates invasion of pathogenic enteric bacteria into colonic mucosa and lymphoid organs. Mediates activation of AKT1 signaling pathway and subsequent IL8 production in colonic epithelial cells. Regulates antibacterial responses in lung by contributing to macropha																															secreted biomarker-dominated route; prior Wave18 parked | Wave18 accessible-target rescue: PARK; local recurrence below promotion threshold (3<4 disease union); state-coupled support below threshold (0<4 disease union); prior-art saturation high (EuropePMC=1833, ClinicalTrials=9)	https://patents.google.com/?q=CHI3L1+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; prior_demoted_or_class_blocked; reachable protein class by UniProt location/features	7.0
CRTAP	17.0	3.0	2.0	0.0	0.0	3.0	2.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	Crohn disease;ulcerative colitis	0.020423020726336	0.2085759398696079	0.9888210641004522	1.4719463050022648	0.0038783435888698	-0.9276239126018836	ibd_crohn_epithelial:0.644,p=0.02;t1d_acinar_cell:0.428,p=0.023;ibd_uc_epithelial:0.989,p=0.023	False	0.3843746543733211	0.8753546948055304	0.0498891394668517	0.8768579428612613															True	True	0.0	11.0	True	positive_disease_count>=3_with_MS_anchor	found	O75718	Cartilage-associated protein	401.0	Secreted, extracellular space, extracellular matrix	3D-structure;Disease variant;Dwarfism;Extracellular matrix;Glycoprotein;Hydroxylation;Osteogenesis imperfecta;Proteomics identification;Reference proteome;Secreted;Signal	True	False	0.0		Necessary for efficient 3-hydroxylation of fibrillar collagen prolyl residues																															Wave34 genetics/druggability: NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY; nan	https://patents.google.com/?q=CRTAP+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; prior_demoted_or_class_blocked; directional_negative_disease_signal; reachable protein class by UniProt location/features	4.0
CXCL1	17.0	6.0	0.0	3.0	0.0	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		3.774756042284724e-05	0.0201657535513027	4.92951859642463	2.369949185235371			t1d_endothelial_cell:4.93,p=3.8e-05;ibd_uc_epithelial:3.76,p=6.7e-05;ibd_crohn_epithelial:2.74,p=0.00046;t1d_stellate_cell:3.04,p=0.0014;t1d_acinar_cell:3.69,p=0.0041;t1d_ductal_cell:1.81,p=0.005	False	1.2680322005771751	0.6200259322607544	0.1506253392240219	0.8989378106274888															False	False	0.0	21.0	True	positive_disease_count>=3_with_MS_anchor	found	P09341	Growth-regulated alpha protein	107.0	Secreted	3D-structure;Cytokine;Direct protein sequencing;Disulfide bond;Growth factor;Inflammatory response;Proteomics identification;Reference proteome;Secreted;Signal	True	False	0.0		Has chemotactic activity for neutrophils. May play a role in inflammation and exerts its effects on endothelial cells in an autocrine fashion. In vitro, the processed forms GRO-alpha(4-73), GRO-alpha(5-73) and GRO-alpha(6-73) show a 30-fold higher chemotactic activity																															Wave34 genetics/druggability: NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY; no_target_resolved_coloc_or_mr	https://patents.google.com/?q=CXCL1+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; prior_demoted_or_class_blocked; reachable protein class by UniProt location/features	7.0
CXCL11	16.0	3.0	0.0	0.0	0.0	3.0	0.0	Crohn disease;psoriasis;ulcerative colitis		0.0030344746360804	0.1332579567234817	3.929186801101718	2.041969727418463			ibd_uc_stromal:2.77,p=0.003;ibd_crohn_myeloid:3.93,p=0.007;psoriasis_skin_stromal:2.03,p=0.041	False	1.4257281563943538	0.5619393942266113	0.2008760468856298	0.8993702893651148															False	False	0.0	12.0	True	positive_disease_count>=3_with_MS_anchor	found	O14625	C-X-C motif chemokine 11	94.0	Secreted	3D-structure;Chemotaxis;Citrullination;Cytokine;Direct protein sequencing;Disulfide bond;Inflammatory response;Proteomics identification;Reference proteome;Secreted;Signal	True	False	0.0		Chemotactic for interleukin-activated T-cells but not unstimulated T-cells, neutrophils or monocytes. Induces calcium release in activated T-cells. Binds to CXCR3. May play an important role in CNS diseases which involve T-cell recruitment. May play a role in skin immune responses																																https://patents.google.com/?q=CXCL11+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; generic_ifn_cytokine_or_chemokine_axis; reachable protein class by UniProt location/features	10.0
CXCL9	15.0	3.0	0.0	0.0	0.0	3.0	0.0	Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis		0.01456742588285	0.311062312037304	3.28140207009713	1.335876151471146			t1d_stellate_cell:1.47,p=0.015;sjogren_gland_apc:2.6,p=0.025;ibd_uc_myeloid:3.28,p=0.041	False	2.5544176187121583	0.9836621598115608	0.0309913568123503	0.8506970233122761															True	True	0.0	19.0	True	positive_disease_count>=3_with_MS_anchor	found	Q07325	C-X-C motif chemokine 9	125.0	Secreted	Cytokine;Direct protein sequencing;Disulfide bond;Inflammatory response;Proteomics identification;Reference proteome;Secreted;Signal	True	False	0.0		Cytokine that affects the growth, movement, or activation state of cells that participate in immune and inflammatory response. Chemotactic for activated T-cells. Binds to CXCR3																																https://patents.google.com/?q=CXCL9+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; generic_ifn_cytokine_or_chemokine_axis; reachable protein class by UniProt location/features	10.0
FABP5																	True																							False								False																																					NOT_IN_W39_MANUAL_LIPID_INCLUDE	manual_include_from_wave91_or_lipid_axis	
FNDC3B	17.0	5.0	0.0	0.0	0.0	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		0.0030451275443327	0.1400993454134808	1.3516873106494058	1.6374769743393196			ibd_crohn_myeloid:1.35,p=0.003;ibd_crohn_epithelial:0.526,p=0.0051;ibd_uc_myeloid:1.35,p=0.016;ibd_uc_epithelial:0.658,p=0.017;t1d_ductal_cell:0.594,p=0.034	False	0.2759492293845866	0.6583267675602672	0.1275202300872474	0.8989378106274888															False	True	0.0	16.0	True	positive_disease_count>=3_with_MS_anchor	found	Q53EP0	Fibronectin type III domain-containing protein 3B	1204.0	Membrane	Alternative splicing;Membrane;Phosphoprotein;Proteomics identification;Reference proteome;Repeat;Transmembrane;Transmembrane helix	True	False	1.0		May be a positive regulator of adipogenesis																																https://patents.google.com/?q=FNDC3B+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; reachable protein class by UniProt location/features	10.0
FXYD5	17.0	6.0	1.0	1.0	1.0	4.0	1.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	Crohn disease	0.000881266463104	0.0954955339699752	2.3162634762897056	1.3325326560636377	0.0002136897147864	-0.978558928416258	t1d_endothelial_cell:0.89,p=0.00088;t1d_stellate_cell:0.783,p=0.031;ibd_uc_epithelial:2.32,p=0.032;t1d_acinar_cell:1.25,p=0.04;ibd_crohn_epithelial:0.831,p=0.043;psoriasis_keratinocyte:1.4,p=0.045	False	0.3524746864413863	0.8521804117551859	0.0587113391653537	0.8989378106274888															False	True	0.0	18.0	True	positive_disease_count>=4	found	Q96DB9	FXYD domain-containing ion transport regulator 5	178.0	Basolateral cell membrane;Cell membrane	Alternative splicing;Cell membrane;Glycoprotein;Ion transport;Membrane;Potassium;Potassium transport;Proteomics identification;Reference proteome;Signal;Sodium;Sodium transport;Sodium/potassium transport;Transmembrane;Transmembrane helix;Transport	True	False	1.0		Associates with and regulates the activity of the sodium/potassium-transporting ATPase (NKA) which catalyzes the hydrolysis of ATP coupled with the exchange of Na(+) and K(+) ions across the plasma membrane (By similarity). May increase NKA activity by increasing the apparent affinity for Na(+) (PubMed:18263667). Involved in down-regulation of E-cadherin which results in reduced cell adhesion. Promotes metastasis (PubMed:11756660)										not_found_exact						0.0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=FXYD5	0.0	0.0				"""FXYD5"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	104.0	"[{""doi"": ""10.1016/j.gendis.2025.101847"", ""id"": ""41630949"", ""source"": ""MED"", ""title"": ""The functions of FXYD family members in human health and disease."", ""year"": ""2026""}, {""doi"": ""10.1186/s12935-025-04080-7"", ""id"": ""41526926"", ""source"": ""MED"", ""title"": ""Development and validation of a diagnostic machine learning model for gastric cancer risk based on double-negative T cell-related features."", ""year"": ""2026""}, {""doi"": ""10.1002/hsr2.71659"", ""id"": ""41542331"", ""source"": ""MED"", ""title"": ""Integrated Single Cell Spatial Analysis Reveals Dysregulated Basal Progenitor Cells in Ulcerative Colitis Pathogenesis: A Multi Omics Study."", ""year"": ""2026""}]"	https://europepmc.org/search?query=%22FXYD5%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29	FXYD5 autoimmune	0.0	[]	https://clinicaltrials.gov/search?term=FXYD5+autoimmune		https://patents.google.com/?q=FXYD5+autoimmune+antibody+inhibitor+agonist	PARK_REVIEW	directional_negative_disease_signal; reachable protein class by UniProt location/features	10.5
GBP1	17.0	3.0	0.0	2.0	0.0	3.0	0.0	Crohn disease;psoriasis;ulcerative colitis		0.0005633415265197	0.082977307796108	3.612854517417042	2.686379918056668			ibd_uc_myeloid:2.98,p=0.00056;ibd_crohn_myeloid:3.61,p=0.00063;psoriasis_skin_apc:2.21,p=0.042	False	0.491428502182563	0.8000728439177743	0.0681848307220474	0.8989378106274888							0.5354407156784191	-0.9645592843215808	1.5	0.0	0.0				False	True	0.0	18.02677203578392	True	positive_disease_count>=3_with_MS_anchor	found	P32455	Guanylate-binding protein 1	592.0	Cell membrane;Cytoplasm, cytosol;Cytoplasmic vesicle membrane;Golgi apparatus membrane;Secreted	3D-structure;Antiviral defense;Cell membrane;Cytoplasm;Cytoplasmic vesicle;GTP-binding;Golgi apparatus;Hydrolase;Immunity;Innate immunity;Isopeptide bond;Lipoprotein;Membrane;Methylation;Nucleotide-binding;Phosphoprotein;Prenylation;Proteomics identification;Reference proteome;Secreted;Ubl conjugation	True	True	0.0	Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site	Interferon (IFN)-inducible GTPase that plays important roles in innate immunity against a diverse range of bacterial, viral and protozoan pathogens (PubMed:16511497, PubMed:22106366, PubMed:29144452, PubMed:31268602, PubMed:32510692, PubMed:32581219, PubMed:37797010, PubMed:7512561). Hydrolyzes GTP to GMP in two consecutive cleavage reactions: GTP is first hydrolyzed to GDP and then to GMP in a processive manner (PubMed:16511497, PubMed:32510692, PubMed:7512561, PubMed:39394410). Following infection, recruited to the pathogen-containing vacuoles or vacuole-escaped bacteria and promotes both inflammasome assembly and autophagy (PubMed:29144452, PubMed:31268602). Acts as a positive regulator o																																https://patents.google.com/?q=GBP1+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; generic_ifn_cytokine_or_chemokine_axis; reachable protein class by UniProt location/features	11.5
GPNMB																	True																							False								False																																					NOT_IN_W39_MANUAL_LIPID_INCLUDE	manual_include_from_wave91_or_lipid_axis	
HLA-DRA	14.0	3.0	0.0	0.0	0.0	3.0	0.0	Crohn disease;Sjogren syndrome;ulcerative colitis		0.0037431728214531	0.161921384243311	4.337059743305548	1.8394097351407943			sjogren_gland_epithelial:1.81,p=0.0037;ibd_uc_epithelial:4.34,p=0.0063;ibd_crohn_epithelial:3.79,p=0.011	False	0.2891316379039903	0.7323559303695486	0.0967712300030488	0.8989378106274888							5.5446481581119755	2.022324079055988	3.522324079055988	1.0	0.0	MS			False	True	0.0	14.2772324079056	True	positive_disease_count>=3_with_MS_anchor	found	P01903	HLA class II histocompatibility antigen, DR alpha chain	254.0	Autolysosome membrane;Cell membrane;Early endosome membrane;Endoplasmic reticulum membrane;Late endosome membrane;Lysosome membrane	3D-structure;Adaptive immunity;Cell membrane;Cytoplasmic vesicle;Direct protein sequencing;Disulfide bond;Endoplasmic reticulum;Endosome;Glycoprotein;Host-virus interaction;Immunity;Isopeptide bond;Lysosome;MHC II;Membrane;Proteomics identification;Reference proteome;Signal;Transmembrane;Transmembrane helix;Ubl conjugation	True	False	1.0		An alpha chain of antigen-presenting major histocompatibility complex class II (MHCII) molecule. In complex with the beta chain HLA-DRB, displays antigenic peptides on professional antigen presenting cells (APCs) for recognition by alpha-beta T cell receptor (TCR) on HLA-DR-restricted CD4-positive T cells. This guides antigen-specific T-helper effector functions, both antibody-mediated immune response and macrophage activation, to ultimately eliminate the infectious agents and transformed cells (PubMed:15265931, PubMed:15322540, PubMed:17334368, PubMed:22327072, PubMed:24190431, PubMed:27591323, PubMed:29884618, PubMed:31495665, PubMed:8145819, PubMed:9075930). Typically presents extracellul	state_positive_control	1.0	6.0	0.0	7.0	0.0	10.5	NO_GO	state-definition positive control, not dependency nomination																							https://patents.google.com/?q=HLA-DRA+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; core_machinery_or_hla_marker; reachable protein class by UniProt location/features; Wave15 residual state support in 7 diseases	13.75
HLA-DRB1	14.0	5.0	0.0	0.0	0.0	4.0	0.0	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis		0.0023655595695249	0.1570585765123967	3.795903637057884	1.295860028935407			t1d_stellate_cell:1.72,p=0.0024;sjogren_gland_epithelial:1.69,p=0.0052;ibd_uc_epithelial:3.8,p=0.0057;t1d_endothelial_cell:1.53,p=0.013;ibd_crohn_epithelial:3.01,p=0.017	False	0.5468677387854282	0.8375223417578668	0.057765674762618	0.8989378106274888															False	True	0.0	19.0	True	positive_disease_count>=4	found	P01911	HLA class II histocompatibility antigen, DRB1 beta chain	266.0	Autolysosome membrane;Cell membrane;Endoplasmic reticulum membrane;Late endosome membrane;Lysosome membrane	3D-structure;Adaptive immunity;Cell membrane;Cytoplasmic vesicle;Direct protein sequencing;Disulfide bond;Endoplasmic reticulum;Endosome;Glycoprotein;Immunity;Isopeptide bond;Lysosome;MHC II;Membrane;Proteomics identification;Reference proteome;Signal;Transmembrane;Transmembrane helix;Ubl conjugation	True	False	1.0	Binding site;Binding site;Binding site;Binding site;Binding site	A beta chain of antigen-presenting major histocompatibility complex class II (MHCII) molecule. In complex with the alpha chain HLA-DRA, displays antigenic peptides on professional antigen presenting cells (APCs) for recognition by alpha-beta T cell receptor (TCR) on HLA-DRB1-restricted CD4-positive T cells. This guides antigen-specific T-helper effector functions, both antibody-mediated immune response and macrophage activation, to ultimately eliminate the infectious agents and transformed cells (PubMed:15265931, PubMed:16148104, PubMed:22327072, PubMed:27591323, PubMed:29884618, PubMed:31495665, PubMed:8642306). Typically presents extracellular peptide antigens of 10 to 30 amino acids that 	state_positive_control	1.0	7.0	0.0	7.0	0.0	11.5	NO_GO	state-definition positive control, not dependency nomination	found	CHEMBL3831291	HLA class II histocompatibility antigen, DRB1-15 beta chain	SINGLE PROTEIN	Homo sapiens	P01911	20.0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=HLA-DRB1	105.0	100.0	54.0	0.6	405.0	"""HLA-DRB1"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	16705.0	"[{""doi"": ""10.14218/jcth.2025.00153"", ""id"": ""41089714"", ""source"": ""MED"", ""title"": ""Autoimmune Hepatitis Associated with Other Autoimmune Diseases: A Critical Review."", ""year"": ""2025""}, {""doi"": ""10.1111/tan.70759"", ""id"": ""42174329"", ""source"": ""MED"", ""title"": ""An Accurate Genetic Colocalisation Method for the HLA Locus."", ""year"": ""2026""}, {""doi"": ""10.1167/tvst.15.2.15"", ""id"": ""41677390"", ""source"": ""MED"", ""title"": ""Exploring the Genetic Association and Genetic Architecture of Iridocyclitis and Extraocular Autoimmune Diseases."", ""year"": ""2026""}]"	https://europepmc.org/search?query=%22HLA-DRB1%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29	HLA-DRB1 autoimmune	5.0	"[{""conditions"": [""Multiple Sclerosis"", ""Magnetic Resonance Imaging"", ""Biomarkers"", ""Clinically Isolated Syndrome"", ""Radiologically Isolated Syndrome""], ""nct_id"": ""NCT03586986"", ""status"": ""UNKNOWN"", ""title"": ""Risk Factors in Early Multiple Sclerosis""}, {""conditions"": [""Pemphigus"", ""Bullous Pemphigoid"", ""Stevens-Johnson Syndrome"", ""Toxic Epidermal Necrolyses""], ""nct_id"": ""NCT05284929"", ""status"": ""UNKNOWN"", ""title"": ""Human Leukocyte Antigen Class II (DRB1 and DQB1) Alleles and Haplotypes Frequencies in Patients With Pemphigus Vulgaris Among the Russian Population""}, {""conditions"": [""Diabetes Mellitus, Type I""], ""nct_id"": ""NCT06860516"", ""status"": ""RECRUITING"", ""title"": ""HLA Demographics Study in Adults With Type 1 Diabetes""}, {""conditions"": [""Pediatric Multiple Sclerosis""], ""nct_id"": ""NCT01396343"", ""status"": ""COMPLETED"", ""title"": ""Environmental and Genetic Risk Factors for Pediatric Multiple Sclerosis""}, {""conditions"": [""Bullous Pemphigoid""], ""nct_id"": ""NCT02874079"", ""status"": ""UNKNOWN"", ""title"": ""Genetic Susceptibility and Influence of the Microbiomae in Bullous Pemphigoid""}]"	https://clinicaltrials.gov/search?term=HLA-DRB1+autoimmune	Wave25 causal proxy: MODULE_MARKER_NOT_GENETICALLY_ANCHORED	https://patents.google.com/?q=HLA-DRB1+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	prior_demoted_or_class_blocked; core_machinery_or_hla_marker; prior_art_or_trial_saturation; reachable protein class by UniProt location/features; ChEMBL exact target found; ChEMBL activity records: 105; Wave15 residual state support in 7 diseases	8.8
