pathway	perturbation	cell_type	gene	log2fc	p	fdr
IFNB	IFNAR1	HT29	CD44	0.154146863430056	0.184952417782298	0.43407996039522156
IFNB	IFNAR1	HT29	CTSD	-0.0282472538971978	0.448607920534293	0.7038935854930294
IFNB	IFNAR1	HT29	CTSL		0.317547743199627	0.5852855355902152
IFNB	IFNAR1	HT29	CTSB	0.209976184440413	0.445549716314842	0.7010678095818764
IFNB	IFNAR1	HT29	RFX5		0.115469799962309	0.32610036106278023
IFNB	IFNAR1	HT29	LAMP1	0.0753573670997982	0.0737272717386948	0.24229518525831092
IFNB	IFNAR1	HT29	LAMP2	0.0924469827110161	0.525581089558249	0.7567702370024304
IFNB	IFNAR1	K562	STAT1	-1.15035669689707	3.43822101182796e-147	2.702785537397959e-143
IFNB	IFNAR1	K562	B2M	-0.267012622206181	7.96889614081367e-07	6.0234127464361785e-05
IFNB	IFNAR1	K562	TAP2	-0.894172943623493	1.9757973968815502e-17	3.612033334159504e-15
IFNB	IFNAR1	K562	NLRC5		0.0121229379457819	0.16563703615921502
IFNB	IFNAR1	K562	GBP1		0.994436530798171	0.999900288167611
IFNB	IFNAR1	K562	IRF1	-0.821156016472663	3.62935735158696e-05	0.0019147904792500064
IFNB	IFNAR1	K562	LAMP3		0.0144644961581667	0.18446910446097464
IFNB	IFNAR1	K562	TAP1	-1.4161622120756	7.01129270721098e-07	5.457007125879754e-05
IFNB	IFNAR1	K562	CTSS	-0.0592569636008737	0.561059858678892	0.882112837801592
IFNB	IFNAR1	K562	CD44	-0.0693606240408089	0.781213824903399	0.956325566763821
IFNB	IFNAR1	K562	CTSD		0.796570231464435	0.9578211891018794
IFNB	IFNAR1	K562	CTSL	-0.250825542040675	0.422393184852641	0.8130344824012269
IFNB	IFNAR1	K562	CTSB	0.125340776706085	0.880738735377786	0.9808139217961539
IFNB	IFNAR1	K562	RFX5		0.11662956105701	0.5211936367563266
IFNB	IFNAR1	K562	LAMP1	0.261366960525964	0.360708861430707	0.7755832493727538
IFNB	IFNAR1	K562	LAMP2	0.162297923654428	0.0848166702025256	0.4532181725163196
IFNB	IFNAR1	MCF7	STAT1	-0.590839125472566	5.01983764561209e-307	3.946094373215664e-303
IFNB	IFNAR1	MCF7	B2M	-0.466251975374835	3.11617353691827e-58	5.443608927492116e-56
IFNB	IFNAR1	MCF7	TAP2	-0.711621449696382	2.3241638385187197e-43	2.6868017550875967e-41
IFNB	IFNAR1	MCF7	NLRC5	-0.803877736681408	2.06619675619357e-51	3.0078467963773433e-49
IFNB	IFNAR1	MCF7	GBP1	-0.826636477273225	8.03995933771671e-14	2.164456176499694e-12
IFNB	IFNAR1	MCF7	IRF1	-0.746501818222235	3.0700894778121897e-18	1.1547355686641925e-16
IFNB	IFNAR1	MCF7	LAMP3	-0.668147262591227	1.28912314352962e-37	1.266724628910793e-35
IFNB	IFNAR1	MCF7	TAP1	-0.66299323071219	4.07862078441669e-33	3.5233008776153404e-31
IFNB	IFNAR1	MCF7	CTSS		0.001350503763688	0.006744796751176218
IFNB	IFNAR1	MCF7	CD44	-0.162851512482503	0.0062938721280501	0.024937564918650117
IFNB	IFNAR1	MCF7	CTSD	0.169994692615972	0.506915415667962	0.6816437877021342
IFNB	IFNAR1	MCF7	CTSL	-0.393344431943372	0.0014015083411698	0.006950950832767065
IFNB	IFNAR1	MCF7	CTSB	0.0566507998242252	0.125811411345312	0.2695566924463063
IFNB	IFNAR1	MCF7	RFX5	-0.197158637291852	0.0004585699887283	0.0026408928068814407
IFNB	IFNAR1	MCF7	LAMP1	0.158708158372267	0.51075901124173	0.6851286175889941
IFNB	IFNAR1	MCF7	LAMP2	0.184316433990922	0.137246381704951	0.28648268894918205
IFNB	IRF1	A549	IRF1	-0.848311820298685	1.23742190686732e-14	2.6341618842438075e-11
IFNB	IRF1	A549	GBP1	-0.533841711809733	9.25151586635646e-06	0.0023871714424856137
IFNB	IRF1	A549	TAP2	-0.25004007913415	0.0034141116657752	0.14985134450554552
IFNB	IRF1	A549	CD44	0.180575572592238	0.0039156541602073	0.16029709218348634
IFNB	IRF1	A549	TAP1	-0.0200262122333708	0.846137365973987	0.9687504578370787
IFNB	IRF1	A549	NLRC5	-0.128767100403435	0.0069412422492282	0.21164996112319623
IFNB	IRF1	A549	CTSS	-0.41817130954273	0.0002145102023864	0.024683167207029674
IFNB	IRF1	A549	B2M	0.0471296155513766	0.3757426711956	0.8321905414929295
IFNB	IRF1	A549	STAT1	0.0500894038253765	0.94164135141064	0.9898754380783099
IFNB	IRF1	A549	CTSL	-0.110055479805972	0.769316142566012	0.9525479848800592
IFNB	IRF1	A549	LAMP3	0.181288162749214	0.479635785182759	0.8739724746259967
IFNB	IRF1	A549	LAMP2	0.0429585779352302	0.515130453484862	0.8841132709944667
IFNB	IRF1	A549	RFX5	0.188655579540688	0.0255308120515371	0.365984620570435
IFNB	IRF1	A549	LAMP1	-0.143205737863726	0.945893149199454	0.9910281497812238
IFNB	IRF1	A549	CTSB	-0.20531000729248	0.482358398582309	0.8753797450827709
IFNB	IRF1	A549	CTSD	-0.17334807776223	0.610205381276824	0.9130543354304373
IFNB	IRF1	BXPC3	IRF1	-0.426261648292472	1.27433860718416e-07	1.572607715967119e-05
IFNB	IRF1	BXPC3	GBP1	-0.289019069949094	4.3083403066483e-11	1.3587228781892693e-08
IFNB	IRF1	BXPC3	TAP2	-0.19896974919944	4.46339969209755e-06	0.00029461897967605145
IFNB	IRF1	BXPC3	CD44	0.062215104663683	0.422604566833063	0.7259386497041621
IFNB	IRF1	BXPC3	TAP1	-0.197135941698734	1.66772906132064e-05	0.0008503420932422304
IFNB	IRF1	BXPC3	NLRC5	-0.147267682821997	1.04907506962368e-06	9.023105270551147e-05
IFNB	IRF1	BXPC3	CTSS	-0.265233857525835	3.7968664961468e-08	5.6719856517e-06
IFNB	IRF1	BXPC3	B2M	-0.115853598798247	4.38182544959831e-06	0.0002914940914322626
IFNB	IRF1	BXPC3	STAT1	-0.0542671860612045	3.32184076003251e-07	3.4877097574422526e-05
IFNB	IRF1	BXPC3	CTSL	-0.0161314079878989	0.0135777076798887	0.11678200090328514
IFNB	IRF1	BXPC3	LAMP3	-0.104816739733318	0.0010287317167861	0.020418765893784715
IFNB	IRF1	BXPC3	LAMP2	0.0173817027276064	0.0702853409453857	0.3048801213193883
IFNB	IRF1	BXPC3	RFX5		0.155256920596975	0.4595383358029166
IFNB	IRF1	BXPC3	LAMP1	0.0042540641420021	0.229246960146445	0.5550292481225416
IFNB	IRF1	BXPC3	CTSB	-0.159538836373274	0.0682470335370217	0.3006986602956821
IFNB	IRF1	BXPC3	CTSD	-0.146390975933706	0.968167282195814	0.9900887967493937
IFNB	IRF1	HAP1	IRF1		1.50441959976675e-17	4.2700442973379585e-14
IFNB	IRF1	HAP1	GBP1		0.000216573748818	0.03415047168861611
IFNB	IRF1	HAP1	TAP2	-0.318531353557934	3.7922354763198e-07	0.00015376611943268141
IFNB	IRF1	HAP1	CD44		0.688469812072001	0.9606655175604089
IFNB	IRF1	HAP1	TAP1	-0.254913066384708	0.0033303749196001	0.17291550268533448
IFNB	IRF1	HAP1	NLRC5	-0.191661551252597	5.45051613515488e-08	3.867595407570317e-05
IFNB	IRF1	HAP1	CTSS		0.0893050370338884	0.6493871821892055
IFNB	IRF1	HAP1	B2M	-0.157691432632415	0.0003612498094439	0.04467975231749071
IFNB	IRF1	HAP1	STAT1	0.0414865080618485	0.001065247686466	0.09649557500274458
IFNB	IRF1	HAP1	CTSL		0.525780015786163	0.9232067412306458
IFNB	IRF1	HAP1	LAMP3		0.764179290760074	0.9749682794604615
IFNB	IRF1	HAP1	LAMP2	-0.0421865152174032	0.278056648481805	0.8217360749154533
IFNB	IRF1	HAP1	RFX5	0.0800205194088099	0.904632777707955	0.9882698528646277
IFNB	IRF1	HAP1	LAMP1	-0.0918815254921643	0.0650466200716053	0.601105144312461
IFNB	IRF1	HAP1	CTSB	-0.034934484781334	0.797184514901816	0.9808158748237142
IFNB	IRF1	HAP1	CTSD		0.355208944872233	0.8683905155288727
IFNB	IRF1	HT29	IRF1	-0.248551964978438	1.22653674013218e-09	4.351650142593964e-07
IFNB	IRF1	HT29	GBP1	-0.164766648963925	6.3603142377205e-14	5.4158075734190064e-11
IFNB	IRF1	HT29	TAP2	-0.0834653705121833	1.70363174388288e-16	2.9012848598325447e-13
IFNB	IRF1	HT29	CD44	0.151089786178647	0.995889765158743	0.9996373633685622
IFNB	IRF1	HT29	TAP1	-0.0468339010201082	1.41181444750011e-08	4.293428578736942e-06
IFNB	IRF1	HT29	NLRC5	-0.0328868384176342	2.36147303434284e-08	6.5823022988743524e-06
IFNB	IRF1	HT29	CTSS		0.0002113109073867	0.016919571275135267
IFNB	IRF1	HT29	B2M	0.017057887022612	1.7560432363168e-07	3.9349231992730404e-05
IFNB	IRF1	HT29	STAT1	0.236049215143408	0.27729252625073	0.7800283650561499
IFNB	IRF1	HT29	CTSL		0.855969035556101	0.97197756383934
IFNB	IRF1	HT29	LAMP3	0.007147350505674	0.0004447545587818	0.030296680544216217
IFNB	IRF1	HT29	LAMP2	0.219076034620472	0.483082036117355	0.8703191161909134
IFNB	IRF1	HT29	RFX5		0.413691766683492	0.851953592136934
IFNB	IRF1	HT29	LAMP1	0.159358465310238	0.987735432401544	0.9991929751351171
IFNB	IRF1	HT29	CTSB	-0.0868573820438421	0.430050089633501	0.8580487464050666
IFNB	IRF1	HT29	CTSD	0.258391474833126	0.220696634680225	0.7475924321504629
IFNB	IRF1	K562	IRF1	-0.304215027551349	0.0192310358364244	0.39585629744048473
IFNB	IRF1	K562	GBP1		0.23701086958759	0.7920471024258818
IFNB	IRF1	K562	TAP2	0.157289282151346	0.281154691161323	0.8157107802043612
IFNB	IRF1	K562	CD44	0.253322507223138	6.418368346971189e-11	1.3663101618614918e-07
IFNB	IRF1	K562	TAP1	-0.216026775962276	0.797952285820287	0.9700429080186492
IFNB	IRF1	K562	NLRC5		0.406026564156836	0.8731755760104252
IFNB	IRF1	K562	CTSS	-0.0309625607012505	0.379585112959769	0.8640187957132248
IFNB	IRF1	K562	B2M	0.160907831779176	0.335088319428322	0.8385652603991
IFNB	IRF1	K562	STAT1	0.300952573604893	0.0027818044557071	0.14804415587716221
IFNB	IRF1	K562	CTSL	0.0456160060159916	0.700257496184195	0.9545563275708665
IFNB	IRF1	K562	LAMP3		0.133869984138163	0.7049492362006543
IFNB	IRF1	K562	LAMP2	0.11382702868975	0.552591955052243	0.9275222742499211
IFNB	IRF1	K562	RFX5		0.287871189419151	0.8160087258618072
IFNB	IRF1	K562	LAMP1	0.129380416199464	0.237186744558589	0.7920471024258818
IFNB	IRF1	K562	CTSB	0.242877717371759	0.725317804813245	0.9598098139429999
IFNB	IRF1	K562	CTSD		0.729303596208796	0.9598865993159003
IFNB	IRF1	MCF7	IRF1	-1.0166581065931	6.48401325059936e-46	9.201895471475591e-43
IFNB	IRF1	MCF7	GBP1	-0.588028196722433	4.91961539543339e-22	1.7454385455048047e-19
IFNB	IRF1	MCF7	TAP2	-0.0915591476231677	2.2179258748726098e-11	2.6979484035057536e-09
IFNB	IRF1	MCF7	CD44	0.317681719452702	0.883886077513477	0.9612119987263419
IFNB	IRF1	MCF7	TAP1	0.171400386893558	0.763002060429619	0.9123665980281149
IFNB	IRF1	MCF7	NLRC5	0.162627887850125	0.0208147138868332	0.14636375908675917
IFNB	IRF1	MCF7	CTSS		8.26184835303457e-05	0.002114445396127132
IFNB	IRF1	MCF7	B2M	0.284530692055057	0.791793053627609	0.9242753234358781
IFNB	IRF1	MCF7	STAT1	0.258938207347634	0.953269963363387	0.9846643108120409
IFNB	IRF1	MCF7	CTSL	0.460506579969831	5.79556691280844e-05	0.001597063180018248
IFNB	IRF1	MCF7	LAMP3	0.355300019890675	0.0507484577060907	0.2530799069190005
IFNB	IRF1	MCF7	LAMP2	0.0942918308634777	0.0074922002451905	0.07409533691962499
IFNB	IRF1	MCF7	RFX5	0.227301933721701	0.354396447708211	0.6723898734927399
IFNB	IRF1	MCF7	LAMP1	0.258365098425504	0.939635042029568	0.9809744555323817
IFNB	IRF1	MCF7	CTSB	0.268939765804885	0.954120954618508	0.985007265831304
IFNB	IRF1	MCF7	CTSD	0.135458346302695	0.702634909159358	0.8844623233086392
IFNB	JAK1	A549	STAT1	-0.148682256229321	4.9615487589835694e-42	6.980899103889882e-39
IFNB	JAK1	A549	TAP2	-0.0009068441019406	0.0015491195258864	0.013912411742056372
IFNB	JAK1	A549	B2M	-0.184370510064673	2.76789736669524e-07	1.091896708861739e-05
IFNB	JAK1	A549	NLRC5	-0.0477885091492448	1.13709133925462e-10	9.999296964570315e-09
IFNB	JAK1	A549	IRF1	0.0559877907872633	1.84095848337758e-07	7.618319370918397e-06
IFNB	JAK1	A549	GBP1	-0.065648561958382	4.70435725954069e-07	1.749523523570154e-05
IFNB	JAK1	A549	TAP1	-0.316928666142074	2.39175053001302e-06	7.236974184361978e-05
IFNB	JAK1	A549	LAMP3	-0.246683440802861	2.58054444497321e-07	1.0275922737954639e-05
IFNB	JAK1	A549	CTSS	-0.16027484730457	4.1640498544692505e-09	2.6834281581243824e-07
IFNB	JAK1	A549	CD44	0.179968267320498	0.0125223811134659	0.06830973653617319
IFNB	JAK1	A549	CTSL	-0.540718814653247	9.844232011698471e-09	5.692123742654692e-07
IFNB	JAK1	A549	CTSB	-0.320278794188551	1.41421213825393e-08	7.702437981380436e-07
IFNB	JAK1	A549	CTSD	-0.109720374367366	0.888915863503204	0.9567227829300702
IFNB	JAK1	A549	RFX5	0.113275858241141	0.147936988750282	0.36861985213396714
IFNB	JAK1	A549	LAMP2	-0.187508000632023	0.0695217563209326	0.22783488620392586
IFNB	JAK1	A549	LAMP1	-0.080497266198587	0.442513963040382	0.6772210762405293
IFNB	JAK1	BXPC3	STAT1	-0.0769788947005186	5.481110953491421e-145	1.5423846223124857e-141
IFNB	JAK1	BXPC3	TAP2	0.0064824473176562	1.95925250638079e-11	8.751327861834195e-10
IFNB	JAK1	BXPC3	B2M	-0.089191831221374	3.67584075513012e-38	7.052601739729199e-36
IFNB	JAK1	BXPC3	NLRC5	-0.401631275999528	5.31865752373378e-45	1.4966702271786857e-42
IFNB	JAK1	BXPC3	IRF1	-0.120646814848428	2.64915162337968e-10	1.0401924653288957e-08
IFNB	JAK1	BXPC3	GBP1	-0.184111914422322	7.21495614553788e-36	1.2689304120964746e-33
IFNB	JAK1	BXPC3	TAP1	-0.342028866794347	3.35172890402296e-16	2.4392496041173992e-14
IFNB	JAK1	BXPC3	LAMP3	0.0010877540232365	2.03912772838179e-16	1.5369925252677742e-14
IFNB	JAK1	BXPC3	CTSS	-0.115124692251281	1.32134171818748e-13	7.640251222560758e-12
IFNB	JAK1	BXPC3	CD44	0.384127699115616	8.48415851620126e-13	4.4486500741472696e-11
IFNB	JAK1	BXPC3	CTSL	0.0435365886010544	0.030446204866298	0.11243519749837608
IFNB	JAK1	BXPC3	CTSB	0.0202386751754431	0.0005325524245157	0.004668543684072211
IFNB	JAK1	BXPC3	CTSD	0.0495030445792966	0.0967622274206918	0.2583386223546743
IFNB	JAK1	BXPC3	RFX5		0.0015499905151918	0.011212527788559705
IFNB	JAK1	BXPC3	LAMP2	0.151990803995121	0.110110334355625	0.2829684756865103
IFNB	JAK1	BXPC3	LAMP1	0.164972313953555	0.831324110225039	0.9194285197685239
IFNB	JAK1	HAP1	STAT1	-0.591743183867827	2.5559755660940303e-247	2.1577545728965803e-243
IFNB	JAK1	HAP1	TAP2	-0.351603023970411	1.3544792099203501e-15	1.6335019271639422e-13
IFNB	JAK1	HAP1	B2M	-0.657754093636913	5.28642846906383e-53	1.5388975564081675e-50
IFNB	JAK1	HAP1	NLRC5	-0.773671221335054	4.25413307165165e-47	1.1584964964801042e-44
IFNB	JAK1	HAP1	IRF1		6.87554422335336e-05	0.00369702830149994
IFNB	JAK1	HAP1	GBP1		0.000289000216794	0.012077919951361128
IFNB	JAK1	HAP1	TAP1	-0.497747135046482	3.25491499146503e-16	4.227383439684274e-14
IFNB	JAK1	HAP1	LAMP3		1.73399330354434e-05	0.0010684942677752786
IFNB	JAK1	HAP1	CTSS		0.930508338390178	0.9862818267831994
IFNB	JAK1	HAP1	CD44		0.518244354764539	0.8533292067334188
IFNB	JAK1	HAP1	CTSL		0.0234168568221063	0.2440556855459523
IFNB	JAK1	HAP1	CTSB	-0.124947705035642	0.0870759057540785	0.457000176278059
IFNB	JAK1	HAP1	CTSD		0.978564315033919	0.9957647720969687
IFNB	JAK1	HAP1	RFX5		0.0937241896124026	0.47208807202142167
IFNB	JAK1	HAP1	LAMP2	-0.0662631384464766	0.0042678342726744	0.08712539960758077
IFNB	JAK1	HAP1	LAMP1	-0.0394003354032388	0.972415748263985	0.9935914323224259
IFNB	JAK1	HT29	STAT1	-1.44832139128034	0.0	0.0
IFNB	JAK1	HT29	TAP2	-1.25691360412081	8.04643889479484e-118	1.8358928959421092e-115
IFNB	JAK1	HT29	B2M	-1.32919402303298	2.8013246680657404e-113	6.2233639073186785e-111
IFNB	JAK1	HT29	NLRC5	-1.77180541041498	1.40059287080695e-101	2.749722096593552e-99
IFNB	JAK1	HT29	IRF1	-0.769009836914983	6.47750473814185e-45	7.59487430547132e-43
IFNB	JAK1	HT29	GBP1	-1.4578432837725	2.8256215489320296e-42	2.9449255698869374e-40
IFNB	JAK1	HT29	TAP1	-1.81247305386296	7.616508557400489e-42	7.841288444094503e-40
IFNB	JAK1	HT29	LAMP3	-1.65936684413953	4.72014666281347e-20	2.554325520991751e-18
IFNB	JAK1	HT29	CTSS		8.487039385508489e-11	2.595927046828357e-09
IFNB	JAK1	HT29	CD44	0.144006323645392	0.0031574693535531	0.020971673580183998
IFNB	JAK1	HT29	CTSL		0.445249578807676	0.6702496838282057
IFNB	JAK1	HT29	CTSB	0.114601803091665	0.984502073911857	0.9924965975595769
IFNB	JAK1	HT29	CTSD	0.125072896914818	0.0469505669545262	0.16270799927344423
IFNB	JAK1	HT29	RFX5		0.699181278095661	0.8476932858945239
IFNB	JAK1	HT29	LAMP2	0.110332720146781	0.574598047333361	0.767646259786079
IFNB	JAK1	HT29	LAMP1	0.22787463360787	0.0500194171378675	0.17074966416412352
IFNB	JAK1	K562	STAT1	-0.767537830902788	2.7407063744855698e-176	2.3137043213407177e-172
IFNB	JAK1	K562	TAP2	-0.661010990739891	3.44134966975687e-18	6.315624763497282e-16
IFNB	JAK1	K562	B2M	-0.13754793720082	3.3022334302581895e-11	4.424992796545974e-09
IFNB	JAK1	K562	NLRC5		0.0007258298599546	0.023875707614506025
IFNB	JAK1	K562	IRF1	-0.390092616535068	0.0011657502064988	0.03477478177831403
IFNB	JAK1	K562	GBP1		0.072935481812671	0.4284769223817457
IFNB	JAK1	K562	TAP1	-0.986164305540148	5.90751151568935e-08	5.249601285836789e-06
IFNB	JAK1	K562	LAMP3		0.0047232040152366	0.09561939639478988
IFNB	JAK1	K562	CTSS	-0.0573482759949346	0.13426190916354	0.5453360167147988
IFNB	JAK1	K562	CD44	-0.198625724092849	0.0077261327322135	0.12856707154159502
IFNB	JAK1	K562	CTSL	0.105025308065242	0.0030137118943596	0.07082249489655407
IFNB	JAK1	K562	CTSB	0.147225422825448	0.602199064210536	0.906658978354675
IFNB	JAK1	K562	CTSD		0.438703135261376	0.828829758926651
IFNB	JAK1	K562	RFX5		0.86614674760089	0.9788501798188373
IFNB	JAK1	K562	LAMP2	0.0295344977522843	0.499170717778285	0.8582483094672673
IFNB	JAK1	K562	LAMP1	0.359744429411303	0.636311519449497	0.9163918029788637
IFNB	JAK1	MCF7	STAT1	0.171431941950808	3.14253292123833e-26	2.947695880121554e-23
IFNB	JAK1	MCF7	TAP2	0.184948241795654	9.708359436098811e-09	1.2805932868679088e-06
IFNB	JAK1	MCF7	B2M	0.24470133840369	0.0150300973183692	0.15176404909958896
IFNB	JAK1	MCF7	NLRC5	0.0725532261424737	3.6718442533415e-14	1.2399083674683577e-11
IFNB	JAK1	MCF7	IRF1	0.0297888443817325	3.52430389682868e-05	0.0018031620301228921
IFNB	JAK1	MCF7	GBP1	0.006074271686846	4.97817977002067e-07	4.518902539625214e-05
IFNB	JAK1	MCF7	TAP1	0.134875738114084	6.79460484881766e-07	5.853066748338642e-05
IFNB	JAK1	MCF7	LAMP3	0.2301478322628	1.8587411732035402e-09	3.0175948046508243e-07
IFNB	JAK1	MCF7	CTSS		0.0058443083727781	0.08550719459790766
IFNB	JAK1	MCF7	CD44	0.188753461086393	0.464519113921482	0.7868748778764428
IFNB	JAK1	MCF7	CTSL	0.0269472712221095	0.194595117629812	0.561645839715004
IFNB	JAK1	MCF7	CTSB	0.285159268492487	0.894942357515659	0.9699709053982787
IFNB	JAK1	MCF7	CTSD	0.172353839206025	0.0003706734542885	0.011546956830640283
IFNB	JAK1	MCF7	RFX5	0.258551081422893	0.445493307740098	0.7788060683250999
IFNB	JAK1	MCF7	LAMP2	0.187277670714282	0.446977953797979	0.7793035700046548
IFNB	JAK1	MCF7	LAMP1	0.227950604431139	0.70490919994033	0.9053195081276111
IFNB	NFKB1	A549	CD44	0.119354190494883	0.886953842392246	0.999999299696925
IFNB	NFKB1	A549	NLRC5	0.290841722472837	0.731761310008976	0.9871014562490192
IFNB	NFKB1	A549	TAP1	0.0573254525487072	0.688966907984012	0.9820991688225481
IFNB	NFKB1	A549	B2M	0.193744590209128	0.0542160782464851	0.7908361561532882
IFNB	NFKB1	A549	CTSL	0.207377285050026	0.156314708720339	0.8797168367303358
IFNB	NFKB1	A549	TAP2	0.473004048991057	0.0459320004983128	0.7701759107125153
IFNB	NFKB1	A549	STAT1	0.0797675731173779	0.134413239567109	0.8702711014303346
IFNB	NFKB1	A549	LAMP2	0.143331808335224	0.456673775871183	0.9532068588632923
IFNB	NFKB1	A549	LAMP3	-0.126926162890062	0.319764566196911	0.9300651067046868
IFNB	NFKB1	A549	IRF1	0.214109415899922	0.531151781140791	0.9644800317972739
IFNB	NFKB1	A549	CTSS	0.284036018154905	0.125142218311422	0.8702711014303346
