disease	timepoint	cell_type_short	stimulus	module	n	mean	sd
multiple sclerosis	2nd trimester	activated CD8-positive	activated	mif_cd74_receptor_state	2	-0.3228303304459435	0.706826433091419
multiple sclerosis	2nd trimester	activated CD8-positive	activated	monocyte_cd64	2	-0.7424766409829868	0.5740391833224564
multiple sclerosis	2nd trimester	activated CD8-positive	activated	regulatory_pregnancy	2	-0.04654012046062783	0.8398529322367767
multiple sclerosis	2nd trimester	activated CD8-positive	activated	trafficking_th	2	0.11306120512057796	0.013736038435640125
multiple sclerosis	3rd trimester	CD4-positive	resting	hla_ii_only	11	0.08345209237605475	1.180589442248721
multiple sclerosis	3rd trimester	CD4-positive	resting	ifn_apc	11	-0.14911532846993528	0.609875582759002
multiple sclerosis	3rd trimester	CD4-positive	resting	lysosomal_apc	11	0.03886228366246785	0.8768745556191996
multiple sclerosis	3rd trimester	CD4-positive	resting	mif_cd74_receptor_state	11	0.16032314184516505	0.824694000217262
multiple sclerosis	3rd trimester	CD4-positive	resting	monocyte_cd64	11	0.21212734844292438	0.5181132503949357
multiple sclerosis	3rd trimester	CD4-positive	resting	regulatory_pregnancy	11	0.20159094607791175	0.29501577140953655
multiple sclerosis	3rd trimester	CD4-positive	resting	trafficking_th	11	0.0181773763829407	0.3624490208550666
multiple sclerosis	3rd trimester	CD8-positive	resting	hla_ii_only	8	-0.08889428916549343	0.7952767896970304
multiple sclerosis	3rd trimester	CD8-positive	resting	ifn_apc	8	-0.3150526657773625	0.5179826221245661
multiple sclerosis	3rd trimester	CD8-positive	resting	lysosomal_apc	8	-0.19259792954554655	0.8966313624390049
multiple sclerosis	3rd trimester	CD8-positive	resting	mif_cd74_receptor_state	8	-0.22364720133346108	0.7754804293592774
multiple sclerosis	3rd trimester	CD8-positive	resting	monocyte_cd64	8	-0.17620287684503572	0.4428089470492416
multiple sclerosis	3rd trimester	CD8-positive	resting	regulatory_pregnancy	8	-0.43032249090031194	0.376410013797919
multiple sclerosis	3rd trimester	CD8-positive	resting	trafficking_th	8	-0.1521708827405358	0.874424922861282
multiple sclerosis	3rd trimester	activated CD4-positive	activated	hla_ii_only	7	0.14288003706348615	0.6513893466444604
multiple sclerosis	3rd trimester	activated CD4-positive	activated	ifn_apc	7	0.8911054932765637	0.48114023602086403
multiple sclerosis	3rd trimester	activated CD4-positive	activated	lysosomal_apc	7	0.40323212476742665	0.6281540397196109
multiple sclerosis	3rd trimester	activated CD4-positive	activated	mif_cd74_receptor_state	7	-0.009284619057004442	0.3749589109214312
multiple sclerosis	3rd trimester	activated CD4-positive	activated	monocyte_cd64	7	0.33287040199208756	0.8631643213411814
multiple sclerosis	3rd trimester	activated CD4-positive	activated	regulatory_pregnancy	7	-0.23474014033253057	0.4561522635224454
multiple sclerosis	3rd trimester	activated CD4-positive	activated	trafficking_th	7	-0.16731478903113794	0.4896942125711713
multiple sclerosis	3rd trimester	activated CD8-positive	activated	hla_ii_only	2	-1.1652299328877913	0.8023410874137332
multiple sclerosis	3rd trimester	activated CD8-positive	activated	ifn_apc	2	-0.3147383316802015	0.2589118276583208
multiple sclerosis	3rd trimester	activated CD8-positive	activated	lysosomal_apc	2	-0.5937374179217525	0.5817678251852286
multiple sclerosis	3rd trimester	activated CD8-positive	activated	mif_cd74_receptor_state	2	-0.3899579100615482	0.49942678348036595
multiple sclerosis	3rd trimester	activated CD8-positive	activated	monocyte_cd64	2	-0.5703928476514332	0.5080058842637554
multiple sclerosis	3rd trimester	activated CD8-positive	activated	regulatory_pregnancy	2	0.140246522640994	0.7422639522020401
multiple sclerosis	3rd trimester	activated CD8-positive	activated	trafficking_th	2	-0.17935581336571135	0.3296353951432105
multiple sclerosis	postpartum	CD4-positive	resting	hla_ii_only	9	-0.04080783292041384	0.6409659165639687
multiple sclerosis	postpartum	CD4-positive	resting	ifn_apc	9	-0.616643390762401	0.39118597509839453
multiple sclerosis	postpartum	CD4-positive	resting	lysosomal_apc	9	-0.05524593779782408	0.7144582358825261
multiple sclerosis	postpartum	CD4-positive	resting	mif_cd74_receptor_state	9	-0.11662155150776471	0.5294094914052315
multiple sclerosis	postpartum	CD4-positive	resting	monocyte_cd64	9	-0.30858547048912666	0.5082046909719137
multiple sclerosis	postpartum	CD4-positive	resting	regulatory_pregnancy	9	0.13014508125826996	0.35916434754913423
multiple sclerosis	postpartum	CD4-positive	resting	trafficking_th	9	0.4577262474973034	0.6083416690767802
multiple sclerosis	postpartum	CD8-positive	resting	hla_ii_only	8	-0.26847262899707813	0.7200946604367899
multiple sclerosis	postpartum	CD8-positive	resting	ifn_apc	8	-0.5356847072898722	0.43486470560716484
multiple sclerosis	postpartum	CD8-positive	resting	lysosomal_apc	8	-0.449461117301351	0.6457369271230282
multiple sclerosis	postpartum	CD8-positive	resting	mif_cd74_receptor_state	8	-0.27004315980879284	0.4971744912087434
multiple sclerosis	postpartum	CD8-positive	resting	monocyte_cd64	8	-0.42897239782995106	0.30635522348461214
multiple sclerosis	postpartum	CD8-positive	resting	regulatory_pregnancy	8	-0.4362956027117448	0.321193003037225
multiple sclerosis	postpartum	CD8-positive	resting	trafficking_th	8	0.22612592168017828	0.21994696613944695
multiple sclerosis	postpartum	activated CD4-positive	activated	hla_ii_only	8	0.033606655665706336	0.6242612481655013
multiple sclerosis	postpartum	activated CD4-positive	activated	ifn_apc	8	1.1071811933456683	0.39298295938314654
multiple sclerosis	postpartum	activated CD4-positive	activated	lysosomal_apc	8	0.22737806098493818	0.38692629786011123
multiple sclerosis	postpartum	activated CD4-positive	activated	mif_cd74_receptor_state	8	0.1437849385975089	0.33677208137542275
multiple sclerosis	postpartum	activated CD4-positive	activated	monocyte_cd64	8	0.47092786983681656	0.5207058134178991
multiple sclerosis	postpartum	activated CD4-positive	activated	regulatory_pregnancy	8	0.4004753332550307	0.2365974711019185
multiple sclerosis	postpartum	activated CD4-positive	activated	trafficking_th	8	-0.045701662626922546	0.4411731007672459
multiple sclerosis	postpartum	activated CD8-positive	activated	hla_ii_only	1	-1.8128835264707928	
multiple sclerosis	postpartum	activated CD8-positive	activated	ifn_apc	1	-0.359868348975226	
multiple sclerosis	postpartum	activated CD8-positive	activated	lysosomal_apc	1	-1.4191958807385345	
multiple sclerosis	postpartum	activated CD8-positive	activated	mif_cd74_receptor_state	1	-0.926482143745304	
multiple sclerosis	postpartum	activated CD8-positive	activated	monocyte_cd64	1	-0.32336355439295916	
multiple sclerosis	postpartum	activated CD8-positive	activated	regulatory_pregnancy	1	-0.3608429956199356	
multiple sclerosis	postpartum	activated CD8-positive	activated	trafficking_th	1	-0.0756409807636943	
normal	1st trimester	CD4-positive	resting	hla_ii_only	5	0.6985814214352571	0.6638068810877141
normal	1st trimester	CD4-positive	resting	ifn_apc	5	-0.3594450842878531	0.5953237883145887
normal	1st trimester	CD4-positive	resting	lysosomal_apc	5	0.6457283880010843	0.4900802622154251
normal	1st trimester	CD4-positive	resting	mif_cd74_receptor_state	5	0.43909356708801567	0.28035112771731485
normal	1st trimester	CD4-positive	resting	monocyte_cd64	5	0.23280535596471003	0.33856858793168076
normal	1st trimester	CD4-positive	resting	regulatory_pregnancy	5	0.03661213698536235	0.4665901951355822
normal	1st trimester	CD4-positive	resting	trafficking_th	5	-0.04932861359144321	0.42096340810627086
normal	1st trimester	CD8-positive	resting	hla_ii_only	5	0.14665032011733128	0.4349426846142457
normal	1st trimester	CD8-positive	resting	ifn_apc	5	-0.40965531209786904	0.22634017660038638
normal	1st trimester	CD8-positive	resting	lysosomal_apc	5	-0.07236656550944646	0.5025766817004145
normal	1st trimester	CD8-positive	resting	mif_cd74_receptor_state	5	-0.00530444612385723	0.1928653409643376
normal	1st trimester	CD8-positive	resting	monocyte_cd64	5	-0.5713398712980446	0.24238596022756922
normal	1st trimester	CD8-positive	resting	regulatory_pregnancy	5	-0.30476603029172	0.25259953041726274
normal	1st trimester	CD8-positive	resting	trafficking_th	5	-0.03565426934227496	0.6822966351848778
normal	1st trimester	activated CD4-positive	activated	hla_ii_only	4	0.8475317111937777	1.0397609405475166
normal	1st trimester	activated CD4-positive	activated	ifn_apc	4	1.393072035492099	0.3458624813364687
normal	1st trimester	activated CD4-positive	activated	lysosomal_apc	4	0.4186308862583601	0.7947102567596107
normal	1st trimester	activated CD4-positive	activated	mif_cd74_receptor_state	4	0.3512735671606595	0.8632341331938348
normal	1st trimester	activated CD4-positive	activated	monocyte_cd64	4	0.8097970807744421	0.4880629145402232
normal	1st trimester	activated CD4-positive	activated	regulatory_pregnancy	4	0.28994389023446476	0.30707591949746493
normal	1st trimester	activated CD4-positive	activated	trafficking_th	4	0.17370583489524444	0.33589860028459084
normal	1st trimester	activated CD8-positive	activated	hla_ii_only	2	-0.49066255897889977	1.2788888575113901
normal	1st trimester	activated CD8-positive	activated	ifn_apc	2	-0.2757926510092308	0.8615538682569734
normal	1st trimester	activated CD8-positive	activated	lysosomal_apc	2	-0.4132232419786506	1.4940645544723012
normal	1st trimester	activated CD8-positive	activated	mif_cd74_receptor_state	2	-0.12284698505461387	0.35344287120880147
normal	1st trimester	activated CD8-positive	activated	monocyte_cd64	2	-0.3065702903827334	0.28805240870976734
normal	1st trimester	activated CD8-positive	activated	regulatory_pregnancy	2	0.26149737021122016	0.01667603285594669
normal	1st trimester	activated CD8-positive	activated	trafficking_th	2	-0.8037887722700514	1.1240217798711567
normal	2nd trimester	CD4-positive	resting	hla_ii_only	6	0.6944276217774216	1.1918183236034638
normal	2nd trimester	CD4-positive	resting	ifn_apc	6	-0.045034865443930934	0.5047100550621084
normal	2nd trimester	CD4-positive	resting	lysosomal_apc	6	0.6817777458942281	0.6760677117108235
normal	2nd trimester	CD4-positive	resting	mif_cd74_receptor_state	6	0.46293721328134857	0.6394538021478443
normal	2nd trimester	CD4-positive	resting	monocyte_cd64	6	0.38480693176180975	0.42605510200120855
normal	2nd trimester	CD4-positive	resting	regulatory_pregnancy	6	0.1783014042225565	0.1593794884351991
normal	2nd trimester	CD4-positive	resting	trafficking_th	6	0.1586869870018087	0.44196586650071007
normal	2nd trimester	CD8-positive	resting	hla_ii_only	6	0.19116234003690594	0.4852012996040592
normal	2nd trimester	CD8-positive	resting	ifn_apc	6	-0.21787543989727362	0.21287676229886035
normal	2nd trimester	CD8-positive	resting	lysosomal_apc	6	0.0034606363408104268	0.2613137118620157
normal	2nd trimester	CD8-positive	resting	mif_cd74_receptor_state	6	0.07022967865658965	0.3752444807376887
normal	2nd trimester	CD8-positive	resting	monocyte_cd64	6	-0.31448590413251554	0.23923354038226993
normal	2nd trimester	CD8-positive	resting	regulatory_pregnancy	6	-0.2893991052362826	0.2203826174930661
normal	2nd trimester	CD8-positive	resting	trafficking_th	6	0.036099044495229646	0.7161680818203325
normal	2nd trimester	activated CD4-positive	activated	hla_ii_only	5	-0.30794429956383407	0.74795995356247
normal	2nd trimester	activated CD4-positive	activated	ifn_apc	5	0.9512877177465571	0.24019197378830714
normal	2nd trimester	activated CD4-positive	activated	lysosomal_apc	5	0.00028115972592705486	0.6932606361351059
normal	2nd trimester	activated CD4-positive	activated	mif_cd74_receptor_state	5	0.008133679714276965	0.2795173772502459
normal	2nd trimester	activated CD4-positive	activated	monocyte_cd64	5	0.7600362939352144	0.35146136761125263
normal	2nd trimester	activated CD4-positive	activated	regulatory_pregnancy	5	0.397557207937614	0.44714467146545905
normal	2nd trimester	activated CD4-positive	activated	trafficking_th	5	-0.20258058320191577	0.3206404912601443
normal	2nd trimester	activated CD8-positive	activated	hla_ii_only	2	-0.642591077924892	1.1419210929676824
normal	2nd trimester	activated CD8-positive	activated	ifn_apc	2	-0.3255694245399138	0.874192314881165
normal	2nd trimester	activated CD8-positive	activated	lysosomal_apc	2	-0.5457017887484501	1.6192624337195398
normal	2nd trimester	activated CD8-positive	activated	mif_cd74_receptor_state	2	-0.2725671481556594	0.36525897627277953
normal	2nd trimester	activated CD8-positive	activated	monocyte_cd64	2	-0.3896135692963808	0.2477224685881291
normal	2nd trimester	activated CD8-positive	activated	regulatory_pregnancy	2	0.08890482090498805	0.25235749039723127
normal	2nd trimester	activated CD8-positive	activated	trafficking_th	2	-1.118678945556102	0.9359573011896116
normal	3rd trimester	CD4-positive	resting	hla_ii_only	6	0.10832047050023362	1.0151705481991145
normal	3rd trimester	CD4-positive	resting	ifn_apc	6	0.03504251723959886	0.4297585457092366
normal	3rd trimester	CD4-positive	resting	lysosomal_apc	6	0.30735370308156645	0.6798336347140976
normal	3rd trimester	CD4-positive	resting	mif_cd74_receptor_state	6	0.2943818550309664	0.8005737515836291
normal	3rd trimester	CD4-positive	resting	monocyte_cd64	6	0.4897339306174762	0.4231012830176178
normal	3rd trimester	CD4-positive	resting	regulatory_pregnancy	6	0.30468334910260775	0.2291990473781974
normal	3rd trimester	CD4-positive	resting	trafficking_th	6	0.0005409359684144707	0.425970959447662
normal	3rd trimester	CD8-positive	resting	hla_ii_only	5	-0.1206004399986271	0.29077220951060656
normal	3rd trimester	CD8-positive	resting	ifn_apc	5	-0.24356603397734577	0.17029913109838676
normal	3rd trimester	CD8-positive	resting	lysosomal_apc	5	-0.30594385851225825	0.29264257395569576
normal	3rd trimester	CD8-positive	resting	mif_cd74_receptor_state	5	-0.04974085832996325	0.3148678716565299
normal	3rd trimester	CD8-positive	resting	monocyte_cd64	5	-0.19859692439747573	0.21421045075490355
normal	3rd trimester	CD8-positive	resting	regulatory_pregnancy	5	-0.25375107350848525	0.3514212835364801
normal	3rd trimester	CD8-positive	resting	trafficking_th	5	-0.046173707651138596	0.19099593545394533
normal	3rd trimester	activated CD4-positive	activated	hla_ii_only	6	-0.3700249236169215	1.1332740417266347
normal	3rd trimester	activated CD4-positive	activated	ifn_apc	6	0.6400719110367445	0.5678533048027964
normal	3rd trimester	activated CD4-positive	activated	lysosomal_apc	6	0.05669010947727693	0.5604579033670799
normal	3rd trimester	activated CD4-positive	activated	mif_cd74_receptor_state	6	-0.15999535258166186	0.6066783683073774
normal	3rd trimester	activated CD4-positive	activated	monocyte_cd64	6	0.5108492627184253	0.6256509988494484
normal	3rd trimester	activated CD4-positive	activated	regulatory_pregnancy	6	0.12488789065673273	0.39911882360271156
normal	3rd trimester	activated CD4-positive	activated	trafficking_th	6	0.04553565129766582	0.45743347418272545
normal	3rd trimester	activated CD8-positive	activated	hla_ii_only	3	-0.4561207897059591	0.4172356841003011
normal	3rd trimester	activated CD8-positive	activated	ifn_apc	3	-0.2921599791993061	0.2678384018663664
normal	3rd trimester	activated CD8-positive	activated	lysosomal_apc	3	-0.34264694856844674	0.22456448962795186
normal	3rd trimester	activated CD8-positive	activated	mif_cd74_receptor_state	3	-0.2170581932761659	0.393853998665792
normal	3rd trimester	activated CD8-positive	activated	monocyte_cd64	3	-0.32921147681741675	0.14451720091085993
normal	3rd trimester	activated CD8-positive	activated	regulatory_pregnancy	3	0.4119616776806667	0.44739912453185415
normal	3rd trimester	activated CD8-positive	activated	trafficking_th	3	-0.37037485824709143	0.30180495521130557
normal	postpartum	CD4-positive	resting	hla_ii_only	7	0.5799656616639685	0.8425184693360767
normal	postpartum	CD4-positive	resting	ifn_apc	7	-0.2851308452700728	0.34715771757611447
normal	postpartum	CD4-positive	resting	lysosomal_apc	7	0.37594057984494217	0.5687993165655171
normal	postpartum	CD4-positive	resting	mif_cd74_receptor_state	7	0.4020548269252714	0.47884859083143405
normal	postpartum	CD4-positive	resting	monocyte_cd64	7	-0.07027754323517878	0.513784833328949
normal	postpartum	CD4-positive	resting	regulatory_pregnancy	7	0.09777723433854353	0.13194004368871587
normal	postpartum	CD4-positive	resting	trafficking_th	7	0.17597386039676005	0.5027360658140669
normal	postpartum	CD8-positive	resting	hla_ii_only	6	0.1718861961402881	0.4286227291101192
normal	postpartum	CD8-positive	resting	ifn_apc	6	-0.3249162487803214	0.3284648214915157
normal	postpartum	CD8-positive	resting	lysosomal_apc	6	-0.047117465746522535	0.38633812651456945
normal	postpartum	CD8-positive	resting	mif_cd74_receptor_state	6	0.11237382693615756	0.21800561990015
normal	postpartum	CD8-positive	resting	monocyte_cd64	6	-0.5504108534777804	0.31593259390804324
normal	postpartum	CD8-positive	resting	regulatory_pregnancy	6	-0.3355802692698751	0.31240802290714004
normal	postpartum	CD8-positive	resting	trafficking_th	6	-0.07712148393804792	0.5235606993009081
normal	postpartum	activated CD4-positive	activated	hla_ii_only	5	0.20531881447902772	1.1503866894944486
normal	postpartum	activated CD4-positive	activated	ifn_apc	5	1.1176435454523985	0.4079748511704679
normal	postpartum	activated CD4-positive	activated	lysosomal_apc	5	0.3074073319053764	0.6378670537528812
normal	postpartum	activated CD4-positive	activated	mif_cd74_receptor_state	5	0.2164391883467006	0.6537061559417457
normal	postpartum	activated CD4-positive	activated	monocyte_cd64	5	0.8931505201953355	0.6004320550346902
normal	postpartum	activated CD4-positive	activated	regulatory_pregnancy	5	0.5793898724558328	0.6275279633124037
normal	postpartum	activated CD4-positive	activated	trafficking_th	5	-0.2394153780086568	0.23400278222020543
normal	postpartum	activated CD8-positive	activated	hla_ii_only	2	-0.8503018657571736	0.6909008534980793
normal	postpartum	activated CD8-positive	activated	ifn_apc	2	-0.2964830281101219	0.44483032383950594
normal	postpartum	activated CD8-positive	activated	lysosomal_apc	2	-0.6896950092244232	0.24607231966256085
normal	postpartum	activated CD8-positive	activated	mif_cd74_receptor_state	2	-0.5325967208252723	0.0165106696051244
normal	postpartum	activated CD8-positive	activated	monocyte_cd64	2	-0.1929987436375386	0.2638376197051361
normal	postpartum	activated CD8-positive	activated	regulatory_pregnancy	2	-0.008628222396213761	0.31299209524970906
normal	postpartum	activated CD8-positive	activated	trafficking_th	2	-0.7153889616074285	0.1455122755971162
