gene	modules	n_primary_contexts	n_primary_overlap_groups	nonresponse_high_contexts	responder_high_contexts	nominal_nonresponse_contexts_p_lt_0_05	fdr10_nonresponse_contexts	weighted_mean_hedges_g_responder_minus_non	median_auc_high_score_nonresponse	min_p	best_context	best_context_p	best_context_effect	meta_rank_score	call	system	n_patients	n_responders	n_nonresponders	covariates	effect_responder_minus_non	hedges_g_responder_minus_non	auc_high_score_response	auc_high_score_nonresponse	p	nonresponse_high_direction	fdr_ra	gse282122_cell_states_tested	gse282122_min_raw_p	gse282122_min_raw_fdr	gse282122_best_cell_state	gse282122_best_raw_p	gse282122_best_raw_fdr	gse282122_best_raw_delta_remission_minus_non	ra_replication_call	cross_system_call
GBP1	ifn_apc	4	4	4	0	2	2	-0.8449835988760043	0.7319568452380952	0.0078325601248904	GSE12251_UC_ACT1_baseline	0.0078325601248904	-1.1316035822416626	20.0769404441141	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR	RA_synovium_GSE198520_baseline	46.0	32.0	14.0	pathotype;biologic;inflammatory_score;das28_score	0.29367644734123816	0.3464803376930525	0.6316964285714286	0.3683035714285714	0.16893323377658692	False	0.2858870110065317	2	0.0070657585093238	0.6994804288380453	Mono_macro	0.0070657585093238	0.6994804288380453	-2.248565428360756	NO_RA_BASELINE_REPLICATION	IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE
APOE	lipid_loader_repair	4	4	3	1	1	1	-0.4744409394597065	0.625	0.0249460995415314	GSE16879_Crohn_colitis_Leuven_baseline	0.0249460995415314	-0.9415390511558316	11.099440939459706	PARK_DIRECTIONAL_NONRESPONSE_GENE	RA_synovium_GSE198520_baseline	46.0	32.0	14.0	pathotype;biologic;inflammatory_score;das28_score	-0.25420915722857784	-0.2777389332211223	0.41517857142857145	0.5848214285714286	0.35078624774549255	True	0.5512355321714882	2	0.008142698407955	1.0	DC	0.008142698407955	1.0	-1.7269286658980525	RA_BASELINE_SAME_DIRECTION_WEAK	IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE
CXCL8	inflammatory_nfkb	4	4	4	0	3	3	-1.7015926386898363	0.8848958333333333	6.652270422766353e-07	GSE16879_Crohn_colitis_Leuven_baseline	6.652270422766353e-07	-1.7061126291873334	24.58648847202317	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR	RA_synovium_GSE198520_baseline	46.0	32.0	14.0	pathotype;biologic;inflammatory_score;das28_score	-0.21051426637375148	-0.236623045050809	0.46205357142857145	0.5379464285714286	0.4309539083923327	True	0.602993554573609	2	0.3158117613123888	1.0	DC	0.3158117613123888	1.0	0.3129230985219315	RA_BASELINE_SAME_DIRECTION_WEAK	IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE
OSM	inflammatory_nfkb	4	4	4	0	2	2	-1.431254442057994	0.8145833333333333	0.0002320784273026	GSE12251_UC_ACT1_baseline	0.0002320784273026	-1.5269367748919318	20.74583777539133	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR	RA_synovium_GSE198520_baseline	46.0	32.0	14.0	pathotype;biologic;inflammatory_score;das28_score	-0.22467655784240465	-0.2881959585113285	0.43973214285714285	0.5602678571428572	0.4385407669626248	True	0.602993554573609	2	0.2658859948291816	1.0	Mono_macro	0.2658859948291816	1.0	-0.4811553417838143	RA_BASELINE_SAME_DIRECTION_WEAK	IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE
ACSL1	lipid_loader_repair	4	4	4	0	3	2	-1.3279261929404635	0.8218005952380952	0.0004432276564367	GSE12251_UC_ACT1_baseline	0.0004432276564367	-1.445752335426933	22.64972678817856	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR	RA_synovium_GSE198520_baseline	46.0	32.0	14.0	pathotype;biologic;inflammatory_score;das28_score	0.17766766272895537	0.18007044261002547	0.5491071428571429	0.4508928571428571	0.5266539806543222	False	0.6815522102585347	2	0.0053651490931097	0.6703550679744023	Mono_macro	0.0053651490931097	0.6703550679744023	-2.2731922369474944	NO_RA_BASELINE_REPLICATION	IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE
SPP1	lipid_loader_repair	4	4	4	0	2	2	-1.2339279904417342	0.7854166666666667	8.237265150149616e-05	GSE16879_Crohn_colitis_Leuven_baseline	8.237265150149616e-05	-1.5727510965374505	20.5193446571084	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR	RA_synovium_GSE198520_baseline	46.0	32.0	14.0	pathotype;biologic;inflammatory_score;das28_score	0.12367520217858627	0.1177359948903511	0.4955357142857143	0.5044642857142857	0.6475863862748958	False	0.7568722645130643	2	0.0122041512935881	0.735902312729011	Mono_macro	0.0122041512935881	0.735902312729011	-3.0008018636105493	NO_RA_BASELINE_REPLICATION	IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE
MERTK	complement_phagocytosis;lipid_loader_repair	4	4	3	1	1	1	-0.3858509746932523	0.5264136904761905	0.013393151239282	GSE12251_UC_ACT1_baseline	0.013393151239282	-1.047153121091177	10.912264665169442	PARK_DIRECTIONAL_NONRESPONSE_GENE	RA_synovium_GSE198520_baseline	46.0	32.0	14.0	pathotype;biologic;inflammatory_score;das28_score	0.1039424346420979	0.11965626507710371	0.5334821428571429	0.4665178571428571	0.6641791210078086	False	0.7568722645130643	2	0.1712782116277761	1.0	DC	0.1712782116277761	1.0	-0.9949901418632816	NO_RA_BASELINE_REPLICATION	IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE
IRF1	ifn_apc	4	4	4	0	1	1	-0.5843905657803538	0.6434151785714286	0.0265094289124788	GSE12251_UC_ACT1_baseline	0.0265094289124788	-0.9581280899818364	16.22780574435178	PARK_DIRECTIONAL_NONRESPONSE_GENE	RA_synovium_GSE198520_baseline	46.0	32.0	14.0	pathotype;biologic;inflammatory_score;das28_score	0.12028004813172942	0.13647094098291387	0.5245535714285714	0.4754464285714286	0.6880656950118766	False	0.7568722645130643	2	0.0113159191230791	0.9210541149887996	DC	0.0113159191230791	1.0	-0.9853876773402408	NO_RA_BASELINE_REPLICATION	IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE
IFI30	ifn_apc;lysosomal_apc	4	4	4	0	3	2	-0.9749187121510496	0.79453125	0.0121547902094126	GSE12251_UC_ACT1_baseline	0.0121547902094126	-0.9975958907543748	22.269449962151047	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR	RA_synovium_GSE198520_baseline	46.0	32.0	14.0	pathotype;biologic;inflammatory_score;das28_score	0.06248929024691949	0.08101742449353182	0.5513392857142857	0.4486607142857143	0.8008549960531537	False	0.838990948246161	2	0.0613527478640238	0.9575655202109942	Mono_macro	0.0613527478640238	0.9575655202109942	0.4549467240822629	NO_RA_BASELINE_REPLICATION	IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE
CXCL10	ifn_apc	4	4	4	0	2	2	-0.8555808106223287	0.7279761904761906	0.0044056013660049	GSE14580_UC_Leuven_baseline	0.0044056013660049	-1.074679211872763	20.08355700109852	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR	RA_synovium_GSE198520_baseline	46.0	32.0	14.0	pathotype;biologic;inflammatory_score;das28_score	-0.038426997427669966	-0.043673107889453486	0.4419642857142857	0.5580357142857143	0.882306480160059	True	0.882306480160059	2	0.0114605604426972	0.7247763606925659	Mono_macro	0.0114605604426972	0.7247763606925659	-3.5317587492056064	RA_BASELINE_SAME_DIRECTION_WEAK	IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE
CCL4	inflammatory_nfkb	4	4	4	0	3	3	-1.533330874218231	0.8694010416666667	0.0003529140606125	GSE16879_Crohn_colitis_Leuven_baseline	0.0003529140606125	-1.7150940703210993	24.402731915884896	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR													2	0.2406379468876999	1.0	DC	0.2406379468876999	1.0	-0.7061977354571318	NO_RA_BASELINE_REPLICATION	IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE
CCL3	inflammatory_nfkb	4	4	4	0	3	3	-1.3914078199742883	0.8479166666666667	8.3902184022792e-05	GSE16879_Crohn_colitis_Leuven_baseline	8.3902184022792e-05	-1.6296133079502724	24.239324486640957	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR													2	0.3523581215039993	1.0	DC	0.3523581215039993	1.0	-0.5413810672900885	NO_RA_BASELINE_REPLICATION	IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE
TNF	inflammatory_nfkb	4	4	4	0	1	1	-0.69030184630918	0.7105654761904762	0.0336287056607847	GSE12251_UC_ACT1_baseline	0.0336287056607847	-0.9464441197395668	16.400867322499654	PARK_DIRECTIONAL_NONRESPONSE_GENE													2	0.7739108648006362	1.0	Mono_macro	0.7739108648006362	1.0	-0.2243170073438128	NO_RA_BASELINE_REPLICATION	IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE
LAMP3	lysosomal_apc	4	4	4	0	2	2	-1.0965849531171696	0.7588541666666666	0.0057443715041886	GSE16879_Crohn_colitis_Leuven_baseline	0.0057443715041886	-1.4613218073945795	20.355439119783835	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR	RA_synovium_GSE198520_baseline	46.0	32.0	14.0	pathotype;biologic;inflammatory_score;das28_score	-0.6320679830496541	-0.926908112855244	0.21428571428571427	0.7857142857142857	0.0023759962619227144	True	0.02613595888114986	2	0.0876734537644154	1.0	Mono_macro	0.0876734537644154	1.0	-1.273219693485136	RA_BASELINE_DIRECTIONAL_REPLICATION	PARK_CROSS_SYSTEM_ANTITNF_RESISTANCE_GENE
IL1B	inflammatory_nfkb	4	4	4	0	3	3	-1.6949960469299326	0.8973958333333334	6.0045207181083906e-05	GSE16879_Crohn_colitis_Leuven_baseline	6.0045207181083906e-05	-1.5935172483524056	24.592391880263268	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR	RA_synovium_GSE198520_baseline	46.0	32.0	14.0	pathotype;biologic;inflammatory_score;das28_score	-0.47155137759208166	-0.588430399982512	0.29910714285714285	0.7008928571428572	0.04069081882354505	True	0.09946644601311011	2	0.294324299229441	1.0	Mono_macro	0.294324299229441	1.0	0.3005429682761329	RA_BASELINE_DIRECTIONAL_REPLICATION	PARK_CROSS_SYSTEM_ANTITNF_RESISTANCE_GENE
