sample_id	cell_state	state_level	n_cells	cd74_alone	receptor_only_cd74_cd44_cxcr4	hla_ii_without_cd74	full_mif_cd74_state	ifn_apc
CID006569-1	DC	major	51	0.35159907	-0.5412587	0.14198792	-0.23867348	0.057288475
CID006569-1	Mono_macro	major	38	0.1517374	-0.3893752	0.03145964	-0.16564946	0.17419815
CID006571-1	DC	major	32	0.07189962	-0.10410592	0.36059046	-0.043674096	-0.1764801
CID006571-1	Mono_macro	major	74	0.8349924	0.35148692	-0.5039567	-0.0039129145	0.696156
CID006573-1	DC	major	50	0.24329995	-0.32775655	0.43672523	0.013773322	-0.8567479
CID006573-1	Mono_macro	major	36	0.2678574	-0.09247319	0.35359654	0.20346461	-1.1005839
CID006575-1	DC	major	51	1.5352381	0.32079253	-0.18918402	-0.008914769	0.032124095
CID006575-1	Mono_macro	major	115	1.4611357	-0.17889662	-0.4419661	-0.082721606	0.54000217
CID006576-1	DC	major	67	0.6383112	-0.028860852	-0.15536948	-0.08772248	0.49667194
CID006576-1	Mono_macro	major	98	0.3647055	0.062745236	-0.9169378	-0.28885573	1.054278
CID003352-2	C1Qhi IL1Blo macro	fine	38	-1.0127211	-0.74998903	0.4895223	0.15938088	-0.66455066
CID003352-2	S100A8 A9hi mono	fine	92	-1.896294	0.07626956	-0.11576272	0.3707041	0.4225628
CID003356-1	C1Qhi IL1Blo macro	fine	22	-1.2519737	-0.86444587	0.6482792	0.0012277812	-1.1212912
CID003356-1	S100A8 A9hi mono	fine	28	-0.8041522	0.6524289	-0.6304104	0.18069217	0.3085274
CID003360-1	C1Qhi IL1Blo macro	fine	22	-1.0754964	-0.82059103	0.71448535	-0.08396961	-0.452194
CID003360-1	S100A8 A9hi mono	fine	36	-1.0168597	0.18793386	0.30968162	0.32063276	-0.10877524
CID003361-1	C1Qhi IL1Blo macro	fine	23	-0.16683164	-0.4518788	0.2604294	0.11193226	0.30959252
CID003363-1	C1Qhi IL1Blo macro	fine	21	-0.27503952	-0.13292973	0.3131757	0.27671063	0.09695085
CID003363-1	S100A8 A9hi mono	fine	30	-0.79942715	0.2936727	-0.42872465	0.017486848	0.7287549
CID003364-1	C1Qhi IL1Blo macro	fine	27	-0.8707728	-0.8161876	0.55732125	0.14703561	-0.5010974
CID003366-1	CD1Chi DC	fine	33	-0.33725435	0.31578842	0.36185315	0.17462263	-0.068969235
CID003367-2	C1Qhi IL1Blo macro	fine	35	-0.70461243	-0.34063542	0.34079087	0.0729547	0.2944317
CID003368-1	C1Qhi IL1Bhi macro	fine	42	-0.1429911	0.15830095	0.07158944	0.31573635	0.49019113
CID003368-1	CD1Chi DC	fine	34	-0.7968332	0.21908478	0.27753887	0.18698925	0.16895361
CID003368-1	S100A8 A9hi mono	fine	49	-0.3352861	0.45798483	-0.0008489589	0.4092459	0.3471447
CID003370-1	CD1Chi DC	fine	29	-0.45995688	0.10034368	0.4957135	0.26357734	-0.53422016
CID003371-2	C1Qhi IL1Blo macro	fine	25	-0.09566196	-2.9669497	0.6279339	-0.5773887	-2.4669366
CID003372-1	C1Qhi IL1Bhi macro	fine	29	-0.12583086	0.06406856	0.32018435	0.179789	-0.13934235
CID003372-1	CD1Chi DC	fine	53	-0.9840056	0.17018981	0.46687797	0.14625168	-0.34572572
CID003372-1	S100A8 A9hi mono	fine	44	-0.8531694	0.8782609	-0.80094606	0.1499191	0.42928472
CID003377-1	C1Qhi IL1Bhi macro	fine	51	-1.275319	-0.59230894	0.6176157	0.04368756	-0.45224673
CID003377-1	C1Qhi IL1Blo macro	fine	48	-2.0348077	-0.6139832	0.34584686	0.037947718	0.10033006
CID003377-1	CD1Chi DC	fine	104	-1.9612917	-0.44233993	0.4623541	0.15530472	-0.1404022
CID003381-1	C1Qhi IL1Bhi macro	fine	52	-1.4100851	-1.0699146	0.7116694	-0.19307727	-0.67873865
CID003381-1	C1Qhi IL1Blo macro	fine	22	-1.588433	-1.2320888	0.653888	-0.21925917	-1.0423201
CID003381-1	CD1Chi DC	fine	109	-1.4847351	-0.55256844	0.65407586	0.07388781	-1.2483242
CID003382-1	CD1Chi DC	fine	36	-1.2847692	-0.5298365	0.61778194	0.03549049	-0.8932921
CID003382-1	S100A8 A9hi mono	fine	33	-1.6558486	0.031302094	0.17277925	0.18544728	0.24698593
CID003386-1	CD1Chi DC	fine	49	-0.42907107	0.01486506	0.20495433	-0.13754325	0.16867797
CID003386-1	S100A8 A9hi mono	fine	60	-1.4754088	-0.05114736	-0.8458658	-0.58333325	0.5702209
CID003667-1	C1Qhi IL1Blo macro	fine	29	-1.1635656	-0.3003434	0.0010148684	-0.027941346	0.19623287
CID003667-1	CD1Chi DC	fine	41	-1.9737921	-0.34178028	0.6127259	0.06350688	-0.5593732
CID003667-1	S100A8 A9hi mono	fine	95	-2.6420245	-0.051663667	-0.25632796	-0.026548102	0.46463892
CID003669-1	C1Qhi IL1Blo macro	fine	55	-0.74401647	0.13460135	-0.3321919	0.03400168	0.45571348
CID003669-1	CD1Chi DC	fine	29	-1.3146253	-0.14856888	0.16862613	0.08697241	0.082196
CID003669-1	S100A8 A9hi mono	fine	203	-1.9292849	0.17189622	-0.882704	-0.26308486	0.7295419
CID003671-1	C1Qhi IL1Bhi macro	fine	37	-1.7736762	-0.6418822	0.5675531	0.10834042	-0.054282732
CID003671-1	C1Qhi IL1Blo macro	fine	46	-2.1437194	-0.59983116	0.3472978	0.12962963	0.19221477
CID003671-1	CD1Chi DC	fine	80	-2.3269162	-0.68897337	0.6513807	0.1173024	-0.13405909
CID003671-1	S100A8 A9hi mono	fine	131	-3.0282764	-0.35034332	-0.44314542	-0.12495658	0.4792354
CID003672-1	CD1Chi DC	fine	52	-0.71156645	-0.6221268	0.61002344	0.12119137	-0.8712941
CID003674-1	C1Qhi IL1Bhi macro	fine	35	-1.1418823	-0.7818884	0.625711	0.058270186	-0.54965746
CID003674-1	C1Qhi IL1Blo macro	fine	27	-0.50696015	-1.3169476	0.5372798	-0.09938146	-0.77469146
CID003674-1	CD1Chi DC	fine	111	-1.9448093	-0.86681324	0.77241945	-0.04059623	-0.64583075
CID003674-1	S100A8 A9hi mono	fine	52	-1.4971247	-0.18507393	0.20666154	0.080617495	0.4874293
CID003675-1	CD1Chi DC	fine	60	-1.3144298	-0.7264581	0.7349661	0.03230007	-0.83305615
CID004703-1	C1Qhi IL1Blo macro	fine	43	1.6259534	-0.10724541	-0.13684991	-0.21304628	0.072703384
CID004703-1	S100A8 A9hi mono	fine	70	-0.01787063	0.9258609	-1.2214056	0.008008599	0.88782793
CID004704-1	S100A8 A9hi mono	fine	22	0.8487571	1.1646891	-1.678618	-0.28678674	1.0985416
CID004706-1	C1Qhi IL1Blo macro	fine	26	0.5153219	-0.39857122	0.15650804	-0.0737623	-0.18493377
CID004706-1	S100A8 A9hi mono	fine	40	-0.13958251	0.5998884	-0.3577753	0.09479004	0.56830037
CID004707-1	S100A8 A9hi mono	fine	35	0.2398327	1.1735114	-0.8194956	-0.07456246	0.53178763
CID004709-1	CD1Chi DC	fine	31	0.28922132	-0.042252254	-0.069400646	-0.0028447136	0.18532203
CID004710-1	CD1Chi DC	fine	27	0.7303039	0.2089821	-0.11033937	-0.13959573	0.26279315
CID004713-1	CD1Chi DC	fine	31	1.2244574	0.29594794	0.18840833	-0.08163876	-1.1956733
CID004714-1	CD1Chi DC	fine	36	1.3177861	0.5091453	0.09949688	-0.0487858	-1.1630704
CID004725-1	CD1Chi DC	fine	36	-0.16595179	-0.024442792	0.13550057	0.038830176	0.14609312
CID004726-1	C1Qhi IL1Bhi macro	fine	53	0.21156035	-0.34723786	0.33995318	-0.118743725	-0.11517825
CID004726-1	CD1Chi DC	fine	83	0.012422107	0.08072729	0.23886175	-0.07522814	0.05358277
CID004728-1	CD1Chi DC	fine	27	0.65992284	0.060144823	0.27091637	0.078792356	-1.4055405
CID004729-1	C1Qhi IL1Bhi macro	fine	32	0.52932775	-0.15871033	0.29707888	-0.0011404008	-1.3321819
CID004729-1	CD1Chi DC	fine	37	0.26916087	-0.09701838	0.32337487	-0.25348392	-0.6442671
CID004731-1	C1Qhi IL1Bhi macro	fine	28	0.9269004	-0.15215857	0.04544453	-0.002627015	0.3433602
CID004731-1	C1Qhi IL1Blo macro	fine	63	0.29365313	-0.6504677	0.25838056	-0.009386037	0.076113954
CID004731-1	CD1Chi DC	fine	94	0.79940104	0.23424017	0.14823045	0.12825546	-0.047683146
CID004735-1	C1Qhi IL1Bhi macro	fine	36	1.7523317	-0.10064542	0.08365073	0.011093001	-0.24084732
CID004735-1	C1Qhi IL1Blo macro	fine	20	0.7977196	-0.7794578	0.29559496	0.100118645	-1.1061227
CID004735-1	CD1Chi DC	fine	41	0.5844582	-0.09636434	0.40695906	0.03650572	-0.58818954
CID004740-1	C1Qhi IL1Bhi macro	fine	30	1.3391957	0.14411312	-0.122275494	-0.068126395	-0.47682282
CID004740-1	CD1Chi DC	fine	27	0.12801418	0.016707698	0.17207833	0.15121523	-0.8097745
CID004740-1	S100A8 A9hi mono	fine	24	0.8399912	1.1662027	-1.3575295	0.24327987	0.7321803
CID004742-1	C1Qhi IL1Bhi macro	fine	22	1.6418167	0.22295308	-0.29423591	0.11510131	-0.5867669
CID004742-1	CD1Chi DC	fine	24	1.0287669	0.29610658	-0.116347335	0.21388456	-0.31168047
CID004742-1	S100A8 A9hi mono	fine	22	0.549297	0.9678736	-0.8715074	0.37579542	0.35932758
CID004747-1	C1Qhi IL1Bhi macro	fine	54	0.5239705	-0.2678645	0.17326562	-0.15079555	0.37149194
CID004747-1	CD1Chi DC	fine	53	0.19591214	-0.07590585	0.23035781	-0.10610595	0.3502024
CID004747-1	S100A8 A9hi mono	fine	110	-1.0010746	-0.02137789	-0.5224342	-0.27959	0.7598612
CID004750-1	C1Qhi IL1Bhi macro	fine	22	0.40333396	-0.39164326	0.0133890165	-0.18882439	0.51612014
CID004750-1	CD1Chi DC	fine	33	-0.5470876	-0.20665582	0.41441092	-0.13141833	0.12597026
CID004750-1	S100A8 A9hi mono	fine	72	-0.4757615	0.31091186	-0.40590182	0.045025527	0.7994908
CID004752-1	CD1Chi DC	fine	32	0.27414665	0.27189413	-0.12537536	0.1503442	0.5100001
CID004752-1	S100A8 A9hi mono	fine	47	0.1457675	0.53163785	-0.91325045	0.29480767	0.9277454
CID004753-1	S100A8 A9hi mono	fine	34	-0.119952194	0.56124663	-0.90158415	0.08196001	0.6907171
CID004756-1	CD1Chi DC	fine	40	0.14483552	0.11359203	0.121150404	0.2082609	0.16681863
CID004756-1	S100A8 A9hi mono	fine	32	0.18057026	0.29353476	-0.4766632	0.2869977	0.6845803
CID004757-1	S100A8 A9hi mono	fine	24	-0.4122041	0.11831302	-0.72438914	0.03784601	0.814866
CID005704-1	C1Qhi IL1Bhi macro	fine	26	-0.568256	-0.44535765	0.37266243	0.07054678	0.0031610217
CID005704-1	C1Qhi IL1Blo macro	fine	23	-0.8271585	-1.0319175	0.33291438	0.06896713	-0.045797043
CID005704-1	S100A8 A9hi mono	fine	69	-1.0449886	0.65787655	-1.5316453	-0.2981924	0.7799507
CID005705-1	C1Qhi IL1Bhi macro	fine	38	-0.14677769	-0.25399336	0.428092	-0.022962354	-1.0551416
CID005705-1	S100A8 A9hi mono	fine	30	-0.5409873	0.66539	-0.015906231	-0.75802743	-0.024548838
CID005707-1	C1Qhi IL1Bhi macro	fine	32	-0.112515874	0.21234082	0.2404152	0.052501537	0.23280385
CID005707-1	C1Qhi IL1Blo macro	fine	30	-0.9060448	-0.4066731	0.13962768	-0.10761282	0.3826723
CID005707-1	S100A8 A9hi mono	fine	110	-1.4365131	0.4993367	-0.27194986	0.00092945993	0.47367936
CID005708-1	C1Qhi IL1Bhi macro	fine	20	0.28132227	0.029559927	0.3369012	0.05632183	-0.20032477
CID005708-1	S100A8 A9hi mono	fine	144	-0.96951747	0.7123122	-1.0440758	-0.32123747	0.579514
CID005715-1	CD1Chi DC	fine	22	-0.010238788	0.47187057	0.25311485	0.36526817	-0.7204409
CID005718-1	CD1Chi DC	fine	20	0.937465	0.40769053	0.2175045	0.08463697	-0.6766822
CID005720-1	C1Qhi IL1Bhi macro	fine	38	0.69915086	0.33803663	-0.25132155	0.043515235	0.42827576
