gene	source	query	hit_count	url	top_examples	status	error
LAIR1	EuropePMC	(LAIR1 OR CD305) autoimmune	402	https://europepmc.org/search?query=%28LAIR1+OR+CD305%29+autoimmune	"[{""doi"": ""10.3390/biomedicines13102526"", ""id"": ""41153806"", ""source"": ""MED"", ""title"": ""Intraepithelial Lymphocytes and LAIR1 Expression in Celiac Disease."", ""year"": ""2025""}, {""doi"": ""10.3390/biom15060866"", ""id"": ""40563506"", ""source"": ""MED"", ""title"": ""The Role of LAIR1 as a Regulatory Receptor of Antitumor Immune Cell Responses and Tumor Cell Growth and Expansion."", ""year"": ""2025""}, {""doi"": ""10.1016/j.isci.2026.115337"", ""id"": ""41959675"", ""source"": ""MED"", ""title"": ""A multimodal atlas for immunotherapeutic targeting of AML surface heterogeneity."", ""year"": ""2026""}]"	ok	
LAIR1	PubMed	(LAIR1 OR CD305) autoimmune	35	https://pubmed.ncbi.nlm.nih.gov/?term=%28LAIR1+OR+CD305%29+autoimmune	"[{""pmid"": ""40563506""}, {""pmid"": ""39079337""}, {""pmid"": ""38062469""}]"	ok	
LAIR1	EuropePMC_preprint	((LAIR1 OR CD305) autoimmune) AND SRC:PPR	6	https://europepmc.org/search?query=%28%28LAIR1+OR+CD305%29+autoimmune%29+AND+SRC%3APPR	"[{""doi"": ""10.1101/2023.07.01.23292108"", ""id"": ""PPR685508"", ""source"": ""PPR"", ""title"": ""Polymerized type I collagen down-regulates STAT-1 phosphorylation through engagement to LAIR-1 in M1-macrophages avoiding long COVID"", ""year"": ""2023""}, {""doi"": ""10.1101/2023.07.27.23293253"", ""id"": ""PPR703186"", ""source"": ""PPR"", ""title"": ""Cytokines as Potential Novel Therapeutic Targets in Severe Inflammatory Cardiomyopathy"", ""year"": ""2023""}, {""doi"": ""10.1101/2021.12.07.471103"", ""id"": ""PPR429603"", ""source"": ""PPR"", ""title"": ""Impaired LAIR-1-mediated immune control due to collagen degradation in fibrosis"", ""year"": ""2021""}]"	ok	
LAIR1	ClinicalTrials.gov	LAIR1 autoimmune	0	https://clinicaltrials.gov/search?term=LAIR1+autoimmune	[]	ok	
LAIR1	Google Patents	LAIR1 agonist autoimmune disease		https://patents.google.com/?q=LAIR1+agonist+autoimmune+disease	[]	query_url_only	Google Patents has no unauthenticated count API used in this script
CD200R1	EuropePMC	"(CD200R1 OR CD200R OR ""CD200 receptor"") autoimmune"	1250	https://europepmc.org/search?query=%28CD200R1+OR+CD200R+OR+%22CD200+receptor%22%29+autoimmune	"[{""doi"": ""10.1186/s13075-026-03782-1"", ""id"": ""41840630"", ""source"": ""MED"", ""title"": ""Increased soluble CD200 in serum of SLE patients does not reflect disease activity or affect CD200R1 function in T cells."", ""year"": ""2026""}, {""doi"": ""10.1016/j.brainresbull.2025.111686"", ""id"": ""41397547"", ""source"": ""MED"", ""title"": ""Peripheral CD200R signaling: A critical regulator of post-stroke inflammation in aged mice."", ""year"": ""2026""}, {""doi"": ""10.1038/s41598-025-33630-2"", ""id"": ""41629379"", ""source"": ""MED"", ""title"": ""Elevated expression of immune checkpoints and pro-inflammatory cytokines as potential biomarkers in pediatric Vulvar Lichen Sclerosus."", ""year"": ""2026""}]"	ok	
CD200R1	PubMed	"(CD200R1 OR CD200R OR ""CD200 receptor"") autoimmune"	64	https://pubmed.ncbi.nlm.nih.gov/?term=%28CD200R1+OR+CD200R+OR+%22CD200+receptor%22%29+autoimmune	"[{""pmid"": ""42159071""}, {""pmid"": ""41840630""}, {""pmid"": ""41584046""}]"	ok	
CD200R1	EuropePMC_preprint	"((CD200R1 OR CD200R OR ""CD200 receptor"") autoimmune) AND SRC:PPR"	9	https://europepmc.org/search?query=%28%28CD200R1+OR+CD200R+OR+%22CD200+receptor%22%29+autoimmune%29+AND+SRC%3APPR	"[{""doi"": ""10.1101/2025.05.19.654867"", ""id"": ""PPR1025207"", ""source"": ""PPR"", ""title"": ""CD200R1 is required for the development of \u03b3\u03b417 T cells"", ""year"": ""2025""}, {""doi"": ""10.1101/2022.04.01.486720"", ""id"": ""PPR476905"", ""source"": ""PPR"", ""title"": ""Reduced cutaneous CD200:CD200R1 signalling in psoriasis enhances neutrophil recruitment to skin"", ""year"": ""2022""}, {""doi"": ""10.1101/2022.04.17.488595"", ""id"": ""PPR483098"", ""source"": ""PPR"", ""title"": ""CD200R1 promotes IL-17 production by ILC3s, by enhancing STAT3 activation"", ""year"": ""2022""}]"	ok	
CD200R1	ClinicalTrials.gov	CD200R autoimmune	0	https://clinicaltrials.gov/search?term=CD200R+autoimmune	[]	ok	
CD200R1	Google Patents	CD200R agonist autoimmune disease		https://patents.google.com/?q=CD200R+agonist+autoimmune+disease	[]	query_url_only	Google Patents has no unauthenticated count API used in this script
SIGLEC10	EuropePMC	"(SIGLEC10 OR ""Siglec-10"" OR CD24Fc) autoimmune"	605	https://europepmc.org/search?query=%28SIGLEC10+OR+%22Siglec-10%22+OR+CD24Fc%29+autoimmune	"[{""doi"": """", ""id"": ""PMC13192747"", ""source"": ""PMC"", ""title"": ""Siglec-G on B cells restrains the germinal center response by controlling T cell help during positive selection"", ""year"": ""2026""}, {""doi"": ""10.32604/or.2025.059327"", ""id"": ""40486886"", ""source"": ""MED"", ""title"": ""Decoding CD24: Roles of chemoradiotherapy resistance and potential as therapeutic targets."", ""year"": ""2025""}, {""doi"": ""10.3389/fimmu.2023.1334922"", ""id"": ""38313430"", ""source"": ""MED"", ""title"": ""Surprising magic of CD24 beyond cancer."", ""year"": ""2023""}]"	ok	
SIGLEC10	PubMed	"(SIGLEC10 OR ""Siglec-10"" OR CD24Fc) autoimmune"	23	https://pubmed.ncbi.nlm.nih.gov/?term=%28SIGLEC10+OR+%22Siglec-10%22+OR+CD24Fc%29+autoimmune	"[{""pmid"": ""41052072""}, {""pmid"": ""40605153""}, {""pmid"": ""40574023""}]"	ok	
SIGLEC10	EuropePMC_preprint	"((SIGLEC10 OR ""Siglec-10"" OR CD24Fc) autoimmune) AND SRC:PPR"	10	https://europepmc.org/search?query=%28%28SIGLEC10+OR+%22Siglec-10%22+OR+CD24Fc%29+autoimmune%29+AND+SRC%3APPR	"[{""doi"": ""10.20944/preprints202503.1086.v1"", ""id"": ""PPR990406"", ""source"": ""PPR"", ""title"": ""Optimization of Lipoplexes Functionalized with a Sialic Acid Mimetic (F9-PEG) to Target the C1858T PTPN22 Variant for Preclinical Assessment of a Novel Immunotherapy in Endocrine Autoimmunity"", ""year"": ""2025""}, {""doi"": ""10.1101/2020.12.21.423397"", ""id"": ""PPR255822"", ""source"": ""PPR"", ""title"": ""Multicohort Analysis of Publicly-available Monocyte Expression Data Identifies Gene Signatures to Accurately Monitor Subset-specific Changes in Human Diseases"", ""year"": ""2020""}, {""doi"": ""10.1101/2021.11.16.21266391"", ""id"": ""PPR420712"", ""source"": ""PPR"", ""title"": ""From online data collection to identification of disease mechanisms: The IL-1\u00df, IL-6 and TNF-\u03b1 cytokine triad is associated with post-acute sequelae of COVID-19 in a digital research cohort"", ""year"": ""2021""}]"	ok	
SIGLEC10	ClinicalTrials.gov	CD24Fc autoimmune	1	https://clinicaltrials.gov/search?term=CD24Fc+autoimmune	"[{""conditions"": ""Advanced Malignant Solid Neoplasm"", ""nct_id"": ""NCT04552704"", ""status"": ""TERMINATED"", ""title"": ""CD24Fc for the Treatment of Immune Related Adverse Events in Patients With Advanced Solid Tumors, TIRAEC Study""}]"	ok	
SIGLEC10	Google Patents	CD24Fc Siglec-10 autoimmune disease		https://patents.google.com/?q=CD24Fc+Siglec-10+autoimmune+disease	[]	query_url_only	Google Patents has no unauthenticated count API used in this script
LILRB3	EuropePMC	(LILRB3 OR ILT5 OR CD85A) autoimmune	198	https://europepmc.org/search?query=%28LILRB3+OR+ILT5+OR+CD85A%29+autoimmune	"[{""doi"": ""10.1080/07853890.2025.2546684"", ""id"": ""40843931"", ""source"": ""MED"", ""title"": ""Comprehensive analysis of the leukocyte immunoglobulin-like receptor family in clear cell renal cell carcinoma."", ""year"": ""2025""}, {""doi"": ""10.1093/immadv/ltaf009"", ""id"": ""40385641"", ""source"": ""MED"", ""title"": ""Therapeutic targeting of tumour-associated macrophage receptors."", ""year"": ""2025""}, {""doi"": ""10.7150/thno.116951"", ""id"": ""40860159"", ""source"": ""MED"", ""title"": ""Inhibitory leukocyte immunoglobulin-like receptors, subfamily B (LILRBs) in human diseases: structure, roles, mechanisms, and clinical applications."", ""year"": ""2025""}]"	ok	
LILRB3	PubMed	(LILRB3 OR ILT5 OR CD85A) autoimmune	3	https://pubmed.ncbi.nlm.nih.gov/?term=%28LILRB3+OR+ILT5+OR+CD85A%29+autoimmune	"[{""pmid"": ""38162675""}, {""pmid"": ""30068593""}, {""pmid"": ""28756073""}]"	ok	
LILRB3	EuropePMC_preprint	((LILRB3 OR ILT5 OR CD85A) autoimmune) AND SRC:PPR	2	https://europepmc.org/search?query=%28%28LILRB3+OR+ILT5+OR+CD85A%29+autoimmune%29+AND+SRC%3APPR	"[{""doi"": ""10.1101/2023.09.11.557129"", ""id"": ""PPR723158"", ""source"": ""PPR"", ""title"": ""Expression Level Analysis of ACE2 Receptor Gene in African-American and Non-African-American COVID-19 Patients"", ""year"": ""2023""}, {""doi"": ""10.1101/2022.08.16.504102"", ""id"": ""PPR532672"", ""source"": ""PPR"", ""title"": ""Transcriptomic and epigenetic assessment of ageing male skin identifies disruption of Ca  <sup>2+</sup>  homeostasis; exacerbated by smoking and UV exposure"", ""year"": ""2022""}]"	ok	
LILRB3	ClinicalTrials.gov	LILRB3 autoimmune	0	https://clinicaltrials.gov/search?term=LILRB3+autoimmune	[]	ok	
LILRB3	Google Patents	LILRB3 ILT5 autoimmune antibody		https://patents.google.com/?q=LILRB3+ILT5+autoimmune+antibody	[]	query_url_only	Google Patents has no unauthenticated count API used in this script
LILRB5	EuropePMC	(LILRB5 OR LIR8 OR CD85C) autoimmune	98	https://europepmc.org/search?query=%28LILRB5+OR+LIR8+OR+CD85C%29+autoimmune	"[{""doi"": ""10.1111/dom.70088"", ""id"": ""40888248"", ""source"": ""MED"", ""title"": ""Integrative proteomic analysis provides novel therapeutic insights for etiological subtypes of diabetes."", ""year"": ""2025""}, {""doi"": ""10.1093/immadv/ltaf009"", ""id"": ""40385641"", ""source"": ""MED"", ""title"": ""Therapeutic targeting of tumour-associated macrophage receptors."", ""year"": ""2025""}, {""doi"": ""10.7150/thno.116951"", ""id"": ""40860159"", ""source"": ""MED"", ""title"": ""Inhibitory leukocyte immunoglobulin-like receptors, subfamily B (LILRBs) in human diseases: structure, roles, mechanisms, and clinical applications."", ""year"": ""2025""}]"	ok	
LILRB5	PubMed	(LILRB5 OR LIR8 OR CD85C) autoimmune	1	https://pubmed.ncbi.nlm.nih.gov/?term=%28LILRB5+OR+LIR8+OR+CD85C%29+autoimmune	"[{""pmid"": ""40888248""}]"	ok	
LILRB5	EuropePMC_preprint	((LILRB5 OR LIR8 OR CD85C) autoimmune) AND SRC:PPR	2	https://europepmc.org/search?query=%28%28LILRB5+OR+LIR8+OR+CD85C%29+autoimmune%29+AND+SRC%3APPR	"[{""doi"": ""10.1101/2023.09.11.557129"", ""id"": ""PPR723158"", ""source"": ""PPR"", ""title"": ""Expression Level Analysis of ACE2 Receptor Gene in African-American and Non-African-American COVID-19 Patients"", ""year"": ""2023""}, {""doi"": ""10.1101/2022.08.16.504102"", ""id"": ""PPR532672"", ""source"": ""PPR"", ""title"": ""Transcriptomic and epigenetic assessment of ageing male skin identifies disruption of Ca  <sup>2+</sup>  homeostasis; exacerbated by smoking and UV exposure"", ""year"": ""2022""}]"	ok	
LILRB5	ClinicalTrials.gov	LILRB5 autoimmune	0	https://clinicaltrials.gov/search?term=LILRB5+autoimmune	[]	ok	
LILRB5	Google Patents	LILRB5 LIR8 autoimmune antibody		https://patents.google.com/?q=LILRB5+LIR8+autoimmune+antibody	[]	query_url_only	Google Patents has no unauthenticated count API used in this script
HAVCR2	EuropePMC	"(HAVCR2 OR ""TIM-3"" OR TIM3) autoimmune"	9050	https://europepmc.org/search?query=%28HAVCR2+OR+%22TIM-3%22+OR+TIM3%29+autoimmune	"[{""doi"": ""10.1007/s11897-026-00755-y"", ""id"": ""41945196"", ""source"": ""MED"", ""title"": ""TIM-3 in Cardiovascular Disease."", ""year"": ""2026""}, {""doi"": ""10.3389/fimmu.2025.1600792"", ""id"": ""40666515"", ""source"": ""MED"", ""title"": ""Galectin-9 and Tim-3 in gastric cancer: a checkpoint axis driving T cell exhaustion and Treg-mediated immunosuppression independently of anti-PD-1 blockade."", ""year"": ""2025""}, {""doi"": ""10.1186/s12967-025-07621-w"", ""id"": ""41580850"", ""source"": ""MED"", ""title"": ""Single-cell sequencing analysis and machine learning model reveal aberrant TIM-3 expression in microglia during Alzheimer's disease progression."", ""year"": ""2026""}]"	ok	
HAVCR2	PubMed	"(HAVCR2 OR ""TIM-3"" OR TIM3) autoimmune"	315	https://pubmed.ncbi.nlm.nih.gov/?term=%28HAVCR2+OR+%22TIM-3%22+OR+TIM3%29+autoimmune	"[{""pmid"": ""42173562""}, {""pmid"": ""42129303""}, {""pmid"": ""42117429""}]"	ok	
HAVCR2	EuropePMC_preprint	"((HAVCR2 OR ""TIM-3"" OR TIM3) autoimmune) AND SRC:PPR"	70	https://europepmc.org/search?query=%28%28HAVCR2+OR+%22TIM-3%22+OR+TIM3%29+autoimmune%29+AND+SRC%3APPR	"[{""doi"": ""10.20944/preprints202408.2202.v1"", ""id"": ""PPR904343"", ""source"": ""PPR"", ""title"": ""The Putative Role Of TIM-3 Variants In Polyendocrine Autoimmunity: Insights From a WES Investigation"", ""year"": ""2024""}, {""doi"": ""10.20944/preprints202507.1077.v1"", ""id"": ""PPR1051006"", ""source"": ""PPR"", ""title"": ""A Case of Pediatric Subcutaneous Panniculitis-like T-cell Lymphoma (SPTCL) presenting as HLH"", ""year"": ""2025""}, {""doi"": ""10.21203/rs.3.rs-8584794/v1"", ""id"": ""PPR1148608"", ""source"": ""PPR"", ""title"": ""Immune landscape of the affected brain in Rasmussen encephalitis"", ""year"": ""2026""}]"	ok	
HAVCR2	ClinicalTrials.gov	TIM-3 autoimmune	5	https://clinicaltrials.gov/search?term=TIM-3+autoimmune	"[{""conditions"": ""Multiple Sclerosis, Relapsing-Remitting"", ""nct_id"": ""NCT02419378"", ""status"": ""COMPLETED"", ""title"": ""Alemtuzumab in Autoimmune Inflammatory Neurodegeneration: Mechanisms of Action and Neuroprotective Potential""}, {""conditions"": ""Rheumatoid Arthritis"", ""nct_id"": ""NCT05422313"", ""status"": ""UNKNOWN"", ""title"": ""Assessment of Galectin-9 in Rheumatoid Arthritis and Its Correlation With Disease Activity""}, {""conditions"": ""Multiple Sclerosis;Control Subjects;Autonomic Dysreflexia"", ""nct_id"": ""NCT07012135"", ""status"": ""RECRUITING"", ""title"": ""Deciphering Preserved Autonomic Function After Multiple Sclerosis""}, {""conditions"": ""Glomerulonephritis, IGA"", ""nct_id"": ""NCT00521508"", ""status"": ""COMPLETED"", ""title"": ""Role of Regulatory T Cells in Pathogenesis of Primary IgA Nephropathy""}, {""conditions"": ""Endometriosis"", ""nct_id"": ""NCT06897436"", ""status"": ""NOT_YET_RECRUITING"", ""title"": ""Characterization of Immune Cells and Their Secreted Cytokines in Endometriosis Patients""}]"	ok	
HAVCR2	Google Patents	TIM-3 HAVCR2 agonist autoimmune disease		https://patents.google.com/?q=TIM-3+HAVCR2+agonist+autoimmune+disease	[]	query_url_only	Google Patents has no unauthenticated count API used in this script
TIGIT	EuropePMC	(TIGIT) autoimmune	5332	https://europepmc.org/search?query=%28TIGIT%29+autoimmune	"[{""doi"": ""10.3389/fimmu.2026.1793865"", ""id"": ""42164507"", ""source"": ""MED"", ""title"": ""Regulatory T cell dysfunction and exhaustion in uveitis: immunometabolic mechanisms, microenvironmental drivers, and emerging therapeutic strategies."", ""year"": ""2026""}, {""doi"": ""10.3390/cells15020195"", ""id"": ""41597269"", ""source"": ""MED"", ""title"": ""Reduced TIGIT Expression on T Cells Links Hyperglycemia to Immune Dysregulation in Type 1 Diabetes."", ""year"": ""2026""}, {""doi"": ""10.1186/s12931-026-03717-z"", ""id"": ""42168982"", ""source"": ""MED"", ""title"": ""Epithelial CD155-TIGIT/CD226 signaling links CD8\u207a T-cell exhaustion to frequent exacerbations in COPD."", ""year"": ""2026""}]"	ok	
TIGIT	PubMed	(TIGIT) autoimmune	178	https://pubmed.ncbi.nlm.nih.gov/?term=%28TIGIT%29+autoimmune	"[{""pmid"": ""42173562""}, {""pmid"": ""42164507""}, {""pmid"": ""42066959""}]"	ok	
TIGIT	EuropePMC_preprint	((TIGIT) autoimmune) AND SRC:PPR	51	https://europepmc.org/search?query=%28%28TIGIT%29+autoimmune%29+AND+SRC%3APPR	"[{""doi"": ""10.64898/2026.04.10.717764"", ""id"": ""PPR1215020"", ""source"": ""PPR"", ""title"": ""Serum albumin-fused interleukin-10 prevents neuroinflammation by promoting immunoregulation in the secondary lymphoid organs and limiting immune cell infiltration in the spinal cord"", ""year"": ""2026""}, {""doi"": ""10.1101/2025.08.29.672936"", ""id"": ""PPR1079435"", ""source"": ""PPR"", ""title"": ""Accumulation of PD-1+ TIGIT+ T cells in the liver after local antigen reactivity and during autoimmune hepatitis"", ""year"": ""2025""}, {""doi"": ""10.1101/2025.08.26.671836"", ""id"": ""PPR1077525"", ""source"": ""PPR"", ""title"": ""Targeting Impaired Type I Interferon\u2013IL-27 Signaling Rescues T Regulatory Cell Suppressive Function in Relapsing-Remitting Multiple Sclerosis"", ""year"": ""2025""}]"	ok	
TIGIT	ClinicalTrials.gov	TIGIT autoimmune	5	https://clinicaltrials.gov/search?term=TIGIT+autoimmune	"[{""conditions"": ""CIDP - Chronic Inflammatory Demyelinating Polyneuropathy"", ""nct_id"": ""NCT07343310"", ""status"": ""COMPLETED"", ""title"": ""A First-in-Patient Clinical Trial of KINE-101 in Patients With Corticosteroid-Refractory CIDP""}, {""conditions"": ""Type 1 Diabetes Mellitus"", ""nct_id"": ""NCT05574335"", ""status"": ""TERMINATED"", ""title"": ""Siplizumab in T1DM""}, {""conditions"": ""Endometriosis"", ""nct_id"": ""NCT06897436"", ""status"": ""NOT_YET_RECRUITING"", ""title"": ""Characterization of Immune Cells and Their Secreted Cytokines in Endometriosis Patients""}, {""conditions"": ""Diabetes Mellitus, Type 1"", ""nct_id"": ""NCT04270942"", ""status"": ""COMPLETED"", ""title"": ""At-Risk for Type 1 Diabetes Extension Study (TN-10 Extension)""}, {""conditions"": ""Pre-Eclampsia"", ""nct_id"": ""NCT05294952"", ""status"": ""UNKNOWN"", ""title"": ""co Ihibtory Receptor in Preeclampsia""}]"	ok	
TIGIT	Google Patents	TIGIT agonist autoimmune disease		https://patents.google.com/?q=TIGIT+agonist+autoimmune+disease	[]	query_url_only	Google Patents has no unauthenticated count API used in this script
BTLA	EuropePMC	(BTLA OR CD272) autoimmune	2105	https://europepmc.org/search?query=%28BTLA+OR+CD272%29+autoimmune	"[{""doi"": ""10.1080/2162402x.2026.2631244"", ""id"": ""41732954"", ""source"": ""MED"", ""title"": ""A mixed inflammatory peripheral signature defines clinical outcomes in a phase II trial combining pembrolizumab with paclitaxel and carboplatin in melanoma."", ""year"": ""2026""}, {""doi"": ""10.3390/biomedicines13102526"", ""id"": ""41153806"", ""source"": ""MED"", ""title"": ""Intraepithelial Lymphocytes and LAIR1 Expression in Celiac Disease."", ""year"": ""2025""}, {""doi"": ""10.3389/fmed.2026.1773241"", ""id"": ""41846900"", ""source"": ""MED"", ""title"": ""Immune checkpoint imbalance in ANCA-associated vasculitis: insights into disease activity and precision immunotherapy."", ""year"": ""2026""}]"	ok	
BTLA	PubMed	(BTLA OR CD272) autoimmune	117	https://pubmed.ncbi.nlm.nih.gov/?term=%28BTLA+OR+CD272%29+autoimmune	"[{""pmid"": ""41846900""}, {""pmid"": ""41842954""}, {""pmid"": ""41549797""}]"	ok	
BTLA	EuropePMC_preprint	((BTLA OR CD272) autoimmune) AND SRC:PPR	13	https://europepmc.org/search?query=%28%28BTLA+OR+CD272%29+autoimmune%29+AND+SRC%3APPR	"[{""doi"": ""10.21203/rs.3.rs-5401567/v1"", ""id"": ""PPR948947"", ""source"": ""PPR"", ""title"": ""VSIG2 as a novel immunosuppressive ligand interacts with Nectin-2 to regulate T cell responses"", ""year"": ""2024""}, {""doi"": ""10.21203/rs.3.rs-5755719/v1"", ""id"": ""PPR963363"", ""source"": ""PPR"", ""title"": ""Preproinsulin-specific regulatory T cell-derived exosomes loaded with immune checkpoint ligands can suppress autoimmune responses in type 1 diabetes"", ""year"": ""2025""}, {""doi"": ""10.1101/2024.01.10.574913"", ""id"": ""PPR786258"", ""source"": ""PPR"", ""title"": ""Internal regulation between constitutively expressed T cell coinhibitory receptors BTLA and CD5 and tolerance in recent thymic emigrants"", ""year"": ""2024""}]"	ok	
BTLA	ClinicalTrials.gov	BTLA autoimmune	2	https://clinicaltrials.gov/search?term=BTLA+autoimmune	"[{""conditions"": ""Dermatomyositis"", ""nct_id"": ""NCT06808672"", ""status"": ""ACTIVE_NOT_RECRUITING"", ""title"": ""Biomarkers of Cancer-Associated Myositis""}, {""conditions"": ""Systemic Lupus Erythematosus"", ""nct_id"": ""NCT05123586"", ""status"": ""TERMINATED"", ""title"": ""A IMMA Master Protocol: A Study of LY3361237 in Participants With at Least Moderately Active Systemic Lupus Erythematosus""}]"	ok	
BTLA	Google Patents	BTLA agonist autoimmune disease		https://patents.google.com/?q=BTLA+agonist+autoimmune+disease	[]	query_url_only	Google Patents has no unauthenticated count API used in this script
CD300A	EuropePMC	(CD300A OR CMRF35H) autoimmune	324	https://europepmc.org/search?query=%28CD300A+OR+CMRF35H%29+autoimmune	"[{""doi"": ""10.1016/j.imlet.2026.107146"", ""id"": ""41621689"", ""source"": ""MED"", ""title"": ""Efferocytosis-linked genetic signature predicts rheumatoid arthritis risk and highlights CD300A as a novel target."", ""year"": ""2026""}, {""doi"": ""10.3390/cancers17111786"", ""id"": ""40507267"", ""source"": ""MED"", ""title"": ""CD300a: An Innate Immune Checkpoint Shaping Tumor Immunity and Therapeutic Opportunity."", ""year"": ""2025""}, {""doi"": ""10.1128/msphere.00089-25"", ""id"": ""41020590"", ""source"": ""MED"", ""title"": ""Viral apoptotic mimicry and the role of phosphatidylserine receptors."", ""year"": ""2025""}]"	ok	
CD300A	PubMed	(CD300A OR CMRF35H) autoimmune	6	https://pubmed.ncbi.nlm.nih.gov/?term=%28CD300A+OR+CMRF35H%29+autoimmune	"[{""pmid"": ""41621689""}, {""pmid"": ""38409642""}, {""pmid"": ""37033950""}]"	ok	
