query	status	mode	hit_count	top_titles	url
"""HEXA"" multiple sclerosis remyelination"	200	live	57	Spinal Cord Injury Remyelination: Pathways to Therapies. || Systematic Analysis of Alternative Splicing in Transcriptomes of Multiple Sclerosis Patient Brain Samples. || Regional Molecular Diversity in Chronic Spinal Cord Injury.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22HEXA%22+multiple+sclerosis+remyelination&format=json&pageSize=3
"""HEXA"" inhibitor autoimmune"	200	live	635	Gut microbiota-derived hexa-acylated lipopolysaccharides enhance cancer immunotherapy responses. || Porphyria Cutanea Tarda: A Multifactorial Disease. || PI3K/AKT signaling in parasites and parasite diseases: Role and therapeutic potential.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22HEXA%22+inhibitor+autoimmune&format=json&pageSize=3
"""CTSS"" autoimmune therapeutic target"	200	live	731	Protective Gene Signatures in the Transition from SIRS to Sepsis: Insights from Integrative Transcriptomics and Validation Across Clinical Cohorts. || Cathepsins effect on diffuse large B cell lymphoma risk: A Mendelian randomization study. || Cathepsin S: molecular mechanisms in inflammatory and immunological processes.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22CTSS%22+autoimmune+therapeutic+target&format=json&pageSize=3
"""CTSS"" multiple sclerosis remyelination"	200	live	67	Proteomic analysis of cerebrospinal fluid from females with multiple sclerosis highlights elevated microglial function and impaired neurogenesis. || Cystatin F-a key player in central nervous system disease. || Advances in the multifunctional roles of CX3CL1 in the central nervous system.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22CTSS%22+multiple+sclerosis+remyelination&format=json&pageSize=3
"""CTSS"" inhibitor autoimmune"	200	live	818	Evaluation of the pharmacological cathepsin S inhibitor LY3000328 on autoimmune diabetes in mice. || Cathepsins effect on diffuse large B cell lymphoma risk: A Mendelian randomization study. || Cathepsin S: molecular mechanisms in inflammatory and immunological processes.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22CTSS%22+inhibitor+autoimmune&format=json&pageSize=3
"""CTSD"" autoimmune therapeutic target"	200	live	486	Lysosomal dysfunction in diabetes and diabetic complications. || Novel treatment strategies for cardiovascular and pulmonary diseases: Insights from cathepsin-related Mendelian randomization and Bayesian colocalization. || Revealing potential drug targets in liver dysfunction through proteome-wide Mendelian randomization.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22CTSD%22+autoimmune+therapeutic+target&format=json&pageSize=3
"""CTSD"" multiple sclerosis remyelination"	200	live	90	A comparative transcriptomic analysis of mouse demyelination models and multiple sclerosis lesions. || Mechanism of action and clinical application of autophagy in multiple sclerosis (Review). || Microglia in Brain Aging and Age-Related Diseases: Friends or Foes?	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22CTSD%22+multiple+sclerosis+remyelination&format=json&pageSize=3
"""CTSD"" inhibitor autoimmune"	200	live	482	Lysosomal dysfunction in diabetes and diabetic complications. || Revealing potential drug targets in liver dysfunction through proteome-wide Mendelian randomization. || Disruption of FGL2 induces TFEB-dependent lysosomal degradation of PD-L1 and enhances the efficacy of anti-PD1 therapy in hepatocellular carcinoma.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22CTSD%22+inhibitor+autoimmune&format=json&pageSize=3
"""PSAP"" autoimmune therapeutic target"	200	live	246	Machine learning and multi-omics integration identifies immunological predictors and mechanistic insights in autoimmune encephalitis. || Decoding the Sphingolipid Landscape of Clear Cell Renal Cell Carcinoma: A Single-Cell-Guided Prognostic Model Built With 101 Machine Learning. || Combined proteomics and metabolomics analyses revealed molecular signatures associated with proliferative diabetic retinopathy.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22PSAP%22+autoimmune+therapeutic+target&format=json&pageSize=3
"""PSAP"" multiple sclerosis remyelination"	200	live	52	Dynamic Transcriptomic and Cellular Remodeling Underlie Cuprizone-Induced Demyelination and Endogenous Repair in the CNS. || Potential molecular pathways and therapeutic implications of rapid-acting antidepressants on myelin biology: a scoping review. || Exploring proteomic immunoprofiles: common neurological and immunological pathways in multiple sclerosis and type 1 diabetes mellitus.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22PSAP%22+multiple+sclerosis+remyelination&format=json&pageSize=3
"""PSAP"" inhibitor autoimmune"	200	live	240	Decoding the Sphingolipid Landscape of Clear Cell Renal Cell Carcinoma: A Single-Cell-Guided Prognostic Model Built With 101 Machine Learning. || Combined proteomics and metabolomics analyses revealed molecular signatures associated with proliferative diabetic retinopathy. || Potential molecular pathways and therapeutic implications of rapid-acting antidepressants on myelin biology: a scoping review.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22PSAP%22+inhibitor+autoimmune&format=json&pageSize=3
"""LIPA"" autoimmune therapeutic target"	200	live	360	EBV infection outcomes determined by monocyte and TREG-driven immune dynamics in an ex vivo pbmc model. || Investigating the role of lncRNA SNHG14 in early diagnosis and prognosis of acute pancreatitis: a bioinformatics exploration. || Overview of pediatric and adult lysosomal acid lipase deficiency: expert recommendations from a Gulf cooperation council working group.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22LIPA%22+autoimmune+therapeutic+target&format=json&pageSize=3
"""LIPA"" multiple sclerosis remyelination"	200	live	24	Lipid-associated macrophages and metabolic inflammatory diseases. || Fundamental Neurochemistry Review: Lipids across microglial states. || MiR-223 enhances lipophagy by suppressing CTSB in microglia following lysolecithin-induced demyelination in mice.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22LIPA%22+multiple+sclerosis+remyelination&format=json&pageSize=3
"""LIPA"" inhibitor autoimmune"	200	live	393	Investigating the role of lncRNA SNHG14 in early diagnosis and prognosis of acute pancreatitis: a bioinformatics exploration. || Overview of pediatric and adult lysosomal acid lipase deficiency: expert recommendations from a Gulf cooperation council working group. || Lysosomal Acid Lipase Deficiency: A Report of Two Cases and a Review of the Literature.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22LIPA%22+inhibitor+autoimmune&format=json&pageSize=3
"""GALC"" autoimmune therapeutic target"	200	live	601	Regulatory B cell CCL3 competency promotes disease resolution and oligodendrogenesis in experimental autoimmune encephalomyelitis. || Guillain-Barré Syndrome: Progress in Diagnosis, Biomarkers, Neuroimaging and Management. || How do different cell populations orchestrate myelin regeneration?	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22GALC%22+autoimmune+therapeutic+target&format=json&pageSize=3
"""GALC"" multiple sclerosis remyelination"	200	live	473	Teriflunomide Attenuates Demyelination and Enhances Remyelination in Organotypic Brain Slice Cultures Through Modulation of Glial Cell Dynamics. || Ageing and remyelination failure in people with multiple sclerosis. || A comparative transcriptomic analysis of mouse demyelination models and multiple sclerosis lesions.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22GALC%22+multiple+sclerosis+remyelination&format=json&pageSize=3
"""GALC"" inhibitor autoimmune"	200	live	605	Oligodendrocytes Are Active Participants in the Pathogenesis of Multiple Sclerosis and Its Animal Models || Electroacupuncture Improves Microglial Polarization Induced-Inflammation by Regulating the TGF-β/Smad-3 Signaling Pathway in Ischemic Stroke Mice. || Monogenic Mimics of Neuroinflammatory Phenotypes in Children and Young Adults: An Evolving Landscape.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22GALC%22+inhibitor+autoimmune&format=json&pageSize=3
"""GBA1"" autoimmune therapeutic target"	200	live	219	Case Report: Progressive myoclonus epilepsy as an early manifestation of neuronopathic Gaucher disease. || Secondary Mitochondrial Dysfunction in Gaucher Disease Type I, II and III-Review of the Experimental and Clinical Evidence. || Cucurbitacin E inhibits M1 macrophage polarization and attenuates rheumatoid arthritis: a multi-omics analysis and experimental validation.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22GBA1%22+autoimmune+therapeutic+target&format=json&pageSize=3
"""GBA1"" multiple sclerosis remyelination"	200	live	48	Abnormal Splicing of &lt;i&gt;GALC&lt;/i&gt; Transcripts Underlies Unusual Cases of Krabbe Disease. || Lipid metabolism in microglia: Emerging mechanisms and therapeutic opportunities for neurodegenerative diseases (Review). || The Involvement of Ceramide, Sphingosine-1-Phosphate and Ganglioside GM1 in Regulating Some Nervous System Functions.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22GBA1%22+multiple+sclerosis+remyelination&format=json&pageSize=3
"""GBA1"" inhibitor autoimmune"	200	live	188	The Role of Glycosphingolipids in Autoimmune Manifestations and Myeloma in Gaucher Disease || Parkinson's-Linked LRRK2 and GBA1 Mutations Modulate the Peripheral Immune Response to Pseudomonas aeruginosa. || Secondary Mitochondrial Dysfunction in Gaucher Disease Type I, II and III-Review of the Experimental and Clinical Evidence.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22GBA1%22+inhibitor+autoimmune&format=json&pageSize=3
"""SMPD1"" autoimmune therapeutic target"	200	live	133	The Acid sphingomyelinase/ceramide System in Idiopathic Inflammatory Myopathies: a Potential Treatment Target. || Proteome-wide Mendelian randomization and colocalization analyses identify potential biomarkers for schizophrenia || Protein Drug Targets for Abdominal Aortic Aneurysm and Proteomic Associations Between Modifiable Risk Factors and Abdominal Aortic Aneurysm.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22SMPD1%22+autoimmune+therapeutic+target&format=json&pageSize=3
"""SMPD1"" multiple sclerosis remyelination"	200	live	21	AXL Promotes Ischemic Myelin Repair Through Alleviating Myelin Debris Deposition and Lipid Droplets Accumulation. || Stearoyl-CoA desaturase-1: a potential therapeutic target for neurological disorders. || The lysosome and proteostatic stress at the intersection of pediatric neurological disorders and adult neurodegenerative diseases.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22SMPD1%22+multiple+sclerosis+remyelination&format=json&pageSize=3
"""SMPD1"" inhibitor autoimmune"	200	live	151	The Acid sphingomyelinase/ceramide System in Idiopathic Inflammatory Myopathies: a Potential Treatment Target. || ASM is a therapeutic target in dermatomyositis by regulating the differentiation of naive CD4 + T cells into Th17 and Treg subsets. || Protein Drug Targets for Abdominal Aortic Aneurysm and Proteomic Associations Between Modifiable Risk Factors and Abdominal Aortic Aneurysm.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22SMPD1%22+inhibitor+autoimmune&format=json&pageSize=3
