n_requested	latent_event_probability	molecular_progression_hr_per_latent_sd	visit_interval_years	attendance_mechanism	analysis_route	n_simulated_cohorts	n_valid_fits	valid_fit_rate	significant_count	significant_probability	significant_probability_ci_low	significant_probability_ci_high	minimum_seed_probability	maximum_seed_probability	positive_call_probability	negative_call_probability	median_score_z_across_seeds	median_one_step_log_hr_across_seeds	median_usable_n_across_seeds	median_analyzed_events_across_seeds	median_latent_events_across_seeds	median_unconfirmed_latent_events_across_seeds	median_detection_delay_across_seeds	achieved_missing_visit_probability
120	0.15	1.0	0.25	joint_score_progression_risk_20pct	full_latent_time_oracle	1200	1171	0.9758333333333333	65	0.05416666666666667	0.04272435599457301	0.06845428620953228	0.0525	0.0575	0.028333333333333332	0.025833333333333333	0.027038354182586266	0.007601677624168407	108.0	16.0	16.0	4.0	0.14638476626898891	0.20044618055555555
120	0.15	1.0	0.25	joint_score_progression_risk_20pct	midpoint_imputed_time	1200	885	0.7375	60	0.05	0.039041012521836546	0.06383088802062488	0.035	0.0675	0.005833333333333334	0.04416666666666667	-0.3718166262847771	-0.12005500893096782	108.0	12.0	16.0	4.0	0.14638476626898891	0.20044618055555555
120	0.15	1.0	0.25	score_dependent_20pct	ascertained_latent_time_oracle	1200	1018	0.8483333333333334	38	0.03166666666666667	0.023157025725483955	0.04316521150574442	0.015	0.0475	0.0075	0.024166666666666666	-0.3450471147589873	-0.10491702901991906	108.0	13.0	16.0	3.0	0.1491164103301601	0.19990364583333334
120	0.15	1.0	0.25	score_dependent_20pct	detected_visit_time	1200	1018	0.8483333333333334	34	0.028333333333333332	0.02034551348630239	0.039331330415610884	0.015	0.0425	0.0075	0.020833333333333332	-0.33537227775732026	-0.10241004387048123	108.0	13.0	16.0	3.0	0.1491164103301601	0.19990364583333334
120	0.15	1.0	0.25	score_dependent_20pct	full_latent_time_oracle	1200	1166	0.9716666666666667	49	0.04083333333333333	0.03102354197066147	0.05357352691618343	0.035	0.05	0.0225	0.018333333333333333	-0.08031735010239968	-0.02125975110025452	108.0	16.0	16.0	3.0	0.1491164103301601	0.19990364583333334
120	0.15	1.0	0.25	score_dependent_20pct	midpoint_imputed_time	1200	1018	0.8483333333333334	38	0.03166666666666667	0.023157025725483955	0.04316521150574442	0.015	0.0525	0.008333333333333333	0.023333333333333334	-0.338688033148832	-0.10387034172511407	108.0	13.0	16.0	3.0	0.1491164103301601	0.19990364583333334
120	0.15	1.0	0.5	complete	ascertained_latent_time_oracle	1200	990	0.825	49	0.04083333333333333	0.03102354197066147	0.05357352691618343	0.035	0.05	0.019166666666666665	0.021666666666666667	-0.0236000975412711	-0.006866658719403966	108.0	12.5	16.0	3.0	0.25356122161993955	0.0
120	0.15	1.0	0.5	complete	detected_visit_time	1200	990	0.825	44	0.03666666666666667	0.027426059843153	0.048864267382048014	0.0325	0.045	0.016666666666666666	0.02	-0.0035405725680387585	-0.0010228615629970096	108.0	12.5	16.0	3.0	0.25356122161993955	0.0
120	0.15	1.0	0.5	complete	full_latent_time_oracle	1200	1173	0.9775	61	0.050833333333333335	0.0397759124281339	0.0647573364466563	0.045	0.06	0.025	0.025833333333333333	-0.015032146333640797	-0.004228349221506414	108.0	16.0	16.0	3.0	0.25356122161993955	0.0
120	0.15	1.0	0.5	complete	midpoint_imputed_time	1200	990	0.825	44	0.03666666666666667	0.027426059843153	0.048864267382048014	0.0325	0.045	0.016666666666666666	0.02	-0.0035405725680387585	-0.0010228615629970096	108.0	12.5	16.0	3.0	0.25356122161993955	0.0
120	0.15	1.0	0.5	independent_20pct	ascertained_latent_time_oracle	1200	768	0.64	31	0.025833333333333333	0.01825827524499464	0.03643452365993231	0.0225	0.0275	0.01	0.015833333333333335	0.003017178548456328	0.0009115747136245558	108.0	10.0	16.0	5.0	0.28976110562036156	0.19946006944444447
120	0.15	1.0	0.5	independent_20pct	detected_visit_time	1200	768	0.64	30	0.025	0.01756709059517496	0.03546435997742321	0.0225	0.0275	0.009166666666666667	0.015833333333333335	0.0008156546892310731	0.0005376431719188233	108.0	10.0	16.0	5.0	0.28976110562036156	0.19946006944444447
120	0.15	1.0	0.5	independent_20pct	full_latent_time_oracle	1200	1171	0.9758333333333333	66	0.055	0.043463582072856735	0.06937640846357733	0.0475	0.06	0.023333333333333334	0.03166666666666667	0.03101045226217365	0.00897219983887494	108.0	16.0	16.0	5.0	0.28976110562036156	0.19946006944444447
120	0.15	1.0	0.5	independent_20pct	midpoint_imputed_time	1200	768	0.64	31	0.025833333333333333	0.01825827524499464	0.03643452365993231	0.025	0.0275	0.01	0.015833333333333335	-0.004450499096537633	-0.001432088911216662	108.0	10.0	16.0	5.0	0.28976110562036156	0.19946006944444447
120	0.15	1.0	0.5	joint_score_progression_risk_20pct	ascertained_latent_time_oracle	1200	506	0.4216666666666667	35	0.029166666666666667	0.02104550122322981	0.04029269101101224	0.025	0.0325	0.004166666666666667	0.025	-0.536551143098455	-0.18122638347787784	108.0	9.0	16.0	7.0	0.28236341783885854	0.1993767361111111
120	0.15	1.0	0.5	joint_score_progression_risk_20pct	detected_visit_time	1200	506	0.4216666666666667	33	0.0275	0.01964758615413982	0.038367909415444684	0.025	0.03	0.004166666666666667	0.023333333333333334	-0.48175888462928174	-0.16461498851374504	108.0	9.0	16.0	7.0	0.28236341783885854	0.1993767361111111
120	0.15	1.0	0.5	joint_score_progression_risk_20pct	full_latent_time_oracle	1200	1163	0.9691666666666666	58	0.04833333333333333	0.037574011009416555	0.06197519286838732	0.0425	0.0525	0.024166666666666666	0.024166666666666666	-0.04436867275658858	-0.010851507466473842	108.0	16.0	16.0	7.0	0.28236341783885854	0.1993767361111111
120	0.15	1.0	0.5	joint_score_progression_risk_20pct	midpoint_imputed_time	1200	506	0.4216666666666667	36	0.03	0.02174746653277537	0.04125207403379545	0.0275	0.0325	0.004166666666666667	0.025833333333333333	-0.5067283221486073	-0.1692646990425492	108.0	9.0	16.0	7.0	0.28236341783885854	0.1993767361111111
120	0.15	1.0	0.5	score_dependent_20pct	ascertained_latent_time_oracle	1200	663	0.5525	42	0.035	0.025996787429477218	0.04697084313106626	0.03	0.04	0.0033333333333333335	0.03166666666666667	-0.46146952807909813	-0.1488878942466936	108.0	10.0	16.0	6.0	0.2901164928518345	0.20029513888888892
120	0.15	1.0	0.5	score_dependent_20pct	detected_visit_time	1200	663	0.5525	41	0.034166666666666665	0.02528441842514967	0.04602186380306503	0.0275	0.04	0.0033333333333333335	0.030833333333333334	-0.46651032267563725	-0.14870471595678364	108.0	10.0	16.0	6.0	0.2901164928518345	0.20029513888888892
120	0.15	1.0	0.5	score_dependent_20pct	full_latent_time_oracle	1200	1161	0.9675	34	0.028333333333333332	0.02034551348630239	0.039331330415610884	0.015	0.04	0.010833333333333334	0.0175	0.005129920935275586	0.0014409393876755653	108.0	16.0	16.0	6.0	0.2901164928518345	0.20029513888888892
120	0.15	1.0	0.5	score_dependent_20pct	midpoint_imputed_time	1200	663	0.5525	40	0.03333333333333333	0.02457363045521218	0.045071303440673734	0.0275	0.04	0.0033333333333333335	0.03	-0.4871521831556262	-0.15851100738177637	108.0	10.0	16.0	6.0	0.2901164928518345	0.20029513888888892
120	0.15	1.0	1.0	complete	ascertained_latent_time_oracle	1200	437	0.3641666666666667	24	0.02	0.013476268672128098	0.029587091906497436	0.0175	0.0225	0.011666666666666667	0.008333333333333333	-0.1271995426664489	-0.04049914071879259	108.0	9.0	16.0	7.0	0.5143456180211256	0.0
120	0.15	1.0	1.0	complete	detected_visit_time	1200	437	0.3641666666666667	18	0.015	0.009509012635622722	0.02358625794903015	0.0125	0.0175	0.009166666666666667	0.005833333333333334	-0.11228125337293343	-0.03354714057875014	108.0	9.0	16.0	7.0	0.5143456180211256	0.0
120	0.15	1.0	1.0	complete	full_latent_time_oracle	1200	1164	0.97	52	0.043333333333333335	0.03319710174469772	0.0563840121391335	0.0325	0.055	0.019166666666666665	0.024166666666666666	0.0361678924732462	0.008825811773393068	108.0	16.0	16.0	7.0	0.5143456180211256	0.0
120	0.15	1.0	1.0	complete	midpoint_imputed_time	1200	437	0.3641666666666667	18	0.015	0.009509012635622722	0.02358625794903015	0.0125	0.0175	0.009166666666666667	0.005833333333333334	-0.11228125337293343	-0.03354714057875014	108.0	9.0	16.0	7.0	0.5143456180211256	0.0
120	0.15	1.0	1.0	independent_20pct	ascertained_latent_time_oracle	1200	57	0.0475	1	0.0008333333333333334	0.00014711894493048142	0.0047052299901332185	0.0	0.0025	0.0008333333333333334	0.0	-0.025726083585977028	-0.009932010208507256	108.0	5.0	16.0	10.0	0.5282070024137171	0.20038541666666665
120	0.15	1.0	1.0	independent_20pct	detected_visit_time	1200	57	0.0475	1	0.0008333333333333334	0.00014711894493048142	0.0047052299901332185	0.0	0.0025	0.0008333333333333334	0.0	-0.03343780521039664	-0.011436381231701865	108.0	5.0	16.0	10.0	0.5282070024137171	0.20038541666666665
120	0.15	1.0	1.0	independent_20pct	full_latent_time_oracle	1200	1175	0.9791666666666666	61	0.050833333333333335	0.0397759124281339	0.0647573364466563	0.0425	0.06	0.0225	0.028333333333333332	0.041567952550323695	0.011664138971375207	108.0	16.0	16.0	10.0	0.5282070024137171	0.20038541666666665
120	0.15	1.0	1.0	independent_20pct	midpoint_imputed_time	1200	57	0.0475	1	0.0008333333333333334	0.00014711894493048142	0.0047052299901332185	0.0	0.0025	0.0008333333333333334	0.0	-0.03343780521039665	-0.011436381231701874	108.0	5.0	16.0	10.0	0.5282070024137171	0.20038541666666665
120	0.15	1.0	1.0	joint_score_progression_risk_20pct	ascertained_latent_time_oracle	1200	36	0.03	2	0.0016666666666666668	0.00045717916470629574	0.006056518102686179	0.0	0.0025	0.0	0.0016666666666666668	-0.17378035824100233	-0.06365193363395805	108.0	5.0	16.0	11.0	0.5025283620670159	0.199125
120	0.15	1.0	1.0	joint_score_progression_risk_20pct	detected_visit_time	1200	36	0.03	0	0.0	2.168404344971009e-19	0.003191000602734924	0.0	0.0	0.0	0.0	-0.15455316743152298	-0.0565077910109153	108.0	5.0	16.0	11.0	0.5025283620670159	0.199125
120	0.15	1.0	1.0	joint_score_progression_risk_20pct	full_latent_time_oracle	1200	1172	0.9766666666666667	59	0.049166666666666664	0.03830703804746354	0.06290351416266911	0.04	0.055	0.021666666666666667	0.0275	0.02898308442134677	0.007944426150426906	108.0	16.0	16.0	11.0	0.5025283620670159	0.199125
120	0.15	1.0	1.0	joint_score_progression_risk_20pct	midpoint_imputed_time	1200	36	0.03	0	0.0	2.168404344971009e-19	0.003191000602734924	0.0	0.0	0.0	0.0	-0.15455316743152298	-0.056507791010915305	108.0	5.0	16.0	11.0	0.5025283620670159	0.199125
120	0.15	1.0	1.0	score_dependent_20pct	ascertained_latent_time_oracle	1200	60	0.05	5	0.004166666666666667	0.0017810244240327924	0.009716717840346006	0.0	0.0125	0.0	0.004166666666666667	-0.5173440386096761	-0.18972492692815324	108.0	5.0	16.0	11.0	0.5076373450067286	0.2001770833333333
120	0.15	1.0	1.0	score_dependent_20pct	detected_visit_time	1200	60	0.05	4	0.0033333333333333335	0.0012970085081069312	0.008539385423943092	0.0	0.01	0.0	0.0033333333333333335	-0.5418380566339399	-0.19994449165304623	108.0	5.0	16.0	11.0	0.5076373450067286	0.2001770833333333
