accession	title	url	heuristic_status	flag_ms	flag_dmf_or_treatment	flag_transcriptomic	flag_response_label	flag_paired_time	flag_blood_pbmc
S-EPMC5858626	No evidence of disease activity (NEDA) analysis by epochs in patients with relapsing multiple sclerosis treated with ocrelizumab vs interferon beta-1a.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC5858626	partial_hit_metadata_only	true	true	false	true	true	false
S-EPMC8978461	Ocrelizumab treatment for relapsing-remitting multiple sclerosis after a suboptimal response to previous disease-modifying therapy: A nonrandomized controlled trial.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC8978461	partial_hit_metadata_only	true	true	false	true	true	false
S-EPMC6099351	'No evidence of disease activity' - is it an appropriate surrogate in multiple sclerosis?	https://www.ebi.ac.uk/biostudies/studies/S-EPMC6099351	partial_hit_metadata_only	true	true	false	true	true	false
S-EPMC7973271	Increased Within-Network Functional Connectivity May Predict NEDA Status in Fingolimod-Treated MS Patients.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC7973271	partial_hit_metadata_only	true	true	false	true	true	false
E-GEOD-23832	Expression profiles of PBMC from multiple sclerosis patients	https://www.ebi.ac.uk/biostudies/studies/E-GEOD-23832	not_exact_trigger	true	false	false	false	false	true
S-EPMC9247150	Single-Nucleus RNA-seq of Normal-Appearing Brain Regions in Relapsing-Remitting vs. Secondary Progressive Multiple Sclerosis: Implications for the Efficacy of Fingolimod.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC9247150	partial_hit_metadata_only	true	true	true	false	false	false
S-EPMC8279996	Natalizumab in Early Relapsing-Remitting Multiple Sclerosis: A 4-Year, Open-Label Study.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC8279996	not_exact_trigger	true	true	false	false	true	false
S-EPMC6555913	Outcomes of natalizumab treatment within 3 years of relapsing-remitting multiple sclerosis diagnosis: a prespecified 2-year interim analysis of STRIVE.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC6555913	not_exact_trigger	true	true	false	false	true	false
S-EPMC9299209	Efficacy and safety of ocrelizumab in patients with relapsing-remitting multiple sclerosis with suboptimal response to prior disease-modifying therapies: A primary analysis from the phase 3b CASTING single-arm, open-label trial.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC9299209	partial_hit_metadata_only	true	true	false	true	true	false
S-EPMC8716373	Soluble Receptor Isoform of IFN-Beta (sIFNAR2) in Multiple Sclerosis Patients and Their Association With the Clinical Response to IFN-Beta Treatment.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC8716373	partial_hit_metadata_only	true	true	false	true	true	false
S-EPMC5290459	Fingolimod alters the transcriptome profile of circulating CD4+ cells in multiple sclerosis.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC5290459	partial_hit_metadata_only	true	true	true	false	false	false
S-EPMC6068231	Immunophenotype and Transcriptome Profile of Patients With Multiple Sclerosis Treated With Fingolimod: Setting Up a Model for Prediction of Response in a 2-Year Translational Study.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC6068231	candidate_metadata_review_needed	true	true	true	true	true	false
S-EPMC5843701	Assessing 'No Evidence of Disease Activity' Status in Patients with Relapsing-Remitting Multiple Sclerosis Receiving Fingolimod in Routine Clinical Practice: A Retrospective Analysis of the Multiple Sclerosis Clinical and Magnetic Resonance Imaging Outcomes in the USA (MS-MRIUS) Study.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC5843701	partial_hit_metadata_only	true	true	false	true	false	false
S-EPMC6489963	Predicting therapeutic response to fingolimod treatment in multiple sclerosis patients.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC6489963	partial_hit_metadata_only	true	true	false	true	true	false
S-EPMC5971396	Relapse Rate and MRI Activity in Young Adult Patients With Multiple Sclerosis: A Post Hoc Analysis of Phase 3 Fingolimod Trials.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC5971396	partial_hit_metadata_only	true	true	false	true	false	false
S-EPMC10855583	Response to Fingolimod in Multiple Sclerosis Patients Is Associated with a Differential Transcriptomic Regulation.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC10855583	candidate_metadata_review_needed	true	true	true	true	true	false
S-EPMC4245493	No evidence of disease activity: indirect comparisons of oral therapies for the treatment of relapsing-remitting multiple sclerosis.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC4245493	not_exact_trigger	true	true	false	false	true	false
S-EPMC6492868	Baseline Differences in Minor Lymphocyte Subpopulations may Predict Response to Fingolimod in Relapsing-Remitting Multiple Sclerosis Patients.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC6492868	candidate_metadata_review_needed	true	true	false	true	true	true
S-EPMC8889521	Immune response to the third COVID-19 vaccine dose is related to lymphocyte count in multiple sclerosis patients treated with fingolimod.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC8889521	candidate_metadata_review_needed	true	true	false	true	true	true
S-EPMC4281069	Interferon beta and vitamin D synergize to induce immunoregulatory receptors on peripheral blood monocytes of multiple sclerosis patients.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC4281069	candidate_metadata_review_needed	true	true	false	true	false	true
S-EPMC7337239	Identifying responders and nonresponders to interferon therapy in multiple sclerosis.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC7337239	partial_hit_metadata_only	true	true	false	true	true	false
S-EPMC4099420	Gene expression profiling of the response to interferon beta in Epstein-Barr-transformed and primary B cells of patients with multiple sclerosis.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC4099420	candidate_metadata_review_needed	true	true	true	true	false	true
S-EPMC3639207	Candidate gene study of TRAIL and TRAIL receptors: association with response to interferon beta therapy in multiple sclerosis patients.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC3639207	partial_hit_metadata_only	true	true	false	true	false	false
S-EPMC10266220	Interferon beta treatment is a potent and targeted epigenetic modifier in multiple sclerosis.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC10266220	not_exact_trigger	true	true	false	false	true	false
S-EPMC4431469	Profile of PEGylated interferon beta in the treatment of relapsing-remitting multiple sclerosis.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC4431469	not_exact_trigger	true	true	false	false	true	false
S-EPMC6694336	Assessing the Metabolomic Profile of Multiple Sclerosis Patients Treated with Interferon Beta 1a by 1H-NMR Spectroscopy.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC6694336	not_exact_trigger	true	true	false	false	true	false
S-EPMC4290836	Interleukin 17F level and interferon β response in patients with multiple sclerosis.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC4290836	partial_hit_metadata_only	true	true	false	true	true	false
S-EPMC4408432	NLRP3 inflammasome is associated with the response to IFN-β in patients with multiple sclerosis.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC4408432	partial_hit_metadata_only	true	true	false	true	false	false
S-EPMC8400811	Regulation of CTLA-4 and PD-L1 Expression in Relapsing-Remitting Multiple Sclerosis Patients after Treatment with Fingolimod, IFNβ-1α, Glatiramer Acetate, and Dimethyl Fumarate Drugs.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC8400811	not_exact_trigger	true	true	false	false	true	false
E-GEOD-77598	Expression of MERTK based on Multiple Sclerosis (MS) risk haplotype	https://www.ebi.ac.uk/biostudies/studies/E-GEOD-77598	not_exact_trigger	true	false	true	false	false	false
E-GEOD-25124	Systems analysis of Chlamydomonas Cu nutrition reveals connections between Cu and multiple O2-dependent metabolic steps	https://www.ebi.ac.uk/biostudies/studies/E-GEOD-25124	not_exact_trigger	false	false	true	false	false	false
S-EPMC3256380	Transcriptome analysis of Arabidopsis thaliana plants in response to kin and stranger recognition.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC3256380	not_exact_trigger	false	false	true	true	false	false
S-EPMC11750576	Whole blood transcriptome profile identifies motor neurone disease RNA biomarker signatures.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC11750576	not_exact_trigger	false	false	true	false	false	true
S-EPMC6156738	Whole transcriptome sequence data of 5-FU sensitive and 5-FU resistant tumors generated in a mouse model of de novo carcinogenesis.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC6156738	not_exact_trigger	false	false	true	false	false	false
S-EPMC8280114	Integrated whole transcriptome and small RNA analysis revealed multiple regulatory networks in colorectal cancer.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC8280114	not_exact_trigger	false	false	true	false	false	false
S-EPMC10567548	High-plex protein and whole transcriptome co-mapping at cellular resolution with spatial CITE-seq.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC10567548	not_exact_trigger	false	false	true	false	false	false
