gene	contrast	n_true	n_false	mean_true	mean_false	delta_true_minus_false	p	fdr
LILRB4	good_vs_other	19	27	-0.024477780715924716	-0.032332918147389034	0.007855137431464317	0.9188071850187145	0.9516217273408114
LILRB4	modgood_vs_none	32	14	-0.0418145819869398	0.0	-0.0418145819869398	0.39703183934278957	0.7368367649193285
LYN	good_vs_other	19	27	-0.4137071046411811	-0.11971022411796817	-0.29399688052321293	0.15580217608063301	0.5315603654515715
LYN	modgood_vs_none	32	14	-0.23051284999821353	-0.26544284567319626	0.03492999567498273	0.8444343868961198	0.9286788140173041
MERTK	good_vs_other	19	27	-0.3674017778588537	-0.05094414723163843	-0.31645763062721527	0.1381656798265814	0.5008505893713576
MERTK	modgood_vs_none	32	14	-0.20133408457851454	-0.1366739320042852	-0.06466015257422933	0.7308788553146236	0.9066456878639199
NCF1	good_vs_other	19	27	-1.4067336670908817	-0.14320841327558168	-1.2635252538153	0.01200317555315278	0.17404604552071531
NCF1	modgood_vs_none	32	14	-0.9138157412241049	-0.09660450814257862	-0.8172112330815263	0.08464674148396736	0.4463191823700098
NCF2	good_vs_other	19	27	-0.43125048804894	-0.07972892275030315	-0.3515215652986369	0.04988520109058853	0.4133345233220192
NCF2	modgood_vs_none	32	14	-0.266334918962177	-0.13026591288559874	-0.13606900607657824	0.41767045993937896	0.7368367649193285
PIK3CD	good_vs_other	19	27	-0.362733047567109	-0.42834105290229246	0.06560800533518346	0.8180640284448533	0.9286788140173041
PIK3CD	modgood_vs_none	32	14	-0.37890408088596617	-0.4523004102704323	0.07339632938446611	0.7710282259791574	0.9093844190964416
PIK3CG	good_vs_other	19	27	-0.09994129126827266	0.04638003476770926	-0.1463213260359819	0.39972981234679217	0.7368367649193285
PIK3CG	modgood_vs_none	32	14	-0.093797985229469	0.1682079951409984	-0.2620059803704674	0.07949876272763871	0.4463191823700098
PROS1	good_vs_other	19	27	-0.10569599450571214	-0.01195890869220607	-0.09373708581350607	0.5255504833866915	0.8393448445542239
PROS1	modgood_vs_none	32	14	-0.06646334204432153	-0.014591963205700395	-0.051871378838621134	0.7538253309502163	0.9093844190964416
PTPN11	good_vs_other	19	27	0.08131856778669763	0.03549301353992359	0.04582555424677404	0.6421265533726996	0.8706817677397729
PTPN11	modgood_vs_none	32	14	0.026722421141894298	0.11773190549889818	-0.09100948435700389	0.4634379831776095	0.7905706771853339
PTPN6	good_vs_other	19	27	-1.0208432824235147	-0.3084579991912808	-0.7123852832322339	0.11404454570214213	0.47305595879621687
PTPN6	modgood_vs_none	32	14	-0.7446920586968484	-0.27816017613658606	-0.46653188256026235	0.335044361660854	0.7368367649193285
SH2D1B	good_vs_other	19	27	0.18898224821245785	-0.11717215620098843	0.30615440441344627	0.3853236210585851	0.7368367649193285
SH2D1B	modgood_vs_none	32	14	0.0573653631448449	-0.10061979443035897	0.15798515757520387	0.5835008615274915	0.8393448445542239
SIGLEC10	good_vs_other	19	27	-0.3330482639806133	-0.13234237083752898	-0.20070589314308435	0.5095182079980345	0.8393448445542239
SIGLEC10	modgood_vs_none	32	14	-0.15956336458894857	-0.3425095258141844	0.18294616122523585	0.5519977944878776	0.8393448445542239
SYK	good_vs_other	19	27	-0.33086028423019964	-0.16377319508686983	-0.16708708914332981	0.311644800474444	0.7368367649193285
SYK	modgood_vs_none	32	14	-0.27425785403530933	-0.13799788132781288	-0.13625997270749646	0.39325680295202436	0.7368367649193285
TYRO3	good_vs_other	19	27	0.18804656994519564	0.0016419856949505787	0.18640458425024506	0.5457441268965405	0.8393448445542239
TYRO3	modgood_vs_none	32	14	0.19798068807616206	-0.19415454112248604	0.39213522919864807	0.11418592108874201	0.47305595879621687
