analysis	disease_name	compartment	module	metric	n_case_donors	n_control_donors	mean_case	mean_control	delta_case_minus_control	hedges_g	welch_t	p	fdr
gse315138_celiac_marker	celiac disease	myeloid_apc_like	lysosomal_apc	mean_score	4	2	0.104788070923025	0.008698361134211512	0.09608970978881348	0.46382542999968285	0.8239898271890265	0.46086951755261846	0.9799064622820887
gse315138_celiac_marker	celiac disease	myeloid_apc_like	lysosomal_apc	high_fraction	4	2	0.30610196354770125	0.25584967689315513	0.05025228665454612	0.3330843017831004	0.6046065175656693	0.5799161368871516	0.9799064622820887
gse315138_celiac_marker	celiac disease	myeloid_apc_like	mif_cd74_receptor_state	mean_score	4	2	0.44733726360494747	0.010484545295157514	0.43685271830978994	0.8421851507908054	1.7287645513110956	0.16520411971884547	0.9799064622820887
gse315138_celiac_marker	celiac disease	myeloid_apc_like	mif_cd74_receptor_state	high_fraction	4	2	0.378312567263956	0.1403935002195872	0.23791906704436883	0.9391627793218928	1.8775824792830331	0.13569198777399238	0.9799064622820887
gse315138_celiac_marker	celiac disease	stromal_endothelial_like	hla_ii_apc	mean_score	4	2	0.0762124341577771	-0.013184813968486876	0.08939724812626398	0.3611420327340531	0.7686853483033816	0.4942396657409705	0.9799064622820887
gse315138_celiac_marker	celiac disease	stromal_endothelial_like	hla_ii_apc	high_fraction	4	2	0.11093279985078582	0.0892366472142988	0.021696152636487012	0.23256763747064724	0.45904690880638493	0.670308008111664	0.9799064622820887
gse315138_celiac_marker	celiac disease	stromal_endothelial_like	ifn_apc	mean_score	4	2	-0.0837920588796294	-0.142521559678545	0.05872950079891559	0.1842396700713757	0.21498447799579135	0.8574181544968276	0.9799064622820887
gse315138_celiac_marker	celiac disease	stromal_endothelial_like	ifn_apc	high_fraction	4	2	0.21409276068813282	0.18492397875068695	0.029168781937445876	0.189740040356106	0.22747914327108446	0.8483449526320309	0.9799064622820887
gse315138_celiac_marker	celiac disease	stromal_endothelial_like	lysosomal_apc	mean_score	4	2	-0.03892417513876358	-0.07200792743084632	0.033083752292082734	0.24900347317718563	0.2516581055269979	0.8391733381803557	0.9799064622820887
gse315138_celiac_marker	celiac disease	stromal_endothelial_like	lysosomal_apc	high_fraction	4	2	0.22608200806293716	0.22700389919660846	-0.0009218911336713043	-0.01356083943785824	-0.018460654607947758	0.9870984876933312	0.9870984876933312
gse315138_celiac_marker	celiac disease	stromal_endothelial_like	mif_cd74_receptor_state	mean_score	4	2	-0.00821895818732301	-0.026405549104266852	0.018186590916943843	0.1395797168187167	0.24659185744649748	0.8187555601625922	0.9799064622820887
gse315138_celiac_marker	celiac disease	stromal_endothelial_like	mif_cd74_receptor_state	high_fraction	4	2	0.22903950140755874	0.23401721927092872	-0.004977717863369979	-0.0665165419047762	-0.11268255133714201	0.9169698466900967	0.9870984876933312
gse315138_celiac_marker	celiac disease	t_cell_like	hla_ii_apc	mean_score	4	2	0.016331083834883617	0.03377759337583741	-0.017446509540953795	-0.290900939370091	-0.2924604528275347	0.814523793313159	0.9799064622820887
gse315138_celiac_marker	celiac disease	t_cell_like	hla_ii_apc	high_fraction	4	2	0.054278033783065546	0.06520856949698849	-0.01093053571392294	-0.40902084826434165	-0.4543030469117411	0.714964409186815	0.9799064622820887
gse315138_celiac_marker	celiac disease	t_cell_like	ifn_apc	mean_score	4	2	-0.08575454321040427	0.17224286960411608	-0.2579974128145204	-0.9718657589140526	-0.8716110582977005	0.5422167223414602	0.9799064622820887
gse315138_celiac_marker	celiac disease	t_cell_like	ifn_apc	high_fraction	4	2	0.1630788145745544	0.3807565317745394	-0.217677717199985	-1.0905350106984046	-0.9690101014250487	0.5094712667424843	0.9799064622820887
gse315138_celiac_marker	celiac disease	t_cell_like	lysosomal_apc	mean_score	4	2	-0.01788101098885917	0.07755491168739755	-0.09543592267625672	-0.7364411722406897	-0.7055233904489127	0.6021948937558218	0.9799064622820887
gse315138_celiac_marker	celiac disease	t_cell_like	lysosomal_apc	high_fraction	4	2	0.2457070218315745	0.31938994659856046	-0.07368292476698596	-0.6079992194419426	-0.603081367070168	0.6461581057506806	0.9799064622820887
gse315138_celiac_marker	celiac disease	t_cell_like	mif_cd74_receptor_state	mean_score	4	2	0.016988421666566833	0.16817222946288882	-0.15118380779632198	-0.3043084171481374	-0.43310904383713983	0.7070345161033519	0.9799064622820887
gse315138_celiac_marker	celiac disease	t_cell_like	mif_cd74_receptor_state	high_fraction	4	2	0.2590847686710543	0.32800203840533193	-0.06891726973427764	-0.29883177876190953	-0.425383811804654	0.7118090793233706	0.9799064622820887
