module	pathology	cell_type	n_nuclei	mean_score	present_genes
cholesterol_synthesis	MS_lesion_core	neurons	1367	0.10936356986100951	HMGCR;HMGCS1;SQLE;SREBF2;LDLR;INSIG1
cholesterol_synthesis	MS_lesion_core	oligodendrocytes	19	0.10526315789473684	HMGCR;HMGCS1;SQLE;SREBF2;LDLR;INSIG1
cholesterol_synthesis	MS_lesion_core	opc	132	0.15404040404040403	HMGCR;HMGCS1;SQLE;SREBF2;LDLR;INSIG1
cholesterol_synthesis	MS_lesion_core	vascular_cells	459	0.13398692810457516	HMGCR;HMGCS1;SQLE;SREBF2;LDLR;INSIG1
cholesterol_synthesis	MS_periplaque_white_matter	astrocytes	469	0.17555081734186215	HMGCR;HMGCS1;SQLE;SREBF2;LDLR;INSIG1
cholesterol_synthesis	MS_periplaque_white_matter	immune	772	0.32081174438687393	HMGCR;HMGCS1;SQLE;SREBF2;LDLR;INSIG1
cholesterol_synthesis	MS_periplaque_white_matter	lymphocytes	81	0.21810699588477367	HMGCR;HMGCS1;SQLE;SREBF2;LDLR;INSIG1
cholesterol_synthesis	MS_periplaque_white_matter	neurons	120	0.1111111111111111	HMGCR;HMGCS1;SQLE;SREBF2;LDLR;INSIG1
cholesterol_synthesis	MS_periplaque_white_matter	oligodendrocytes	17563	0.5518988783237488	HMGCR;HMGCS1;SQLE;SREBF2;LDLR;INSIG1
cholesterol_synthesis	MS_periplaque_white_matter	opc	645	0.8025839793281653	HMGCR;HMGCS1;SQLE;SREBF2;LDLR;INSIG1
cholesterol_synthesis	MS_periplaque_white_matter	vascular_cells	120	0.1236111111111111	HMGCR;HMGCS1;SQLE;SREBF2;LDLR;INSIG1
cholesterol_synthesis	chronic_active_MS_lesion_edge	astrocytes	4046	0.12353765035425934	HMGCR;HMGCS1;SQLE;SREBF2;LDLR;INSIG1
cholesterol_synthesis	chronic_active_MS_lesion_edge	immune	2873	0.16626058707506672	HMGCR;HMGCS1;SQLE;SREBF2;LDLR;INSIG1
cholesterol_synthesis	chronic_active_MS_lesion_edge	lymphocytes	219	0.1248097412480974	HMGCR;HMGCS1;SQLE;SREBF2;LDLR;INSIG1
cholesterol_synthesis	chronic_active_MS_lesion_edge	neurons	364	0.06547619047619047	HMGCR;HMGCS1;SQLE;SREBF2;LDLR;INSIG1
cholesterol_synthesis	chronic_active_MS_lesion_edge	oligodendrocytes	12658	0.4391425712329488	HMGCR;HMGCS1;SQLE;SREBF2;LDLR;INSIG1
cholesterol_synthesis	chronic_active_MS_lesion_edge	opc	567	0.6293356848912405	HMGCR;HMGCS1;SQLE;SREBF2;LDLR;INSIG1
cholesterol_synthesis	chronic_active_MS_lesion_edge	vascular_cells	795	0.11593291404612158	HMGCR;HMGCS1;SQLE;SREBF2;LDLR;INSIG1
cholesterol_synthesis	chronic_inactive_MS_lesion_edge	astrocytes	1681	0.1386079714455681	HMGCR;HMGCS1;SQLE;SREBF2;LDLR;INSIG1
cholesterol_synthesis	chronic_inactive_MS_lesion_edge	immune	847	0.1668634395907123	HMGCR;HMGCS1;SQLE;SREBF2;LDLR;INSIG1
cholesterol_synthesis	chronic_inactive_MS_lesion_edge	lymphocytes	66	0.0909090909090909	HMGCR;HMGCS1;SQLE;SREBF2;LDLR;INSIG1
cholesterol_synthesis	chronic_inactive_MS_lesion_edge	neurons	918	0.09713144517066084	HMGCR;HMGCS1;SQLE;SREBF2;LDLR;INSIG1
cholesterol_synthesis	chronic_inactive_MS_lesion_edge	oligodendrocytes	11193	0.34878942196015367	HMGCR;HMGCS1;SQLE;SREBF2;LDLR;INSIG1
cholesterol_synthesis	chronic_inactive_MS_lesion_edge	opc	536	0.4912935323383084	HMGCR;HMGCS1;SQLE;SREBF2;LDLR;INSIG1
cholesterol_synthesis	chronic_inactive_MS_lesion_edge	vascular_cells	269	0.09913258983890953	HMGCR;HMGCS1;SQLE;SREBF2;LDLR;INSIG1
cholesterol_synthesis	control_white_matter	astrocytes	328	0.08079268292682926	HMGCR;HMGCS1;SQLE;SREBF2;LDLR;INSIG1
cholesterol_synthesis	control_white_matter	immune	289	0.06862745098039215	HMGCR;HMGCS1;SQLE;SREBF2;LDLR;INSIG1
cholesterol_synthesis	control_white_matter	lymphocytes	16	0.11458333333333333	HMGCR;HMGCS1;SQLE;SREBF2;LDLR;INSIG1
cholesterol_synthesis	control_white_matter	neurons	34	0.08333333333333334	HMGCR;HMGCS1;SQLE;SREBF2;LDLR;INSIG1
cholesterol_synthesis	control_white_matter	oligodendrocytes	4264	0.2591072545340838	HMGCR;HMGCS1;SQLE;SREBF2;LDLR;INSIG1
cholesterol_synthesis	control_white_matter	opc	295	0.32994350282485874	HMGCR;HMGCS1;SQLE;SREBF2;LDLR;INSIG1
cholesterol_synthesis	control_white_matter	vascular_cells	65	0.12307692307692307	HMGCR;HMGCS1;SQLE;SREBF2;LDLR;INSIG1
lysosomal_cholesterol	MS_lesion_core	astrocytes	1687	0.07824540604623592	LIPA;NPC1;NPC2;CTSD;LAMP1
lysosomal_cholesterol	MS_lesion_core	immune	651	0.1683563748079877	LIPA;NPC1;NPC2;CTSD;LAMP1
lysosomal_cholesterol	MS_lesion_core	lymphocytes	24	0.09999999999999999	LIPA;NPC1;NPC2;CTSD;LAMP1
lysosomal_cholesterol	MS_lesion_core	neurons	1367	0.08822238478419898	LIPA;NPC1;NPC2;CTSD;LAMP1
lysosomal_cholesterol	MS_lesion_core	oligodendrocytes	19	0.3578947368421053	LIPA;NPC1;NPC2;CTSD;LAMP1
lysosomal_cholesterol	MS_lesion_core	opc	132	0.09242424242424245	LIPA;NPC1;NPC2;CTSD;LAMP1
lysosomal_cholesterol	MS_lesion_core	vascular_cells	459	0.13507625272331156	LIPA;NPC1;NPC2;CTSD;LAMP1
lysosomal_cholesterol	MS_periplaque_white_matter	astrocytes	469	0.1710021321961621	LIPA;NPC1;NPC2;CTSD;LAMP1
lysosomal_cholesterol	MS_periplaque_white_matter	immune	772	0.20077720207253885	LIPA;NPC1;NPC2;CTSD;LAMP1
lysosomal_cholesterol	MS_periplaque_white_matter	lymphocytes	81	0.10864197530864196	LIPA;NPC1;NPC2;CTSD;LAMP1
lysosomal_cholesterol	MS_periplaque_white_matter	neurons	120	0.10500000000000001	LIPA;NPC1;NPC2;CTSD;LAMP1
lysosomal_cholesterol	MS_periplaque_white_matter	oligodendrocytes	17563	0.5018390935489382	LIPA;NPC1;NPC2;CTSD;LAMP1
lysosomal_cholesterol	MS_periplaque_white_matter	opc	645	0.10387596899224806	LIPA;NPC1;NPC2;CTSD;LAMP1
lysosomal_cholesterol	MS_periplaque_white_matter	vascular_cells	120	0.12166666666666667	LIPA;NPC1;NPC2;CTSD;LAMP1
lysosomal_cholesterol	chronic_active_MS_lesion_edge	astrocytes	4046	0.1618388531883342	LIPA;NPC1;NPC2;CTSD;LAMP1
lysosomal_cholesterol	chronic_active_MS_lesion_edge	immune	2873	0.24309084580577792	LIPA;NPC1;NPC2;CTSD;LAMP1
lysosomal_cholesterol	chronic_active_MS_lesion_edge	lymphocytes	219	0.07397260273972603	LIPA;NPC1;NPC2;CTSD;LAMP1
lysosomal_cholesterol	chronic_active_MS_lesion_edge	neurons	364	0.05714285714285715	LIPA;NPC1;NPC2;CTSD;LAMP1
lysosomal_cholesterol	chronic_active_MS_lesion_edge	oligodendrocytes	12658	0.3744509401169222	LIPA;NPC1;NPC2;CTSD;LAMP1
lysosomal_cholesterol	chronic_active_MS_lesion_edge	opc	567	0.1111111111111111	LIPA;NPC1;NPC2;CTSD;LAMP1
lysosomal_cholesterol	chronic_active_MS_lesion_edge	vascular_cells	795	0.12251572327044026	LIPA;NPC1;NPC2;CTSD;LAMP1
lysosomal_cholesterol	chronic_inactive_MS_lesion_edge	astrocytes	1681	0.13313503866745985	LIPA;NPC1;NPC2;CTSD;LAMP1
lysosomal_cholesterol	chronic_inactive_MS_lesion_edge	immune	847	0.18890200708382526	LIPA;NPC1;NPC2;CTSD;LAMP1
lysosomal_cholesterol	chronic_inactive_MS_lesion_edge	lymphocytes	66	0.07878787878787881	LIPA;NPC1;NPC2;CTSD;LAMP1
lysosomal_cholesterol	chronic_inactive_MS_lesion_edge	neurons	918	0.09041394335511982	LIPA;NPC1;NPC2;CTSD;LAMP1
lysosomal_cholesterol	chronic_inactive_MS_lesion_edge	oligodendrocytes	11193	0.41540248369516664	LIPA;NPC1;NPC2;CTSD;LAMP1
lysosomal_cholesterol	chronic_inactive_MS_lesion_edge	opc	536	0.1298507462686567	LIPA;NPC1;NPC2;CTSD;LAMP1
lysosomal_cholesterol	chronic_inactive_MS_lesion_edge	vascular_cells	269	0.13977695167286244	LIPA;NPC1;NPC2;CTSD;LAMP1
lysosomal_cholesterol	control_white_matter	astrocytes	328	0.15609756097560976	LIPA;NPC1;NPC2;CTSD;LAMP1
lysosomal_cholesterol	control_white_matter	immune	289	0.2262975778546713	LIPA;NPC1;NPC2;CTSD;LAMP1
lysosomal_cholesterol	control_white_matter	lymphocytes	16	0.22499999999999998	LIPA;NPC1;NPC2;CTSD;LAMP1
lysosomal_cholesterol	control_white_matter	neurons	34	0.12941176470588237	LIPA;NPC1;NPC2;CTSD;LAMP1
lysosomal_cholesterol	control_white_matter	oligodendrocytes	4264	0.6141181988742965	LIPA;NPC1;NPC2;CTSD;LAMP1
lysosomal_cholesterol	control_white_matter	opc	295	0.14576271186440679	LIPA;NPC1;NPC2;CTSD;LAMP1
lysosomal_cholesterol	control_white_matter	vascular_cells	65	0.3076923076923077	LIPA;NPC1;NPC2;CTSD;LAMP1
