geo_accession	module	score	n_genes_present	genes_present	title	state
GSM434729	ifn_apc	9.594062661809525	7	STAT1;IRF1;CXCL10;GBP1;ISG15;CD74;HLA-DRA	DD4 GRA9p	month9_pregnancy_ms
GSM434730	ifn_apc	9.899204564452381	7	STAT1;IRF1;CXCL10;GBP1;ISG15;CD74;HLA-DRA	RP4 GRA9p	month9_pregnancy_ms
GSM434731	ifn_apc	9.318559800428572	7	STAT1;IRF1;CXCL10;GBP1;ISG15;CD74;HLA-DRA	SDC4 GRA9p	month9_pregnancy_ms
GSM434732	ifn_apc	10.014002361190474	7	STAT1;IRF1;CXCL10;GBP1;ISG15;CD74;HLA-DRA	SF4 GRA9p	month9_pregnancy_ms
GSM434733	ifn_apc	10.147904464571429	7	STAT1;IRF1;CXCL10;GBP1;ISG15;CD74;HLA-DRA	VB4 GRA9p	month9_pregnancy_ms
GSM434504	lysosomal_apc	9.924791978714286	7	CTSS;CTSB;CTSD;LAMP1;LAMP2;IFI30;CD74	DD1 preMS	pre_pregnancy_ms
GSM434505	lysosomal_apc	9.638702066833332	7	CTSS;CTSB;CTSD;LAMP1;LAMP2;IFI30;CD74	RP1 preMS	pre_pregnancy_ms
GSM434506	lysosomal_apc	9.356551047130953	7	CTSS;CTSB;CTSD;LAMP1;LAMP2;IFI30;CD74	SDC1 preMS	pre_pregnancy_ms
GSM434507	lysosomal_apc	9.667144786142856	7	CTSS;CTSB;CTSD;LAMP1;LAMP2;IFI30;CD74	SF1 preMS	pre_pregnancy_ms
GSM434509	lysosomal_apc	9.224401696583334	7	CTSS;CTSB;CTSD;LAMP1;LAMP2;IFI30;CD74	VB1 preMS	pre_pregnancy_ms
GSM434513	lysosomal_apc	9.894918424535716	7	CTSS;CTSB;CTSD;LAMP1;LAMP2;IFI30;CD74	01 preMS	pre_pregnancy_ms
GSM434514	lysosomal_apc	9.972637715369048	7	CTSS;CTSB;CTSD;LAMP1;LAMP2;IFI30;CD74	06 preMS	pre_pregnancy_ms
GSM434516	lysosomal_apc	9.355672217035714	7	CTSS;CTSB;CTSD;LAMP1;LAMP2;IFI30;CD74	11 preMS	pre_pregnancy_ms
GSM434725	lysosomal_apc	9.963076533583335	7	CTSS;CTSB;CTSD;LAMP1;LAMP2;IFI30;CD74	04_CP4 GRA9p	month9_pregnancy_ms
GSM434726	lysosomal_apc	10.23109701597619	7	CTSS;CTSB;CTSD;LAMP1;LAMP2;IFI30;CD74	09_MA4 GRA9p	month9_pregnancy_ms
GSM434727	lysosomal_apc	9.988031918559525	7	CTSS;CTSB;CTSD;LAMP1;LAMP2;IFI30;CD74	14_AR4 GRA9p	month9_pregnancy_ms
GSM434728	lysosomal_apc	9.579512725142857	7	CTSS;CTSB;CTSD;LAMP1;LAMP2;IFI30;CD74	19_LL4 GRA9p	month9_pregnancy_ms
GSM434729	lysosomal_apc	9.763032702714284	7	CTSS;CTSB;CTSD;LAMP1;LAMP2;IFI30;CD74	DD4 GRA9p	month9_pregnancy_ms
GSM434730	lysosomal_apc	10.113034948178571	7	CTSS;CTSB;CTSD;LAMP1;LAMP2;IFI30;CD74	RP4 GRA9p	month9_pregnancy_ms
GSM434731	lysosomal_apc	9.899371098476193	7	CTSS;CTSB;CTSD;LAMP1;LAMP2;IFI30;CD74	SDC4 GRA9p	month9_pregnancy_ms
GSM434732	lysosomal_apc	9.51561253675	7	CTSS;CTSB;CTSD;LAMP1;LAMP2;IFI30;CD74	SF4 GRA9p	month9_pregnancy_ms
GSM434733	lysosomal_apc	9.64251477775	7	CTSS;CTSB;CTSD;LAMP1;LAMP2;IFI30;CD74	VB4 GRA9p	month9_pregnancy_ms
GSM434504	hif_nampt_metabolic	8.640109849149999	5	HIF1A;NAMPT;SLC2A1;LDHA;PGK1	DD1 preMS	pre_pregnancy_ms
GSM434505	hif_nampt_metabolic	8.3461674136	5	HIF1A;NAMPT;SLC2A1;LDHA;PGK1	RP1 preMS	pre_pregnancy_ms
GSM434506	hif_nampt_metabolic	7.93273767205	5	HIF1A;NAMPT;SLC2A1;LDHA;PGK1	SDC1 preMS	pre_pregnancy_ms
GSM434507	hif_nampt_metabolic	8.41420978755	5	HIF1A;NAMPT;SLC2A1;LDHA;PGK1	SF1 preMS	pre_pregnancy_ms
GSM434509	hif_nampt_metabolic	8.713280621349998	5	HIF1A;NAMPT;SLC2A1;LDHA;PGK1	VB1 preMS	pre_pregnancy_ms
GSM434513	hif_nampt_metabolic	8.23744419405	5	HIF1A;NAMPT;SLC2A1;LDHA;PGK1	01 preMS	pre_pregnancy_ms
GSM434514	hif_nampt_metabolic	8.7971631963	5	HIF1A;NAMPT;SLC2A1;LDHA;PGK1	06 preMS	pre_pregnancy_ms
GSM434516	hif_nampt_metabolic	8.553228976000002	5	HIF1A;NAMPT;SLC2A1;LDHA;PGK1	11 preMS	pre_pregnancy_ms
GSM434725	hif_nampt_metabolic	8.568821527649998	5	HIF1A;NAMPT;SLC2A1;LDHA;PGK1	04_CP4 GRA9p	month9_pregnancy_ms
GSM434726	hif_nampt_metabolic	9.3199913919	5	HIF1A;NAMPT;SLC2A1;LDHA;PGK1	09_MA4 GRA9p	month9_pregnancy_ms
GSM434727	hif_nampt_metabolic	8.619355799	5	HIF1A;NAMPT;SLC2A1;LDHA;PGK1	14_AR4 GRA9p	month9_pregnancy_ms
GSM434728	hif_nampt_metabolic	8.76155576855	5	HIF1A;NAMPT;SLC2A1;LDHA;PGK1	19_LL4 GRA9p	month9_pregnancy_ms
GSM434729	hif_nampt_metabolic	8.6431080315	5	HIF1A;NAMPT;SLC2A1;LDHA;PGK1	DD4 GRA9p	month9_pregnancy_ms
GSM434730	hif_nampt_metabolic	8.8753949882	5	HIF1A;NAMPT;SLC2A1;LDHA;PGK1	RP4 GRA9p	month9_pregnancy_ms
GSM434731	hif_nampt_metabolic	8.305638141500001	5	HIF1A;NAMPT;SLC2A1;LDHA;PGK1	SDC4 GRA9p	month9_pregnancy_ms
GSM434732	hif_nampt_metabolic	8.7665814619	5	HIF1A;NAMPT;SLC2A1;LDHA;PGK1	SF4 GRA9p	month9_pregnancy_ms
GSM434733	hif_nampt_metabolic	8.74692216485	5	HIF1A;NAMPT;SLC2A1;LDHA;PGK1	VB4 GRA9p	month9_pregnancy_ms
