dataset	contrast	contrast_type	case_group	control_group	submodule	delta_case_minus_control	hedges_g	p	n_case	n_control	statistical_status	note	target_route	therapeutic_multiplier	submodule_class	fdr
GSE156234_Mertk_scRNA_pseudobulk	WT_2h_AC_vs_WT_Ctrl	group	WT_2h_AC	WT_Ctrl	stress_core	-0.07748389550627804			1.0	1.0	descriptive_no_biological_replication	WT efferocytosis 2h; one pseudobulk sample per condition		1.0	guardrail	
GSE156234_Mertk_scRNA_pseudobulk	WT_2h_AC_vs_WT_Ctrl	group	WT_2h_AC	WT_Ctrl	fibrosis_core	-0.005439520924949065			1.0	1.0	descriptive_no_biological_replication	WT efferocytosis 2h; one pseudobulk sample per condition		1.0	guardrail	
GSE156234_Mertk_scRNA_pseudobulk	WT_6h_AC_vs_WT_Ctrl	group	WT_6h_AC	WT_Ctrl	tam_receptor_ligand	-0.11787178948132751			1.0	1.0	descriptive_no_biological_replication	WT efferocytosis 6h; one pseudobulk sample per condition		1.0	resolution	
GSE156234_Mertk_scRNA_pseudobulk	WT_6h_AC_vs_WT_Ctrl	group	WT_6h_AC	WT_Ctrl	fpr2_anxa1_axis	-1.1060020741427157			1.0	1.0	descriptive_no_biological_replication	WT efferocytosis 6h; one pseudobulk sample per condition		1.0	resolution	
GSE156234_Mertk_scRNA_pseudobulk	WT_6h_AC_vs_WT_Ctrl	group	WT_6h_AC	WT_Ctrl	lxr_efflux	-0.3417907185082014			1.0	1.0	descriptive_no_biological_replication	WT efferocytosis 6h; one pseudobulk sample per condition		1.0	resolution	
GSE156234_Mertk_scRNA_pseudobulk	WT_6h_AC_vs_WT_Ctrl	group	WT_6h_AC	WT_Ctrl	trem2_lipid_sensing	-0.8091237123306595			1.0	1.0	descriptive_no_biological_replication	WT efferocytosis 6h; one pseudobulk sample per condition		1.0	resolution	
GSE156234_Mertk_scRNA_pseudobulk	WT_6h_AC_vs_WT_Ctrl	group	WT_6h_AC	WT_Ctrl	scavenger_receptors	-1.0930810351072997			1.0	1.0	descriptive_no_biological_replication	WT efferocytosis 6h; one pseudobulk sample per condition		1.0	resolution	
GSE156234_Mertk_scRNA_pseudobulk	WT_6h_AC_vs_WT_Ctrl	group	WT_6h_AC	WT_Ctrl	complement_efferocytosis	-2.1642257276242787			1.0	1.0	descriptive_no_biological_replication	WT efferocytosis 6h; one pseudobulk sample per condition		1.0	resolution	
GSE156234_Mertk_scRNA_pseudobulk	WT_6h_AC_vs_WT_Ctrl	group	WT_6h_AC	WT_Ctrl	repair_cytokine_matrix	0.2650767505689101			1.0	1.0	descriptive_no_biological_replication	WT efferocytosis 6h; one pseudobulk sample per condition		1.0	resolution	
GSE156234_Mertk_scRNA_pseudobulk	WT_6h_AC_vs_WT_Ctrl	group	WT_6h_AC	WT_Ctrl	mhcII_ciita	0.28052663543662376			1.0	1.0	descriptive_no_biological_replication	WT efferocytosis 6h; one pseudobulk sample per condition		1.0	lipid_apc	
GSE156234_Mertk_scRNA_pseudobulk	WT_6h_AC_vs_WT_Ctrl	group	WT_6h_AC	WT_Ctrl	cathepsin_lysosome	-0.8279282751953696			1.0	1.0	descriptive_no_biological_replication	WT efferocytosis 6h; one pseudobulk sample per condition		1.0	lipid_apc	
GSE156234_Mertk_scRNA_pseudobulk	WT_6h_AC_vs_WT_Ctrl	group	WT_6h_AC	WT_Ctrl	foam_dam_lipid	-0.23521709179461892			1.0	1.0	descriptive_no_biological_replication	WT efferocytosis 6h; one pseudobulk sample per condition		1.0	lipid_apc	
GSE156234_Mertk_scRNA_pseudobulk	WT_6h_AC_vs_WT_Ctrl	group	WT_6h_AC	WT_Ctrl	ifn_core	-0.6817353665670005			1.0	1.0	descriptive_no_biological_replication	WT efferocytosis 6h; one pseudobulk sample per condition		1.0	guardrail	
GSE156234_Mertk_scRNA_pseudobulk	WT_6h_AC_vs_WT_Ctrl	group	WT_6h_AC	WT_Ctrl	stress_core	-0.5055071104405635			1.0	1.0	descriptive_no_biological_replication	WT efferocytosis 6h; one pseudobulk sample per condition		1.0	guardrail	
GSE156234_Mertk_scRNA_pseudobulk	WT_6h_AC_vs_WT_Ctrl	group	WT_6h_AC	WT_Ctrl	fibrosis_core	-0.6040499349915408			1.0	1.0	descriptive_no_biological_replication	WT efferocytosis 6h; one pseudobulk sample per condition		1.0	guardrail	
GSE156234_Mertk_scRNA_pseudobulk	MertkKO_2h_AC_vs_MertkKO_Ctrl	group	MertkKO_2h_AC	MertkKO_Ctrl	tam_receptor_ligand	-0.6937419459893506			1.0	1.0	descriptive_no_biological_replication	MertkKO efferocytosis 2h; one pseudobulk sample per condition		1.0	resolution	
GSE156234_Mertk_scRNA_pseudobulk	MertkKO_2h_AC_vs_MertkKO_Ctrl	group	MertkKO_2h_AC	MertkKO_Ctrl	fpr2_anxa1_axis	-0.26894652990852885			1.0	1.0	descriptive_no_biological_replication	MertkKO efferocytosis 2h; one pseudobulk sample per condition		1.0	resolution	
GSE156234_Mertk_scRNA_pseudobulk	MertkKO_2h_AC_vs_MertkKO_Ctrl	group	MertkKO_2h_AC	MertkKO_Ctrl	lxr_efflux	-0.2976675566213764			1.0	1.0	descriptive_no_biological_replication	MertkKO efferocytosis 2h; one pseudobulk sample per condition		1.0	resolution	
GSE156234_Mertk_scRNA_pseudobulk	MertkKO_2h_AC_vs_MertkKO_Ctrl	group	MertkKO_2h_AC	MertkKO_Ctrl	trem2_lipid_sensing	-1.6915056136802962			1.0	1.0	descriptive_no_biological_replication	MertkKO efferocytosis 2h; one pseudobulk sample per condition		1.0	resolution	
GSE156234_Mertk_scRNA_pseudobulk	MertkKO_2h_AC_vs_MertkKO_Ctrl	group	MertkKO_2h_AC	MertkKO_Ctrl	scavenger_receptors	-1.108799594043241			1.0	1.0	descriptive_no_biological_replication	MertkKO efferocytosis 2h; one pseudobulk sample per condition		1.0	resolution	
GSE156234_Mertk_scRNA_pseudobulk	MertkKO_2h_AC_vs_MertkKO_Ctrl	group	MertkKO_2h_AC	MertkKO_Ctrl	complement_efferocytosis	-1.747148909125597			1.0	1.0	descriptive_no_biological_replication	MertkKO efferocytosis 2h; one pseudobulk sample per condition		1.0	resolution	
GSE156234_Mertk_scRNA_pseudobulk	MertkKO_2h_AC_vs_MertkKO_Ctrl	group	MertkKO_2h_AC	MertkKO_Ctrl	repair_cytokine_matrix	0.13047151226006426			1.0	1.0	descriptive_no_biological_replication	MertkKO efferocytosis 2h; one pseudobulk sample per condition		1.0	resolution	
GSE156234_Mertk_scRNA_pseudobulk	MertkKO_2h_AC_vs_MertkKO_Ctrl	group	MertkKO_2h_AC	MertkKO_Ctrl	mhcII_ciita	0.4912345671958232			1.0	1.0	descriptive_no_biological_replication	MertkKO efferocytosis 2h; one pseudobulk sample per condition		1.0	lipid_apc	
GSE156234_Mertk_scRNA_pseudobulk	MertkKO_2h_AC_vs_MertkKO_Ctrl	group	MertkKO_2h_AC	MertkKO_Ctrl	cathepsin_lysosome	-0.7756702696073973			1.0	1.0	descriptive_no_biological_replication	MertkKO efferocytosis 2h; one pseudobulk sample per condition		1.0	lipid_apc	
GSE156234_Mertk_scRNA_pseudobulk	MertkKO_2h_AC_vs_MertkKO_Ctrl	group	MertkKO_2h_AC	MertkKO_Ctrl	foam_dam_lipid	-0.9966605903516088			1.0	1.0	descriptive_no_biological_replication	MertkKO efferocytosis 2h; one pseudobulk sample per condition		1.0	lipid_apc	
GSE156234_Mertk_scRNA_pseudobulk	MertkKO_2h_AC_vs_MertkKO_Ctrl	group	MertkKO_2h_AC	MertkKO_Ctrl	ifn_core	-1.4165342200682045			1.0	1.0	descriptive_no_biological_replication	MertkKO efferocytosis 2h; one pseudobulk sample per condition		1.0	guardrail	
GSE156234_Mertk_scRNA_pseudobulk	MertkKO_2h_AC_vs_MertkKO_Ctrl	group	MertkKO_2h_AC	MertkKO_Ctrl	stress_core	-0.479720710373813			1.0	1.0	descriptive_no_biological_replication	MertkKO efferocytosis 2h; one pseudobulk sample per condition		1.0	guardrail	
GSE156234_Mertk_scRNA_pseudobulk	MertkKO_2h_AC_vs_MertkKO_Ctrl	group	MertkKO_2h_AC	MertkKO_Ctrl	fibrosis_core	-1.2803667205284852			1.0	1.0	descriptive_no_biological_replication	MertkKO efferocytosis 2h; one pseudobulk sample per condition		1.0	guardrail	
GSE156234_Mertk_scRNA_pseudobulk	MertkKO_6h_AC_vs_MertkKO_Ctrl	group	MertkKO_6h_AC	MertkKO_Ctrl	tam_receptor_ligand	0.3306867999249659			1.0	1.0	descriptive_no_biological_replication	MertkKO efferocytosis 6h; one pseudobulk sample per condition		1.0	resolution	
GSE156234_Mertk_scRNA_pseudobulk	MertkKO_6h_AC_vs_MertkKO_Ctrl	group	MertkKO_6h_AC	MertkKO_Ctrl	fpr2_anxa1_axis	0.17322181694809194			1.0	1.0	descriptive_no_biological_replication	MertkKO efferocytosis 6h; one pseudobulk sample per condition		1.0	resolution	
GSE156234_Mertk_scRNA_pseudobulk	MertkKO_6h_AC_vs_MertkKO_Ctrl	group	MertkKO_6h_AC	MertkKO_Ctrl	lxr_efflux	0.7841160107664785			1.0	1.0	descriptive_no_biological_replication	MertkKO efferocytosis 6h; one pseudobulk sample per condition		1.0	resolution	
GSE156234_Mertk_scRNA_pseudobulk	MertkKO_6h_AC_vs_MertkKO_Ctrl	group	MertkKO_6h_AC	MertkKO_Ctrl	trem2_lipid_sensing	-0.270762900173223			1.0	1.0	descriptive_no_biological_replication	MertkKO efferocytosis 6h; one pseudobulk sample per condition		1.0	resolution	
GSE156234_Mertk_scRNA_pseudobulk	MertkKO_6h_AC_vs_MertkKO_Ctrl	group	MertkKO_6h_AC	MertkKO_Ctrl	scavenger_receptors	-0.004847368065455049			1.0	1.0	descriptive_no_biological_replication	MertkKO efferocytosis 6h; one pseudobulk sample per condition		1.0	resolution	
GSE156234_Mertk_scRNA_pseudobulk	MertkKO_6h_AC_vs_MertkKO_Ctrl	group	MertkKO_6h_AC	MertkKO_Ctrl	complement_efferocytosis	-0.9366172092808185			1.0	1.0	descriptive_no_biological_replication	MertkKO efferocytosis 6h; one pseudobulk sample per condition		1.0	resolution	
GSE156234_Mertk_scRNA_pseudobulk	MertkKO_6h_AC_vs_MertkKO_Ctrl	group	MertkKO_6h_AC	MertkKO_Ctrl	repair_cytokine_matrix	0.8115175363080225			1.0	1.0	descriptive_no_biological_replication	MertkKO efferocytosis 6h; one pseudobulk sample per condition		1.0	resolution	
GSE156234_Mertk_scRNA_pseudobulk	MertkKO_6h_AC_vs_MertkKO_Ctrl	group	MertkKO_6h_AC	MertkKO_Ctrl	mhcII_ciita	0.7827959178258709			1.0	1.0	descriptive_no_biological_replication	MertkKO efferocytosis 6h; one pseudobulk sample per condition		1.0	lipid_apc	
GSE156234_Mertk_scRNA_pseudobulk	MertkKO_6h_AC_vs_MertkKO_Ctrl	group	MertkKO_6h_AC	MertkKO_Ctrl	cathepsin_lysosome	0.3891759856880558			1.0	1.0	descriptive_no_biological_replication	MertkKO efferocytosis 6h; one pseudobulk sample per condition		1.0	lipid_apc	
GSE156234_Mertk_scRNA_pseudobulk	MertkKO_6h_AC_vs_MertkKO_Ctrl	group	MertkKO_6h_AC	MertkKO_Ctrl	foam_dam_lipid	0.8595050044835024			1.0	1.0	descriptive_no_biological_replication	MertkKO efferocytosis 6h; one pseudobulk sample per condition		1.0	lipid_apc	
GSE156234_Mertk_scRNA_pseudobulk	MertkKO_6h_AC_vs_MertkKO_Ctrl	group	MertkKO_6h_AC	MertkKO_Ctrl	ifn_core	0.04763688057149551			1.0	1.0	descriptive_no_biological_replication	MertkKO efferocytosis 6h; one pseudobulk sample per condition		1.0	guardrail	
GSE156234_Mertk_scRNA_pseudobulk	MertkKO_6h_AC_vs_MertkKO_Ctrl	group	MertkKO_6h_AC	MertkKO_Ctrl	stress_core	1.0803931906991666			1.0	1.0	descriptive_no_biological_replication	MertkKO efferocytosis 6h; one pseudobulk sample per condition		1.0	guardrail	
GSE156234_Mertk_scRNA_pseudobulk	MertkKO_6h_AC_vs_MertkKO_Ctrl	group	MertkKO_6h_AC	MertkKO_Ctrl	fibrosis_core	-1.6923658440364884			1.0	1.0	descriptive_no_biological_replication	MertkKO efferocytosis 6h; one pseudobulk sample per condition		1.0	guardrail	
GSE169160_human_MF_efferocytosis	MF_AC_vs_MF	group	MF_AC	MF	tam_receptor_ligand	-0.4313717511307873	-0.6121502782149075	0.286932900710801	6.0	6.0	welch_t	human macrophage apoptotic-cell exposure		1.0	resolution	0.5161182993917554
GSE169160_human_MF_efferocytosis	MF_AC_vs_MF	group	MF_AC	MF	fpr2_anxa1_axis	0.0022827621936442333	0.00266077844924288	0.9961441076170077	6.0	6.0	welch_t	human macrophage apoptotic-cell exposure		1.0	resolution	0.9961441076170077
GSE169160_human_MF_efferocytosis	MF_AC_vs_MF	group	MF_AC	MF	lxr_efflux	0.6106082275692333	1.0224007807233828	0.08906973817853665	6.0	6.0	welch_t	human macrophage apoptotic-cell exposure		1.0	resolution	0.2254331426465618
GSE169160_human_MF_efferocytosis	MF_AC_vs_MF	group	MF_AC	MF	trem2_lipid_sensing	0.4473168950562866	0.6182793041599527	0.27330937090114654	6.0	6.0	welch_t	human macrophage apoptotic-cell exposure		1.0	resolution	0.5142531584061046
GSE169160_human_MF_efferocytosis	MF_AC_vs_MF	group	MF_AC	MF	scavenger_receptors	-0.026699551710909614	-0.047502150832240186	0.9310333310686002	6.0	6.0	welch_t	human macrophage apoptotic-cell exposure		1.0	resolution	0.9537372788577123
GSE169160_human_MF_efferocytosis	MF_AC_vs_MF	group	MF_AC	MF	complement_efferocytosis	-0.27393206612436694	-0.2707706136668601	0.6250025823829667	6.0	6.0	welch_t	human macrophage apoptotic-cell exposure		1.0	resolution	0.8015728186615627
GSE169160_human_MF_efferocytosis	MF_AC_vs_MF	group	MF_AC	MF	repair_cytokine_matrix	-0.2007422753972197	-0.39624179162943163	0.47845407354235575	6.0	6.0	welch_t	human macrophage apoptotic-cell exposure		1.0	resolution	0.7090044820368588
GSE169160_human_MF_efferocytosis	MF_AC_vs_MF	group	MF_AC	MF	mhcII_ciita	-0.2973602100497865	-0.29985418983464107	0.5895682931117524	6.0	6.0	welch_t	human macrophage apoptotic-cell exposure		1.0	lipid_apc	0.7911767336562987
GSE169160_human_MF_efferocytosis	MF_AC_vs_MF	group	MF_AC	MF	cathepsin_lysosome	-0.08592111201580824	-0.11811130866109183	0.8290876408917964	6.0	6.0	welch_t	human macrophage apoptotic-cell exposure		1.0	lipid_apc	0.9119964049809761
GSE169160_human_MF_efferocytosis	MF_AC_vs_MF	group	MF_AC	MF	foam_dam_lipid	0.5941988269052222	1.8817281520907057	0.006333499690484092	6.0	6.0	welch_t	human macrophage apoptotic-cell exposure		1.0	lipid_apc	0.03726322144601796
GSE169160_human_MF_efferocytosis	MF_AC_vs_MF	group	MF_AC	MF	ifn_core	-0.08091406230559475	-0.11300605284434875	0.8363332996274315	6.0	6.0	welch_t	human macrophage apoptotic-cell exposure		1.0	guardrail	0.9129439835627688
GSE169160_human_MF_efferocytosis	MF_AC_vs_MF	group	MF_AC	MF	stress_core	0.2021288665951133	0.784883352404651	0.1732758863332116	6.0	6.0	welch_t	human macrophage apoptotic-cell exposure		1.0	guardrail	0.3779844710220968
GSE169160_human_MF_efferocytosis	MF_AC_vs_MF	group	MF_AC	MF	fibrosis_core	0.2823980563086089	0.4898609871420069	0.38024165673421867	6.0	6.0	welch_t	human macrophage apoptotic-cell exposure		1.0	guardrail	0.6062556170309115
GSE253577_mouse_efferocytosis_timecourse	AC_45min_vs_Alone	group	AC_45min	Alone	tam_receptor_ligand	-0.878920008338625	-3.1557554888948447	0.004045579714016323	4.0	4.0	welch_t	mouse efferocytosis time course		1.0	resolution	0.028417136338154982
GSE253577_mouse_efferocytosis_timecourse	AC_45min_vs_Alone	group	AC_45min	Alone	fpr2_anxa1_axis	0.46913419197217365	0.9762760842424103	0.16715849866389598	4.0	4.0	welch_t	mouse efferocytosis time course		1.0	resolution	0.3677486970605712
GSE253577_mouse_efferocytosis_timecourse	AC_45min_vs_Alone	group	AC_45min	Alone	lxr_efflux	-0.551409673755392	-0.9907090477662338	0.16012279536248386	4.0	4.0	welch_t	mouse efferocytosis time course		1.0	resolution	0.3647398843465315
GSE253577_mouse_efferocytosis_timecourse	AC_45min_vs_Alone	group	AC_45min	Alone	trem2_lipid_sensing	0.2620036287419961	0.7675463882511118	0.2618492704946039	4.0	4.0	welch_t	mouse efferocytosis time course		1.0	resolution	0.5024512611063393
GSE253577_mouse_efferocytosis_timecourse	AC_45min_vs_Alone	group	AC_45min	Alone	scavenger_receptors	-0.10548159688898784	-0.4340982227816023	0.5181838278823615	4.0	4.0	welch_t	mouse efferocytosis time course		1.0	resolution	0.7368433499089723
GSE253577_mouse_efferocytosis_timecourse	AC_45min_vs_Alone	group	AC_45min	Alone	complement_efferocytosis	1.023963349009923	1.476811591942803	0.057554921682481455	4.0	4.0	welch_t	mouse efferocytosis time course		1.0	resolution	0.17146570417905932
GSE253577_mouse_efferocytosis_timecourse	AC_45min_vs_Alone	group	AC_45min	Alone	repair_cytokine_matrix	0.1662603102793441	0.3163369901093887	0.6321785872390042	4.0	4.0	welch_t	mouse efferocytosis time course		1.0	resolution	0.8071565890640857
GSE253577_mouse_efferocytosis_timecourse	AC_45min_vs_Alone	group	AC_45min	Alone	mhcII_ciita	0.33086259303513155	0.6754466013029803	0.31442864976014623	4.0	4.0	welch_t	mouse efferocytosis time course		1.0	lipid_apc	0.5352773442345347
GSE253577_mouse_efferocytosis_timecourse	AC_45min_vs_Alone	group	AC_45min	Alone	cathepsin_lysosome	-0.0332862550997169	-0.09853734744858814	0.8788067226259676	4.0	4.0	welch_t	mouse efferocytosis time course		1.0	lipid_apc	0.9291390531675358
GSE253577_mouse_efferocytosis_timecourse	AC_45min_vs_Alone	group	AC_45min	Alone	foam_dam_lipid	-0.012559335652965076	-0.04404972290973457	0.9461982778616398	4.0	4.0	welch_t	mouse efferocytosis time course		1.0	lipid_apc	0.9630345461509928
GSE253577_mouse_efferocytosis_timecourse	AC_45min_vs_Alone	group	AC_45min	Alone	ifn_core	0.015212242409111565	0.12240747170122272	0.8490883755772932	4.0	4.0	welch_t	mouse efferocytosis time course		1.0	guardrail	0.9198457402087342
GSE253577_mouse_efferocytosis_timecourse	AC_45min_vs_Alone	group	AC_45min	Alone	stress_core	0.11849961189268982	0.5896934197302862	0.3925922998360934	4.0	4.0	welch_t	mouse efferocytosis time course		1.0	guardrail	0.6169307568852896
GSE253577_mouse_efferocytosis_timecourse	AC_45min_vs_Alone	group	AC_45min	Alone	fibrosis_core	-0.13162240215362608	-0.2612392331466388	0.6858706947622498	4.0	4.0	welch_t	mouse efferocytosis time course		1.0	guardrail	0.8347192285191636
GSE253577_mouse_efferocytosis_timecourse	AC_90min_vs_Alone	group	AC_90min	Alone	tam_receptor_ligand	-0.8707001468569363	-3.804388287944959	0.0010258894783034675	4.0	4.0	welch_t	mouse efferocytosis time course		1.0	resolution	0.009464657767573926
GSE253577_mouse_efferocytosis_timecourse	AC_90min_vs_Alone	group	AC_90min	Alone	fpr2_anxa1_axis	1.4831947659527012	2.352037863151657	0.00985543493140682	4.0	4.0	welch_t	mouse efferocytosis time course		1.0	resolution	0.05124826164331546
GSE253577_mouse_efferocytosis_timecourse	AC_90min_vs_Alone	group	AC_90min	Alone	lxr_efflux	0.28537198478520565	0.7319816921657323	0.2960643108890378	4.0	4.0	welch_t	mouse efferocytosis time course		1.0	resolution	0.5226814377423753
GSE253577_mouse_efferocytosis_timecourse	AC_90min_vs_Alone	group	AC_90min	Alone	trem2_lipid_sensing	-0.11303907480314654	-0.21755096957132958	0.7379190969394993	4.0	4.0	welch_t	mouse efferocytosis time course		1.0	resolution	0.8667624244747912
GSE253577_mouse_efferocytosis_timecourse	AC_90min_vs_Alone	group	AC_90min	Alone	scavenger_receptors	0.6769295223209288	1.3670084250255379	0.10606282341262496	4.0	4.0	welch_t	mouse efferocytosis time course		1.0	resolution	0.2637736304000934
GSE253577_mouse_efferocytosis_timecourse	AC_90min_vs_Alone	group	AC_90min	Alone	complement_efferocytosis	-0.1418465526118613	-0.18636280240254216	0.773967196037477	4.0	4.0	welch_t	mouse efferocytosis time course		1.0	resolution	0.874919438998887
GSE253577_mouse_efferocytosis_timecourse	AC_90min_vs_Alone	group	AC_90min	Alone	repair_cytokine_matrix	-0.5496472503570144	-1.0947598395431333	0.14230107566940164	4.0	4.0	welch_t	mouse efferocytosis time course		1.0	resolution	0.3391508970120739
GSE253577_mouse_efferocytosis_timecourse	AC_90min_vs_Alone	group	AC_90min	Alone	mhcII_ciita	-0.07088951169877197	-0.17151833625441817	0.7903441744281485	4.0	4.0	welch_t	mouse efferocytosis time course		1.0	lipid_apc	0.8864252309272568
GSE253577_mouse_efferocytosis_timecourse	AC_90min_vs_Alone	group	AC_90min	Alone	cathepsin_lysosome	-0.4349703588919544	-1.4192289623770955	0.08283160525108887	4.0	4.0	welch_t	mouse efferocytosis time course		1.0	lipid_apc	0.21342197389019296
GSE253577_mouse_efferocytosis_timecourse	AC_90min_vs_Alone	group	AC_90min	Alone	foam_dam_lipid	-0.04141943223280414	-0.0968025107108062	0.8804079839454623	4.0	4.0	welch_t	mouse efferocytosis time course		1.0	lipid_apc	0.9291390531675358
GSE253577_mouse_efferocytosis_timecourse	AC_90min_vs_Alone	group	AC_90min	Alone	ifn_core	-0.1362905849647335	-1.553282297209009	0.05746486012156076	4.0	4.0	welch_t	mouse efferocytosis time course		1.0	guardrail	0.17146570417905932
GSE253577_mouse_efferocytosis_timecourse	AC_90min_vs_Alone	group	AC_90min	Alone	stress_core	-0.13874757486848296	-0.5391914252505663	0.4358566182188878	4.0	4.0	welch_t	mouse efferocytosis time course		1.0	guardrail	0.6701881333903329
GSE253577_mouse_efferocytosis_timecourse	AC_90min_vs_Alone	group	AC_90min	Alone	fibrosis_core	-0.33856614469003543	-0.737088330148794	0.2800329505918629	4.0	4.0	welch_t	mouse efferocytosis time course		1.0	guardrail	0.5161182993917554
GSE253577_mouse_efferocytosis_timecourse	AC_180min_vs_Alone	group	AC_180min	Alone	tam_receptor_ligand	-0.42719217631567485	-1.4150945305075766	0.07498042416090417	4.0	4.0	welch_t	mouse efferocytosis time course		1.0	resolution	0.201340976897857
GSE253577_mouse_efferocytosis_timecourse	AC_180min_vs_Alone	group	AC_180min	Alone	fpr2_anxa1_axis	0.4007230483171237	0.7323400106778998	0.2786262824499193	4.0	4.0	welch_t	mouse efferocytosis time course		1.0	resolution	0.5161182993917554
GSE253577_mouse_efferocytosis_timecourse	AC_180min_vs_Alone	group	AC_180min	Alone	lxr_efflux	1.402454865039578	2.763259376907505	0.00414030908826572	4.0	4.0	welch_t	mouse efferocytosis time course		1.0	resolution	0.028417136338154982
GSE253577_mouse_efferocytosis_timecourse	AC_180min_vs_Alone	group	AC_180min	Alone	trem2_lipid_sensing	0.7882640240093797	1.8601135022155295	0.024084157688865054	4.0	4.0	welch_t	mouse efferocytosis time course		1.0	resolution	0.10003375523913074
GSE253577_mouse_efferocytosis_timecourse	AC_180min_vs_Alone	group	AC_180min	Alone	scavenger_receptors	0.8204660459852142	3.2184069349266093	0.006384258219772307	4.0	4.0	welch_t	mouse efferocytosis time course		1.0	resolution	0.03726322144601796
GSE253577_mouse_efferocytosis_timecourse	AC_180min_vs_Alone	group	AC_180min	Alone	complement_efferocytosis	1.2997178613058928	1.4963377714392667	0.06434245055060996	4.0	4.0	welch_t	mouse efferocytosis time course		1.0	resolution	0.17694173901417737
GSE253577_mouse_efferocytosis_timecourse	AC_180min_vs_Alone	group	AC_180min	Alone	repair_cytokine_matrix	0.12290001379006557	0.38607398669271414	0.5532167562406723	4.0	4.0	welch_t	mouse efferocytosis time course		1.0	resolution	0.7643477888156149
GSE253577_mouse_efferocytosis_timecourse	AC_180min_vs_Alone	group	AC_180min	Alone	mhcII_ciita	0.5247262029476661	1.456597816516133	0.07532686897926817	4.0	4.0	welch_t	mouse efferocytosis time course		1.0	lipid_apc	0.201340976897857
GSE253577_mouse_efferocytosis_timecourse	AC_180min_vs_Alone	group	AC_180min	Alone	cathepsin_lysosome	0.4477618950861708	1.2215259957943474	0.09607549928391922	4.0	4.0	welch_t	mouse efferocytosis time course		1.0	lipid_apc	0.24103151574737627
