dataset	contrast	contrast_type	case_group	control_group	statistical_status	note	target_route	therapeutic_multiplier	therapeutic_target	plausible_autoimmune_route	route	best_resolution_submodule	best_resolution_submodule_delta	best_lipid_apc_reduced_submodule	best_lipid_apc_submodule_delta	ifn_core_delta	stress_core_delta	fibrosis_core_delta	n_resolution_genes_up_ge_0_5	top_resolution_genes_up	n_lipid_apc_genes_down_le_minus_0_5	top_lipid_apc_genes_down	wave35_resolution_efferocytosis_directed	wave35_lipid_lysosomal_apc_directed	wave35_generic_ifn_directed	wave35_stress_cytotoxicity_directed	submodule_gate	gene_rescue_shape
GSE253577_mouse_efferocytosis_timecourse	AC_45min_vs_Alone	group	AC_45min	Alone	welch_t	mouse efferocytosis time course		1.0		False		complement_efferocytosis	1.023963349009923	cathepsin_lysosome	-0.0332862550997169	0.015212242409111565	0.11849961189268982	-0.13162240215362608	9	C1QB;MARCO;TYROBP;IL10;NR1H2;TREM2;C1QA;C1QC	5	LIPA;GPNMB;LPL;CIITA;LAMP2	-0.123583306643943	0.1113590926031068	0.0152122424091116	0.1184996118926898	False	True
GSE253577_mouse_efferocytosis_timecourse	AC_90min_vs_Alone	group	AC_90min	Alone	welch_t	mouse efferocytosis time course		1.0		False		fpr2_anxa1_axis	1.4831947659527012	cathepsin_lysosome	-0.4349703588919544	-0.1362905849647335	-0.13874757486848296	-0.33856614469003543	10	ANXA1;NR1H3;MRC1;TREM2;TYRO3;CD36;FPR2;MARCO	8	GPNMB;APOE;LAMP1;CTSD;LIPA;CD74;CIITA;IFI30	0.0482420363952666	-0.1838297713919372	-0.1362905849647335	-0.1387475748684829	True	True
GSE274954_GpnmbR150X_BMDM_OxLDL	GpnmbR150X_BMDM_vs_WT_BMDM	group	GpnmbR150X_BMDM	WT_BMDM	welch_t	GpnmbR150X baseline	GPNMB_restoration	-1.0	GPNMB	False	GPNMB function restoration or agonist biology; translational route remains weak	tam_receptor_ligand	0.02858919085738637	cathepsin_lysosome	-1.6348065732893888	-0.04889480592703799	-0.5954067617318843	0.49669294674643416	5	AXL;VSIG4;MRC1;F13A1;LYVE1	19	CTSS;IFI30;TYROBP;H2-DMA;H2-DMB1;LPL;CTSB;CTSL	-0.4761227114241961	-1.270806243832392	-0.0488948059270379	-0.5954067617318846	False	True
GSE274954_GpnmbR150X_BMDM_OxLDL	GpnmbR150X_OxLDL_interaction	interaction	GpnmbR150X_OxLDL_vs_WT_OxLDL	GpnmbR150X_BMDM_vs_WT_BMDM	descriptive_interaction_from_gene_or_submodule_deltas	GPNMB mutation effect under OxLDL beyond baseline genotype effect	GPNMB_restoration	-1.0	GPNMB	False	GPNMB function restoration or agonist biology; translational route remains weak	complement_efferocytosis	0.9559592108064876	cathepsin_lysosome	0.25337575805575385	-0.0877806624748182	-0.4454887530787639	-0.7625673702649325	10	C1QB;C1QC;APOE;ABCG1;CD36;LPL;TYROBP;C1QA	1	LAMP1	-0.0270321640968963	0.7598157209247695	-0.0877806624748182	-0.4454887530787634	False	False
GSE274954_GpnmbR150X_BMDM_OxLDL	GpnmbR150X_OxLDL_vs_WT_OxLDL	group	GpnmbR150X_OxLDL	WT_OxLDL	welch_t	GpnmbR150X under OxLDL lipid loading	GPNMB_restoration	-1.0	GPNMB	False	GPNMB function restoration or agonist biology; translational route remains weak	complement_efferocytosis	0.9469148191736831	cathepsin_lysosome	-1.381430815233635	-0.13667546840185618	-1.0408955148106482	-0.2658744235184983	6	AXL;C1QB;C1QA;C1QC;VSIG4;APOE	12	LAMP1;LAMP2;IFI30;CTSL;H2-DMB1;TYROBP;CTSB;CTSD	-0.5031548755210925	-0.5109905229076225	-0.1366754684018561	-1.040895514810648	True	True
GSE285961_mouse_LipaOE_plaque_macrophages	LipaOE_vs_Control_plaque	group	LipaOE	Control	welch_t	mouse plaque macrophage Lipa overexpression	LIPA_augmentation	1.0	LIPA	True	LIPA/LAL augmentation by enzyme, gene, or macrophage-directed expression rescue	tam_receptor_ligand	0.817057736864555	mhcII_ciita	-0.6752070071559144	-0.502704012906867	-0.6048251331555702	0.7166223954973587	12	ABCA1;MERTK;MRC1;ABCG1;CD163;F13A1;AXL;TGFB1	10	H2-DMA;TYROBP;LAMP2;H2-DMB1;CTSS;H2-AB1;H2-AA;H2-EB1	0.0963029980609759	-0.24384556727275	-0.502704012906867	-0.6048251331555702	False	False
GSE287142_RXR_bexarotene_CNS_myeloid	Aged_BEX_vs_Aged_vehicle	group	Aged_BEX	Aged_vehicle	welch_t	RXR agonist bexarotene CNS myeloid	RXR_LXR_agonism	1.0	RXR/LXR	True	RXR/LXR nuclear-receptor agonism or biased lipid-efflux agonism	fpr2_anxa1_axis	1.1733698480305188	foam_dam_lipid	-0.27412740581751155	-0.09390065935170161	-0.34187610470420204	-0.31604482776182957	5	ABCG1;ABCA1;FPR2;CD36;ANXA1	1	LPL	0.2861350343936579	0.0244313531119451	-0.0939006593517016	-0.341876104704202	True	False
GSE287142_RXR_bexarotene_CNS_myeloid	StrokeAged_BEX_vs_StrokeAged_vehicle	group	StrokeAged_BEX	StrokeAged_vehicle	welch_t	RXR agonist bexarotene CNS myeloid	RXR_LXR_agonism	1.0	RXR/LXR	True	RXR/LXR nuclear-receptor agonism or biased lipid-efflux agonism	lxr_efflux	0.3164209338787979	mhcII_ciita	-0.4137903166980278	-0.3844350594900011	-0.44375113139490696	-0.4105221432263405	2	ABCG1;ABCA1	3	H2-DMB1;LAMP2;H2-EB1	-0.2221816257470927	-0.102593132477537	-0.3844350594900011	-0.4437511313949071	True	True
GSE287142_RXR_bexarotene_CNS_myeloid	Young_BEX_vs_Young_vehicle	group	Young_BEX	Young_vehicle	welch_t	RXR agonist bexarotene CNS myeloid	RXR_LXR_agonism	1.0	RXR/LXR	True	RXR/LXR nuclear-receptor agonism or biased lipid-efflux agonism	lxr_efflux	0.9147845301276891	mhcII_ciita	-0.37210802058579984	-0.016826485419277004	-0.8593501105839118	-0.6722996774339709	3	ABCG1;ABCA1;APOE	5	TYROBP;H2-DMB1;LAMP2;H2-DMA;CIITA	0.0503840477261291	-0.1896512836827202	-0.0168264854192772	-0.8593501105839116	True	True
GSE302857_Trem2KO_cuprizone_microglia	Trem2KO_Basal_vs_WT_Basal	group	Trem2KO_Basal	WT_Basal	welch_t	Trem2/cuprizone sorted microglia	TREM2_agonism	-1.0	TREM2	True	TREM2 agonist antibody or ligand-like activation in myeloid cells	fpr2_anxa1_axis	0.8874769134658249	cathepsin_lysosome	0.07343616328424307	0.1540639749838133	-0.044296101693399814	0.2144834803517135	9	TREM2;ANXA1;IL10;F13A1;LYVE1;MRC1;CD163;AXL	0		0.2763857890095732	0.3449240313415117	0.1540639749838135	-0.0442961016933998	False	False
GSE302857_Trem2KO_cuprizone_microglia	Trem2KO_CPZ_cd229pos_cd11cneg_vs_WT_CPZ_cd229pos_cd11cneg	group	Trem2KO_CPZ_cd229pos_cd11cneg	WT_CPZ_cd229pos_cd11cneg	welch_t	Trem2/cuprizone sorted microglia	TREM2_agonism	-1.0	TREM2	True	TREM2 agonist antibody or ligand-like activation in myeloid cells	complement_efferocytosis	1.3444738888195737	mhcII_ciita	0.9931956485018842	-0.14630676649517727	0.3180041286097027	0.7219761998988747	12	TREM2;TGFB1;LPL;C1QA;TYROBP;C1QC;CD36;PROS1	0		0.4531098385018223	1.0366243528382362	-0.1463067664951772	0.3180041286097027	False	False
GSE302857_Trem2KO_cuprizone_microglia	Trem2KO_CPZ_neg_neg_vs_WT_CPZ_neg_neg	group	Trem2KO_CPZ_neg_neg	WT_CPZ_neg_neg	welch_t	Trem2/cuprizone sorted microglia	TREM2_agonism	-1.0	TREM2	True	TREM2 agonist antibody or ligand-like activation in myeloid cells	scavenger_receptors	1.2507595046714535	cathepsin_lysosome	0.715206029478807	0.5635657617170304	0.3906253166759812	-0.10049822979347445	16	TREM2;CD163;MRC1;LYVE1;LPL;F13A1;CD36;C1QA	0		0.6034801592263397	0.9783066452511036	0.5635657617170304	0.3906253166759812	False	False
GSE302857_Trem2KO_cuprizone_microglia	WT_CPZ_cd229pos_cd11cneg_vs_WT_Basal	group	WT_CPZ_cd229pos_cd11cneg	WT_Basal	welch_t	Trem2/cuprizone sorted microglia		1.0		False		complement_efferocytosis	2.3373532174331393	mhcII_ciita	1.2491702603423414	1.8965707167369015	-1.0603425043394683	0.028007231316513947	13	GAS6;TYROBP;C1QC;C1QA;ABCG1;APOE;AXL;C1QB	0		0.7208863024546395	2.004999176770743	1.8965707167369017	-1.0603425043394683	False	False
GSE302857_Trem2KO_cuprizone_microglia	WT_CPZ_cd229pos_cd11cpos_vs_WT_Basal	group	WT_CPZ_cd229pos_cd11cpos	WT_Basal	welch_t	Trem2/cuprizone sorted microglia		1.0		False		complement_efferocytosis	2.2533881459736156	mhcII_ciita	1.8977063831034446	2.0360505310561656	-1.0800720598383657	-0.6611270272546459	15	ABCG1;APOE;C1QB;TYROBP;CD36;ABCA1;AXL;LPL	0		0.7179001187488981	2.172439263181619	2.0360505310561656	-1.0800720598383655	False	False
GSE302857_Trem2KO_cuprizone_microglia	WT_CPZ_neg_neg_vs_WT_Basal	group	WT_CPZ_neg_neg	WT_Basal	welch_t	Trem2/cuprizone sorted microglia		1.0		False		complement_efferocytosis	1.373016258737172	mhcII_ciita	0.7105706495586939	1.582609957935655	-0.28493734301180856	-0.35194246919270317	13	AXL;APOE;LPL;GAS6;C1QB;C1QC;C1QA;TYROBP	0		0.3431301468305068	1.126992110050847	1.582609957935655	-0.2849373430118085	False	False
GSE325329_ifng_il10_phagocytic_macrophages	IFNg_Tconv_phago_vs_IFNg_nonphago	group	IFNg_Tconv_phago	IFNg_nonphago	welch_t	IFNg-polarized phagocytic vs non-phagocytic macrophages		1.0		False		lxr_efflux	0.33509715784668215	cathepsin_lysosome	-0.07410177370117976	0.016225703988979268	0.3182675232794413	-0.08468794440685223	4	TYRO3;FPR2;MERTK;NR1H3	0		0.048376976968712	-0.0408341700424698	0.016225703988979	0.3182675232794413	False	False
GSE325329_ifng_il10_phagocytic_macrophages	IFNg_Treg_phago_vs_IFNg_nonphago	group	IFNg_Treg_phago	IFNg_nonphago	welch_t	IFNg-polarized phagocytic vs non-phagocytic macrophages		1.0		False		scavenger_receptors	0.6622143820762331	mhcII_ciita	-1.2291702194346166	-0.36274216550319205	0.022903614447211812	-0.21355883327628855	5	TYRO3;TREM2;CD163;MARCO;CD36	7	CIITA;H2-DMB1;H2-EB1;H2-AB1;H2-DMA;H2-AA;CD74	0.144631438618898	-0.2803322555048047	-0.3627421655031922	0.0229036144472118	True	True
GSE325329_ifng_il10_phagocytic_macrophages	IL10_Tconv_phago_vs_IL10_nonphago	group	IL10_Tconv_phago	IL10_nonphago	welch_t	IL10-polarized phagocytic vs non-phagocytic macrophages	IL10_axis	1.0	IL10	True	IL10 cytokine or IL10-pathway agonism; prior-art and exposure constrained	tam_receptor_ligand	0.7675176401705173	cathepsin_lysosome	-0.17890289485138822	-0.022469718097604785	-0.32705867993149507	0.18606639786310664	6	AXL;CD163;LYVE1;APOE;VSIG4;MERTK	4	LPL;CTSL;LAMP2;SPP1	0.2016768301740004	0.1669170841905922	-0.0224697180976046	-0.327058679931495	False	True
GSE325329_ifng_il10_phagocytic_macrophages	IL10_Treg_phago_vs_IL10_nonphago	group	IL10_Treg_phago	IL10_nonphago	welch_t	IL10-polarized phagocytic vs non-phagocytic macrophages	IL10_axis	1.0	IL10	True	IL10 cytokine or IL10-pathway agonism; prior-art and exposure constrained	tam_receptor_ligand	0.8932726110110882	foam_dam_lipid	-0.11654145139179081	0.16873338725706333	-0.24766761911006732	-0.7059010304210757	8	AXL;CD163;MERTK;LYVE1;VSIG4;NR1H3;APOE;MARCO	3	CTSL;LPL;LAMP2	0.3142481175895283	0.1193883454989693	0.1687333872570633	-0.2476676191100673	False	True
