dataset	feature_type	feature	present	n_present	n_requested	present_genes	missing_genes	submodule_class
GSE156234_Mertk_scRNA_pseudobulk	gene	MX1	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	NR1H2	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	NR1H3	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	OAS1	False					
GSE156234_Mertk_scRNA_pseudobulk	gene	OAS1A	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	PLIN2	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	PPARD	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	PPARG	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	PROS1	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	RXRA	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	SPP1	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	STAT1	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	TGFB1	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	TREM2	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	TYRO3	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	TYROBP	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	VSIG4	True					
GSE156234_Mertk_scRNA_pseudobulk	gene	XBP1	True					
GSE156234_Mertk_scRNA_pseudobulk	submodule	tam_receptor_ligand	True	5.0	5.0	AXL;GAS6;MERTK;PROS1;TYRO3		resolution
GSE156234_Mertk_scRNA_pseudobulk	submodule	fpr2_anxa1_axis	True	2.0	2.0	ANXA1;FPR2		resolution
GSE156234_Mertk_scRNA_pseudobulk	submodule	lxr_efflux	True	4.0	4.0	ABCA1;ABCG1;NR1H2;NR1H3		resolution
GSE156234_Mertk_scRNA_pseudobulk	submodule	trem2_lipid_sensing	True	4.0	4.0	APOE;LPL;TREM2;TYROBP		resolution
GSE156234_Mertk_scRNA_pseudobulk	submodule	scavenger_receptors	True	4.0	4.0	CD163;CD36;MARCO;MRC1		resolution
GSE156234_Mertk_scRNA_pseudobulk	submodule	complement_efferocytosis	True	4.0	4.0	C1QA;C1QB;C1QC;VSIG4		resolution
GSE156234_Mertk_scRNA_pseudobulk	submodule	repair_cytokine_matrix	True	4.0	4.0	F13A1;IL10;LYVE1;TGFB1		resolution
GSE156234_Mertk_scRNA_pseudobulk	submodule	mhcII_ciita	True	8.0	14.0	CD74;CIITA;H2-AA;H2-AB1;H2-DMA;H2-DMB1;H2-EB1;IFI30	HLA-DMA;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DRA;HLA-DRB1	lipid_apc
GSE156234_Mertk_scRNA_pseudobulk	submodule	cathepsin_lysosome	True	7.0	7.0	CTSB;CTSD;CTSL;CTSS;LAMP1;LAMP2;LIPA		lipid_apc
GSE156234_Mertk_scRNA_pseudobulk	submodule	foam_dam_lipid	True	6.0	6.0	APOE;GPNMB;LPL;PLIN2;SPP1;TYROBP		lipid_apc
GSE156234_Mertk_scRNA_pseudobulk	submodule	ifn_core	True	13.0	15.0	CXCL10;IFI44;IFI44L;IFIT1;IFIT2;IFIT3;IFITM3;IRF1;IRF7;ISG15;MX1;OAS1A;STAT1	GBP1;OAS1	guardrail
GSE156234_Mertk_scRNA_pseudobulk	submodule	stress_core	True	11.0	11.0	ATF4;BAX;CASP3;DDIT3;DNAJB1;FOS;HSP90AA1;HSPA1A;HSPA1B;JUN;XBP1		guardrail
GSE156234_Mertk_scRNA_pseudobulk	submodule	fibrosis_core	True	6.0	7.0	ACTA2;COL1A1;COL1A2;COL3A1;FN1;TGFB1	CTGF	guardrail
GSE169160_human_MF_efferocytosis	gene	ABCA1	True					
GSE169160_human_MF_efferocytosis	gene	ABCG1	True					
GSE169160_human_MF_efferocytosis	gene	ACTA2	True					
GSE169160_human_MF_efferocytosis	gene	ANXA1	True					
GSE169160_human_MF_efferocytosis	gene	APOE	True					
GSE169160_human_MF_efferocytosis	gene	ATF4	True					
GSE169160_human_MF_efferocytosis	gene	AXL	True					
GSE169160_human_MF_efferocytosis	gene	BAX	True					
GSE169160_human_MF_efferocytosis	gene	C1QA	True					
GSE169160_human_MF_efferocytosis	gene	C1QB	True					
GSE169160_human_MF_efferocytosis	gene	C1QC	True					
GSE169160_human_MF_efferocytosis	gene	CASP3	True					
GSE169160_human_MF_efferocytosis	gene	CD163	True					
GSE169160_human_MF_efferocytosis	gene	CD36	True					
GSE169160_human_MF_efferocytosis	gene	CD74	True					
GSE169160_human_MF_efferocytosis	gene	CIITA	True					
GSE169160_human_MF_efferocytosis	gene	COL1A1	True					
GSE169160_human_MF_efferocytosis	gene	COL1A2	True					
GSE169160_human_MF_efferocytosis	gene	COL3A1	True					
GSE169160_human_MF_efferocytosis	gene	CTGF	False					
GSE169160_human_MF_efferocytosis	gene	CTSB	True					
GSE169160_human_MF_efferocytosis	gene	CTSD	True					
GSE169160_human_MF_efferocytosis	gene	CTSL	True					
GSE169160_human_MF_efferocytosis	gene	CTSS	True					
GSE169160_human_MF_efferocytosis	gene	CXCL10	True					
GSE169160_human_MF_efferocytosis	gene	DDIT3	True					
GSE169160_human_MF_efferocytosis	gene	DNAJB1	True					
GSE169160_human_MF_efferocytosis	gene	F13A1	True					
GSE169160_human_MF_efferocytosis	gene	FN1	True					
GSE169160_human_MF_efferocytosis	gene	FOS	True					
GSE169160_human_MF_efferocytosis	gene	FPR2	True					
GSE169160_human_MF_efferocytosis	gene	GAS6	True					
GSE169160_human_MF_efferocytosis	gene	GBP1	True					
GSE169160_human_MF_efferocytosis	gene	GPNMB	True					
GSE169160_human_MF_efferocytosis	gene	H2-AA	False					
GSE169160_human_MF_efferocytosis	gene	H2-AB1	False					
GSE169160_human_MF_efferocytosis	gene	H2-DMA	False					
GSE169160_human_MF_efferocytosis	gene	H2-DMB1	False					
GSE169160_human_MF_efferocytosis	gene	H2-EB1	False					
GSE169160_human_MF_efferocytosis	gene	HLA-DMA	True					
GSE169160_human_MF_efferocytosis	gene	HLA-DMB	True					
GSE169160_human_MF_efferocytosis	gene	HLA-DPA1	True					
GSE169160_human_MF_efferocytosis	gene	HLA-DPB1	True					
GSE169160_human_MF_efferocytosis	gene	HLA-DRA	True					
GSE169160_human_MF_efferocytosis	gene	HLA-DRB1	True					
GSE169160_human_MF_efferocytosis	gene	HSP90AA1	True					
GSE169160_human_MF_efferocytosis	gene	HSPA1A	True					
GSE169160_human_MF_efferocytosis	gene	HSPA1B	True					
GSE169160_human_MF_efferocytosis	gene	IFI30	True					
GSE169160_human_MF_efferocytosis	gene	IFI44	True					
GSE169160_human_MF_efferocytosis	gene	IFI44L	True					
GSE169160_human_MF_efferocytosis	gene	IFIT1	True					
GSE169160_human_MF_efferocytosis	gene	IFIT2	True					
GSE169160_human_MF_efferocytosis	gene	IFIT3	True					
GSE169160_human_MF_efferocytosis	gene	IFITM3	True					
GSE169160_human_MF_efferocytosis	gene	IL10	True					
GSE169160_human_MF_efferocytosis	gene	IRF1	True					
GSE169160_human_MF_efferocytosis	gene	IRF7	True					
GSE169160_human_MF_efferocytosis	gene	ISG15	True					
GSE169160_human_MF_efferocytosis	gene	JUN	True					
GSE169160_human_MF_efferocytosis	gene	LAMP1	True					
GSE169160_human_MF_efferocytosis	gene	LAMP2	True					
GSE169160_human_MF_efferocytosis	gene	LIPA	True					
GSE169160_human_MF_efferocytosis	gene	LPL	True					
GSE169160_human_MF_efferocytosis	gene	LYVE1	True					
GSE169160_human_MF_efferocytosis	gene	MARCO	True					
GSE169160_human_MF_efferocytosis	gene	MERTK	True					
GSE169160_human_MF_efferocytosis	gene	MRC1	True					
GSE169160_human_MF_efferocytosis	gene	MX1	True					
GSE169160_human_MF_efferocytosis	gene	NR1H2	True					
GSE169160_human_MF_efferocytosis	gene	NR1H3	True					
GSE169160_human_MF_efferocytosis	gene	OAS1	True					
GSE169160_human_MF_efferocytosis	gene	OAS1A	False					
GSE169160_human_MF_efferocytosis	gene	PLIN2	True					
GSE169160_human_MF_efferocytosis	gene	PPARD	True					
GSE169160_human_MF_efferocytosis	gene	PPARG	True					
GSE169160_human_MF_efferocytosis	gene	PROS1	True					
GSE169160_human_MF_efferocytosis	gene	RXRA	True					
GSE169160_human_MF_efferocytosis	gene	SPP1	True					
GSE169160_human_MF_efferocytosis	gene	STAT1	True					
GSE169160_human_MF_efferocytosis	gene	TGFB1	True					
GSE169160_human_MF_efferocytosis	gene	TREM2	True					
GSE169160_human_MF_efferocytosis	gene	TYRO3	True					
GSE169160_human_MF_efferocytosis	gene	TYROBP	True					
GSE169160_human_MF_efferocytosis	gene	VSIG4	True					
GSE169160_human_MF_efferocytosis	gene	XBP1	True					
GSE169160_human_MF_efferocytosis	submodule	tam_receptor_ligand	True	5.0	5.0	AXL;GAS6;MERTK;PROS1;TYRO3		resolution
GSE169160_human_MF_efferocytosis	submodule	fpr2_anxa1_axis	True	2.0	2.0	ANXA1;FPR2		resolution
GSE169160_human_MF_efferocytosis	submodule	lxr_efflux	True	4.0	4.0	ABCA1;ABCG1;NR1H2;NR1H3		resolution
GSE169160_human_MF_efferocytosis	submodule	trem2_lipid_sensing	True	4.0	4.0	APOE;LPL;TREM2;TYROBP		resolution
GSE169160_human_MF_efferocytosis	submodule	scavenger_receptors	True	4.0	4.0	CD163;CD36;MARCO;MRC1		resolution
GSE169160_human_MF_efferocytosis	submodule	complement_efferocytosis	True	4.0	4.0	C1QA;C1QB;C1QC;VSIG4		resolution
GSE169160_human_MF_efferocytosis	submodule	repair_cytokine_matrix	True	4.0	4.0	F13A1;IL10;LYVE1;TGFB1		resolution
GSE169160_human_MF_efferocytosis	submodule	mhcII_ciita	True	9.0	14.0	CD74;CIITA;HLA-DMA;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DRA;HLA-DRB1;IFI30	H2-AA;H2-AB1;H2-DMA;H2-DMB1;H2-EB1	lipid_apc
GSE169160_human_MF_efferocytosis	submodule	cathepsin_lysosome	True	7.0	7.0	CTSB;CTSD;CTSL;CTSS;LAMP1;LAMP2;LIPA		lipid_apc
GSE169160_human_MF_efferocytosis	submodule	foam_dam_lipid	True	6.0	6.0	APOE;GPNMB;LPL;PLIN2;SPP1;TYROBP		lipid_apc
GSE169160_human_MF_efferocytosis	submodule	ifn_core	True	14.0	15.0	CXCL10;GBP1;IFI44;IFI44L;IFIT1;IFIT2;IFIT3;IFITM3;IRF1;IRF7;ISG15;MX1;OAS1;STAT1	OAS1A	guardrail
GSE169160_human_MF_efferocytosis	submodule	stress_core	True	11.0	11.0	ATF4;BAX;CASP3;DDIT3;DNAJB1;FOS;HSP90AA1;HSPA1A;HSPA1B;JUN;XBP1		guardrail
GSE169160_human_MF_efferocytosis	submodule	fibrosis_core	True	6.0	7.0	ACTA2;COL1A1;COL1A2;COL3A1;FN1;TGFB1	CTGF	guardrail
GSE253577_mouse_efferocytosis_timecourse	gene	ABCA1	True					
GSE253577_mouse_efferocytosis_timecourse	gene	ABCG1	True					
GSE253577_mouse_efferocytosis_timecourse	gene	ACTA2	True					
GSE253577_mouse_efferocytosis_timecourse	gene	ANXA1	True					
GSE253577_mouse_efferocytosis_timecourse	gene	APOE	True					
GSE253577_mouse_efferocytosis_timecourse	gene	ATF4	True					
GSE253577_mouse_efferocytosis_timecourse	gene	AXL	True					
GSE253577_mouse_efferocytosis_timecourse	gene	BAX	True					
GSE253577_mouse_efferocytosis_timecourse	gene	C1QA	True					
GSE253577_mouse_efferocytosis_timecourse	gene	C1QB	True					
GSE253577_mouse_efferocytosis_timecourse	gene	C1QC	True					
GSE253577_mouse_efferocytosis_timecourse	gene	CASP3	True					
GSE253577_mouse_efferocytosis_timecourse	gene	CD163	True					
GSE253577_mouse_efferocytosis_timecourse	gene	CD36	True					
GSE253577_mouse_efferocytosis_timecourse	gene	CD74	True					
GSE253577_mouse_efferocytosis_timecourse	gene	CIITA	True					
GSE253577_mouse_efferocytosis_timecourse	gene	COL1A1	True					
GSE253577_mouse_efferocytosis_timecourse	gene	COL1A2	True					
GSE253577_mouse_efferocytosis_timecourse	gene	COL3A1	True					
GSE253577_mouse_efferocytosis_timecourse	gene	CTGF	False					
GSE253577_mouse_efferocytosis_timecourse	gene	CTSB	True					
GSE253577_mouse_efferocytosis_timecourse	gene	CTSD	True					
GSE253577_mouse_efferocytosis_timecourse	gene	CTSL	True					
GSE253577_mouse_efferocytosis_timecourse	gene	CTSS	True					
GSE253577_mouse_efferocytosis_timecourse	gene	CXCL10	True					
GSE253577_mouse_efferocytosis_timecourse	gene	DDIT3	True					
GSE253577_mouse_efferocytosis_timecourse	gene	DNAJB1	True					
GSE253577_mouse_efferocytosis_timecourse	gene	F13A1	True					
GSE253577_mouse_efferocytosis_timecourse	gene	FN1	True					
GSE253577_mouse_efferocytosis_timecourse	gene	FOS	True					
GSE253577_mouse_efferocytosis_timecourse	gene	FPR2	True					
GSE253577_mouse_efferocytosis_timecourse	gene	GAS6	True					
GSE253577_mouse_efferocytosis_timecourse	gene	GBP1	False					
GSE253577_mouse_efferocytosis_timecourse	gene	GPNMB	True					
GSE253577_mouse_efferocytosis_timecourse	gene	H2-AA	True					
GSE253577_mouse_efferocytosis_timecourse	gene	H2-AB1	True					
GSE253577_mouse_efferocytosis_timecourse	gene	H2-DMA	True					
GSE253577_mouse_efferocytosis_timecourse	gene	H2-DMB1	True					
GSE253577_mouse_efferocytosis_timecourse	gene	H2-EB1	True					
GSE253577_mouse_efferocytosis_timecourse	gene	HLA-DMA	False					
GSE253577_mouse_efferocytosis_timecourse	gene	HLA-DMB	False					
GSE253577_mouse_efferocytosis_timecourse	gene	HLA-DPA1	False					
GSE253577_mouse_efferocytosis_timecourse	gene	HLA-DPB1	False					
GSE253577_mouse_efferocytosis_timecourse	gene	HLA-DRA	False					
GSE253577_mouse_efferocytosis_timecourse	gene	HLA-DRB1	False					
GSE253577_mouse_efferocytosis_timecourse	gene	HSP90AA1	True					
GSE253577_mouse_efferocytosis_timecourse	gene	HSPA1A	True					
GSE253577_mouse_efferocytosis_timecourse	gene	HSPA1B	True					
GSE253577_mouse_efferocytosis_timecourse	gene	IFI30	True					
GSE253577_mouse_efferocytosis_timecourse	gene	IFI44	True					
GSE253577_mouse_efferocytosis_timecourse	gene	IFI44L	True					
GSE253577_mouse_efferocytosis_timecourse	gene	IFIT1	True					
GSE253577_mouse_efferocytosis_timecourse	gene	IFIT2	True					
GSE253577_mouse_efferocytosis_timecourse	gene	IFIT3	True					
GSE253577_mouse_efferocytosis_timecourse	gene	IFITM3	True					
GSE253577_mouse_efferocytosis_timecourse	gene	IL10	True					
GSE253577_mouse_efferocytosis_timecourse	gene	IRF1	True					
GSE253577_mouse_efferocytosis_timecourse	gene	IRF7	True					
GSE253577_mouse_efferocytosis_timecourse	gene	ISG15	True					
GSE253577_mouse_efferocytosis_timecourse	gene	JUN	True					
GSE253577_mouse_efferocytosis_timecourse	gene	LAMP1	True					
GSE253577_mouse_efferocytosis_timecourse	gene	LAMP2	True					
GSE253577_mouse_efferocytosis_timecourse	gene	LIPA	True					
GSE253577_mouse_efferocytosis_timecourse	gene	LPL	True					
GSE253577_mouse_efferocytosis_timecourse	gene	LYVE1	True					
GSE253577_mouse_efferocytosis_timecourse	gene	MARCO	True					
GSE253577_mouse_efferocytosis_timecourse	gene	MERTK	True					
GSE253577_mouse_efferocytosis_timecourse	gene	MRC1	True					
GSE253577_mouse_efferocytosis_timecourse	gene	MX1	True					
GSE253577_mouse_efferocytosis_timecourse	gene	NR1H2	True					
GSE253577_mouse_efferocytosis_timecourse	gene	NR1H3	True					
GSE253577_mouse_efferocytosis_timecourse	gene	OAS1	False					
GSE253577_mouse_efferocytosis_timecourse	gene	OAS1A	True					
GSE253577_mouse_efferocytosis_timecourse	gene	PLIN2	True					
GSE253577_mouse_efferocytosis_timecourse	gene	PPARD	True					
GSE253577_mouse_efferocytosis_timecourse	gene	PPARG	True					
GSE253577_mouse_efferocytosis_timecourse	gene	PROS1	True					
GSE253577_mouse_efferocytosis_timecourse	gene	RXRA	True					
GSE253577_mouse_efferocytosis_timecourse	gene	SPP1	True					
GSE253577_mouse_efferocytosis_timecourse	gene	STAT1	True					
GSE253577_mouse_efferocytosis_timecourse	gene	TGFB1	True					
GSE253577_mouse_efferocytosis_timecourse	gene	TREM2	True					
GSE253577_mouse_efferocytosis_timecourse	gene	TYRO3	True					
GSE253577_mouse_efferocytosis_timecourse	gene	TYROBP	True					
GSE253577_mouse_efferocytosis_timecourse	gene	VSIG4	True					
GSE253577_mouse_efferocytosis_timecourse	gene	XBP1	True					
GSE253577_mouse_efferocytosis_timecourse	submodule	tam_receptor_ligand	True	5.0	5.0	AXL;GAS6;MERTK;PROS1;TYRO3		resolution
GSE253577_mouse_efferocytosis_timecourse	submodule	fpr2_anxa1_axis	True	2.0	2.0	ANXA1;FPR2		resolution
GSE253577_mouse_efferocytosis_timecourse	submodule	lxr_efflux	True	4.0	4.0	ABCA1;ABCG1;NR1H2;NR1H3		resolution
GSE253577_mouse_efferocytosis_timecourse	submodule	trem2_lipid_sensing	True	4.0	4.0	APOE;LPL;TREM2;TYROBP		resolution
GSE253577_mouse_efferocytosis_timecourse	submodule	scavenger_receptors	True	4.0	4.0	CD163;CD36;MARCO;MRC1		resolution
GSE253577_mouse_efferocytosis_timecourse	submodule	complement_efferocytosis	True	4.0	4.0	C1QA;C1QB;C1QC;VSIG4		resolution
GSE253577_mouse_efferocytosis_timecourse	submodule	repair_cytokine_matrix	True	4.0	4.0	F13A1;IL10;LYVE1;TGFB1		resolution
GSE253577_mouse_efferocytosis_timecourse	submodule	mhcII_ciita	True	8.0	14.0	CD74;CIITA;H2-AA;H2-AB1;H2-DMA;H2-DMB1;H2-EB1;IFI30	HLA-DMA;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DRA;HLA-DRB1	lipid_apc
GSE253577_mouse_efferocytosis_timecourse	submodule	cathepsin_lysosome	True	7.0	7.0	CTSB;CTSD;CTSL;CTSS;LAMP1;LAMP2;LIPA		lipid_apc
GSE253577_mouse_efferocytosis_timecourse	submodule	foam_dam_lipid	True	6.0	6.0	APOE;GPNMB;LPL;PLIN2;SPP1;TYROBP		lipid_apc
GSE253577_mouse_efferocytosis_timecourse	submodule	ifn_core	True	13.0	15.0	CXCL10;IFI44;IFI44L;IFIT1;IFIT2;IFIT3;IFITM3;IRF1;IRF7;ISG15;MX1;OAS1A;STAT1	GBP1;OAS1	guardrail
GSE253577_mouse_efferocytosis_timecourse	submodule	stress_core	True	11.0	11.0	ATF4;BAX;CASP3;DDIT3;DNAJB1;FOS;HSP90AA1;HSPA1A;HSPA1B;JUN;XBP1		guardrail
GSE253577_mouse_efferocytosis_timecourse	submodule	fibrosis_core	True	6.0	7.0	ACTA2;COL1A1;COL1A2;COL3A1;FN1;TGFB1	CTGF	guardrail
GSE325329_ifng_il10_phagocytic_macrophages	gene	ABCA1	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	ABCG1	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	ACTA2	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	ANXA1	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	APOE	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	ATF4	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	AXL	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	BAX	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	C1QA	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	C1QB	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	C1QC	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	CASP3	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	CD163	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	CD36	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	CD74	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	CIITA	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	COL1A1	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	COL1A2	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	COL3A1	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	CTGF	False					
GSE325329_ifng_il10_phagocytic_macrophages	gene	CTSB	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	CTSD	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	CTSL	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	CTSS	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	CXCL10	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	DDIT3	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	DNAJB1	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	F13A1	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	FN1	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	FOS	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	FPR2	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	GAS6	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	GBP1	False					
GSE325329_ifng_il10_phagocytic_macrophages	gene	GPNMB	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	H2-AA	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	H2-AB1	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	H2-DMA	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	H2-DMB1	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	H2-EB1	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	HLA-DMA	False					
GSE325329_ifng_il10_phagocytic_macrophages	gene	HLA-DMB	False					
GSE325329_ifng_il10_phagocytic_macrophages	gene	HLA-DPA1	False					
GSE325329_ifng_il10_phagocytic_macrophages	gene	HLA-DPB1	False					
GSE325329_ifng_il10_phagocytic_macrophages	gene	HLA-DRA	False					
GSE325329_ifng_il10_phagocytic_macrophages	gene	HLA-DRB1	False					
GSE325329_ifng_il10_phagocytic_macrophages	gene	HSP90AA1	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	HSPA1A	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	HSPA1B	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	IFI30	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	IFI44	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	IFI44L	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	IFIT1	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	IFIT2	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	IFIT3	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	IFITM3	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	IL10	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	IRF1	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	IRF7	True					
