disease	disease_id	study_id	trait_from_source	study_type	has_sumstats	n_cases	n_controls	n_samples	pubmed_id	publication_first_author	publication_date	mapped_diseases	credible_set_count	disease_study_count_from_api	study_cap
MS	MONDO_0005301	GCST001198	Multiple sclerosis	gwas	True	9772	16849	26621	21833088	Sawcer S	2011-08-11	multiple sclerosis	18	75	60
MS	MONDO_0005301	GCST001341	Multiple sclerosis	gwas	False	5545	12153	17698	22190364	Patsopoulos NA	2011-12-01	multiple sclerosis	1	75	60
MS	MONDO_0005301	GCST001459	Multiple sclerosis	gwas	False	197	234	431	22457343	Martinelli-Boneschi F	2012-03-28	multiple sclerosis	0	75	60
MS	MONDO_0005301	GCST001505	Multiple sclerosis	gwas	False	2127	4558	6685	22570697	Matesanz F	2012-05-03	multiple sclerosis	1	75	60
MS	MONDO_0005301	GCST001860	Multiple sclerosis	gwas	False	0	0	284	23412934	Gourraud PA	2013-02-13	multiple sclerosis	1	75	60
MS	MONDO_0005301	GCST001891	Multiple sclerosis (OCB status)	gwas	False	1528	0	1528	23472185	Mero IL	2013-03-05	multiple sclerosis	0	75	60
MS	MONDO_0005301	GCST001892	Multiple sclerosis (OCB status)	gwas	False	1528	428	1956	23472185	Mero IL	2013-03-05	multiple sclerosis;oligoclonal band measurement	0	75	60
MS	MONDO_0005301	GCST002072	Multiple sclerosis (OCB status)	gwas	False	562	0	562	23785401	Leone MA	2013-06-13	multiple sclerosis	0	75	60
MS	MONDO_0005301	GCST002274	Multiple sclerosis or amyotrophic lateral sclerosis	gwas	False	7850	12030	19880	24234648	Goris A	2013-11-13	amyotrophic lateral sclerosis;multiple sclerosis	0	75	60
MS	MONDO_0005301	GCST003340	Epstein Barr virus nuclear antigen 1 IgG levels or multiple sclerosis	gwas	False	5545	12153	23253	26819262	Zhou Y	2016-01-27	Epstein Barr virus nuclear antigen 1 IgG measurement;multiple sclerosis	1	75	60
MS	MONDO_0005301	GCST003566	Multiple sclerosis	gwas	True	4888	10395	15283	27386562	Andlauer TF	2016-06-17	multiple sclerosis	14	75	60
MS	MONDO_0005301	GCST004290	Multiple sclerosis	gwas	False	2273	2148	4421	28445677	Steri M	2017-04-27	multiple sclerosis	1	75	60
MS	MONDO_0005301	GCST005531	Multiple sclerosis	gwas	True	14498	24091	38589	24076602	Beecham AH	2013-11-01	multiple sclerosis	38	75	60
MS	MONDO_0005301	GCST007120	Multiple sclerosis and type 2 diabetes (pleiotropy)	gwas	False	0	0	49192	26920376	Wang Y	2016-02-26	multiple sclerosis;type 2 diabetes mellitus	1	75	60
MS	MONDO_0005301	GCST007121	Multiple sclerosis and C-reactive protein levels (pleiotropy)	gwas	False	0	0	93333	26920376	Wang Y	2016-02-26	C-reactive protein measurement;multiple sclerosis	1	75	60
MS	MONDO_0005301	GCST007122	Multiple sclerosis and triglyceride levels (pleiotropy)	gwas	False	0	0	215725	26920376	Wang Y	2016-02-26	multiple sclerosis;triglyceride measurement	1	75	60
MS	MONDO_0005301	GCST007123	Multiple sclerosis and LDL levels (pleiotropy)	gwas	False	0	0	215725	26920376	Wang Y	2016-02-26	low density lipoprotein cholesterol measurement;multiple sclerosis	0	75	60
MS	MONDO_0005301	GCST007124	Multiple sclerosis and HDL levels (pleiotropy)	gwas	False	0	0	215725	26920376	Wang Y	2016-02-26	high density lipoprotein cholesterol measurement;multiple sclerosis	0	75	60
MS	MONDO_0005301	GCST007125	Multiple sclerosis and systolic blood pressure (pleiotropy)	gwas	False	0	0	230204	26920376	Wang Y	2016-02-26	multiple sclerosis;systolic blood pressure	0	75	60
MS	MONDO_0005301	GCST007126	Multiple sclerosis and body mass index (pleiotropy)	gwas	False	0	0	151013	26920376	Wang Y	2016-02-26	body mass index;multiple sclerosis	0	75	60
MS	MONDO_0005301	GCST007127	Multiple sclerosis and waist-to-hip-ratio (pleiotropy)	gwas	False	0	0	104315	26920376	Wang Y	2016-02-26	multiple sclerosis;waist-hip ratio	0	75	60
MS	MONDO_0005301	GCST008718	Follicular lymphoma or multiple sclerosis	gwas	False	12458	25256	37714	31407831	Din L	2019-08-13	follicular lymphoma;multiple sclerosis	0	75	60
MS	MONDO_0005301	GCST008721	Chronic lymphocytic leukemia or multiple sclerosis	gwas	False	12264	24529	36793	31407831	Din L	2019-08-13	chronic lymphocytic leukemia;multiple sclerosis	4	75	60
MS	MONDO_0005301	GCST008722	Diffuse large B-cell lymphoma or multiple sclerosis	gwas	False	13389	24813	38202	31407831	Din L	2019-08-13	diffuse large B-cell lymphoma;multiple sclerosis	1	75	60
MS	MONDO_0005301	GCST008723	Marginal zone lymphoma or multiple sclerosis	gwas	False	10513	23367	33880	31407831	Din L	2019-08-13	marginal zone B-cell lymphoma;multiple sclerosis	0	75	60
MS	MONDO_0005301	GCST008910	Multiple traits (pleiotropy)	gwas	False	29898	28387	62103	30920090	Trochet H	2019-03-28	Barrett's esophagus;Parkinson disease;ankylosing spondylitis;bacteriemia;cardioembolic stroke;glaucoma;large artery stroke;mathematical ability;multiple sclerosis;pneumococcal bacteremia;psoriasis;psychosis;reading;response to metformin;schizophrenia;small vessel stroke;ulcerative colitis;visceral Leishmaniasis	0	75	60
MS	MONDO_0005301	GCST009597	Multiple sclerosis	gwas	False	14802	26703	41505	31604244	International Multiple Sclerosis Genetics Consortium	2019-09-01	multiple sclerosis	140	75	60
MS	MONDO_0005301	GCST011678	Depression in multiple sclerosis (post-diagnosis)	gwas	False	130	1180	1310	33296963	Brugger SW	2020-10-04	major depressive disorder;multiple sclerosis	0	75	60
MS	MONDO_0005301	GCST011679	Depression in multiple sclerosis (pre-diagnosis)	gwas	False	27	1180	1207	33296963	Brugger SW	2020-10-04	major depressive disorder;multiple sclerosis	0	75	60
MS	MONDO_0005301	GCST011680	Depression in multiple sclerosis	gwas	False	182	1180	1362	33296963	Brugger SW	2020-10-04	major depressive disorder;multiple sclerosis	0	75	60
MS	MONDO_0005301	GCST012218	Relapse in treatment-naive multiple sclerosis (time to event)	gwas	False	0	0	506	33704824	Vandebergh M	2021-03-11	disease recurrence;multiple sclerosis	1	75	60
MS	MONDO_0005301	GCST90014448	Multiple sclerosis	gwas	True	1683	324074	325757	34278373	Glanville KP	2021-06-01	multiple sclerosis	14	75	60
MS	MONDO_0005301	GCST90014449	Multiple sclerosis	gwas	True	1154	324074	325228	34278373	Glanville KP	2021-06-01	multiple sclerosis	15	75	60
MS	MONDO_0005301	GCST90043738	Multiple sclerosis (PheCode 335)	gwas	True	775	455573	456348	34737426	Jiang L	2021-11-04	multiple sclerosis	0	75	60
MS	MONDO_0005301	GCST90081725	Multiple sclerosis (Gene-based burden)	gwas	False	1596	330158	331754	34662886	Backman JD	2021-10-18	multiple sclerosis	0	75	60
MS	MONDO_0005301	GCST90081726	ICD10 G35: Multiple sclerosis (Gene-based burden)	gwas	False	1463	327589	329052	34662886	Backman JD	2021-10-18	multiple sclerosis	0	75	60
MS	MONDO_0005301	GCST90083808	ICD10 G35: Multiple sclerosis (Gene-based burden)	gwas	False	1634	386134	387768	34662886	Backman JD	2021-10-18	multiple sclerosis	0	75	60
MS	MONDO_0005301	GCST90103397	Source of report of G35 (multiple sclerosis) (UKB data field 131043)	gwas	False	806	169951	170757	36779085	Fitzgerald T	2022-08-10	multiple sclerosis	0	75	60
MS	MONDO_0005301	GCST90132190	Multiple sclerosis	gwas	False	1701	2345	4046	35545683	Sorosina M	2022-05-12	multiple sclerosis	4	75	60
MS	MONDO_0005301	GCST90297602	ICD10 G35: multiple sclerosis (CNV mirror model)	gwas	False	1403	292048	293451	38185688	Auwerx C	2024-01-08	multiple sclerosis	0	75	60
MS	MONDO_0005301	GCST90297656	ICD10 G35: multiple sclerosis (CNV U-shape model)	gwas	False	1403	292048	293451	38185688	Auwerx C	2024-01-08	multiple sclerosis	0	75	60
MS	MONDO_0005301	GCST90297752	ICD10 G35: multiple sclerosis (CNV deletion-only model)	gwas	False	1403	292048	293451	38185688	Auwerx C	2024-01-08	multiple sclerosis	0	75	60
MS	MONDO_0005301	GCST90302861	Rheumatoid arthritis or multiple sclerosis	gwas	False	6488	447182	453670	37377963	Wen YP	2023-06-12	multiple sclerosis;rheumatoid arthritis	3	75	60
RA	EFO_0000685	FINNGEN_R12_M13_RHEUMA	Rheumatoid arthritis	gwas	True	16314	315115	331429	36653562			rheumatoid arthritis	41	138	60
RA	EFO_0000685	FINNGEN_R12_RHEUMA_NOS	Other/unspecified rheumatoid arthritis	gwas	True	5042	495193	500235	36653562			rheumatoid arthritis	4	138	60
RA	EFO_0000685	FINNGEN_R12_RHEUMA_OTHER_WIDE	Other (seronegative) rheumatoid arthritis, wide	gwas	True	8048	492300	500348	36653562			rheumatoid arthritis	7	138	60
RA	EFO_0000685	GCST000040	Rheumatoid arthritis	gwas	False	1860	2938	4798	17554300	Wellcome Trust Case Control Consortium	2007-06-07	rheumatoid arthritis	1	138	60
RA	EFO_0000685	GCST000070	Rheumatoid arthritis	gwas	False	1522	1850	3372	17804836	Plenge RM	2007-09-05	rheumatoid arthritis	2	138	60
RA	EFO_0000685	GCST000122	Rheumatoid arthritis	gwas	False	397	1211	1608	17982456	Plenge RM	2007-11-04	rheumatoid arthritis	1	138	60
RA	EFO_0000685	GCST000217	Rheumatoid arthritis	gwas	False	400	400	800	18668548	Julia A	2008-08-01	rheumatoid arthritis	0	138	60
RA	EFO_0000685	GCST000232	Rheumatoid arthritis	gwas	False	3393	12460	15853	18794853	Raychaudhuri S	2008-09-14	rheumatoid arthritis	3	138	60
RA	EFO_0000685	GCST000420	Rheumatoid arthritis	gwas	False	2418	4504	6922	19503088	Gregersen PK	2009-06-07	rheumatoid arthritis	4	138	60
RA	EFO_0000685	GCST000677	Rheumatoid arthritis	gwas	False	2303	3380	5683	20453841	Kochi Y	2010-05-09	rheumatoid arthritis	1	138	60
RA	EFO_0000685	GCST000679	Rheumatoid arthritis	gwas	True	5539	20169	25708	20453842	Stahl EA	2010-05-09	rheumatoid arthritis	6	138	60
RA	EFO_0000685	GCST000917	Rheumatoid arthritis	gwas	False	1921	1079	3000	21156761	Padyukov L	2010-12-14	rheumatoid arthritis	1	138	60
RA	EFO_0000685	GCST001022	Rheumatoid arthritis	gwas	False	801	757	1558	21452313	Freudenberg J	2011-04-01	rheumatoid arthritis	0	138	60
RA	EFO_0000685	GCST001042	Rheumatoid arthritis	gwas	False	1247	1486	2733	21505073	Terao C	2011-04-19	rheumatoid arthritis	1	138	60
RA	EFO_0000685	GCST001203	Rheumatoid arthritis	gwas	False	100	600	700	21844665	Hu HJ	2011-08-16	rheumatoid arthritis	0	138	60
RA	EFO_0000685	GCST001454	Rheumatoid arthritis	gwas	False	4074	16891	20965	22446963	Okada Y	2012-03-25	rheumatoid arthritis	7	138	60
RA	EFO_0000685	GCST001681	Rheumatoid arthritis	gwas	False	2303	3380	5683	23028356	Myouzen K	2012-09-13	rheumatoid arthritis	2	138	60
RA	EFO_0000685	GCST002300	Rheumatoid arthritis	gwas	False	706	761	1467	23918589	Negi S	2013-12-01	rheumatoid arthritis	0	138	60
RA	EFO_0000685	GCST002318	Rheumatoid arthritis	gwas	True	19234	60565	79799	24390342	Okada Y	2013-12-25	rheumatoid arthritis	72	138	60
RA	EFO_0000685	GCST002323	Rheumatoid arthritis	gwas	False	3034	5271	8305	24449572	Orozco G	2014-01-01	rheumatoid arthritis	2	138	60
RA	EFO_0000685	GCST002357	Rheumatoid arthritis (ACPA-negative)	gwas	False	1148	6008	7156	24532677	Bossini-Castillo L	2014-02-14	rheumatoid arthritis	0	138	60
RA	EFO_0000685	GCST002433	Rheumatoid arthritis	gwas	False	952	943	1895	24782177	Jiang L	2014-05-01	rheumatoid arthritis	3	138	60
RA	EFO_0000685	GCST002434	Rheumatoid arthritis	gwas	False	952	943	1895	24782177	Jiang L	2014-05-01	rheumatoid arthritis	2	138	60
RA	EFO_0000685	GCST003620	Systemic lupus erythematosus or rheumatoid arthritis	gwas	False	6148	10398	16546	27193031	Marquez A	2016-05-18	rheumatoid arthritis;systemic lupus erythematosus	6	138	60
RA	EFO_0000685	GCST004172	Rheumatoid arthritis	gwas	False	511	352	863	28118524	Saxena R	2017-01-24	rheumatoid arthritis	1	138	60
RA	EFO_0000685	GCST004173	Rheumatoid arthritis (rheumatoid factor and anti-cyclic citrullinated peptide seronegative)	gwas	False	154	352	506	28118524	Saxena R	2017-01-24	rheumatoid arthritis	0	138	60
RA	EFO_0000685	GCST004174	Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive)	gwas	False	357	352	709	28118524	Saxena R	2017-01-24	anti-citrullinated protein antibody seropositivity;rheumatoid arthritis;rheumatoid factor seropositivity measurement	1	138	60
RA	EFO_0000685	GCST004998	Severe progression in rheumatoid arthritis	gwas	False	120	118	238	29065906	Joo YB	2017-10-25	disease progression measurement;rheumatoid arthritis	0	138	60
RA	EFO_0000685	GCST005319	Frontotemporal dementia and immune-mediated diseases (pleiotropy)	gwas	False	129419	131573	133727	29315334	Broce I	2018-01-09	Crohn's disease;celiac disease;frontotemporal dementia;psoriasis;rheumatoid arthritis;ulcerative colitis	0	138	60
RA	EFO_0000685	GCST005320	Progressive supranuclear palsy and immune-mediated diseases (pleiotropy)	gwas	False	128379	130512	131626	29315334	Broce I	2018-01-09	Crohn's disease;celiac disease;progressive supranuclear palsy;psoriasis;rheumatoid arthritis;type 1 diabetes mellitus;ulcerative colitis	0	138	60
RA	EFO_0000685	GCST005321	Amyotrophic lateral sclerosis and immune-mediated diseases (pleiotropy)	gwas	False	139842	150740	163317	29315334	Broce I	2018-01-09	Crohn's disease;amyotrophic lateral sclerosis;celiac disease;psoriasis;rheumatoid arthritis;type 1 diabetes mellitus;ulcerative colitis	0	138	60
RA	EFO_0000685	GCST005322	Corticobasal degeneration and immune-mediated diseases (pleiotropy)	gwas	False	127417	130576	130728	29315334	Broce I	2018-01-09	Crohn's disease;celiac disease;corticobasal degeneration disorder;psoriasis;rheumatoid arthritis;type 1 diabetes mellitus;ulcerative colitis	0	138	60
RA	EFO_0000685	GCST005562	Rheumatoid arthritis	gwas	False	263	263	263	25014791	Govind N	2014-08-14	rheumatoid arthritis	0	138	60
RA	EFO_0000685	GCST005563	Primary sclerosing cholangitis associated immune-mediated diseases (Crohn's disease, celiac disease, psoriasis, rheumatoid arthritis, sarcoidosis, type 1 diabetes or ulcerative colitis) (pleiotropy)	gwas	False	37492	106357	143849	23603763	Liu JZ	2013-06-01	Crohn's disease;celiac disease;psoriasis;rheumatoid arthritis;sarcoidosis;sclerosing cholangitis;type 1 diabetes mellitus;ulcerative colitis	0	138	60
RA	EFO_0000685	GCST005567	Rheumatoid arthritis (ACPA-negative)	gwas	False	3297	15870	19167	23143596	Eyre S	2012-12-01	rheumatoid arthritis	1	138	60
RA	EFO_0000685	GCST005568	Rheumatoid arthritis (ACPA-positive)	gwas	False	9585	33742	43327	23143596	Eyre S	2012-12-01	rheumatoid arthritis	25	138	60
RA	EFO_0000685	GCST005569	Rheumatoid arthritis	gwas	True	13838	33742	47580	23143596	Eyre S	2012-12-01	rheumatoid arthritis	9	138	60
RA	EFO_0000685	GCST005826	Sero-negative rheumatoid arthritis	gwas	False	3323	15785	19108	28706201	Wei WH	2017-07-13	rheumatoid arthritis	1	138	60
RA	EFO_0000685	GCST006048	Rheumatoid arthritis (ACPA-positive)	gwas	False	12522	42567	55089	24532676	Kim K	2014-02-14	rheumatoid arthritis	35	138	60
RA	EFO_0000685	GCST006410	ACPA-positive rheumatoid arthritis (smoking interaction)	gwas	False	833	1740	2573	26272072	Jiang X	2015-08-13	ACPA-positive rheumatoid arthritis;rheumatoid arthritis;smoking status measurement	0	138	60
RA	EFO_0000685	GCST006807	ACPA-negative rheumatoid arthritis (smoking interaction)	gwas	False	833	1740	2573	26272072	Jiang X	2015-08-13	ACPA-negative rheumatoid arthritis;rheumatoid arthritis;smoking status measurement	0	138	60
RA	EFO_0000685	GCST006959	Rheumatoid arthritis	gwas	False	916	1392	2308	30423114	Laufer VA	2018-11-13	rheumatoid arthritis	49	138	60
RA	EFO_0000685	GCST007278	Systemic seropositive rheumatic diseases (Systemic sclerosis or systemic lupus erythematosus or rheumatoid arthritis or idiopathic inflammatory myopathies)	gwas	False	11704	19704	31408	30573655	Acosta-Herrera M	2018-12-20	myositis;rheumatoid arthritis;systemic lupus erythematosus;systemic scleroderma	17	138	60
RA	EFO_0000685	GCST007843	Rheumatoid arthritis	gwas	False	868	1194	2062	30891314	Saad MN	2019-01-18	rheumatoid arthritis	23	138	60
RA	EFO_0000685	GCST008644	Celiac disease and Rheumatoid arthritis	gwas	False	26200	20754	46954	26546613	Gutierrez-Achury J	2016-01-01	celiac disease;rheumatoid arthritis	20	138	60
RA	EFO_0000685	GCST008719	Follicular lymphoma or rheumatoid arthritis	gwas	False	6607	11959	18566	31407831	Din L	2019-08-13	follicular lymphoma;rheumatoid arthritis	0	138	60
RA	EFO_0000685	GCST008724	Chronic lymphocytic leukemia or rheumatoid arthritis	gwas	False	6413	11232	17645	31407831	Din L	2019-08-13	chronic lymphocytic leukemia;rheumatoid arthritis	1	138	60
RA	EFO_0000685	GCST008725	Diffuse large B-cell lymphoma or rheumatoid arthritis	gwas	False	7538	11516	19054	31407831	Din L	2019-08-13	diffuse large B-cell lymphoma;rheumatoid arthritis	0	138	60
RA	EFO_0000685	GCST008726	Marginal zone lymphoma or rheumatoid arthritis	gwas	False	4662	10070	14732	31407831	Din L	2019-08-13	marginal zone B-cell lymphoma;rheumatoid arthritis	2	138	60
RA	EFO_0000685	GCST009877	Rheumatoid arthritis	gwas	False	15523	22308	37831	30572963	Marquez A	2018-12-20	rheumatoid arthritis	12	138	60
RA	EFO_0000685	GCST010730	Rheumatoid arthritis	gwas	False	20261	64444	84705	32868391	Leng RX	2020-08-31	rheumatoid arthritis	2	138	60
RA	EFO_0000685	GCST011389	Rheumatoid arthritis	gwas	False	4068	36487	40555	32723749	Kwon YC	2020-07-28	rheumatoid arthritis	17	138	60
RA	EFO_0000685	GCST011558	Rheumatoid arthritis	gwas	False	1260	1570	2830	33514426	Tan LK	2021-01-30	rheumatoid arthritis	0	138	60
RA	EFO_0000685	GCST011619	Rheumatoid arthritis or schizophrenia	gwas	False	73055	138924	211979	32965087	Zamanpoor M	2020-09-23	rheumatoid arthritis;schizophrenia	0	138	60
RA	EFO_0000685	GCST012243	Total body bone mineral density or rheumatoid arthritis (pleiotropy)	gwas	False	0	0	124912	33740106	Liu YQ	2021-03-19	bone tissue density;rheumatoid arthritis	0	138	60
RA	EFO_0000685	GCST90013534	Rheumatoid arthritis	gwas	True	22628	288664	311292	33310728	Ha E	2020-12-11	rheumatoid arthritis	79	138	60
RA	EFO_0000685	GCST90013684	Rheumatoid arthritis	gwas	False	4199	208254	212453	32514122	Ishigaki K	2020-06-08	rheumatoid arthritis	6	138	60
RA	EFO_0000685	GCST90013726	Rheumatoid arthritis	gwas	False	874	108473	109347	32514122	Ishigaki K	2020-06-08	rheumatoid arthritis	0	138	60
RA	EFO_0000685	GCST90013761	Rheumatoid arthritis	gwas	False	3325	99781	103106	32514122	Ishigaki K	2020-06-08	rheumatoid arthritis	0	138	60
RA	EFO_0000685	GCST90014458	Rheumatoid arthritis	gwas	True	6360	324074	330434	34278373	Glanville KP	2021-06-01	rheumatoid arthritis	4	138	60
Crohn	EFO_0000384	FINNGEN_R12_CHRONLARGE	Crohn's disease of large intestine	gwas	True	2049	476577	478626	36653562			Crohn's disease	8	87	60
Crohn	EFO_0000384	FINNGEN_R12_CHRONNAS	Crohn's disease NAS	gwas	True	2602	476577	479179	36653562			Crohn's disease	11	87	60
Crohn	EFO_0000384	FINNGEN_R12_CHRONOTH	Other Crohn's disease	gwas	True	2819	476577	479396	36653562			Crohn's disease	20	87	60
Crohn	EFO_0000384	FINNGEN_R12_CROHN_ARTHR	Arthropathy in Crohn disease	gwas	True	355	495332	495687	36653562			Crohn's disease;joint disease	1	87	60
Crohn	EFO_0000384	FINNGEN_R12_K11_CD_STRICT2	Crohn disease (strict definition, require KELA, min 2 HDR)	gwas	True	2489	497622	500111	36653562			Crohn's disease	13	87	60
Crohn	EFO_0000384	FINNGEN_R12_K11_CD_STRICT_PSC	Crohn's disease (strict) with PSC	gwas	True	61	483193	483254	36653562			Crohn's disease;sclerosing cholangitis	0	87	60
Crohn	EFO_0000384	FINNGEN_R12_RX_CROHN_1STLINE	First line medication for Crohn's disease	gwas	True	106320	394028	500348	36653562			Crohn's disease	52	87	60
Crohn	EFO_0000384	FINNGEN_R12_RX_CROHN_2NDLINE	Second line medication for Crohn's disease	gwas	True	28457	471891	500348	36653562			Crohn's disease	37	87	60
Crohn	EFO_0000384	GCST000014	Crohn's disease	gwas	False	547	928	1475	17447842	Libioulle C	2007-03-05	Crohn's disease	2	87	60
Crohn	EFO_0000384	GCST000023	Crohn's disease	gwas	False	946	977	1923	17435756	Rioux JD	2007-04-15	Crohn's disease	4	87	60
Crohn	EFO_0000384	GCST000039	Crohn's disease	gwas	False	1748	2938	4686	17554261	Parkes M	2007-06-06	Crohn's disease	3	87	60
Crohn	EFO_0000384	GCST000042	Crohn's disease	gwas	False	1748	2938	4686	17554300	Wellcome Trust Case Control Consortium	2007-06-07	Crohn's disease	4	87	60
Crohn	EFO_0000384	GCST000066	Crohn's disease	gwas	False	393	399	792	17684544	Franke A	2007-08-08	Crohn's disease	1	87	60
Crohn	EFO_0000384	GCST000071	Crohn's disease	gwas	False	0	0	382	17804789	Raelson JV	2007-09-05	Crohn's disease	1	87	60
Crohn	EFO_0000384	GCST000207	Crohn's disease	gwas	False	3230	4829	8059	18587394	Barrett JC	2008-06-29	Crohn's disease	30	87	60
Crohn	EFO_0000384	GCST000212	Crohn's disease and sarcoidosis (combined)	gwas	False	780	394	1174	18723019	Franke A	2008-07-21	Crohn's disease;sarcoidosis	0	87	60
Crohn	EFO_0000384	GCST000705	Crohn's disease	gwas	False	896	3204	4100	20570966	McGovern DP	2010-06-22	Crohn's disease	1	87	60
Crohn	EFO_0000384	GCST000879	Crohn's disease	gwas	False	6333	15056	21389	21102463	Franke A	2010-11-21	Crohn's disease	66	87	60
Crohn	EFO_0000384	GCST000955	Crohn's disease and celiac disease	gwas	False	3998	6251	10249	21298027	Festen EA	2011-01-27	Crohn's disease;celiac disease	2	87	60
Crohn	EFO_0000384	GCST001118	Ulcerative colitis or Crohn's disease	gwas	False	744	0	744	21699788	Okada Y	2011-06-20	Crohn's disease;ulcerative colitis	1	87	60
Crohn	EFO_0000384	GCST001396	Crohn's disease	gwas	False	0	0	16179	22293688	Huang J	2012-02-01	Crohn's disease	1	87	60
Crohn	EFO_0000384	GCST001438	Crohn's disease	gwas	False	737	2257	2994	22412388	Kenny EE	2012-03-08	Crohn's disease	8	87	60
Crohn	EFO_0000384	GCST001473	Crohn's disease and psoriasis	gwas	False	4671	10460	15131	22482804	Ellinghaus D	2012-04-06	Crohn's disease;psoriasis	2	87	60
Crohn	EFO_0000384	GCST001652	Crohn's disease	gwas	False	1277	1488	2765	22936669	Julia A	2012-08-30	Crohn's disease	3	87	60
Crohn	EFO_0000384	GCST001729	Crohn's disease	gwas	False	12924	21442	34366	23128233	Jostins L	2012-11-01	Crohn's disease	27	87	60
Crohn	EFO_0000384	GCST001785	Crohn's disease	gwas	False	372	372	372	23266558	Yamazaki K	2012-12-21	Crohn's disease	5	87	60
Crohn	EFO_0000384	GCST002017	Crohn's disease (need for surgery)	gwas	False	614	0	614	23665963	Dubinsky MC	2013-05-09	Crohn's disease	0	87	60
Crohn	EFO_0000384	GCST002018	Crohn's disease (time to surgery)	gwas	False	983	0	983	23665963	Dubinsky MC	2013-05-09	Crohn's disease	0	87	60
Crohn	EFO_0000384	GCST002094	Crohn's disease	gwas	False	532	733	1265	23850713	Yang SK	2013-07-14	Crohn's disease	6	87	60
Crohn	EFO_0000384	GCST002729	Crohn's disease-related phenotypes	gwas	False	1090	0	1090	25557950	Alonso A	2014-12-31	Crohn's disease;mild disease course	0	87	60
Crohn	EFO_0000384	GCST002729_2	Crohn's disease-related phenotypes	gwas	False	1090	0	1090	25557950	Alonso A	2014-12-31	Crohn's disease;ileocolitis	0	87	60
Crohn	EFO_0000384	GCST002729_5	Crohn's disease-related phenotypes	gwas	False	1090	0	1090	25557950	Alonso A	2014-12-31	Crohn's disease;stricture	0	87	60
Crohn	EFO_0000384	GCST002729_6	Crohn's disease-related phenotypes	gwas	False	1090	0	1090	25557950	Alonso A	2014-12-31	Crohn's disease;complicated disease course;stricture	0	87	60
Crohn	EFO_0000384	GCST002729_7	Crohn's disease-related phenotypes	gwas	False	1090	0	1090	25557950	Alonso A	2014-12-31	Crohn's disease;Erythema nodosum	0	87	60
