gene	approved_name	wave62_score	wave62_call	manual_blocker	prior_context_blocker	max_l2g_score	best_l2g_disease	strong_l2g_disease_count	strong_l2g_diseases	supporting_l2g_disease_count	supporting_l2g_diseases	ms_max_l2g_score	ms_l2g_study_loci	strong_qtl_coloc_disease_count	strong_qtl_coloc_diseases	relevant_qtl_coloc_disease_count	relevant_qtl_coloc_diseases	myeloid_qtl_coloc_disease_count	max_qtl_h4	ms_max_qtl_h4	ms_max_relevant_qtl_h4	ms_relevant_qtl_biosamples	direction_proxy_values	local_positive_disease_count	local_negative_disease_count	local_positive_diseases	ms_wm_delta_log2	ms_wm_p	ms_wm_fdr	in_lipid_lysosomal_myeloid_neighborhood	residual_retained_disease_count	strict_core_covariate_surviving_disease_count	wave34_call	gwas_catalog_trait_count	chembl_target_id	druggable_activity_count	wave34a_call	wave34a_direction	wave34a_route_reason	wave55_score	wave55_genetic_diseases_ge_0_25	wave61_best_call	wave61_best_manual_blocker	wave61_best_target_suppression	wave61_best_selectivity
REL	REL proto-oncogene, NF-kB subunit	2.312713512395966	NO_GO_WAVE62_TARGET_RESOLUTION			0.8268141150474548	Psoriasis	2	Psoriasis;RA	2	Psoriasis;RA	0.1936674863100052		1	RA	1	RA	1	0.9858993973485114	0.0	0.0		RA:B cell:0;RA:B cell:0.117;RA:CD14-positive, CD16-negative classical monocyte:-0.117;RA:CD14-positive, CD16-negative classical monocyte:0.112;RA:CD14-positive, CD16-negative classical monocyte:0.117;RA:CD4-positive, alpha-beta T cell:0.112;RA:CD4-positive, alpha-beta T cell:0.117;RA:central memory CD4-positive, alpha-beta T cell:0.112;RA:central memory CD4-positive, alpha-beta T cell:0.117;RA:naive regulatory T cell:-0.112;RA:naive regulatory T cell:-0.117;RA:neutrophil:0	0.0	1.0		-0.1509134137793619	0.6665483510843021	0.9569967950692868	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	14.0		0.0				12.0	Psoriasis;RA;SLE;UC			0.0	0.0
C1QTNF6	C1q and TNF related 6	2.312651540604389	NO_GO_WAVE62_TARGET_RESOLUTION			0.8201317191123962	T1D	1	T1D	1	T1D	0.0		1	T1D	1	T1D	1	0.9925198214919928	0.0	0.0		T1D:blood:0;T1D:blood:0.102;T1D:body of pancreas:0.102;T1D:dorsolateral prefrontal cortex:0.102;T1D:neutrophil:0.102;T1D:right lobe of liver:0;T1D:right lobe of liver:0.102;T1D:skin of body:0.102	2.0	0.0	Crohn disease;ulcerative colitis	0.329421622047823	0.2542292601383649	0.9014439026392036	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	6.0		0.0				10.0	AITD;T1D			0.0	0.0
CARMIL1	capping protein regulator and myosin 1 linker 1	2.3088349103927612	NO_GO_WAVE62_TARGET_RESOLUTION			0.8088349103927612	T1D	3	Celiac;RA;T1D	3	Celiac;RA;T1D	0.0		0		0		0	0.0	0.0	0.0			3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0.0	1.0	1.0	False	0.0	0.0	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	9.0		0.0				21.0	Celiac;Psoriasis;RA;SLE;T1D;UC			0.0	0.0
SYNGR1	synaptogyrin 1	2.303854318050463	NO_GO_WAVE62_TARGET_RESOLUTION			0.8054214119911194	PBC	2	PBC;RA	2	PBC;RA	0.0		3	PBC;RA;UC	2	PBC;RA	0	0.9984329060593439	0.0	0.0		PBC:B cell:0;PBC:B cell:0.259;PBC:CD8-positive, alpha-beta T cell:0.237;PBC:blood:-0.0525;PBC:blood:0;PBC:blood:0.237;PBC:blood:0.259;PBC:lymphoblastoid cell line:0.237;PBC:lymphoblastoid cell line:0.259;PBC:spleen:0.237;RA:B cell:0;RA:B cell:0.113;RA:CD8-positive, alpha-beta T cell:0.113;RA:CD8-positive, alpha-beta T cell:0.13;RA:T cell:0.13;RA:blood:0;RA:blood:0.113;RA:blood:0.13;RA:lymphoblastoid cell line:0;RA:lymphoblastoid cell line:0.113;RA:lymphoblastoid cell line:0.13;RA:spleen:0.113;RA:spleen:0.13	1.0	0.0	type 1 diabetes mellitus	-0.2105182378681167	0.4622553906015838	0.9239963547089984	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	13.0		0.0				17.0	Crohn;PBC;RA;SLE;UC			0.0	0.0
JAK1	Janus kinase 1	2.30292946100235	NO_GO_WAVE62_TARGET_RESOLUTION			0.8029294610023499	RA	1	RA	1	RA	0.0		0		0		0	0.0	0.0	0.0			2.0	2.0	Crohn disease;ulcerative colitis	0.2576120813511604	0.060997046211002	0.8989378106274888	False	2.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.0		0.0				12.5	AITD;MS;RA	NO_GO_WAVE61_GUARDRAIL	generic_JAK_collapse	1.0321591183170895	0.1522168759847912
CD244	CD244 molecule	2.301704416106368	NO_GO_WAVE62_TARGET_RESOLUTION			0.803035318851471	Crohn	1	Crohn	1	Crohn	0.0		3	AS;Psoriasis;T1D	3	AS;Psoriasis;T1D	0	0.998669097254897	0.0	0.0		AS:blood plasma:0.00865;AS:blood plasma:0.0598;Psoriasis:blood plasma:0.0149;Psoriasis:blood plasma:0.0312;Psoriasis:blood plasma:0.0332;Psoriasis:blood plasma:0.0893;T1D:blood plasma:-0.143	1.0	0.0	ulcerative colitis	1.2093119925839213	0.1635522057574946	0.8989378106274888	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	3.0		0.0				3.0	Crohn			0.0	0.0
JAZF1	JAZF zinc finger 1	2.299820983460056	NO_GO_WAVE62_TARGET_RESOLUTION			0.8195902705192566	RA	1	RA	1	RA	0.0		1	RA	1	RA	1	0.9802307129407997	0.0	0.0		RA:CD4-positive, alpha-beta T cell:-0;RA:CD4-positive, alpha-beta T cell:0.0782;RA:T-helper 1 cell:-0;RA:body of pancreas:-0;RA:lymphoblastoid cell line:-0;RA:memory regulatory T cell:0.0782;RA:microglial cell:-0;RA:microglial cell:0.0782;RA:naive regulatory T cell:-0	0.0	0.0		-0.5307690698614227	0.0395106029515515	0.85672364651018	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	10.0		0.0				22.0	AS;Crohn;MS;Psoriasis;RA;SLE;T1D;UC			0.0	0.0
ACTR2	actin related protein 2	2.297014057636261	NO_GO_WAVE62_TARGET_RESOLUTION			0.797014057636261	Psoriasis	1	Psoriasis	1	Psoriasis	0.0		0		0		0	0.0	0.0	0.0			3.0	0.0	Crohn disease;psoriasis;ulcerative colitis	0.1140154602787912	0.5118160429275626	0.9331606046263462	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	1.0		0.0				5.0	Psoriasis			0.0	0.0
CARD14	caspase recruitment domain family member 14	2.2929934336490434	NO_GO_WAVE62_TARGET_RESOLUTION			0.8058624267578125	Psoriasis	1	Psoriasis	1	Psoriasis	0.0		1	Psoriasis	1	Psoriasis	1	0.9871310068912309	0.0	0.0		Psoriasis:frontal cortex:-0.0797;Psoriasis:macrophage:-0.0797;Psoriasis:skin of body:-0.0797;Psoriasis:spleen:0.0797;Psoriasis:thyroid gland:-0	2.0	0.0	Crohn disease;psoriasis	0.3500732981871346	0.7375647437617576	0.9693303715651268	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	6.0		0.0				6.0	Psoriasis			0.0	0.0
EXOC2	exocyst complex component 2	2.27592099203897	NO_GO_WAVE62_TARGET_RESOLUTION			0.7799025177955627	Psoriasis	1	Psoriasis	1	Psoriasis	0.0		1	Psoriasis	1	Psoriasis	1	0.9960184742434071	0.0	0.0		Psoriasis:CD14-positive, CD16-negative classical monocyte:-0.0352;Psoriasis:CD14-positive, CD16-negative classical monocyte:-0.0374;Psoriasis:CD14-positive, CD16-negative classical monocyte:0.0352;Psoriasis:CD14-positive, CD16-negative classical monocyte:0.0374;Psoriasis:CD4-positive, alpha-beta T cell:0.0352;Psoriasis:CD4-positive, alpha-beta T cell:0.0374;Psoriasis:blood:-0.0352;Psoriasis:blood:-0.0374;Psoriasis:blood:0.0352;Psoriasis:blood:0.0374;Psoriasis:dorsolateral prefrontal cortex:-0.0352;Psoriasis:naive regulatory T cell:0.0352;Psoriasis:naive regulatory T cell:0.0374;Psoriasis:neutrophil:-0.0352;Psoriasis:neutrophil:-0.0374;Psoriasis:spleen:0.0352;Psoriasis:spleen:0.0374;Psoriasis:thyroid gland:-0.0352;Psoriasis:thyroid gland:-0.0374;Psoriasis:transverse colon:0.0352;Psoriasis:transverse colon:0.0374	0.0	0.0		-0.0528574425553269	0.8495367661133528	0.976912033303786	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	7.0		0.0				6.0	AS;Psoriasis			0.0	0.0
NELL1	neural EGFL like 1	2.274192386913878	NO_GO_WAVE62_TARGET_RESOLUTION			0.7746005654335022	AITD	1	AITD	1	AITD	0.0		1	Crohn	1	Crohn	0	0.9995918214803756	0.0	0.0		Crohn:blood plasma:0.0336	0.0	0.0		0.0	1.0	1.0	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.0		0.0				2.0	AITD			0.0	0.0
MAP3K8	mitogen-activated protein kinase kinase kinase 8	2.2731012788481495	NO_GO_WAVE62_TARGET_RESOLUTION			0.7886596322059631	Crohn	1	Crohn	1	Crohn	0.0		1	Crohn	1	Crohn	1	0.9844416466421863	0.0	0.0		Crohn:CD14-positive, CD16-negative classical monocyte:-0.0213;Crohn:CD14-positive, CD16-negative classical monocyte:0.0213;Crohn:CD14-positive, CD16-negative classical monocyte:0.0254;Crohn:blood:-0.0213;Crohn:fibroblast:-0.0213;Crohn:lymphoblastoid cell line:-0.0213;Crohn:lymphoblastoid cell line:0.0213;Crohn:macrophage:-0.0213;Crohn:skin of body:-0.0213;Crohn:skin of body:0.0213;Crohn:spleen:0.0213;Crohn:suprapubic skin:0.0213;Crohn:thyroid gland:-0.0213;Crohn:transverse colon:-0.0213	2.0	0.0	Crohn disease;ulcerative colitis	-0.3154157705852274	0.353912834221494	0.9141270983319502	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	5.0		0.0				16.0	AS;Crohn;Psoriasis;RA;UC			0.0	0.0
STAT3	signal transducer and activator of transcription 3	2.2688524638918146	NO_GO_WAVE62_TARGET_RESOLUTION			0.7849382162094116	UC	2	Crohn;UC	2	Crohn;UC	0.0		2	Crohn;UC	2	Crohn;UC	2	0.9839142476824031	0.0	0.0		Crohn:CD14-positive, CD16-negative classical monocyte:-0.0273;Crohn:CD8-positive, alpha-beta T cell:0.0273;Crohn:blood plasma:-0.0273;Crohn:macrophage:0.0273;Crohn:skin of body:-0.0273;UC:CD14-positive, CD16-negative classical monocyte:-0.00314;UC:CD14-positive, CD16-negative classical monocyte:-0.00465;UC:CD8-positive, alpha-beta T cell:0.00314;UC:CD8-positive, alpha-beta T cell:0.00465;UC:CD8-positive, alpha-beta T cell:0.0279;UC:blood plasma:-0.00314;UC:blood plasma:-0.00465;UC:macrophage:0.00314;UC:macrophage:0.00465;UC:macrophage:0.0279;UC:skin of body:-0.00314;UC:skin of body:-0.0279	2.0	0.0	Crohn disease;ulcerative colitis	-0.0052452399033047	0.9827297093959808	0.9982687727683835	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	13.0	CHEMBL4296101	0.0				20.0	AS;Crohn;MS;Psoriasis;UC	NO_GO_WAVE61_GUARDRAIL		0.0	-0.006237879831838
RORC	RAR related orphan receptor C	2.267322736188217	NO_GO_WAVE62_TARGET_RESOLUTION			0.768138587474823	UC	1	UC	2	Psoriasis;UC	0.0		1	UC	1	UC	0	0.9991841487133939	0.0	0.0		UC:body of pancreas:-0.119;UC:right lobe of liver:-0.119;UC:skin of body:-0.119;UC:suprapubic skin:-0.119;UC:thyroid gland:-0.119	0.0	0.0		-1.5914755243808396	0.1986659018065236	0.8993702893651148	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	7.0		0.0				12.0	AS;Crohn;Psoriasis;RA;UC			0.0	0.0
EMSY	EMSY transcriptional repressor, BRCA2 interacting	2.26664102271382	NO_GO_WAVE62_TARGET_RESOLUTION			0.8144042491912842	Psoriasis	1	Psoriasis	2	Crohn;Psoriasis	0.0		2	Crohn;Psoriasis	1	Psoriasis	0	0.9522367735225358	0.0	0.0		Psoriasis:dorsolateral prefrontal cortex:2.86	0.0	3.0		0.258466101179799	0.3540755648459632	0.9141270983319502	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	12.0		0.0				4.0	Crohn;Psoriasis			0.0	0.0
RNF114	ring finger protein 114	2.2641989046934112	NO_GO_WAVE62_TARGET_RESOLUTION			0.8029876351356506	Psoriasis	1	Psoriasis	1	Psoriasis	0.0		1	Psoriasis	1	Psoriasis	1	0.9612112695577608	0.0	0.0		Psoriasis:CD14-positive, CD16-negative classical monocyte:0.00602;Psoriasis:CD14-positive, CD16-negative classical monocyte:0.00981;Psoriasis:CD14-positive, CD16-negative classical monocyte:0.0396;Psoriasis:CD14-positive, CD16-negative classical monocyte:0.04	2.0	1.0	Crohn disease;ulcerative colitis	0.0255523480037602	0.9159266322384516	0.9882111716135832	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	4.0		0.0				6.0	Psoriasis	NO_GO_WAVE61_GUARDRAIL		0.0	-0.0561619748984837
COG6	component of oligomeric golgi complex 6	2.263818392905927	NO_GO_WAVE62_TARGET_RESOLUTION			0.7784472703933716	Crohn	2	Crohn;RA	2	Crohn;RA	0.0		2	Crohn;RA	2	Crohn;RA	1	0.9853711225125554	0.0	0.0		Crohn:CD14-positive, CD16-negative classical monocyte:-0.00482;Crohn:CD14-positive, CD16-negative classical monocyte:0.00141;Crohn:dorsolateral prefrontal cortex:-0.00141;Crohn:dorsolateral prefrontal cortex:-0.00482;Crohn:dorsolateral prefrontal cortex:0.00141;Crohn:fibroblast:-0.00482;Crohn:macrophage:-0.00482;Crohn:neocortex:0.00141;Crohn:sigmoid colon:-0.00482;Crohn:sigmoid colon:0.00141;RA:dorsolateral prefrontal cortex:-0;RA:dorsolateral prefrontal cortex:-0.0118;RA:dorsolateral prefrontal cortex:-0.105;RA:dorsolateral prefrontal cortex:0.114	2.0	0.0	Crohn disease;type 1 diabetes mellitus	0.1548633904039249	0.5706498550414025	0.9431647247323408	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	9.0	CHEMBL4105962	0.0				12.0	Crohn;RA;SLE			0.0	0.0
PHTF1	putative homeodomain transcription factor 1	2.263402973763566	NO_GO_WAVE62_TARGET_RESOLUTION			0.8802325129508972	T1D	2	RA;T1D	2	RA;T1D	0.0		1	RA	1	RA	1	0.8831704608126686	0.0	0.0		RA:CD14-positive, CD16-negative classical monocyte:1.85;RA:dorsolateral prefrontal cortex:1.85;RA:fibroblast:1.85;RA:lymphoblastoid cell line:-1.85;RA:macrophage:1.85	2.0	0.0	Crohn disease;psoriasis	-0.1212720079658193	0.6676632545363278	0.9574348457395032	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	23.0		0.0				12.0	Crohn;RA;T1D			0.0	0.0
TNFRSF6B	TNF receptor superfamily member 6b	2.263159696910598	NO_GO_WAVE62_TARGET_RESOLUTION			0.76734858751297	Crohn	1	Crohn	2	Crohn;UC	0.0		3	Celiac;PBC;Psoriasis	3	Celiac;PBC;Psoriasis	0	0.9958111093976282	0.0	0.0		Celiac:blood plasma:-0.0106;PBC:blood plasma:-0.0502;Psoriasis:blood plasma:-0.011;Psoriasis:blood plasma:-0.0813	0.0	0.0		0.0	1.0	1.0	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	6.0		0.0				10.0	AS;Crohn;Psoriasis;UC			0.0	0.0
UBE2E3	ubiquitin conjugating enzyme E2 E3	2.2625288223915967	NO_GO_WAVE62_TARGET_RESOLUTION			0.8043472170829773	Psoriasis	1	Psoriasis	3	AS;Celiac;Psoriasis	0.0		3	AS;Celiac;Psoriasis	3	AS;Celiac;Psoriasis	1	0.9581816053086193	0.0	0.0		AS:spleen:0;Celiac:spleen:-0.00906;Celiac:spleen:0;Psoriasis:neutrophil:3.01	0.0	0.0		0.4550534375255495	0.036136415605021	0.8506970233122761	False	0.0	0.0	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	4.0		0.0				5.0	Celiac;Psoriasis			0.0	0.0
PDGFB	platelet derived growth factor subunit B	2.2624299591969153	NO_GO_WAVE62_TARGET_RESOLUTION			0.7638921737670898	Crohn	2	Crohn;UC	2	Crohn;UC	0.0		3	Crohn;PBC;UC	3	Crohn;PBC;UC	3	0.9985377854298254	0.0	0.0		Crohn:CD14-positive, CD16-negative classical monocyte:-0.0273;Crohn:CD14-positive, CD16-negative classical monocyte:-0.0405;Crohn:CD14-positive, CD16-negative classical monocyte:0.0273;Crohn:CD14-positive, CD16-negative classical monocyte:0.0405;Crohn:lymphoblastoid cell line:0.0273;Crohn:lymphoblastoid cell line:0.0405;Crohn:macrophage:-0.0273;Crohn:macrophage:0.0405;PBC:CD14-positive, CD16-negative classical monocyte:-0.0322;PBC:macrophage:-0.0322;UC:CD14-positive, CD16-negative classical monocyte:-0.00578;UC:CD14-positive, CD16-negative classical monocyte:-0.0225;UC:CD14-positive, CD16-negative classical monocyte:-0.0256;UC:CD14-positive, CD16-negative classical monocyte:-0.0712;UC:CD14-positive, CD16-negative classical monocyte:0.00578;UC:CD14-positive, CD16-negative classical monocyte:0.0225;UC:CD14-positive, CD16-negative classical monocyte:0.0256;UC:CD14-positive, CD16-negative classical monocyte:0.0712;UC:lymphoblastoid cell line:-0.00578;UC:lymphoblastoid cell line:-0.0225;UC:	1.0	1.0	psoriasis	0.0219019557017166	0.9387864248395232	0.9932772939641616	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	8.0		0.0				15.0	AS;Crohn;Psoriasis;RA;UC			0.0	0.0
FLT3	fms related receptor tyrosine kinase 3	2.2605122327804565	NO_GO_WAVE62_TARGET_RESOLUTION			0.7605122327804565	SLE	2	Celiac;SLE	2	Celiac;SLE	0.0		5	Celiac;Crohn;PBC;SLE;T1D	5	Celiac;Crohn;PBC;SLE;T1D	0	1.0	0.0	0.0		Celiac:blood plasma:-0.0109;Celiac:blood plasma:-0.0556;Crohn:blood plasma:-0.0295;PBC:blood plasma:0;SLE:blood plasma:-0.0103;T1D:blood plasma:-0.0624;T1D:blood plasma:0	0.0	0.0		-0.6902849264744133	0.4934309667954975	0.9271619615463814	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	5.0		0.0				12.0	AITD;Celiac;RA;SLE	NO_GO_L1000_MECHANISM_ONLY	PARK_REVIEW	0.0	1.0
TRAF1	TNF receptor associated factor 1	2.2593541892597404	NO_GO_WAVE62_TARGET_RESOLUTION			0.8259464502334595	RA	1	RA	1	RA	0.0		1	RA	1	RA	1	0.9334077390262809	0.0	0.0		RA:CD14-positive, CD16-negative classical monocyte:-0;RA:CD8-positive, alpha-beta T cell:-0.0784;RA:T cell:-0.0784;RA:dorsolateral prefrontal cortex:-0;RA:dorsolateral prefrontal cortex:0.0862;RA:fibroblast:-0.0784;RA:frontal cortex:-0;RA:lymphoblastoid cell line:-0.0784;RA:macrophage:-0;RA:macrophage:-0.0784;RA:memory regulatory T cell:-0;RA:right lobe of liver:0.0784;RA:sigmoid colon:-0.0784;RA:thyroid gland:0.0784	0.0	0.0		-0.1130879043054875	0.7367002437914002	0.9693303715651268	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	5.0		0.0				8.0	RA;SLE	NO_GO_WAVE61_GUARDRAIL		0.0157673800295721	-0.0092245344593101
SKAP2	src kinase associated phosphoprotein 2	2.2566538883878073	NO_GO_WAVE62_TARGET_RESOLUTION			0.7998708486557007	T1D	1	T1D	1	T1D	0.12974539399147034		2	MS;T1D	2	MS;T1D	1	0.9567830397321068	0.9567830397321068	0.9567830397321068	blood	MS:blood:0.129;T1D:CD14-positive, CD16-negative classical monocyte:-0;T1D:CD8-positive, alpha-beta T cell:0.107;T1D:T-helper 2 cell:0.107;T1D:blood:0.107;T1D:dorsolateral prefrontal cortex:-0;T1D:neutrophil:-0;T1D:neutrophil:0.107;T1D:spleen:-0	1.0	0.0	Crohn disease	-0.0913662658111622	0.6379850360845152	0.9516720539073452	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	7.0		0.0				21.0	AITD;AS;Crohn;Psoriasis;RA;T1D;UC			0.0	0.0
MMP9	matrix metallopeptidase 9	2.256108150230552	NO_GO_WAVE62_TARGET_RESOLUTION			0.8049637675285339	Crohn	1	Crohn	1	Crohn	0.0		1	Crohn	1	Crohn	0	0.951144382702018	0.0	0.0		Crohn:blood plasma:0.0293;Crohn:spleen:0.0293	2.0	1.0	type 1 diabetes mellitus;ulcerative colitis	-0.0073013922988645	0.988990838871722	0.9992380443970746	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	1.0		0.0				6.5	Crohn	NO_GO_WAVE61_GUARDRAIL		0.0711909058990569	0.0624567452637861
NEMP2	nuclear envelope integral membrane protein 2	2.2543574578533883	NO_GO_WAVE62_TARGET_RESOLUTION			0.7545000314712524	SLE	1	SLE	1	SLE	0.0		2	PBC;SLE	2	PBC;SLE	1	0.9998574263821359	0.0	0.0		PBC:T cell:-0.0399;SLE:CD14-positive, CD16-negative classical monocyte:-0.162;SLE:CD4-positive, alpha-beta T cell:-0.162;SLE:blood:-0.162;SLE:fibroblast:-0.162;SLE:lymphoblastoid cell line:-0;SLE:lymphoblastoid cell line:-0.162;SLE:lymphoblastoid cell line:0.162;SLE:macrophage:-0.162;SLE:skin of body:0.162;SLE:thyroid gland:-0.162	0.0	0.0		-0.4611747424273682	0.3216746472002066	0.9120886140544946	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	1.0		0.0				4.0	SLE			0.0	0.0
TYR	tyrosinase	2.254014544384054	NO_GO_WAVE62_TARGET_RESOLUTION			0.7779026627540588	T1D	1	T1D	1	T1D	0.0		1	T1D	0		0	0.9761118816299953	0.0	0.0			0.0	0.0		0.0	1.0	1.0	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.0		0.0				2.0	T1D			0.0	0.0
IKZF2	IKAROS family zinc finger 2	2.251777061686951	NO_GO_WAVE62_TARGET_RESOLUTION			0.7623377442359924	SLE	1	SLE	1	SLE	0.0		1	SLE	1	SLE	0	0.9894393174509583	0.0	0.0		SLE:fibroblast:-0;SLE:lymphoblastoid cell line:-0;SLE:lymphoblastoid cell line:-0.154;SLE:lymphoblastoid cell line:0.154;SLE:memory regulatory T cell:-0.154;SLE:memory regulatory T cell:0.154;SLE:naive regulatory T cell:-0;SLE:naive regulatory T cell:-0.154;SLE:thyroid gland:-0	0.0	0.0		-0.6777777234982487	0.0625565274548228	0.8989378106274888	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	3.0		0.0				8.0	AITD;SLE			0.0	0.0
ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	2.2464653986891747	NO_GO_WAVE62_TARGET_RESOLUTION			0.7465093731880188	T1D	1	T1D	1	T1D	0.0		1	T1D	1	T1D	1	0.999956025501156	0.0	0.0		T1D:B cell:-0.129;T1D:B cell:-0.165;T1D:CD4-positive, alpha-beta T cell:-0.165;T1D:blood:-0.129;T1D:blood:-0.165;T1D:central memory CD4-positive, alpha-beta T cell:-0.129;T1D:lymphoblastoid cell line:-0.129;T1D:lymphoblastoid cell line:-0.165;T1D:lymphoblastoid cell line:0.129;T1D:lymphoblastoid cell line:0.165;T1D:neutrophil:-0.129;T1D:neutrophil:-0.165;T1D:neutrophil:0.129	2.0	1.0	type 1 diabetes mellitus;ulcerative colitis	0.1055558045541529	0.890098550098186	0.9842134382901514	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	4.0		0.0				12.0	AITD;SLE;T1D			0.0	0.0
TPCN2	two pore segment channel 2	2.243437820111903	NO_GO_WAVE62_TARGET_RESOLUTION			0.7524520754814148	SLE	1	SLE	1	SLE	0.0		1	SLE	1	SLE	1	0.990985744630488	0.0	0.0		SLE:CD14-positive, CD16-negative classical monocyte:-0.586;SLE:CD14-positive, CD16-negative classical monocyte:1.04;SLE:blood:1.04;SLE:macrophage:-0.586	1.0	0.0	type 1 diabetes mellitus	-0.084092404854589	0.8025908247950354	0.9754873976997136	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.0		0.0				9.0	AS;RA;SLE			0.0	0.0
TXNDC11	thioredoxin domain containing 11	2.243333470602347	NO_GO_WAVE62_TARGET_RESOLUTION			0.7632229328155518	RA	1	RA	1	RA	0.0		1	RA	1	RA	1	0.9801105377867956	0.0	0.0		RA:CD14-positive, CD16-negative classical monocyte:0;RA:blood:-0.0701;RA:naive regulatory T cell:0.0701;RA:thyroid gland:-0.0701	1.0	0.0	psoriasis	0.0681323813646912	0.7351945997881115	0.9693303715651268	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.0		0.0				5.0	RA			0.0	0.0
PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	2.243186593055725	NO_GO_WAVE62_TARGET_RESOLUTION			0.7431865930557251	T1D	1	T1D	1	T1D	0.0		0		0		0	0.0	0.0	0.0			3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	-0.4547133895238886	0.1560767838593739	0.8989378106274888	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.0		0.0				13.0	Celiac;RA;T1D			0.0	0.0
IQGAP1	IQ motif containing GTPase activating protein 1	2.242878579067437	NO_GO_WAVE62_TARGET_RESOLUTION			0.7430842518806458	RA	1	RA	1	RA	0.0		1	RA	1	RA	1	0.9997943271867911	0.0	0.0		RA:B cell:-0.0852;RA:CD14-low, CD16-positive monocyte:0.0852;RA:CD14-positive, CD16-negative classical monocyte:-0.0852;RA:CD14-positive, CD16-negative classical monocyte:0.0852;RA:dorsolateral prefrontal cortex:-0.0852;RA:dorsolateral prefrontal cortex:0.0852;RA:macrophage:0.0852;RA:neocortex:0.0852;RA:skin of body:0.0852	0.0	0.0		0.1912847726501763	0.5471847083310679	0.9390010612097776	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	3.0		0.0				4.0	RA;T1D			0.0	0.0
IRGM	immunity related GTPase M	2.2402758559934757	NO_GO_WAVE62_TARGET_RESOLUTION			0.7852466702461243	Crohn	1	Crohn	1	Crohn	0.0		1	Crohn	1	Crohn	1	0.9550291857473512	0.0	0.0		Crohn:B cell:-0.00711;Crohn:CD14-positive, CD16-negative classical monocyte:-0.0453;Crohn:CD14-positive, CD16-negative classical monocyte:0.00711;Crohn:T-helper 2 cell:-0.0453	0.0	0.0		0.1158961659024804	0.8822549537436063	0.9840278968329756	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	8.0		0.0				18.0	AS;Crohn;Psoriasis;RA;UC			0.0	0.0
