accession	file_role	file_name	url	local_file	expected_size	size_bytes	sha256	sample_id	description	disease_state	group
GSE227835	processed_sample_count_matrix	GSM7266265_N4b.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7266nnn/GSM7266265/suppl/GSM7266265_N4b.txt.gz	data/raw_v3/gse227835/raw/GSM7266265_N4b.txt.gz	18508909	18508909	d82565a8c56674d5d4d8eb63b05e52c5637ce2c5dbaa1a61a2d7c1a5ae7e5bb6	GSM7266265	N4b	Seronegative MG post-treatment	seronegative_mg_post
GSE227835	processed_sample_count_matrix	GSM7266266_N5a.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7266nnn/GSM7266266/suppl/GSM7266266_N5a.txt.gz	data/raw_v3/gse227835/raw/GSM7266266_N5a.txt.gz	22410774	22410774	bf74ae8b4c26449d64646f49efaabe288cb8c0238f3a9d5d7371a85f46b56443	GSM7266266	N5a	Seronegative MG pre-treatment	seronegative_mg_pre
GSE227835	processed_sample_count_matrix	GSM7266267_N5b.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7266nnn/GSM7266267/suppl/GSM7266267_N5b.txt.gz	data/raw_v3/gse227835/raw/GSM7266267_N5b.txt.gz	20353537	20353537	72494a10bc61d1457805d2ef76146295aabe813cd413cbd4ffd208530d81dda4	GSM7266267	N5b	Seronegative MG post-treatment	seronegative_mg_post
GSE227835	processed_sample_count_matrix	GSM7266268_N6a.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7266nnn/GSM7266268/suppl/GSM7266268_N6a.txt.gz	data/raw_v3/gse227835/raw/GSM7266268_N6a.txt.gz	22979810	22979810	91f05a1c0528551a2934c5c22af046e85dbef2635fece682aac25dba4a6d0e2f	GSM7266268	N6a	Seronegative MG pre-treatment	seronegative_mg_pre
GSE227835	processed_sample_count_matrix	GSM7266269_N6b.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7266nnn/GSM7266269/suppl/GSM7266269_N6b.txt.gz	data/raw_v3/gse227835/raw/GSM7266269_N6b.txt.gz	24363451	24363451	6c3eaf33752402fc727c189745886e059d7f88ac3049b21589c65ec1fd0b92b4	GSM7266269	N6b	Seronegative MG post-treatment	seronegative_mg_post
GSE227835	processed_sample_count_matrix	GSM7266270_N7a.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7266nnn/GSM7266270/suppl/GSM7266270_N7a.txt.gz	data/raw_v3/gse227835/raw/GSM7266270_N7a.txt.gz	23434464	23434464	5fefe03f6c4987ac045346b205e75d3229ccd0162114fb3fb9d4bb19db627e11	GSM7266270	N7a	Seronegative MG pre-treatment	seronegative_mg_pre
GSE227835	processed_sample_count_matrix	GSM7266271_N7b.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7266nnn/GSM7266271/suppl/GSM7266271_N7b.txt.gz	data/raw_v3/gse227835/raw/GSM7266271_N7b.txt.gz	26628266	26628266	b15c7dcba7704a8efde57a05fc2407c8f8d5c124e325822a913b4b2082c0c2c7	GSM7266271	N7b	Seronegative MG post-treatment	seronegative_mg_post
GSE227835	processed_sample_count_matrix	GSM7266272_N8a.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7266nnn/GSM7266272/suppl/GSM7266272_N8a.txt.gz	data/raw_v3/gse227835/raw/GSM7266272_N8a.txt.gz	24486423	24486423	9ab6b7d05fc35add9bf95a016a67472f636fcbd8fe2954ff860d15db1ade18a0	GSM7266272	N8a	Seronegative MG pre-treatment	seronegative_mg_pre
GSE227835	processed_sample_count_matrix	GSM7266273_N8b.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7266nnn/GSM7266273/suppl/GSM7266273_N8b.txt.gz	data/raw_v3/gse227835/raw/GSM7266273_N8b.txt.gz	29610832	29610832	20340f485d10ab95cca4c0369e43ee20f4a1ebcbf14294f9af380f364d1fa6bc	GSM7266273	N8b	Seronegative MG post-treatment	seronegative_mg_post
GSE227835	processed_sample_count_matrix	GSM7266274_N9a.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7266nnn/GSM7266274/suppl/GSM7266274_N9a.txt.gz	data/raw_v3/gse227835/raw/GSM7266274_N9a.txt.gz	23653914	23653914	e2a68f422657be0aec5f698261a002e3964e208ea732f94c76586aeffb129661	GSM7266274	N9a	Seronegative MG pre-treatment	seronegative_mg_pre
GSE227835	processed_sample_count_matrix	GSM7266275_N9b.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7266nnn/GSM7266275/suppl/GSM7266275_N9b.txt.gz	data/raw_v3/gse227835/raw/GSM7266275_N9b.txt.gz	22898023	22898023	c160402537da0631d237e93a630c2de177b016eafc6dc8794bbc43fbdb8a9eb1	GSM7266275	N9b	Seronegative MG post-treatment	seronegative_mg_post
