accession	contrast	interpretation_scope	marker_compartment	module	metric	n_paired_donors	mean_post_minus_pre	paired_t	p	fdr
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_nk_like	mixscale_validated_ifng_readout	mean_score	10	0.015335606327461601	0.7276444740314136	0.4853291386534978	0.6533276866489394
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_nk_like	mixscale_validated_ifng_readout	high_fraction	10	0.013470927756244616	0.7704211009405781	0.46079438753850777	0.6324628848567754
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_nk_like	slc15a4_tasl_branch	mean_score	10	-0.019344380735247624	-0.8343339712984175	0.4256833835425682	0.5959567369595954
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_nk_like	slc15a4_tasl_branch	high_fraction	10	-0.0454545662510872	-1.23724497282879	0.2473038320458404	0.4445497631528386
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_plasmablast_like	complement_phagocytosis	mean_score	10	0.035257111540108146	4.667521472596784	0.0011726901074277747	0.08208830751994423
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_plasmablast_like	complement_phagocytosis	high_fraction	10	0.035997630668519055	1.883564518727304	0.09227976400805997	0.3075992133601999
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_plasmablast_like	hla_ii_cd74	mean_score	10	0.007012462148697329	0.142929582265837	0.8894945937099656	0.9293227098462328
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_plasmablast_like	hla_ii_cd74	high_fraction	10	0.020461084877165713	0.8772990912228326	0.403134689399385	0.5804565501200364
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_plasmablast_like	ifng_hlaii_cd74	mean_score	10	0.0004904788741734196	0.021880989436964884	0.9830203299655509	0.9830203299655509
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_plasmablast_like	ifng_hlaii_cd74	high_fraction	10	0.040968656129077546	2.224789698025574	0.053146929828786	0.21884029929500118
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_plasmablast_like	lipid_loader_repair	mean_score	10	0.026687901919424356	1.1703479973563173	0.27191722298682863	0.4445497631528386
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_plasmablast_like	lipid_loader_repair	high_fraction	10	0.033870174165003944	1.262908849768118	0.23835902013126156	0.4445497631528386
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_plasmablast_like	lysosomal_apc	mean_score	10	0.0907154674037332	2.843425059767902	0.019295034704389986	0.15325821887900173
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_plasmablast_like	lysosomal_apc	high_fraction	10	0.06013899234550697	1.9395631460242788	0.08436844294224884	0.29528955029787096
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_plasmablast_like	mixscale_validated_ifng_readout	mean_score	10	0.0328176226240838	1.0332284026543677	0.32846148443959183	0.4891979555483283
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_plasmablast_like	mixscale_validated_ifng_readout	high_fraction	10	0.04866188195130565	3.106054310033775	0.012598787769768454	0.15303323031113886
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_plasmablast_like	slc15a4_tasl_branch	mean_score	10	-0.030113105000030338	-0.6645374028312332	0.523006458660809	0.690763247287861
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_plasmablast_like	slc15a4_tasl_branch	high_fraction	10	-0.009701703101172379	-0.3152548854384942	0.7597552153735675	0.8577881463895117
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_t_cell_like	complement_phagocytosis	mean_score	10	0.010236808716280122	1.5031801790057318	0.1670436413038374	0.3970210361810409
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_t_cell_like	complement_phagocytosis	high_fraction	10	0.003198250578183982	1.4769169178063786	0.17381172383277138	0.3970210361810409
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_t_cell_like	hla_ii_cd74	mean_score	10	0.024443358291127128	1.1150593704594842	0.29371310654499116	0.4664846503178986
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_t_cell_like	hla_ii_cd74	high_fraction	10	0.01857443012629016	1.3095596377208842	0.2227864770468812	0.4445497631528386
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_t_cell_like	ifng_hlaii_cd74	mean_score	10	0.020391049629139908	1.196777276440807	0.26196619068206356	0.4445497631528386
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_t_cell_like	ifng_hlaii_cd74	high_fraction	10	0.026916481327807995	1.4247932769392488	0.18795713250111962	0.3986969477296477
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_t_cell_like	lipid_loader_repair	mean_score	10	0.016037090579313965	1.7485861450292919	0.11429768144323722	0.3478625087402872
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_t_cell_like	lipid_loader_repair	high_fraction	10	0.021219231547805376	1.6518067465036337	0.13296741528549927	0.37230876279939795
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_t_cell_like	lysosomal_apc	mean_score	10	0.035511495962111755	3.345850944436323	0.008579956951991206	0.15303323031113886
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_t_cell_like	lysosomal_apc	high_fraction	10	0.030662690054901298	2.9858615892841964	0.015303323031113886	0.15303323031113886
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_t_cell_like	mixscale_validated_ifng_readout	mean_score	10	0.04185279902695537	2.587737274266898	0.02932210042046668	0.18610499919120035
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_t_cell_like	mixscale_validated_ifng_readout	high_fraction	10	0.03637543462781674	2.637929857488702	0.027005271417038807	0.18610499919120035
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_t_cell_like	slc15a4_tasl_branch	mean_score	10	-0.002139772676708419	-0.07103335925600589	0.9449246121972951	0.9727165125560391
GSE227835	seronegative_mg_post_minus_pre_paired_secondary	secondary paired treatment-state contrast, not disease-control evidence	marker_t_cell_like	slc15a4_tasl_branch	high_fraction	10	-0.03545266546398984	-0.4733156674250004	0.6472575809436327	0.7896941962147951
