accession	sample_id	description	donor_id	group	disease_state	marker_compartment	compartment_source	gene	n_cells	mean_log_norm	detection_fraction
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	CIITA	1219	0.325170059933635	0.3675143560295324
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	RFX5	1219	0.0869679656597901	0.13699753896636588
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	IFI30	1219	2.2206449117740714	0.8761279737489746
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	CTSS	1219	3.3957865094923405	0.8999179655455292
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	CTSB	1219	1.201712699382397	0.7940935192780968
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	CTSD	1219	1.3494873203832267	0.8195242001640689
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	LAMP1	1219	0.6493024600882135	0.6119770303527482
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	LAMP2	1219	0.7017114952121043	0.6570959803117309
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	LIPA	1219	0.2676899684707682	0.33305988515176377
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	ACSL1	1219	0.44600167139521185	0.44544708777686626
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	APOE	1219	0.0	0.0
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	GPNMB	1219	0.011270758727224661	0.01804757998359311
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	LPL	1219	0.007077740390736906	0.009844134536505332
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	PLIN2	1219	0.2648698316919109	0.32977850697292865
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	CD36	1219	1.2608061760688434	0.7538966365873667
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	FABP5	1219	0.1311105392427108	0.1763740771123872
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	TREM2	1219	0.0	0.0
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	MSR1	1219	0.12062027277860414	0.15750615258408532
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	MERTK	1219	0.016513158250187537	0.02461033634126333
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	SLC15A4	1219	0.19184564003893545	0.2551271534044299
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	TASL	1219	0.1443926045599289	0.19934372436423298
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	CXorf21	1219	0.1443926045599289	0.19934372436423298
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	IRF5	1219	0.24238150456188348	0.3199343724364233
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	GPR65	1219	0.2980912122890732	0.347005742411813
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	TNFAIP3	1219	0.4218304530336194	0.39950779327317476
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	PTPN2	1219	0.5744627259910058	0.5849056603773585
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	CLEC16A	1219	0.07119857318778816	0.0951599671862182
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	SH2B3	1219	0.49382146990035186	0.5291222313371616
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	IL10	1219	0.007567599354658682	0.011484823625922888
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	OSMR	1219	0.0013973033750908016	0.0016406890894175555
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	IL6R	1219	0.5152910458347267	0.5291222313371616
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	ATG16L1	1219	0.03445418500528656	0.05742411812961444
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	CARD9	1219	0.11791917784376356	0.1689909762100082
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	AXL	1219	0.016021094427820695	0.02461033634126333
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	CFB	1219	0.015860059424635815	0.02543068088597211
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	CFH	1219	0.003113689776616961	0.003281378178835111
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	P2RX7	1219	0.18096582692993576	0.23133716160787532
