study_id	disease	contrast	contrast_type	metabolite_class	n_case	n_control	n_features	mean_case	mean_control	hedges_g_case_minus_control	t	p	source_note	fdr_within_study_contrast
ST001949	RA	RA_MTX_vs_RA	treatment_shift	ceramide	20	20	17	-0.020773703384849875	0.33551012131322044	-0.5792035789047674	-1.8687296167383647	0.06938390285449147	RA plasma, control/RA/RA+MTX, GC-MS	0.5029381388611718
ST001949	RA	RA_MTX_vs_RA	treatment_shift	cholesteryl_ester	20	20	9	-0.06207842134981082	0.15971940990398026	-0.2652232440743902	-0.8557104087416776	0.39767551585664396	RA plasma, control/RA/RA+MTX, GC-MS	0.729071779070514
ST001949	RA	RA_MTX_vs_RA	treatment_shift	diacylglycerol	20	20	9	0.12412937563799102	-0.044045455061279735	0.1902017178955058	0.6136626159284969	0.5433705970787005	RA plasma, control/RA/RA+MTX, GC-MS	0.7935862982364785
ST001949	RA	RA_MTX_vs_RA	treatment_shift	eicosanoid_oxylipin	20	20	4	-0.056791356989239025	0.3641943715089825	-0.4654150285309327	-1.5016047544724973	0.14169080756176433	RA plasma, control/RA/RA+MTX, GC-MS	0.5029381388611718
ST001949	RA	RA_MTX_vs_RA	treatment_shift	fatty_acid	20	20	8	-0.18207629940164952	0.28666374431752606	-0.6967178467949823	-2.2478750515974224	0.03046729653998327	RA plasma, control/RA/RA+MTX, GC-MS	0.335140261939816
ST001949	RA	RA_MTX_vs_RA	treatment_shift	glycosphingolipid	20	20	8	0.0578390805377164	0.20870026911584483	-0.15797460759391904	-0.5096857800181457	0.6132257759100062	RA plasma, control/RA/RA+MTX, GC-MS	0.7935862982364785
ST001949	RA	RA_MTX_vs_RA	treatment_shift	lysophosphatidylcholine	20	20	21	0.05584431626353834	0.24087121038325482	-0.21030323149236188	-0.6785176948124109	0.5017344591595227	RA plasma, control/RA/RA+MTX, GC-MS	0.7934426739453727
ST001949	RA	RA_MTX_vs_RA	treatment_shift	lysophosphatidylethanolamine	20	20	6	-0.05461301279299109	-0.014302245730730617	-0.04971096323406356	-0.16038635232148757	0.8734729709442869	RA plasma, control/RA/RA+MTX, GC-MS	0.931873006339906
ST001949	RA	RA_MTX_vs_RA	treatment_shift	nicotinamide_nad	20	20	2	-0.3315995991365889	-0.13458867327878776	-0.2759856898015455	-0.8904341256028631	0.3803642912278971	RA plasma, control/RA/RA+MTX, GC-MS	0.729071779070514
ST001949	RA	RA_MTX_vs_RA	treatment_shift	phosphatidylcholine	20	20	79	-0.061932337549502635	-0.020033506648384998	-0.07592224492451369	-0.24495385185289115	0.8079399522006375	RA plasma, control/RA/RA+MTX, GC-MS	0.931873006339906
ST001949	RA	RA_MTX_vs_RA	treatment_shift	phosphatidylethanolamine	20	20	25	-0.08622425596404776	0.01268544812960139	-0.17055514992428658	-0.5502753635491099	0.5854878054892114	RA plasma, control/RA/RA+MTX, GC-MS	0.7935862982364785
ST001949	RA	RA_MTX_vs_RA	treatment_shift	phosphatidylinositol	20	20	7	-0.2989835735381375	-0.03476383818005942	-0.4212783257464372	-1.3592030727796316	0.182886595949517	RA plasma, control/RA/RA+MTX, GC-MS	0.5029381388611718
ST001949	RA	RA_MTX_vs_RA	treatment_shift	purine	20	20	11	0.036783593061464934	-0.010154627667506941	0.10413536219764735	0.3359800294336866	0.738744951327931	RA plasma, control/RA/RA+MTX, GC-MS	0.9029104960674712
ST001949	RA	RA_MTX_vs_RA	treatment_shift	pyrimidine	20	20	3	-0.05756824233759855	-0.09049670133101077	0.04334944918676795	0.13986170409683793	0.8895151424153649	RA plasma, control/RA/RA+MTX, GC-MS	0.931873006339906
ST001949	RA	RA_MTX_vs_RA	treatment_shift	sphingomyelin	20	20	36	-0.039897176258936295	0.13314317080659524	-0.20864711983377027	-0.6731744527853364	0.5049180652379645	RA plasma, control/RA/RA+MTX, GC-MS	0.7934426739453727
ST001949	RA	RA_MTX_vs_RA	treatment_shift	steroid	20	20	1	-0.26196630718274144	0.06475757858024148	-0.2879464104408421	-0.9290239301383462	0.35890239513008965	RA plasma, control/RA/RA+MTX, GC-MS	0.729071779070514
ST001949	RA	RA_MTX_vs_RA	treatment_shift	sterol	20	20	2	-0.1550689672930681	0.16637170603414322	-0.4349944215515316	-1.4034563809264293	0.1691436997703112	RA plasma, control/RA/RA+MTX, GC-MS	0.5029381388611718
ST001949	RA	RA_MTX_vs_RA	treatment_shift	triacylglycerol	20	20	109	0.14547322675029567	-0.3347540165687245	0.8295050946214032	2.6762968911303058	0.010926150861005174	RA plasma, control/RA/RA+MTX, GC-MS	0.24037531894211384
ST001949	RA	RA_MTX_vs_RA	treatment_shift	unclassified	20	20	232	-0.01496734628357783	0.09345664203545032	-0.4857607752339029	-1.5672478216482766	0.1259194012936651	RA plasma, control/RA/RA+MTX, GC-MS	0.5029381388611718
ST000899	Crohn	Crohn_vs_control	disease_control	acylcarnitine	20	20	4	-0.37695465168134235	0.42714288386913707	-1.3113388016179222	-4.230874506672418	0.00015247296578119342	Serum Crohn/UC/control LC-MS	0.0004356370450891241
ST000899	Crohn	Crohn_vs_control	disease_control	amino_acid	20	20	95	-0.35232255484152664	0.28921119243345483	-1.6670851771692927	-5.378646744712197	4.364561398427841e-06	Serum Crohn/UC/control LC-MS	1.454853799475947e-05
ST000899	Crohn	Crohn_vs_control	disease_control	bile_acid	20	20	19	0.414213650681888	-0.04346791347171171	1.2885360840415658	4.157304323011546	0.00018923266187734732	Serum Crohn/UC/control LC-MS	0.0004730816546933683
ST000899	Crohn	Crohn_vs_control	disease_control	ceramide	20	20	2	-0.36606898912440183	0.022389215390611405	-0.49680137272711583	-1.6028689612155902	0.11733174609963114	Serum Crohn/UC/control LC-MS	0.1466646826245389
ST000899	Crohn	Crohn_vs_control	disease_control	diacylglycerol	20	20	6	-0.4573298469697282	0.3546650001488637	-0.8903240289628656	-2.8725217557578144	0.007242533048750969	Serum Crohn/UC/control LC-MS	0.01207088841458495
ST000899	Crohn	Crohn_vs_control	disease_control	eicosanoid_oxylipin	20	20	4	-0.24640914499587918	0.06369755643336153	-0.5851874398447289	-1.8880358133300614	0.06790418566780002	Serum Crohn/UC/control LC-MS	0.0970059795254286
ST000899	Crohn	Crohn_vs_control	disease_control	fatty_acid	20	20	12	-0.8204288028235768	0.5184656581877888	-1.9463283006828278	-6.279590582398794	2.4143074036743553e-07	Serum Crohn/UC/control LC-MS	2.404913449722223e-06
ST000899	Crohn	Crohn_vs_control	disease_control	glycosphingolipid	20	20	3	-0.37220049074442085	-0.10564991651255633	-0.3767492782955	-1.2155355389324412	0.2329992946923811	Serum Crohn/UC/control LC-MS	0.25888810521375677
ST000899	Crohn	Crohn_vs_control	disease_control	lysophosphatidylcholine	20	20	10	-0.02686258026479695	-0.03442417231145335	0.009201388723407703	0.029687157070176825	0.9764915199470583	Serum Crohn/UC/control LC-MS	0.9764915199470583
ST000899	Crohn	Crohn_vs_control	disease_control	lysophosphatidylethanolamine	20	20	9	0.14040120504440384	-0.11472425302944615	0.4477236449918776	1.4445256659022494	0.15726301704273174	Serum Crohn/UC/control LC-MS	0.1850153141679197
ST000899	Crohn	Crohn_vs_control	disease_control	nicotinamide_nad	20	20	5	-0.6008959484741163	0.3162859309307941	-1.7564544778050921	-5.666985879703579	1.9432518789100135e-06	Serum Crohn/UC/control LC-MS	7.773007515640054e-06
ST000899	Crohn	Crohn_vs_control	disease_control	phosphatidylcholine	20	20	22	-0.12727987488253015	0.13235850018555992	-0.5445080993964468	-1.7567888890123053	0.08789200581024274	Serum Crohn/UC/control LC-MS	0.11718934108032365
ST000899	Crohn	Crohn_vs_control	disease_control	phosphatidylethanolamine	20	20	13	0.3674756544782467	-0.27405428030829365	1.2333437109471102	3.9792328711487785	0.00030033312400996583	Serum Crohn/UC/control LC-MS	0.0006664077091825238
ST000899	Crohn	Crohn_vs_control	disease_control	phosphatidylinositol	20	20	5	0.049001349348391995	0.18050733300036675	-0.15063811289803902	-0.4860154757925408	0.6298910774047127	Serum Crohn/UC/control LC-MS	0.6630432393733818
ST000899	Crohn	Crohn_vs_control	disease_control	purine	20	20	29	-0.14667081631294937	0.10192715185281587	-0.6278026303099806	-2.0255285213273932	0.0499633308030213	Serum Crohn/UC/control LC-MS	0.07686666277387892
ST000899	Crohn	Crohn_vs_control	disease_control	pyrimidine	20	20	11	-0.5213963393340649	0.2651977835051701	-1.93165547211922	-6.2322504928399765	3.6073701745833346e-07	Serum Crohn/UC/control LC-MS	2.404913449722223e-06
ST000899	Crohn	Crohn_vs_control	disease_control	sphingomyelin	20	20	18	-0.5752997403541756	0.4982769294407003	-1.8472520305540923	-5.9599330957243515	6.478551213089148e-07	Serum Crohn/UC/control LC-MS	3.239275606544574e-06
ST000899	Crohn	Crohn_vs_control	disease_control	steroid	20	20	20	-0.361301949851143	0.29704639305521197	-0.9016868359376966	-2.9091824648703177	0.006901948793700519	Serum Crohn/UC/control LC-MS	0.01207088841458495
ST000899	Crohn	Crohn_vs_control	disease_control	sterol	20	20	1	-0.5587981372824544	0.5859451326572835	-1.223683397658567	-3.9480650500116794	0.0003332038545912619	Serum Crohn/UC/control LC-MS	0.0006664077091825238
ST000899	Crohn	Crohn_vs_control	disease_control	unclassified	20	20	383	-0.25947184480279567	0.21987293962880883	-2.1228570133038396	-6.849138916515389	4.2806719700125274e-08	Serum Crohn/UC/control LC-MS	8.561343940025054e-07
ST000899	UC	UC_vs_control	disease_control	acylcarnitine	20	20	4	-0.09895940153782203	0.42714288386913707	-0.8473179193544864	-2.7337677948830525	0.0096744786803969	Serum Crohn/UC/control LC-MS	0.06449652453597934
ST000899	UC	UC_vs_control	disease_control	amino_acid	20	20	95	0.0530269541729073	0.28921119243345483	-0.5861530015770279	-1.8911510803478317	0.0666864239312251	Serum Crohn/UC/control LC-MS	0.14890142587330987
ST000899	UC	UC_vs_control	disease_control	bile_acid	20	20	19	-0.6239738859301515	-0.04346791347171171	-1.3366863946993244	-4.312655420377782	0.00015392051706190495	Serum Crohn/UC/control LC-MS	0.0030784103412380987
ST000899	UC	UC_vs_control	disease_control	ceramide	20	20	2	0.34367977373377745	0.022389215390611405	0.353672565393784	1.1410813428137818	0.26121378760647507	Serum Crohn/UC/control LC-MS	0.4021294338837887
ST000899	UC	UC_vs_control	disease_control	diacylglycerol	20	20	6	0.02865209962838724	0.3546650001488637	-0.44801856254898886	-1.4454771813858245	0.1567079844319901	Serum Crohn/UC/control LC-MS	0.3134159688639802
ST000899	UC	UC_vs_control	disease_control	eicosanoid_oxylipin	20	20	4	0.17927238690155686	0.06369755643336153	0.23393734251033152	0.7547702678853822	0.45548228125397844	Serum Crohn/UC/control LC-MS	0.5693528515674731
ST000899	UC	UC_vs_control	disease_control	fatty_acid	20	20	12	0.29761301931129175	0.5184656581877888	-0.3726188675729485	-1.2022092731294554	0.23715431274484272	Serum Crohn/UC/control LC-MS	0.4021294338837887
ST000899	UC	UC_vs_control	disease_control	glycosphingolipid	20	20	3	0.4778504072569557	-0.10564991651255633	0.8780047797003007	2.832775202401793	0.007713486507900357	Serum Crohn/UC/control LC-MS	0.06449652453597934
ST000899	UC	UC_vs_control	disease_control	lysophosphatidylcholine	20	20	10	0.05659987681810508	-0.03442417231145335	0.1100937732511828	0.3552041150746934	0.7246261004415107	Serum Crohn/UC/control LC-MS	0.7906037923638198
ST000899	UC	UC_vs_control	disease_control	lysophosphatidylethanolamine	20	20	9	-0.02567695201496527	-0.11472425302944615	0.1376324700538089	0.44405435736559434	0.6595252032986447	Serum Crohn/UC/control LC-MS	0.7759120038807585
ST000899	UC	UC_vs_control	disease_control	nicotinamide_nad	20	20	5	0.2750360004191411	0.3162859309307941	-0.09075520349355105	-0.2928105813196315	0.7712600041877147	Serum Crohn/UC/control LC-MS	0.7906037923638198
ST000899	UC	UC_vs_control	disease_control	phosphatidylcholine	20	20	22	-0.00805885960091168	0.13235850018555992	-0.35337236005676065	-1.1401127669540485	0.26138413202446265	Serum Crohn/UC/control LC-MS	0.4021294338837887
ST000899	UC	UC_vs_control	disease_control	phosphatidylethanolamine	20	20	13	-0.09977876775063918	-0.27405428030829365	0.28784884388645005	0.9287091435651341	0.3593132180540752	Serum Crohn/UC/control LC-MS	0.5133045972201075
ST000899	UC	UC_vs_control	disease_control	phosphatidylinositol	20	20	5	-0.2469792006478146	0.18050733300036675	-0.5846201833700215	-1.8862056295860723	0.06700564164298944	Serum Crohn/UC/control LC-MS	0.14890142587330987
ST000899	UC	UC_vs_control	disease_control	purine	20	20	29	0.015661787801511083	0.10192715185281587	-0.24206403573993227	-0.7809900511833702	0.43969482699030854	Serum Crohn/UC/control LC-MS	0.5693528515674731
ST000899	UC	UC_vs_control	disease_control	pyrimidine	20	20	11	0.23090252099111747	0.2651977835051701	-0.0829291795216167	-0.26756087066467926	0.7906037923638198	Serum Crohn/UC/control LC-MS	0.7906037923638198
ST000899	UC	UC_vs_control	disease_control	sphingomyelin	20	20	18	0.07702281091347689	0.4982769294407003	-0.6633779365922147	-2.1403079026976863	0.0390371404519177	Serum Crohn/UC/control LC-MS	0.11153468700547915
ST000899	UC	UC_vs_control	disease_control	steroid	20	20	20	-0.13689586115184632	0.29704639305521197	-0.6991715789946957	-2.255791718897407	0.030851238583994942	Serum Crohn/UC/control LC-MS	0.1028374619466498
ST000899	UC	UC_vs_control	disease_control	sterol	20	20	1	-0.027146995374798734	0.5859451326572835	-0.6965056694001209	-2.247190487143367	0.03051628654832044	Serum Crohn/UC/control LC-MS	0.1028374619466498
ST000899	UC	UC_vs_control	disease_control	unclassified	20	20	383	0.03516975892451866	0.21987293962880883	-0.7609960694304463	-2.455260887467653	0.018769098861967932	Serum Crohn/UC/control LC-MS	0.09384549430983966
ST002470	UC	UC_week0_modsev_vs_mild	severity	acylcarnitine	24	10	2	0.09551470892612363	-0.3023608784689576	0.4290813674820439	1.2404056900186018	0.2295992836830985	Human plasma intestinal inflammation severity LC-MS	0.37089115056500527
ST002470	UC	UC_week0_modsev_vs_mild	severity	amino_acid	24	10	55	-0.28538738744981557	-0.07833100118616457	-0.49914612677991094	-1.7681984816965526	0.08690194951701342	Human plasma intestinal inflammation severity LC-MS	0.22692649924830957
ST002470	UC	UC_week0_modsev_vs_mild	severity	bile_acid	24	10	21	-0.7179144746493543	-0.8512593219334809	0.22794665205357562	0.769559591484569	0.44792281672485307	Human plasma intestinal inflammation severity LC-MS	0.5878986969513696
ST002470	UC	UC_week0_modsev_vs_mild	severity	ceramide	24	10	16	0.04387389494593358	-0.35817839046942174	0.6309447930898616	1.554189146921784	0.14259958874680137	Human plasma intestinal inflammation severity LC-MS	0.2994591363682829
ST002470	UC	UC_week0_modsev_vs_mild	severity	cholesteryl_ester	24	10	13	-0.4312591828836821	-0.041600908965142416	-0.3585513819352416	-1.3209038008713887	0.19591598681923122	Human plasma intestinal inflammation severity LC-MS	0.37089115056500527
ST002470	UC	UC_week0_modsev_vs_mild	severity	diacylglycerol	24	10	27	-0.14131968736140507	0.03870284219859544	-0.23144931651982323	-0.486455641432653	0.6362038355182515	Human plasma intestinal inflammation severity LC-MS	0.7031726603096464
ST002470	UC	UC_week0_modsev_vs_mild	severity	eicosanoid_oxylipin	22	10	11	-0.031333439627279185	0.2704249037126737	-0.4741275595350793	-1.2544139192559862	0.22683973259916718	Human plasma intestinal inflammation severity LC-MS	0.37089115056500527
ST002470	UC	UC_week0_modsev_vs_mild	severity	fatty_acid	24	10	12	-0.24141251771384453	0.6235649775794141	-0.7826806944800873	-3.1143468514366566	0.004082394923859401	Human plasma intestinal inflammation severity LC-MS	0.08573029340104743
ST002470	UC	UC_week0_modsev_vs_mild	severity	lysophosphatidylcholine	24	10	34	-0.6700379773465142	-0.23675628487939088	-0.5634878566982412	-1.7356126766848263	0.09617130586263664	Human plasma intestinal inflammation severity LC-MS	0.22692649924830957
ST002470	UC	UC_week0_modsev_vs_mild	severity	lysophosphatidylethanolamine	24	10	19	-0.4124046862773467	-0.1438053871261501	-0.303305898220098	-0.7880662505954009	0.4426461148032549	Human plasma intestinal inflammation severity LC-MS	0.5878986969513696
ST002470	UC	UC_week0_modsev_vs_mild	severity	nicotinamide_nad	24	10	4	0.2688411963800677	0.7475792519231647	-0.7522329866260096	-2.3383844848241293	0.028316951778278556	Human plasma intestinal inflammation severity LC-MS	0.19821866244794992
ST002470	UC	UC_week0_modsev_vs_mild	severity	phosphatidylcholine	24	10	52	-0.6945231639084176	-0.2004728465630194	-0.681239223335205	-2.6056783980817966	0.013869398685407323	Human plasma intestinal inflammation severity LC-MS	0.1456286861967769
ST002470	UC	UC_week0_modsev_vs_mild	severity	phosphatidylethanolamine	24	10	36	-0.5374630087270903	-0.25167862653844475	-0.6012463939358405	-1.768821120194555	0.09197173677976182	Human plasma intestinal inflammation severity LC-MS	0.22692649924830957
ST002470	UC	UC_week0_modsev_vs_mild	severity	phosphatidylserine	24	10	3	-0.6725080996540056	-0.32118648503717695	-0.6789196242945409	-1.990333523035499	0.0603316676584752	Human plasma intestinal inflammation severity LC-MS	0.22692649924830957
ST002470	UC	UC_week0_modsev_vs_mild	severity	purine	24	10	24	0.002758564117763355	0.024435900517391397	-0.049482963118148406	-0.14588812529059653	0.8854433823141206	Human plasma intestinal inflammation severity LC-MS	0.8854433823141206
ST002470	UC	UC_week0_modsev_vs_mild	severity	pyrimidine	24	10	8	0.0385819262603234	0.27256768284224836	-0.3198053359214868	-1.0910836673035262	0.2842229203538348	Human plasma intestinal inflammation severity LC-MS	0.4263343805307522
ST002470	UC	UC_week0_modsev_vs_mild	severity	sphingomyelin	24	10	18	-0.4406794330508201	-0.2801392000263603	-0.18870684322484957	-0.6294155370593637	0.5342485664411962	Human plasma intestinal inflammation severity LC-MS	0.6232899941813956
ST002470	UC	UC_week0_modsev_vs_mild	severity	steroid	24	10	3	0.012956037934661097	0.24442534584039294	-0.5069865836306244	-1.7597804310602234	0.08866127499815278	Human plasma intestinal inflammation severity LC-MS	0.22692649924830957
ST002470	UC	UC_week0_modsev_vs_mild	severity	sterol	24	10	2	-0.4925296414757603	-0.4007446836841507	-0.10584720783739213	-0.2928128987654011	0.773101012367842	Human plasma intestinal inflammation severity LC-MS	0.8117560629862342
ST002470	UC	UC_week0_modsev_vs_mild	severity	triacylglycerol	24	10	84	-0.4447639046612674	-0.30184523734534546	-0.22890052626630542	-0.7108716603715598	0.4842470997193862	Human plasma intestinal inflammation severity LC-MS	0.5981875937710065
ST002470	UC	UC_week0_modsev_vs_mild	severity	unclassified	24	10	284	-0.10851849600336054	0.07139694283690072	-0.4671542112489462	-1.7085930779761633	0.09725421396356124	Human plasma intestinal inflammation severity LC-MS	0.22692649924830957
ST002470	UC	UC_week12_inactive_vs_week0_modsev	treatment_or_improvement_shift	acylcarnitine	18	24	2	0.1301744006224438	0.09551470892612363	0.03781827850644091	0.12559041901310458	0.9007073157307128	Human plasma intestinal inflammation severity LC-MS	0.9457426815172485
ST002470	UC	UC_week12_inactive_vs_week0_modsev	treatment_or_improvement_shift	amino_acid	18	24	55	0.15968250046206775	-0.28538738744981557	1.0444433005176712	3.533772567512649	0.0010532449114903886	Human plasma intestinal inflammation severity LC-MS	0.003159734734471166
ST002470	UC	UC_week12_inactive_vs_week0_modsev	treatment_or_improvement_shift	bile_acid	18	24	21	0.38102744347748546	-0.7179144746493543	1.946805029824147	6.733948467454183	4.6655061964267885e-08	Human plasma intestinal inflammation severity LC-MS	9.797563012496256e-07
ST002470	UC	UC_week12_inactive_vs_week0_modsev	treatment_or_improvement_shift	ceramide	18	24	16	-0.1507815310227086	0.04387389494593358	-0.2604524660563719	-0.7999493427999296	0.4307137511684392	Human plasma intestinal inflammation severity LC-MS	0.5653117984085765
ST002470	UC	UC_week12_inactive_vs_week0_modsev	treatment_or_improvement_shift	cholesteryl_ester	18	24	13	0.14810267688798515	-0.4312591828836821	0.5964758198677227	2.195272698810965	0.036249684758120015	Human plasma intestinal inflammation severity LC-MS	0.0692039436291382
ST002470	UC	UC_week12_inactive_vs_week0_modsev	treatment_or_improvement_shift	diacylglycerol	18	24	27	0.05655306454087747	-0.14131968736140507	0.2909077161162188	0.9074149346905833	0.3715541846810093	Human plasma intestinal inflammation severity LC-MS	0.5439129477605191
ST002470	UC	UC_week12_inactive_vs_week0_modsev	treatment_or_improvement_shift	eicosanoid_oxylipin	18	22	11	-0.13677344589565996	-0.031333439627279185	-0.1913422050307295	-0.6353781451121118	0.5290567240529634	Human plasma intestinal inflammation severity LC-MS	0.653540659124249
ST002470	UC	UC_week12_inactive_vs_week0_modsev	treatment_or_improvement_shift	fatty_acid	18	24	12	-0.0057368702156492596	-0.24141251771384453	0.23635974043917163	0.8761677735111176	0.3885092484003708	Human plasma intestinal inflammation severity LC-MS	0.5439129477605191
ST002470	UC	UC_week12_inactive_vs_week0_modsev	treatment_or_improvement_shift	lysophosphatidylcholine	18	24	34	0.32190624915590804	-0.6700379773465142	1.3988470005198623	4.860555804499383	1.9230021727780054e-05	Human plasma intestinal inflammation severity LC-MS	0.0002019152281416906
ST002470	UC	UC_week12_inactive_vs_week0_modsev	treatment_or_improvement_shift	lysophosphatidylethanolamine	18	24	19	0.07565100670582339	-0.4124046862773467	0.6644188650522811	2.3146598562675655	0.025991344092945578	Human plasma intestinal inflammation severity LC-MS	0.054581822595185715
ST002470	UC	UC_week12_inactive_vs_week0_modsev	treatment_or_improvement_shift	nicotinamide_nad	18	24	4	-0.11958669278754679	0.2688411963800677	-0.6838334530311431	-2.4247173135029634	0.020368604749928042	Human plasma intestinal inflammation severity LC-MS	0.04752674441649877
ST002470	UC	UC_week12_inactive_vs_week0_modsev	treatment_or_improvement_shift	phosphatidylcholine	18	24	52	0.2131726382423476	-0.6945231639084176	1.2960917694416905	4.571297197427202	5.1397805591504755e-05	Human plasma intestinal inflammation severity LC-MS	0.00030504904407902374
