route	source	query	count	top_hits
TAM_receptor_inhibition	EuropePMC	(AXL inhibitor OR MERTK inhibitor OR bemcentinib) AND (autoimmune OR inflammatory disease)	15592	41258149: From pathogenesis to therapeutic targeting: new insight into TAM receptors in rheumatoid arthritis. [] | 41978837: Impaired Macrophage Efferocytosis: Shared Mechanisms and Therapeutic Implications in Immune-Mediated Inflammatory Diseases. [] | 41601343: Metabolic reprogramming of efferocytosis in the tumour microenvironment: From apoptotic-cell clearance to therapeutic targeting. [] | 40821795: Targeting myeloid cells to improve cancer immune therapy. [] | 41472896: AXL Inhibitors in Oncology Clinical Trials: A Review. []
TAM_receptor_inhibition	ClinicalTrials.gov	AXL inhibitor	8	NCT03607955: Paclitaxel + Carboplatin With AVB-S6-500 in Women With Stage III or IV Epithelial Ovarian, Primary Peritoneal, or Fallopian Tube Cancer Receiving Neoadjuvant Chemotherapy | WITHDRAWN | Epithelial Ovarian Cancer; Primary Peritoneal Carcinoma; Fallopian Tube Cancer | ['PHASE1'] | NCT04458259: Study of PF-07265807 in Participants With Metastatic Solid Tumors. | TERMINATED | Neoplasm Metastasis | ['PHASE1'] | NCT03425279: CAB-AXL-ADC Safety and Efficacy Study in Adult and Adolescent Patients With Sarcoma | COMPLETED | Undifferentiated Pleomorphic Sarcoma; Myxofibrosarcoma | ['PHASE1', 'PHASE2'] | NCT07252661: Study of ACC-1898 in Adult Participants With Advanced Solid Tumors | NOT_YET_RECRUITING | Hepatocellular Carcinoma; Renal Cell Carcinoma; Thyroid Carcinoma, Medullary | ['PHASE1'] | NCT04004442: Avelumab in Combination With AVB-S6-500 in Patients With Advanced Urothelial Carcinoma | ACTIVE_NOT_RECRUITING | Urothelial Carcinoma | ['PHASE1']
TAM_receptor_inhibition	ClinicalTrials.gov	MERTK inhibitor	3	NCT04458259: Study of PF-07265807 in Participants With Metastatic Solid Tumors. | TERMINATED | Neoplasm Metastasis | ['PHASE1'] | NCT04872478: Pharmacokinetic and Safety Study of MRX-2843 in Adolescents and Adults With Relapsed/Refractory AML, ALL, or MPAL | RECRUITING | Acute Myeloid Leukemia; Acute Lymphoblastic Leukemia; Mixed Phenotype Acute Leukemia | ['PHASE1'] | NCT04762199: MRX-2843 and Osimertinib for the Treatment of Advanced EGFR Mutant Non-small Cell Lung Cancer | RECRUITING | Advanced Lung Non-Small Cell Carcinoma; Metastatic Lung Non-Small Cell Carcinoma; Stage IV Lung Cancer AJCC v8 | ['PHASE1']
TAM_receptor_inhibition	ClinicalTrials.gov	bemcentinib autoimmune	0	
TREM2_agonism	PubMed	"(TREM2 AND (agonist OR ""agonistic antibody"" OR activation) AND (""multiple sclerosis"" OR EAE OR autoimmune OR remyelination OR microglia))"	930	28602351: A Unique Microglia Type Associated with Restricting Development of Alzheimer's Disease. | 39059388: Microglia rescue neurons from aggregate-induced neuronal dysfunction and death through tunneling nanotubes. | 36306735: TREM2 drives microglia response to amyloid-β via SYK-dependent and -independent pathways. | 38821351: Microglia and TREM2. | 31932797: Human and mouse single-nucleus transcriptomics reveal TREM2-dependent and TREM2-independent cellular responses in Alzheimer's disease.
TREM2_agonism	PubMed	"(TREM2 AND (""multiple sclerosis"" OR EAE OR remyelination) AND (microglia OR macrophage OR lipid))"	97	
TREM2_agonism	EuropePMC	TREM2 agonist antibody autoimmune microglia	375	41771723: Phagocytosis and neuroinflammation: orchestrating central nervous system homeostasis, repair, and the resolution of inflammation. [] | 41449430: Role of TREM2 in neuroinflammation regulation: mechanisms, disease associations, and therapeutic translation advances. [] | 41699693: Spatial characterisation of TREM2 expression in actively demyelinating multiple sclerosis lesions supports its key roles in lipid metabolic pathways. [] | 40940798: TREM2 in Neurodegenerative Diseases: Mechanisms and Therapeutic Potential. [] | 41301546: Microglia-Mediated Phagocytosis in Alzheimer's Disease: Mechanisms, Heterogeneity, and Therapeutic Insights. []
TREM2_agonism	EuropePMC	TREM2 multiple sclerosis remyelination microglia lipid	529	41771723: Phagocytosis and neuroinflammation: orchestrating central nervous system homeostasis, repair, and the resolution of inflammation. [] | 41699693: Spatial characterisation of TREM2 expression in actively demyelinating multiple sclerosis lesions supports its key roles in lipid metabolic pathways. [] | 41373648: Microglia in Brain Aging and Age-Related Diseases: Friends or Foes? [] | 41938832: Secondary demyelination after stroke: Glial cell crosstalk. [] | 41382275: Microglia-derived APOE2 improves remyelination even in the presence of endogenous APOE4. []
TREM2_agonism	ClinicalTrials.gov	TREM2 agonist	0	
TREM2_agonism	ClinicalTrials.gov	AL002	4	NCT03635047: A Phase I Study for Safety and Tolerability of AL002. | COMPLETED | Healthy; Alzheimer Disease | ['PHASE1'] | NCT04592874: A Phase 2 Study to Evaluate Efficacy and Safety of AL002 in Participants With Early Alzheimer's Disease | COMPLETED | Alzheimer Disease | ['PHASE2'] | NCT03671889: ExAblate Blood-Brain Barrier (BBB) Disruption for the Treatment of Alzheimer's Disease | RECRUITING | Alzheimer Disease | ['NA'] | NCT05744401: A Long-term Extension Study to Evaluate Safety, Tolerability, and Efficacy of AL002 in Alzheimer's Disease | TERMINATED | Alzheimer's Disease | ['PHASE2']
TREM2_agonism	ClinicalTrials.gov	INVOKE-2	1	NCT04592874: A Phase 2 Study to Evaluate Efficacy and Safety of AL002 in Participants With Early Alzheimer's Disease | COMPLETED | Alzheimer Disease | ['PHASE2']
TREM2_agonism	ClinicalTrials.gov	TREM2 antibody	5	"NCT04691375: A Study of PY314 in Subjects With Advanced Solid Tumors | TERMINATED | Advanced Solid Tumor; Gynecologic Cancer; Breast Cancer | ['PHASE1'] | NCT06541626: Sun Yat-Sen Cohort of CNS Idiopathic Inflammatory Demyelinating Diseases | RECRUITING | Multiple Sclerosis, MS; Neuromyelitis Optica Spectrum Disorders; Myelin Oligodendrocyte Glycoprotein Antibody-associated Disease | [] | NCT06877533: A First-in-Human Open-label, Phase I/Ib Dose Escalation and Expansion Cohort Study of EOS006215 as Monotherapy and in Combination With Pembrolizumab or Other Anticancer Treatments in Participants With Advanced Solid Tumors | TERMINATED | Selected Advanced Solid Tumors | ['PHASE1'] | NCT05815524: Physical Activity in Patients With Parkinson's Disease: a ""Disease Modifying"" Intervention? | TERMINATED | Parkinson Disease | ['NA'] | NCT06188429: Peripheral Blood VA/TREM2 Levels and Their Correlation Analysis With the Development and Autistic Symptoms in Children With ASD | UNKNOWN | ASD | []"
LXR_ABCA1_activation	PubMed	"(""LXR agonist"" OR ""liver X receptor agonist"" OR T0901317 OR GW3965) AND (""experimental autoimmune encephalomyelitis"" OR ""multiple sclerosis"" OR autoimmune)"	24	
LXR_ABCA1_activation	PubMed	"(ABCA1 OR ABCG1) AND (microglia OR macrophage) AND (""multiple sclerosis"" OR EAE OR remyelination OR autoimmune)"	30	38145349: Boosting Microglial Lipid Metabolism via TREM2 Signaling by Biomimetic Nanoparticles to Attenuate the Sevoflurane-Induced Developmental Neurotoxicity. | 41167189: Single-cell spatial transcriptomic profiling defines a pathogenic inflammatory niche in chronic active multiple sclerosis lesions. | 32097464: Stearoyl-CoA desaturase-1 impairs the reparative properties of macrophages and microglia in the brain. | 40260538: FTY720 Modulating Microglia-Mediated Cholesterol Recycling via TREM2 Promotes Remyelination Following Ischemic Damage. | 40323219: Effects of micro- and nanoplastic exposure on macrophages: a review of molecular and cellular mechanisms.
LXR_ABCA1_activation	EuropePMC	"""LXR agonist"" ""experimental autoimmune encephalomyelitis"""	98	41994323: Fatty acid metabolism-an emerging regulatory node in T-cell immunometabolism. [] | 38627787: LXR agonism for CNS diseases: promises and challenges. [] | 40337526: Pain kept under wraps of myelin sheath. [] | 41810047: Remodeling the Inflammatory Microenvironment: Nanomaterial-Based Targeted Strategies for Systemic Lupus Erythematosus and Lupus Nephritis. [] | 41280910: Immunocyte lipid metabolic reprogramming: a novel pathway for targeted intervention in autoimmune diseases. []
LXR_ABCA1_activation	EuropePMC	(ABCA1 OR ABCG1) microglia multiple sclerosis remyelination	235	41373648: Microglia in Brain Aging and Age-Related Diseases: Friends or Foes? [] | 40646563: Cholesterol in the CNS: functions, recycling and remyelination. [] | 41596461: The Role of Lipid Alteration in Multiple Sclerosis. [] | 40750890: Dihydroartemisinin enhances remyelination by switching microglia to the reparative phenotype. [] | 41893338: Physiological Functions of Side-Chain-Retaining Sterols in the Brain and Their Roles in Neurodegenerative Diseases. []
LXR_ABCA1_activation	ClinicalTrials.gov	LXR agonist autoimmune	0	
LXR_ABCA1_activation	ClinicalTrials.gov	LXR-623	3	NCT00379860: Study Evaluation LXR-623 in Healthy Adults | TERMINATED | Healthy Subjects | ['PHASE1'] | NCT00366522: Study Evaluating LXR-623 in Healthy Subjects | COMPLETED | Healthy | ['PHASE1'] | NCT00385489: Study Evaluating LXR-623 in Healthy Japanese Adults | COMPLETED | Healthy | ['PHASE1']
LXR_ABCA1_activation	ClinicalTrials.gov	ABCA1 multiple sclerosis	0	
PPAR_retinoid_modulation	PubMed	"(""PPAR gamma"" OR pioglitazone OR rosiglitazone) AND (""multiple sclerosis"" OR EAE OR autoimmune OR ulcerative colitis OR Crohn)"	611	34343656: Dioscin ameliorates murine ulcerative colitis by regulating macrophage polarization. | 33168643: The Pharmacological Case for Cannabigerol. | 33434535: Luteolin alleviates inflammation and modulates gut microbiota in ulcerative colitis rats. | 38065777: PPAR agonists for the treatment of neuroinflammatory diseases. | 39117680: Paeonol alleviates ulcerative colitis by modulating PPAR-γ and nuclear factor-κB activation.
PPAR_retinoid_modulation	PubMed	"(retinoid OR ""retinoic acid"" OR bexarotene OR ""RXR agonist"") AND (""multiple sclerosis"" OR EAE OR autoimmune OR Treg)"	2148	25528359: The 3 major types of innate and adaptive cell-mediated effector immunity. | 23329078: Diagnosis and treatment of lichen sclerosus: an update. | 17326003: Vitamins as hormones. | 30081517: Retinoic Acid, Leaky Gut, and Autoimmune Diseases. | 33086036: Regulatory T Cell-Derived TGF-β1 Controls Multiple Checkpoints Governing Allergy and Autoimmunity.
PPAR_retinoid_modulation	EuropePMC	pioglitazone multiple sclerosis clinical trial	1270	42013406: Heterogeneity in the Analysis of the ALSFRS-R in ALS Clinical Trials and its Effect on the Validity and Precision of Trial Conclusions. [] | 41444620: PPAR-γ activation by pioglitazone inhibits microglia-mediated neuroinflammation and alleviates disease in neuromyelitis optica spectrum disorders. [] | 41516231: Cardiovascular Disease and Diabetes: A New Challenge in the Treatment and Management. [] | 41977102: From In Silico Hypothesis to Validation: The Role of Real-World Evidence in the Preliminary Verification of AI-Generated Drug-Repositioning Candidates: A Comprehensive Review. [] | 42160515: Immunotherapeutic landscape of amyotrophic lateral sclerosis: A bibliometric analysis of research trends, translational priorities, and collaboration networks (2006-2025). []
PPAR_retinoid_modulation	EuropePMC	retinoic acid autoimmune Treg multiple sclerosis EAE	1040	41994333: CAR Treg therapies for neurodegenerative diseases. [] | 41229368: Dendritic Cells: Orchestrators of Immune Responsiveness and Tolerance. [] | 41607801: The immunobiology and therapeutic potential of regulatory T cells in autoimmune diseases and allergic diseases. [] | 41562846: Is Obesity a Modifiable Risk Factor in Multiple Sclerosis? Mechanistic Insights into Neuroinflammation and Oxidative Damage. [] | 41476956: Metabolic reprogramming as a therapeutic target for modulating the Th17/Treg balance in autoimmune diseases: a comprehensive review. []
PPAR_retinoid_modulation	ClinicalTrials.gov	pioglitazone multiple sclerosis	2	NCT00242177: Pilot Test of ACTOS in Multiple Sclerosis: Safety and Tolerability | COMPLETED | Multiple Sclerosis, Relapsing-Remitting | ['PHASE1'] | NCT03109288: Targeting Residual Activity By Precision, Biomarker-Guided Combination Therapies of Multiple Sclerosis (TRAP-MS) | RECRUITING | Multiple Sclerosis | ['PHASE1', 'PHASE2']
PPAR_retinoid_modulation	ClinicalTrials.gov	PPAR gamma ulcerative colitis	2	NCT00309660: Treatment With Local PPARgamma Ligand in Distal Ulcerative Colitis | UNKNOWN | Ulcerative Colitis | ['PHASE1', 'PHASE2'] | NCT02304666: Study of Inflammatory Markers (VNN1) in Crohn Disease and Ulcerative Colitis. | UNKNOWN | Inflammatory Bowel Disease (Crohn's Disease and Ulcerative Colitis) | ['NA']
PPAR_retinoid_modulation	ClinicalTrials.gov	bexarotene multiple sclerosis	0	
GPNMB_modulation	PubMed	"(GPNMB OR ""glycoprotein nonmetastatic melanoma protein B"") AND (""multiple sclerosis"" OR EAE OR autoimmune OR macrophage OR microglia)"	238	31675496: Landscape and Dynamics of Single Immune Cells in Hepatocellular Carcinoma. | 37027478: Identification of a broadly fibrogenic macrophage subset induced by type 3 inflammation. | 34054862: The Role of GPNMB in Inflammation. | 34919646: Single-cell sequencing of human midbrain reveals glial activation and a Parkinson-specific neuronal state. | 40164598: Repair-associated macrophages increase after early-phase microglia attenuation to promote ischemic stroke recovery.
GPNMB_modulation	PubMed	"(GPNMB OR ""glycoprotein nonmetastatic melanoma protein B"") AND (antibody OR inhibitor OR agonist OR ""antibody-drug conjugate"" OR glembatumumab)"	177	41708863: RYK is a GPNMB receptor that drives MASH. | 38839271: Targeting the oncogenic m6A demethylase FTO suppresses tumourigenesis and potentiates immune response in hepatocellular carcinoma. | 30071357: Towards frailty biomarkers: Candidates from genes and pathways regulated in aging and age-related diseases. | 28546082: Targeting GPNMB with glembatumumab vedotin: Current developments and future opportunities for the treatment of cancer. | 36411661: Empagliflozin reduces kidney fibrosis and improves kidney function by alternative macrophage activation in rats with 5/6-nephrectomy.
GPNMB_modulation	EuropePMC	GPNMB multiple sclerosis microglia	536	42168651: Foamy microglia link oxylipins to disease progression in multiple sclerosis. [] | 42011986: A Cross-Disease Microglial Transcriptional Program Characterizes Neurodegeneration and Highlights SPP1 as a Biomarker. [] | 41935645: IL-4/IL-4Rα signaling activates PPARγ to promote oligodendrocyte differentiation and remyelination. [] | 41406219: GPNMB, LRRK2, and lysosome exocytosis in Parkinson's. [] | 41386298: Sterile innate immune mechanisms in neurodegenerative diseases. []
GPNMB_modulation	EuropePMC	GPNMB antibody drug conjugate glembatumumab	163	41827715: Adverse Events and Toxicity of Systemic Treatments for Uveal Melanoma: A Systematic Review. [] | 41171076: GPNMB immunohistochemistry is a useful ancillary tool for the diagnosis of pulmonary lymphangioleiomyomatosis. [] | 41621018: Clinical advances and challenges of antibody-mediated targeted drug delivery in breast cancer therapeutics. [] | 40528051: GPNMB marks a quiescent cell population in melanoma and promotes metastasis formation. [] | 41180454: The janus-faced biology of GPNMB: from tissue homeostasis to cancer pathogenesis. []
GPNMB_modulation	ClinicalTrials.gov	GPNMB	8	NCT07475013: Effects of Non-Surgical Periodontal Treatment on Inflammatory and Bone Markers in Periodontitis Patients | ACTIVE_NOT_RECRUITING | Periodontitis (Stage 3) | ['NA'] | NCT04371978: Efficacy and Safety of Dipeptidyl Peptidase-4 Inhibitors in Diabetic Patients With Established COVID-19 | TERMINATED | COVID 19; Coronavirus; Diabetes Mellitus, Type 2 | ['PHASE3'] | NCT07162779: Evaluation of [68Ga]DOTA-IR-780-C-4 in PET Imaging Studies for PSMA-Positive Prostate Cancer Patients | ENROLLING_BY_INVITATION | PET CT | ['NA'] | NCT06253637: Daratumumab in VHR T-ALL Treated According to the ALL National Treatment Program | ACTIVE_NOT_RECRUITING | T-Lymphocytic Leukemia, Acute | ['PHASE2'] | NCT04755452: The Effect of Pneumoperitoneum (Raised Pressure in the Peritoneal Cavity) During Robotic Kidney/Prostate Cancer Surgery. | COMPLETED | Acute Kidney Injury; Pneumoperitoneum; Kidney | ['NA']
GPNMB_modulation	ClinicalTrials.gov	glembatumumab vedotin	8	NCT02363283: Glembatumumab Vedotin in Treating Patients With Metastatic or Locally Recurrent Uveal Melanoma | COMPLETED | Recurrent Uveal Melanoma; Stage IV Uveal Melanoma AJCC v7 | ['PHASE2'] | NCT02713828: Study of Glembatumumab Vedotin in gpNMB-Expressing, Advanced or Metastatic SCC of the Lung | TERMINATED | Squamous Cell Carcinoma of the Lung | ['PHASE1', 'PHASE2'] | NCT03473691: Pilot Study of Glembatumumab Vedotin Following Doxorubicin and Cytoxan as Neo-adjuvant Therapy in Gp-NMB-expressing High Risk Triple Negative Breast Cancer | WITHDRAWN | Triple Negative Breast Cancer | ['EARLY_PHASE1'] | NCT02487979: Glembatumumab Vedotin in Treating Patients With Recurrent or Refractory Osteosarcoma | COMPLETED | Recurrent Osteosarcoma | ['PHASE2'] | NCT03067935: Individual Patient Expanded Access-Glembatumumab Vedotin | NO_LONGER_AVAILABLE | Metastatic gpNMB Expressing Triple Negative Breast Cancer | []
CD300_family_modulation	PubMed	"(CD300A OR CD300F OR CD300LF OR CD300E OR ""CD300 family"") AND (autoimmune OR ""multiple sclerosis"" OR lupus OR colitis OR psoriasis OR rheumatoid)"	26	38677094: CD300e: Emerging role and mechanism as an immune-activating receptor. | 19592130: The CD300 molecules regulate monocyte and dendritic cell functions. | 25980030: The Biology and Disease Relevance of CD300a, an Inhibitory Receptor for Phosphatidylserine and Phosphatidylethanolamine. | 37033950: CD300b regulates intestinal inflammation and promotes repair in colitis. | 26259611: CD300f immunoreceptor contributes to peripheral nerve regeneration by the modulation of macrophage inflammatory phenotype.
CD300_family_modulation	PubMed	(CD300A OR CD300F OR CD300LF) AND (agonist OR antibody OR phosphatidylserine OR ceramide OR efferocytosis OR macrophage)	145	37864797: CD300f immune receptor contributes to healthy aging by regulating inflammaging, metabolism, and cognitive decline. | 40705472: Immunoreceptor CD300a regulates ischemic tissue damage and adverse remodeling in the mouse heart and kidney. | 28073916: Ceramide-CD300f Binding Inhibits Lipopolysaccharide-induced Skin Inflammation. | 39368806: Universal protection of allogeneic T-cell therapies from natural killer cells via CD300a agonism. | 40935207: CD300f enables microglial damage sensing, efferocytosis, and apoptotic cell metabolization after brain injury.
CD300_family_modulation	EuropePMC	CD300F autoimmune efferocytosis macrophage	42	41126210: Efferocytosis: the art of cellular clearance and novel perspectives in disease therapy. [] | 41403915: Efferocytosis in Health and Disease. [] | 41608581: Targeting efferocytosis for tissue regeneration: From microenvironment reprogramming to clinical translation. [] | 40310290: Phosphatidylserine-binding receptor, CD300f, on macrophages mediates host invasion of pathogenic and non-pathogenic rickettsiae. [] | 41717712: Polydopamine-Encapsulated Probiotics Restore Gut Homeostasis and Reinstate Macrophage Efferocytosis in Systemic Lupus Erythematosus. []
CD300_family_modulation	EuropePMC	CD300A CD300F antibody autoimmune disease	39	40507267: CD300a: An Innate Immune Checkpoint Shaping Tumor Immunity and Therapeutic Opportunity. [] | 41020590: Viral apoptotic mimicry and the role of phosphatidylserine receptors. [] | 41368640: Mast cell metabolism in cancer: an underexplored frontier demanding more attention. [] | 40563506: The Role of LAIR1 as a Regulatory Receptor of Antitumor Immune Cell Responses and Tumor Cell Growth and Expansion. [] | 37033950: CD300b regulates intestinal inflammation and promotes repair in colitis. []
CD300_family_modulation	ClinicalTrials.gov	CD300 autoimmune	0	
CD300_family_modulation	ClinicalTrials.gov	CD300F antibody	0	
CD300_family_modulation	ClinicalTrials.gov	CD300A antibody	0	
LIPA_LAL_enhancement	PubMed	"(""lysosomal acid lipase"" OR LIPA OR sebelipase) AND (""multiple sclerosis"" OR EAE OR remyelination OR autoimmune)"	24	36843347: Rare diseases presenting with hemophagocytic lymphohistiocytosis. | 39650963: Lysosomal Acid Lipase Deficiency: A Report of Two Cases and a Review of the Literature. | 29778561: Severe xanthomatosis in heterozygous familial hypercholesterolemia. | 37776826: Sleep, physical activity, and psychological outcomes in children and adolescents with pediatric onset multiple sclerosis. | 39871963: Altered lipid homeostasis and autophagy precipitate diffuse alveolar hemorrhage in murine lupus.
LIPA_LAL_enhancement	PubMed	"(""lysosomal acid lipase"" OR LIPA) AND (macrophage OR microglia OR efferocytosis OR inflammation)"	216	31155493: Modeling Steatohepatitis in Humans with Pluripotent Stem Cell-Derived Organoids. | 33794741: The ménage à trois of autophagy, lipid droplets and liver disease. | 35712121: Lipid-associated macrophages in the tumor-adipose microenvironment facilitate breast cancer progression. | 28785870: Mechanisms of foam cell formation in atherosclerosis. | 39770929: Practical Recommendations for the Diagnosis and Management of Lysosomal Acid Lipase Deficiency with a Focus on Wolman Disease.
