dataset	system	module	n	effect_post_minus_pre	p	fdr	note
GSE253006	UC_tofacitinib_stromal_endothelial_like	lipid_loader_repair	4R/6NR	-0.0780181783095606	0.0352947651771399	0.9760621886449192	UC tofacitinib marker-derived compartments; copied from existing V3 output
GSE253006	UC_tofacitinib_stromal_endothelial_like	lipid_loader_repair	4R/6NR	-0.0524691059536404	0.129100530480739	0.9760621886449192	UC tofacitinib marker-derived compartments; copied from existing V3 output
GSE253006	UC_tofacitinib_myeloid_apc_like	mixscale_validated_ifng_readout	5R/6NR	-0.074940576542497	0.149857742216826	0.9760621886449192	UC tofacitinib marker-derived compartments; copied from existing V3 output
GSE253006	UC_tofacitinib_myeloid_apc_like	mif_cd74_receptor_state	5R/6NR	-0.0798486977730811	0.2551931323844549	0.9760621886449192	UC tofacitinib marker-derived compartments; copied from existing V3 output
GSE253006	UC_tofacitinib_t_cell_like	complement_phagocytosis	5R/6NR	0.0238654122276984	0.2569420793280776	0.9760621886449192	UC tofacitinib marker-derived compartments; copied from existing V3 output
GSE253006	UC_tofacitinib_stromal_endothelial_like	lysosomal_apc	4R/6NR	0.0636187676710567	0.2674707135043463	0.9760621886449192	UC tofacitinib marker-derived compartments; copied from existing V3 output
GSE253006	UC_tofacitinib_myeloid_apc_like	ifn_apc	5R/6NR	-0.0703202180234635	0.2845861294412729	0.9760621886449192	UC tofacitinib marker-derived compartments; copied from existing V3 output
GSE253006	UC_tofacitinib_epithelial_like	lysosomal_apc	5R/6NR	0.0479680030292024	0.2853959051400995	0.9760621886449192	UC tofacitinib marker-derived compartments; copied from existing V3 output
GSE253006	UC_tofacitinib_myeloid_apc_like	mixscale_validated_ifng_readout	5R/6NR	-0.0683040556875607	0.3050806089081047	0.9760621886449192	UC tofacitinib marker-derived compartments; copied from existing V3 output
GSE253006	UC_tofacitinib_t_cell_like	complement_phagocytosis	5R/6NR	0.0369064136722891	0.3133888251596847	0.9760621886449192	UC tofacitinib marker-derived compartments; copied from existing V3 output
GSE253006	UC_tofacitinib_b_plasma_like	complement_phagocytosis	5R/6NR	0.0357407992263381	0.3243734510835453	0.9760621886449192	UC tofacitinib marker-derived compartments; copied from existing V3 output
GSE253006	UC_tofacitinib_epithelial_like	lysosomal_apc	5R/6NR	0.0549076459633446	0.3289045854960638	0.9760621886449192	UC tofacitinib marker-derived compartments; copied from existing V3 output
GSE253006	UC_tofacitinib_stromal_endothelial_like	ifn_apc	4R/6NR	0.1195642194479776	0.3391165030314023	0.9760621886449192	UC tofacitinib marker-derived compartments; copied from existing V3 output
GSE253006	UC_tofacitinib_stromal_endothelial_like	mixscale_validated_ifng_readout	4R/6NR	0.081952315883112	0.3700020506148772	0.9760621886449192	UC tofacitinib marker-derived compartments; copied from existing V3 output
GSE253006	UC_tofacitinib_stromal_endothelial_like	ifn_apc	4R/6NR	0.1283329362401805	0.3898370440097175	0.9760621886449192	UC tofacitinib marker-derived compartments; copied from existing V3 output
GSE253006	UC_tofacitinib_stromal_endothelial_like	complement_phagocytosis	4R/6NR	0.0254035753517903	0.4049810774901126	0.9760621886449192	UC tofacitinib marker-derived compartments; copied from existing V3 output
GSE253006	UC_tofacitinib_myeloid_apc_like	lysosomal_apc	5R/6NR	-0.0368946393806675	0.4172092316067574	0.9760621886449192	UC tofacitinib marker-derived compartments; copied from existing V3 output
GSE253006	UC_tofacitinib_b_plasma_like	complement_phagocytosis	5R/6NR	0.0182013897008557	0.4192278194305534	0.9760621886449192	UC tofacitinib marker-derived compartments; copied from existing V3 output
GSE253006	UC_tofacitinib_myeloid_apc_like	ifn_apc	5R/6NR	-0.0814465261284202	0.4254716370462448	0.9760621886449192	UC tofacitinib marker-derived compartments; copied from existing V3 output
GSE253006	UC_tofacitinib_t_cell_like	hif_nampt_metabolic	5R/6NR	0.0359853796084119	0.4267458428758492	0.9760621886449192	UC tofacitinib marker-derived compartments; copied from existing V3 output
