truth	scenario	severity	cohorts	primary_pass_rate	individual_guard_flag_rate	individual_guarded_acceptable_pass_rate	joint_guard_flag_rate	joint_guarded_acceptable_pass_rate	mean_auc	mean_joint_technical_attenuation	mean_max_feature_metadata_auc	mean_max_feature_abs_spearman	mean_max_feature_attenuation
synthetic_null	distributed_weak_technical	1.0	80	0.1375	1.0	0.0	0.5875	0.0	0.6182916666666667	0.059833333333333336	0.6984722222222223	0.4224827370026289	0.05293055555555556
synthetic_null	immune_tone_plus_batch	0.0	80	0.0	0.6625	0.0	0.0	0.0	0.5072222222222222	-0.051055555555555555	0.6127777777777778	0.19069519322092593	-0.038791666666666655
synthetic_null	immune_tone_plus_batch	0.25	80	0.0125	0.6375	0.0	0.05	0.0125	0.5379444444444444	-0.026958333333333327	0.6144722222222223	0.23228788449010246	-0.015638888888888883
synthetic_null	immune_tone_plus_batch	0.5	80	0.0625	0.8625	0.0125	0.125	0.05	0.5845277777777778	0.007861111111111114	0.6315	0.2740491061834521	0.01788888888888889
synthetic_null	immune_tone_plus_batch	0.75	80	0.125	0.9375	0.0125	0.25	0.1	0.6303472222222222	0.026180555555555558	0.6612083333333334	0.326845410287433	0.034569444444444444
synthetic_null	immune_tone_plus_batch	1.0	80	0.4125	0.975	0.0125	0.5	0.0875	0.6821666666666666	0.05172222222222221	0.7121111111111111	0.3557208517442054	0.06469444444444444
synthetic_null	independent_technical	0.0	80	0.0	0.575	0.0	0.0125	0.0	0.5030833333333333	-0.05311111111111112	0.6051527777777778	0.19940357169066714	-0.04406944444444445
synthetic_null	independent_technical	0.25	80	0.0	0.5625	0.0	0.0125	0.0	0.5024583333333333	-0.05320833333333334	0.6079861111111111	0.20269295751737126	-0.04369444444444445
synthetic_null	independent_technical	0.5	80	0.0125	0.6	0.0125	0.0	0.0125	0.49315277777777783	-0.06973611111111111	0.6140555555555556	0.1956273422195079	-0.05729166666666667
synthetic_null	independent_technical	0.75	80	0.0	0.6875	0.0	0.0125	0.0	0.5006388888888889	-0.05991666666666666	0.6141944444444445	0.20411042145662367	-0.05181944444444444
synthetic_null	independent_technical	1.0	80	0.0	0.5875	0.0	0.025	0.0	0.4875694444444444	-0.07429166666666667	0.6064583333333333	0.2070822119443121	-0.06168055555555556
synthetic_null	normalization_plus_depth	0.0	80	0.0125	0.675	0.0	0.0125	0.0125	0.5028055555555555	-0.06961111111111111	0.6158750000000001	0.18937577480454235	-0.05845833333333332
synthetic_null	normalization_plus_depth	0.25	80	0.0	0.825	0.0	0.1375	0.0	0.5261527777777777	-0.031027777777777786	0.6292222222222222	0.31681727639819696	-0.015319444444444445
synthetic_null	normalization_plus_depth	0.5	80	0.075	0.975	0.0	0.525	0.0125	0.6060833333333333	0.05190277777777778	0.6801666666666667	0.48472625657460877	0.06136111111111111
synthetic_null	normalization_plus_depth	0.75	80	0.45	1.0	0.0	0.8875	0.0	0.686	0.13245833333333334	0.7287361111111111	0.6281098916365658	0.11473611111111112
synthetic_null	normalization_plus_depth	1.0	80	0.8625	1.0	0.0	0.9625	0.0125	0.7625277777777778	0.20941666666666667	0.7878611111111111	0.7092914698527369	0.17336111111111113
