analysis	module	n_genes_present	genes_present
ibd_crohn_epithelial	target_mif_cd74_receptor_state	7	CD74,CD44,CXCR4,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1
ibd_crohn_epithelial	target_mixscale_validated_ifng_readout	8	CD74,CTSS,IFI30,CIITA,TAP1,TAP2,B2M,NLRC5
ibd_crohn_epithelial	target_lipid_loader_repair	12	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK,SPP1
ibd_crohn_epithelial	target_complement_phagocytosis	7	C1QA,C1QB,C1QC,CD68,TREM2,MERTK,MSR1
ibd_crohn_epithelial	target_hif_nampt_metabolic	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3
ibd_crohn_epithelial	target_inflammatory_nfkb	9	IL1B,TNF,CXCL8,CCL2,CCL3,CCL4,NFKBIA,TREM1,OSM
ibd_uc_epithelial	endothelial_entry	5	ANGPT2,ICAM1,VCAM1,SELE,MADCAM1
ibd_uc_epithelial	stromal_retention_fibrosis	8	ITGAV,ITGB1,TGFB1,TGFB2,TGFB3,SERPINE1,PDPN,COL1A1
ibd_uc_epithelial	epithelial_chemokine_entry	4	CCL20,CXCL1,CXCL2,CXCL3
ibd_uc_epithelial	tls_lymphoid_niche	6	CXCL13,CCL19,CCL21,LTB,LTBR,TNFSF14
ibd_uc_epithelial	tl1a_comparator	2	TNFSF15,TNFRSF25
ibd_uc_epithelial	target_ifn_apc	8	STAT1,IRF1,CXCL10,GBP1,CD74,IFI30,HLA-DRA,HLA-DRB1
ibd_uc_epithelial	target_hla_ii_apc	7	CD74,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CIITA,RFX5
ibd_uc_epithelial	target_lysosomal_apc	7	IFI30,CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
ibd_uc_epithelial	target_mif_cd74_receptor_state	7	CD74,CD44,CXCR4,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1
ibd_uc_epithelial	target_mixscale_validated_ifng_readout	8	CD74,CTSS,IFI30,CIITA,TAP1,TAP2,B2M,NLRC5
ibd_uc_epithelial	target_lipid_loader_repair	12	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK,SPP1
ibd_uc_epithelial	target_complement_phagocytosis	7	C1QA,C1QB,C1QC,CD68,TREM2,MERTK,MSR1
ibd_uc_epithelial	target_hif_nampt_metabolic	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3
ibd_uc_epithelial	target_inflammatory_nfkb	9	IL1B,TNF,CXCL8,CCL2,CCL3,CCL4,NFKBIA,TREM1,OSM
psoriasis_skin_apc	endothelial_entry	5	ANGPT2,ICAM1,VCAM1,SELE,MADCAM1
psoriasis_skin_apc	stromal_retention_fibrosis	8	ITGAV,ITGB1,TGFB1,TGFB2,TGFB3,SERPINE1,PDPN,COL1A1
psoriasis_skin_apc	epithelial_chemokine_entry	4	CCL20,CXCL1,CXCL2,CXCL3
psoriasis_skin_apc	tls_lymphoid_niche	4	CXCL13,CCL19,CCL21,TNFSF14
psoriasis_skin_apc	tl1a_comparator	2	TNFSF15,TNFRSF25
psoriasis_skin_apc	target_ifn_apc	6	STAT1,IRF1,CXCL10,GBP1,CD74,IFI30
psoriasis_skin_apc	target_hla_ii_apc	3	CD74,CIITA,RFX5
psoriasis_skin_apc	target_lysosomal_apc	7	IFI30,CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
psoriasis_skin_apc	target_mif_cd74_receptor_state	3	CD74,CD44,CXCR4
psoriasis_skin_apc	target_mixscale_validated_ifng_readout	5	CD74,CTSS,IFI30,CIITA,NLRC5
psoriasis_skin_apc	target_lipid_loader_repair	12	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK,SPP1
psoriasis_skin_apc	target_complement_phagocytosis	7	C1QA,C1QB,C1QC,CD68,TREM2,MERTK,MSR1
psoriasis_skin_apc	target_hif_nampt_metabolic	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3
psoriasis_skin_apc	target_inflammatory_nfkb	6	IL1B,CXCL8,CCL2,NFKBIA,TREM1,OSM
psoriasis_keratinocyte	endothelial_entry	5	ANGPT2,ICAM1,VCAM1,SELE,MADCAM1
psoriasis_keratinocyte	stromal_retention_fibrosis	8	ITGAV,ITGB1,TGFB1,TGFB2,TGFB3,SERPINE1,PDPN,COL1A1
psoriasis_keratinocyte	epithelial_chemokine_entry	4	CCL20,CXCL1,CXCL2,CXCL3
psoriasis_keratinocyte	tls_lymphoid_niche	4	CXCL13,CCL19,CCL21,TNFSF14
psoriasis_keratinocyte	tl1a_comparator	2	TNFSF15,TNFRSF25
psoriasis_keratinocyte	target_ifn_apc	6	STAT1,IRF1,CXCL10,GBP1,CD74,IFI30
psoriasis_keratinocyte	target_hla_ii_apc	3	CD74,CIITA,RFX5
psoriasis_keratinocyte	target_lysosomal_apc	7	IFI30,CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
psoriasis_keratinocyte	target_mif_cd74_receptor_state	3	CD74,CD44,CXCR4
psoriasis_keratinocyte	target_mixscale_validated_ifng_readout	5	CD74,CTSS,IFI30,CIITA,NLRC5
psoriasis_keratinocyte	target_lipid_loader_repair	12	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK,SPP1
psoriasis_keratinocyte	target_complement_phagocytosis	7	C1QA,C1QB,C1QC,CD68,TREM2,MERTK,MSR1
psoriasis_keratinocyte	target_hif_nampt_metabolic	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3
psoriasis_keratinocyte	target_inflammatory_nfkb	6	IL1B,CXCL8,CCL2,NFKBIA,TREM1,OSM
sjogren_gland_apc	endothelial_entry	5	ANGPT2,ICAM1,VCAM1,SELE,MADCAM1
sjogren_gland_apc	stromal_retention_fibrosis	8	ITGAV,ITGB1,TGFB1,TGFB2,TGFB3,SERPINE1,PDPN,COL1A1
sjogren_gland_apc	epithelial_chemokine_entry	4	CCL20,CXCL1,CXCL2,CXCL3
sjogren_gland_apc	tls_lymphoid_niche	6	CXCL13,CCL19,CCL21,LTB,LTBR,TNFSF14
sjogren_gland_apc	tl1a_comparator	2	TNFSF15,TNFRSF25
sjogren_gland_apc	target_ifn_apc	8	STAT1,IRF1,CXCL10,GBP1,CD74,IFI30,HLA-DRA,HLA-DRB1
sjogren_gland_apc	target_hla_ii_apc	7	CD74,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CIITA,RFX5
sjogren_gland_apc	target_lysosomal_apc	7	IFI30,CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
sjogren_gland_apc	target_mif_cd74_receptor_state	7	CD74,CD44,CXCR4,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1
sjogren_gland_apc	target_mixscale_validated_ifng_readout	8	CD74,CTSS,IFI30,CIITA,TAP1,TAP2,B2M,NLRC5
sjogren_gland_apc	target_lipid_loader_repair	12	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK,SPP1
sjogren_gland_apc	target_complement_phagocytosis	7	C1QA,C1QB,C1QC,CD68,TREM2,MERTK,MSR1
sjogren_gland_apc	target_hif_nampt_metabolic	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3
sjogren_gland_apc	target_inflammatory_nfkb	9	IL1B,TNF,CXCL8,CCL2,CCL3,CCL4,NFKBIA,TREM1,OSM
sjogren_gland_epithelial	endothelial_entry	5	ANGPT2,ICAM1,VCAM1,SELE,MADCAM1
sjogren_gland_epithelial	stromal_retention_fibrosis	8	ITGAV,ITGB1,TGFB1,TGFB2,TGFB3,SERPINE1,PDPN,COL1A1
sjogren_gland_epithelial	epithelial_chemokine_entry	4	CCL20,CXCL1,CXCL2,CXCL3
sjogren_gland_epithelial	tls_lymphoid_niche	6	CXCL13,CCL19,CCL21,LTB,LTBR,TNFSF14
sjogren_gland_epithelial	tl1a_comparator	2	TNFSF15,TNFRSF25
sjogren_gland_epithelial	target_ifn_apc	8	STAT1,IRF1,CXCL10,GBP1,CD74,IFI30,HLA-DRA,HLA-DRB1
sjogren_gland_epithelial	target_hla_ii_apc	7	CD74,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CIITA,RFX5
sjogren_gland_epithelial	target_lysosomal_apc	7	IFI30,CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
sjogren_gland_epithelial	target_mif_cd74_receptor_state	7	CD74,CD44,CXCR4,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1
sjogren_gland_epithelial	target_mixscale_validated_ifng_readout	8	CD74,CTSS,IFI30,CIITA,TAP1,TAP2,B2M,NLRC5
sjogren_gland_epithelial	target_lipid_loader_repair	12	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK,SPP1
sjogren_gland_epithelial	target_complement_phagocytosis	7	C1QA,C1QB,C1QC,CD68,TREM2,MERTK,MSR1
sjogren_gland_epithelial	target_hif_nampt_metabolic	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3
sjogren_gland_epithelial	target_inflammatory_nfkb	9	IL1B,TNF,CXCL8,CCL2,CCL3,CCL4,NFKBIA,TREM1,OSM
ra_blood_myeloid	endothelial_entry	5	ANGPT2,ICAM1,VCAM1,SELE,MADCAM1
ra_blood_myeloid	stromal_retention_fibrosis	8	ITGAV,ITGB1,TGFB1,TGFB2,TGFB3,SERPINE1,PDPN,COL1A1
ra_blood_myeloid	epithelial_chemokine_entry	4	CCL20,CXCL1,CXCL2,CXCL3
ra_blood_myeloid	tls_lymphoid_niche	5	CXCL13,CCL19,LTB,LTBR,TNFSF14
ra_blood_myeloid	tl1a_comparator	2	TNFSF15,TNFRSF25
ra_blood_myeloid	target_ifn_apc	8	STAT1,IRF1,CXCL10,GBP1,CD74,IFI30,HLA-DRA,HLA-DRB1
ra_blood_myeloid	target_hla_ii_apc	7	CD74,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CIITA,RFX5
ra_blood_myeloid	target_lysosomal_apc	7	IFI30,CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
ra_blood_myeloid	target_mif_cd74_receptor_state	7	CD74,CD44,CXCR4,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1
ra_blood_myeloid	target_mixscale_validated_ifng_readout	8	CD74,CTSS,IFI30,CIITA,TAP1,TAP2,B2M,NLRC5
ra_blood_myeloid	target_lipid_loader_repair	12	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK,SPP1
ra_blood_myeloid	target_complement_phagocytosis	7	C1QA,C1QB,C1QC,CD68,TREM2,MERTK,MSR1
ra_blood_myeloid	target_hif_nampt_metabolic	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3
ra_blood_myeloid	target_inflammatory_nfkb	9	IL1B,TNF,CXCL8,CCL2,CCL3,CCL4,NFKBIA,TREM1,OSM
t1d_beta_cell	endothelial_entry	5	ANGPT2,ICAM1,VCAM1,SELE,MADCAM1
t1d_beta_cell	stromal_retention_fibrosis	8	ITGAV,ITGB1,TGFB1,TGFB2,TGFB3,SERPINE1,PDPN,COL1A1
t1d_beta_cell	epithelial_chemokine_entry	4	CCL20,CXCL1,CXCL2,CXCL3
t1d_beta_cell	tls_lymphoid_niche	6	CXCL13,CCL19,CCL21,LTB,LTBR,TNFSF14
t1d_beta_cell	tl1a_comparator	2	TNFSF15,TNFRSF25
t1d_beta_cell	target_ifn_apc	8	STAT1,IRF1,CXCL10,GBP1,CD74,IFI30,HLA-DRA,HLA-DRB1
t1d_beta_cell	target_hla_ii_apc	7	CD74,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CIITA,RFX5
t1d_beta_cell	target_lysosomal_apc	7	IFI30,CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
t1d_beta_cell	target_mif_cd74_receptor_state	7	CD74,CD44,CXCR4,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1
t1d_beta_cell	target_mixscale_validated_ifng_readout	8	CD74,CTSS,IFI30,CIITA,TAP1,TAP2,B2M,NLRC5
t1d_beta_cell	target_lipid_loader_repair	12	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK,SPP1
t1d_beta_cell	target_complement_phagocytosis	7	C1QA,C1QB,C1QC,CD68,TREM2,MERTK,MSR1
t1d_beta_cell	target_hif_nampt_metabolic	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3
t1d_beta_cell	target_inflammatory_nfkb	9	IL1B,TNF,CXCL8,CCL2,CCL3,CCL4,NFKBIA,TREM1,OSM
t1d_ductal_cell	endothelial_entry	5	ANGPT2,ICAM1,VCAM1,SELE,MADCAM1
t1d_ductal_cell	stromal_retention_fibrosis	8	ITGAV,ITGB1,TGFB1,TGFB2,TGFB3,SERPINE1,PDPN,COL1A1
t1d_ductal_cell	epithelial_chemokine_entry	4	CCL20,CXCL1,CXCL2,CXCL3
t1d_ductal_cell	tls_lymphoid_niche	6	CXCL13,CCL19,CCL21,LTB,LTBR,TNFSF14
t1d_ductal_cell	tl1a_comparator	2	TNFSF15,TNFRSF25
t1d_ductal_cell	target_ifn_apc	8	STAT1,IRF1,CXCL10,GBP1,CD74,IFI30,HLA-DRA,HLA-DRB1
t1d_ductal_cell	target_hla_ii_apc	7	CD74,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CIITA,RFX5
t1d_ductal_cell	target_lysosomal_apc	7	IFI30,CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
t1d_ductal_cell	target_mif_cd74_receptor_state	7	CD74,CD44,CXCR4,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1
t1d_ductal_cell	target_mixscale_validated_ifng_readout	8	CD74,CTSS,IFI30,CIITA,TAP1,TAP2,B2M,NLRC5
t1d_ductal_cell	target_lipid_loader_repair	12	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK,SPP1
t1d_ductal_cell	target_complement_phagocytosis	7	C1QA,C1QB,C1QC,CD68,TREM2,MERTK,MSR1
t1d_ductal_cell	target_hif_nampt_metabolic	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3
t1d_ductal_cell	target_inflammatory_nfkb	9	IL1B,TNF,CXCL8,CCL2,CCL3,CCL4,NFKBIA,TREM1,OSM
t1d_acinar_cell	endothelial_entry	5	ANGPT2,ICAM1,VCAM1,SELE,MADCAM1
t1d_acinar_cell	stromal_retention_fibrosis	8	ITGAV,ITGB1,TGFB1,TGFB2,TGFB3,SERPINE1,PDPN,COL1A1
t1d_acinar_cell	epithelial_chemokine_entry	4	CCL20,CXCL1,CXCL2,CXCL3
t1d_acinar_cell	tls_lymphoid_niche	6	CXCL13,CCL19,CCL21,LTB,LTBR,TNFSF14
t1d_acinar_cell	tl1a_comparator	2	TNFSF15,TNFRSF25
t1d_acinar_cell	target_ifn_apc	8	STAT1,IRF1,CXCL10,GBP1,CD74,IFI30,HLA-DRA,HLA-DRB1
t1d_acinar_cell	target_hla_ii_apc	7	CD74,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CIITA,RFX5
t1d_acinar_cell	target_lysosomal_apc	7	IFI30,CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
t1d_acinar_cell	target_mif_cd74_receptor_state	7	CD74,CD44,CXCR4,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1
t1d_acinar_cell	target_mixscale_validated_ifng_readout	8	CD74,CTSS,IFI30,CIITA,TAP1,TAP2,B2M,NLRC5
t1d_acinar_cell	target_lipid_loader_repair	12	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK,SPP1
t1d_acinar_cell	target_complement_phagocytosis	7	C1QA,C1QB,C1QC,CD68,TREM2,MERTK,MSR1
t1d_acinar_cell	target_hif_nampt_metabolic	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3
t1d_acinar_cell	target_inflammatory_nfkb	9	IL1B,TNF,CXCL8,CCL2,CCL3,CCL4,NFKBIA,TREM1,OSM
