gene	dataset	endpoint	comparison	n	response_coef	response_p	raw_hedges_g_response_minus_other	raw_p	model_status	response_fdr	ra_suppression_response_support	ra_restoration_response_support
LILRB3	GSE198520_RA_synovium_antiTNF	baseline_pre	moderate_good_vs_none	42	-0.3634246900833578	0.35954256891869607	-0.252393946775422	0.5581837322293416	ok	1.0	False	False
LILRB4	GSE198520_RA_synovium_antiTNF	delta_post_minus_pre	moderate_good_vs_none	42	0.26801239964975393	0.3691775546492659	-0.04211697703311797	0.8427231912111273	ok	1.0	False	False
LILRA5	GSE198520_RA_synovium_antiTNF	baseline_pre	good_vs_moderate_none	42	0.3298664177528608	0.3910325755802189	0.3762469756609741	0.3321949846529792	ok	1.0	False	False
LILRB2	GSE198520_RA_synovium_antiTNF	delta_post_minus_pre	good_vs_moderate_none	42	-0.20958813600144727	0.4156365216852399	-0.22634125588211046	0.43924073969475336	ok	1.0	False	False
CD300A	GSE198520_RA_synovium_antiTNF	delta_post_minus_pre	good_vs_moderate_none	42	-0.2778932857966967	0.4744226175403431	-0.38908686066054576	0.30718329208290257	ok	1.0	False	False
LILRB2	GSE198520_RA_synovium_antiTNF	baseline_pre	good_vs_moderate_none	42	0.2569678418969887	0.4861896880480115	0.04562292131614768	0.8832290025948251	ok	1.0	False	False
CD300A	GSE198520_RA_synovium_antiTNF	baseline_pre	moderate_good_vs_none	42	0.2654024847236359	0.49286692321010417	0.1630961581970364	0.5911245784429515	ok	1.0	False	False
LILRA1	GSE198520_RA_synovium_antiTNF	delta_post_minus_pre	good_vs_moderate_none	42	0.18738858197684932	0.5022181398537923	-0.4007408692578098	0.2500168419951786	ok	1.0	False	False
CD300LF	GSE198520_RA_synovium_antiTNF	delta_post_minus_pre	moderate_good_vs_none	42	-0.26922755762734085	0.5124506430309197	-0.2708299649574573	0.23293996481155888	ok	1.0	False	False
LILRA6	GSE198520_RA_synovium_antiTNF	baseline_pre	good_vs_moderate_none	42	-0.2539453136662609	0.5197301510193656	-0.2533272125821204	0.32728688127978534	ok	1.0	False	False
SIGLEC10	GSE198520_RA_synovium_antiTNF	baseline_pre	good_vs_moderate_none	42	0.23079010542196182	0.5270791759350936	-0.03657130696763102	0.9077445707227132	ok	1.0	False	False
SIGLEC10	GSE198520_RA_synovium_antiTNF	baseline_pre	moderate_good_vs_none	42	-0.22908977065571373	0.5357727146364529	-0.14247384445647762	0.723643123415047	ok	1.0	False	False
LILRB1	GSE198520_RA_synovium_antiTNF	baseline_pre	good_vs_moderate_none	42	0.2336807429365649	0.5410099760862511	0.3762469756609741	0.33219498465297953	ok	1.0	False	False
LILRB4	GSE198520_RA_synovium_antiTNF	baseline_pre	moderate_good_vs_none	42	0.23215154301595378	0.5591207374684155	0.3024999004848548	0.16116798185234277	ok	1.0	False	False
LILRA6	GSE198520_RA_synovium_antiTNF	delta_post_minus_pre	moderate_good_vs_none	42	8.803721640582296e-16	0.5759547953729923	0.5400954319487807	0.3388006961962017	ok	1.0	False	False
SIGLEC10	GSE198520_RA_synovium_antiTNF	delta_post_minus_pre	moderate_good_vs_none	42	0.1307122856684238	0.5989118197666251	0.14974179345071248	0.6939962096858592	ok	1.0	False	False
CD300LF	GSE198520_RA_synovium_antiTNF	baseline_pre	good_vs_moderate_none	42	0.17891934059722636	0.617827885905133	0.23245823477463937	0.47244911383122457	ok	1.0	False	False
LILRA1	GSE198520_RA_synovium_antiTNF	delta_post_minus_pre	moderate_good_vs_none	42	-0.13537958703030306	0.6183568529520336	-0.5298791617626563	0.07965266159640115	ok	1.0	False	False
LILRA4	GSE198520_RA_synovium_antiTNF	baseline_pre	good_vs_moderate_none	42	-0.17179979972619375	0.6585785326136261	-0.2533272125821204	0.32728688127978534	ok	1.0	False	False
LILRB2	GSE198520_RA_synovium_antiTNF	delta_post_minus_pre	moderate_good_vs_none	42	0.10199781811438477	0.6859317929741299	0.22423409801597968	0.45648005660532764	ok	1.0	False	False
FCGR2B	GSE198520_RA_synovium_antiTNF	baseline_pre	moderate_good_vs_none	42	-0.14156308261545858	0.716426049753584	-0.0730609309748067	0.8476548158840573	ok	1.0	False	False
LILRB1	GSE198520_RA_synovium_antiTNF	delta_post_minus_pre	good_vs_moderate_none	42	-1.205632815803881e-15	0.7669551821459214	-0.3762469756609741	0.33219498465297953	ok	1.0	False	False
LILRB1	GSE198520_RA_synovium_antiTNF	delta_post_minus_pre	moderate_good_vs_none	42	-1.3201245652183502e-15	0.7704973760125801	-0.21037679928892575	0.3255819880161934	ok	1.0	False	False
CD300A	GSE198520_RA_synovium_antiTNF	delta_post_minus_pre	moderate_good_vs_none	42	0.09489560315562125	0.8050587804082053	-0.21196030530269955	0.3413239279192206	ok	1.0	False	False
FCGR2B	GSE198520_RA_synovium_antiTNF	delta_post_minus_pre	good_vs_moderate_none	42	-0.07483633332967221	0.8273880788440174	0.3589605536358959	0.2526040047345228	ok	1.0	False	False
CD300A	GSE198520_RA_synovium_antiTNF	baseline_pre	good_vs_moderate_none	42	0.08159758794897316	0.8312376025641568	0.04796324091024377	0.8798724276192961	ok	1.0	False	False
LILRB1	GSE198520_RA_synovium_antiTNF	baseline_pre	moderate_good_vs_none	42	0.07603083059084778	0.8448147117758481	0.21037679928892575	0.3255819880161934	ok	1.0	False	False
LILRB4	GSE198520_RA_synovium_antiTNF	baseline_pre	good_vs_moderate_none	42	-0.041266516225404004	0.9163542432683326	0.1032882933474851	0.7530889829024937	ok	1.0	False	False
LILRA5	GSE198520_RA_synovium_antiTNF	baseline_pre	moderate_good_vs_none	42	0.03464746739121761	0.929536500667268	0.2103767992889258	0.32558198801619337	ok	1.0	False	False
LILRB3	GSE198520_RA_synovium_antiTNF	baseline_pre	good_vs_moderate_none	42	0.030754994005537814	0.9377034882984296	0.062437600402844524	0.8436654502884345	ok	1.0	False	False
LILRB2	GSE198520_RA_synovium_antiTNF	baseline_pre	moderate_good_vs_none	42	0.006025514752323102	0.987191306450312	-0.14428226165260488	0.6922567295902136	ok	1.0	False	False
LILRB5	GSE198520_RA_synovium_antiTNF	delta_post_minus_pre	good_vs_moderate_none	0					insufficient	1.0	False	False
LILRB5	GSE198520_RA_synovium_antiTNF	delta_post_minus_pre	moderate_good_vs_none	0					insufficient	1.0	False	False
LILRB5	GSE198520_RA_synovium_antiTNF	baseline_pre	good_vs_moderate_none	0					insufficient	1.0	False	False
LILRB5	GSE198520_RA_synovium_antiTNF	baseline_pre	moderate_good_vs_none	0					insufficient	1.0	False	False
LILRA2	GSE198520_RA_synovium_antiTNF	delta_post_minus_pre	good_vs_moderate_none	0					insufficient	1.0	False	False
LILRA2	GSE198520_RA_synovium_antiTNF	delta_post_minus_pre	moderate_good_vs_none	0					insufficient	1.0	False	False
LILRA2	GSE198520_RA_synovium_antiTNF	baseline_pre	good_vs_moderate_none	0					insufficient	1.0	False	False
LILRA2	GSE198520_RA_synovium_antiTNF	baseline_pre	moderate_good_vs_none	0					insufficient	1.0	False	False
LILRA3	GSE198520_RA_synovium_antiTNF	delta_post_minus_pre	good_vs_moderate_none	0					insufficient	1.0	False	False
LILRA3	GSE198520_RA_synovium_antiTNF	delta_post_minus_pre	moderate_good_vs_none	0					insufficient	1.0	False	False
LILRA3	GSE198520_RA_synovium_antiTNF	baseline_pre	good_vs_moderate_none	0					insufficient	1.0	False	False
LILRA3	GSE198520_RA_synovium_antiTNF	baseline_pre	moderate_good_vs_none	0					insufficient	1.0	False	False
