analysis	disease_name	compartment	role	gene	candidate_class	metric	n_case_donors	n_control_donors	mean_case	mean_control	delta_case_minus_control	hedges_g	welch_t	p	fdr	positive_fdr10	positive_trend	negative_trend
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	CIITA	state_markers_positive_controls	mean_log_norm	6.0	6.0	0.04504910573774967	0.010495758325943133	0.03455334741180654	1.1541333713932693	2.1656024411275614	0.06519633583162449	0.2747518468218541	False	True	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	CIITA	state_markers_positive_controls	detection_fraction	6.0	6.0	0.04490326298865036	0.008038925170874374	0.03686433781777599	1.2065975681912922	2.2640456500960684	0.06137106559587425	0.2747518468218541	False	True	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	CST3	hla_ii_loading_editing	mean_log_norm	6.0	6.0	1.3029781999455097	1.0937012267651032	0.2092769731804065	0.44325406806373807	0.8317167804269866	0.42516716300579216	0.6197351867542055	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	CST3	hla_ii_loading_editing	detection_fraction	6.0	6.0	0.6191297933826291	0.5597094122680865	0.05942038111454262	0.343224001074213	0.6440215255907461	0.5340726923103021	0.7068448380875625	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	CSTA	hla_ii_loading_editing	mean_log_norm	6.0	6.0	0.0014619982856592286	0.001351569508329621	0.00011042877732960767	0.06343736484641443	0.11903313392996309	0.9083758373731562	0.9359613646385561	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	CSTA	hla_ii_loading_editing	detection_fraction	6.0	6.0	0.0036910983614386553	0.0019232604335661316	0.0017678379278725238	0.5934465268069627	1.1135361640053572	0.30369067239568037	0.5671974451490708	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	CSTB	hla_ii_loading_editing	mean_log_norm	6.0	6.0	0.7010920023343471	0.6752611201791052	0.025830882155241874	0.12056307273587173	0.22622314811974795	0.825703751829749	0.9045926453166677	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	CSTB	hla_ii_loading_editing	detection_fraction	6.0	6.0	0.4362414763313616	0.40606681981605747	0.030174656515304155	0.23885921607819893	0.44819265627880617	0.6654250503586843	0.781370768958028	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	CTSB	hla_ii_loading_editing	mean_log_norm	6.0	6.0	0.2962016141252878	0.23330473569605684	0.06289687842923095	1.2735695179550928	2.3897110380749926	0.04132638103046721	0.236937917908012	False	True	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	CTSB	hla_ii_loading_editing	detection_fraction	6.0	6.0	0.2531398568975652	0.1945864815461673	0.058553375351397874	0.7532548232428671	1.4133985936448732	0.20049021244887824	0.4546173408602001	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	CTSD	hla_ii_loading_editing	mean_log_norm	6.0	6.0	0.9988994832794723	0.9833153227958347	0.015584160483637644	0.06839397243055302	0.12833365477961478	0.9009933713522201	0.9359613646385561	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	CTSD	hla_ii_loading_editing	detection_fraction	6.0	6.0	0.5383168951401578	0.5093416493908003	0.028975245749357503	0.2356605754802399	0.4421907642454205	0.6677994362606402	0.781370768958028	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	CTSH	hla_ii_loading_editing	mean_log_norm	6.0	6.0	0.039549656180641116	0.013644799653902029	0.025904856526739087	2.0486387364130265	3.8440419093061546	0.007660104789346419	0.15950331276809251	False	True	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	CTSH	hla_ii_loading_editing	detection_fraction	6.0	6.0	0.041722291400396246	0.017174243631443223	0.024548047768953023	1.5925093914507649	2.988166108983595	0.028072356521191638	0.21459136269199833	False	True	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	CTSL	hla_ii_loading_editing	mean_log_norm	6.0	6.0	0.040313943821045126	0.061290483516365284	-0.020976539695320158	-0.8567882903072906	-1.6076675876541586	0.14369744049549082	0.3854951838329827	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	CTSL	hla_ii_loading_editing	detection_fraction	6.0	6.0	0.047674014448596556	0.06365707597477704	-0.015983061526180488	-0.5378288449594774	-1.009175792349724	0.3367922288966226	0.5817949611672203	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	CTSS	hla_ii_loading_editing	mean_log_norm	6.0	6.0	0.6526716997176126	0.5442161356760585	0.1084555640415541	0.6116097102177324	1.1476173502078895	0.2907733110379455	0.5557001055391847	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	CTSS	hla_ii_loading_editing	detection_fraction	6.0	6.0	0.4182776758439433	0.36181683408460086	0.05646084175934246	0.4406714533047549	0.8268707921164724	0.4339213457311243	0.6219539288812781	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	CTSZ	hla_ii_loading_editing	mean_log_norm	6.0	6.0	0.2496640193567127	0.30854068146768254	-0.05887666211096984	-0.5060352277873988	-0.9495186186930868	0.36706500544321896	0.5881726035997231	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	CTSZ	hla_ii_loading_editing	detection_fraction	6.0	6.0	0.21107686150713242	0.2331337213159117	-0.022056859808779278	-0.24536922619644969	-0.4604079635849538	0.6558584321792513	0.781370768958028	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	CXorf21	failed_or_crowded_comparators	mean_log_norm	6.0	6.0	0.00027461858972916184	0.001154042026763554	-0.000879423437034392	-0.5580320941454662	-1.0470849342568402	0.33427356323130986	0.5817949611672203	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	CXorf21	failed_or_crowded_comparators	detection_fraction	6.0	6.0	0.00029086678301337986	0.0007962122236652172	-0.0005053454406518374	-0.47492022896550334	-0.8911347966197041	0.39835053167669915	0.604481791082773	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	EEA1	trafficking_sorting	mean_log_norm	6.0	6.0	0.20061019262586066	0.11256931961388221	0.08804087301197845	1.8858068811580384	3.5385061090477867	0.005429393091823034	0.13340794454193738	False	True	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	EEA1	trafficking_sorting	detection_fraction	6.0	6.0	0.1825494833819168	0.10257841124897756	0.07997107213293923	1.4816605359139017	2.7801706050869925	0.02073085529484059	0.21459136269199833	False	True	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	FCGR2A	uptake_complement_phagocytosis	mean_log_norm	6.0	6.0	0.004688189284767437	0.0021244647652927493	0.0025637245194746875	0.5256622748065981	0.9863465815528666	0.3550906967882384	0.5881726035997231	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	FCGR2A	uptake_complement_phagocytosis	detection_fraction	6.0	6.0	0.003469325720887898	0.0010413059557160987	0.002428019765171799	0.7453059049234629	1.3984833357175814	0.21352631723927096	0.46489274133107095	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	FCGR2B	uptake_complement_phagocytosis	mean_log_norm	6.0	6.0	0.0021925184788795377	0.008340837130923312	-0.006148318652043775	-0.7929047700812724	-1.487797292956523	0.19199899386090083	0.4523811910147253	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	FCGR2B	uptake_complement_phagocytosis	detection_fraction	6.0	6.0	0.00157055349752444	0.004336575635163137	-0.0027660221376386972	-0.845964563874959	-1.5873580732037984	0.1625347262194588	0.4074335784487604	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	FCGR3A	uptake_complement_phagocytosis	mean_log_norm	6.0	6.0	0.00024399492101791868	0.0	0.00024399492101791868	0.532938710021193	0.9999999999999999	0.3632174676491226	0.5881726035997231	False	False	False
